Ёма	j o m ɑ
тыв	t ɨ v
тӧб	t ə b
тӧв	t ə v
тӧвар	t ə v ɑ r
тӧлысь	t ə l ɨ sʲ
ув	u v
удж	u d͡ʒ
ун	u n
ус	u s
учение	u t͡sʲ e n i j e
учитель	u t͡sʲ i tʲ e lʲ
чаг	t͡sʲ ɑ ɡ
чаль	t͡sʲ ɑ lʲ
чань	t͡sʲ ɑ nʲ
челядь	t͡sʲ e lʲ ɑ dʲ
черань	t͡sʲ e r ɑ nʲ
чери	t͡sʲ e r i
чипам	t͡sʲ i p ɑ m
чирк	t͡ʃ i r k
чож	t͡sʲ o ʒ
чом	t͡ʃ o m
чуж	t͡sʲ u ʒ
чужӧм	t͡sʲ u ʒ ə m
чунь	t͡sʲ u nʲ
чуньяс	t͡sʲ u nʲ j ɑ s
чышъян	t sʲ ɨ ʃ j ɑ n
чӧд	t͡sʲ ə d
шайт	ʃ ɑ j t
шег	ʃ e ɡ
школа	ʃ k o l ɑ
шляпа	ʃ lʲ ɑ p ɑ
шонді	ʃ o n d i
шуд	ʃ u d
щель	ʃ e lʲ
ыб	ɨ b
ывла	ɨ v l a
ыж	ɨ ʒ
эж	e ʒ
энь	e nʲ
энька	e nʲ k ɑ
юр	j u r
яг	j ɑ ɡ
ёг	j o ɡ
ӧні	ə n i
ӧтувкан	ə t u v k ɑ n
ӧш	ə ʃ
ӧшинь	ə ʃ i nʲ
