က	k a ʔ
ခၞာခၟာဲစာၚ်	kʰ n aː kʰ m a e c a ɲ
ခၟာဲစာၚ်	kʰ m a e c a ɲ
ခၟာဲစာၚ်ၜိုဟ်	kʰ m a e c a ɲ b ɒ h
ချပ်	k h j ɔ p
ချပ်	c h j ɔ p
ချပ်	c h ɔ p
ချာံ	c h a m
ချာံ	cʰ j a m
ချာံ	cʰ a m
ချိုတ်	k h j ɒ t
ချိုတ်	c h a t
ချေဳၚ်မာဲ	t͡ɕʰ i a̯ ŋ m a y
ချေံ	cʰ e h
ချေံ	kʰ j e h
ဂစိုတ်	h ə c ɒ t
ဂစိုတ်	k ɛ̤ ə ʔ c ɒ t
ဂစိုတ်	h a c ɑ t
ဂစေပ်	h ə c e p
ဂစေံ	h ə c e m
ဂစေံ	k ɛ̀ ʔ c eː m
ဂစေံ	h a c e m
ဂဇံ	k ɛ̤ ə ʔ c o̤ ʔ
ဂဇံ	h a c o̤ ʔ
ဂတာံ	h ə t a m
ဂတာံ	k ɛ̤ ʔ t aː m
ဂတာံ	k ɛ̤ ə ʔ t a m
ဂတာံ	k ɛ̤ ə ʔ t a m
ဂတု	k i t a o ʔ
ဂမၠိုၚ်	h ə l a̤ ŋ
ဂမၠိုၚ်	k ɛ̤ ə m l a̤ ə ŋ
ဂယိုၚ်	h ə j a̤ ŋ
ဂယိုၚ်	k ɛ̤ ʔ j a̤ i ŋ
ဂအုဲ	h ə ʔ u i
ဂအုဲ	k ɛ̤ ʔ ʔ u i
ဂီု	k ɜ̤ m
ဂီု	k ə̤ m
ဂူ	k uː
ဂူၜဴ	k uː b a o
ဂး	k ɛ̤ h
ဂး	k ɛ̤ ə h
ဂၞဴ	n ɛ̤ a
ဂၞဴ	n ɛ̤ ə
ဂြၚ်	k r ɛ̤ a ŋ
ဂြၚ်	k r e̤ a ŋ
ဂြၚ်	k r ɛ̤ː ŋ
ဂြိုၚ်	k r a̤ ŋ
ဂြိုပ်	k r ɜ̤ p
ဂြိုပ်	k r ə̤ p
ဂြိုဟ်	k r ɜ̤ h
ဂြိုဟ်	k r ə̤ h
ဂၠိၚ်	k l o̤ ɲ
ဂၠိၚ်	k l ə̤ ɲ
ဂၠိၚ်	k l u ɲ
ဂၠိၚ်	k l ɤ̤ː n
ဂၠိုၚ်	k l a̤ ŋ
ဂၠိုၚ်	k l i̤ a ŋ
ဂၠိုၚ်	k l a̤ ə ŋ
ဂၠိုၚ်	k l a̤ ə ŋ
ဂၠုၚ်	k l ɜ̤ ŋ
ဂၠုၚ်	k l ə̤ ŋ
ဂၠေံ	k l e̤ ʔ
ဂၠဴ	k l ɛ̤ ə
ဂၠဴ	k l e̤ a
ဂွဳ	k w i̤
ဂှ်	k ɔ̤ h
ဂှ်	k o̤ h
ၚုဲ	ŋ ṳ j
ၚေက်	ŋ ɛ̤ a̤ k
ၚေက်	ŋ e̤ a̤ k
ၚေက်	ŋ i̤ a̤ k
စ	ɕ i ə ʔ
စ	c ɛ ʔ
စ	c e a ʔ
စ	c a ʔ
စက္ကာန်	c ɛ k k a n
စက္ကာန်	c a k k aː n
စက္ခော	c ɛ k kʰ a o
စက္ခော	c a k kʰ a o
စန်	c ɔ n
စန်	c ɔ n
စမ္ၚာ	c a m ŋ aː
စမ္ၚာ	c ɔ m ŋ a
စာင်	c a i ŋ
စာင်	c aː ɲ
စိၚ်	c o ɲ
စိၚ်	c o i ŋ
စိၚ်	c o i ŋ
စိၚ်	c o ɲ
စိၚ်	c ə ɲ
စိၚ်	c əː n
စိၚ်	c ə ɲ
စိၚ်	c əː n
စိန်	c i n
စိုတ်	c ɒ t
စိုတ်	c ɑ t
စိုတ်	c ɔ t
စေတဳ	c e t ɔ e
စဲ	c o a
စဴ	c a o
စဴ	c aː o
စံၚ်	c ɔ ŋ
စံပါ	c ɔ m p a
စှ်	c ɔ h
စှ်ပန်	c ɔ h p ɔ n
စှ်ပိ	c ɔ h p ɔ e ʔ
စှ်မွဲ	c ɔ h m ò a
စှ်သုန်	c ɔ h s ɔ n
စှ်သုန်	c ɔ h s u n
စှ်ၜါ	c ɔ h ɓ a
စှ်ၜါ	c ɔ h b a
စှ်ၜါ	c ɔ h ɓ aː
စှ်ၜါ	c ɔ h b aː
ဆ	cʰ a ʔ
ဆိ	cʰ i ʔ
ဆီ	cʰ i m
ဆု	cʰ u ʔ
ဇ	c ɛ̤ ʔ
ဇကု	h ə k a o ʔ
ဇကု	c ɛ̤ ʔ k a o ʔ
ဇာဒိသိုၚ်	c ɛ̀ a t ì ʔ s a ŋ
ဇာဒိသိုၚ်	c ɛ̀ a r ì ʔ s a ŋ
ဇိုၚ်	c a̤ ɲ
ဇိုၚ်	c a̤ ŋ
ဇုတ်	c ṳ t
ဇ္ၚဲ	h ṳ ə
ဇ္ၚဲ	h o̤ a
ဇၞော်	h n o̤ k
ဇြုံ	s ṳ m
ဇွိ	h w i̤ ʔ
ဇှေ်	c e h
ည	ɲ ɛ̤ ʔ
ညာတ်	ɲ a̤ t
ညး	ɲ ɛ̤ h
ညး	ɲ e̤ a h
ဋ	t a ʔ
ဌ	tʰ a ʔ
ဍ	d a ʔ
ဍ	ɗ a ʔ
ဍာ်	ɗ a i k
ဍာ်	d a i k
ဍာ်	ɗ aː c
ဍာ်	d aː c
ဍာ်ကၠောံ	d a i k k ə l ɒ ʔ
ဍာ်ကၠောံ	d a c k a l o ʔ
ဍာ်ကၠောံ	d aː c k a l o ʔ
ဍာ်ခြက်	d a i k kʰ r ɛ k
ဍာ်စၚ်	d a i k c ɛ ŋ
ဍာ်စၚ်	d a c c a ŋ
ဍာ်စၚ်	d aː c c a ŋ
ဍာ်တှ်	d a i k t ɔ h
ဍာ်တှ်	d a c t ɔ h
ဍာ်တှ်	d aː c t ɔ h
ဍာ်တှ်သတ်ဗြဴ	d a i k t ɔ h s ɔ t p r ɛ̤ a
ဍာ်တှ်သတ်ဗြဴ	d a i k t ɔ h s a ʔ p r ɛ̤ a
ဍာ်လက်ဖက်	d a i k l ə pʰ ɛ k
ဍာ်လက်ဖက်	d a c l ɛ k pʰ a k
ဍာ်လက်ဖက်	d aː c l ɛ k pʰ a k
ဍာ်သာဲ	d a i k s a i
ဍာ်သာဲ	d a c s aː i
ဍာ်သာဲ	d aː c s aː i
ဍိုၚ်	ɗ a ŋ
ဍိုၚ်	d a ŋ
ဍိုၚ်	ɗ a i ŋ
ဍိုၚ်	d a i ŋ
ဍောတ်	d o t
ဎ	tʰ ɛ̤ ʔ
ဏ	n a ʔ
ဏမ်	n ɔ m
တ	t a ʔ
တဆိပ်	k ə cʰ i p
တဆိပ်	t a cʰ i p
တရဴ	k ə r a o
တရဴ	t a r aː o
တိ	t ɑ e ʔ
တိရစ္ဆာန်	t ɔ e ʔ r o̤ t cʰ a n
တိရစ္ဆာန်	t ɔ e ʔ r ɔ̤ t cʰ aː n
တိုက်	t a k
တိုက်လဝဟ်	t a k l a v ɔ̀ h
တီ	t ɛ m
တီ	t ɛ m
တီ	t i m
တု	t a o ʔ
တုဲ	t o ə
တုဲ	t u ə
တုဲ	t ʊ ə
တုဲ	t ɔ ə
တုဲ	t ɔ ə
တူ	t a o
တဲ	t u ə
တဲ	t ɯ ə
တဲ	t ʊ ə
တဲ	t ɔ ə
တဲ	t ɔ ə
တဲ	t o a
တဳတိတ္ထိ	ʈ o ɭ t͡e e ħ t i
တ္ကံ	t a k ɔ ʔ
တ္ၚဲ	t a ŋ o a
တ္ၚဲ	ŋ o a
တၞံကြုက်	t a n ɔː m k r ɜ k
တၞး	k ə n a h
တၞး	t a n a h
တၟိ	t a m ɔ e ʔ
တၟိ	m ɔ e ʔ
တၟံ	m ɔ ʔ
တၟံ	t a ʔ m ɔ ʔ
တၟံ	h m ɔ ʔ
တၟံ	k ə m ɔ ʔ
တၟံ	t a ʔ m ɔ ʔ
တြုံ	k r a o h
တြုံ	k r a u h
တြုံ	t r u h
တြုံ	t r a o h
တၠ	k ə l a ʔ
တၠ	t a l a ʔ
တွာဲ	k w a i
တွာဲ	t w aː i
တွာဲ	k w aː i
တွး	k w a h
တှ်	t ɔ h
ထ	tʰ a ʔ
ထပှ်	h ə p ɔ h
ထပှ်	tʰ a p ɔ h
ထဝ်	tʰ ɔ
ထဝ်	tʰ ɔː
ထဝ်တၞး	tʰ ɔ k ə n a h
ထဝ်တၞး	tʰ ɔː k a n a h
ထဝ်ဗာတ်	tʰ ɔ p à t
ထဝ်ဗာတ်	tʰ ɔː p àː t
ထေရဝါဒ	tʰ ɤ r ɛ̤ w ɛ̀ tʰ ɛ̤
ထး	tʰ a h
ထၟ	k ə m a ʔ
ထၟ	k a m a ʔ
ဒ	t ɛ̤ ʔ
ဒကာ	h ə k a
ဒဂိုန်	t ɛ̀ ʔ
ဒဂိုန်	k ɤ̀ n
ဒစိတ်	h ə c i t
ဒစိတ်	t ɛ̀ ʔ c i t
ဒတံ	t ə c a m
ဒတံ	h ə c a m
ဒဒန်	h ə t ò n
ဒမှော်	h ə m o k
ဒလန်	d e l u n
ဒအာပ်	h ə ʔ a p
ဒအိုအ်	h ə ʔ ɒ ʔ
ဒုၚ်	t ɜ̀ ŋ
ဒုန်	t ṳ n
ဒဳ	t i̤
ဒဵု	t ə̤
ဒး	t ɛ̤ h
ဒး	t ɛ̤ ə h
ဒး	t ɛ̤ ə h
ဒၞေၚ်	n e a ŋ
ဒျောဒျာ	c o̤ c ɛ̤ a
ဒျောဒျာ	t j o̤ t j ɛ̤ a
ဒြုန်	k r ù n
ဒြုန်	t r ù n
ဒၠဴ	k l ɛ̤ a
ဒွက်	k w e
ဒွက်	k u u ~ e
ဒွက်	k w ɛ̤ ə k
ဒွက်	k w ɛ̤ ə k
ဓ	tʰ ɛ̤ ʔ
ဓဂဵု	h ə k ɜ̀
န	n ɛ̤ ʔ
နင်	n a ŋ
နရက်	n ɛ̀ ʔ r ɛ k
နာဲ	n a̤ i
နွံ	n ṳ m
ပ	p a ʔ
ပက်	p aː t
ပညာ	p ɔ n ɲ a
ပညာ	p ɔ n ɲ aː
ပဍုင်	d ɜ ŋ
ပဍုင်	p a d ə ŋ
ပဍုၚ်	d ɜ ŋ
ပဍုၚ်	p a d ə ŋ
ပထောၚ်သအိက်	p aː tʰ u m
ပထောၚ်သအိက်	s ɑ ʔː ʔ o u n
ပန်	p ɔ n
ပဝါ	p a v a
ပဝ်	p o
ပသာ်	p a ʔ s a c
ပါ	p a
ပါၚ်	p a i ŋ
ပါၚ်	p a ɲ
ပါၚ်	p aː ɲ
ပိ	p ɔ e ʔ
ပိ	p ɑ e ʔ
ပိ	p ɔ e ʔ
ပိုဲ	p o j
ပိုဲ	p o j
ပိုဲ	p ə j
ပု	p a o ʔ
ပု	p a u ʔ
ပုၚ်	p ɤ ŋ
ပုၚ်	p ɜ ŋ
ပုၚ်	p ə ŋ
ပုၚ်	p ə ŋ
ပုၚ်ဍာ်	p ɜ ŋ d a i k
ပုင်သင်္ကြာန်	p ɜ ŋ s ɛ ŋ k r a n
ပူ	p a o
ပူ	p a u
ပေၚ်	p ɔ ɲ
ပေၚ်	p ɒ ɲ
ပေၚ်	p ɑ ɲ
ပ္ကဴ	p ə k a o
ပ္ကဴ	k a o
ပ္ညဳပ္ညပ်	p ə ɲ ɔ e p ə ɲ ɔ p
ပ္ညဳပ္ညပ်	p a ɲ iː p a ɲ ɔ p
ပ္ဍုင်	d ɜ ŋ
ပ္ဍုင်	p a d ə ŋ
ပ္ဍုၚ်	d ɜ ŋ
ပ္ဍုၚ်	p a d ə ŋ
ပ္ဍဲ	ɗ ɔ ə
ပ္ဍဲ	p ə ɗ ɔ ə
ပ္ဍဲ	ɗ o a
ပ္ဍဲ	p a ʔ d ɔ a
ပ္ဍဲ	p a ʔ d ɔ a
ပ္တေၚ်	k a t ɑ ɲ
ပၞဟ်	p ə n ɔ h
ပၞဟ်	m ɛ̤ n ɔ h
ပၞါန်	n a n
ပၞါန်	p a n aː n
ပၞဴ	p ə n a o
ပြင်သေတ်	p ə r ɛ ŋ s ɪ ʔ
ပြာကတ်	p r a k o t̚
ပၠန်	p l ɔ n
ပှော်	p u h
ဖ	pʰ a ʔ
ဖရာပ်	h ə r a p
ဖအိုအ်	h ə ʔ ɒ ʔ
ဖာ	pʰ a
ဖုန်	pʰ uː n
ဖေက်	p h ɔ c
ဖေက်	p h ɑ c
ဖေံ	pʰ e ʔ
ဖဲ	p h o a
ဖဲ	p h o a
ဗ	p ɛ̤ ʔ
ဗဂဲ	h ə k o̤ a
ဗဂဲ	p ɛ̤ ʔ k o̤ a
ဗတာဲ	p ɛ̤ t a i
ဗတာဲ	h ə t a i
ဗတဳ	p ɛ̤ ə ʔ t ɒ i
ဗမတ်	k ə m o t
ဗမတ်	k a m o t
ဗမာ	h ə m ɛ̤ a̤
ဗမာ	p ɛ̤ ʔ m ɛ̤ a̤
ဗု	p ṳ
ဗုဒ္ဓဘာသာ	p ù t t h ɛ̀ ʔ
ဗုဒ္ဓဘာသာ	p h ɛ̀ a s a
ဗုဒ္ဓဝါ	p ṳ t h ə w ɛ̤ a
ဗုဒ္ဓဝါ	p ṳ t tʰ ɛ̤ ə ʔ w ɛ̤ ə
ဗဳ	p i̤
ဗ္တဳ	h ə t ɒ ɪ
ဗ္တဳ	h ə t ɔ ə
ဗ္တဳ	h ə t ʊ ə
ဗ္တဳ	h ə t o ə
ဗ္တဳ	h ə t u ə
ဗ္တဳ	h ə t ɔ ə
ဗ္တဳ	h a t ɑ e ʔ
ဗ္တံ	h ə t ɔ m
ဗ္တံ	h a t ɔ m
ဗၞိက်	h ə n ò i k
ဗၞိက်	p ɛ̀ ʔ n ə̀ː c
ဗၟာ	h ə m ɛ̤ a̤
ဗျဉ်	p j o̤ n
ဗျဉ်	p j ɔ̤ː n
ဗျု	p j ṳ ʔ
ဗြာတ်	p r a̤ t
ဗြု	p r ṳ ʔ
ဗြဲ	p r o̤ a
ဗြဲ	p r ṳ ə
ဗြဲ	p r ṳ ə
ဗြဴ	p r ɛ̤ a
ဗြဴ	p r e̤ a
ဗြဴ	p r ɛ̤ a
ဗြဴဗတိ	p r ɛ̤ ə p ɛ̤ ə ʔ t ɒ i ʔ
ဗှ်ေ	p e̤ h
ဗ္ၜေံ	h ə ɓ e ʔ
ဗ္ၜေံ	ɓ e ʔ
ဗၜေံ	p ɛ̤ ʔ ɓ e ʔ
ဗၜဵု	h ə ɓ ɜ
ဗၜဵု	h ə b ɜ
ဗၜဵု	p ɛ̤ ʔ ɓ əː
ဗၜဵု	p ɛ̤ ʔ b əː
ဘ	pʰ ɛ̤ ʔ
ဘတ်	p h ɔ t
ဘာသာ	pʰ ɛ̤ a s aː
မင်	m ɛ̀ ŋ
မင်မွဲ	m ɛ̀ ŋ
မင်မွဲ	m ɔ̀ ə
မတ်	m ò t
မတ်ဆု	m ò t cʰ u ʔ
မန်	m o̤ n
မသုန်	m ə s ɔ n
မသုန်	p ə s ɔ n
မိ	m ì ʔ
မိတ်	m ì t
မိုဟ်	m ù h
မုသာ	m ṵ s a
မုဲ	m ù i
မောဝ်	m ɔː ə
မဴ	m ɑ
မ္ၚဵုရအဴ	m ə ŋ ɜ̀ r a ʔ a o
မ္ညဝ်	m ɛ̀ ʔ ɲ ɔ̀
မၞိဟ်	m ə n i̤ h
မၞိဟ်	n i̤ h
မၞိဟ်	m ɛ̤ ʔ n i̤ h
မၞိဟ်	n i̤ h
မၞိဟ်	h n i̤ h
မၞိဟ်	n i̤ h
မၞိဟ်	h n i̤ h
မၞိဟ်တြုံ	m ə n i̤ h k r a o h
မၞိဟ်တြုံ	n i̤ h k r a o h
မၞိဟ်တြုံ	m ɛ̀ ʔ n i̤ h t r u h
မၞိဟ်တြုံ	n i̤ h t r u h
မၞိဟ်ဗြဴ	m ə n ì h p r ɛ̀ a
မၞိဟ်ဗြဴ	n ì h p r ɛ̀ a
မၞိဟ်ဗြဴ	m ɛ̀ ʔ n ì h p r ɛ̀ a
မၞိဟ်ဗြဴ	n ì h p r ɛ̀ a
မြ	p ə r ɛ̤ ʔ
မြာ်	p ə r à i k
မြာ်ကသဵု	m ɛ̀ ʔ r ɔ c k a ʔ s ɒ
မွဲ	m o̤ a
မွဲ	m o̤ a
မွဲ	m ṳ a
မွဲလက်	m o̤ a l ĕ ə ʔ
ယ	j ɛ̤ ʔ
ယက်	j e̤ a k
ယီု	j ɜ̤ m
ယီု	ʝ ə̤ m
ယီု	j ə̤ m
ယဲ	j o̤ a
ယဲ	ʝ ṳ ə
ယဲကျာ	j ò a c a
ယဲကၠန်	j ò a k l ɔ n
ယဲဂၞဴ	j o̤ a n ɛ̤ a
ယဲဂၞဴ	ʝ ṳ ə n ɛ̤ ə
ယဲမတ်	j o̤ a m o̤ t
ယဲမတ်	ʝ ṳ ə m o̤ t
ယဲမတ်ကနအ်	j o̤ a m o̤ t k ə n ɔ ʔ
ရ	r ɛ̤ ʔ
ရာန်	r à n
ရိုၚ်ဂအုဲ	r ɜ̀ ŋ h ə ʔ u i
ရိုဟ်	r ə̤ h
ရးမည	r i ə m m a ɲ ĕ ə ʔ
လ	l ɛ̤ ʔ
လက်	l ɛ k
လက်	l a k
လက်	l ɛ̤ a k
လက်	l ɛ̤ ə k
လက်ချဴ	l ĕ ə ʔ cʰ aː w
လက်ဖက်	l ə pʰ ɛ k
လက်ဖက်	l ɛ k pʰ a k
လဗာ	l ə p à
လမျီူ	p ə j ɜ̀ m
လဝဟ်	l a v ɔ̀ h
လသိုဏ်	l a s ɜː n
လီ	l ɯː m
လီု	l ɤ̤ m
လီု	l ɜ̤ m
လီု	l ə̤ m
လုပ်	l ṳ p
လောပ်	l ù p
လောဘ	l ɔ́ pʰ ɛ̤ ʔ
လောဲ	l o̤ a
လဲ	l ṳ ə
လ္ကံ	k ɔ ʔ
လ္ၚီ	ŋ i̤ m
လ္ၚီ	l ɛ̤ ə ʔ ŋ i̤ m
လ္ၚီ	ŋ i̤ m
လ္စိန်	k ə c i n
လ္စိန်	k a c i n
လ္ပာ်	k ə p a c
လ္ပာ်	k ə p a i k
လ္ပံ	k ə p ɔ ʔ
လျးတ္ၚဲ	l y ɛ̀ h s t a ŋ o a
လှောတ်	h l o t
ဝ	w ɛ̤ ʔ
ဝင်္က	l i ə ŋ k a
ဝန်	w ò n
ဝါ	w ɛ̤ a̤
ဝါတ်	w a̤ t
ဝေန်	w e̤ n
ဝဲါဝှာင်	w ɑ ɪ f ɑ ɪ
ဝှ်	v ɔ̀ h
သက္ကရာဇ်	s a k̚ k a r a t̚
သဂြာ	h ə k r ɛ̤ a
သၚ်ကြာန်	s ɛ ŋ k r a n
သတ္တိ	s ɔ t t ɒ əˀ
သတ်	s ɔ t
သတ်ဗြဴ	s ɔ t p r ɛ̤ a
သတ်ဗြဴ	s a ʔ p r ɛ̤ a
သမ္အုဲ	s ɔ m ʔ u i
သရဳရ	s a r ɔ e r a ʔ
သာဓု	s a h t o o
သာသနာ	s a s a ʔ n a
သာဲ	s a i
သာဲ	s aː i
သိုက်	s a k
သိုၚ်	s a i ŋ
သုၚ်	s ɜ ŋ
သုၚ်	s ə ŋ
သုသာန်	s a o ʔ s a n
သေနာတ်	sʰ ɪ̀ ɴ n ạ d
သော်	s o k
သော်	s o k
သော်က္ဍိုပ်	s o k d ɒ p
သော်က္ဍိုပ်	s o k k a d aː p
သ္ကေပ်	h ə k e p
သ္ကေပ်	s a k e p
သ္ၚိ	h ɒ ə ʔ
သ္ၚိ	h ɑ e ʔ
သ္ၚိသဝ်	h ɔ e ʔ s ɔ
သ္ၚိသဝ်	h ɒ i ʔ s ɔ
သ္ၚု	h a o ʔ
သ္ၚု	h a o
သ္ဍိသဳ	kʰ a ʔ ɗ ɔ ə s ɒ ə
သ္တိက်	t o c
သၞာံ	h n a m
သၞေၚ်	h n e a ŋ
သၞံၚ်	h n ɔ ŋ
သ္ဗံ	p ò ʔ
သၟာန်	h m a n
သၟုဲလေင်	s͡m ɑ i l e ŋ
သြန်	s ɔ n
သြိုၚ်	s a ŋ
သၠ	h l a ʔ
သၠီ	h l ɛ m
သၠုၚ်	s a ə ŋ
သၠုၚ်	h l ə ŋ
သွ	h w a ʔ
သွ	f a ʔ
သွာ	h w a
သွုၚ်	h w ɜ ŋ
သွုၚ်	s a w ə ŋ
သွုၚ်	h w ɜ ŋ
သွုၚ်	f ə ŋ
သွဵု	s ə w ɒ
သ္အး	ʔ a h
သ္အး	h ə ʔ a h
ဟ	h a ʔ
ဟစေပ်	h a ʔ c e p
ဟတံ	h a ʔ t ɔ m
ဟီု	h ɒ m
ဟီု	h a m
ဟံသာဝတဳ	h ɔ ŋ s a w ə t ɔ e
ဠ	l a ʔ
အကုန်	aˀ k u n
အကး	ʔ ə k a h
အဂၞဲ	ʔ a ʔ n ṳ ə
အၚာ	ʔ ə ŋ ɛ̀ a
အစေံ	ʔ ɛ̀ c e m
အဒိုတ်	ʔ ə t ɜ̀ t
အဒိုတ်	ʔ a ʔ t ə̤ t
အဓိပ္ပါယ်	ʔ a d h ɪː p p ɑ i
အနုဘာဝ်	ɑ̆ n ŭ̀ b h ɛ̀ ɑ w
အန္တရာယ်	ʔ o n t a ˨˩ r a j
အဘိဓာန်	ʔ ə pʰ i̤ ʔ tʰ a̤ n
အဘိဓာန်	ʔ a ʔ pʰ i̤ ʔ tʰ a̤ n
အမှဲ	ʔ ə h m o a
အယုက်	ʔ ə j ɜ̀ k
အလာံ	ʔ ə l ɛ̤ m
အဝ	ʔ ɛ̀ː w a
အဝတ်	ʔ aː ʋ ŭ ə t
အဝါ	ʔ a w ɛ̀ ə
အသုဘ	ʔ ə s a o ʔ pʰ ɛ̀ ʔ
အသူ	ʔ a s u
အဟာန်	ʔ ə h a n
အဟာန်	ʔ a ʔ h a n
အာ	ʔ a
အာကာသ်	ʔ ə k a h
အိက်	ʔ o i k
အုက်	ʔ ɜ k
အုဲ	ʔ u i
အောန်	ʔ o n
အောန်စိုတ်	ʔ o n c ɒ t
အောဟ်	ʔ o h
အဲ	ʔ o a
အဴ	ā i
အး	a h
အၜဝ်	ʔ ɑ ɓ o u
ဣန်	ʔ i n
ဣသိ	ʔ i ʔ s ɔ e ʔ
ဥတု	u t u
ဥပမာ	ʔ u ʔ p ə m a
ဥု	ū
ဨကံ	a y e k ɔ ʔ
ိ	k a n ɔ h ɖ ə p
ု	h a t͡ɕ a m ạ̀ w
ူ	h a t͡ɕ a b a
ဲ	s a w ɔ́ p a l ɔ́
ၛ	cʰ ɛ̀ ʔ
ၜ	ɓ a ʔ
ၜင်ကံက်	ɓ a ŋ k ɔ k̚
ၜဝ်	ɓ o u
ၜါ	b a
ၜါ	b a
ၜါ	b aː
ၜိၚ်	b ə ɲ
ၜိုပ်	b ɒ p
ၜိုဟ်	b ɒ h
ၜိုဟ်	b ɑ h
ၜေါ	b a o
ၜေါ	b a u
ၜဳ	ɓ iː
ၜဳ	b iː
ၜဴ	b a o
ၜဵု	ɓ ɜ
ၜဵု	b ɜ
ၜဵု	ɓ əː
ၜဵု	b əː
