Aapel	oː b̥ l̩
Mārig	m aː r ɪ ç
Nail	n a ɪ̯ l
Nuurđfriisk	n uː ɐ̯ f r iː s k
Nuurđfriisk	n uː ɐ̯ l f r iː s k
Oom	oː m
Peeper	pʰ eː b̥ ɐ
Sjiisklun	ʃ iː s k l ʊ n
Sjürt	ʃ ʏ x t
Skaap	s k oː p
Skeepen	s k eː b̥ m̩
Skep	s k ɛ p
Skoch	s k ɔ x
Skolp	s k ɔ l p
Skruk	s k r ʊ k
Skuul	s k uː l
Skuulmaister	s k uː l m a ɪ̯ s t ɐ
Skuulmaisters	s k uː l m a ɪ̯ s t ɐ s
Skuur	s k uː ɐ̯
Spen	s p ɛ n
Spenen	s p ɛ n n̩
Spook	s p oː k
Spraak	s p r oː k
Stair	s t ɛː ɐ̯
Staiđer	s t ɛ ɐ̯ l ɐ
Staiđer	s t ɛ ɐ̯ l ɐ r
Staiđer	s t ɛ ɐ̯ r ɐ
Staiđer	s t ɛ ɐ̯ r ɐ r
Staiđer	s t ɛː l ɐ
Staiđer	s t ɛː l ɐ r
Staiđer	s t ɛː r ɐ
Staiđer	s t ɛː r ɐ r
Straat	s t r oː t
Stroom	s t r oː m
Swērt	s v ɛː x t
Sērk	s ɛː x k
Ter	tʰ ɛ ɐ̯
Tērp	tʰ ɛː x p
Uar	ɔː ɐ̯
Ulv	ʊ l f
Uurs	uː s
Uurt	uː x t
Wai	v a ɪ̯
Week	v eː k
Weeter	v eː d̥ ɐ
Weđer	v ɛ l ɐ
Weđer	v ɛ r ɐ
Wüf	v ʏ f
aacht	aː x t
aacht	oː x t
aaft	oː f t
aagetanj	aː ɡ ə tʰ a nʲ
aapel	aː pʰ l̩
aarberi	oː x p ə r ə
achtain	a x t a ɪ̯ n
alwen	a l v n̩
apschriwe	a p ʃ r ɪ v ə
apskriiw	a p s k r iː v
b	b
b	b̥ ~ p
bad	b a d
bade	b a d ə
began	b ə ɡ a n
begane	b ə ɡ a n ə
ber	b̥ ɛ ɐ̯
bian	b i ɐ̯ n
bigen	b̥ ə ɡ̊ ɛ n
biinj	b iː nʲ
bilewi	b̥ ə l ɛ f ə
binj	b̥ ɪ nʲ
bister	b̥ ɪ s t ɐ
bite	b ɪ tʰ ə
bitj	b ɪ tʲ
bjarn	b ʝ a ɐ̯ n
bjarste	b ʝ a ɐ̯ s t ə
bled	b l ɛ d
bleet	b̥ l eː t
blö	b̥ l œ
blööm	b l øː m
braari	b̥ r oː r ə
braase	b r aː z ə
breek	b̥ r eː k
bring	b̥ r ɪ ŋ
broose	b r oː z ə
brün	b̥ r ʏ n
bārst	b̥ aː s t
c	x
c	ç
d	d
d	d̥ ~ t
dai	d aː ɪ̯
deling	d̥ ɛ l ɪ ŋ
diling	d ɪ l ɪ ŋ
dorti	d ɔ ɐ̯ tʰ ɪ
drai	d̥ r a ɪ̯
draie	d r a ɪ̯ ə
drainke	d r a ɪ̯ ŋ k ə
dreeg	d r eː ç
dreege	d r eː ɡ ə
drei	d r a ɪ̯
drem	d r ɛ m
drem	d̥ r ɛ m
driime	d r iː m ə
driiv	d̥ r iː f
driiw	d r iː v
drink	d̥ r ɪ ŋ k
driwe	d r ɪ v ə
dräng	d r ɛ ŋ
duad	d u ɐ̯ d
duar	d̥ ɔː ɐ̯
duas	d u ɐ̯ s
däi	d ɛ ɪ̯
dörnsch	d œ ɐ̯ n ʃ
dörtig	d œ x tʰ ɪ ç
dörtig	d̥ œ x t ɪ ç
dütsk	d̥ ʏ t͡s k
düüdj	d yː dʲ
düüs	d yː s
düüsen	d yː z n̩
düüwel	d yː v l̩
e	eː
e	ɐ
e	ə
e	ɛ
een	eː n
eeđer	eː l ɐ
eeđer	eː r ɐ
ek	ɛ kʰ
elev	ɛ l ɐ f
elwen	ɛ l v n̩
f	f
faal	f aː l
faal	f oː l
fat	f a t
ferlees	f ɐ l eː z
fiartig	f i ɐ̯ x tʰ ɪ ç
fiartig	f ɛ ɐ̯ x t ɪ ç
fif	f ɪ f
fiftain	f ɪ f t a ɪ̯ n
fiiw	f iː v
fjauer	f ç a ʊ̯ ɐ
fjauertanj	f ç a ʊ̯ ɐ tʰ a nʲ
fjouer	f ç ɔ ʊ̯ ɐ
fjouertäin	f ç ɔ ʊ̯ ɐ tʰ ɛ ɪ̯ n
fjuur	f ç uː ɐ̯
fjuurtain	f ç uː ɐ̯ d̥ a ɪ̯ n
fliinj	f l iː nʲ
flä	f l ɛ
flö	f l œ
fo	f ɔ
forlees	f ɐ l eː s
fraag	f r aː x
fraage	f r aː ɡ ə
fraagi	f r oː x ə
frees	f r eː z
freese	f r eː z ə
fresk	f r ɛ s k
friisk	f r iː s k
frün	f r ʏ n
fu	f ʊ
fälj	f ɛ lʲ
fäärti	f ɛː ɐ̯ tʰ ɪ
fåle	f ɔ l ə
föftig	f œ f t ɪ ç
füftanj	f ʏ f tʰ a nʲ
füfti	f ʏ f t ɪ
füftäin	f ʏ f tʰ ɛ ɪ̯ n
füünj	f yː nʲ
g	x
g	ç
g	ɡ
g	ɡ̊
ginau	ɡ̊ ə n a ʊ̯
gre	ɡ̊ r ɛ
green	ɡ̊ r eː n
grip	ɡ r ɪ p
gripe	ɡ r ɪ pʰ ə
gud	ɡ ʊ d
gur	ɡ̊ ʊ ɐ̯
gödj	ɡ œ dʲ
güül	ɡ̊ yː l
h	h
haa	h aː
haa	h oː
hail	h aː ɪ̯ l
hail	h ɔ ɪ̯ l
halep	h a l ɐ p
heelpe	h eː l pʰ ə
heewe	h eː v ə
hoken	h ɔ ɡ̊ ŋ̍
hoog	h oː x
hoowe	h oː v ə
hotäl	h o tʰ ɛ l
hual	h u ɐ̯ l
hual	h ɔ ɐ̯ l
hunert	h ʊ n ɐ t
huuch	h uː x
höm	h œ m
hööbe	h øː b ə
hööpi	h øː b̥ ə
höör	h øː ɐ̯
hün	h ʏ n
hüülje	h yː lʲ ə
i	iː
i	ə
i	ɪ
ian	i ɐ̯ n
iarem	i ɐ̯ r ɐ m
iidj	iː dʲ
iilj	iː lʲ
iinj	iː nʲ
iit	iː t
ja	j a
jen	j ɛ n
jit	j ɪ t
jooge	j oː ɡ ə
junk	j ʊ ŋ k
k	kʰ ~ k
k	ɡ̊
kiarel	kʰ i ɐ̯ r l̩
kjarl	k ç a ɐ̯ l
koopi	kʰ oː b̥ ə
krep	kʰ r ɛ p
krich	kʰ r ɪ ç
kriipe	kʰ r iː pʰ ə
kualew	kʰ u ɐ̯ l o
kualew	kʰ u ɐ̯ l ɐ v
kuuch	k uː x
kuul	kʰ uː l
kuulew	kʰ uː l ə v
kuupe	kʰ uː pʰ ə
kåmp	kʰ ɔ m pʰ
kölj	kʰ œ lʲ
köögem	kʰ øː ɡ ə m
köögen	kʰ øː ɡ ŋ̍
kööki	kʰ øː ɡ̊ ə
l	l
laache	l aː x ə
laap	l oː p
laawen	l aː v n̩
lachi	l a ç ə
leeg	l eː ç
leewent	l eː v n̩ tʰ
let	l ɛ t
luup	l uː p
luupe	l uː pʰ ə
lååke	l ɔː kʰ ə
lönj	l œ nʲ
löög	l øː ç
lüüs	l yː s
m	m
maage	m aː ɡ ə
maaki	m oː ɡ̊ ə
meet	m eː t
moon	m ʊ n
moune	m ɔ ʊ̯ n ə
mätje	m ɛ tʲ ə
mönster	m œ n s t ɐ
möt	m œ t
n	m̩
n	n
n	n̩
n	ŋ
n	ŋ̍
naiel	n aː j ə l
neegentig	n eː ç n̩ d̥ ɪ ç
neegentig	n eː ɡ ŋ̍ tʰ ɪ ç
niigen	n iː ç n̩
niigentain	n iː ç n̩ tʰ a ɪ̯ n
njüügen	nʲ yː ɡ ŋ̍
njüügentanj	nʲ yː ɡ ŋ̍ tʰ a nʲ
noome	n oː m ə
näägenti	n ɛː ɡ ŋ̍ tʰ ɪ
nåcht	n ɔ x t
nü	n ʏ
nüügen	n yː ɡ ŋ̍
nüügentäin	n yː ɡ ŋ̍ tʰ ɛ ɪ̯ n
o	o
o	oː
o	ɐ
o	ɔ
oler	ɔ l ɐ
oocht	oː x t
oochtäin	oː x tʰ ɛ ɪ̯ n
p	b̥
p	pʰ ~ p
pluugi	pʰ l uː x ə
r	r
r	ʁ
ride	r ɪ d ə
ridj	r ɪ dʲ
rir	r ɪ ɐ̯
ruar	r ɔ ɐ̯
s	s
s	z
sai	s iː
sark	s a x k
sat	s a t
sate	s a tʰ ə
schap	ʃ a pʰ
schit	ʃ ɪ t
schite	ʃ ɪ tʰ ə
schong	ʃ ɔ ŋ
schriwe	ʃ r ɪ v ə
schunge	ʃ ʊ ŋ ə
schäip	ʃ ɛ ɪ̯ pʰ
schååp	ʃ ɔː pʰ
schörk	ʃ œ ɐ̯ k
schük	ʃ ʏ k
schüwe	ʃ ʏ v ə
se	s ɛ
sedel	s ɛ d l̩
seede	s eː d ə
seeks	s eː k s
seekstanj	s eː k s tʰ a nʲ
seekstäin	s eː k s tʰ ɛ ɪ̯ n
set	s ɛ t
sii	s iː
siinj	s iː nʲ
sjit	ʃ ɪ t
sjuk	ʃ ʊ k
sjung	ʃ ʊ ŋ
skaab	s k aː b
skap	s k a pʰ
skeb	s k ɛ b
skit	s k ɪ t
skitj	s k ɪ tʲ
skriiv	s k r iː f
skriiw	s k r iː v
skuch	s k ʊ x
sküüv	s k yː f
sküüw	s k yː v
sliap	s l i ɐ̯ p
sliip	s l iː p
slite	s l ɪ tʰ ə
släipe	s l ɛ ɪ̯ pʰ ə
slüt	s l ʏ t
slütj	s l ʏ tʲ
smit	s m ɪ t
smite	s m ɪ tʰ ə
smitj	s m ɪ tʲ
soks	s ɔ k s
sokstain	s ɔ k s t a ɪ̯ n
soowen	s oː f n̩
soowen	s oː v n̩
soowentain	s oː f n̩ tʰ a ɪ̯ n
soowenti	s oː v n̩ tʰ ɪ
soowentäin	s oː v n̩ tʰ ɛ ɪ̯ n
spaale	s p aː l ə
spele	s p ɛ l ə
spreeg	s p r eː ç
spreege	s p r eː ɡ ə
spreek	s p r eː k
spriak	s p r i ɐ̯ k
spriik	s p r iː k
spring	s p r ɪ ŋ
spräke	s p r ɛ kʰ ə
spränge	s p r ɛ ŋ ə
spöli	s p œ l ə
steeg	s t eː ç
steege	s t eː ɡ ə
steek	s t eː k
steel	s t eː l
steele	s t eː l ə
sterev	s t ɛ r ɐ f
sterew	s t ɛ r o
sterew	s t ɛ r ɐ v
stial	s t ɛ ɐ̯ l
stiig	s t iː ç
stjonk	s t ç ɔ ŋ k
stjunk	s t ç ʊ ŋ k
stjunke	s t ç ʊ ŋ kʰ ə
struum	s t r uː m
stun	s t ʊ n
stuun	s t uː n
stärwe	s t ɛ ɐ̯ v ə
stönje	s t œ nʲ ə
suurt	s uː x t
sweer	s v eː ɐ̯
sweere	s v eː r ə
swiar	s v ɛː ɐ̯
sä	s ɛ
säke	s ɛ kʰ ə
söstig	s œ s t ɪ ç
sööge	s øː ɡ ə
sööwen	s øː v n̩
sööwentanj	s øː v n̩ tʰ a nʲ
sööwentig	s øː f n̩ d̥ ɪ ç
sööwentig	s øː v n̩ tʰ ɪ ç
süch	s ʏ ç
süp	s ʏ p
süpe	s ʏ pʰ ə
süsti	s ʏ s t ɪ
süüg	s yː ç
t	d̥
t	tʰ ~ t
tachenti	tʰ a x n̩ tʰ ɪ
tachentig	tʰ a x n̩ d̥ ɪ ç
tachentig	tʰ a x n̩ tʰ ɪ ç
tau	tʰ a ʊ̯
taui	tʰ a ʊ̯ ə
teenk	tʰ eː ŋ k
tii	tʰ iː
tiin	tʰ iː n
tiinj	tʰ iː nʲ
toorp	tʰ oː ɐ̯ pʰ
tou	tʰ ɔ ʊ̯
tra	tʰ r a
trane	tʰ r a n ə
tratäin	tʰ r a tʰ ɛ ɪ̯ n
treed	tʰ r eː d
treer	tʰ r eː ɐ̯
treese	tʰ r eː z ə
tretanj	tʰ r ɛ tʰ a nʲ
trii	tʰ r iː
trötain	tʰ r œ d̥ a ɪ̯ n
twaalew	tʰ v aː l o
twaalew	tʰ v aː l ɐ v
twane	tʰ v a n ə
tweelwen	tʰ v eː l v n̩
twelev	tʰ v ɛ l ɐ f
twesken	tʰ v ɛ s k ŋ̍
twing	tʰ v ɪ ŋ
twunti	tʰ v ʊ n tʰ ɪ
twuntig	tʰ v ʊ n d̥ ɪ ç
twuntig	tʰ v ʊ n tʰ ɪ ç
twänge	tʰ v ɛ ŋ ə
twäär	tʰ v ɛː ɐ̯
tånke	tʰ ɔ ŋ kʰ ə
tö	tʰ œ
tö	tʰ ə
töhop	tʰ œ h ɔ p
töhop	tʰ ə h ɔ p
u	uː
u	ʊ
ual	u ɐ̯ l
ual	ɔ ɐ̯ l
uar	u ɐ̯
uur	uː ɐ̯
uurd	uː ɐ̯ d
w	f
w	v
waag	v aː x
waase	v aː z ə
wai	v aː ɪ̯
wan	v a n
wane	v a n ə
wed	v ɛ d
weeg	v eː ç
weege	v eː ɡ ə
weev	v eː f
weew	v eː v
weewe	v eː v ə
weg	v ɛ ç
wen	v ɛ n
win	v ɪ n
wine	v ɪ n ə
wit	v ɪ t
witj	v ɪ tʲ
wune	v ʊ n ə
wurd	v ʊ ɐ̯ d
wäi	v ɛ ɪ̯
wårde	v ɔ ɐ̯ d ə
wååder	v ɔː d ɐ
wü	v ʏ
Önereersk	œ n ɐ eː ɐ̯ s k
Önereersk	œ n ə r eː ɐ̯ s k
Önerrocht	œ n ɐ r ɔ x t
ä	ɛ
ä	ɛː
ärm	ɛ ɐ̯ m
ääse	ɛː z ə
å	ɔ
å	ɔː
ån	ɔ n
ånert	ɔ n ɐ tʰ
ååpel	ɔː pʰ l̩
ååwe	ɔː v ə
ö	øː
ö	œ
önjfånge	œ nʲ f ɔ ŋ ə
önjkiike	œ nʲ kʰ iː kʰ ə
ü	yː
ü	ʏ
ülew	ʏ l ə v
üs	ʏ s
üülj	yː lʲ
üüs	yː s
üđer	ʏ l ɐ
üđer	ʏ r ɐ
ā	aː
āpskriiv	aː p s k r iː f
ārig	aː r ɪ ç
đ	l
đ	r
ē	ɛː
