Aal	ɔː l
för	f øː ɐ̯
för	v ɵ ɘ
för	v ɵ ɘ
för	v ɵː r
för	v ɵ r
för	f œː r
för	f øː r
för	v øː r
fördem	f œ͡ɐ d eː m
fördęm	f œ͡ɐ d ɛː m
Füer	f yː r
Füer	f yː
füllen	f ʏ lː ə n
füllen	f ʏ lː n
füllen	f ʏ l ə n
füllen	f ʏ l n
gahn	ɡ aː n
gahn	ɡ ɒː n
gaon	x ɔː n
gau	ɡ a ʊ̯
Gebett	ɡ ə b e t
geel	ɡ eː l
gel	ɡ eː l
Gemeen	ɡ ə m e ɪ n
Gemeende	ɡ ə m e ɪ n d ə
Gemeende	ɡ ə m e ɪ n d
Gemeenschop	ɡ ə m e ɪ n ʃ o p
Giesel	ɡ iː z ə l
gluustern	ɡ l uː s t ə r n
god	ɡ oː t
god	ɣ oː t
Goos	ɡ oː s
grag	ɣ ɾ ɒː x
grag	ɣ ɾ ɔː x
grag	ʝ ɾ ɔː x
grag	ʝ ɾ ɒː x
grag	ɡ ɾ ɒː x
grag	ɡ ɾ ɔː x
grienen	ɡ r iː n ə n
gris	ɡ r iː s
groot	ɣ r oː t
gräun	ɡ ɾ ɔ ɪ n
grön	ɡ ɾ œ ɪ̯ n
gued	ɣ ʊ ə̯ t
gęl	ɡ ɛː l
hai	h a ɪ̯
Hand	h a n t
he	h ɛ ɪ̯
Heekt	h ɛː k t
hei	h ɛ ɪ̯
hei	h a ɪ̯
Heide	ɦ ɛ ɪ d ə
Heide	ɦ ɛ ɪ ɾ ə
Heide	ɦ a ɪ d ə
Heide	ɦ a ɪ ɾ ə
Hekten	h ɛ k t ə n
Hiärt	h i̯ ɛ r t
Holt	h ɔˑ ɫ t
hooch	ɦ oː x
Hunger	h ʊ ŋː ə r
Hunger	h ʊ ŋː ə
huoppen	h u̯ ɔ p ə n
Huut	h uː t
ick	ɪ k
ieme	i m ə
Ies	i s
ik	ɪ k
Imm	ɪ m
Isen	iː z ə n
iähr	i̯ ɛ r
jagen	j ɒː ɡ ə n
jagen	j ɔː ɡ ə n
jung	j ʊ ŋ k
Kalür	k a l yː ɛ
kamen	k ɔː m ə n
kennen	k ɛ n n ə n
kennen	k ɛ n ə n
kieken	k iː k ə n
Kind	k ɪ n t
Kindjees	k ɪ n t j ɛ ɪ̯ s
klook	k l oː k
Klöör	k l œ ɪ̯͡ɐ
Klür	k l y ɘ̯
Knaken	k n ɔː k n̩
Knaken	k n ɒː k n̩
kold	kʰ ɔː ɫ t
kommodig	k ɔ m oː d ɪ ç
Kooj	k oː i̯
koolt	kʰ ɔː ɫ t
koose	k oː z ə
kopen	k oː p ə n
Krieg	k ɾ iː ç
Krieg	k ɾ iː x
Krig	k ɾ iː ç
Krig	k ɾ i ç
Krig	k ɾ iː x
Krig	k ɾ i x
kuemen	k ʊ ə̯ m ə n
Köken	k œː k ə n
Köken	k øː k ə n
könen	k øː n ə n
köpen	k øː p ə n
laat	l aː t
laat	l ɔː t
laat	l ɒː t
lachen	l a x ə n
laden	l aː d n̩
laden	l aː d ə n
Lass	l a s
leggen	l ɛ ŋ
leggen	l ɛ ɣː ə n
leggen	l ɛ ɣ ə n
leggen	l ɛ ɡː ə n
leggen	l ɛ ɡ ə n
leggen	l e ɣː ə n
leggen	l e ɣ ə n
Lien	l iː n
liäben	l i̯ ɛ v ə n
luustern	l uː s t ə r n
lättst	l ɛ t s t
Lögen	l œː ɣ ə n
Lögen	l øː ɣ ə n
löken	l øː k ə n
löven	l øː v ə n
lütt	l ʏ t
lüüstern	l yː s t ə r n
maken	m aː k ə n
maken	m aː k ə n
maken	m aː k ə
maken	m æː k ə n
maken	m æː k ə
maken	m ɑː k ə n
maken	m ɑː k ə
maken	m ɒː k ə n
maken	m ɒː k ə
maken	m ɔ ʊ̯ k ə n
maken	m ɔ ʊ̯ k ə
Mett	m ɛ t
mi	m i
mid	m ɪ t
Miegeemk	m iː ç eː m k
Miegeemk	m iː ç eː m
mir	m iː æ̯
mir	m iː ə̯
mir	m iː r
moin	m ɔː ɪ n
moin	m ɔː ɪ ŋ
Morgen	m ɔ r ɡ n̩
morgens	m ɔ r ɡ n̩ s
morgens	m ɔ r n̩ s
Morrn	m ɔ r n̩
morrns	m ɔ r n̩ s
Muus	m u s
männig	m ɛ n ɪ ç
mögen	m œː ɣ ə n
mögen	m œː ŋ
mögen	m øː ɣ ə n
mögen	m øː ŋ
möten	m øː t n̩
möten	m øː t ə n
Nacht	n a x t
nachtens	n a x t ə n s
nachts	n a x t s
nehmen	n eː m ə n
nich	n ɪ ç
nich	n ɪ x
nich	n ɪ
noog	n o ʊ x
Ohr	oː r
old	ɔː ɫ t
Oog	oː x
oolt	oː l t
Orlog	o ʊ ɾ l ɔ x
Paosken	p ɔː s k ə n
Piärd	p i̯ ɛ ɐ̯ t
Plattdüütsch	p ɫ ɑ ʈ d yː t͡ʃ
Riool	r i j oːˑ l
Riool	r i oːˑ l
rod	ɾ ɔ u̯ t
ruum	r uː m
Rüe	r ʏ ə
Rüen	r ʏ ə̯ n
Ręgen	ɾ ɛː ŋ̩
Sadel	z ɔː d ə l
Sadel	z aː d ə l
Sang	z a ŋ k
Sang	s a ŋ k
Schaad	ʃ aː t
Schaam	ʃ aː m
Schaap	ʃ aː p
Schaden	ʃ aː d ə n
Schaden	s x aː d ə n
Schaiper	ʃ a ɪ̯ p ə r
Scharr	ʃ a ɾ
Scharr	s x a ɾ
Scharre	s x a ɾ ə
Scharre	ʃ a ɾ ə
schier	ʃ iː ɾ
Schipp	ʃ ɪ p
schirrwarken	ʃ ɪ ɾ v ɑ͡ɐ k n̩
schrieven	ʃ r iː v ə n
Schuld	ʃ ʊ l t
Schäöper	ʃ œː p ə r
schölen	ʃ øː l ə n
se	z eː
se	s eː
se	z ɛ ɪ
se	s ɛ ɪ
seggen	z ɛ ɡ ə n
sehn	s eː n
sehn	s ɛ ɪ n
sehn	s e ɪ n
sehn	z eː n
sehn	z ɛ ɪ n
sehn	z e ɪ n
sehn	s̺ eː n
sehn	s̺ ɛ ɪ n
sehn	s̺ e ɪ n
sehn	s̺ ɛː n
sei	z ɛ ɪ̯
sei	z a ɪ̯
sien	z iː n
Siëge	s i ə̯ ɣ ə
slaan	s l ɔː n
slaan	s l ɒː n
smuustern	ʃ m uː s t ə r n
smüüstern	ʃ m yː s t ə r n
Spraak	s p r ɔː k
stahn	s t ɒː n
staon	ʃ t ɔː n
staon	s t ɔː n
stark	s t a r k
stark	s t aː k
Steen	s t eː n
Steen	ʃ t ɛ ɪ̯ n
Stein	s t ɛ ɪ̯ n
Stein	ʃ t a ɪ̯ n
striden	s t ɾ iː d n̩
striden	ʃ t ɾ iː d n̩
strieden	s t ɾ iː d n̩
strieden	ʃ t ɾ iː d n̩
swart	s w a r t
swart	s w aː t
swart	s v aː t
swart	z w a r t
swart	z w aː t
swart	s w a t
swart	s v a t
swellen	s v ɛ l ə n
sæben	z ɶː b n̩
sæwen	z ɶː v n̩
söken	s øː k ə n
söken	s œ ʏ k ə n
söken	z øː k ə n
söken	z œ ʏ k ə n
söß	z œ s
söß	s œ s
süss	z ʏ s
sœben	z ɶː b n̩
sœwen	z ɶː v n̩
tellen	t ɛ l ə n
Tied	t iː t
traag	t ʀ aː x
Tung	t ʊ ŋ
Tung	t ʊ ŋ ɡ
Tung	t ʊ ŋː
twee	t v eː
Tüder	t yː d ɐ
Tügen	t yː ɣ ə n
Tüüg	t yː x
Ur	uː ɾ
Urlog	uː ɾ l ɔ x
Vader	f aː d ə r
veel	f eː l
veel	f ɛ ɪ̯ ɫ
vergeten	f ə r ɡ eː t ə n
vergeten	f ə r ɡ ɛː t ə n
verköpen	v ə r k øː p ə n
verwysing	v ə ʋ iː z ɪ ŋ
Vuegel	f ʊ ə̯ ɣ ə l
vull	f ʊ l
vull	f ɔ l
Vörhamer	f œː r h ɔː m ə r
vęl	f ɛː l
waar	v aː r
waen	ʋ ɛː n
wann	ʋ ɑ n
wann	v a n
wann	w a nː
wannehr	v a n eː r
warken	w a r k ə n̩
Water	v aː t ə r
wenn	v ɛ n
wesen	ʋ ɛː z ə n
wesen	v ɛː z ə n
wesen	w ɛː z ə n
wesen	β ɛː z ə n
wesen	ʋ eː ə n
wesen	ʋ ɛː n
wesen	ʋ ɪ ɛ z ə n
wesen	ʋ ɪ a z ə n
wesen	ʋ eː z ə n
wesen	β eː a z ə n
wesen	ʋ eː a z ə n
Westfalen	v ɛ s t f ɔː l n̩ ~ v ɛ s t f ɒː l n̩ ~ v ɛ s t f oː l n̩
Westfalen	v ɛ s t f ɔː l n̩ ~ v ɛ s t f ɒː l n̩ ~ v ɛ s f oː l n̩
Westfalen	v ɛ s t f ɔː l n̩ ~ v ɛ s f ɒː l n̩ ~ v ɛ s t f oː l n̩
Westfalen	v ɛ s t f ɔː l n̩ ~ v ɛ s f ɒː l n̩ ~ v ɛ s f oː l n̩
Westfalen	v ɛ s f ɔː l n̩ ~ v ɛ s t f ɒː l n̩ ~ v ɛ s t f oː l n̩
Westfalen	v ɛ s f ɔː l n̩ ~ v ɛ s t f ɒː l n̩ ~ v ɛ s f oː l n̩
Westfalen	v ɛ s f ɔː l n̩ ~ v ɛ s f ɒː l n̩ ~ v ɛ s t f oː l n̩
Westfalen	v ɛ s f ɔː l n̩ ~ v ɛ s f ɒː l n̩ ~ v ɛ s f oː l n̩
Westfalen	ʋ ɛ s t f aː l n̩ ~ ʋ ɛ s t f ɔː l n̩
Westfalen	ʋ ɛ s t f aː l n̩ ~ ʋ ɛ s f ɔː l n̩
Westfalen	ʋ ɛ s f aː l n̩ ~ ʋ ɛ s t f ɔː l n̩
Westfalen	ʋ ɛ s f aː l n̩ ~ ʋ ɛ s f ɔː l n̩
Westfaolen	v ɛ s t f ɔː l ə n
Westfaolen	v ɛ s t f ɒː l ə n
westfäölsk	v ɛ s t f œː l s k
wies	ʋ iː s
wild	v ɪ l t
Wils	v ɪ l z
Wind	w ɪ n t
winken	w ɪ ŋ k ə n
winken	v ɪ ŋ k ə n
witt	v i t
witt	v ɪ t
wo	v ɔ u̯
Woold	ʋ ɔː ɫ t
Woolt	ʋ ɔː ɫ t
wor	v ɔː r
wüllen	w ʏ lː ə n
wüllen	v ʏ l ə n
węsen	w ɛː z ə n
Zeeg	t s eː ç
Zeeg	s eː ç
àder	ɔ d ɐ
àder	ɔ ð ɐ
âdräötig	ɑː d r œː t ɪ ç
Âke	aː k ə
Âken	aː k ɘ n
Ägg	ɛ ɡː
Äken	ɛː k ɘ n
Åder	ɔː d ɐ
Åk	ɔː k
övel	œː v ə l
övel	øː v ə l
över	œː v ə r
över	øː v ə r
üm	y m
üm	u m
ünnergahn	y n ə ɡ ɔː n
ünnergahn	y n ə ɡ ɒː n
ünnergahn	y n ə r ɡ ɔː n
ünnergahn	y n ə r ɡ ɒː n
üöver	y̆ œ v ə r
Ę	ɛ ə
Ę	æ ə
Ę	ɛː
Ę	æː
