abad	a b a d
ishlatmoq	i ʃ l a t m ɒ q
Ishoq	i s h ɒ q
ishchi	ʔ ɪ ʃ t͡ʃ ɪ
ingliz	i ŋ l i z
j	d͡ʒ
J	d͡ʒ
jahon	d͡ʒ a h ɒ n
Jizzax	d ʒ i z z a χ
jodugar	d͡ʒ ɒː d uː ɡ æ ɾ
juma	d͡ʒ u m a
joʻxori	d͡ʒ o χ ɒ ɾ i
kabi	k æ b i
kattakon	k æ t t æ k ɒ n
kel	k ɛ l
kel	ɡ æ l
kelin	k ɛ l ɪ n
kelmoq	k ɛ l m ɒ q
kerak	k ɛ r a k
keng	k e ŋ ɡ
keng	k e ŋ
kinoya	k ɪ n ɒ j æ
kishi	k i ʃ i
korol	k ɒ r ɒ l
kun	k u n
kun	ɡ ʊ n
kuz	k ʊ z
kuz	ɡ ʊː z
kuch	k ʊ t͡ʃ
koʻk	k o k
koʻl	k o l
koʻp	k o p
koʻr	k o ɾ
koʻrlik	k o ɾ l ɪ k
koʻrsatmoq	k o ɾ s æ t m ɒ q
koʻtarilmoq	k ɔ t ɑ ɾ i l m ɒ q
koʻtarinki	k o t̪ ɑ ɾ i n k i
lager	l a ɡ e r
maishat	m æ i ʃ æ t
makkajoʻxori	m a k k a d͡ʒ o χ ɒ ɾ i
maktab	m a k t a b
Margʻilon	m a r ʁ i l ɒ n
men	m e n
men	m ɛ n
menga	m e ŋ ɡ a
Mirrix	m i r r i χ
ming	m i ŋ
moddiy	m ɒ d d i j
momiq	m ɒ m i q
Mozambik	m o z æ m b i k
muhim	m u h i m
muhimlik	m u h i m l i k
munozara	m u n o z ɑ r ɑ
muqaddima	m u q æ d d i m æ
muxtor	m u χ t ɒ r
muxtoriyat	m u χ t ɒ r i j æ t
muz	m u z
mushuk	m u ʃ u k
nafas	n a f a s
nafosat	n æ ɸ ɒ s æ t
najosat	n æ d͡ʒ ɒ s æ t
Namangan	n a m a ŋ ɡ a n
naql	n æ q l
Navoiy	n a ʋ ɒ i j
niyat	n i j æ t
nok	n ɔ k
nordon	n ɒ ɾ d̪ ɒ n
nuqson	n u q s ɒ n
odam	ɒ d a m
olma	ɒ l m a
olti	ɒ l t i
oltin	ɒ l t ɪ n
ona	ɒ n a
orol	ɒ ɾ ɒ l
osmon	ɒ s m ɒ n
osmoniy	ɒ s m ɒ n iː
osmonlamoq	ɒ s m ɒ n l ɑ m ɒ q
osmoq	ɒ s m ɒ q
oson	ɒ s ɒ n
ota	ɒ t a
ota	ɒ t a
otadi	ɒ t æ d i
otaman	ɔ t a m a n
otasan	ɒ t æ s æ n
otmayajak	ɒ t m æ j æ d͡ʒ æ k
otmayman	ɒ t m æ j m æ n
otmoq	ɔ t m ɔ q
otmoqchiman	ɒ t m ɒ q t͡ʃ i m æ n
ovoz	ɒ v ɒ z
oxirat	ɒ χ i r æ t
oy	ɒ j
oydek	ɒ j d ɛ k
ozod	ɒ z ɒ d
ozodlik	ɒ z ɒ d l i k
ogʻir	ɒ ʁ i r
oshiq	ɒ ʃ ɪ q
och	ɒ t ʃ
ochlik	ɒ t ʃ l i k
ochmoq	ɒ t͡ʃ m ɒ q
pamildori	p æ m i l d ɒ ɾ i
pashsha	p a ʃ ʃ a
pirat	p ɪ r a t
pornografiya	p ɔ r n ɔ ɡ r a f ɪ j a
potinjon	p ɒ t i n d͡ʒ ɒ n
provinsiya	p r ɒ v i n s i j æ
pul	p ʊ l
qanot	q a n ɒ t
Qarshi	q a r ʃ i
qatagʻon	q a t a ʁ ɒ n
qavat	q a ʋ a t
qilmoq	q i l m ɒ q
qimiz	q i m i z
qirgʻiz	q i ɾ ʁ i z
Qirgʻiziston	q i ɾ ʁ i z i s t ɒ n
qiz	q i z
qiz	q iː z
qishloq	q i ʃ l ɔ q
qolmoq	q ɒ l m ɒ q
qon	q ɒ n
qora	q ɒ ɾ a
qoraqalpoq	q ɒ ɾ a q a l p ɒ q
qozoq	q ɒ z ɒ q
Qozogʻiston	q ɒ z ɒ ʁ ɨ s t ɒ n
qul	q u l
qum	q u m
Qoʻqon	q o q ɒ n
rahmat	r a h m a t
rakovina	r æ k ɔ v i n æ
rakovina	r æ k ɔ w i n æ
ravshan	r a ʋ ʃ a n
rang	r a ŋ ɡ
rang	r a ŋ
Rossiya	r a sʲ i j a
Rossiya	r o s i j æ
ruhdan	r u h d ɑ n
ruhoniy	r u h ɒ n i j
sakson	s a k s ɒ n
samimiy	s æ m i m i j
sanʼat	s a n ʔ a t
sarflamoq	s a r f l a m ɒ q
savol	s æ w ɒ l
sevmoq	s e v m ɒ q
sigara	s i ɡ a r a
siloh	s i l ɒ h
siz	s i z
soch	s ɔ t͡ʃ
sumalak	s u m a l a k
suv	s ʊ ʋ
soʻfi	s o f i
soʻm	s o m
soʻramoq	s o ɾ æ m ɒ q
soʻroq	s o ɾ ɒ q
soʻz	s o z
soʻzlik	s o z l i k
tajalli	t a d ʒ a l l i
tanaffus	t æ n æ ɸ ɸ u s
taqmoq	t æ q m ɒ q
tariq	t æ ɾ i q
tavakkal	t æ w æ k k æ l
tavba	t æ w b æ
taxallus	t a χ a l l ʊ s
Termiz	t e r m i z
til	t ɪ l
tovar	t ɒ v a ɾ
tosh	t ɒ ʃ
tosh	d ɒː ʃ
Toshkent	t ɒ ʃ k ɛ n t
tuhmat	t u h m æ t
tuman	t u m a n
tuman	t u m a n
tun	t ʊ n
turk	t u ɾ k
turkiy	t u ɾ k i j
tuz	t ʊ z
tushunmoq	t u ʃ u n m ɒ q
toʻngʻiz	t ɵ n ʁ ɨ z
toʻrt	t o r t
u	ʔ ʊ
ular	ʔ ʊ l a r
uradi	u ɾ æ d i
uradilar	u ɾ æ d ɪ l æ ɾ
uraman	u ɾ æ m æ n
uramiz	u ɾ æ m ɪ z
urasan	u ɾ æ s æ n
urasiz	u ɾ æ s ɪ z
urmoq	u ɾ m ɒ q
uxlamoq	ʊ χ l æ m ɒ q
uy	u j
uzum	u z u m
uch	ʔ ʊ t͡ʃ
uchun	ʔ ʊ t͡ʃ ʊ n
va	v æ
vahshiy	w æ h ʃ i j
vaqt	ʋ a q t
vazir	ʋ a z i r
vijdon	w i ʒ d ɒ n
vijdoniy	w i ʒ d ɒ n i j
viloyat	ʋ i l ɒ j a t
xalq	χ a l q
xarip	x æ ɾ i p
xazina	χ a z i n a
xachir	χ æ t͡ʃ i ɾ
xoin	χ ɒ i n
xurofiy	χ u r ɒ ɸ i j
xurofot	χ u r ɒ ɸ ɒ t
xusus	χ u s u s
xususan	χ u s u s a n
xoʻja	χ o d͡ʒ a
yalangʻoch	j a l a n ʁ ɒ t͡ʃ
yaxshi	j a χ ʃ i
yangi	j æ ŋ ɡ i
yemoq	j e m ɒ q
yer	j e r
yil	j i l
yoki	j ɒ k i
yolgʻon	j ɒ l ʁ ɒ n
yomgʻir	j ɒ m ʁ i r
yoqmoq	j ɒ q m ɒ q
yorugʻ	j ɒ r u ʁ
yoz	j ɒ z
yoz	j ɑː z
yosh	j ɔ ʃ
yulduz	j ʊ l d ʊ z
yoʻl	j o l
yoʻl	j oː l
yoʻldosh	j o l d ɒ ʃ
yoʻq	j o q
yoʻq	j oː q
zamon	z a m ɒ n
zavq	z æ w q
ziyo	z i j ɒ
Ziyo	z i j ɒ
zohir	z ɒ h i r
zohiriy	z ɒ h i r i j
oʻ	o
Oʻ	o
oʻn	ʔ o n
oʻqish	o q i ʃ
oʻrganmoq	o r ɡ æ n m ɒ q
oʻt	o t
oʻyin	o j ɪ n
oʻynamoq	o j n ɑ m ɒ q
oʻzbek	o z b e k
Oʻzbekiston	o z b e k i s t ɒ n
oʻgʻil	o ʁ i l
gʻ	ʁ
Gʻ	ʁ
gʻa	ʁ a
sh	ʃ
shahar	ʃ a h a r
sher	ʃ e r
shirin	ʃ i r i n
ch	t ʃ
chekmoq	t͡ʃ e k m ɒ q
Chikago	t ʃ i k æ ɡ o
chiqish	t͡ʃ i q i ʃ
chiqmoq	t͡ʃ i q m ɒ q
chivin	t͡ʃ ɨ v ɨ n
choy	t͡ʃ ɔ j
chuqur	t͡ʃ u q u ɾ
choʻchqa	t͡ʃ o t͡ʃ q a
ng	ŋ
боғ	b ɒ ʁ
ۋ	v e
ۋ	v
