־טום	t ʊ m
גרײַז	ɡ ʁ aː z
גײַסט	ɡ a ɪ s t
גײַסטיק	ɡ a ɪ s t ɪ k
גײַסטיק	ɡ aː s t ɪ k
דאַרף	d a f
דאָ	d u
דאָס	d ɔ s
דאָס	d ʊ s
די	d i
דעם	d ɛ m
דער	d ɛ r
האַנט	h a n t
האָבן	h ɔ b m̩
האָבן	h ɔ b n̩
האָגל	h ʊ ɡ l̩
האָר	h ɔ ʁ
האָר	h ʊ ʁ
הויז	h o ʊ̯ z
הויז	h oː z
הויז	h ɔ ɪ̯ z
הויט	h e ɪ t
הויט	h ɔː t
הויך	h e ɪ̯ χ
הענט	h ɛ n t
הקדמה	h a ɡ d ɔ m ə
וואָגן	v u ɡ ŋ̩
וואָגן	v uː ɡ ŋ̩
וואָס	v ɔ s
וואָס	v ʊ s
וואָסערע	v ɔ s ə r ə
וואָקזאַל	v ɔ ɡ z a l
וווּרשט	v ɪ ʁ ʃ t
וווּרשט	v ʊ ʁ ʃ t
וויסן	v ɪ s n̩
ווערב	v ɛ ʁ b
ווײַזפֿינגער	v a ɪ s f ɪ n ɡ ə ʁ
ווײַזפֿינגער	v aː s f ɪ n ɡ ə ʁ
זאַנג	z a ŋ
זאַנג	z a ŋ ɡ
זאָגט	z u k t
זאָגט	z uː k t
זאָגט	z ɔ k t
זאָגן	z ʊ ɡ ŋ̩
זיבן	z i b m̩
זיבן	z iː b m̩
זיבן	z ɪ b m̩
זינגען	z ɪ ŋ ɡ ŋ̩
זיצטרין	z ɪ t s t ʁ ɪ n
זכות	s χ ɨ s
זכות	s χ ɪ s
זכות	s χ ʊ s
זנבֿ	z uː n ə f
זקן	z ʊ k n̩
זקנדיק	z ʊ k n̩ d ɪ k
זקנה	s k a ɪ̯ n ə
זקנה	s k e ɪ̯ n ə
זקנה	s k ɛ ɪ̯ n ə
זקניש	s k a ɪ̯ n ɪ ʃ
זקניש	s k e ɪ̯ n ɪ ʃ
זקניש	s k ɛ ɪ̯ n ɨ ʃ
זקניש	s k ɛ ɪ̯ n ɪ ʃ
זײַנען	z a ɪ n ə n
חופּה	χ ɨ p ə
חופּה	χ ɪ p ə
חופּה	χ ʊ p ə
חורבן	χ ɔ r b m̩
חורבן	χ ɛ r b m̩
חורבן	χ ʊ r b m̩
חזיר	χ a z ə ʁ
חלום	χ u l ə m
חלום	χ uː l ə m
חלום	χ ɔ l ə m
חן	χ a ɪ̯ n
חן	χ ɛ ɪ̯ n
חן־יאָדלע	χ a ɪ̯ n j ɔ d ɫ ə
חן־יאָדלע	χ e ɪ̯ n j ɔ d ɫ ə
חצות	χ ə t͡s ɔ s
חשבון	χ ɛ ʒ b m̩
חשבונען	χ ɛ ʒ b ɜ n ɜ n
טאַטע	t a t ə
טאַטע	t o t ə
טייטן	t ɛ j t n̩
טיילמאָליק	t a ɪ̯ l m ʊ l ɪ k
טרעטן	t ʁ ɛ t n̩
יאָ	j ɔ
יזכּור	j ɨ s k ə ʁ
יזכּור	j ɪ s k ə ʁ
יזכּור־בוך	j ɪ s k ə ʁ b i χ
יזכּור־בוך	j ɪ s k ə ʁ b iː χ
יזכּור־בוך	j ɪ s k ə ʁ b ʊ χ
ייִד	j i d
ייִדן	j i d n̩
יקרותדיק	j a k r ə z d ɪ k
ירושלים	ʁ ɪ ʃ ɫ a ɪ m
ירושלים	ʁ ɪ ʃ ɫ aː ɪ m
ירושלים	ʃ ɫ a ɪ m
ירושלים	ʃ ɫ aː ɪ m
ישׂראל	j ɪ s ʁ ɔ ɪ̯ ɫ
כאַפּן	χ a p m̩
לאַקס	l a k s
לייב	ɫ a ɪ̯ p
לייב	ɫ e ɪ̯ b
לעבן	ɫ e ɪ b m̩
לעבן	ɫ ɛ b m̩
לענדער	l ɛ n d ə r
לעסביאַניש	l ɛ z b j a n ɨ ʃ
לעסביאַניש	l ɛ z b j a n ɪ ʃ
לשון־זכר	l uː ʃ n̩ z ʊ χ ə ʁ
לײַב	l a b
לײַב	l a ɪ b
לײַב	l aː b
מאַמאַליגע	m ɑ m ɑ l i ɡ ɛ
מאַמע	m a m ə
מאַמע	m ɔ m ə
מאַנדלברויט	m a n d l̩ b r e ɪ̯ t
מאַנדלברויט	m a n d l̩ b r ɔ u t
מאַנדלברויט	m a n d l̩ b r ɔ ɪ̯ t
מאַראַנץ	m a ʁ a n t s
מאַרך	m a ʁ χ
מאָגן	m ɔ ɡ ə n
מאָגן	m ʊ ɡ ə n
מאָנאָפּאָל	m ɔ n ɔ p ɔ l
מבֿינותדיק	m ə v i n ə z d ɨ k
מבֿינותדיק	m ə v iː n ə z d ɪ k
מבֿינותדיק	m ə v ɪ n ə z d ɪ k
מוזיק	m ʊ z ɪ k
מוח	m e ɪ ə χ
מוח	m ɔ ɪ ə χ
מוטער	m ɪ t ə ʁ
מוטער	m ʊ t ə ʁ
מוטערשייד	m ɪ t ə ʁ ʃ a ɪ d
מוטערשייד	m ʊ t ə ʁ ʃ ɛ ɪ d
מויז	m a ɪ̯ z
מויז	m o ʊ̯ s
מויז	m oː s
מויז	m ɔ ɪ̯ z
מויער	m oː ə ʁ
מויער	m u ə ʁ
מויער	m ɔ ɪ̯ ə ʁ
מויער	m ɔ ʊ̯ ə ʁ
מומע	m i m ə
מומע	m iː m ə
מומע	m ʊ m ə
מושבֿ־זקנים	m e ɪ̯ ʃ ə f s k e ɪ̯ n ə m
מושבֿ־זקנים	m ɔ ɪ̯ ʃ ə f s k a ɪ̯ n ə m
מושבֿ־זקנים	m ɔ ɪ̯ ʃ ə f s k ɛ ɪ̯ n ə m
מחנותווײַז	m a χ n ə z v a z
מחנותווײַז	m a χ n ə z v a ɪ̯ z
מחנותווײַז	m a χ n ə z v aː z
מיידל	m a ɪ̯ d ɫ̩
מיידל	m e ɪ̯ d ɫ̩
מיידלעך	m a ɪ̯ d ɫ ə χ
מיידלעך	m e ɪ̯ d ɫ ə χ
מיכאל	m ɪ χ ɔ ɪ̯ ɫ
מלאך־המות	m a l ə χ a m u v ə s
מענטש	m ɛ n t͡ʃ
מער	m e j ə
מער	m eː ʀ
מער	m ɛ ʁ
משפּחהדיק	m ɪ ʃ p ɔ χ ə d ɪ k
משפּחהדיקן	m ɪ ʃ p ɔ χ ə d ɪ k ŋ̩
משפּחהדיקס	m ɪ ʃ p ɔ χ ə d ɪ k s
משפּחהדיקע	m ɪ ʃ p ɔ χ ə d ɪ k ə
משפּחהדיקער	m ɪ ʃ p ɔ χ ə d ɪ k ə ʁ
משפּחות	m ɪ ʃ p ɔ χ ə s
מײַז	m a ɪ̯ z
נאַכטפֿויגל	n a χ t f e ɪ̯ ɡ ɫ̩
נאַכטפֿויגל	n a χ t f ɔ ɪ̯ ɡ ɫ̩
ניט	n i t
נישט	n ɪ ʃ t
ניתּבע	n ɪ d b ə
סטרונע	s t ʁ i n ə
סטרונע	s t ʁ ɪ n ə
סטרונע	s t ʁ ʊ n ə
ס׳	s
עט	ɛ t
עפּל	ɛ p ə l
עקזאַמען	ɛ ɡ z a m ə n
ערגעץ	a ʁ ə ɡ ə t͡s
ערגעץ	aː ɡ ə t͡s
ערדוואָלף	ɛ ʁ d v ɔ ɫ f
פּויק	p a ʊ k
פּויק	p oː k
פּויק	p u k
פּויק	p ɔ ɪ k
פּויק	p ɔ ʊ k
פּויק	p ɔː k
פּויק	p ʊ k
פּויק	p ʊ ɪ k
פּורים	p i ʁ ə m
פּורים	p iː ʁ ə m
פּורים	p ʊ ʁ ə m
פּירגע	p ɪ r ɡ ə
פּניותדיק	p n ɨ j ə z d ɨ k
פּניותדיק	p n ɪ j ə z d ɪ k
פּנים	p u n ə m
פּנים	p uː n ə m
פּנים	p ɔ n ə m
פּראָבלעם	p ɾ ɔ b l e͡ɪ m
פּראָבלעם	p ʁ ɔ b l e͡ɪ m
פֿאַרחובֿט	f a ʁ χ ɔ ɪ̯ f t
פֿאַרצווײַגט	f a ʀ̆ t͡s v a ɪ̯ k t
פֿאָטער	f ɔ t ə ʁ
פֿאָטער	f ʊ t ə r
פֿאָלק	f ɔ ɫ k
פֿאָלקס	f ɔ l k s
פֿויגל	f a ɪ̯ ɡ ɫ̩
פֿויגל	f e ɪ̯ ɡ ɫ̩
פֿויגל	f ɔ ɪ̯ ɡ ɫ̩
פֿון	f i n
פֿון	f ɪ n
פֿון	f ʊ n
פֿוס	f ɪ s
פֿוס	f ʊ s
פֿוקס	f i k s
פֿוקס	f ɪ k s
פֿוקס	f ʊ k s
פֿינגער	f ɪ ŋ ɡ ɜ ʁ
פֿינגערל	f ɪ ŋ ɡ ɜ ʁ l̩
פֿיסל	f ɪ s ə l
פֿלוים	f l ɔ ɪ m
פֿלוים	f l ɔː m
פֿערשקע	f ɛ ʁ ʃ k ə
פֿרוי	f ʁ o ʊ̯
פֿרוי	f ʁ oː
פֿרוי	f ʁ uː
פֿרוי	f ʁ ɔ ɪ̯
פֿרוי	f ʁ ɔ ʊ̯
פֿרוכט	f ʁ ɪ χ t
פֿרוכט	f ʁ ʊ χ t
פֿרום	f ʁ ɨ m
פֿרום	f ʁ ɪ m
פֿרום	f ʁ ʊ m
פֿרעגן	f r ɛ ɡ ŋ̩
פֿרעגן	f ʁ ɛ ɡ ŋ̩
פֿײַפֿל	f a ɪ̯ f ɫ̩
פֿײַפֿל	f aː f ɫ̩
פֿײַפֿן	f a ɪ̯ f n̩
פֿײַפֿן	f aː f n̩
צאָן	t s u n
צאָן	t s uː n
צאָן	t s ɔ n
צוזאַמען	t͡s ʊ z a m ə n
צונג	t s ɪ ŋ
צונג	t s ɪ ŋ ɡ
צונג	t s ʊ ŋ
צונג	t s ʊ ŋ ɡ
צענטערס	t s ɛ n t ə r s
צפֿון	t͡s uː f m̩
צפֿון	t͡s ɔ f m̩
קאַץ	k a t s
קאָנטינענטן	k ɔ n t i n ɛ n t n̩
קדוש־ברוך־הוא	k u d ə ʒ b u ʁ ə χ i
קדוש־ברוך־הוא	k u d ə ʒ b u ʁ χ i
קדוש־ברוך־הוא	k uː d ə ʒ b uː ʁ ə χ iː
קדוש־ברוך־הוא	k uː d ə ʒ b uː ʁ χ iː
קדוש־ברוך־הוא	k ɔ d ə ʒ b ɔ ʁ ə χ u
קדוש־ברוך־הוא	k ɔ d ə ʒ b ɔ ʁ χ u
קהלת	k ə h e ɪ̯ l ə s
קהלת	k ə h ɛ l ə s
קו	k iː
קו	k ʊ
קוועטשן	k v ɛ t ʃ n̩
קומען	k ɨ m ə n
קומען	k ɪ m ə n
קומען	k ʊ m ə n
קוקן	k ʊ k ŋ̩
קורווע	k u r v ə
קורווע	k ʊ r v ə
קורווע	k ʊ ə v ə
קורווע	k ʊ ʁ v ə
קימלברויט	k ɪ m l̩ b r e ɪ̯ t
קימלברויט	k ɪ m l̩ b r ɔ u t
קימלברויט	k ɪ m l̩ b r ɔ ɪ̯ t
קין	k ɪ n
קישקע	k ɪ ʃ k ə
קלײַבן	k l a ɪ b n̩
קנאָבלברויט	k n ɔ b ɫ̩ b r e ɪ̯ t
קנאָבלברויט	k n ɔ b ɫ̩ b r ɔ u t
קנאָבלברויט	k n ɔ b ɫ̩ b r ɔ ɪ̯ t
קנאָי	k a n ɔ ɪ̯
קני	k n ɪ
קרייציקן	k ʀ̆ a ɪ̯ t͡s ɪ k ŋ̩
קרייציקן	k ʀ̆ e ɪ̯ t͡s ɪ k ŋ̩
קרייציקן	k ʀ̆ ɛ ɪ̯ t͡s ɪ k ŋ̩
קרייציקנדיק	k ʀ̆ a ɪ̯ t͡s ɪ k ŋ̩ d ɪ k
קרייציקנדיק	k ʀ̆ e ɪ̯ t͡s ɪ k ŋ̩ d ɪ k
קרייציקנדיק	k ʀ̆ ɛ ɪ̯ t͡s ɪ k ŋ̩ d ɪ k
קרעפּל	k ʁ ɛ p l̩
ראַטעווען	ʁ a t ə v ə n
ראַנדקע	ʁ a n t k ə
ראַנדקעווען	ʁ a n t k ə v ə n
רבֿקה	r ɪ f k ɜ
רעגן	ɾ ɛ ɡ ŋ̩
רעגן־וואַסער	ʁ ɛ ɡ ŋ̩ v a s ə ʁ
רעגן־מאַנטל	ɾ e ɪ̯ ɡ ŋ̩ m a n t ɫ̩
רעד	r ɛ d
רעדסט	r ɛ t s t
רעדסט	ʁ ɛ t s t
רשימה	r ə ʃ i m ə
שׂינאת־ישׂראל	s ɪ n ə s j ɪ s ɾ ɔ ɪ̯ ɫ
שׂריד	s ʊ ʁ ə t
שׂריד־ופּליט	s ʊ ʁ ə t ə p ʊ ɫ ə t
שאָטן	ʃ ɔ t n̩
שבת	ʃ a b ə s
שבת	ʃ a v ə s
שבת	ʃ ɔ b ə s
שדכן	ʃ a t χ n̩
שוואַרצברויט	ʃ v a r t͡s b r e ɪ̯ t
שוואַרצברויט	ʃ v a r t͡s b r ɔ u t
שוואַרצברויט	ʃ v a r t͡s b r ɔ ɪ̯ t
שטאַפּל	ʃ t a p l̩
שטאָט	ʃ t u t
שטאָט	ʃ t ɔ t
שטוב־חיה	ʃ t i p χ a ɪ̯ e
שטוב־חיה	ʃ t iː p χ a ɪ̯ e
שטוב־חיה	ʃ t ʊ p χ a ɪ̯ e
שטום	ʃ t ɨ m
שטום	ʃ t ɪ m
שטום	ʃ t ʊ m
שטופּן	ʃ t ʊ p m̩
שטעטל	ʃ t e ɪ t l̩
שטעטל	ʃ t ɛ t l̩
שייד	ʃ a ɪ d
שייד	ʃ ɛ ɪ d
שיר	ʃ ɪ ʁ
שכּ׳ח	ʃ k e ɪ̯ ə χ
שכּ׳ח	ʃ k ɔ ɪ̯ ə χ
שלאַנג	ʃ l a ŋ
שלאַנג	ʃ l a ŋ ɡ
שלאַנג	ʃ l a ɪ̯ ŋ
שלאַנג	ʃ l a ɪ̯ ŋ ɡ
שלעפּן	ʃ ɫ ɛ p m̩
שמאַלץ	ʃ m a ɫ t͡s
שמאַלציק	ʃ m a ɫ t͡s ɪ k
שמאַלציקן	ʃ m a ɫ t͡s ɪ k ŋ̩
שמאַלציקע	ʃ m a ɫ t͡s ɪ k ə
שמאַלציקער	ʃ m a ɫ t͡s ɪ k ə ʁ
שנויץ	ʃ n o ʊ̯ t͡s
שנויץ	ʃ n oː t͡s
שנויץ	ʃ n ɔ ɪ̯ t͡s
שעה	ʃ u
שפּראַך	ʃ p ʁ a χ
שפּריצן	ʃ p ʁ ɪ t͡s n̩
שפֿיכת־דמים	ʃ f i χ ə z d u m ə m
שפֿיכת־דמים	ʃ f iː χ ə z d ʊ m ə m
שפֿיכת־דמים	ʃ f ɪ χ ə z d ɔ m ə m
שרײַבטיש	ʃ r a p t ɨ ʃ
שרײַבטיש	ʃ r aː p t ɪ ʃ
שרײַבן	ʃ r a ɪ b m̩
שרײַבן	ʃ r aː b m̩
תּחת	t ɔ χ ə s
תּחת	t ʊ χ ə s
תּמימותדיק	t ə m ɪ m ə z d ɪ k
תּפֿילה	t f ɨ l ə
תּפֿילה	t f ɪ l ə
