aa	aː
jaie	h a i̯ ɛ
jaife	h a i̯ ɸ ɛ
jaive	h a i̯ β ɛ
jaka	h a k a
jamade	h a m a d ɛ
janayari	h a n a d͡ʒ a ɾ i
jaɨ	h a ɯ̯
jaɨenikɨ	h a ɰ ɛ n i k ɯ
jaɨeniño	h a ɰ ɛ n i ɲ ɔ
jaɨra	h a ɯ̯ ɾ a
jaɨrabe	h a ɯ̯ ɾ a b ɛ
jaɨte	h a ɯ̯ t ɛ
jebe	h ɛ b ɛ
jebegɨ	h ɛ b ɛ ɡ ɯ
jeedo	h ɛː d ɔ
jeikɨte	h ɛ i̯ k ɯ t ɛ
jemɨ	h ɛ m ɯ
jerei	h ɛ r ɛ i̯
Jesukristo	h ɛ s u k ɾ i s t ɔ
jiaɨde	h i j a ɯ̯ d ɛ
jiaɨrede	h i j a ɯ̯ ɾ ɛ d ɛ
jiibi	h iː b i
jiibie	h iː b i j ɛ
jiibina	h iː b i n a
jime	h i m ɛ
jimedo	h i m ɛ d ɔ
jimekɨ	h i m ɛ k ɯ
jimena	h i m ɛ n a
jimenakɨ	h i m ɛ n a k ɯ
jimenaɨaɨ	h i m ɛ n a ɰ a ɯ̯
jimo	h i m ɔ
jimokɨ	h i m ɔ k ɯ
jimoma	h i m ɔ m a
jimoño	h i m ɔ ɲ ɔ
jimuaɨ	h i m u w a ɯ̯
jino	h i n ɔ
jira	h i ɾ a
jiro	h i ɾ ɔ
jirode	h i ɾ ɔ d ɛ
jirora	h i ɾ ɔ ɾ a
jito	h i t ɔ
jitoma	h i t ɔ m a
jitorokɨño	h i t ɔ ɾ ɔ k ɯ ɲ ɔ
jitɨramo	h i t ɯ ɾ a m ɔ
jiza	h i θ a
jiziko	h i θ i k ɔ
jiñi	h i ɲ i
jiñigɨ	h i ɲ i ɡ ɯ
jiñijɨ	h i ɲ i h ɯ
jmm	m̥ m̩ːː
jo	h ɔ
jobai	h ɔ b a i̯
jobaide	h ɔ b a i̯ d ɛ
jobaime	h ɔ b a i̯ m ɛ
jofo	h ɔ ɸ ɔ
jofochupi	h ɔ ɸ ɔ t͡ʃ u p i
jofoñaiño	h ɔ ɸ ɔ ɲ a i̯ ɲ ɔ
jokode	h ɔ k ɔ d ɛ
joonete	h ɔː n ɛ t ɛ
jore	h ɔ ɾ ɛ
joreño	h ɔ ɾ ɛ ɲ ɔ
joruaɨde	h ɔ ɾ u w a ɯ̯ d ɛ
Juan	h u w a n
Juande	h u w a n d ɛ
juuku	h uː k u
Juziñamui	h u θ i ɲ a m u i̯
jɨ	h ɯ
jɨaɨ	h ɯ ɰ a ɯ̯
jɨaɨe	h ɯ ɰ a ɰ ɛ
jɨfai	h ɯ ɸ a i̯
jɨfaiño	h ɯ ɸ a i̯ ɲ ɔ
jɨfanote	h ɯ ɸ a n ɔ t ɛ
jɨgadɨ	h ɯ ɡ a d ɯ
jɨgadɨma	h ɯ ɡ a d ɯ m a
jɨgui	h ɯ ɡ u w i
jɨgui	h ɯ ɡ u i
jɨguida	h ɯ ɡ u i̯ d a
jɨgɨ	h ɯ ɡ ɯ
jɨkade	h ɯ k a d ɛ
jɨkanogañaiño	h ɯ k a n ɔ ɡ a ɲ a i̯ ɲ ɔ
jɨkanote	h ɯ k a n ɔ t ɛ
jɨko	h ɯ k ɔ
jɨnui	h ɯ n u i̯
jɨɨ	h ɯː
kaiñaɨ	k a i̯ ɲ a ɯ̯
kakade	k a k a d ɛ
kakaide	k a k a i̯ d ɛ
kazide	k a θ i d ɛ
kaɨ	k a ɯ̯
kobeda	k ɔ b ɛ d a
kobeda	k ɔ b ɛ d a
koko	k ɔ k ɔ
komai	k ɔ m a i̯
komaiduraɨ	k ɔ m a i̯ d u ɾ a ɯ̯
komaijɨ	k ɔ m a i̯ h ɯ
komaiyu	k ɔ m a i̯ d͡ʒ u
kome	k ɔ m ɛ
komekɨ	k ɔ m ɛ k ɯ
komoma	k ɔ m ɔ m a
komoño	k ɔ m ɔ ɲ ɔ
komuide	k ɔ m u i̯ d ɛ
komuitate	k ɔ m u i̯ t a t ɛ
komuiya	k ɔ m u i̯ d͡ʒ a
komɨ	k ɔ m ɯ
komɨnɨ	k ɔ m ɯ n ɯ
koni	k ɔ n i
konirue	k ɔ n i ɾ u w ɛ
kovero	k ɔ β ɛ ɾ ɔ
kue	k w ɛ
kueide	k w ɛ i̯ d ɛ
kuema	k w ɛ m a
kuete	k w ɛ t ɛ
kɨi	k ɯ ɰ i
kɨifo	k ɯ ɰ i ɸ ɔ
kɨikoai	k ɯ ɰ i k ɔ a i̯
kɨikɨ	k ɯ ɰ i k ɯ
kɨkɨ	k ɯ k ɯ
kɨkɨño	k ɯ k ɯ ɲ ɔ
kɨo	k ɯ ɰ ɔ
kɨode	k ɯ ɰ ɔ d ɛ
kɨora	k ɯ ɰ ɔ ɾ a
maafaite	m aː ɸ a i̯ t ɛ
maajaiño	m aː h a i̯ ɲ ɔ
mabɨ	m a b ɯ
mai	m a i̯
maika	m a i̯ k a
maikabɨ	m a i̯ k a b ɯ
makaɨ	m a k a ɯ̯
mame	m a m ɛ
mamede	m a m ɛ d ɛ
mamekɨ	m a m ɛ k ɯ
manode	m a n ɔ d ɛ
manua	m a n u w a
mare	m a ɾ ɛ
maremɨe	m a ɾ ɛ m ɯ ɰ ɛ
maɨjɨde	m a ɯ̯ h ɯ d ɛ
maɨjɨkaibide	m a ɯ̯ h ɯ k a i̯ b i d ɛ
meerede	m ɛː ɾ ɛ d ɛ
mei	m ɛ i̯
meidaite	m ɛ i̯ d a i̯ t ɛ
mena	m ɛ n a
menakaño	m ɛ n a k a ɲ ɔ
mero	m ɛ ɾ ɔ
mirɨ	m i ɾ ɯ
mirɨño	m i ɾ ɯ ɲ ɔ
miñɨe	m i ɲ ɯ ɰ ɛ
moi	m ɔ i
moiduraɨ	m ɔ i d u ɾ a ɯ̯
moifo	m ɔ i ɸ ɔ
mona	m ɔ n a
moo	m ɔː
mooka	m ɔː k a
mookama	m ɔː k a m a
mooma	m ɔː m a
murui	m u ɾ u i̯
muruide	m u ɾ u i̯ d ɛ
Muruima	m u ɾ u i̯ m a
muruima	m u ɾ u i̯ m a
muruiño	m u ɾ u i̯ ɲ ɔ
mute	m u t ɛ
mɨgui	m ɯ ɡ u i̯
mɨkorɨ	m ɯ k ɔ ɾ ɯ
mɨze	m ɯ θ ɛ
mɨzeyɨ	m ɯ θ ɛ d͡ʒ ɯ
naga	n a ɡ a
nai	n a i̯
naie	n a j ɛ
naimɨe	n a i̯ m ɯ ɰ ɛ
naiyɨ	n a i̯ j ɯ
naiñaiño	n a i̯ ɲ a i̯ ɲ ɔ
nana	n a n a
nano	n a n ɔ
nare	n a ɾ ɛ
naɨo	n a ɰ ɔ
naɨona	n a ɰ ɔ n a
naɨraɨ	n a ɯ̯ ɾ a ɯ̯
naɨte	n a ɯ̯ t ɛ
nia	n i j a
nofɨ	n ɔ ɸ ɯ
nofɨko	n ɔ ɸ ɯ k ɔ
Nofɨko	n ɔ ɸ ɯ k ɔ
nokae	n ɔ k a ɛ
nokaido	n ɔ k a i̯ d ɔ
nokɨ	n ɔ k ɯ
nui	n u i̯
nuikɨ	n u i̯ k ɯ
nuio	n u j ɔ
nɨe	n ɯ ɰ ɛ
nɨeze	n ɯ ɰ ɛ θ ɛ
nɨeze	n ɯ ɛ θ ɛ
nɨkaɨde	n ɯ k a ɯ̯ d ɛ
nɨkaɨrite	n ɯ k a ɯ̯ ɾ i t ɛ
nɨkaɨriya	n ɯ k a ɯ̯ ɾ i d͡ʒ a
nɨmɨe	n ɯ m ɯ ɰ ɛ
nɨno	n ɯ n ɔ
nɨrui	n ɯ ɾ u i̯
nɨɨ	n ɯː
obe	ɔ b ɛ
obedo	ɔ b ɛ d ɔ
ofai	ɔ ɸ a i̯
ofaiño	ɔ ɸ a i̯ ɲ ɔ
oima	ɔ i m a
oiño	ɔ i ɲ ɔ
okaina	ɔ k a i̯ n a
oma	ɔ m a
omakaɨ	ɔ m a k a ɯ̯
omoɨ	ɔ m ɔ ɯ̯
omɨko	ɔ m ɯ k ɔ
omɨñoɨ	ɔ m ɯ ɲ ɔ ɯ̯
oo	ɔː
oogo	ɔː ɡ ɔ
oogodo	ɔː ɡ ɔ d ɔ
ooi	ɔː i
orede	ɔ ɾ ɛ d ɛ
ote	ɔ t ɛ
pataro	p a t a ɾ ɔ
pataro	p a t a ɾ ɔ
pete	p ɛ t ɛ
polako	p ɔ l a k ɔ
pute	p u t ɛ
raa	ɾ aː
rafue	ɾ a ɸ u w ɛ
riide	ɾ iː d ɛ
rite	ɾ i t ɛ
roakade	ɾ ɔ a k a d ɛ
rokade	ɾ ɔ k a d ɛ
rokode	ɾ ɔ k ɔ d ɛ
rote	ɾ ɔ t ɛ
rɨ	ɾ ɯ
rɨte	ɾ ɯ t ɛ
rɨño	ɾ ɯ ɲ ɔ
rɨñuaɨ	ɾ ɯ ɲ u w a ɯ̯
taɨfe	t a ɯ̯ ɸ ɛ
tute	t u t ɛ
tuuide	t uː i̯ d ɛ
uai	u w a i̯
uaite	u w a i̯ t ɛ
ui	u i̯
uibiyɨ	u i̯ b i d͡ʒ ɯ
uichupide	u i̯ t͡ʃ u p i d ɛ
uizɨ	u i̯ θ ɯ
uiñote	u i̯ ɲ ɔ t ɛ
une	u n ɛ
unekɨ	u n ɛ k ɯ
uru	u ɾ u
urue	u ɾ u w ɛ
uruezide	u ɾ u w ɛ θ i d ɛ
uruezitate	u ɾ u w ɛ θ i t a t ɛ
urueziya	u ɾ u w ɛ θ i d͡ʒ a
uzu	u θ u
uzuma	u θ u m a
uzumafɨrede	u θ u m a ɸ ɯ ɾ ɛ d ɛ
uzutɨaɨ	u θ u t ɯ ɰ a ɯ̯
uzuño	u θ u ɲ ɔ
vatarago	β a t a ɾ a ɡ ɔ
yaiño	d͡ʒ a i̯ ɲ ɔ
yee	d͡ʒ ɛː
yeedo	d͡ʒ ɛː d ɔ
yoe	d͡ʒ ɔ ɛ
yoema	d͡ʒ ɔ ɛ m a
yofueoide	d͡ʒ ɔ ɸ u w ɛ ɔ i d ɛ
yofueoikaide	d͡ʒ ɔ ɸ u w ɛ ɔ i k a i̯ d ɛ
yofueoikaiga	d͡ʒ ɔ ɸ u w ɛ ɔ i k a i̯ ɡ a
yofueoikaigano	d͡ʒ ɔ ɸ u w ɛ ɔ i k a i̯ ɡ a n ɔ
yofuete	d͡ʒ ɔ ɸ u w ɛ t ɛ
yoiakade	d͡ʒ ɔ i j a k a d ɛ
yoiakana	d͡ʒ ɔ i j a k a n a
yote	d͡ʒ ɔ t ɛ
yɨkɨ	d͡ʒ ɯ k ɯ
yɨkɨaɨ	d͡ʒ ɯ k ɯ ɰ a ɯ̯
yɨkɨde	d͡ʒ ɯ k ɯ d ɛ
yɨkɨzi	d͡ʒ ɯ k ɯ θ i
zañaraɨ	θ a ɲ a ɾ a ɯ̯
zedade	θ ɛ d a d ɛ
zedaja	θ ɛ d a h a
zedaraɨ	θ ɛ d a ɾ a ɯ̯
zedaraɨño	θ ɛ d a ɾ a ɯ̯ ɲ ɔ
zeerede	θ ɛː ɾ ɛ d ɛ
zuride	θ u ɾ i d ɛ
zuriya	θ u ɾ i d͡ʒ a
ñaɨte	ɲ a ɯ̯ t ɛ
ñekɨ	ɲ ɛ k ɯ
ñekɨna	ɲ ɛ k ɯ n a
ñenɨ	ɲ ɛ n ɯ
ñenɨño	ɲ ɛ n ɯ ɲ ɔ
ɨbaakade	ɯ b a a k a d ɛ
ɨbade	ɯ b a d ɛ
ɨbaide	ɯ b a i̯ d ɛ
ɨfo	ɯ ɸ ɔ
ɨfogɨ	ɯ ɸ ɔ ɡ ɯ
ɨfogɨtɨraɨ	ɯ ɸ ɔ ɡ ɯ t ɯ ɾ a ɯ̯
ɨfue	ɯ ɸ u w ɛ
ɨkare	ɯ k a ɾ ɛ
ɨko	ɯ k ɔ
ɨme	ɯ m ɛ
ɨni	ɯ n i
ɨnɨde	ɯ n ɯ d ɛ
ɨɨ	ɯː
ɨɨi	ɯː ɰ i
ɨɨima	ɯː ɰ i m a
ɨɨio	ɯː ɰ i j ɔ
