abnormal	a b n ɔ ɾ m a l
Européenne	œ ʁ o̞ p e ɛ n̪
européennes	ø ʁ ɔ p e ɛ n̪
européennes	ø ʁ o̞ p e ɛ n̪
européennes	œ ʁ ɔ p e ɛ n̪
européennes	œ ʁ o̞ p e ɛ n̪
européennes	ø ʁ ɔ p e ɛ n̪
européennes	ø ʁ o̞ p e ɛ n̪
européennes	œ ʁ ɔ p e ɛ n̪
européennes	œ ʁ o̞ p e ɛ n̪
Européennes	ø ʁ ɔ p e ɛ n̪
Européennes	ø ʁ o̞ p e ɛ n̪
Européennes	œ ʁ ɔ p e ɛ n̪
Européennes	œ ʁ o̞ p e ɛ n̪
Européennes	ø ʁ ɔ p e ɛ n̪
Européennes	ø ʁ o̞ p e ɛ n̪
Européennes	œ ʁ ɔ p e ɛ n̪
Européennes	œ ʁ o̞ p e ɛ n̪
faîte	f ɛ t
faîte	f ɛ t
faîte	f ɛ t ə
faîte	f ɛ ɪ̯ tʰ
faîte	f a ɪ̯ tʰ
femme	f ɑ̃ m
fenêtre	f ə n ɛ t ʁ ə
fenêtre	f ə n ɛ t ʁ ə
fenêtre	f ə n ɛː t χ
fenêtre	f œ̈ n a ɛ̯ t χ
fenêtre	f n a ɛ̯ t χ
fenêtre	f n a ɛ̯ t
fête	f ɛ t ə
fête	f ɛ t
fête	f ɛ t
fête	f ɛ t
fête	f ɛ t
fête	f ɛː t
fête	f eː t
fête	f ɛː t
fête	f eː t
fête	f ɑ ɪ̯ t
fête	f a ɪ̯ t
fête	f a ɪ̯ t
feutre	f œ t
fif	f ɪ f
fille	f ɪ j
fin	f ẽ
franglais	f ʁ ã ɡ l ɛ
gaga	ɡ a ɡ ɑ
gaga	ɡ a ɡ ɒ
gars	ɡ ɔ
gazette	ɡ a z ɛ t
gazette	ɡ a z e t
girlfriend	ɡ ə ɹ l f ɹ e n d
gourde	ɡ u ɾ d
gracias	ɡ ʁ a s j ɑ
gracias	ɡ ʁ a s j ɔ
Grèce	ɡ ʁ a ɛ̯ s
guêpe	ɡ a ɛ̯ p
guêpe	ɡ a ɛ̯ p
guimbler	ɡ æ̃ b l e
haricot	a ɾ i k o
haut	h o
haut	h o
hiver	i v ɛː ʁ
hiver	i v e ɪ̯ ʁ
hiver	i v a ɛ̯ ʁ
hiver	i v æ ɾ
hiver	i v æ
homme	ɔ̃ m
honte	h ɔ̃ n
huit	ɥ i t
huit	ɥ ɪ t
huit	w i t
huit	ɥ ɪ t
huit	w i t
Huynh	ɥ ɪ n
Huynh	h j uː ɪ n
jamais	ʒ ɑ̃ m e
jamais	h ɑ̃ m ɛ̃
jamais	ʒ ɔ̃ m ɛ̃
jaune	ʒ ɔ n ə
jaune	ʒ o u̯ n
je	ʒ ɵ
joker	d ʒ o ʊ̯ k œ ʁ
kho	χ o
la	l ɑ
la	l ɔ
lézard	l e z ɑ ɔ̯ ʁ
lieu	l j ø
lit	l i
lit	l i t
lobster	l ɔ b s t æ r
lobster	l ɔ b s t ə
lobster	l ɑ b s t ə ɹ
lutte	l ʏ t
maître	m a ɛ̯ t ʁ
maître	m a ɛ̯ t ʁ
manger	m ɑ̃ː ʒ e
manière	m a n j ɛ ʁ
manière	m ɔ̃ j æ ɾ
manière	m ɔ̃ j æ
matante	m a t ã t
même	m ɛ ɪ̯ m
même	m a ɛ̯ m
merci	m ɛ ʁ s i
merci	m æ ɾ s i
merci	m æ s i
mercis	m ɛ r s i
merde	m a ʁ d
mère	m ɛ ʁ ə
mère	m a ɛ̯ ʁ
Métis	m e t͡s ɪ s
métis	m e t͡s ɪ s
mitan	m i t ɑ̃
mitan	m ɑ̃ t ɑ̃
mitan	m i t o
moitié	m o t͡ʃ e
mon	m ɒ̃ ʊ̯̃
mononcle	m ɔ n ɒ̃ ʊ̯̃ k
mot	ɛ̃ m o
mot	l ə m ɔ
négresse	n e ɡ r ɛ s
noirette	n w a r ɛ t
nord	n̪ ɔ ʁ̥
nord	n a ɔ̯ ʁ
nord	n ɑ ɔ̯ ʁ
nord	n̪ ɔ ʁ̥
nord	n a ɔ̯ ʁ
nord	n ɑ ɔ̯ ʁ
oiseau	z w ɒ z o
oiseau	z o z o
ostie	ɔ s t͡s i
ouaip	w ɛ p
ouaip	w ɛ p̚
ouvrir	u v æ ɾ
ouvrir	ɾ u v ɾ ɪ ɾ
pain	p ẽ ĩ
parapluies	p a ʁ a p l w i
parent	p a ʁ ã
pas	p ɔ
pâte	p aː t
pâte	p ɑː t
pâte	p ɑ ʊ̯ t
pâte	p aː t
pâte	p ɑː t
pâte	p ɑ ʊ̯ t
pêche	p a ɪ̯ ʃ
pêche	p a ɪ̯ ʃ
père	p ɛː ʁ
père	p a ɛ̯ ʁ
père	p æ ɾ
père	p ɛː ʁ
père	p a ɛ̯ ʁ
père	p æ ɾ
petit	p ə t s i
petit	p t s i
pierre	p ç i̯ ɛː ʁ
pierre	p j a ɛ̯ ʁ
pierre	p j ɛː ʁ
pierre	p ç i̯ ɛː ʁ
pierre	p j a ɛ̯ ʁ
pierre	p j ɛː ʁ
pluie	p l w i
point	p w ɛ̃ ɪ̃
poison	p w a z ɔ̃
poison	p w e z ɔ̃
poisonné	p w a z ɔ̃ n e
poutine	p u t͡s ɪ n
poutine	p u t͡s ɪ n
pouvoir	p u w ɒ ɾ
powoir	p u w ɒ ɾ
powoir	p o w ɒ ɾ
prétendu	p r e t ɑ̃ d y
prétendue	p r e t ɑ̃ d y
professeur	p χ ɔ f ɛ s ɑ œ̯ ɹ
pus	p y s
pus	p y
questionner	k ɛ s t j ɔ̃ n e
quinteau	k ɛ̃ t o
quinteau	k ɛ̃ t i̯ o
quinteau	k ɛ̃ t i̯ ɔ u̯
quinteau	k ɛ̃ t i̯ ɔ
rebeu	ʁ ø b ø
rebeu	ʁ ø b ø
reître	ʁ ɛː t ʁ̥ ɐ
reître	ʁ ɛ ɪ̯ t ʀ̥
reître	ʁ a ɪ̯ t ʁ̥
renard	ə ɾ ə n a ɾ
renard	ə ɾ ə n a
renard	ə ɾ n a ɾ
renard	ə ɾ n a
renard	ɾ ə n a ɾ
renard	ɾ ə n a
renard	ɾ n a ɾ
renard	ɾ n a
renne	ʁ æ̃ ɪ̯̃ n
rescousse	ʀ ɛ s k ʊ s
rien	ʁ j ɛ n
rouge	ɾ u ʒ
sable	s ɑ ɔ̯ b l
sable	s a b
saigner	s æ̃ j e
saucisse	s oː s ɪ s
seize	s a i z
six	s ɪ s
soir	s w ɒ ɾ
soir	s w ɒ
suivre	s ɥ i v r
suivre	s ɥ i v
suivre	s ɥ i r
suivre	s w i r
table	t a b
table	t a b
taboire	t a b w ɛ ʁ
taboire	t a b w a ɛ̯ ʁ
tata	t a t a
témoignage	t ɛ̃ m w ɑ̃ j a ʒ
tempête	t ɒ̃ p ɛ t
tempête	t ɒ̃ p ɛ̝ː t
tempête	t ã p ɛ ɪ̯ t
tempête	t ã p a ɪ̯ t
terre	t ɛː ʁ
terre	t ɛː ʁ
terre	t a ɛ̯ ʁ
terre	t æ ɛ̯ ʁ̥
terre	t æ ɾ
terre	t æ
terres	t ɛː ʁ
terres	t ɛː ʁ
terres	t a ɛ̯ ʁ
terres	t æ ɛ̯ ʁ̥
terres	t æ ɾ
terres	t æ
tête	t a ɛ t
Thanksgiving	t ɛ ŋ k s ɡ i v ɪ ŋ
Thanksgiving	t ẽ k s ɡ i v ɪ ŋ
théâtre	t e aː t ʁ̥
théâtre	t e ɑː t ʁ̥
théâtre	t e ɑ u̯ t ʁ̥
théâtres	t e aː t ʁ̥
théâtres	t e ɑː t ʁ̥
théâtres	t e ɑ u̯ t ʁ̥
tique	t͡s ɪ k
tonnerre	t ɔ̃ n æ ɾ
toune	t ʊ n
tous	t ʊ s
Trahan	t ɾ a ɑ̃
Trahan	t ɾ a ɔ̃
trois	t̪ χ w a
trois	t ʁ w ɔ
tu	t͡s y
tu	t͡s ʏ
tu	t i
tu	t͡ʃ y
tuque	t s ʏ k
un	œ̃ ˞
une	ʏ n
vendre	v ɔ̃ n
Verdun	v a ɛ̯ ʁ̥ d œ̃ ˞
vingt	v ẽ ɪ̯̃ t
vingt	v ẽ ɪ̯̃ t
voir	v w ɒ ɾ
voir	v w ɒ
voir	w ɒ ɾ
voir	w ɒ
voyage	v w ɒ j a ʒ
voyage	w ɒ j a ʒ
voyage	v o j a ʒ
