A	ɑ
deyil	d æ j i l
deyil	d æ j i
deyil	d œ ɥ y ɾ
deyil	d œ j y ɾ
deyil	d œ j
deyil	d œ j ɭʲ
deyil	d œ j ɭ y
deyil	d œ j y ɭʲ
dəniz	d æ n i z
dərəcə	d æ ɾ æ d ʒ æ
dərinlik	d æ r i n l i k
dəsmal	d æ s m ɑ ɫ
dəstək	d æ s t æ c
dəstəkləmək	d æ s t æ c l æ m æ c
dışarı	d ɯ ʃ ɑ ɾ ɯ
dışarı	d ɯ ʃ ɡ ɑ ɾ ɯ
dışarı	d i ʃ ɣ ɑ ɾ ɯ
dildaş	d i l d ɑ ʃ
diloça	d i l oː t͡ʃ ɑ
dişləmək	d i ʃ l æ m æ k
dodaqlanmayan	d o d ɑ ɡ ɫ ɑ n m ɑ j ɑ n
doqquz	d o ɡ ɡ u z
duz	d u z
düş	d y ʃ
düşünmək	d y ʃ y n m æ k
e	e
el	e l
Eldəniz	e l d æ n i z
elektrik	e l e c t r i c
elektrik	e l e c t r i c
elti	e l t i
eşşək	e ʃ ʃ æ c
eşşək	e ʃ ʃ æ ç
eşşək	e ʃ ʃ æ j
eşşək	i ʃ ʃ e j
etimologiya	ɛ t i m o l o ɟ i j ɑ
evlənmək	e v l æ n m æ k
evsizlik	e v s i z l i c
eyi	e j i
ə	æ
Ədirnə	æ d i r n æ
Əli	æ l i
əmcək	æ m d͡ʒ æ k
ər	i ɾ
ərən	æ r æ n
ərik	æ r i c
ərik	æ r y k
əsas	æ s ɑ s
əslində	æ s l i n d æ
əyyam	æ j ɑ m
əyyam	ɑ j ɑ m
əzim	æ z i m
əziz	æ z i z
fəqət	f æ ɡ æ t
fərqlənmək	f æ r ɡ l æ n m æ k
fəsilə	f æ s i l æ
fikir	f i k i r
fikirləşmək	f i c i r l æ ʃ m æ c
fil	f i l
funksiya	f u n k s i j ɑ
gecə	ɟ ʝ e̞ ʒ æ
genə	ɟ e n æ
geriləmək	ɟ e r i l æ m æ k
gey	ɟ e j
gəlir	ɟ æ l i r
gəmirmək	ɟ æ m i r m æ c
Gəncə	ɟ æ n d͡ʒ æ
Gəncə	d͡ʒ æ n d͡z æ
gəndalaş	ɟ æ n d ɑ ɫ ɑ ʃ
gənəşmək	ɡ ɑ ŋ ɑ ʃ m ɑ χ
gənəşmək	ɟ æ n æ ʃ m æ c
gənəşmək	ɟ i j æ ʃ m æ ɡ
gənəşmək	ɟ æ ŋ æ ʃ m æ x
gənəşmək	ɟ æ ŋ i ʃ m ɑ χ
gənəşmək	ɟ æ̃ː ʃ m ɑ χ
gənəşmək	ɡ ɑː ʃ m ɑ χ
gənəşmək	ɟ e ŋ æ ʃ m æ χ
gənəşmək	ɟ æ n æ ʃ m æ j
gənəşmək	ɟ e i ʃ m ɑ ɣ
gənəşmək	ɟ æ n æ ʃ m æ c
ginə	ɟ i n æ
göbək	ɟ œ b æ c
göbək	ɟ œ b æ ç
göbək	ɟ œ b æ j
göbək	ɡ y v æ j
görk	ɟ œ r c
görməmiş	ɟ œ r m æ m i ʃ
görünməz	ɟ œ ɾ y n m æ z
göz	ɟ œ z
göz	d͡ʒ œ z
gözəl	ɟ œ z æ l
gözəl	d͡ʒ œ z æ l
guya	ɟ uː j ɑ
guya	ɟ u j ɑ
guya	ɟ y j æ
güc	ɟ y d͡ʒ
gülburnu	ɟ y l b ɯ r n ɯ
gündəm	ɟ y n d æ m
güz	ɟ y z
güz	c y z
hafiz	h ɑː f i z
haralısınız	h ɑ r ɑ ɫ ɯ s ɯ n ɯ z
hazırda	h ɑː z ɯ r d ɑ
Heydər	h e j d æ r
hədis	h æ d i s
həftə	h æ f t æ
hələ	h æ l æ
həmdəm	h æ m d æ m
həncəri	h æ n d͡ʒ æ r i
həncəri	h ɑ n ʒ ɑ r ɯ
həncəri	h ɑ n d͡ʒ ɑ r u
həncəri	h ɑ n d͡ʒ ɑ r ɯ
hərf	h æ ɾ f
həvəs	h æ v æ s
həvəskar	h æ v æ s c ɑ r
hidrogen	h i d ɾ o ɟ e n
hörgü	h ø ɾ ɟ y
Hümbət	h y m b æ t
hürmək	h y r m æ k
Hüseyn	h y s e j n
xahiş	χ ɑ i ʃ
Xankəndi	x ɑ ɲ c æ n d i
xəncər	x æ n d͡ʒ æ ɾ
xəncər	x æ n d͡z æ ɾ
xuda	x u d ɑː
xudafiz	x u d ɑː f i z
xudahafiz	x u d ɑː f i z
Xudu	x u d u
xurma	χ u ɾ m ɑ
xüsusilə	x y s u s iː l æ
xüsusilə	x y s u s i l æ
ı	ɯ
i	ɪ
idman	i d m ɑ n
igid	i ɟ i d
igid	i j i t
igid	i d ʒ i d
igid	i j i t
iki	i c i
iqrek	i ɡ r e k
ilə	ɴ æ ɴʲ
ilə	n ɑ ɴ
inadkar	i n ɑ d k ɑ r
inanmaq	i n ɑ n m ɑ χ
incimək	i n d͡ʒ i m æ k
incitmək	i n d͡ʒ i t m æ k
irq	i ɾ ɡ
irs	i r s
iş	i ʃ
işarə	i ʃ aː r æ
kabus	c aː b u s
keçə	k e t ʃ æ
keçə	c e t s æ
keçə	kʰ e t ʃʰ æ
keçə	kʰ e t ʃʰ ɛ
keçəllənmək	c e t͡ʃ æ l l æ n m æ c
keçinmək	c e t͡ʃ i n m æ c
kəlbətin	c æ l v æ t i n
kəniz	c æ n i z
kifirləşmək	c i f i r l æ ʃ m æ c
kişi	c i ʃ i
kit	c i t
komanda	k ɑ m ɑ n d ɑ
komanda	k o m ɑ n d ɑ
komitə	k o m i t æ
köçmək	c œ t͡ʃ m æ c
kölə	c œ l æ
körük	c ø ɾ y c
kraliça	k r ɑ l i t͡ʃ ɑ
kruk	k r u k
kudu	c u d u
qadaq	ɡ ɑ d ɑ x
Qafar	ɡ ɑ f ɑ r
qaxac	ɡ ɑ x a d͡ʒ
qaxac	ɡ ɑ x a d͡z
qanov	ɡ ɑ n o v
qaralmaq	ɡ ɑ ɾ ɑ l m ɑ χ
qarı	ɡ ɑ r ɯ
qart	ɡ ɑ r t
qatıqlamaq	ɡ ɑ t ɯ ɣ ɫ ɑ m ɑ χ
qatmaq	ɡ ɑ t m ɑ χ
qavrayış	ɡ ɑ v r ɑ j ɯ ʃ
qazanc	ɡ ɑ z ɑ n d͡ʒ
qəbul	ɡ æː b u ɫ
qələm	ɡ æ l æ m
Qənirə	ɡ æ n i r æ
qərb	ɡ æ r b
qəşəng	ɡ æ ʃ æ ŋ ɡ
qəşəng	ɡ æ ʃː æ h
qəşəng	ɡ æ ʃ æ h
qətliam	ɡ æ t l i j a m
qətliam	ɡ æ t l i a m
qırğız	ɡ ɯ ɾ ɣ ɯ z
qırx	ɡ ɯ r χ
qırxıncı	ɡ ɯ r x ɯ n d ʒ ɯ
qırmızımtıl	ɡ ɯ r m ɯ z ɯ m t ɯ l
Qız	ɡ ɯ z
qızdırma	ɡ ɯ z d ɯ r m ɑ
qızıl	ɡ ɯ z ɯ ɫ
qiraət	ɡ i ɾ ɑːˀ æ t
qiraət	ɡ i ɾ ɑː æ t
qoxu	ɡ o χ u
Qubadlı	ɡ u b ɑ d l ɯ
quduz	ɡ u d u z
quzu	ɡ u z u
quzu	ɡ u z i
ləyaqət	l æ j ɑː ɡ æ t
maaş	m ɑː ʃ
mağaza	m ɑ ɣ ɑ z ɑ
Makedoniya	m ɑ k e d o n i j ɑ
malik	m ɑː l i c
maşın	m ɑ ʃ ɯ n
mədaxil	m æ d ɑ χ i l
məftil	m æ f t i l
məğz	m æ ɣ z
məlumat	m æː l u m ɑ t
məlumatlı	m æː l u m ɑ t l ɯ
məmləkət	m æ m l æ c æ t
mən	m æ n
mən	m e n
mən	m ɑ n
mənfəət	m æ n f æ æ t
mənim	m æ n i m
mərcimək	m æ ɾ d͡ʒ i m æ c
mərkəzi	m æ ɾ k æ z i
məşhur	m æ ʃ h u r
mırıldamaq	m ɯ r ɯ ɫ d a m a x
mirvari	m i ɾ v ɑː ɾ i
mis	m i s
miskin	m i s c i n
müdriklik	m y d r i k l i k
müdriklik	m y d r y k l y k
mühafiz	m y h ɑː f i z
mühafizə	m y h ɑː f i z æ
Naxçıvan	n ɑ x t͡ʃ ɯ v ɑ n
namə	n ɑː m æ
nar	n ɑ r
nə	n æ
nəmənə	n æ m æ n æ
nırç	n ɯ r t͡ʃ
nişanlı	n i ʃ ɑ n ɫ ɯ
nişasta	n i ʃ ɑ s t ɑ
nizam	n i z ɑ m
noyabr	n o j ɑ b ɾ
nöqtə	n œ ɡ t æ
növbədənkənar	n ø v b æ d æ n c æ n ɑ ɾ
nümunə	n y m u n æ
o	ɔ
o	ɔ
o	u
od	o d
od	o t
od	u t
oğlan	o ɣ ɫ ɑ n
oğurlamaq	o ɣ u r l ɑ m ɑ χ
onlar	o n l a r
onlar	o l a r
oyaq	o j ɑ χ
ö	œ
ömür	œ m y r
örən	œ r æ n
örnək	ø ɾ n æ c
örpək	œ r p æ k
örtük	œ r t y k
örtülü	œ r t y l y
özbək	ø z b æ k
özəl	œ z æ l
özəlliklə	œ z æ lː i k l æ
özgüvən	œ z ɟ y v æ n
özgüvənlik	œ z ɡ y v æ n l i k
padoş	p ɑ d o ʃ
partlamaq	p ɑ r t ɫ ɑ m ɑ χ
partlatmaq	p ɑ r t ɫ ɑ t m ɑ χ
partlayış	p ɑ r t ɫ ɑ j ɯ ʃ
pasyak	p a s j a k
pox	p o x
pox	p u x
pravoslav	p r ɑ v o s l ɑ v
prestij	p r e s t i ʒ
pul	p u l
respublika	ɾ e s p u b l i k ɑ
rizamənd	ɾ i z ɑː m æ n d
ruh	r u h
Rusiya	r u s i j ɑ
Rusiya	r u s j ɑ
Rükü	r y c y
sabun	s aː b u n
sabun	s a b u n
sağlam	s ɑ ɣ ɫ ɑ m
sakin	s ɑː c i n
sakit	s ɑː c i t
sanki	s ɑ n k i
sapan	s ɑ p ɑ n
sarı	s ɑ r u
sarp	s ɑ r p
sayrı	s ɑ j ɾ ɯ
səhm	s æ h m
səmavi	s æ m ɑː v i
sən	s æ n
səngək	s æ ŋ æ k
səpmək	s æ p m æ k
sərinləmək	s æ r i n l æ m æ k
sərvaxt	s æ r v ɑ χ t
səyahət	s æ j ɑː h æ t
sınmaq	s ɯ n m ɑ χ
sik	sʲ i ç
silah	s i ɫ ɑ h
silahlanmaq	s i l ɑ h l ɑ n m ɑ χ
sim	s i m
sima	s iː m ɑ
sinif	s i n i f
sink	s i ŋ k
siz	s i z
sonra	s o ŋ r ɑ
sonra	s o ŋ r ɑ
sonra	s o r ɑ
sonra	s o r ɑ m
soruşmaq	s o r u ʃ m ɑ χ
soy	s o j
soyqırım	s o j ɡ ɯ ɾ ɯ m
soyunmaq	s o j u n m ɑ χ
sözlük	s ø z l y c
sulu	s u ɫ u
Sumqayıt	s u m ɡ ɑ j ɯ t
süd	s y d
süd	s y t
şahzadə	ʃ ɑ h z ɑː d æ
şedevr	ʃ e d e v r
şey	ʃ e j
şəhvət	ʃ æ h v æ t
şəxs	ʃ æ χ s
şəxsi	ʃ æ χ s i
şənbə	ʃ æ n b æ
şırnoux	ʃ ɯ r n oː u x
şin	ʃ i n
tanımaq	t ɑ n ɯ m ɑ χ
tapşırıq	t ɑ p ʃ ɯ r ɯ χ
tavan	t ɑ v ɑ n
tay	t ɑ j
tez	t e z
Təbriz	t æ b r i z
təğafül	t æ ɣ ɑ f y ɫ
təlim	t æ l i m
təpəgöz	t æ p æ ɟ œ z
tərləmək	t æ r l æ m æ c
tərpənmək	t æ r p æ n m æ k
təsadüf	t æ s ɑː d y f
təsis	t æː s i s
tiraj	t i r a ʒ
titrəmək	t i t r æ m æ c
toxunmaq	t o χ u n m a χ
toy	t o j
tozsoran	t o z s o ɾ ɑ n
tüfəng	t y f æ ɲ ɟ
u	u
uje	u ʒ ɛ
uşaq	ŭ ʃ ɑ χ
uşaq	ʃ ɑ χ
utanmaq	u t ɑ n m ɑ χ
ü	y
üç	ʏ t ʃ
üçvahidlik	y t͡ʃ v ɑː h i d l i c
ünsiyyət	y n s i j æ t
üşümək	y ʃ y m æ k
üzəngi	y z æ ŋ ɟ i
üzüm	y z y m
var	v ɑ r
və	v æ
vəli	v æ l i
vətəndaş	v æ t æ n d ɑ ʃ
Vikilüğət	v ɪ c ɪ l y ɣ æ t
vurmaq	v u r m ɑ x
ya	j ɑ
yağmaq	j ɑ ɣ m ɑ x
yaxa	j æ χ æ
yanardağ	j ɑ n ɑ ɾ d ɑ ɣ
yapışqan	j ɑ p ɯ ʃ ɡ ɑ n
yaşıl	j ɑ ʃ ɯ ɫ
yaşıl	j ɑ ʃ ʃ i l
yekə	j e c æ
yenə	j e n æ
yer	j e r
yeri	j e r i
yerləşdirmək	j e r l æ ʃ d i r m æ c
yerləşmək	j e r l æ ʃ m æ c
yeşik	j e ʃ i c
yeyin	j e j i n
yeyin	j e j i n
yəhər	j æ h æ r
yəhər	j i h æ r
yoğun	j o ɣ u n
yoğurt	j o ʁ u ɾ t
yoldaş	j o ɫ d ɑ ʃ
yurddaş	j u r dː a ʃ
yük	j y k
yükləmək	j y c l æ m æ c
yüklənmək	j y c l æ n m æ c
yürgək	j y r ɟ æ x
yürgək	j œ r ɟ æ c
yürüş	j y ɾ y ʃ
yüyən	j y j æ n
yüz	j y z
zəban	z æ b ɑ n
zəbt	z æ p t
zəhmətkeş	z æ h m æ t k e ʃ
zəiflik	z æ i f l i k
zənci	z æ n d͡ʒ i
Zəngilan	z æ ɲ ɟ i l ɑ n
ziyafət	z i j ɑː f æ t
zorlama	z o r ɫ ɑ m ɑ
zorlamaq	z o r ɫ ɑ m ɑ χ
zürafə	z y r ɑ f æ
ƣ	ɣ
Ƣ	ɣ
اروان	i r æ v ɑ n
اؽ	ɯ eː
اؽ	ɯ
تِفلیس	t i f l î s
ؽ	ɯ
ؽ	ɯ
ق	ɡ ɑ f
ق	ɡ
ک	c ɑ f
ک	k
ک	c
گ	ɟ ɑ f
گ	ɟ
ۆ	y
ۆ	y
ێ	ɯ
ێ	ɯ
