'bar'	b æ rʰ
bregh	b r eːʰ
broder	b r ɔ d ɛ r
broder	b r ɔ d ɐ r
brogh	b ɹ oː x
bronkitis	b r ɔ ŋ k iː t ɪ s
bronkitis	b r ə ŋ k iː t ɪ z
bronn	b r ɔ nː
broweghyades	b r ɔ w ɛ x j a d ɛ s
broweghyades	b r ɔ w ə h j æ d ɐ z
broweghyas	b r ɔ w ɛ x j a s
broweghyas	b r ɔ w ɛʰ j ɐ z
bugh	b yː x
bugh	b ɪˑ ʊʰ
bughik	b ʏ h ɪ k
bughik	b ɪ ʊ h ɪ k
buwgh	b i ʊ x
bys	b ɪː z
byskon	b ɪ s k ɔ n
byskon	b ɪ s k ɐ n
bywskrif	b ɛ ʊ s k r ɪ f
cita	s iː t ə
cita	s ɪ t ə
chassya	t͡ʃ a s j a
chassya	t͡ʃ æ s j ɐ
chei	t ʃ ə ɪ
chi	t ʃ iː
chogha	t͡ʃ ɔ h a
chogha	t͡ʃ ɔ h ɐ
choklet	t͡ʃ ɔ k l ɛ t
choklet	t͡ʃ ɔ k l ɐ t
chy	t ʃ iː
chy	t ʃ ə i
dans	d a n z
dans	d æ n z
dar	d aː r
dar	d æː r
demondya	d ɛ m ɔː n d j a
demondya	d ə m ɔː n d j ɐ
den	d ɛː n
den	d eː n
dena	d ɛ n a
dena	d ɛ n ɐ
denagha	d ɛ n a h a
denagha	d ə n æ h ɐ
dengibya	d ɛ n ɡ ɪ b j a
dengibya	d ə n ɡ ɪ b j ɐ
denladha	d ɛ n l a ð a
denladha	d ɛ n l æ ð ɐ
denladra	d ɛ n l a d r a
denladra	d ɛ n l æ d r ɐ
densel	d ɛ n z ɛ l
densel	d ɛ n z ɐ l
dentethyel	d ɛ n t ɛ θ j ɛ l
dentethyel	d ə n t ɛ θ j ɐ l
denti	d ɛː n t i
denti	d eː n t i
dernigel	d ɛ r n i ɡ ɛ l
dernigel	d ə r n i ɡ ɐ l
derow	d ɛ r ɔ ʊ
derow	d ɛ r ɔ
deseha	d ɛ s ɛ h a
deseha	d ə s ɛ h ɐ
deservya	d ɛ z ɛ r v j a
deservya	d ə z ɛ r v j ɐ
desinya	d ɛ s iː n j a
desinya	d ə z iː n j ɐ
deski	d ɛ s k i
deskrifa	d ɛ s k r i f a
deskrifa	d ə s k r i f ɐ
desygha	d ɛ s ɪˑ x a
determya	d ɛ t ɛ r m j a
determya	d ə t ɛ r m j ɐ
devera	d ɛ v ɛ r a
devera	d ə v ɛ r ɐ
devisya	d ɛ v iː z j a
devisya	d ə v iː z j ɐ
devorya	d ɛ v ɔ r j a
devorya	d ə v ɔ r j ɐ
devydna	d ə v ɪ d n ɐ
devynna	d ɛ v ɪ nː a
dewi	d ɛ w i
dewi	d ɛ w i
diagnosa	d i a ɡ n ɔ z a
diagnosa	d i ə ɡ n ɔ z ɐ
diala	d i a l a
diala	d i æ l ɐ
didakla	d ɪ d a k l a
didakla	d ə d æ k l ɐ
didhana	d ɪ ð a n a
didhana	d ə d æ n ɐ
didhemedhi	d ɪ ð ɛ m ɛ ð i
didhemedhi	d ɪ ð ə m ɛ ð i
difen	d ɪ f ɛ n
difen	d ɪ f ɐ n
divarva	d ɪ v a r v a
divarva	d ə v ɒ r v ɐ
dowr	d ɔ ʊ r
drewydh	d r ɛː w ɪ θ
drewydh	d r eː w ɪ θ
drog	d r ɔː ɡ
drog	d r oː ɡ
du	d yː
du	d ɪˑ ʊ
Du	d yː
durdadhehwi	d ʏ r d a ð ɛ ʍ iː
Duw	d yˑ ʊ
Duw	d iˑ ʊ
duw	d yˑ ʊ
duw	d iˑ ʊ
dy'gol	d ɪ ɡ ɤ l
dygynsete	d ɪ ɡ ɪ n z ɛ t ɛː
dynnargh	d ɪ nː a r x
dynnargh	d ɪ n ɐ rʰ
dyski	d ɪ s k i
Ebrel	ɛ b r ɛ l
edhen	ɛ ð ɛ n
edhen	ɛ ð ɐ n
eghen	ɛ x ɛ n
eghen	ɛ h ɐ n
eglos	ɛ ɡ l ɔ s
eglos	ɛ ɡ l ɐ z
Ejyp	ɛ d͡ʒ ɪ p
Ejyp	ɛ d͡ʒ ɪ p
Ejyptek	ɛ d͡ʒ ɪ p t ɛ k
Ejyptek	ə d͡ʒ ɪ p t ɐ k
ekologieth	ɛ k ɔ l ɔ ɡ iː ɛ θ
ekologieth	ə k ɔ l ə ɡ iː ɐ θ
elin	ɛ l ɪ n
er	ɛ r
er	ɛː r
er	eː r
esedhvos	ɛ z ɛ ð v ɔ s
esedhvos	ə z ɛ ð v ɐ z
Est	ɛː s t
europek	œ r ɔ p ɛ k
europek	ə r ɔ p ɐ k
evor	ɛ v ɔ r
evor	ɛ v ɐ r
fatel	f a t ɛ l
fatel	f æ t ɐ l
faynt	f a ɪ n t
faynt	f ɛˑ n t
fayntys	f a ɪ n t ɪ s
fayntys	f ɛˑ n t ɛ z
flogh	f l ɔː x
flogh	f l oːʰ
flour	f l uː ɹ
flows	f l ɔ ʊ z
flows	f l ɔ ʊ z
fordh	f ɔ r ð
fordh	f ɔ r ð
forn	f ɔ r n
forn	v ɔ r n
fosforos	f ɔ s f ɔ r ɔ s
fosforos	f ɔ s f ə r ɐ z
frig	f r iː ɡ
garr	ɡ a rː
garr	ɡ ɒ r
Genver	ɡ ɛ n v ɛ r
ger	ɡ ɛː r
ger	ɡ eː r
gerdhal	ɡ ɛ r ð a l
gerdhal	ɡ ɛ r ð ɐ l
gerdhelni	ɡ ɛ r ð ɛ l n i
gerdhelni	ɡ ə r ð ɛ l n i
geryow	ɡ ɛ ɾ j o ʊ
gigabayt	ɡ ɪ ɡ a b a ɪ t
gigabayt	ɡ ɪ ɡ ə b ə ɪ t
glanhe	ɡ l a n h ɛː
glanhe	ɡ l æ n h eː
glas	ɡ l aː z
glas	ɡ l æː z
glasrudh	ɡ l a z r ʏ ð
glasrudh	ɡ l æ z r ə ð
glawlen	ɡ l a ʊ l ɛ n
glawlen	ɡ l æ ʊ l ɐ n
gleb	ɡ l eː b
glin	ɡ l iː n
glusa	ɡ l ʏ z a
glusa	ɡ l ɪ z ɐ
glyb	ɡ l ɪː b
Godhal	ɡ ɤ ð a l
Godhal	ɡ ʊ ð ɐ l
Godhalek	ɡ ə ð æ l ə k
Godhales	ɡ ɤ ð a l ɛ s
Godhales	ɡ ə ð æ l ə z
godhan	ɡ ɤ ð a n
godhan	ɡ ʊ ð a n
gol	ɡ ɤ l
gol	ɡ ə l
gol	ɡ ɔː l
gol	ɡ oː l
golan	ɡ oː l a n
golan	ɡ ʊ l ɐ n
golyow	ɡ ɤ l j ɔ ʊ
golyow	ɡ ə l j ɔ ʊ
goodh	ɡ oː ð
goodh	ɡ uː ð
gool	ɡ oː l
gool	ɡ uː l
goos	ɡ oː z
goos	ɡ uː z
Gorefen	ɡ ə r ɛ f ɐ n
gorra	ɡ ɔ rː a
gorra	ɡ ʊ r ɐ
Gortheren	ɡ ɔ r θ ɛ r ɛ n
grug	ɡ r yː ɡ
grug	ɡ r iː ɡ
gwenen	ɡ w ɛ n ɛ n
gwenen	ɡ w ɛ n ɐ n
gwer	ɡ w ɛː r
gwer	ɡ w eː r
gwerthji	ɡ w ɛ r θ d͡ʒ i
gweus	ɡ w øː z
gweus	ɡ w eː z
gwewen	ɡ w ɛ w ɛ n
gwewen	ɡ w ɛ w ɐ n
gwiasva	ɡ w i a z v a
gwiasva	ɡ w i æ z v ɐ
gwin	ɡ w iː n
gwlanek	ɡ w l a n ɛ k
gwlanek	ɡ w l ɒ n ɐ k
gwlaskor	ɡ w l a s k ɔ r
gwlaskor	ɡ w l æ s k ɐ r
gwydhbol	ɡ w ɪ ð b ɔ l
gwydn	ɡ w ɪᵈ n
Gwydngala	ɡ w ɪ d n ɡ æ l ɐ
gwyn	ɡ w iː n
gwynn	ɡ w ɪ nː
Gwynngala	ɡ w ɪ nˑ ɡ a l a
gwynnrudh	ɡ w ɪ n r ʏ ð
gwynnrudh	ɡ w ɪ n r ə ð
gwyrdh	ɡ w ɪ r ð
gwythi	ɡ w ɪ θ i
havi	h a v i
havi	h æ v i
heb	h ɛ b
heb	h ɛ b
hedhi	h ɛ ð i
hedhi	h ɛ ð i
Hedra	h ɛ d r a
hegoledh	h ɛ ɡ ɤ l ɛ ð
hegoledh	h ə ɡ ʊ l ɐ ð
hegoledh	h ə ɡ ʊ l ɐ
helygen	h ɛ l ɪ k ɛ n
helyk	h ɛ l ɪ k
heptu	h ɛ p t yː
heptu	h ə p t iˑ ʊ
herdhya	h ɛ r ð j a
herdhya	h ɛ r ð j ɐ
hogh	h ɔː x
hogh	h oːʰ
hos	h ɔ z
hujes	h ɪ w d ʒ ə z
Hungari	h ʏ ŋ ɡ a r i
Hungari	h ə ŋ ɡ æ r i
hwarthus	ʍ a r θ ʏ s
hwarthus	ʍ ɒ r h ɪ z
hwethans	ʍ ɛ θ ɐ n z
Hwevrel	ʍ ɛ v r ɛ l
Hwevrer	ʍ ɛ v r ɛ r
hwibana	ʍ ɪ b a n a
hwibana	ʍ ɪ b æ n ɐ
hwiogen	ʍ i ɔ ɡ ɛ n
hwiogen	ʍ ʊ ɡ ɐ n
hwiski	ʍ ɪ s k i
hwiski	ʍ ɪ s k i
hwypp	ʍ ɪ p
hwypp	ʍ ɪ p
hwyppya	ʍ ɪ p j a
hwyppya	ʍ ɪ p j ɐ
hwystra	ʍ ɪ s t r a
hwystra	ʍ ɪ s t r ɐ
hwythans	ʍ ɪ θ a n s
hyli	h ɪ l i
hyli	h ɪ l i
hyr	h iː ɹ
idhyow	ɪ ð j ɔ ʊ
idhyow	ɪ ð j ɔ
ikon	iː k ɔ n
ikon	iː k ɐ n
ikonek	ɪ k ɔ n ɛ k
ikonek	ɪ k ɔ n ɐ k
ilewydh	ɪ l ɛ w ɪ ð
ilewydh	ɪ l ɛ w ɪ ð
ilewydhes	i l ɛ w ɪ ð ɛ s
ilewydhes	i l ə w ɪ ð ɐ z
ilow	i l ɔ ʊ
ilow	i l ɔ
iskarga	ɪ s k a r ɡ a
iskarga	ɪ s k æ r ɡ ɐ
islinenna	ɪ z l i n ɛ n a
islinenna	ɪ z l i n ɛ n ɐ
isotop	iː z ɔ t ɔˑ p
isotop	iː z ə t oˑ p
isotopek	iˑ z ɔ t ɔ p ɛ k
isotopek	iˑ z ə t ɔ p ɐ k
isrudh	ɪ z r ʏ ð
isrudh	ɪ z r ɪ ð
istitla	ɪ s t ɪ t l a
istitla	ɪ s t ɪ t l ɐ
jiraff	d͡ʒ ɪ r aː f
jiraff	d͡ʒ ɪ r æː f
kadon	k a d o n
kamfor	k a m f ɔ r
kamfor	k æ m f ɐ r
kangarou	k a ŋ ɡ a r uː
kangarou	k æ ŋ ɡ ə r uː
kantol	k a n t ɔ l
kantol	k æ n t ɐ l
kantolbren	k a n t ɔ l b r ɛ n
kanyon	k æ n j ə n
kanyon	k æ n j ə n
kardamon	k a r d a m ɔ n
kardamon	k æ r d ə m ɐ n
karigell	k a r ɪ ɡ ɛ l
karigell	k ə r ɪ ɡ ɐ l
karr	k a rː
karr	k æ r
karrostel	k a r ɔ s t ɛ l
karrostel	k ə r ɔ s t ɐ l
kasel	k a z ɛ l
kasel	k æ z ɐ l
kastel	k a s t ɛ l
kastel	k æ s t ɐ l
kath	k aː θ
kath	k æː θ
kawgh	k aˑ ʊ x
kawgh	k ɒːʰ
kegin	k ɛ ɡ ɪ n
kegina	k ɛ ɡ i n a
keher	k ɛ h ɛ r
keher	k ɛ h ɐ r
kei	k ə ɪ
kell	k ɛ lː
kell	k ɛ lʰ
kellgowser	k ɛ l ɡ ɔ ʊ z ɛ r
kellgowser	k ə l ɡ ɔ ʊ z ɐ r
Kembra	k ɛ m b r a
Kembra	k ɛ m b r ɐ
kenn	k ɛ nː
kennen	k ɛ nː ɛ n
keredhi	k ɛ r ɛ ð i
keredhi	k ə r ɛ ð i
kerensa	k ɛ r ɛ n z a
Kernow	k ɛ r n ɔ ʊ
Kernow	k ɛ r n ɔ
Kernowyon	k ɛ r n ɔ ʊ j ɔ n
Kernowyon	k ɛ r n ɔ j ɐ n
kerrik	k ɛ rː ɪ k
kerrik	k ɛ r ɪ k
kervya	k ɛ r v j a
kervya	k ɛ r v j ɐ
keschanjya	k ɛ s t͡ʃ a n d͡ʒ j a
keschanjya	k ə s t͡ʃ æ n d͡ʒ j ɐ
keskreuni	k ɛ s k r œ n i
keskreuni	k ə s k r ɛ n i
keslowenhe	k ɛ z l ɔ w ɛ n h ɛː
keslowenhe	k ə z l uː ɐ n h eː
keun	k øː n
keun	k eː n
keus	k œː z
keus	k eː z
Kevardhu	k ɛ v a r ð yː
kewsel	k ɛ ʊ z ɛ l
ki	k iː
kigliw	k ɪ ɡ l ɪ ʊ
kilokalori	k i l ɔ k a l ɔ r i
kilokalori	k i l ə k æ l ə r i
klapkodh	k l a p k ɔ ð
klapkodh	k l æ p k ɔ ð
klor	k l ɔː r
klor	k l oː r
klun	k l yː n
klun	k l iː n
know	k n o ʊ
kogh	k ɔː x
kogh	k oː h
kolebron	k ɤ l ɛ b r ɔ n
kollell	k ɔ lː ɛ l
kollell	k ʊ l h ɐ l
kolodhyon	k ɔ l ɔ ð j ɔ n
kolodhyon	k ə l ɔ ð j ɐ n
koltrebyn	k ɔ l t r ɛ b ɪ n
kolyn	k ɔ l ɪ n
konin	k ɔ n ɪ n
koth	k ɔː θ
koth	k oː θ
kowan	k ɔ w a n
kowan	k ɔ w ɐ n
kowlleski	k ɔ ʊ l l ɛ s k i
kowlleski	k ɔ ʊ l l ɛ s k i
kowlniver	k ɔ ʊ l n i v ɛ r
kowlniver	k ɔ ʊ l n i v ɐ r
kowlwerth	k ɔ ʊ l w ɛ r θ
kowlwerth	k ɔ ʊ l w ɐ rʰ
kowlwertha	k ɔ ʊ l w ɛ r θ a
kowlwertha	k ə ʊ l w ɛ rʰ ɐ
kowlys	k ɔ ʊ l ɪ s
kowlys	k ɔ ʊ l ɛ z
kows	k ɔ ʊ z
kowsel	k ɔ ʊ z ɛ l
krackya	k r a k j a
krackya	k r æ k j ɐ
krasa	k r a z a
krasa	k r æ z ɐ
kreslu	k r ɛ z l y
kreslu	k r ɛ z l ɪ ʊ
kreswas	k r ɛ z w a s
kreswas	k r ɛ z w ɐ z
kul	k yː l
kul	k iː l
kuntel	k ʏ n t ɛ l
kuntel	k ʊ n t ɐ l
kwilkyn	k w ɪ l k ɪ n
kwilkynyow	k w ɪ l k ɪ n j ɔ ʊ
ky	k iː
ky	k ə i
lagas	l a ɡ a s
lagas	l æ ɡ ɐ z
lether	l ɛ θ ɐ r
leugh	l øː x
leugh	l eː x
leugh	l ɛ w h
leverel	l ɛ v ɛ r ɛ l
leverel	l ə v ɛ r ɐ l
leverva	l ə v ɛ r v ɐ
lew	l ɛˑ ʊ
lew	l eˑ ʊ
lewes	l ɛ w ɛ s
lewes	l ɛ w ɐ z
lewya	l ɛ ʊ j a
lewya	l ɛ ʊ j ɐ
leys	l ɛ ɪ z
lien	l iː ɛ n
limaval	l i m a v a l
limaval	l i m æ v ɐ l
Lithuani	l ɪ θ y a n i
Lithuani	l ɪ θ ɪ ʊ æ n i
lo	l oː
loos	l oː z
loos	l uː z
lorgan	l ɤ r ɡ a n
losk	l ɔː s k
losk	l oː s k
lost	l ɔ s t
lowen	l uː ɐ n
lowen	l ɔ w ɛ n
lymmaval	l ɪ m a v a l
lymmaval	l ə m æ v ɐ l
lyther	l ɪ θ ɛ r
lyverva	l ə v ɛ r v ɐ
mab	m aː b
mab	m æː b
mango	m a ŋ ɡ ɔ
mango	m æ ŋ ɡ ɔ
mann	m æː n
Me	m ɛː
melyn	m ɛ l ɪ n
melyn	m ɛ l ə n
melynrudh	m ɛ l ɪ n r ʏ ð
Metheven	m ɛ θ ɛ v ɛ n
meur	m œː r
meur	m eː ɹ
meur	m iː ɹ
Meurth	m œ r θ
milonieth	m ɪ l ɔ n iː ɛ θ
milonieth	m ɪ l ə n iː ɐ θ
milva	m ɪ l v a
milva	m ɪ l v ɐ
min	m ɪ n
modrep	m ɔ d r ɛ p
modrep	m ɔ d r ɐ p
mogh	m ɔː x
mogh	m oːʰ
mona	m oː n ə
mor	m ɔː r
mor	m oː r
morhogh	m ɔ r h ɔ x
morhogh	m ɔ r h ɔʰ
morvleydh	m ɔ r v l ɛ ɪ ð
morvleydh	m ɔ r v l ə ð
musik	m yː z ɪ k
musik	m ɪ ʊ z ɪ k
myghtern	m ɪ x t ɛ ɹ n
mytern	m ɪ t ɛ ɹ n
mìn	m ɪ n
nans	n a n z
nans	n æ n z
nasya	n a z j a
nasya	n æ z j ɐ
neghi	n ɛ x i
neghi	n ɛ h i
neuvyer	n œ v j ɛ r
neuvyer	n ɛ v j ɐ r
neuvyores	n œ v j ɔ r ɛ s
neuvyores	n ə v j ɔ r ɐ z
Norgagh	n ɔ r ɡ a x
Norgagh	n ɔ r ɡ ɐʰ
nowodhow	n ɔ w ɔ ð ɔ ʊ
nowodhow	n ɔ w ɔ ð ɔ
oksyjen	ɔ k s ɪ d ʒ ɛ n
oksyjen	ɔ k s ə d ʒ ɐ n
olifans	ɔ l i f a n s
olifans	ɔ l i f ɐ n z
omdhivarva	ɔ m ð ɪ v a r v a
omdhivarva	ɔ m ð ɪ v ɒ r v ɐ
on	ɔː n
on	oː n
oor	oː r
ors	ɔ ɹ s
ostel	ɔ s t ɛ l
ostel	ɔ s t ɐ l
owr	ɔ ʊ r
owr	ɔ ʊ r
owra	ɔ ʊ r a
owraval	ɔ ʊ r a v a l
owraval	ɔ ʊ r æ v ɐ l
owrek	ɔ ʊ r ɛ k
owrek	o ʊ r ɛ k
owryek	ɔ ʊ r j ɛ k
owryek	o ʊ r j ɛ k
oy	ɔˑ ɪ
oy	ʊˑ ɪ
oyl	ɔ ɪ l
oyl	ɔ ɪ l
p'eur	p øː r
p'eur	p eː r
palores	p a l ɔ r ɛ s
palores	p ə l ɔ r ɐ z
palv	p a l v
palv	p æ l v
parth	p a r θ
parth	p æ rʰ
Pask	p aː s k
pedrek	p ɛ d r ɛ k
pedrek	p ɛ d r ɐ k
pedren	p ɛ d r ɛ n
pedren	p ɛ d r ɐ n
pellgowsel	p ɛ l ɡ ɔ ʊ z ɛ l
pellgowser	p ɛ l ɡ ɔ ʊ z ɛ r
pellgowser	p ɛ l ɡ ɔ u z ɐ r
penn	p ɛ nː
pennscol	p ɛ n s k oː l
pennscol	p ɛᵈ n s k oː l
pennskol	p ɛ n s k oː l
pennskol	p ɛᵈ n s k oː l
peth	p eː θ
pinaval	p ɪ n a v a l
pinaval	p ɪ n æ v ɐ l
piw	p iˑ ʊ
platinom	p l a t ɪ n ɔ m
platinom	p l æ t ɪ n ɐ m
ponsfordh	p ɔ n s f ɔ r ð
ponsfordh	p ɔ n z v ɐ r
porghellik	p ɔ r x ɛ lː ɪ k
porghellik	p ə r h ɛ l ɪ k
post	p ɔː s t
purpur	p ʏ r p ʏ r
purpur	p ə r p ə r
pyffer	p ɪ f ɛ r
pyffer	p ɪ f ɐ r
pyth	p ɪː θ
Rewenys	r ɛ w ɛ n ɪ s
Rewenys	r ə w ɛ n ɛ z
Rewenysek	r ɛ w ɛ n ɪ z ɛ k
Rewenysek	r ɛ w ə n ɪ z ɐ k
Romani	r ɔ m a n i
Romani	r ə m æ n i
rudh	r yː ð
rudh	r iː ð
rudhlas	r ʏ ð l a s
rudhvelyn	r ʏ ð v ɛ l ɪ n
rudhvelyn	r ɪ ð v ɛ l ə n
rudhwynn	r ʏ ð w ɪ n
rudhwynn	r ɪ ð w ɪ n
Russi	r ʏ s i
Russi	r ʊ s i
salami	s a l aː m i
salami	z ə l æː m i
salm	s a l m
salm	s ɒ l m
scol	s k oː l
seudhel	s œ ð ɛ l
seudhel	z ɛ ð ɐ l
seythednow	s ə i θ ɛᵈ n o ʊ
seythen	s ɛ ɪ θ ɛ n
seythennow	s ə i θ ɛ n o ʊ
seythennow	s ə i θ ɛᵈ n o ʊ
shoppa	ʃ ɔ p a
shoppa	ʃ ɔ p ɐ
silikon	s ɪ l ɪ k ɔ n
silikon	z ɪ l ə k ɐ n
sinys	s iː n ɪ s
skaw	s k aˑ ʊ
skaw	s k æˑ ʊ
skobm	s k ʊ b m
skol	s k ɔː l
skol	s k oː l
skomm	s k ɔ mː
skoodh	s k oː ð
skoodh	s k uː ð
skovarn	s k ɔ v a r n
skovarn	s k ɔ v ɐ r n
snod	s n ɔː d
sowter	s ɔ ʊ t ɛ r
sowter	s ɔ ʊ t ɐ r
stat	s t aː t
stat	s t æː t
sten	s t ɛː n
sten	s t eː n
ster	s t ɛː r
ster	s t eː r
steren	s t ɛ r ɛ n
steren	s t ɛ r ɐ n
stif	s t iː f
stif	s t iː f
stifa	s t i f a
stifa	s t i f ɐ
stifek	s t i f ɛ k
stifek	s t i f ɐ k
stifliv	s t ɪ f l ɪ v
stifliv	s t ɪ f l ɪ v
stlavedh	s t l a v ɛ ð
stlavedh	s t l æ v ɐ ð
stlavedh	s t l æ v ɐ
stlevi	s t l ɛ v i
stlevi	s t l ɛ v i
takla	t a k l a
takla	t æ k l ɐ
tas	t aː z
tas	t æː z
testskrif	t ɛ s t s k r ɪ f
testskrif	t ɛ s t s k r ɪ f
teudh	t øː ð
teudh	t eː ð
tiger	t iː ɡ ɛ r
tiger	t iː ɡ ɐ r
torth	t ɔ r θ
torth	t ɔ rʰ
torthel	t ɔ r θ ɛ l
torthel	t ɔ r h ɐ l
trad	t r aː d
trad	t r æː d
tredanek	t r ɛ d a n ɛ k
tredanek	t r ə d æ n ɐ k
trenja	t r ɛ n d͡ʒ a
trenja	t r ɛ n d͡ʒ ə
trenkles	t r ɛ ŋ k l ɛ s
trenkles	t r ɛ ŋ k l ɐ z
trigys	t r i ɡ ɪ s
trigys	t r i ɡ ɛ z
trongornvil	t r ɔ ŋ ɡ ɔ r n v ɪ l
trovya	t r ɔː v j a
trovya	t r oː v j ɐ
truedha	t r y ɛ ð a
truedha	t r ɪ w ɛ ð ɐ
trufla	t r ʏ f l a
trufla	t r ɪ f l ɐ
tryghi	t r ɪ x i
tryghi	t r ɪ h i
tus	t yː z
tus	t iː z
tyckya	t ɪ k j a
tyckya	t ɪ k j ɐ
tykki	t ɪ kˑ i
ufern	ʏ f ɛ r n
ufern	ɪ f ɐ r n
ughkarga	ʏ x k a r ɡ a
ughkarga	ɪ ʊʰ k æ r ɡ ɐ
ughradha	ʏ x r a ð a
ughradha	ɪ ʊʰ r æ ð ɐ
untu	ʏ n t y
untu	ɪ n t ɪ ʊ
unverhe	ʏ n v ɛ r h ɛː
unverhe	ɪ n v ə r h eː
unya	yː n j a
unya	ɪ ʊ n j ɐ
unyans	yː n j a n s
unyans	ɪ ʊ n j ɐ n z
unys	yː n ɪ s
unys	ɪ ʊ n ɛ z
uraniom	y r aː n i ɔ m
uraniom	ɪ ʊ r æː n i ɐ m
vandalisa	v a n d a l iː z a
vandalisa	v æ n d ə l iː z ɐ
veksya	v ɛ k s j a
veksya	v ɛ k s j ɐ
viajya	v i a d͡ʒ j a
viajya	v i a d͡ʒ j a
virus	v iː r ʏ s
virus	v iː r ɪ z
vodka	v ɔ d k a
vodka	v ɔ d k ɐ
wortiwedh	w ɔ r t i w ɛ ð
yeghes	j ɛ x ɛ s
yeth	j ɛː θ
yeth	eː θ
yma	ɪ m aː
ynjynorieth	ɪ n d͡ʒ ɪ n ɔ r iː ɛ θ
ynjynorieth	ə n d͡ʒ ɪ n ə r iː ɐ θ
ynys	ɪ n ɪ s
ynys	ɪ n ɪ z
yown	j ɔ ʊ n
yown	j ɔ ʊ n
yr	ɪː r
yr	iː r
yskans	ɪ s k a n s
yskans	ɪ s k ɐ r
yskar	ɪ s k a r
yskar	ɪ s k ɐ r
yurl	j ʏ r l
yurl	j ə r l
zombi	z ɔ m b i
zombi	z ɔ m b i
