A	a
BBM	b e b e ʔ e m
BBN	b e b e ɛ n
BCG	b e t͡ʃ e ɡ e
BDRS	b e d e ɛ r ɛ s
BEI	b e e i
BEJ	b e e d͡ʒ e
BEM	b ɛ m
BGM	b e ɡ e ɛ m
BGN	b e ɡ e ɛ n
BH	b e h a
BIPA	b i p a
BKPN	b e k a p e ɛ n
BKT	b e k a t e
BLB	b e ɛ l b e
BLK	b e ɛ l k a
BLT	b e ɛ l t e
BLU	b e ɛ l u
BMN	b e ɛ m ɛ n
BNKP	b e ɛ n k a p e
BNN	b e ɛ n ɛ n
BNO	b e ɛ n o
BNPT	b e ɛ n p e t e
BNSP	b e ɛ n ɛ s p e
BOS	b o s
BP	b e p e
BPD	b e p e d e
BPHTB	b e p e h a t e b e
BPJS	b e p e d͡ʒ e ɛ s
BPK	b e p e k a
BPKB	b e p e k a b e
BPKP	b e p e k a p e
BPM	b e p e ɛ m
BPN	b e p e ɛ n
BPPD	b e p e p e d e
BPPN	b e p e p e ɛ n
BPPP	b e p e p e p e
BPPd	b e p e p e d e
BPR	b e p e ɛ r
BPS	b e p e ɛ s
BPT	b e p e t e
BRI	b ɛ ɛ r i
BSN	b e ɛ s ɛ n
BTKV	b e t e k a v e
BTP	b e t e p e
BU	b e u
BUMD	b e u ɛ m d e
BUMN	b e u ɛ m ɛ n
Babel	b a b ə l
Bacharuddin	b a x a r u d i n
Bagus	b a ɡ u s
Bajau	b a d͡ʒ a u̯
Bali	b a l i
Balikpapan	b a l i k p a p a n
Balunijuk	b a l u n ʔ i d͡ʒ u k
Bandung	b a n d u ŋ
Bangladesh	b a ŋ l a d ɛ s h
Banglasia	b a ŋ l a s i a
Banjarmaskuala	b a n d͡ʒ a r m a s k u a l a
Banten	b a n t ɛ n
Banyuwangi	b a ɲ u w a ŋ i
Bapa	b a p a
Bappenas	b a p ə n a s
Bartolomeus	b a r t o l o m ə s
Barukh	b a r u x
Baruna	b a r u n a
Basarnas	b a s a r n a s
Batam	b a t a m
Batavia	b a t a v i a̯
Bawaslu	b a w a s l u
Belanda	b ə l a n d a
Belarus	b e l a r ʊ s
Belarusia	b e l a r u s i a̯
Belgia	b ɛ l ɡ i a
Benggala	b ə ŋ ɡ a l a
Bengkulu	b ə ŋ k u l u
Benin	b e n i n
Betawi	b ə t a w i
Betlehem	b ɛ t l e h ɛ m
Biak	b i a k
Bianca	b i a ŋ k a
Bianca	b i j a ŋ k a
Bibel	b i b ə l
Bilangan	b i l a ŋ a n
Bima	b i m a
BintangWiki	b i n t a ŋ w i k i
Bocimi	b o t͡ʃ i m i
Bogor	b o ɡ o r
Bong	b o ŋ
Bontang	b ɔ n t a ŋ
Borduria	b o r d u r i a
Botswana	b o t s w a n a
Brebes	b r ə b ə s
Brimob	b r i m o b
Brunei	b r u n e i̯
Buda	b u d a
Buddha	b u d h a
Budiono	b u d i o n o
Bugis	b u ɡ i s
Bulan	b u l a n
Bulgaria	b u l ɡ a r i a
Bulungan	b u l u ŋ a n
Bumi	b u m i
Burundi	b u r u n d i
C	s e
C	t ʃ
C	t͡ʃ e
CABG	t͡ʃ e a b e ɡ e
CAD	t͡ʃ e a d e
CBC	t͡ʃ e b e t͡ʃ e
CBL	t͡ʃ e b e ɛ l
CBSA	t͡ʃ e b e ɛ s a
CIPA	t͡ʃ e i p e a
CKB	t͡ʃ e k a b e
CKR	t͡ʃ e k a ɛ r
CKS	t͡ʃ e k a ɛ s
CPE	t͡ʃ e p e e
CPNS	t͡ʃ e p e ɛ n ɛ s
CPO	t͡ʃ e p e o
CT	t͡ʃ e t e
CTS	t͡ʃ e t e ɛ s
CV	t͡ʃ e v e
Cad	t͡ʃ a d
Cahyo	t͡ʃ a h j o
Cahyo	t͡ʃ a h j ɔ
Cahyono	t͡ʃ a h j o n o
Callista	k a l i s t a
Canggu	t͡ʃ a ŋ ɡ u
Cantika	t͡ʃ a n t i k a
Cecep	t͡ʃ e t͡ʃ e p
Cen	t͡ʃ ə n
Chai	t͡ʃ h a i̯
Chalid	x a l i d
Chan	t͡ʃ h a n
Chaniago	t͡ʃ a n i a ɡ o
Chu	t͡ʃ h u
Chua	t͡ʃ u a
Ciamis	t͡ʃ i a m i s
Cianjur	t͡ʃ i a n d͡ʒ u r
Cikarang	t͡ʃ i k a r a ŋ
Cilegon	t͡ʃ i l ɛ ɡ o n
Ciliwung	t͡ʃ i l i w u ŋ
Cina	t͡ʃ i n a
Cirebon	t͡ʃ i r ə b o n
Clara	k l a r a
Clarissa	k l a r i s a
Claudia	k l a u̯ d i a
Claudia	k l a u̯ d i j a
Cu	t͡ʃ u
Cynthia	s i n t i a
Cynthia	s i n t i j a
D	d
D	d e
DAS	d a s
DB	d e b e
DBD	d e b e d e
DBS	d e b e ɛ s
DBT	d e b e t e
DIY	d e i j e
DJA	d e d͡ʒ e a
DKA	d e k a a
DKI	d e k a i
DKPP	d e k a p e p e
DLLAJR	d e ɛ l ɛ l a d͡ʒ e ɛ r
DNA	d e ɛ n a
DNR	d e ɛ n ɛ r
DO	d e o
DP	d e p e
DPA	d e p e a
DPB	d e p e b e
DPC	d e p e t͡ʃ e
DPJP	d e p e d͡ʒ e p e
DPK	d e p e k a
DPKLN	d e p e k a ɛ l ɛ n
DPO	d e p e o
DPP	d e p e p e
DPR	d e p e ɛ r
DPRD	d ɛ p ɛ ɛ r d ɛ
DPS	d e p e ɛ s
DPSHP	d e p e ɛ s h a p e
DPSHPLN	d e p e ɛ s h a p e ɛ l ɛ n
DPSLN	d e p e ɛ s ɛ l ɛ n
DPT	d e p e t e
DSLR	d e ɛ s ɛ l ɛ r
DSPS	d e ɛ s p e ɛ s
Dadan	d a d a n
Dadang	d a d a ŋ
Daffa	d a f a
Damono	d a m o n o
Daniel	d a n i ɛ l
Daryatmo	d a r j a t m o
Datu	d a t u
Daud	d a u d
Dayak	d a j a k
Deden	d e d e n
Denmark	d ɛ n m a k
Denmark	d ɛ n m a r k
Denpasar	d ɛ n p a s a r
Desember	d e s e m b ə r
Deuterokanonika	d e u̯ t e r o k a n o n i k a
Dewo	d ə w o
Djojohadikusumo	d͡ʒ ɔ j ɔ h a d i k u s u m ɔ
Djuanda	d͡ʒ u a n d a
Dominika	d o m i n i k a
E	e
E	ə
E	ɛ
EBT	e b e t e
EBV	e b e v e
EDH	e d e h a
EEG	e e ɡ e
EKG	e k a ɡ e
Eden	e d ə n
Efesus	e f e s u s
Effendi	e f e n d i
Efrat	ɛ f r a t
Eko	e k o
Elvira	ɛ l v i r a
Eritrea	e r i t r e a
Ester	ɛ s t ə r
Estonia	e s t o n i a̯
Eswatini	ɛ s w a t i n i
Etiopia	e t i o p i a
Eu	ə̯
F	f
F	ɛ f
FMIPA	e f m i p a
FP	ɛ f p ɛ
Fatimah	f a t i m a h
Februari	f e b r u a r i
Filemon	f i l e m o n
Filipi	f i l i p i
Filipina	f i l i p i n a
Filipus	f i l i p u s
Finlandia	f ɪ n l a n d i a̯
Frans	f r a n s
Fransisca	f r a n s ɪ s k a
G	ɡ
G	ɡ e
GAM	ɡ a m
GBHN	ɡ e b e h a ɛ n
GBPP	ɡ e b e p e p e
GDS	ɡ e d e ɛ s
GGL	ɡ e ɡ e ɛ l
GKE	ɡ e k a e
GKJW	ɡ e k a d͡ʒ e w e
GNB	ɡ ɛ ɛ n b ɛ
GOR	ɡ o r
GPM	ɡ e p e ɛ m
GPPH	ɡ e p e p e h a
GSB	ɡ e ɛ s b e
Gabon	ɡ a b o n
Gabriel	ɡ a b r i ɛ l
Gabriella	ɡ a b r i e l a
Gabriella	ɡ a b r i j e l a
Galatia	ɡ a l a t i a
Gambia	ɡ a m b i a
Gangga	ɡ a ŋ ɡ a
Gantung	ɡ a n t u ŋ
Genesis	ɡ e n e s i s
Georgia	ɡ e ɔ r ɡ i a
Gestapu	ɡ ə s t a p u
Ghana	ɡ a n a
Gisella	ɡ i s e l a
Glenmore	ɡ l ɛ n m o r
Golkar	ɡ o l k a r
Gracia	ɡ r a s i a
Gracia	ɡ r a s i j a
Guinea	ɡ u i̯ n e a
Gunawan	ɡ u n a w a n
H	h
H	h a
HAKI	h a k i
HET	h a e t e
HGB	h a ɡ e b e
HGU	h a ɡ e u
HI	h a i
HI	h a ʔ i
HKI	h a k a i
HMETD	h a ɛ m e t e d e
HP	h a p e
HPHT	h a p e h a t e
HSA	h a ɛ s a
HTS	h a t e ɛ s
HUT	h u t
HVS	h a v e ɛ s
HVS	h a v e ʔ ɛ s
HVS	h a v ɛ ɛ s
HVS	h a v ɛ ʔ ɛ s
Habel	h a b e l
Habibie	h a b i b i
Habil	h a b ɪ l
Hadiharjono	h a d i h a r d͡ʒ o n o
Hadramaut	h a d r a m a u t
Hagai	h a ɡ a i̯
Halim	h a l i m
Haloq	h a l o ʔ
Handoko	h a n d o k o
Harjono	h a r d͡ʒ o n o
Harjono	h a r j o n o
Harsoyo	h a r s o j o
Hartono	h a r t o n o
Haryono	h a r j o n o
Hasyim	h a ʃ i m
Hatta	h a t a
Helsinki	h ɛ l s i n k i
Hendroto	h ə n d r o t o
Hermanto	h e r m a n t o
Hermono	h ə r m o n o
Hinomaru	h i n o m a r u
Ho	h o
Hoesni	h u s n i
Hongaria	h o ŋ ɡ a r i a
Hosea	h o s e a
Humaira	h u m a i r a
Humaira	h u m a i̯ r a
I	i
I	ɪ
IGD	i ɡ e d e
IHSG	i h a ɛ s ɡ e
IKD	i k a d e
IKIP	i k ɪ p
IKM	i k a ɛ m
IKN	i k a ɛ n
IKP	i k a p e
IKU	i k a u
ILO	i l o
IMB	i ɛ m b e
IMD	i ɛ m d e
IMS	i ɛ m ɛ s
IMT	i ɛ m t e
INOS	i n ɔ s
IP	i p e
IPA	i p a
IPA	i p e a
IPAL	i p a l
IPK	i p e k a
IPM	i p ɛ ɛ m
IPS	i p e ɛ s
ISI	i s i
ISPA	ɪ s p a
ITB	i t e b e
ITE	i t e e
ITERA	i t ə r a
ITK	i t e k a
ITPMB	i t e p e e m b e
IUP	i u p
IUPP	i u p e p e
IUPPR	i u p e p e e r
IUTP	i u t e p e
IUTS	i u t e e s
Iban	i b a n
Ibrahim	i b r a h i m
Ibrani	i b r a n i
Idham	i d a m
Iduladha	i d u l a d a
Idulfitri	i d u l f i t r i
Imamat	i m a m a t
Imanuel	i m a n u ə l
Indo	ɪ n d o
Indonesia	i n d o n ɛ s ɪ a
Indonesia	i n d o n ɛ s ɪ j a
Indra	i n d r a
Indragiri	i n d r a ɡ i r i
Indramayu	i n d r a m a j u
Inggris	i ŋ ɡ r i s
Injil	i n d͡ʒ i l
Insulinde	i n s u l i n d ə
Iran	i r a n
Irlandia	ɪ r l a n d i a̯
Isa	i s a
Ishak	i s h a k
Iskandar	i s k a n d a r
Islandia	ɪ s l a n d i a̯
Isriwil	i s r i w i l
Iswanto	i s w a n t o
Italia	i t a l i a
J	d͡ʒ
J	d͡ʒ e
JF	d͡ʒ e ɛ f
JFA	d͡ʒ e ɛ f a
JIKN	d͡ʒ e i k a ɛ n
JKN	d͡ʒ e k a ɛ n
JPL	d͡ʒ e p e ɛ l
JPU	d͡ʒ e p e u
JRA	d͡ʒ e ɛ r a
Jabar	d͡ʒ a b a r
Jakarta	d͡ʒ a k a r t a
Jaksel	d͡ʒ a k s ə l
Jalut	d͡ʒ a l u t
Januari	d͡ʒ a n u a r i
Jap	j a p
Jateng	d͡ʒ a t ə ŋ
Jatim	d͡ʒ a t i m
Jawa	d͡ʒ a w a
Jawakarta	d͡ʒ a w a k a r t a
Jawi	d͡ʒ a w i
Jaya	d͡ʒ a j a
Jayapura	d͡ʒ a j a p u r a
Jember	d͡ʒ ə m b ə r
Jenewa	d͡ʒ ə n ɛ w a
Jepang	d͡ʒ ə p a ŋ
Jepun	d͡ʒ ə p u n
Jerman	d͡ʒ ɛ r m a n
Jibuti	d͡ʒ i b u t i
Jie	d͡ʒ i ə
Jip	j i p
Jogja	d͡ʒ o ɡ d͡ʒ a
Joko	d͡ʒ ɔ k ɔ
Jokowi	d͡ʒ o k o w i
Jong	d͡ʒ o ŋ
Juli	d͡ʒ u l i
Jumadilakhir	d͡ʒ u m a d i l ʔ a x i r
Jumadilawal	d͡ʒ u m a d i l ʔ a w a l
Jumat	d͡ʒ u m ʔ a t
Juni	d͡ʒ u n i
Jupiter	d͡ʒ u p i t ə r
K	k
K	k a
KA	k a a
KAK	k a a k a
KB	k a b e
KBH	k a b e h a
KBRI	k a b e e r i
KDRT	k a d e ɛ r t e
KDT	k a d e t e
KEN	k ɛ n
KEP	k a e p e
KGB	k a ɡ e b e
KHS	k a h a ɛ s
KIA	k a i a
KIE	k a i e
KISS	k ɪ s
KIT	k i t
KITAP	k i t a p
KJ	k a d͡ʒ e
KK	k a k a
KKI	k a k a i
KKM	k a k a ɛ m
KKN	k a k a ɛ n
KKO	k a k a o
KKP	k a k a p e
KKR	k a k a ɛ r
KL	k a ɛ l
KLB	k a ɛ l b e
KM	k a ɛ m
KMB	k a ɛ m b e
KONI	k o n i
KOP	k o p
KPA	k a p e a
KPI	k a p ɛ i
KPK	k a p e k a
KPP	k a p e p e
KPPI	k a p e p e i
KPPS	k a p e p e ɛ s
KPPSLN	k a p e p e ɛ s ɛ l ɛ n
KPR	k a p e ɛ r
KPS	k a p e ɛ s
KPSP	k a p e ɛ s p e
KPU	k a p ɛ u
KRD	k a ɛ r d e
KRDE	k a ɛ r d e e
KRDH	k a ɛ r d e h a
KRDM	k a ɛ r d e ɛ m
KRI	k a ɛ r i
KRL	k a ɛ r ɛ l
KRS	k a ɛ r ɛ s
KS	k a ɛ s
KSK	k a ɛ s k a
KSO	k a ɛ s o
KSP	k a ɛ s p e
KTA	k a t e a
KTM	k a t e ɛ m
KTP	k a t ɛ p ɛ
KTSP	k a t e ɛ s p e
KTT	k a t e t e
KU	k a u
KUE	k a u e
KW	k a w e
KWK	k a w ɛ k a
KY	k a j e
Kadin	k a d i n
Kalang	k a l a ŋ
Kalbar	k a l b a r
Kaltara	k a l t a r a
Kalteng	k a l t ə ŋ
Kaltim	k a l t i m
Kam	k a m
Kamboja	k a m b o d͡ʒ a
Kamerun	k a m ɛ r u n
Kamis	k a m i s
Kanser	k a n s ə r
Kapitan	k a p i t a n
Kapuas	k a p u a s
Karawang	k a r a w a ŋ
Karina	k a r i n a
Karo	k a r o
Kartawidjaja	k a r t a w i d͡ʒ a j a
Kartika	k a r t i k a
Karyono	k a r j o n o
Kastono	k a s t o n o
Kautsar	k a u t s a r
Kautsar	k a u̯ s a r
Kautsar	k a u̯ θ a r
Kazakstan	k a z a k s t a n
Kejadian	k ə d͡ʒ a d i a n
Keluaran	k ə l u a r a n
Kemenag	k ə m ə n a ɡ
Kemendikbudristek	k ə m ə n d i k b u d r i s t ɛ k
Kemenkominfo	k ə m ə n k o m i n f o
Kemlu	k ə m l u
Kendal	k ə n d a l
Kenya	k e ɲ a
Kepri	k ə p r i
Kertosono	k ə r t o s o n o
Kertosono	k ə r t ɔ s ɔ n ɔ
Khadijah	x a d i d͡ʒ a h
Khairunnisa	x a i r u n i s a
Kirgizstan	k i r ɡ i s t a n
Kolombia	k o l o m b i a
Kominfo	k o m i n f o
Komoro	k o m o r o
Konfrontasi	k o n f r o n t a s i
Kongo	k o ŋ o
Konoha	k o n o h a
Kopaska	k o p a s k a
Kopassus	k o p a s u s
Korea	k o r e a
Kosovo	k o s o v o
Koswara	k o s w a r a
Kotamobagu	k o t a m o b a ɡ u
Kristen	k r i s t ə n
Kristus	k r i s t u s
Kunto	k u n t o
Kustono	k u s t o n o
Kusumo	k u s u m o
Kuswandono	k u s w a n d o n o
Kusworo	k u s w o r o
Kusyadi	k u ʃ a d i
L	l
L	ɛ l
LADK	ɛ l a d e k a
LAN	l a n
LGBT	ɛ l d ʒ i b i t i
LGBT	ɛ l ɡ e b e t e
LHE	ɛ l h a e
LHM	ɛ l h a ɛ m
LHP	ɛ l h a p e
LHPKN	ɛ l h a p e k a ɛ n
LK	ɛ l k a
LKD	ɛ l k a d e
LKP	ɛ l k a p e
LKPP	ɛ l k a p e p e
LKPTN	ɛ l k a p e t e ɛ n
LKj	ɛ l k a d͡ʒ e
LN	ɛ l ɛ n
LP	ɛ l p e
LPK	ɛ l p e k a
LPMP	ɛ l p e ɛ m p e
LPPDK	ɛ l p e p e d e k a
LPSDK	ɛ l p e ɛ s d e k a
LSM	ɛ l ɛ s ɛ m
LWBP	ɛ l w e b e p e
Lai	l a i̯
Laos	l a o s
Latvia	l a t v i a
Lebaran	l ə b a r a n
Leginah	l ə ɡ i n a h
Legiyah	l ə ɡ i j a h
Lenggang	l ɛ ŋ ɡ a ŋ
Lesoto	l e s o t o
Lhokseumawe	l o k s u m a w e
LiLA	l i l a
Liberia	l i b e r i a
Libya	l i b j a
Listenstaina	l i s t ə n s t a i n a
Lituania	l i t u a n i a
Lombok	l o m b o k
Louisa	l u i s a
Lukas	l u k a s
Lukito	l u k i t o
Lukmanto	l u k m a n t o
Lukminto	l u k m i n t o
Luksemburg	l u k s ə m b u r ɡ
Lutheranisme	l u t h ə r a n i s m ə
M	m
M	ɛ m
MA	ɛ m a
MABBIM	m a b i m
MANOVA	m a n o v a
MBO	ɛ m b e o
MGMP	ɛ m ɡ e ɛ m p e
MI	ɛ m i
MIPA	m i p a
MK	ɛ m k a
MKDK	ɛ m k a d e k a
MKDU	ɛ m k a d e u
MKG	ɛ m k a ɡ e
MKK	ɛ m k a k a
MPR	ɛ m p e ɛ r
MT	ɛ m t e
Madagaskar	m a d a ɡ a s k a r
Madiyono	m a d i j o n o
Madura	m a d u r a
Magelang	m a ɡ ə l a ŋ
Majalengka	m a d͡ʒ a l e ŋ k a
Makanoneng	m a k a n o n ə ŋ
Makara	m a k a r a
Makassar	m a k a s a r
Makedonia	m a k e d o n i a
Makjuj	m a ʔ d͡ʒ u d͡ʒ
Malang	m a l a ŋ
Malawi	m a l a w i
Malaydesh	m a l a j d e ʃ
Malaydesh	m a l e d e ʃ
Malaydesh	m a l e j d e ʃ
Malaysia	m a l a j s i a
Maleakhi	m a l ɛ a x i
Mali	m a l i
Malingsia	m ä l ɪ ŋ s i a
Malingsial	m ä l ɪ ŋ s i a l
Malon	m a l ɔ n
Malta	m a l t a
Mamarika	m a m a r i k a
Manado	m a n a d o
Manggar	m a ŋ ɡ a r
Mangkasar	m a ŋ k a s a r
Manila	m a n i l a
Mansur	m a n s u r
Maoisme	m a w i s m ə
Mardiyanto	m a r d i j a n t o
Maret	m a r ə t
Maria	m a r i a
Markus	m a r k u s
Maroko	m a r o k o
Mars	m a r s
Marsudirini	m a r s u d i r i n i
Martadinata	m a r t a d i n a t a
Maryam	m a r j a m
Masehi	m a s e h i
Matahari	m a t a h a r i
Matius	m a t i u s
Mauritania	m a u r i t a n i a
Mauritius	m a u r i t i u s
Maya	m a j a
Mazmur	m a z m u r
Mbojo	m b o j o
Mediterania	m ɛ d i t ə r a n i a
Megawati	m e ɡ a w a t i
Mei	m e i̯
Mekdi	m e k d i
Melayu	m ə l a j u
Mengkasar	m ə ŋ k a s a r
Menlu	m ə n l u
Merak	m ə r a k
Merauke	m e r a u k e
Merkurius	m ɛ r k u r i u s
Mesir	m ə s i r
Meutia	m u t i a
Mikha	m i x a
Minggu	m i ŋ ɡ u
Mojokerto	m o d͡ʒ o k ə r t o
Mojokerto	m ɔ d͡ʒ ɔ k ə r t ɔ
Mokhtar	m o h t a r
Mokhtar	m o k t a r
Mokhtar	m o x t a r
Moldova	m o l d o v a
Monako	m o n a k o
Monas	m o n a s
Mongolia	m o ŋ o l i a
Montenegro	m o n t e n e ɡ r o
Mormonisme	m o r m o n i s m ə
Mozambik	m o z a m b i k
Mugiarto	m u ɡ i a r t o
Muharam	m u h a r a m
Mukhtar	m u k t a r
Mukhtar	m u x t a r
Muntok	m u n t o k
Muntok	m u n t o ʔ
Murdianto	m u r d i a n t o
Muryono	m u r j o n o
Musa	m u s a
Myanmar	m j a n m a r
N	n
N	ɛ n
NATO	n a t o
NBL	ɛ n b e ɛ l
NEM	n ɛ m
NJOP	ɛ n d͡ʒ e o p e
NO	ɛ n o
NPP	e n p e p e
NPWP	ɛ n p e w e p e
NSPK	ɛ n ɛ s p e k a
NTCR	ɛ n t e t͡ʃ e ɛ r
Nabi	n a b i
Nabila	n a b i l a
Nadine	n a d ɪ n
Namibia	n a m i b i a
Nasrani	n a s r a n i
Natal	n a t a l
Natasha	n a t a ʃ a
Natasya	n a t a ʃ a
Naufal	n a u f a l
Naura	n a u̯ r a
Nehemia	n e h ə m i a
Nepal	n e p a l
Ngawi	ŋ a w i
Niger	n i ɡ ə r
Nigeria	n i ɡ ə r i a
Nil	n i l
Nippon	n i p o n
Norma	n o r m a
Norwegia	n ɔ r w e ɡ i a̯
November	n o v e m b ə r
Nur	n u r
Nusantara	n u s a n t a r a
Nyepi	ɲ ə p i
Nyonya	ɲ o ɲ a
O	o
OB	o b e
OHT	o h a t e
OJK	o d͡ʒ e k a
OKB	o k a b e
OKI	o k a i
OPM	o p e e m
OTT	o t e t e
Obaja	o b a d͡ʒ a
Octavia	ɔ k t a v i a
Octavia	ɔ k t a v i j a
Oktober	o k t o b ə r
Olimpiade	o l ɪ m p i a d ə
Olivia	o l i v i a
Olivia	o l i v i j a
Oman	o m a n
Orba	o r b a
Os	o ɛ s
Oseania	o s e a n i a
P	p
P	p e
PAN	p a n
PAS	p a s
PATI	p a t i
PAUD	p a u d
PAW	p e a w e
PB	p e b e
PBB	p e b e b e
PBG	p e b e ɡ e
PBR	p e b e ɛ r
PCR	p e t͡ʃ e ɛ r
PD	p e d e
PDB	p e d e b e
PDIP	p ɛ d ɛ i p ɛ
PDL	p e d e ɛ l
PDPB	p e d e p e b e
PDSS	p e d e ɛ s ɛ s
PETA	p ə t a
PGMI	p e ɡ e ɛ m i
PGP	p e ɡ e p e
PGPAUD	p e ɡ e p a u t
PGS	p e ɡ e ɛ s
PGSD	p e ɡ e ɛ s d e
PHBS	p e h a b e ɛ s
PHP	p e h a p e
PIR	p i r
PIT	p e i t e
PJ	p e d͡ʒ e
PJKA	p e d͡ʒ e k a a
PJL	p e d͡ʒ e ɛ l
PJR	p e d͡ʒ e ɛ r
PJT	p e d͡ʒ e t e
PK	p e k a
PKB	p e k a b e
PKKMB	p e k a k a ɛ m b e
PKL	p e k a ɛ l
PKP	p e k a p e
PKWT	p e k a w e t e
PKWTT	p e k a w e t e t e
PL	p e ɛ l
PLBN	p e ɛ l b e ɛ n
PLP	p e ɛ l p e
PLTA	p e ɛ l t e a
PLTU	p e ɛ l t e u
PM	p e ɛ m
PM	p e ʔ ɛ m
PMA	p e ɛ m a
PMDK	p e ɛ m d e k a
PMI	p e ɛ m i
PMO	p e ɛ m o
PN	p e ɛ n
PNS	p e ɛ n ɛ s
PO	p e o
POM	p e o e m
PON	p ɔ n
POP	p o p
PP	p e p e
PPA	p e p e a
PPAT	p e p e a t e
PPDB	p e p e d e b e
PPDGJ	p e p e d e ɡ e d͡ʒ e
PPG	p e p e ɡ e
PPI	p e p e i
PPK	p e p e k a
PPKA	p e p e k a a
PPKH	p e p e k a h a
PPLN	p e p e ɛ l ɛ n
PPN	p e p e ɛ n
PPP	p e p e p e
PPRS	p e p e ɛ r ɛ s
PPS	p e p e ɛ s
PPh	p e p e h a
PR	p ɛ ɛ r
PRT	p e ɛ r t e
PSK	p ɛ ɛ s k a
PSN	p e ɛ s ɛ n
PT	p e t e
PTL	p e t e e l
PTM	p e t e ɛ m
PTO	p e t e o
PTSL	p e t e ɛ s ɛ l
PTT	p e t e t e
PUS	p u s
Paijan	p a i d͡ʒ a n
Paijem	p a i d͡ʒ ə m
Paijo	p a i d͡ʒ o
Paimin	p a i m i n
Paino	p a i n o
Pakistan	p a k i s t a n
Palangkaraya	p a l a ŋ k a r a j a
Palembang	p a l e m b a ŋ
Paleolitikum	p a l e o l i t i k u m
Palestina	p a l ɛ s t i n a
Palu	p a l u
Pananjung	p a n a n d͡ʒ u ŋ
Pancasila	p a n t͡ʃ a s i l a
Pangaribuan	p a ŋ a r i b u a n
Papanggo	p a p a ŋ ɡ o
Parahiyangan	p a r a h i j a ŋ a n
Paser	p a s ɛ r
Pasir	p a s i r
Paskah	p a s k a h
Paskibraka	p a s k i b r a k a
Pasundan	p a s u n d a n
