آذى	ʔ aː z a
بوت	b uː t
بوري	b uː r i
بوسة	b oː s a
بوصة	b uː sˤ a
بول	b oː l
بول	p oː l
بولندا	b oː l a n d a
بولندا	p oː l a n d a
بوية	b oː j a
بيارة	b a jː aː r a
بيالة	b i j aː l a
بيالة	b i j ɑː l a
بيتزا	b iː t z a
بيتزا	p iː t s a
بيتزا	p iː t z a
بيج	b eː d͡ʒ
بير	b iː r
بيض	b a j j a dˤ
بيض	b eː dˤ
بيض	b iː dˤ
بيضة	b eː dˤ a
بيقل	b eː ɡ a l
بيقل	b eː ɡ i l
بيقل	b i j i ɡ u l
بيقول	b i j ɡ uː l
تابل	t aː b i l
تبرويرة	t a b i r w eː r a
تبرويرة	t a p i r w eː r a
تبسي	t i b s i
تبسي	t i p s i
تجليخ	t a d͡ʒ l iː x
تحت	t a ħ a t
تحتاني	t a ħ t aː n i
تخين	t a x iː n
تذكرة	t a z k i r a
تذكرة	t a ð k i r a
ترانزيت	t a r a n z iː t
ترانزيت	t r aː n z iː t
ترى	t a r a
تريقة	t a r j a ɡ a
تشاد	t ʃ aː d
تشبس	t ʃ i b s
تشبس	t ʃ i p s
تشلو	t ʃ i l l u
تشيلو	t ʃ eː lː u
تشيلي	t i ʃ iː l i
تشيلي	t ʃ iː l i
تطبيق	t a tˤ b iː ɡ
تطلي	t a tˤ l i
تظليل	t a dˤ l iː l
تظليل	t a ðˤ l iː l
تعليق	t a ʕ l iː ɡ
تفل	t a fː a l
تقريبا	t a ɡ r iː b a n
تقسيم	t a ɡ s iː m
تقليد	t a ɡ l iː d
تقنية	t a ɡ n i j a
تقويم	t a ɡ w iː m
تكروني	t a k r uː n i
تكنلوجيا	t i k n u l oː d͡ʒ j a
تلج	t a l d͡ʒ
تلفريك	t i l i f i r iː k
تلفريك	t i l i f r iː k
تلفزيون	t a l f i z j oː n
تلفزيون	t i l f i z j oː n
تنية	t a n j a
توابل	t a w aː b i l
توت	t uː t
توصيلة	t a w sˤ iː l a
توفو	t oː f u
توقيع	t a w ɡ iː ʕ
تونة	t uː n a
تيس	t eː s
ثابت	s aː b i t
ثابت	θ aː b i t
ثانوي	s aː n a w i
ثانوي	θ aː n a w i
ثخين	t a x iː n
ثرلر	θ r i l a r
ثعبان	t u ʕ b aː n
ثعبان	θ u ʕ b aː n
ثعلب	t a ʕ l a b
ثعلب	θ a ʕ l a b
ثقافة	s a ɡ aː f a
ثقافة	θ a ɡ aː f a
ثقب	t u ɡ b
ثقب	θ u ɡ b
ثقيل	t a ɡ iː l
ثقيل	θ a ɡ iː l
ثلج	t a l d͡ʒ
ثلج	t a l l a d͡ʒ
ثمنية	t a m a n j a
ثنية	t a n j a
ج	d͡ʒ
ج	d͡ʒ iː m
جا	d͡ʒ aː
جاثوم	d͡ʒ aː θ uː m
جاذبية	d͡ʒ aː z i b i jː a
جاذبية	d͡ʒ aː ð i b i jː a
جار	d͡ʒ aː r
جاروفة	d͡ʒ aː r uː f a
جاعورة	d͡ʒ aː ʕ uː r a
جالون	d͡ʒ aː l oː n
جاموس	d͡ʒ aː m uː s
جاوة	d͡ʒ aː w a
جاوي	d͡ʒ aː w i
جاية	d͡ʒ aː j j a
جبنة	d͡ʒ u b n a
جدة	d͡ʒ a d d a
جدة	d͡ʒ i d d a
جراثيم	d͡ʒ a r aː θ iː m
جرايد	d͡ʒ a r aː j i d
جربان	d͡ʒ a r b aː n
جرثومة	d͡ʒ a r θ uː m a
جرثومة	d͡ʒ u r θ uː m a
جرجير	d͡ʒ a r d͡ʒ iː r
جرعة	d͡ʒ u r ʕ a
جزار	d͡ʒ a z z aː r
جزر	d͡ʒ a z i r
جزر	d͡ʒ u z a r
جزر	d͡ʒ u z u r
جزم	d͡ʒ i z a m
جزمة	d͡ʒ a z m a
جزيرة	d͡ʒ a z iː r a
جسر	d͡ʒ i s i r
جغمة	d͡ʒ u ɣ m a
جفس	d͡ʒ i f i s
جفن	d͡ʒ i f i n
جفن	d͡ʒ ɪ f ɪ n
جكيت	d͡ʒ a k eː t
جكيت	d͡ʒ i k eː t
جمارك	d͡ʒ a m aː r i k
جمرك	d͡ʒ u m r u k
جنب	d͡ʒ a n b
جنة	d͡ʒ a nː a
جنط	d͡ʒ a n tˤ
جنيف	d͡ʒ i n eː f
جنيف	d͡ʒ i n eː v
جنيڤ	d͡ʒ i n eː v
جو	d͡ʒ a w w
جوا	d͡ʒ oː
جوا	d͡ʒ u w w a
جوال	d͡ʒ a w w aː l
جوالات	d͡ʒ a w w aː l aː t
جوة	d͡ʒ u w w a
جوز	d͡ʒ oː z
جونتي	d͡ʒ u w a n t i
جونتي	d͡ʒ u w i n t i
جيب	d͡ʒ eː b
جيب	d͡ʒ iː b
جيب	d͡ʒ iː p
جية	d͡ʒ a j j a
جيش	d͡ʒ eː ʃ
جيعان	d͡ʒ iː ʕ aː n
جينز	d͡ʒ iː n z
ح	ħ
ح	ħ a
ح	ħ aː ʔ
حابب	ħ aː b i b
حاجة	ħ aː d͡ʒ a
حب	ħ u bː
حبار	ħ a bː aː r
حبحب	ħ a b ħ a b
حبر	ħ i b i r
حبش	ħ a b a ʃ
حبق	ħ a b a ɡ
حدايق	ħ a d aː j i ɡ
حديقة	ħ a d iː ɡ a
حراق	ħ a r r aː ɡ
حرامي	ħ a r aː m i
حرباية	ħ i r b aː j a
حرفيا	ħ a r f i j j a n
حرق	ħ a r a ɡ
حرق	ħ a rː a ɡ
حرق	ħ u r ɡ
حرقان	ħ a r a ɡ aː n
حرمة	ħ u r m a
حصان	ħ u sˤ aː n
حصوة	ħ a sˤ w a
حط	ħ a tˤː
حظ	ħ a zˤː
حفار	ħ a f f aː r
حفاضة	ħ u f aː dˤ a
حفيان	ħ a f j aː n
حق	ħ a ɡ ɡ
حق	ħ u ɡ ɡ
حقون	ħ a ɡ ɡ oː n
حقيقي	ħ a ɡ iː ɡ i
حكم	ħ a k a m
حكم	ħ u k u m
حلاق	ħ a l l aː ɡ
حلاوة	ħ a l aː w a
حلق	ħ a l a ɡ
حلق	ħ a l l a ɡ
حلق	ħ a l l i ɡ
حلق	ħ a l ɡ
حلقة	ħ a l a ɡ a
حلقة	ħ a l ɡ a
حلى	ħ a l a
حلى	ħ a l l a
حنجرة	ħ a n d͡ʒ a r a
حنجرة	ħ u n d͡ʒ u r a
حنش	ħ a n a ʃ
حوايج	ħ a w aː j i d͡ʒ
حوسة	ħ oː s a
حوش	ħ oː ʃ
حول	ħ a w a l
حول	ħ a w w a l
حول	ħ a w w i l
حول	ħ oː l
حول	ħ uː l
حوم	ħ oː m
حومة	ħ oː m a
حيقول	ħ a j ɡ uː l
حيل	ħ eː l
حيل	ħ i j a l
خ	x
خ	x aː ʔ
خاروف	x aː r uː f
خازوق	x aː z uː ɡ
خاشوقة	x aː ʃ uː ɡ a
خبز	x a b a z
خبز	x u b u z
خرا	x a r a
خربان	x a r b aː n
خربز	x i r b i z
خربش	x a r b a ʃ
خرتيت	x a r t iː t
خرشوف	x a r ʃ uː f
خرقة	x i r ɡ a
خروف	x aː r uː f
خشم	x u ʃ u m
خضرا	x a dˤ r a
خفاش	x u f f aː ʃ
خفافيش	x a f aː f iː ʃ
خلاط	x a l l aː tˤ
خمر	x a m m a r
خمر	x a m u r
خنفسانة	x u n f u s aː n a
خوخ	x a w w a x
خوخ	x oː x
خیش	x eː ʃ
داك	d aː k
دايما	d aː j m a n
دبلجة	d a b l a d͡ʒ a
دبور	d a b b uː r
دجاجة	d u d͡ʒ aː d͡ʒ a
دحين	d a ħ eː n
دحين	d a ħ iː n
دحين	d a ħː iː n
دخلة	d a x l a
دربزين	d a r a b z iː n
درج	d a r a d͡ʒ
درج	d a r r a d͡ʒ
درج	d u r d͡ʒ
دركسون	d i r i k s oː n
دري	d i r i
دعا	d a ʕ a
دعاسة	d a ʕ ʕ aː s a
دعسوقة	d a ʕ s uː ɡ a
دغدغة	d a ɣ d a ɣ a
دفاية	d a f f aː j a
دقاق	d a ɡ aː ɡ
دقايق	d a ɡ aː j i ɡ
دقة	d a ɡ ɡ a
دقة	d i ɡ ɡ a
دقة	d u ɡ ɡ a
دقس	d u ɡ ɡ u s
دقيق	d a ɡ iː ɡ
دقيقة	d a ɡ iː ɡ a
دلفين	d u l f iː n
دهليز	d a h l iː z
دهليز	d i h l iː z
دوب	d uː b
دوسيه	d oː s eː
دوش	d uː ʃ
دولاب	d oː l aː b
ديجافو	d eː d͡ʒ aː f uː
ديجافو	d eː d͡ʒ aː v uː
ديجاڤو	d eː d͡ʒ aː v uː
ديس	d eː s
ديسمبر	d iː s a m b a r
دينين	d eː n eː n
دينين	d iː n eː n
ذاب	d aː b
ذاك	d aː k
ذبانة	d u b b aː n a
ذرة	d u r a
ذرة	z a r r a
ذرة	ð a r r a
ذرة	ð u r a
ذكاء	z a k aː ʔ
ذكاء	ð a k aː ʔ
ذنب	d a n a b
ذنب	z a n b
ذنب	ð a n a b
ذنب	ð a n b
ذهب	d a h a b
ذهب	ð a h a b
ذوق	z oː ɡ
ذوق	ð oː ɡ
ذيل	d eː l
ذيل	ð eː l
ر	r
ر	r aː ʔ
رإي	r a ʔ i
راس	r aː s
رايح	r aː j i ħ
رجال	r i d͡ʒ aː l
رجال	r i d͡ʒ d͡ʒ aː l
رجيم	r a d͡ʒ iː m
رزوتو	r i z oː tː u
رسالة	r i s aː l a
رغوة	r a ɣ w a
رغيف	r a ɣ iː f
رقاصة	r a ɡ ɡ aː sˤ a
رقبة	r a ɡ a b a
رقم	r a ɡ a m
رقم	r a ɡ i m
ركن	r a k a n
ركن	r u k u n
رمل	r a m i l
رموت	r i m oː t
رموت	r u m uː t
رنة	r a n n a
رهيب	r a h iː b
روب	r oː b
روج	r a wː a d͡ʒ
روج	r oː d͡ʒ
روج	r oː ʒ
روشان	r oː ʃ aː n
روما	r oː m a
رياح	r i j aː ħ
ريحان	r eː ħ aː n
ريحان	r iː ħ aː n
ريحة	r iː ħ a
ريقا	r iː ɡ a
زبالة	z i b aː l a
زبدة	z i b d a
زبدة	z u b d a
زحليقة	z u ħ l eː ɡ a
زر	z i rː
زرادية	z a r r aː d i j j a
زرقا	z a r ɡ a
زعق	z a ʕ ʕ a ɡ
زعلان	z a ʕ l aː n
زعيق	z a ʕ iː ɡ
زقاق	z u ɡ aː ɡ
زنجبيل	z a n d͡ʒ a b iː l
زهم	z a h a m
زواج	z a w aː d͡ʒ
زواجات	z a w aː d͡ʒ aː t
زوجة	z oː d͡ʒ a
زي	z a jː
ساب	s aː b
ساندوتش	s aː n d w i t ʃ
سبة	s a bː a
سبت	s a b a t
سبت	s a b t
سبتمبر	s i b t a m b a r
سبتمبر	s i p t a m b a r
سبقتي	s a b a ɡ t i
ستو	s i t t u
ستيانة	s u t j aː n a
سحاب	s a ħ aː b
سحاب	s a ħ ħ aː b
سحلية	s a ħ l i j j a
سخافة	s a x aː f a
سديري	s i d eː r i
سرعوف	s a r ʕ uː f
سرقسطة	s a r a ɡ u s tˤ a
سستة	s u s t a
سشوار	s i ʃ w aː r
سطحة	s a tˤ ħ a
سطل	s a tˤ i l
سطوح	s a tˤ uː ħ
سقالات	s a ɡ ɡ aː l aː t
سقالة	s a ɡ ɡ aː l a
سقط	s a ɡ a tˤ
سقف	s a ɡ f
سقى	s a ɡ a
سكينة	s a k iː n a
سكينة	s a k k iː n a
سلاحف	s a l aː ħ i f
سلحفة	s u l ħ a f a
سلسال	s i l s aː l
سلطعون	s a l tˤ a ʕ oː n
سلمات	s a l a m aː t
سلمون	s a l a m oː n
سلمون	s a l m oː n
سلوفاكيا	s l oː f aː k j a
سلوفاكيا	s l oː v aː k j a
سلوقي	s u l uː ɡ i
سلوڤاكيا	s l oː v aː k j a
سلوڤينيا	s l oː v eː n j a
سلوڤينيا	s l oː v iː n j a
سليق	s a l iː ɡ
سما	s a m a
سماجات	s a m aː d͡ʒ aː t
سماجة	s a m aː d͡ʒ a
سنجاب	s i n d͡ʒ aː b
سنقافورة	s i n ɡ aː f oː r a
سنقافورة	s i n ɡ aː f uː r a
سنما	s i n i m a
سنين	s i n iː n
سواق	s a w w aː ɡ
سواقة	s a w w aː ɡ a
سواقة	s i w aː ɡ a
سواويق	s a w aː w iː ɡ
سوتشي	s oː t ʃ i
سويسرا	s u w eː s r a
سيب	s a j j a b
سيب	s iː b
سيشل	s eː ʃ i l
شات	ʃ aː t
شاحن	ʃ aː ħ i n
شاحنة	ʃ aː ħ n a
شاكوش	ʃ aː k uː ʃ
شال	ʃ aː l
شاليه	ʃ aː l eː
شانقهاي	ʃ aː n ɡ h aː j
شاهي	ʃ aː h i
شباك	ʃ i bː aː k
شباك	ʃ u b b aː k
شبس	ʃ i b s
شبس	ʃ i p s
شحات	ʃ a ħ ħ aː t
شحت	ʃ a ħ a t
شخ	ʃ a x x
شخان	ʃ u x x aː n
شراب	ʃ a r aː b
شراب	ʃ u r r aː b
شربة	ʃ a r b a
شربة	ʃ u r b a
شرطة	ʃ a r tˤ a
شرطة	ʃ u r tˤ a
شرق	ʃ a r a ɡ
شرق	ʃ a r ɡ
شطاف	ʃ a tˤ tˤ aː f
شطرطون	ʃ a tˤ a r tˤ oː n
شفاط	ʃ a f f aː tˤ
شفايف	ʃ a f aː j i f
شقة	ʃ i ɡ ɡ a
شقة	ʃ u ɡ ɡ a
شقرا	ʃ a ɡ r a
شقي	ʃ a ɡ i
شقي	ʃ i ɡ i
شكاقو	ʃ i k aː ɡ u
شكلاطة	ʃ u k a l aː tˤ a
شكلاطة	ʃ u k u l aː tˤ a
شلال	ʃ a l l aː l
شلق	ʃ a l a ɡ
شماغ	ʃ u m aː ɣ
شمسية	ʃ a m s i j j a
شمعة	ʃ a m ʕ a
شمعدان	ʃ a m ʕ a d aː n
شنب	ʃ a n a b
شنط	ʃ i n a tˤ
شنطة	ʃ a n tˤ a
شوت	ʃ uː t
شوف	ʃ oː f
شوف	ʃ uː f
شوق	ʃ oː ɡ
شوكة	ʃ oː k a
شوية	ʃ u w a j j a
شي	ʃ a j j
شيرة	ʃ iː r a
شيشة	ʃ iː ʃ a
شيك	ʃ a j j a k
شيك	ʃ a j j i k
شيك	ʃ eː k
شيك	ʃ iː k
شيلي	ʃ a j j i l i
شيلي	ʃ iː l i
شيول	ʃ eː w a l
صاحب	sˤ aː ħ i b
صح	sˤ a ħ ħ
صحن	sˤ a ħ a n
صحن	sˤ a ħ i n
صدر	sˤ a d i r
صدر	sˤ a d u r
صدى	sˤ a d a
صديق	sˤ a d iː ɡ
صراف	sˤ a r r aː f
صغار	sˤ u ɣ aː r
صغر	sˤ i ɣ i r
صفق	sˤ a f a ɡ
صفق	sˤ a f f a ɡ
صفيرة	sˤ u f f eː r a
صك	sˤ a k k
صمرقع	sˤ a m a r ɡ a ʕ
صمغ	sˤ a m ɣ
صموغ	sˤ u m uː ɣ
صندوق	sˤ a n d uː ɡ
صنوبر	s n oː b a r
صنوبر	sˤ u n oː b a r
صوتي	sˤ a w t i
صوتي	sˤ a w w i t i
صوص	sˤ oː sˤ
صوص	sˤ uː sˤ
صولجان	sˤ a w l a d͡ʒ aː n
صولجان	sˤ oː l a d͡ʒ aː n
صيف	sˤ eː f
ضباب	dˤ a b aː b
ضبع	dˤ a b ʕ
ضرطة	zˤ a r tˤ a
ضفدع	dˤ u f d a ʕ
ضمة	dˤ a m m a
طابعة	tˤ aː b ʕ a
طاق	tˤ aː ɡ
طاقية	tˤ aː ɡ i j j a
طاوة	tˤ aː w a
طاولة	tˤ aː w l a
طبعا	tˤ a b ʕ a n
طراطيع	tˤ a r aː tˤ iː ʕ
طرقة	tˤ u r ɡ a
طريق	tˤ a r iː ɡ
طريقة	tˤ a r iː ɡ a
طشت	tˤ a ʃ t
طفاية	tˤ a f f aː j a
طفس	tˤ i f i s
طفش	tˤ a f a ʃ
طفشان	tˤ a f ʃ aː n
طقس	tˤ a ɡ s
طلقات	tˤ a l a ɡ aː t
طلقات	tˤ a l ɡ aː t
طلقة	tˤ a l ɡ a
طوط	tˤ a wː a tˤ
طوط	tˤ uː tˤ
طوق	tˤ oː ɡ
طوكيو	tˤ oː k j u
طيارة	tˤ a j j aː r a
طييرة	tˤ u j j eː r a
ظاهرة	zˤ aː h r a
ظرف	zˤ a r f
ظفر	dˤ i f i r
ظفر	ðˤ i f i r
ظهر	dˤ a h a r
ظهر	dˤ u h u r
عاصمة	ʕ aː sˤ m a
عامود	ʕ aː m uː d
عبقري	ʕ ə b q ə r i
عثة	ʕ i t t a
عجايز	ʕ a d͡ʒ aː j i z
عجينة	ʕ a d͡ʒ iː n a
عد	ʕ a d d
عرقسوس	ʕ i r ɡ s uː s
عري	ʕ u r i
عري	ʕ u r r i
عريان	ʕ u r j aː n
عشا	ʕ a ʃ a
عصاية	ʕ a sˤ aː j a
عضاضة	ʕ a dˤ dˤ aː dˤ a
عضة	ʕ a dˤ dˤ a
عطر	ʕ a tˤ tˤ a r
عطر	ʕ i tˤ i r
عفص	ʕ a f f a sˤ
عقال	ʕ i ɡ aː l
عقال	ʕ u ɡ ɡ aː l
عقرب	ʕ a ɡ r a b
عقل	ʕ a ɡ i l
عقل	ʕ i ɡ i l
عكاز	ʕ u k k aː z
علبة	ʕ u l b a
على	ʕ a l a
علي	ʕ a l a j j a
علي	ʕ a l i
علي	ʕ a l l i
عملة	ʕ u m l a
عميل	ʕ a m iː l
عنب	ʕ u n a b
عنقز	ʕ a n ɡ a z
عيش	ʕ a j j a ʃ
عيش	ʕ a j j i ʃ
عيش	ʕ eː ʃ
عيش	ʕ iː ʃ
عيلة	ʕ eː l a
غ	ɣ
غ	ɣ eː n
غابة	ɣ aː b a
غامق	ɣ aː m i ɡ
غايب	ɣ aː j i b
غباء	ɣ a b aː ʔ
غدا	ɣ a d a
غدة	ɣ u d d a
غرق	ɣ a r r a ɡ
غرق	ɣ i r i ɡ
غرق	ʁ ɪ r ə ɡ
غلاية	ɣ a l l aː j a
غمس	ɣ a m m a s
غمض	ɣ a m m a dˤ
غناء	ɣ u n a
غوص	ɣ a w w a sˤ
غوص	ɣ oː sˤ
غوص	ɣ uː sˤ
غيمة	ɣ eː m a
فاضي	f aː dˤ i
فايكنق	f aː j k i n ɡ
فايكنق	v aː j k i n ɡ
فتاحة	f a t t aː ħ a
فجر	f a d͡ʒ a r
فجر	f a d͡ʒ d͡ʒ a r
فجر	f a d͡ʒ i r
فجر	f a d͡ʒ u r
فجع	f a d͡ʒ a ʕ
فجل	f i d͡ʒ i l
فخذ	f a x d
فخذ	f a x dˤ
فراغ	f a r aː ɣ
فراولة	f a r aː w l a
فرصة	f u r sˤ a
فرعون	f i r ʕ oː n
فرقة	f i r ɡ a
فرن	f u r u n
فريق	f a r iː ɡ
فز	f i z z
فستان	f u s t aː n
فستق	f u s t u ɡ
فسحة	f a s ħ a
فسحة	f u s ħ a
فشار	f i ʃ aː r
فضل	f a dˤ i l
فضل	f i dˤ i l
فطور	f a tˤ uː r
فقاعة	f u ɡ ɡ aː ʕ a
فقمة	f a ɡ m a
فلان	f u l aː n
فلة	f a l l a
فلة	f i l l a
فلة	f u l l a
فلة	v i l l a
فلم	f i l i m
فلم	f i l m
فلوس	f i l uː s
فلوس	f u l uː s
فلينة	f a l iː n a
فم	f a m m
فم	f u m m
فنجان	f i n d͡ʒ aː n
فندق	f u n d u ɡ
فنزويلا	v i n i z w eː l a
فنزويلا	v i n z u w i l l a
فنيلة	f a n iː l a
فنيليا	f a n iː l j a
فنيليا	v a n iː l j a
فهيقة	f u h eː ɡ a
فوز	f oː z
فوق	f oː ɡ
فوق	f uː ɡ
فوقاني	f oː ɡ aː n i
في	f i
في	f i j j a
فيثاغورس	f iː θ aː ɣ oː r s
فيديو	f iː d j u
فيديو	v iː d j u
فيروس	f a j r uː s
فيروس	v a j r uː s
فيليه	f iː l eː
فين	f eː n
فينا	f i j a n n a
فينا	f iː n a
فينا	f j a n n a
فينا	v i j a n n a
فينا	v j a n n a
فيه	f iː
ق	ɡ
ق	ɡ aː f
قادس	ɡ aː d i s
قارورة	ɡ aː r uː r a
قاسي	ɡ aː s i
قاع	ɡ aː ʕ
قاعة	ɡ aː ʕ a
قاعدة	ɡ aː ʕ d a
قالون	ɡ aː l oː n
قام	ɡ aː m
قبر	ɡ a b u r
قبض	ɡ a b a dˤ
قبقاب	ɡ u b ɡ aː b
قبلة	ɡ i b l a
قبو	ɡ a b u
قبول	ɡ u b uː l
قبيلة	ɡ a b iː l a
قح	ɡ u ħ ħ
