aba	a b a
alokácia	a l o k aː t͡s i̯ a
alokovať	a l o k o v a c
alpinizmus	a l p i n i z m u s
alternátor	a l t e r n aː t o r
altruistický	a l t r u i s t i t͡s k iː
alžbeta	a l ʒ b e t a
alžír	a l ʒ iː r
alžírsko	a l ʒ iː r s k o
amalgamácia	a m a l ɡ a m aː t͡s i̯ a
ambivalencia	a m b i v a l e n t͡s i̯ a
ambivalentný	a m b i v a l e n t n iː
amerikanizácia	a m e r i k a n i z aː t͡s i̯ a
amerikanizmus	a m e r i k a n i z m u s
amerikanizovať	a m e r i k a n i z o v a c
ametyst	a m e t i s t
amfora	a m f o r a
ammán	a m aː n
amnestia	a m n e s t i̯ a
amortizácia	a m o r t i z aː t͡s i̯ a
amortizovať	a m o r t i z o v a c
amplitúda	a m p l i t uː d a
amputácia	a m p u t aː t͡s i̯ a
amputovať	a m p u t o v a c
anabaptizmus	a n a b a p t i z m u s
anachronický	a n a x r o n i t͡s k iː
anachronizmus	a n a x r o n i z m u s
analfabetismus	a n a l f a b e t i s m u s
analfabetka	a n a l f a b e t k a
analógia	a n a l oː ɡ i̯ a
analytický	a n a l i t i t͡s k iː
analyzovať	a n a l i z o v a c
anarchistický	a n a r x i s t i t͡s k iː
anarchizmus	a n a r x i z m u s
anarchopacifizmus	a n a r x o p a t͡s i f i z m u s
anarchosyndikalizmus	a n a r x o s i n d i k a l i z m u s
anatomický	a n a t o m i t͡s k iː
androcentrizmus	a n d r o t͡s e n t r i z m u s
andy	a n d i
anekdota	a n e k d o t a
anémia	a n eː m i̯ a
anemický	a n e m i t͡s k iː
anestézia	a n ɛ s t ɛː z ɪ j a
anestéziológia	a n e s t eː z i o l oː ɡ i̯ a
anežka	a ɲ e ʃ k a
angela	a n ɡ e l a
angelika	a n ɡ e l i k a
anglicizmus	a n ɡ l i t͡s i z m u s
anglikanizmus	a n ɡ l i k a n i z m u s
angola	a n ɡ o l a
angström	a n k s t r ø m
angström	a n k s t r e m
ankara	a n k a r a
anketovať	a n k e t o v a c
anna	a n a
anonymný	a n o n i m n iː
anormálny	a n o r m aː l n i
antagonistický	a n t a ɡ o n i s t i t͡s k iː
antagonizmus	a n t a ɡ o n i z m u s
antananarivo	a n t a n a n a r i v o
anténa	a n t eː n a
antiamerikanizmus	a n t i̯ a m e r i k a n i z m u s
antiboľševizmus	a n t i b o ʎ ʃ e v i z m u s
anticipácia	a n t i t͡s i p aː t͡s i̯ a
anticipovať	a n t i t͡s i p o v a c
anticyklóna	a n t i t͡s i k l oː n a
antifašizmus	a n t i f a ʃ i z m u s
antifeminizmus	a n t i f e m i n i z m u s
antiglobalizácia	a n t i ɡ l o b a l i z aː t͡s i̯ a
antiglobalizmus	a n t i ɡ l o b a l i z m u s
antikapitalizmus	a n t i k a p i t a l i z m u s
antikolonializmus	a n t i k o l o n i̯ a l i z m u s
antikomunizmus	a n t i k o m u n i z m u s
antimilitarizmus	a n t i m i l i t a r i z m u s
antirasistický	a n t i r a s i s t i t͡s k iː
antirasizmus	a n t i r a s i z m u s
antisemitizmus	a n t i s e m i t i z m u s
antisemitský	a n t i s e m i t s k iː
antisionizmus	a n t i s i o n i z m u s
antológia	a n t o l oː ɡ i̯ a
antonymum	a n t o n i m u m
antropocentrizmus	a n t r o p o t͡s e n t r i z m u s
antropológia	a n t r o p o l oː ɡ i̯ a
antropomorfický	a n t r o p o m o r f i t͡s k iː
antropomorfizácia	a n t r o p o m o r f i z aː t͡s i̯ a
antropomorfizmus	a n t r o p o m o r f i z m u s
apartheid	a p a r t ɦ e i t
apetít	a p e t iː t
aplaudovať	a p l a u d o v a c
aplikácia	a p l i k aː t͡s i̯ a
apokalypsa	a p o k a l i p s a
apolitický	a p o l i t i t͡s k iː
apologetický	a p o l o ɡ e t i t͡s k iː
arabizácia	a r a b i z aː t͡s i̯ a
arabizmus	a r a b i z m u s
arabizovať	a r a b i z o v a c
arborétum	a r b o r eː t u m
archaický	a r x a i t͡s k iː
archanjel	a r x a n j e l
archivovať	a r x i v o v a c
arcidiecéza	a r t͡s i d i̯ e t͡s eː z a
argentína	a r ɡ e n t iː n a
argentínčan	a r ɡ e n t iː n t͡ʃ a n
argentínčanka	a r ɡ e n t iː n t͡ʃ a n k a
argumentácia	a r ɡ u m e n t aː t͡s i̯ a
aristokracia	a r i s t o k r a t͡s i̯ a
aristokrat	a r i s t o k r a t
aristokratický	a r i s t o k r a t i t͡s k iː
arizona	a r i z o n a
arkansas	a r k a n s a s
arno	a r n o
arogancia	a r o ɡ a n t͡s i̯ a
arogantný	a r o ɡ a n t n iː
artikulácia	a r t i k u l aː t͡s i̯ a
artikulovať	a r t i k u l o v a c
asertívnosť	a s e r t iː v n o s c
asertívny	a s e r t iː v n i
asimilácia	a s i m i l aː t͡s i̯ a
asimilovať	a s i m i l o v a c
asmara	a s m a r a
asociácia	a s o t͡s i aː t͡s i̯ a
astigmatizmus	a s t i ɡ m a t i z m u s
astma	a s t m a
astrachán	a s t r a x aː n
astrofyzika	a s t r o f i z i k a
astrológia	a s t r o l oː ɡ i̯ a
asunción	a s u n s i oː n
asymetria	a s i m e t r i̯ a
asymetrický	a s i m e t r i t͡s k iː
atakovať	a t a k o v a c
atavizmus	a t a v i z m u s
atény	a t eː n i
atletický	a t l e t i t͡s k iː
atmosféra	a t m o s f eː r a
atomizácia	a t o m i z aː t͡s i̯ a
atomizovať	a t o m i z o v a c
atrakcia	a t r a k t͡s i̯ a
atraktívnosť	a t r a k t iː v n o s c
audiencia	a u d i̯ e n t͡s i̯ a
august	a u ɡ u s t
aurélia	a u r eː l i̯ a
autistický	a u t i s t i t͡s k iː
autizmus	a u t i z m u s
autoerotizmus	a u t o e r o t i z m u s
autokracia	a u t o k r a t͡s i̯ a
automatizácia	a u t o m a t i z aː t͡s i̯ a
automatizovať	a u t o m a t i z o v a c
autonómia	a u t o n oː m i̯ a
autonómny	a u t o n oː m n i
autorizácia	a u t o r i z aː t͡s i̯ a
autorizovať	a u t o r i z o v a c
avokádo	a v o k aː d o
azbest	a z b e s t
ázijčan	aː z i j t͡ʃ a n
ázijčanka	aː z i j t͡ʃ a n k a
azimut	a z i m u t
azimutálny	a z i m u t aː l n i
azyl	a z i l
ašchabad	a ʃ x a b a t
babách	b a b aː x
babám	b a b aː m
babami	b a b a m i
babe	b a b e
bábizmus	b aː b i z m u s
bábok	b aː b o k
babou	b a b o u
babu	b a b u
baby	b a b i
bagatelizovať	b a ɡ a t e l i z o v a c
bagáž	b a ɡ aː ʃ
bagdad	b a ɡ t a t
bahaizmus	b a ɦ a i z m u s
bahrajn	b a ɦ r a j n
bahrajňan	b a ɦ r a j ɲ a n
bahrajňanka	b a ɦ r a j ɲ a n k a
bájka	b aː j k a
bajonet	b a j o n e t
bakteriológia	b a k t e r i o l oː ɡ i̯ a
baku	b a k u
bakuľa	b a k u ʎ a
baldrián	b a l d r i aː n
bali	b a l i
balistický	b a l i s t i t͡s k iː
balkanizácia	b a l k a n i z aː t͡s i̯ a
balkón	b a l k oː n
balneológia	b a l n e o l oː ɡ i̯ a
balón	b a l oː n
balzamovať	b a l z a m o v a c
bamako	b a m a k o
bangkok	b a n k o k
bangladéš	b a n ɡ l a d eː ʃ
bangladéšan	b a n ɡ l a d eː ʃ a n
bangladéšanka	b a n ɡ l a d eː ʃ a n k a
bangui	b a n ɡ i
banjul	b a n d͡ʒ u l
bankomat	b a n k o m a t
bankrotovať	b a n k r o t o v a c
baptista	b a p t i s t a
baran	b a r a n
barbados	b a r b a d o s
barbarizácia	b a r b a r i z aː t͡s i̯ a
barbarizmus	b a r b a r i z m u s
barbarizovať	b a r b a r i z o v a c
barbarský	b a r b a r s k iː
barikáda	b a r i k aː d a
barikádovať	b a r i k aː d o v a c
barok	b a r o k
barometer	b a r o m e t e r
barytón	b a r i t oː n
basista	b a s i s t a
basistka	b a s i s t k a
basketbal	b a s k e t b a l
basseterre	b a s t eː r
batalión	b a t a l i oː n
batéria	b a t eː r i̯ a
baterka	b a t e r k a
bázeň	b aː z e ɲ
bazilej	b a z i l e j
beáta	b e aː t a
beatifikácia	b e a t i f i k aː t͡s i̯ a
beatifikovať	b e a t i f i k o v a c
bedľa	b e d ʎ a
bedňa	b e d ɲ a
behaviorizmus	b e ɦ a v i o r i z m u s
bejrút	b e j r uː t
belavý	b e l a v iː
belehrad	b e l e ɦ r a t
belfast	b e l f a s t
belgičan	b e l ɡ i t͡ʃ a n
belgičanka	b e l ɡ i t͡ʃ a n k a
belmopan	b e l m o p a n
benátky	b e n aː t k i
benin	b e n i n
berlínčan	b e r l iː n t͡ʃ a n
berlínčanka	b e r l iː n t͡ʃ a n k a
bern	b e r n
besnota	b e s n o t a
bestseller	b e s t s e l e r
beta	b e t a
betlehem	b e t l e ɦ e m
betónovať	b e t oː n o v a c
bezbranný	b e z b r a n iː
bezcennosť	b e z t͡s e n o s c
bezcenný	b e z t͡s e n iː
bezcestný	b e z t͡s e s t n iː
bezchybne	b e z x i b n e
bezchybnosť	b e z x i b n o s c
bezchybný	b e z x i b n iː
bezcolný	b e z t͡s o l n iː
bezdetnosť	b e z d e t n o s c
bezdetný	b e z d e t n iː
bezfarebnosť	b e z f a r e b n o s c
bezfarebný	b e z f a r e b n iː
bezhriešnosť	b e z ɦ r i̯ e ʃ n o s c
bezhriešny	b e z ɦ r i̯ e ʃ n i
bezideový	b e z i d e o v iː
bezkrvne	b e z k r̩ v n e
bezkrvnosť	b e z k r̩ v n o s c
bezkrvný	b e z k r̩ v n iː
bezmenný	b e z m e n iː
bezmocný	b e z m o t͡s n iː
beznohý	b e z n o ɦ iː
bezrohý	b e z r o ɦ iː
bezzubosť	b e z u b o s c
bezzubý	b e z u b iː
bezženstvo	b e z ʒ e n s t v o
beštiálny	b e ʃ t i aː l n i
bežec	b e ʒ e t͡s
bežkyňa	b e ʒ k i ɲ a
bhután	b ɦ u t aː n
biatlon	b i̯ a t l o n
bibliofília	b i b l i o f iː l i̯ a
bibliografia	b i b l i o ɡ r a f i̯ a
bicyklovať	b i t͡s i k l o v a c
bidet	b i d e t
bielokrvnosť	b i̯ e l o k r̩ v n o s c
bieloruský	b i̯ e l o r u s k iː
bifurkácia	b i f u r k aː t͡s i̯ a
bihár	b i ɦ aː r
bilbord	b i l b o r t
bilingválny	b i l i n ɡ v aː l n i
biofyzika	b i o f i z i k a
bioklimatológia	b i o k l i m a t o l oː ɡ i̯ a
biológ	b i o l oː k
biologička	b i o l o ɡ i t͡ʃ k a
bioluminiscencia	b i o l u m i n i s t͡s e n t͡s i̯ a
biometeorológia	b i o m e t e o r o l oː ɡ i̯ a
biotechnológia	b i o t e x n o l oː ɡ i̯ a
bipolárny	b i p o l aː r n i
bissau	b i s a u
biznismen	b i z n i s m e n
bič	b i t͡ʃ
bičík	b i t͡ʃ iː k
biškek	b i ʃ k e k
blbaňa	b l̩ b a ɲ a
bĺch	b l̩ː x
bledokrvnosť	b l e d o k r̩ v n o s c
bledý	b l e d iː
blen	b l e n
blog	b l o k
blokáda	b l o k aː d a
blokovať	b l o k o v a c
bludisko	b l u d i s k o
blúdiť	b l uː d i c
bobor	b o b o r
bogomil	b o ɡ o m i l
bogota	b o ɡ o t a
boha	b o ɦ a
bohmi	b o ɦ m i
bohoch	b o ɦ o x
bohom	b o ɦ o m
bohov	b o ɦ o f
bohovi	b o ɦ o v i
bohovia	b o ɦ o v i̯ a
bohu	b o ɦ u
bojazlivosť	b o j a z l i v o s c
bojazlivý	b o j a z l i v iː
bojkotovať	b o j k o t o v a c
bol	b o l
bola	b o l a
boli	b o l i
bolívia	b o l iː v i̯ a
bolo	b o l o
bombasticky	b o m b a s t i t͡s k i
bombastický	b o m b a s t i t͡s k iː
bonifác	b o n i f aː t͡s
bordel	b o r d e l
boreálny	b o r e aː l n i
borneo	b o r n e o
borovička	b o r o v i t͡ʃ k a
borovčiak	b o r o v t͡ʃ i̯ a k
boršč	b o r ʃ t͡ʃ
bosniacky	b o s n i̯ a t͡s k i
bosniansky	b o s n i̯ a n s k i
boston	b o s t o n
botanicky	b o t a n i t͡s k i
botanický	b o t a n i t͡s k iː
boľševický	b o ʎ ʃ e v i t͡s k iː
boľševik	b o ʎ ʃ e v i k
boľševizmus	b o ʎ ʃ e v i z m u s
boľševizovať	b o ʎ ʃ e v i z o v a c
boľševička	b o ʎ ʃ e v i t͡ʃ k a
božena	b o ʒ e n a
božstvo	b o ʒ s t v o
bradavica	b r a d a v i t͡s a
bradavka	b r a d a v k a
brán	b r aː n
bránica	b r aː n i t͡s a
brankár	b r a n k aː r
brankárka	b r a n k aː r k a
bratislava	b r a c i s l a v a
bratislavčanka	b r a t i s l a v t͡ʃ a n k a
bratský	b r a t s k iː
brazília	b r a z iː l i̯ a
brazzaville	b r a z a v i l
bŕd	b r̩ː t
brezina	b r e z i n a
bridlica	b r i d l i t͡s a
bridž	b r i t͡ʃ
brigáda	b r i ɡ aː d a
brigantína	b r i ɡ a n t iː n a
briketa	b r i k e t a
britský	b r i t s k iː
britva	b r i t v a
brne	b r n e
brokát	b r o k aː t
bronchiálny	b r o n x i aː l n i
bronz	b r o n s
broskýň	b r o s k iː ɲ
brošňa	b r o ʃ ɲ a
brožúra	b r o ʒ uː r a
brunet	b r u n e t
bruneta	b r u n e t a
brunetka	b r u n e t k a
bruno	b r u n o
brutalita	b r u t a l i t a
brutálne	b r u t aː l n e
brutálnosť	b r u t aː l n o s c
brutálny	b r u t aː l n i
bŕzd	b r̩ː s t
brzda	b r̩ z d a
bršlen	b r̩ ʃ l e n
bubon	b u b o n
buchol	b u x o l
budapešť	b u d a p e ʃ c
buddhizmus	b u d ɦ i z m u s
budhizmus	b u d ɦ i z m u s
budiť	b u d i c
budovať	b u d o v a c
bujón	b u j oː n
buka	b u k a
bukoch	b u k o x
bukov	b u k o f
bukový	b u k o v iː
buku	b u k u
buldozér	b u l d o z eː r
bulharský	b u l ɦ a r s k iː
bulímia	b u l iː m i̯ a
bulvárny	b u l v aː r n i
bumerang	b u m e r a n k
buniek	b u n i̯ e k
bunka	b u n k a
bunkami	b u n k a m i
bunke	b u n k e
bunkou	b u n k o u
bunku	b u n k u
bunky	b u n k i
burina	b u r i n a
bydgoszcz	b i d ɡ o ʃ t͡ʃ
bylina	b i l i n a
bylinožravec	b i l i n o ʒ r a v e t͡s
bylinožravý	b i l i n o ʒ r a v iː
byrokracia	b i r o k r a t͡s i̯ a
byrokraticky	b i r o k r a t i t͡s k i
byrokratický	b i r o k r a t i t͡s k iː
byrokratizácia	b i r o k r a t i z aː t͡s i̯ a
byrokratizovať	b i r o k r a t i z o v a c
bystrom	b i s t r o m
bytový	b i t o v iː
byvol	b i v o l
campanológia	t͡s a m p a n o l oː ɡ i̯ a
canberra	k e n b e r a
caracas	k a r a k a s
cárizmus	t͡s aː r i z m u s
cárovná	t͡s aː r o v n aː
cecília	t͡s e t͡s iː l i̯ a
cefalalgia	t͡s e f a l a l ɡ i̯ a
cefalea	t͡s e f a l e a
celá	t͡s e l aː
celé	t͡s e l eː
celého	t͡s e l eː ɦ o
celej	t͡s e l e j
celému	t͡s e l eː m u
celí	t͡s e l iː
celibátny	t͡s e l i b aː t n i
celofán	t͡s e l o f aː n
celom	t͡s e l o m
celosť	t͡s e l o s c
celou	t͡s e l o u
celú	t͡s e l uː
celých	t͡s e l iː x
celým	t͡s e l iː m
celými	t͡s e l iː m i
cena	t͡s e n a
centaurus	t͡s e n t a u r u s
centralizácia	t͡s e n t r a l i z aː t͡s i̯ a
centralizmus	t͡s e n t r a l i z m u s
centrálne	t͡s e n t r aː l n e
centrálny	t͡s e n t r aː l n i
centrifúga	t͡s e n t r i f uː ɡ a
centripetálny	t͡s e n t r i p e t aː l n i
cenzúra	t͡s e n z uː r a
cenzurovať	t͡s e n z u r o v a c
cepín	t͡s e p iː n
ceremoniálne	t͡s e r e m o n i aː l n e
ceremoniálny	t͡s e r e m o n i aː l n i
cesnakový	t͡s e s n a k o v iː
cestovať	t͡s e s t o v a c
chakasko	x a k a s k o
chaos	x a o s
chaotickosť	x a o t i t͡s k o s c
chaoticky	x a o t i t͡s k i
chaotický	x a o t i t͡s k iː
chápadlo	x aː p a d l o
charakteristický	x a r a k t e r i s t i t͡s k iː
charakteristika	x a r a k t e r i s t i k a
charakterizácia	x a r a k t e r i z aː t͡s i̯ a
charakterizovať	x a r a k t e r i z o v a c
charita	x a r i t a
charizma	x a r i z m a
charizmaticky	x a r i z m a t i t͡s k i
charizmatický	x a r i z m a t i t͡s k iː
chartúm	x a r t uː m
chasidizmus	x a s i d i z m u s
chcieť	x t͡s i̯ e c
chemička	x e m i t͡ʃ k a
chemoterapia	x e m o t e r a p i̯ a
chicago	ʃ i k aː ɡ o
chiméra	x i m eː r a
chimérizmus	x i m eː r i z m u s
chiralita	x i r a l i t a
chirálny	x i r aː l n i
chlieb	x l i̯ e p
chloroform	x l o r o f o r m
chlorofyl	x l o r o f i l
chlp	x l̩ p
chobot	x o b o t
choreografia	x o r e o ɡ r a f i̯ a
chorobe	x o r o b e
choroboplodnosť	x o r o b o p l o d n o s c
chorom	x o r o m
chorvát	x o r v aː t
chorvátka	x o r v aː t k a
chovan	x o v a n
chovanec	x o v a n e t͡s
chrápať	x r aː p a c
christianizácia	x r i s t i̯ a n i z aː t͡s i̯ a
chromatografia	x r o m a t o ɡ r a f i̯ a
chrómovať	x r oː m o v a c
chronicky	x r o n i t͡s k i
chronický	x r o n i t͡s k iː
chronológia	x r o n o l oː ɡ i̯ a
chronologicky	x r o n o l o ɡ i t͡s k i
chronologický	x r o n o l o ɡ i t͡s k iː
chronometria	x r o n o m e t r i̯ a
chrt	x r̩ t
chrupka	x r u p k a
chudák	x u d aː k
chudol	x u d o l
chudý	x u d iː
chvála	x v aː l a
chvat	x v a t
cievka	t͡s i̯ e v k a
cigória	t͡s i ɡ oː r i̯ a
cikáda	t͡s i k aː d a
cínovať	t͡s iː n o v a c
cirok	t͡s i r o k
citrón	t͡s i t r oː n
colorado	k o l o r aː d o
connecticut	k o n e k t i k a t
cop	t͡s o p
cti	t͡s c i
cuciak	t͡s u t͡s i̯ a k
cudzoložstvo	t͡s u d͡z o l o ʒ s t v o
cukrový	t͡s u k r o v iː
cvíčala	t͡s v iː t͡ʃ a l a
cyklickosť	t͡s i k l i t͡s k o s c
cyklický	t͡s i k l i t͡s k iː
cyklón	t͡s i k l oː n
cynickosť	t͡s i n i t͡s k o s c
cynicky	t͡s i n i t͡s k i
cynický	t͡s i n i t͡s k iː
cynizmus	t͡s i n i z m u s
cypriš	t͡s i p r i ʃ
cyril	t͡s i r i l
cytológia	t͡s i t o l oː ɡ i̯ a
cytologický	t͡s i t o l o ɡ i t͡s k iː
cytoplazma	t͡s i t o p l a z m a
dabovať	d a b o v a c
dadaizmus	d a d a i z m u s
dagerotyp	d a ɡ e r o t i p
dakar	d a k a r
dalmácia	d a l m aː t͡s i̯ a
dámsky	d aː m s k i
daniel	d a n i̯ e l
danka	d a n k a
dánka	d aː n k a
daromne	d a r o m n e
daromný	d a r o m n iː
darovať	d a r o v a c
darvinista	d a r v i n i s t a
darvinistický	d a r v i n i s t i t͡s k iː
darvinistka	d a r v i n i s t k a
darvinizmus	d a r v i n i z m u s
darvinovský	d a r v i n o v s k iː
darček	d a r t͡ʃ e k
datív	d a t iː u̯
datovať	d a t o v a c
dáždnik	d aː ʒ d n i k
debnár	d e b n aː r
debutovať	d e b u t o v a c
decák	d e t͡s aː k
decht	d e x t
decimálny	d e t͡s i m aː l n i
dedikácia	d e d i k aː t͡s i̯ a
dedikovať	d e d i k o v a c
dedinčania	ɟ e ɟ i n t͡ʃ a ɲ i̯ a
dedičstvo	d e d i t͡ʃ s t v o
dediť	d e d i c
dedukovať	d e d u k o v a c
defekácia	d e f e k aː t͡s i̯ a
defenestrácia	d e f e n e s t r aː t͡s i̯ a
defenestrovať	d e f e n e s t r o v a c
defenzíva	d e f e n z iː v a
defenzívne	d e f e n z iː v n e
defenzívnosť	d e f e n z iː v n o s c
defenzívny	d e f e n z iː v n i
defetistický	d e f e t i s t i t͡s k iː
defetizmus	d e f e t i z m u s
defibrilácia	d e f i b r i l aː t͡s i̯ a
defibrilátor	d e f i b r i l aː t o r
defilovať	d e f i l o v a c
deflácia	d e f l aː t͡s i̯ a
deja	d e j a
deje	d e j e
deji	d e j i
dejmi	d e j m i
dejoch	d e j o x
dejom	d e j o m
dejov	d e j o f
deju	d e j u
dekadencia	d e k a d e n t͡s i̯ a
dekadentný	d e k a d e n t n iː
dekapitácia	d e k a p i t aː t͡s i̯ a
deklarácia	d e k l a r aː t͡s i̯ a
deklarovať	d e k l a r o v a c
dekolonizácia	d e k o l o n i z aː t͡s i̯ a
dekolonizovať	d e k o l o n i z o v a c
delaware	d e l a v a r
delegácia	d e l e ɡ aː t͡s i̯ a
deliť	d e l i c
demarkácia	d e m a r k aː t͡s i̯ a
demeter	d e m e t e r
demilitarizácia	d e m i l i t a r i z aː t͡s i̯ a
demilitarizovať	d e m i l i t a r i z o v a c
demografia	d e m o ɡ r a f i̯ a
demokratizovať	d e m o k r a t i z o v a c
demonštrácia	d e m o n ʃ t r aː t͡s i̯ a
dendrológia	d e n d r o l oː ɡ i̯ a
denne	d e n e
denominácia	d e n o m i n aː t͡s i̯ a
denver	d e n v e r
depo	d e p o
deportovať	d e p o r t o v a c
deprivácia	d e p r i v aː t͡s i̯ a
deregulácia	d e r e ɡ u l aː t͡s i̯ a
dermatológia	d e r m a t o l oː ɡ i̯ a
desať	ɟ e s a c
desaťboj	d e s a c b o j
desaťsten	d e s a c s t e n
desaťtisíci	ɟ e s a c i s iː t͡s i
desiaty	ɟ e s i̯ a t i
despotický	d e s p o t i t͡s k iː
despotizmus	d e s p o t i z m u s
destabilizácia	d e s t a b i l i z aː t͡s i̯ a
destabilizovať	d e s t a b i l i z o v a c
destilát	d e s t i l aː t
detektívka	d ɛ t ɛ k t iː ʊ̯ k a
determinácia	d e t e r m i n aː t͡s i̯ a
detský	d e t s k iː
devastácia	d e v a s t aː t͡s i̯ a
devätnásť	ɟ e v ɛ ɐ̯ t n aː s c
deväť	ɟ e v ɛ ɐ̯ c
deväťsil	d e v ɛ ɐ̯ c s i l
deviaty	ɟ e v i̯ a t i
deštrukcia	d e ʃ t r u k t͡s i̯ a
deštruktívnosť	d e ʃ t r u k t iː v n o s c
deštruktívny	d e ʃ t r u k t iː v n i
deťmi	d e c m i
deťoch	d e c o x
dháka	d ɦ aː k a
diabetický	d i̯ a b e t i t͡s k iː
diagnostický	d i̯ a ɡ n o s t i t͡s k iː
diagonálne	d i̯ a ɡ o n aː l n e
diagonálny	d i̯ a ɡ o n aː l n i
dialektický	d i̯ a l e k t i t͡s k iː
dialektológia	d i̯ a l e k t o l oː ɡ i̯ a
diana	d i̯ a n a
dichotómia	d i x o t oː m i̯ a
didaktický	d i d a k t i t͡s k iː
dido	d i d o
diel	d i̯ e l
dielektrický	d i̯ e l e k t r i t͡s k iː
dieťa	d i̯ e c a
diktát	d i k t aː t
diktátorský	d i k t aː t o r s k iː
diplomacia	d i p l o m a t͡s i̯ a
diplomatický	d i p l o m a t i t͡s k iː
diskografia	d i s k o ɡ r a f i̯ a
diskreditovať	d i s k r e d i t o v a c
diskriminácia	d i s k r i m i n aː t͡s i̯ a
diskvalifikácia	d i s k v a l i f i k aː t͡s i̯ a
diskvalifikovať	d i s k v a l i f i k o v a c
dislokácia	d i s l o k aː t͡s i̯ a
disonancia	d i s o n a n t͡s i̯ a
divadlo	d i v a d l o
divák	d i v aː k
divergencia	d i v e r ɡ e n t͡s i̯ a
diviak	d i v i̯ a k
