а̄ви	aː w i
сэ̄гуӈкве	s eː ɣ u ŋ kʷ e
сэ̄мыл	s eː m ə l
сэ̄ӈкв	s eː ŋ kʷ
ся̄рысь	ɕ aː r ə ɕ
сяр	ɕ a r
сё̄ри	ɕ oː r i
сёлыӈ	ɕ oː l i ŋ
сёлыӈнув	ɕ oː l i ŋ n u w
сёлыӈнув	ɕ oː l i ŋ n u β
сӯп	s uː p
та̄кум	t aː k ɞ̯ m
та̄л	t aː l
та̄рвитыӈ	t aː r w i t i ŋ
та̄рвитыӈ	t aː r β i t i ŋ
та̄ртаӈкве	t aː r t a ŋ kʷ e
тахурип	t a x u r i p
тащир	t a ɕ i r
типуӈкве	c i p u ŋ kʷ e
то̄ва	t oː w a
то̄ва	t oː β a
то̄рум	t oː r ə m
то̄рум	t oː r ɞ̯ m
то̄сам	t oː s a m
толуӈкве	t o l u ŋ kʷ e
тотуӈкве	t o t u ŋ kʷ e
тув	t u w
тувыл	t u w ə l
тур	t u r
тыг	t i ɣ
тыгыл	t i ɣ ə l
тыпйив	t i p j i w
тыхо̄тал	t i x oː t a l
тыхурип	t i x u r i p
тыщир	t i ɕ i r
тӯя	t uː j a
уйгалаӈкве	u j ɣ a l a ŋ kʷ e
унсуӈкве	u n s u ŋ kʷ e
ур	u r
ха̄п	x aː p
ха̄р	x aː r
ха̄суӈкве	x aː s u ŋ kʷ e
хартуӈкве	x a r t u ŋ kʷ e
хо̄мси	x oː m ɕ i
хо̄тал	x oː t a l
хо̄ӈха	x oː ŋ x a
холытан	x o l i t a n
хоса	x o s a
хоталь	x o t a ʎ
хунь	x u nʲ
хурип	x u r i p
хуруп	x u r u p
хуюӈкве	x u j u ŋ kʷ e
хӯлуп	x uː l ɞ̯ p
хӯрум	x uː r u m
хӯрум	x uː r ɞ̯ m
хӯсь	x uː ɕ
ща̄нь	ɕ aː ɲ
э̄ква	eː kʷ a
э̄лми	eː l m i
э̄лмхо̄лас	eː l ə m x oː l a s
э̄льм	eː lʲ ɞ̯ m
э̄рупса	eː r u p s a
э̄сь	eː ɕ
э̄тпос	eː t p o s
я̄нтэв	j aː n t e w
я̄нтэв	j aː n t e β
я̄ӈк	j aː ŋ k
яг	j a ɣ
ё̄вт	j o w t
ёмас	j o m a s
ӯй	uː j
ӯлум	uː l ɞ̯ m
