㒒	p ɔ k̚ ⁴
䖙	tʰ e ⁴ ⁴
䖙椅	tʰ e ⁴ ⁴ ⁻ ³ ³ i ⁴ ¹
䖳	tʰ e ³ ³
䘥仔	k a ³ ² ⁻ ⁴ ⁴ a ⁴ ¹
䘥仔	k a ʔ ³ ² ⁻ ⁴ ⁴ a ⁴ ¹
䘷	p i ʔ ³ ²
䘼	ŋ̍ ⁴ ¹
䟙	t͡sʰ i ʔ ³ ²
䢢拄䢢	t͡sʰ i a ŋ ³ ³ ⁻ ² ¹ t u ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i a ŋ ³ ³
䤝	ɡ i a ŋ ⁴ ⁴
䤝仔	ɡ i a ŋ ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹
䫀	k u n ⁴ ¹
䫌	pʰ u e ⁴ ¹
䭕	t͡s i ã ⁴ ¹
䭕水	t͡s i ã ⁴ ¹ ⁻ ⁴ ⁴ t͡s u i ⁴ ¹
䭕水魚	t͡s i ã ⁴ ¹ ⁻ ⁴ ⁴ t͡s u i ⁴ ¹ ⁻ ⁴ ⁴ h i ² ³
䭞	s i ɤ ʔ ⁴
䲅	k u i ⁴ ⁴
䲅仔魚	k u i ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ h i ² ³
一	i t̚ ³ ²
一	t͡s i t̚ ⁴
一一	i t̚ ³ ² ⁻ ⁴ i t̚ ³ ²
一丈差九尺	t͡s i t̚ ⁴ ⁻ ³ ² t ŋ̍ ³ ³ ⁻ ² ¹ t͡sʰ a ⁴ ⁴ ⁻ ³ ³ k a u ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i ɤ ʔ ³ ²
一下	t͡s i t̚ ⁴ ⁻ ³ ² e ³ ³
一下	t͡s i t̚ ⁴ ⁻ ³ ² l e ³ ³
一下仔	t͡s i t̚ ⁴ ⁻ ³ ² e ³ ³ a ⁴ ¹
一下仔	t͡s i t̚ ⁴ ⁻ ³ ² l e ³ ³ a ⁴ ¹
一世	i t̚ ³ ² ⁻ ⁴ s e ² ¹
一世人	t͡s i t̚ ⁴ ⁻ ³ ² s i ² ¹ ⁻ ⁴ ¹ l a ŋ ² ³
一串紅	i t̚ ³ ² ⁻ ⁴ t͡sʰ u a n ² ¹ ⁻ ⁴ ¹ h ɔ ŋ ² ³
一人	t͡s i t̚ ⁴ ⁻ ³ ² l a ŋ ² ³
一來	i t̚ ³ ² ⁻ ⁴ l a i ² ³
一個	t͡s i t̚ ⁴ ⁻ ³ ² e ² ³
一個	t͡s i t̚ ⁴ ⁻ ³ ² k ɤ ² ¹
一個人	t͡s i t̚ ⁴ ⁻ ³ ² e ² ³ ⁻ ³ ³ l a ŋ ² ³
一個錢拍二十四個結	t͡s i t̚ ⁴ ⁻ ³ ² e ² ³ ⁻ ³ ³ t͡s ĩ ² ³ pʰ a ³ ² ⁻ ⁴ ¹ z i ³ ³ ⁻ ² ¹ t͡s a p̚ ⁴ ⁻ ³ ² s i ² ¹ ⁻ ⁴ ¹ e ² ³ ⁻ ³ ³ k a t̚ ³ ²
一個錢拍二十四個結	t͡s i t̚ ⁴ ⁻ ³ ² e ² ³ ⁻ ³ ³ t͡s ĩ ² ³ pʰ a ʔ ³ ² ⁻ ⁴ ¹ z i ³ ³ ⁻ ² ¹ t͡s a p̚ ⁴ ⁻ ³ ² s i ² ¹ ⁻ ⁴ ¹ e ² ³ ⁻ ³ ³ k a t̚ ³ ²
一共	i t̚ ³ ² ⁻ ⁴ k i ɔ ŋ ³ ³
一再	i t̚ ³ ² ⁻ ⁴ t͡s a i ² ¹
一刀兩斷	i t̚ ³ ² ⁻ ⁴ t ɤ ⁴ ⁴ l i ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ t u a n ³ ³
一分錢一分貨	t͡s i t̚ ⁴ ⁻ ³ ² h u n ⁴ ⁴ ⁻ ³ ³ t͡s ĩ ² ³ ⁻ ³ ³ t͡s i t̚ ⁴ ⁻ ³ ² h u n ⁴ ⁴ ⁻ ³ ³ h u e ² ¹
一切	i t̚ ³ ² ⁻ ⁴ t͡sʰ e ² ¹
一則	i t̚ ³ ² ⁻ ⁴ t͡s i ɪ k̚ ³ ²
一勞永逸	i t̚ ³ ² ⁻ ⁴ l ɤ ² ³ ⁻ ³ ³ i ɪ ŋ ⁴ ¹ ⁻ ⁴ ⁴ i ɪ k̚ ⁴
一千	t͡s i t̚ ⁴ ⁻ ³ ² t͡sʰ i ɪ ŋ ⁴ ⁴
一半	t͡s i t̚ ⁴ ⁻ ³ ² p u ã ² ¹
一句	t͡s i t̚ ⁴ ⁻ ³ ² k u ² ¹
一同	i t̚ ³ ² ⁻ ⁴ t ɔ ŋ ² ³
一向	i t̚ ³ ² ⁻ ⁴ h i ɔ ŋ ² ¹
一味	i t̚ ³ ² ⁻ ⁴ b i ³ ³
一四界	t͡s i t̚ ⁴ ⁻ ³ ² s i ² ¹ ⁻ ⁴ ¹ k e ² ¹
一國	i t̚ ³ ² ⁻ ⁴ k ɔ k̚ ³ ²
一國兩制	i t̚ ³ ² ⁻ ⁴ k ɔ k̚ ³ ² ⁻ ⁴ l i ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ t͡s e ² ¹
一場空	t͡s i t̚ ⁴ ⁻ ³ ² t i ũ ² ³ ⁻ ³ ³ kʰ a ŋ ⁴ ⁴
一塊	t͡s i t̚ ⁴ ⁻ ³ ² t e ² ¹
一夜情	i t̚ ³ ² ⁻ ⁴ i a ³ ³ ⁻ ² ¹ t͡s i ɪ ŋ ² ³
一夜情	t͡s i t̚ ⁴ ⁻ ³ ² i a ³ ³ ⁻ ² ¹ t͡s i ɪ ŋ ² ³
一夥	t͡s i t̚ ⁴ ⁻ ³ ² h u e ⁴ ¹
一夫多妻	i t̚ ³ ² ⁻ ⁴ h u ⁴ ⁴ ⁻ ³ ³ t ɤ ⁴ ⁴ ⁻ ³ ³ t͡sʰ e ⁴ ⁴
一定	i t̚ ³ ² ⁻ ⁴ t i ɪ ŋ ³ ³
一家人	t͡s i t̚ ⁴ ⁻ ³ ² k e ⁴ ⁴ ⁻ ³ ³ l a ŋ ² ³
一家伙	t͡s i t̚ ⁴ ⁻ ³ ² k e ⁴ ⁴ ⁻ ³ ³ h e ⁴ ¹
一家伙仔	t͡s i t̚ ⁴ ⁻ ³ ² k e ⁴ ⁴ ⁻ ³ ³ h u e ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
一寡	t͡s i t̚ ⁴ ⁻ ³ ² k u a ⁴ ¹
一寡仔	t͡s i t̚ ⁴ ⁻ ³ ² k u a ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
一對	t͡s i t̚ ⁴ ⁻ ³ ² t u i ² ¹
一對時	t͡s i t̚ ⁴ ⁻ ³ ² t u i ² ¹ ⁻ ⁴ ¹ s i ² ³
一屑仔	t͡s i t̚ ⁴ ⁻ ³ ² s u t̚ ³ ² ⁻ ⁴ a ⁴ ¹
一己	i t̚ ³ ² ⁻ ⁴ k i ⁴ ¹
一帆風順	i t̚ ³ ² ⁻ ⁴ h u a n ² ³ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴ ⁻ ³ ³ s u n ³ ³
一帆風順	i t̚ ³ ² ⁻ ⁴ pʰ a ŋ ² ³ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴ ⁻ ³ ³ s u n ³ ³
一席之地	i t̚ ³ ² ⁻ ⁴ s i ɪ k̚ ⁴ ⁻ ³ ² t͡s i ⁴ ⁴ ⁻ ³ ³ t e ³ ³
一帶	i t̚ ³ ² ⁻ ⁴ t a i ² ¹
一年半載	i t̚ ³ ² ⁻ ⁴ l i ɛ n ² ³ ⁻ ³ ³ p u a n ² ¹ ⁻ ⁴ ¹ t͡s a i ² ¹
一年換二十四個頭家	t͡s i t̚ ⁴ ⁻ ³ ² n ĩ ² ³ ⁻ ³ ³ u ã ³ ³ ⁻ ² ¹ z i ³ ³ ⁻ ² ¹ t͡s a p̚ ⁴ ⁻ ³ ² s i ² ¹ ⁻ ⁴ ¹ e ² ³ ⁻ ³ ³ tʰ a u ² ³ ⁻ ³ ³ k e ⁴ ⁴
一度	i t̚ ³ ² ⁻ ⁴ t ɔ ⁴ ¹
一度	i t̚ ³ ² ⁻ ⁴ t ɤ ⁴ ¹
一廂情願	i t̚ ³ ² ⁻ ⁴ s i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ t͡s i ɪ ŋ ² ³ ⁻ ³ ³ ɡ u a n ³ ³
一律	i t̚ ³ ² ⁻ ⁴ l u t̚ ⁴
一心	i t̚ ³ ² ⁻ ⁴ s i m ⁴ ⁴
一心一德	i t̚ ³ ² ⁻ ⁴ s i m ⁴ ⁴ ⁻ ³ ³ i t̚ ³ ² ⁻ ⁴ t i a k̚ ³ ²
一心一意	i t̚ ³ ² ⁻ ⁴ s i m ⁴ ⁴ ⁻ ³ ³ i t̚ ³ ² ⁻ ⁴ i ² ¹
一意孤行	i t̚ ³ ² ⁻ ⁴ i ² ¹ ⁻ ⁴ ¹ k ɔ ⁴ ⁴ ⁻ ³ ³ h i ɪ ŋ ² ³
一應俱全	i t̚ ³ ² ⁻ ⁴ i ɪ ŋ ² ¹ ⁻ ⁴ ¹ k u ³ ³ ⁻ ² ¹ t͡s u a n ² ³
一手	i t̚ ³ ² ⁻ ⁴ t͡sʰ i u ⁴ ¹
一手	t͡s i t̚ ⁴ ⁻ ³ ² t͡sʰ i u ⁴ ¹
一技之長	i t̚ ³ ² ⁻ ⁴ k i ⁴ ⁴ ⁻ ³ ³ t͡s i ⁴ ⁴ ⁻ ³ ³ t i ɔ ŋ ² ³
一把抓	i t̚ ³ ² ⁻ ⁴ p a ⁴ ¹ ⁻ ⁴ ⁴ t͡s u a ⁴ ⁴
一掃而空	i t̚ ³ ² ⁻ ⁴ s a u ² ¹ ⁻ ⁴ ¹ z i ² ³ ⁻ ³ ³ kʰ ɔ ŋ ⁴ ⁴
一擺	t͡s i t̚ ⁴ ⁻ ³ ² p a i ⁴ ¹
一擺半擺	t͡s i t̚ ⁴ ⁻ ³ ² p a i ⁴ ¹ ⁻ ⁴ ⁴ p u ã ² ¹ ⁻ ⁴ ¹ p a i ⁴ ¹
一改	t͡s i t̚ ⁴ ⁻ ³ ² k a i ⁴ ¹
一斑	i t̚ ³ ² ⁻ ⁴ p a n ⁴ ⁴
一旁	t͡s i t̚ ⁴ ⁻ ³ ² p i ɪ ŋ ² ³
一日	t͡s i t̚ ⁴ ⁻ ³ ² z i t̚ ⁴
一日三秋	i t̚ ³ ² ⁻ ⁴ z i t̚ ⁴ ⁻ ³ ² s a m ⁴ ⁴ ⁻ ³ ³ t͡sʰ i u ⁴ ⁴
一日到暗	t͡s i t̚ ⁴ ⁻ ³ ² z i t̚ ⁴ ⁻ ³ ² k a u ² ¹ ⁻ ⁴ ¹ a m ² ¹
一旦	i t̚ ³ ² ⁻ ⁴ t a n ² ¹
一早	i t̚ ³ ² ⁻ ⁴ t͡s a ⁴ ¹
一時	i t̚ ³ ² ⁻ ⁴ s i ² ³
一時	t͡s i t̚ ⁴ ⁻ ³ ² s i ² ³
一朝	i t̚ ³ ² ⁻ ⁴ t i a u ⁴ ⁴
一枝獨秀	i t̚ ³ ² ⁻ ⁴ k i ⁴ ⁴ ⁻ ³ ³ t ɔ k̚ ⁴ ⁻ ³ ² s i u ² ¹
一枝竹篙壓倒一船人	t͡s i t̚ ⁴ ⁻ ³ ² k i ⁴ ⁴ ⁻ ³ ³ t i ɪ k̚ ³ ² ⁻ ⁴ k ɤ ⁴ ⁴ a ³ ² ⁻ ⁴ ¹ t ɤ ⁴ ¹ ⁻ ⁴ ⁴ t͡s i t̚ ⁴ ⁻ ³ ² t͡s u n ² ³ ⁻ ³ ³ l a ŋ ² ³
一枝竹篙壓倒一船人	t͡s i t̚ ⁴ ⁻ ³ ² k i ⁴ ⁴ ⁻ ³ ³ t i ɪ k̚ ³ ² ⁻ ⁴ k ɤ ⁴ ⁴ a ʔ ³ ² ⁻ ⁴ ¹ t ɤ ⁴ ¹ ⁻ ⁴ ⁴ t͡s i t̚ ⁴ ⁻ ³ ² t͡s u n ² ³ ⁻ ³ ³ l a ŋ ² ³
一概	i t̚ ³ ² ⁻ ⁴ kʰ a i ² ¹
一模一樣	i t̚ ³ ² ⁻ ⁴ b ɔ ² ³ ⁻ ³ ³ i t̚ ³ ² ⁻ ⁴ i ũ ³ ³
一樣	i t̚ ³ ² ⁻ ⁴ i ũ ³ ³
一樣	t͡s i t̚ ⁴ ⁻ ³ ² i ũ ³ ³
一樣米飼百樣人	t͡s i t̚ ⁴ ⁻ ³ ² i ũ ³ ³ ⁻ ² ¹ b i ⁴ ¹ t͡sʰ i ³ ³ ⁻ ² ¹ p a ³ ² ⁻ ⁴ ¹ i ũ ³ ³ ⁻ ² ¹ l a ŋ ² ³
一樣米飼百樣人	t͡s i t̚ ⁴ ⁻ ³ ² i ũ ³ ³ ⁻ ² ¹ b i ⁴ ¹ t͡sʰ i ³ ³ ⁻ ² ¹ p a ʔ ³ ² ⁻ ⁴ ¹ i ũ ³ ³ ⁻ ² ¹ l a ŋ ² ³
一氣	t͡s i t̚ ⁴ ⁻ ³ ² kʰ u i ² ¹
一氧化碳	i t̚ ³ ² ⁻ ⁴ i ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ h u a ² ¹ ⁻ ⁴ ¹ tʰ u ã ² ¹
一波三折	i t̚ ³ ² ⁻ ⁴ pʰ ɤ ⁴ ⁴ ⁻ ³ ³ s a m ⁴ ⁴ ⁻ ³ ³ t͡s i ɛ t̚ ³ ²
一派胡言	i t̚ ³ ² ⁻ ⁴ pʰ a i ² ¹ ⁻ ⁴ ¹ h ɔ ² ³ ⁻ ³ ³ ɡ i ɛ n ² ³
一流	i t̚ ³ ² ⁻ ⁴ l i u ² ³
一滴仔	t͡s i t̚ ⁴ ⁻ ³ ² t i ³ ² ⁻ ⁴ ⁴ a ⁴ ¹
一滴仔	t͡s i t̚ ⁴ ⁻ ³ ² t i ʔ ³ ² ⁻ ⁴ ⁴ a ⁴ ¹
一無所有	i t̚ ³ ² ⁻ ⁴ b u ² ³ ⁻ ³ ³ s ɔ ⁴ ¹ ⁻ ⁴ ⁴ i u ⁴ ¹
一無所知	i t̚ ³ ² ⁻ ⁴ b u ² ³ ⁻ ³ ³ s ɔ ⁴ ¹ ⁻ ⁴ ⁴ t i ⁴ ⁴
一片	i t̚ ³ ² ⁻ ⁴ pʰ i ɛ n ² ¹
一生	i t̚ ³ ² ⁻ ⁴ s i ɪ ŋ ⁴ ⁴
一生一世	i t̚ ³ ² ⁻ ⁴ s i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ i t̚ ³ ² ⁻ ⁴ s e ² ¹
一甲子	t͡s i t̚ ⁴ ⁻ ³ ² k a ³ ² ⁻ ⁴ ¹ t͡s i ⁴ ¹
一甲子	t͡s i t̚ ⁴ ⁻ ³ ² k a ʔ ³ ² ⁻ ⁴ ¹ t͡s i ⁴ ¹
一疕仔	t͡s i t̚ ⁴ ⁻ ³ ² pʰ i ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
一百	t͡s i t̚ ⁴ ⁻ ³ ² p a ʔ ³ ²
一目	i t̚ ³ ² ⁻ ⁴ b ɔ k̚ ⁴
一目瞭然	i t̚ ³ ² ⁻ ⁴ b ɔ k̚ ⁴ ⁻ ³ ² l i a u ⁴ ¹ ⁻ ⁴ ⁴ z i ɛ n ² ³
一目𥍉仔	t͡s i t̚ ⁴ ⁻ ³ ² b a k̚ ⁴ ⁻ ³ ² n ĩ ³ ² ⁻ ⁴ ⁴ a ⁴ ¹
一目𥍉仔	t͡s i t̚ ⁴ ⁻ ³ ² b a k̚ ⁴ ⁻ ³ ² n ĩ ʔ ³ ² ⁻ ⁴ ⁴ a ⁴ ¹
一直	i t̚ ³ ² ⁻ ⁴ t i t̚ ⁴
一睏仔	t͡s i t̚ ⁴ ⁻ ³ ² kʰ u n ² ¹ ⁻ ⁴ ⁴ a ⁴ ¹
一知半解	i t̚ ³ ² ⁻ ⁴ t i ⁴ ⁴ ⁻ ³ ³ p u a n ² ¹ ⁻ ⁴ ¹ k a i ⁴ ¹
一知半解	i t̚ ³ ² ⁻ ⁴ t i ⁴ ⁴ ⁻ ³ ³ p u ã ² ¹ ⁻ ⁴ ¹ k a i ⁴ ¹
一石二鳥	i t̚ ³ ² ⁻ ⁴ s i ɪ k̚ ⁴ ⁻ ³ ² z i ³ ³ ⁻ ² ¹ n i ã u ⁴ ¹
一種	t͡s i t̚ ⁴ ⁻ ³ ² t͡s i ɔ ŋ ⁴ ¹
一空一隙	t͡s i t̚ ⁴ ⁻ ³ ² kʰ a ŋ ⁴ ⁴ ⁻ ³ ³ t͡s i t̚ ⁴ ⁻ ³ ² kʰ i a ʔ ³ ²
一筆勾銷	i t̚ ³ ² ⁻ ⁴ p i t̚ ³ ² ⁻ ⁴ k a u ⁴ ⁴ ⁻ ³ ³ s i a u ⁴ ⁴
一等	i t̚ ³ ² ⁻ ⁴ t i ɪ ŋ ⁴ ¹
一簇仔	t͡s i t̚ ⁴ ⁻ ³ ² t͡sʰ ɔ k̚ ³ ² ⁻ ⁴ a ⁴ ¹
一籌莫展	i t̚ ³ ² ⁻ ⁴ t i u ² ³ ⁻ ³ ³ b ɔ k̚ ⁴ ⁻ ³ ² t i ɛ n ⁴ ¹
一統	i t̚ ³ ² ⁻ ⁴ tʰ ɔ ŋ ⁴ ¹
一絲不掛	i t̚ ³ ² ⁻ ⁴ s i ⁴ ⁴ ⁻ ³ ³ p u t̚ ³ ² ⁻ ⁴ k u a ² ¹
一絲仔	t͡s i t̚ ⁴ ⁻ ³ ² s i ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹
一絲絲仔	t͡s i t̚ ⁴ ⁻ ³ ² s i ⁴ ⁴ ⁻ ³ ³ s i ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹
一網打盡	i t̚ ³ ² ⁻ ⁴ b ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ t ã ⁴ ¹ ⁻ ⁴ ⁴ t͡s i n ³ ³
一群	t͡s i t̚ ⁴ ⁻ ³ ² k u n ² ³
一臂之力	i t̚ ³ ² ⁻ ⁴ p i ² ¹ ⁻ ⁴ ¹ t͡s i ⁴ ⁴ ⁻ ³ ³ l i ɪ k̚ ⁴
一致	i t̚ ³ ² ⁻ ⁴ t i ² ¹
一致性	i t̚ ³ ² ⁻ ⁴ t i ² ¹ ⁻ ⁴ ¹ s i ɪ ŋ ² ¹
一舉	i t̚ ³ ² ⁻ ⁴ k i ⁴ ¹
一般	i t̚ ³ ² ⁻ ⁴ p u ã ⁴ ⁴
一般性	i t̚ ³ ² ⁻ ⁴ p u ã ⁴ ⁴ ⁻ ³ ³ s i ɪ ŋ ² ¹
一色	i t̚ ³ ² ⁻ ⁴ s i ɪ k̚ ³ ²
一萬	t͡s i t̚ ⁴ ⁻ ³ ² b a n ³ ³
一落千丈	i t̚ ³ ² ⁻ ⁴ l ɤ ʔ ⁴ ⁻ ² ¹ t͡sʰ i ɛ n ⁴ ⁴ ⁻ ³ ³ t ŋ̍ ³ ³
一落千丈	i t̚ ³ ² ⁻ ⁴ l ɤ ⁴ ⁻ ² ¹ t͡sʰ i ɛ n ⁴ ⁴ ⁻ ³ ³ t ŋ̍ ³ ³
一行	t͡s i t̚ ⁴ ⁻ ³ ² k i ã ² ³
一表人才	i t̚ ³ ² ⁻ ⁴ p i a u ⁴ ¹ ⁻ ⁴ ⁴ z i n ² ³ ⁻ ³ ³ t͡s a i ² ³
一視同仁	i t̚ ³ ² ⁻ ⁴ s i ³ ³ ⁻ ² ¹ t ɔ ŋ ² ³ ⁻ ³ ³ z i n ² ³
一覽表	i t̚ ³ ² ⁻ ⁴ l a m ⁴ ¹ ⁻ ⁴ ⁴ p i ɤ ⁴ ¹
一角	t͡s i t̚ ⁴ ⁻ ³ ² k a k̚ ³ ²
一觸久仔	t͡s i t̚ ⁴ ⁻ ³ ² t a k̚ ³ ² ⁻ ⁴ k u ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
一觸即發	i t̚ ³ ² ⁻ ⁴ t͡sʰ i ɔ k̚ ³ ² ⁻ ⁴ t͡s i ɪ k̚ ³ ² ⁻ ⁴ h u a t̚ ³ ²
一言	i t̚ ³ ² ⁻ ⁴ ɡ i ɛ n ² ³
一言九鼎	i t̚ ³ ² ⁻ ⁴ ɡ i ɛ n ² ³ ⁻ ³ ³ k i u ⁴ ¹ ⁻ ⁴ ⁴ t i ɪ ŋ ⁴ ¹
一言堂	i t̚ ³ ² ⁻ ⁴ ɡ i ɛ n ² ³ ⁻ ³ ³ t ɔ ŋ ² ³
一貫	i t̚ ³ ² ⁻ ⁴ k u a n ² ¹
一路	t͡s i t̚ ⁴ ⁻ ³ ² l ɔ ³ ³
一路平安	t͡s i t̚ ⁴ ⁻ ³ ² l ɔ ³ ³ ⁻ ² ¹ p i ɪ ŋ ² ³ ⁻ ³ ³ a n ⁴ ⁴
一路順風	t͡s i t̚ ⁴ ⁻ ³ ² l ɔ ³ ³ ⁻ ² ¹ s u n ³ ³ ⁻ ² ¹ h ɔ ŋ ⁴ ⁴
一蹶不振	i t̚ ³ ² ⁻ ⁴ k u a t̚ ³ ² ⁻ ⁴ p u t̚ ³ ² ⁻ ⁴ t͡s i n ⁴ ¹
一週	t͡s i t̚ ⁴ ⁻ ³ ² t͡s i u ⁴ ⁴
一遍	t͡s i t̚ ⁴ ⁻ ³ ² p i ɛ n ² ¹
一邊	t͡s i t̚ ⁴ ⁻ ³ ² p ĩ ⁴ ⁴
一開始	t͡s i t̚ ⁴ ⁻ ³ ² kʰ a i ⁴ ⁴ ⁻ ³ ³ s i ⁴ ¹
一陣	t͡s i t̚ ⁴ ⁻ ³ ² t i n ³ ³
一陣	t͡s i t̚ ⁴ ⁻ ³ ² t͡s u n ³ ³
一陣風	t͡s i t̚ ⁴ ⁻ ³ ² t͡s u n ³ ³ ⁻ ² ¹ h ɔ ŋ ⁴ ⁴
一面	t͡s i t̚ ⁴ ⁻ ³ ² b i n ³ ³
一面倒	t͡s i t̚ ⁴ ⁻ ³ ² b i n ³ ³ ⁻ ² ¹ t ɤ ⁴ ¹
一頭霧水	t͡s i t̚ ⁴ ⁻ ³ ² tʰ a u ² ³ ⁻ ³ ³ b u ³ ³ ⁻ ² ¹ t͡s u i ⁴ ¹
一馬當先	i t̚ ³ ² ⁻ ⁴ m ã ⁴ ¹ ⁻ ⁴ ⁴ t ɔ ŋ ⁴ ⁴ ⁻ ³ ³ s i ɛ n ⁴ ⁴
一鳴驚人	i t̚ ³ ² ⁻ ⁴ b i ɪ ŋ ² ³ ⁻ ³ ³ k i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ z i n ² ³
一點	t͡s i t̚ ⁴ ⁻ ³ ² t i a m ⁴ ¹
一點仔	t͡s i t̚ ⁴ ⁻ ³ ² t i a m ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
一點紅	i t̚ ³ ² ⁻ ⁴ t i a m ⁴ ¹ ⁻ ⁴ ⁴ h ɔ ŋ ² ³
一齊	t͡s i t̚ ⁴ ⁻ ³ ² t͡s e ² ³
丁	t i ɪ ŋ ⁴ ⁴
丁丑	t i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ tʰ i u ⁴ ¹
丁亥	t i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ h a i ³ ³
丁卯	t i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ b a u ⁴ ¹
丁字尺	t i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ z i ³ ³ ⁻ ² ¹ t͡sʰ i ɤ ʔ ³ ²
丁巳	t i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ s u ³ ³
丁抹	t i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ b u a t̚ ³ ²
丁未	t i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ b i ³ ³
丁酉	t i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ i u ⁴ ¹
丁香	t i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ h i ũ ⁴ ⁴
丁香魚	t i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ h i ũ ⁴ ⁴ ⁻ ³ ³ h i ² ³
七	t͡sʰ i t̚ ³ ²
