't	t
Assurance	a s y ʀ ã s
Astrologie	a s t ʀ o l o ʒ i
Atelier	ɑ t ə l j eː
Aubergine	o b æ r ʒ i n
Aubergine	o b e r ʒ i n
ausfroen	æː ʊ s f ʀ oː ə n
Auteur	oː t øː e ʀ
Auteur	oː t øː ʀ
Aviatioun	a v j a t s j e u̯ n
Aviatioun	a v j a s j e u̯ n
Avion	a v j õ
awanderen	a v a n d e ʀ e n
Awanderung	a v a n d e ʀ u ŋ
awar	a v aː ʀ
awar	a v aː
Awar	a v aː ʀ
Awar	a v aː
awer	aː v e ʀ
Awunner	a v u n e ʀ
Baachfrell	b aː χ f ʀ æ l
Baachnénga	b aː χ n e ŋ aː
baang	b aː ŋ
Baarf	b aː ʀ f
Baarf	b aː f
Baarmhäerzegkeet	b aː ʀ m h eː ʀ t s e χ k eː t
Baarmhäerzegkeet	b aː m h eː ʀ t s e χ k eː t
Baart	b aː ʀ t
Baart	b aː t
Baatsch	b aː t ʃ
Bad	b aː t
Badminton	b æ t m i n t e n
Bak	b aː k
baken	b aː k e n
bal	b aː l
Bal	b aː l
Ball	b a l
Bam	b aː m
Bampiipsert	b aː m p iː p s e ʀ t
Band	b a n t
Band	b æ n t
Band	b a n t
Bandscheif	b a n t ʃ a i̯ f
Bankrott	b a ŋ k ʀ o t
Bann	b a n
bannen	b a n e n
Bascht	b a ʃ t
Basketball	b aː s k e t b a l
Bass	b a s
batter	b a t e r
Batteralzem	b ɑ t ə ʀ ɑ l t͡s ə m
Batz	b a t s
Beamten	b e a m t e n
Becher	b æ χ e ʀ
bedeckt	b e d æ k t
Bedeelegung	b e d eː l e ʁ u ŋ
bedeiten	b e d a i̯ t e n
Bedeitung	b e d a i̯ t u ŋ
Bedruch	b e d ʀ u χ
bedrécken	b e d ʀ e k e n
Beel	b eː l
Been	b eː n
Bees	b eː s
beezen	b eː t s e n
befielen	b e f i e̯ l e n
begieren	b e ɡ i e̯ ʀ e n
begierlech	b e ɡ iː ʀ l e χ
Begierlechkeet	b e ɡ iː ʀ l e χ k eː t
begleeden	b e ɡ l eː d e n
Begrëff	b e ɡ ʀ e f
begrënnen	b e ɡ ʀ e n e n
begéinen	b e ɡ e i̯ n e n
behaapten	b e h aː p t e n
Behandlung	b ə h ɑ n d l u ŋ
Behälter	b e h æ l t e ʀ
beige	b eː ʃ
Bekassinn	b e k a s i n
beleedegen	b e l eː d e ʁ e n
beleeën	b e l e e n
Belsch	b æ l ʃ
belsch	b æ l ʃ
Belschen	b æ l ʃ e n
bemierken	b e m i e̯ k e n
Bemierkung	b e m i e̯ k u ŋ
Bensin	b æ n z iː n
beobachten	b e oː b a χ t e n
bereien	b e ʀ a i̯ e n
beriichten	b e ʀ iː χ t e n
Beruff	b e ʀ u f
beréieren	b e ʀ e i̯ ʀ e n
Beréierung	b e ʀ e i̯ ʀ u ŋ
beschléissen	b e ʃ l e i̯ s e n
beschreiwen	b e ʃ ʀ a i̯ v e n
beschränken	b e ʃ ʀ æ ŋ k e n
beschwéiert	b e ʃ v e ɪ̯ e ʀ t
besetzen	b e z æ t s e n
besonnesch	b e z o n e ʃ
bespriechen	b e ʃ p ʀ i e̯ χ e n
Besserung	b æ s e ʀ u ŋ
Bestanddeel	b e ʃ t a n t d eː l
Bestanddeel	b e ʃ t a n d eː l
bestellen	b e ʃ t æ l e n
Bestiechung	b ə ʃ t i ə̯ ɕ u ŋ
bestiits	b e ʃ t iː t s
bestit	b e ʃ t iː t
bestrofen	b e ʃ t ʀ oː f e n
bestueden	b e ʃ t u e̯ d e n
bestuet	b e ʃ t u e̯ t
Besuch	b e z u χ
betounen	b e t e u̯ n e n
Betounung	b ə t ə ʊ n u ŋ
Betrag	b ə t ʀ aː χ
Beträg	b ə t ʀ ɛː ɕ
Bett	b æ t
Bettseechesch	b æ t z eː χ e ʃ
beuechten	b e u e̯ χ t e n
Bevëlkerung	b e f e l k e ʀ u ŋ
bewegen	b e v eː ʁ e n
Bewonnerung	b e v o n e ʀ u ŋ
Bewäis	b e v æ i̯ s
bezeechnen	b e t s eː χ n e n
Bezeechnung	b e t s eː χ n u ŋ
bezeien	b e t s a i̯ e n
Bezuch	b e t s u χ
bezuelen	b e t s u e̯ l e n
bezweiwelen	b e t s v a i̯ v e l e n
bezwéngen	b ə t͡s w e ŋ ə n
Bibel	b iː b e l
Bibel	b i b e l
Bibliothecaire	b i b l j o t e k ɛː ʁ
Bic	b i k
Bich	b i χ
Bichelchen	b i χ e l χ e n
Bichenholz	b i ɕ ə n h o l t͡s
Bicherbuttek	b i χ e ʀ b u t e k
Bicherwuerm	b i χ e ʀ v u e̯ m
bidden	b i d e n
Bidden	b i d e n
Bidet	b i d e
bieden	b i e̯ d e n
Bier	b iː r
Bierg	b i ə̯ χ
biergen	b i e̯ ʁ e n
Bierger	b i e̯ ʁ e r
biergof	b iː ʀ χ oː f
biergop	b i ə̯ ʀ χ o p
biergop	b i ə̯ χ o p
biewen	b i e̯ v e n
Bifdeck	b i f d æ k
Bigel	b i ʁ e l
biichten	b iː χ t e n
biischten	b iː ʃ t ə n
Bijoutier	b i ʒ u t j e
Bild	b i l t
bilden	b i l d e n
Bildschierm	b i l t ʃ i e̯ m
Billard	b i l j aː ʀ
Billard	b i l j aː
Billard	b i j aː ʀ
Billard	b i j aː
billen	b i l e n
Bindestréch	b i n d e ʃ t ʀ e χ
Bing	b i ŋ
Biologie	b i o l o ʒ i
bis	b i s
bitzen	b i t s e n
blann	b l a n
Blat	b l aː t
Blatlaus	b l aː t l æ u̯ s
Blatz	b l a t s
blatzeg	b l ɑ t s e χ
bleech	b l eː χ
bleechen	b l eː χ e n
bleiwen	b l a i̯ v e n
blennen	b l æ n e n
Blessur	b l æ s yː ʀ
blesséieren	b l æ s e i̯ ʀ e n
Blietchen	b l i e̯ t χ e n
blitt	b l i t
blitts	b l i t s
blo	b l o
Blobrëschtchen	b l oː b ʁ e ʃ t χ e n
Bloder	b l oː d e r
Blomees	b l oː m eː s
bloost	b l oː s t
blos	b l oː s
Blos	b l oː s
blosen	b l oː z e n
blouss	b l e u̯ s
bludden	b l u d e n
Blumm	b l u m
Blus	b l uː s
Blutt	b l u t
Bluttanalys	b l u t a n a l iː s
Bluttdrock	b l u t d ʀ o k
bluttjonk	b l u t j o ŋ k
bluttrout	b l u t ʀ e u̯ t
Bläi	b l æ i̯
bläien	b l æ i̯ e n
bläifräi	b l æ i̯ f r æ i̯
Bläistëft	b l æ i̯ ʃ t e f t
Blëtz	b l e t s
blëtzen	b l e t s e n
Bléck	b l e k
Bléi	b l e i̯
bléien	b l e i̯ e n
bléis	b l e i̯ s
bléist	b l e i̯ s t
bléit	b l e i̯ t
blénken	b l e ŋ k e n
Bock	b o k
Boll	b o l
Boma	b oː m a
Bomm	b o m
Bommel	b o m e l
Bond	b o n t
Bong	b o ŋ
botanesch	b oː t aː n e ʃ
Botanik	b o t aː n i k
Bott	b o t
Botte	b o t
Bottel	b o t e l
Botter	b o t e ʀ
Bottermëllech	b o t e ʀ m e l e χ
botzen	b o t s e n
Bou	b e u̯
Bouf	b e u̯ f
Bougie	b u ʒ i
Bouillon	b u j õ
Boulette	b u l æ t
Boun	b e u̯ n
Bouneschlupp	b e u̯ n e ʃ l u p
Bourse	b u ʀ s
Bouss	b e u̯ s
Box	b o k s
Brach	b ʀ a χ
braconnéieren	b ʀ a k o n e i̯ ʀ e n
Brak	b ʀ aː k
Branntewäin	b r a n t e v æ i̯ n
brauchen	b ʀ æ u̯ χ e n
brauen	b r a u̯ e n
Braut	b r æ u̯ t
Brautrank	b ʀ æ u̯ t ʀ a ŋ k
breet	b ʀ eː t
Bremsspur	b ʀ æ m s ʃ p uː ʀ
brennen	b ʀ æ n e n
Brennes	b ʀ æ n e s
bretzeg	b ʀ æ t s ə ɕ
Bretzel	b ʀ æ t s e l
bretzen	b ʀ æ t s e n
Bridder	b ʀ i d e ʀ
briech	b ʀ i e̯ χ
Briecheisen	b r i e̯ χ a i̯ z e n
briecht	b ʀ i e̯ χ t
Brigang	b ʀ i ɡ a ŋ
brittesch	b ʀ i t e ʃ
Broch	b ʀ o χ
broden	b ʀ oː d e n
brodéieren	b ʀ o d e i̯ ʀ e n
Bromee	b ʀ o m eː
brong	b ʀ o ŋ
Brongbrëschtchen	b ʀ o ŋ b ʀ e ʃ t χ e n
bronkeg	b ʀ o ŋ k e χ
brooch	b ʀ oː χ
Brooch	b ʀ oː χ
Brosch	b ʀ o ʃ
Broscht	b ʀ o ʃ t
Brot	b ʀ oː t
brot	b ʀ oː t
Brout	b r e u̯ t
Brudder	b ʀ u d e ʀ
Bräi	b ʀ æ i̯
Bräit	b r æ i̯ t
Bränn	b r æ n
Brëll	b r e l
brëllen	b r e l e n
Brëscht	b ʀ ə ʃ t
Brëtsch	b ʀ e t ʃ
Bréch	b ʀ e χ
bréchs	b ʀ e χ s
brécht	b r e χ t
Bréck	b r e k
Bréif	b ʀ e i̯ f
Bréifdréier	b ʁ ɜ ɪ̯ v d ʁ ɜ ɪ̯ ɐ
Bréifkëscht	b ʀ e i̯ f k e ʃ t
Bréissel	b r e i̯ s e l
bréit	b ʀ e i̯ t
bréits	b ʀ e i̯ t s
bréngen	b r e ŋ e n
Buch	b u χ
buchen	b u χ e n
buddelen	b u d e l e n
Buedduch	b u e̯ t d u χ
Buedem	b u e̯ d e m
bueden	b u e̯ d e n
Buedzëmmer	b u e̯ t t s e m e ʀ
Buedzëmmer	b u e̯ t s e m e ʀ
Buer	b uː r
bueren	b uː r e n
Buerg	b u e̯ χ
Buergermeeschter	b u e̯ ʁ e r m eː ʃ t e r
Buet	b u e̯ t
Bugger	b u ɡ e ʀ
Bull	b u l
Bulli	b u l i
Bunn	b u n
Bus	b u s
Buschauffeur	b uː s ʃ oː f ɐ
Buschtaf	b u ʃ t aː f
Busgare	b u s ɡ aː ʀ
Busgare	b u s ɡ aː
Buttek	b u t e k
Bäcker	b æ k e ʀ
Bäckeschdosen	b æ k e ʃ d o z e n
bäikommen	b æ i̯ k o m e n
Bäileed	b æ i̯ l eː t
bäileeën	b æ i̯ l e e n
bäisetzen	b æ i̯ z æ t s e n
bäiss	b æ i̯ s
bäissen	b æ i̯ s e n
bäisst	b æ i̯ s t
Bäll	b æ l
Bëbee	b e b eː
bëlleg	b e l e χ
bënns	b e n s
bënnt	b e n t
Bësch	b e ʃ
Bëschof	b e ʃ oː f
Bëschof	b e ʃ o f
bëselen	b e z e l e n
Bëss	b e s
Bëtong	b e t o ŋ
Béchs	b e k s
bécken	b e k e n
Béi	b e i̯
béid	b e i̯ t
béiden	b e i̯ d e n
Béifchen	b e i̯ f χ e n
béis	b e i̯ s
béissen	b e i̯ s e n
Cabillaud	k a b i j o
Cale	k a l
capabel	k a p aː b e l
Capellen	k ɑ p æ l ə n
Capot	k a p o
Case	k aː s
catchen	k a t ʃ e n
Chamber	ʃ ã b e r
Champignon	ʃ ã p i n j õ
Chancëgläichheet	ʃ ã s e ɡ l æ i̯ ɕ h eː t
changéieren	ʃ ã ʒ e i̯ ʀ e n
Chantage	ʃ ã t aː ʃ
Charakter	k a ʀ a k t e ʀ
Chauffer	ʃ oː f e r
Chauffersflucht	ʃ oː f e ʀ s f l u χ t
Chauffeur	ʃ oː f ø r
chaufféieren	ʃ o f e i̯ ʀ e n
Chef	ʃ æ f
Chimie	ʃ i m i
Chlor	k l oː r
Choix	ʃ v a
Choufleur	ʃ uː f l øː e ʀ
Choufleur	ʃ uː f l øː ʀ
Christus	k ʀ i s t u s
Chrëschtdag	k ʀ e ʃ t d aː χ
Chrëschtentum	k ʀ e ʃ t e n t uː m
chrëschtlech	k ʀ e ʃ t l e χ
Chômage	ʃ oː m aː ʃ
coachen	k oː t͡ʃ ə n
Collaboratioun	k o l a b o ʀ a t s j e u̯ n
Collaboratioun	k o l a b o ʀ a s j e u̯ n
Comptoir	k õ t v aː ʀ
Comptoir	k õ t v aː
Computer	k o m p j uː t e ʀ
Constitutioun	k o n s t i t u t s j e u̯ n
Constitutioun	k o n s t i t u s j e u̯ n
couragéiert	k u ʀ aː ʒ e ɪ̯ e ʀ t
Cours	k uː r
Coursen	k uː r e n
Cricket	k ʀ i k e t
d'	d
d'	t
Da	d a
Daach	d aː χ
daachen	d aː χ e n
Daachliicht	d aː χ l iː χ t
Daachzill	d aː χ t͡s i l
Daarm	d aː ʀ m
Daarm	d aː m
dach	d a χ
Dachs	d a k s
dacks	d a k s
daf	d aː f
Daf	d aː f
Dafheet	d aː f h eː t
Dafheet	d aː f eː t
dafstomm	d aː f ʃ t o m
Dag	d aː χ
Daimchen	d a i̯ m χ e n
Damm	d a m
Damp	d a m p
dangen	d a ŋ e n
danken	d a ŋ k e n
dann	d a n
dann	d a
Danz	d a n s
danzen	d a n t s e n
daper	d aː p e ʀ
Dapp	d a p
Dar	d aː ʀ
Dar	d aː
dass	d a s
dat	d aː t
dat	d a t
datt	d a t
Dattel	d a t e l
Datz	d a t s
dauchen	d æ u̯ χ e n
Dauer	d a u̯ e ʀ
Dauer	d a u̯ ʀ
daueren	d a u̯ ʀ e n
dausend	d a u̯ z e n t
dech	d e χ
Deckel	d æ k e l
Deckelsmouk	d æ k e l s m e u̯ k
decken	d æ k e n
Decken	d æ k e n
deefen	d eː f e n
deeglech	d eː χ l e χ
deelen	d eː l e n
deem	d eː m
deemno	d eː m n o
deemools	d eː m oː l s
deen	d eː n
dees	d eː s
deet	d eː t
degustéieren	d eː ɡ y s t e i̯ ʀ e n
deier	d a i̯ e ʀ
deier	d a i̯ ʀ
Dekorateur	d e k o ʁ ɑ t øː ɐ̯
dem	d e m
den	d e n
deng	d e ŋ
dengem	d e ŋ e m
dengen	d e ŋ e n
denger	d e ŋ e ʀ
denken	d æ ŋ k e n
Denn	d æ n
der	d e r
derhanner	d e ʀ h a n e ʀ
Dezember	d e t s æ m b e ʀ
Diamant	d i a m a n t
Dicher	d i ɕ ɐ
dicht	d i χ t
Dichter	d i χ t e ʀ
Dictionnaire	d i k s j o n eː r
Dictionnairen	d i k s j o n eː r e n
Diddeleng	d i d e l e ŋ
dier	d iː r
Dierfer	d i e̯ f e r
Digel	d i ʁ e l
Dikrech	d i k ʀ e χ
diktéieren	d i k t e i̯ ʀ e n
Dill	d i l
dillen	d i l e n
Dimmer	d i m e r
dinn	d i n
dir	d iː r
Dir	d iː r
diskutéieren	d i s k u t e i̯ ʀ e n
Distanz	d i s t ɑ n t͡s
ditzen	d i t s e n
Diwwi	d i v i
do	d o
dobannen	d o b a n e n
dobaussen	d o b æ u̯ s e n
dobäi	d o b æ i̯
doduerch	d o d u e̯ χ
dofir	d o f iː ʀ
Doft	d o f t
doften	d o f t e n
dogéint	d o ɡ e i̯ n t
dohannen	d o h a n e n
dohanner	d o h a n e ʀ
doheem	d o h eː m
Doheem	d o h eː m
dohin	d o h i n
dohinner	d o h i n e ʀ
Dokter	d o k t e ʀ
Dolmetscher	d o l m æ t͡ʃ ɐ
Doloun	d oː l e u̯ n
Doléiner	d oː l e i̯ n e r
domat	d oː m a t
domm	d o m
Dommheet	d o m h eː t
Dommheet	d o m eː t
donkel	d o ŋ k e l
Donkelheet	d o ŋ k e l h eː t
Donkelheet	d o ŋ k e l eː t
Donner	d o n e r
donneren	d o n e ʀ e n
dono	d o n o
dono	d oː n o
Donst	d o n s t
doran	d o ʀ a n
doran	d oː ʀ a n
doraus	d o ʀ æ u̯ s
doraus	d oː ʀ æ u̯ s
doriwwer	d o ʀ i v e ʀ
doriwwer	d oː ʀ i v e ʀ
doropshin	d o ʀ o p s h i n
dorun	d o ʀ u n
dorun	d oː ʀ u n
Dosen	d o z e n
Dosen	d oː z e n
Dossier	d o s j eː
dot	d oː t
Dot	d oː t
Dott	d o t
Doud	d e u̯ t
Doudegriewer	d ə ʊ̯ d ə ɡ ʁ i ə̯ v ɐ
Doudekapp	d e u̯ d e k a p
Doudesaffer	d e u̯ d e s a f e r
Doudewon	d e u̯ d e v oː n
Doum	d e u̯ m
dout	d e u̯ t
dovun	d o f u n
dovun	d oː f u n
dovunner	d o f u n e ʀ
dovunner	d oː f u n e ʀ
dozou	d o t s e u̯
dozou	d oː t s e u̯
Draach	d ʀ aː χ
draleeën	d ʀ a l e e n
Dram	d ʀ aː m
dran	d ʀ a n
Drauf	d r a u̯ f
Drauwejus	d ʀ a u̯ v e ʒ y
Dreck	d ʀ æ k
dreeën	d r eː e n
dreif	d ʀ a i̯ f
dreifs	d ʀ a i̯ f s
dreift	d r a i̯ f t
dreiwen	d r a i̯ v e n
dreschen	d ʀ æ ʃ e n
Dreschmaschinn	d ʁ æ ʃ m ɑ ʃ i n
Drill	d ʀ i l
Drilling	d ʀ i l i ŋ
driwwer	d ʀ i v e ʀ
dro	d ʀ o
droen	d r oː e n
Drog	d ʀ oː k
Drog	d ʀ oː χ
Droit	d ʀ v a
droleg	d ʀ oː l e χ
drot	d ʀ oː t
Drot	d ʀ oː t
drun	d ʀ u n
Dräieck	d r æ i̯ æ k
dräifach	d ʀ æ i̯ f a χ
Dräikinneksdag	d ʀ æ i̯ k i n e k s d aː χ
dräimol	d ʀ æ i̯ m oː l
Dräisprong	d ʀ æ i̯ ʃ p ʀ o ŋ
dräizéng	d ʀ æ i̯ t s e ŋ
dräizéngt	d ʀ æ i̯ t s e ŋ t
drängen	d ʀ æ ŋ e n
Dränk	d ʀ æ ŋ k
dränken	d ʀ æ ŋ k e n
drënner	d ʀ e n e ʀ
Drëpp	d ʀ ə p
Drëps	d ʀ e p s
drësseg	d ʀ e s e χ
drëtt	d ʀ e t
Dréchent	d ʀ e χ e n t
dréchnen	d ʀ e χ n e n
drécken	d r e k e n
Drécker	d ʀ e k e ʀ
Dréi	d ʀ e i̯
Dréibänk	d ʀ e i̯ b æ ŋ k
dréien	d r e i̯ e n
dréif	d ʀ ɜ ɪ f
dréinen	d r e i̯ n e n
dréis	d ʀ e i̯ s
Dréischel	d ʀ e i̯ ʃ e l
dréit	d r e i̯ t
Dréit	d ʀ e i̯ t
dréiwen	d ʀ e i̯ v e n
dréngen	d ʀ e ŋ e n
drénk	d ʀ e ŋ k
drénks	d ʀ e ŋ s
drénkt	d ʀ e ŋ t
Drüs	d ʁ yː s
du	d u
Duch	d u χ
ducken	d u k e n
Duddelsak	d u d e l z aː k
duebel	d u e̯ b e l
Duechter	d u e̯ χ t e ʀ
Dueder	d u e̯ d e ʀ
duer	d uː ʀ
duerch	d u e̯ χ
duercherneen	d uː ʀ χ e ʀ n eː n
Duercherneen	d u e̯ χ e ʀ n eː n
Duerchmiesser	d u ə̯ ɕ m i ə̯ s ɐ
duerchsetzen	d u e̯ χ z æ t s e n
Duerf	d u e̯ f
duerleeën	d uː ʀ l e e n
duerno	d u e̯ n o
Dugend	d uː ʁ e n t
Dugend	d u ʁ e n t
Dunn	d u n
Dusch	d u ʃ
duschen	d u ʃ e n
Duuscht	d uː ʃ t
duuss	d uː s
Dystopie	d i s t o p iː
däerfen	d eː ʀ f e n
Däich	d æ i̯ χ
däin	d æ i̯ n
däischter	d æ i̯ ʃ t e r
Däischtert	d æ i̯ ʃ t e ʀ t
däitsch	d æ i̯ t ʃ
Däitsch	d æ i̯ t ʃ
Däitschen	d æ i̯ t ʃ e n
Däitschland	d æ i̯ t ʃ l a n t
däitschsproocheg	d æ i̯ t ʃ ʃ p ʀ oː χ e χ
Däiwel	d æ i̯ v e l
dämpen	d æ m p e n
Dänemark	d æː n e m a ʀ k
Dänn	d æ n
Dännemees	d æ n e m eː s
där	d eː r
Däreldéier	d eː ʀ e l d e i̯ e ʀ
Däreldéier	d eː ʀ e l d e i̯ ʀ
Dëll	d e l
dëllen	d e l e n
Dëlpes	d ə l p e s
dëmpen	d e m p e n
dënn	d e n
dës	d e s
Dësch	d e ʃ
Dëschelduch	d e ʃ e l d u χ
Dëschtennis	d e ʃ t æ n i s
dësem	d e z e m
dësen	d e z e n
dëser	d e z e ʀ
dëst	d e s t
déck	d e k
Déckt	d e k t
déi	d e i̯
déi	d i
Déier	d e i̯ e ʀ
Déier	d e i̯ ʀ
déif	d e i̯ f
Déif	d e i̯ f
Déifferdeng	d e i̯ f e ʀ d e ŋ
Déift	d e i̯ f t
déijéineg	d e ɪ̯ ʁ e ɪ̯ n e χ
déngen	d e ŋ e n
Déngen	d e ŋ e n
Dénger	d e ŋ e ʀ
Déngscht	d e ŋ ʃ t
dösen	d øː z e n
E	æ
E	eː
E	ə
E	e
ech	e χ
Eck	æ k
Eckzant	æ k t s a n t
eddy	æ d i
Educatioun	eː d y k a t s j e u̯ n
Educatioun	eː d y k a s j e u̯ n
Ee	eː
Eech	eː χ
Eechel	eː χ e l
eechen	eː χ e n
Eed	eː t
eedel	eː d e l
Eedem	eː d e m
Eedemen	eː d e m e n
Eefeu	eː f ɔ ɪ
eegen	eː ʁ e n
Eegennumm	eː ʁ e n n u m
eegentlech	eː ʁ e n t l e χ
Eegiel	eː ɡ i e̯ l
eekelen	eː k e l e n
eeleft	eː l e f t
Eemer	eː m e ʀ
eemol	eː m oː l
eeneeëg	eː n eː e χ
eenegen	eː n e ʁ e n
Eenhar	eː n h aː ʀ
Eenhar	eː n h aː
eent	eː n t
eenzel	eː n t s e l
Eesch	eː ʃ
Eescht	eː ʃ t
eescht	eː ʃ t
Eess	eː s
eesäiteg	eː z æ i̯ t e χ
eeteren	eː t e ʀ e n
Eewäiss	eː v æ i̯ s
Eeër	eː e r
Eeërschuel	e e ʀ ʃ u e̯ l
Eeërstack	e e ʀ ʃ t a k
effikass	æ f i k a s
Ekipp	eː k i p
Ekipp	æ k i p
Elaboratioun	eː l a b o ʀ a t s j e u̯ n
Elaboratioun	eː l a b o ʀ a s j e u̯ n
Elch	æ l χ
Elefant	e l e f a n t
Elektriker	e l æ k t ʁ i k ɐ
eleng	e l æ ŋ
Elfebeen	æ l f e b eː n
ellen	æ l e n
ellent	æ l e n t
elo	e l o
Els	æ l s
Elteren	æ l t e ʀ e n
Elterenhaus	æ l t e ʀ e n h æ u̯ s
em	e m
Email	e m a i̯
Email	eː m a i̯
Emissioun	eː m i s j e u̯ n
Emissioun	e m i s j e u̯ n
endlech	æ n t l e χ
eneen	e n eː n
eng	æ ŋ
engem	æ ŋ e m
engen	æ ŋ e n
enger	æ ŋ e ʀ
engersäits	æ ŋ ɐ z æː ɪ̯ t͡s
England	æ ŋ l a n t
Englesch	æ ŋ l e ʃ
Englänner	æ ŋ l æ n e ʀ
enk	æ ŋ k
Enkel	æ ŋ k e l
Enkelin	æ ŋ k e l i n
Enn	æ n
enorm	e n o ʀ m
enregistréieren	ã ʀ e ʒ i s t ʀ e i̯ ʀ e n
entbannen	æ n t b a n e n
entbieren	æ n t b iː r e n
entdecken	æ n t d æ k e n
entfléien	æ n t f l e i̯ e n
entsat	æ n t z aː t
entschlofen	æ n t ʃ l oː f e n
Entschloss	æ n t ʃ l o s
entschléissen	æ n t ʃ l e i̯ s e n
entschëllegen	æ n t ʃ e l e ʁ e n
entschëllegt	æ n t ʃ e l e χ t
entsetzen	æ n t z æ t s e n
entspriechen	æ n t ʃ p ʀ i e̯ χ e n
entstoen	æ n t ʃ t oː ə n
entweeder	æ n t v eː d ɐ
entwëschen	æ n t v e ʃ e n
entwéckelen	æ n t v e k e l e n
Entwécklung	æ n t v e k l u ŋ
Entwécklungshëllef	æ n t v e k l u ŋ s h ə l ə f
Enveloppe	ã v l o p
Enveloppe	ã v e l o p
Epicier	e p i s j eː
Epidemie	e p i d e m iː
Epidemiolog	e p i d e m i o l oː k
Epidemiologie	e p i d e m i o l o ɡ iː
eppes	æ p e s
eraleeën	e ʀ a l e e n
erbaarmen	e ʀ b aː ʀ m e n
erbaarmen	e ʀ b aː m e n
Erbaarmen	e ʀ b aː ʀ m e n
Erbaarmen	e ʀ b aː m e n
Erfolleg	e r f o l e χ
Erfolleger	e r f o l e ʁ e r
erfrëschen	e ʀ f ʀ e ʃ e n
