Є	j ɛ
Аарґау	a ɐ r ɡ ɐ ʊ
Аахен	ɐ a x e n
Аба	ɐ b a
Абадан	ɐ b ɐ d a n
Абакан	ɐ b ɐ k a n
Абаїанг	ɐ b ɐ j i a n ɦ
Абрам	ɐ b r a m
Абруццо	ɐ b r u t͡sː ɔ
Абуджа	ɐ b u d͡ʒ ɐ
Абхазія	ɐ b x a zʲ i j ɐ
Августа	ɐ u̯ ɦ u s t ɐ
Августів	ɐ u̯ ɦ u sʲ tʲ i u̯
Авдіївка	ɐ u̯ dʲ i j i u̯ k ɐ
Аврам	ɐ u̯ r a m
Авраменко	ɐ u̯ r a m e n k ɔ
Аврорин	ɐ u̯ r ɔ r e n
Австралія	ɐ u̯ s t r a lʲ i j ɐ
Австрія	a u̯ s tʲ rʲ i j ɐ
Агафія	ɐ ɦ a fʲ i j ɐ
Агеєнко	ɐ ɦ ɛ j e n k ɔ
Агнеса	ɐ ɦ n ɛ s ɐ
Агри	ɐ ɦ r ɪ
Адам	ɐ d a m
Адаменко	ɐ d a m e n k ɔ
Адамович	ɐ d a m ɔ ʋ e t͡ʃ
Адана	ɐ d ɐ n a
Аджарія	ɐ d͡ʒ a rʲ i j ɐ
Адияман	ɐ d e j ɐ m a n
Адріан	ɐ dʲ rʲ i a n
Адріанович	ɐ dʲ rʲ i a n ɔ ʋ e t͡ʃ
Аерофлот	ɐ e r ɔ f ɫ ɔ t
Азербайджан	ɐ z e r b ɐ i̯ d͡ʒ a n
Азов	ɐ z ɔ u̯
Азію	a zʲ i j ʊ
Азія	a zʲ i j ɐ
Азіє	a zʲ i j e
Азією	a zʲ i j e j ʊ
Азії	a zʲ i j i
Айдаго	a i̯ d ɐ ɦ ɔ
Айдахо	a i̯ d ɐ x ɔ
Айова	a j ɔ ʋ ɐ
Аккра	a kː r ɐ
Алабама	ɐ ɫ ɐ b a m ɐ
Албанія	ɐ ɫ b a nʲ i j ɐ
Александрія	ɐ ɫ e k s ɐ n dʲ rʲ i j ɐ
Алжир	ɐ ɫ ʒ ɪ r
Алла	a ɫː ɐ
Аллах	ɐ ɫ a x
Аллах	ɐ ɫː a x
Аллаху	ɐ ɫː a x ʊ
Алмазна	ɐ ɫ m a z n ɐ
Алмати	ɐ ɫ m ɐ t ɪ
Алупка	ɐ ɫ u p k ɐ
Алушта	ɐ ɫ u ʃ t ɐ
Алчевськ	ɐ ɫ t͡ʃ ɛ u̯ sʲ k
Алчевщина	ɐ ɫ t͡ʃ ɛ u̯ ʃ t͡ʃ e n ɐ
Аляска	ɐ lʲ a s k ɐ
Аліна	ɐ lʲ i n ɐ
Алістер	a lʲ i s t e r
Амвросіївка	ɐ m w r ɔ sʲ i j i u̯ k ɐ
Америка	ɐ m ɛ r e k ɐ
Америкам	ɐ m ɛ r e k ɐ m
Америками	ɐ m ɛ r e k ɐ m e
Америках	ɐ m ɛ r e k ɐ x
Америки	ɐ m ɛ r e k e
Америко	ɐ m ɛ r e k ɔ
Америкою	ɐ m ɛ r e k ɔ j ʊ
Америку	ɐ m ɛ r e k ʊ
Америці	ɐ m ɛ r e t͡sʲ i
Амман	ɐ mː a n
Амстердам	ɐ m s t e r d a m
Амстердамові	ɐ m s t e r d a m ɔ ʋʲ i
Амстердамі	ɐ m s t e r d a mʲ i
Ананьїв	ɐ n a nʲ j i u̯
Анастасія	ɐ n ɐ s t ɐ sʲ i j ɐ
Анатолій	ɐ n ɐ t ɔ lʲ i i̯
Анатолійович	ɐ n ɐ t ɔ lʲ i j ɔ ʋ e t͡ʃ
Анатоліїв	ɐ n ɐ t ɔ lʲ i i̯
Ангеліна	ɐ n ɦ e lʲ i n ɐ
Англія	a n ɦ lʲ i j ɐ
Ангола	ɐ n ɦ ɔ ɫ ɐ
Андалусія	ɐ n d ɐ ɫ u sʲ i j ɐ
Андижан	ɐ n d e ʒ a n
Андорра	ɐ n d ɔ rː ɐ
Андрушівка	ɐ n d r u ʃʲ i u̯ k ɐ
Андріан	ɐ n dʲ rʲ i a n
Андрій	ɐ n dʲ rʲ i i̯
Андрійко	ɐ n dʲ rʲ i i̯ k ɔ
Андрійович	ɐ n dʲ rʲ i j ɔ ʋ e t͡ʃ
Андрієнко	ɐ n dʲ rʲ i j ɛ n k ɔ
Андріїв	ɐ n dʲ rʲ i j i u̯
Андріївна	ɐ n dʲ rʲ i j i u̯ n ɐ
Анжеліка	ɐ n ʒ e lʲ i k ɐ
Анкара	ɐ n k ɐ r a
Анкоридж	ɐ n k ɔ r e d͡ʒ
Анна	a nː ɐ
Антананаріву	ɐ n t ɐ n ɐ n ɐ rʲ i w ʊ
Антарктида	ɐ n t ɐ r k t ɪ d ɐ
Антарктиди	ɐ n t ɐ r k t ɪ d e
Антарктидо	ɐ n t ɐ r k t ɪ d ɔ
Антарктидою	ɐ n t ɐ r k t ɪ d ɔ j ʊ
Антарктиду	ɐ n t ɐ r k t ɪ d ʊ
Антарктиді	ɐ n t ɐ r k t ɪ dʲ i
Антверпен	ɐ n t ʋ ɛ r p e n
Антон	ɐ n t ɔ n
Антоненко	ɐ n t ɔ n ɛ n k ɔ
Антонович	ɐ n t ɔ n ɔ ʋ e t͡ʃ
Антоніна	ɐ n t o nʲ i n ɐ
Антрацит	ɐ n t r ɐ t͡s ɪ t
Антін	ɐ nʲ tʲ i n
Аполлон	ɐ p ɔ ɫː ɔ n
Апостолове	ɐ p ɔ s t ɔ ɫ ɔ ʋ e
Апулія	ɐ p u lʲ i j ɐ
Апіа	ɐ pʲ i ɐ
Аравія	ɐ r a ʋʲ i j ɐ
Аргентина	ɐ r ɦ e n t ɪ n ɐ
Арестович	ɐ r e s t ɔ ʋ e t͡ʃ
Аризона	ɐ r e z ɔ n ɐ
Арканзас	ɐ r k ɐ n z a s
Армянськ	ɐ r mʲ a nʲ sʲ k
Арсенів	ɐ r s ɛ nʲ i u̯
Арсеній	ɐ r s ɛ nʲ i i̯
Арсенійович	ɐ r s ɛ nʲ i j ɔ ʋ e t͡ʃ
Артем	ɐ r t ɛ m
Артемович	ɐ r t ɛ m ɔ ʋ e t͡ʃ
Артемівськ	ɐ r t ɛ mʲ i u̯ sʲ k
Артур	ɐ r t u r
Арфуш	ɐ r f u ʃ
Арциз	ɐ r t͡s ɪ z
Аріка	ɐ rʲ i k ɐ
Арістотель	ɐ rʲ i s t ɔ t e lʲ
Асмара	ɐ s m a r ɐ
Асмера	ɐ s m ɛ r ɐ
Ассирія	ɐ sː ɪ rʲ i j ɐ
Астана	ɐ s t ɐ n a
Астурія	ɐ s t u rʲ i j ɐ
Асунсьйон	ɐ s ʊ nʲ sʲ j ɔ n
Асія	ɐ sʲ i j ɐ
Ататюрк	ɐ t ɐ tʲ u r k
Атен	ɐ t ɛ n
Атена	ɐ t ɛ n ɐ
Атенам	ɐ t ɛ n ɐ m
Атенами	ɐ t ɛ n ɐ m e
Атенах	ɐ t ɛ n ɐ x
Атени	ɐ t ɛ n e
Афганістан	ɐ v ɦ ɐ nʲ i s t a n
Африки	a f r e k e
Африко	a f r e k ɔ
Африкою	a f r e k ɔ j ʊ
Африку	a f r e k ʊ
Африці	a f r e t͡sʲ i
Афродіта	ɐ f r o dʲ i t ɐ
Афіна	ɐ fʲ i n ɐ
Афіни	ɐ fʲ i n e
Ахілл	ɐ xʲ i ɫː
Ахіллес	ɐ xʲ i ɫː ɛ s
Ашгабат	ɐ ʒ ɦ ɐ b a t
Б	b
БМП	b e ɛ m p ɛ
Бабицький	b ɐ b ɪ t͡sʲ k e i̯
Бабич	b a b e t͡ʃ
Бабченко	b a b t͡ʃ e n k ɔ
Баварія	b ɐ ʋ a rʲ i j ɐ
Багдад	b ɐ ɦ d a d
Базиліката	b ɐ z e lʲ i k a t ɐ
Байрактар	b ɐ i̯ r ɐ k t a r
Баку	b ɐ k u
Балаклія	b ɐ ɫ ɐ k lʲ i j ɐ
Балта	b a ɫ t ɐ
Бамако	b ɐ m ɐ k ɔ
Банат	b a n ɐ t
Бангкок	b ɐ n ɦ k ɔ k
Бангладеш	b ɐ n ɦ ɫ ɐ d ɛ ʃ
Бангі	b a nʲ ɦʲ i
Бандера	b ɐ n d ɛ r ɐ
Банджул	b ɐ n d͡ʒ u ɫ
Банкова	b a n k ɔ ʋ ɐ
Бар	b a r
Баранівка	b ɐ r a nʲ i u̯ k ɐ
Барбадос	b ɐ r b a d ɔ s
Барвінкове	b ɐ r ʋʲ i n k ɔ ʋ e
Барселона	b ɐ r s e ɫ ɔ n ɐ
Баско	b ɐ s k ɔ
Бастер	b ɐ s t ɛ r
Батурин	b ɐ t u r e n
Батькович	b a tʲ k ɔ ʋ e t͡ʃ
Батьківна	b a tʲ kʲ i u̯ n ɐ
Бахмач	b a x m ɐ t͡ʃ
Бахмут	b a x m ʊ t
Бахмут	b ɐ x m u t
Бахмутщина	b a x m ʊ t ʃ t͡ʃ e n ɐ
Бахрейн	b ɐ x r ɛ i̯ n
Бахчисарай	b ɐ x t͡ʃ e s ɐ r a i̯
Баштанка	b ɐ ʃ t a n k ɐ
Баштанщина	b ɐ ʃ t a n ʃ t͡ʃ e n ɐ
Бейрут	b e i̯ r u t
Белград	b e ɫ ɦ r a d
Белз	b ɛ ɫ z
Бельгія	b ɛ lʲ ɦʲ i j ɐ
Бельмопан	b e lʲ m ɔ p a n
Беліз	b e lʲ i z
Белґрад	b e ɫ ɡ r a d
Бенілюкс	b e nʲ i lʲ u k s
Бенін	b e nʲ i n
Бенін	b ɛ nʲ i n
Бердичів	b e r d ɪ t͡ʃʲ i u̯
Бердичівщина	b e r d ɪ t͡ʃʲ i u̯ ʃ t͡ʃ e n ɐ
Бердянськ	b e r dʲ a nʲ sʲ k
Бердянщина	b e r dʲ a n ʃ t͡ʃ e n ɐ
Берегове	b ɛ r e ɦ ɔ ʋ e
Берегівщина	b ɛ r e ɦʲ i u̯ ʃ t͡ʃ e n ɐ
Бережани	b e r e ʒ a n e
Березань	b e r e z a nʲ
Березне	b e r ɛ z n e
Березовець	b e r e z ɔ ʋ ɛ t͡sʲ
Березівка	b e r e zʲ i u̯ k ɐ
Березівщина	b e r e zʲ i u̯ ʃ t͡ʃ e n ɐ
Берестечко	b e r e s t ɛ t͡ʃ k ɔ
Бересть	b ɛ r e sʲ tʲ
Берестя	b e r ɛ sʲ tʲ ɐ
Берислав	b e r e s ɫ a u̯
Берлін	b e r lʲ i n
Берн	b ɛ r n
Бершадь	b ɛ r ʃ ɐ dʲ
Бидгощ	b ɪ d ɦ ɔ ʃ t͡ʃ
Благовіщенське	b ɫ ɐ ɦ ɔ ʋʲ i ʃ t͡ʃ e nʲ sʲ k e
Близнюк	b ɫ e zʲ nʲ u k
Блощинці	b ɫ ɔ ʃ t͡ʃ e nʲ t͡sʲ i
Боб	b ɔ b
Бобринець	b ɔ b r e n e t͡sʲ
Бобровиця	b ɔ b r ɔ ʋ e t͡sʲ ɐ
Богдан	b ɔ ɦ d a n
Богдан	b ɔ ɦ d ɐ n
Богдана	b ɔ ɦ d a n ɐ
Богданенко	b ɔ ɦ d ɐ n ɛ n k ɔ
Богданович	b ɔ ɦ d a n ɔ ʋ e t͡ʃ
Богемія	b ɔ ɦ ɛ mʲ i j ɐ
Богодухів	b ɔ ɦ o d u xʲ i u̯
Богодухівщина	b ɔ ɦ o d u xʲ i u̯ ʃ t͡ʃ e n ɐ
Богородиця	b ɔ ɦ ɔ r ɔ d e t͡sʲ ɐ
Богота	b ɔ ɦ ɔ t a
Богуслав	b ɔ ɦ ʊ s ɫ a u̯
Бойко	b ɔ i̯ k ɔ
Болгарію	b ɔ ɫ ɦ a rʲ i j ʊ
Болгарія	b ɔ ɫ ɦ a rʲ i j ɐ
Болгаріє	b ɔ ɫ ɦ a rʲ i j e
Болгарією	b ɔ ɫ ɦ a rʲ i j e j ʊ
Болгарії	b ɔ ɫ ɦ a rʲ i j i
Болград	b ɔ ɫ ɦ r a d
Болградщина	b ɔ ɫ ɦ r a d ʃ t͡ʃ e n ɐ
Болехів	b ɔ ɫ ɛ xʲ i u̯
Болівія	b o lʲ i ʋʲ i j ɐ
Бондаренко	b ɔ n d ɐ r ɛ n k ɔ
Бондарчук	b ɔ n d ɐ r t͡ʃ u k
Боневтік	b ɔ n e u̯ tʲ i k
Борзна	b ɔ r z n a
Борис	b ɔ r ɪ s
Борислав	b ɔ r e s ɫ a u̯
Борисович	b ɔ r ɪ s ɔ ʋ e t͡ʃ
Бориспіль	b ɔ r ɪ sʲ pʲ i lʲ
Бориспільщина	b ɔ r ɪ sʲ pʲ i lʲ ʃ t͡ʃ e n ɐ
Борисівна	b ɔ r ɪ sʲ i u̯ n ɐ
Борщів	b o r ʃ t͡ʃʲ i u̯
Боснія	b ɔ sʲ nʲ i j ɐ
Бостон	b ɔ s t ɔ n
Ботсвана	b ɔ t͡s ʋ a n ɐ
Боярка	b ɔ j ɐ r k ɐ
Браззавіль	b r ɐ zː ɐ ʋʲ i lʲ
Бразиліа	b r ɐ z ɪ lʲ i ɐ
Бразилія	b r ɐ z ɪ lʲ i j ɐ
Брайтон	b r a i̯ t ɔ n
Бранденбург	b r a n d e n b ʊ r ɦ
Бранденбург	b r ɐ n d e n b u r ɦ
Братислава	b r ɐ t e s ɫ a ʋ ɐ
Братислави	b r ɐ t e s ɫ a ʋ e
Братиславо	b r ɐ t e s ɫ a w ɔ
Братиславою	b r ɐ t e s ɫ a w ɔ j ʊ
Братиславу	b r ɐ t e s ɫ a w ʊ
Братиславі	b r ɐ t e s ɫ a ʋʲ i
Брацлав	b r ɐ t͡s ɫ a u̯
Бремен	b r ɛ m e n
Брест	b r ɛ s t
Бретань	b r e t a nʲ
Бриджтаун	b r e d͡ʒ t a ʊ n
Британія	b r e t a nʲ i j ɐ
Брно	b r n ɔ
Бровари	b r ɔ ʋ ɐ r ɪ
Броварщина	b r ɔ ʋ ɐ r ʃ t͡ʃ ɪ n ɐ
Броди	b r ɔ d e
Броніслав	b r ɔ nʲ i s ɫ a u̯
Броніслава	b r ɔ nʲ i s ɫ a ʋ ɐ
Бруней	b r ʊ n ɛ i̯
Брянка	b rʲ a n k ɐ
Брянськ	b rʲ a nʲ sʲ k
Будапешт	b ʊ d ɐ p ɛ ʃ t
Будапешта	b ʊ d ɐ p ɛ ʃ t ɐ
Будапеште	b ʊ d ɐ p ɛ ʃ t e
Будапештові	b ʊ d ɐ p ɛ ʃ t ɔ ʋʲ i
Будапештом	b ʊ d ɐ p ɛ ʃ t ɔ m
Будапешту	b ʊ d ɐ p ɛ ʃ t ʊ
Будапешті	b ʊ d ɐ p ɛ ʃ tʲ i
Будда	b u dː ɐ
Бужумбура	b ʊ ʒ ʊ m b u r ɐ
Буковина	b ʊ k ɔ ʋ ɪ n ɐ
Бунге	b u n ɦ e
Буринь	b ʊ r ɪ nʲ
Бурса	b u r s ɐ
Бурунді	b ʊ r u nʲ dʲ i
Бурштин	b ʊ r ʃ t ɪ n
Буськ	b u sʲ k
Бутан	b ʊ t a n
Буття	b ʊ tʲː a
Бухара	b ʊ x ɐ r a
Бухарест	b ʊ x ɐ r ɛ s t
Бухареста	b ʊ x ɐ r ɛ s t ɐ
Бухаресте	b ʊ x ɐ r ɛ s t e
Бухарестові	b ʊ x ɐ r ɛ s t ɔ ʋʲ i
Бухарестом	b ʊ x ɐ r ɛ s t ɔ m
Бухаресту	b ʊ x ɐ r ɛ s t ʊ
Бухаресті	b ʊ x ɐ r ɛ sʲ tʲ i
Буча	b u t͡ʃ ɐ
Бучанщина	b ʊ t͡ʃ a n ʃ t͡ʃ e n ɐ
Бучач	b u t͡ʃ ɐ t͡ʃ
Бєдняков	bʲ e dʲ nʲ ɐ k ɔ u̯
Біблія	bʲ i b lʲ i j ɐ
Бібрка	bʲ i b r k ɐ
Білгород	bʲ i ɫ ɦ ɔ r ɔ d
Білград	bʲ i ɫ ɦ r a d
Білицьке	bʲ i ɫ e t͡sʲ k e
Білогірськ	bʲ i ɫ o ɦʲ i r sʲ k
Білодід	bʲ i ɫ o dʲ i d
Білозерське	bʲ i ɫ ɔ z ɛ r sʲ k e
Білопілля	bʲ i ɫ o pʲ i lʲː ɐ
Білорусе	bʲ i ɫ o r u s e
Білоруси	bʲ i ɫ o r u s e
Білоруссю	bʲ i ɫ o r u sʲː ʊ
Білорусь	bʲ i ɫ o r u sʲ
Білорусі	bʲ i ɫ o r u sʲ i
Білосніжка	bʲ i ɫ o sʲ nʲ i ʒ k ɐ
Білосток	bʲ i ɫ ɔ s t ɔ k
Білоцерківщина	bʲ i ɫ ɔ t͡s e r kʲ i u̯ ʃ t͡ʃ e n ɐ
Біляївка	bʲ i lʲ a j i u̯ k ɐ
Білґрад	bʲ i ɫ ɡ r a d
Бісау	bʲ i s a ʊ
Бішкек	bʲ i ʃ k ɛ k
В	ʋ
В'ячеслав	ʋ j ɐ t͡ʃ e s ɫ a u̯
В'ячеслава	ʋ j ɐ t͡ʃ e s ɫ a ʋ ɐ
В'ячеславович	ʋ j ɐ t͡ʃ e s ɫ a w ɔ ʋ e t͡ʃ
В'єнтьян	ʋ j e nʲ tʲ j a n
В'єтнам	ʋ j e t n a m
ВІЛ	ʋʲ i ɫ
Вадим	ʋ ɐ d ɪ m
Вадуц	ʋ a d ʊ t͡s
Вайомінг	ʋ ɐ j ɔ mʲ i n ɦ
Вайомінґ	ʋ ɐ j ɔ mʲ i n ɡ
Вайтгорс	ʋ a i̯ d ɦ ɔ r s
Валентин	ʋ ɐ ɫ e n t ɪ n
Валентина	ʋ ɐ ɫ e n t ɪ n ɐ
Валки	ʋ a ɫ k e
Валлетта	ʋ ɐ ɫː ɛ tː ɐ
Ван	ʋ a n
Ванкувер	ʋ ɐ n k u ʋ e r
Вануату	ʋ ɐ n ʊ a t ʊ
Вараш	ʋ ɐ r a ʃ
Варварин	ʋ ɐ r ʋ a r e n
Варфоломій	ʋ ɐ r f ɔ ɫ o mʲ i i̯
Варшава	ʋ ɐ r ʃ a ʋ ɐ
Варшави	ʋ ɐ r ʃ a ʋ e
Варшаво	ʋ ɐ r ʃ a w ɔ
Варшавою	ʋ ɐ r ʃ a w ɔ j ʊ
Варшаву	ʋ ɐ r ʃ a w ʊ
Варшаві	ʋ ɐ r ʃ a ʋʲ i
Василенко	ʋ ɐ s e ɫ ɛ n k ɔ
Василь	ʋ ɐ s ɪ lʲ
Васильків	ʋ ɐ s e lʲ kʲ i u̯
Васильович	ʋ ɐ s ɪ lʲ ɔ ʋ e t͡ʃ
Василівка	ʋ ɐ s ɪ lʲ i u̯ k ɐ
Ватикан	ʋ ɐ t ɪ k ɐ n
Ватутіне	ʋ ɐ t u tʲ i n e
Вахрушеве	ʋ a x r ʊ ʃ e ʋ e
Вашингтон	ʋ ɐ ʃ e n ɦ t ɔ n
Вашинґтон	ʋ ɐ ʃ e n ɡ t ɔ n
Вашківці	ʋ a ʃ kʲ i u̯ t͡sʲ i
Великдень	ʋ e ɫ ɪ ɡ d e nʲ
Великобританія	ʋ e ɫ e k ɔ b r e t a nʲ i j ɐ
Велиґдень	ʋ e ɫ ɪ ɡ d e nʲ
Веллінгтон	ʋ ɛ lʲː i n ɦ t ɔ n
Венера	ʋ e n ɛ r ɐ
Венесуела	ʋ e n e s ʊ ɛ ɫ ɐ
Венето	ʋ ɛ n e t ɔ
Венеція	ʋ e n ɛ t͡sʲ i j ɐ
Вербицький	ʋ e r b ɪ t͡sʲ k e i̯
Вербниця	ʋ ɛ r b n e t͡sʲ ɐ
Вермонт	ʋ e r m ɔ n t
Вернадський	ʋ e r n a d͡zʲ sʲ k e i̯
Вероніка	ʋ e r o nʲ i k ɐ
Веронічин	ʋ e r o nʲ i t͡ʃ e n
Верхньодніпровськ	ʋ e r x nʲ ɔ dʲ nʲ i p r ɔ u̯ sʲ k
Верховина	ʋ e r x ɔ ʋ ɪ n ɐ
Верховинщина	ʋ e r x ɔ ʋ ɪ n ʃ t͡ʃ e n ɐ
Верхогляд	ʋ e r x ɔ ɦ lʲ a d
Верхівцеве	ʋ e r xʲ i u̯ t͡s e ʋ e
Веста	ʋ ɛ s t ɐ
Ви	ʋ ɪ
Вижниця	ʋ ɪ ʒ n e t͡sʲ ɐ
Вилкове	ʋ ɪ ɫ k ɔ ʋ e
Винники	ʋ ɪ nː e k e
Виноградів	ʋ e n ɔ ɦ r a dʲ i u̯
Вифлеєм	ʋ e f ɫ e j ɛ m
Вишгород	ʋ ɪ ʒ ɦ ɔ r ɔ d
Вишгородщина	ʋ ɪ ʒ ɦ ɔ r ɔ d ʃ t͡ʃ e n ɐ
Вишневе	ʋ e ʃ n ɛ ʋ e
Вкраїна	ʍ k r ɐ j i n ɐ
Влад	w ɫ a d
Влада	w ɫ a d ɐ
Владислав	w ɫ ɐ d e s ɫ a u̯
Владислава	w ɫ ɐ d e s ɫ a ʋ ɐ
Владиславович	w ɫ ɐ d e s ɫ a w ɔ ʋ e t͡ʃ
Владиславів	w ɫ ɐ d e s ɫ a ʋʲ i u̯
Владів	w ɫ a dʲ i u̯
Вовчанськ	w ɔ u̯ t͡ʃ a nʲ sʲ k
Вознесенськ	w ɔ z n e s ɛ nʲ sʲ k
Вознесенівка	w ɔ z n e s ɛ nʲ i u̯ k ɐ
Волгін	w ɔ lʲ ɦʲ i n
Волгіна	w ɔ lʲ ɦʲ i n ɐ
Волинь	w ɔ ɫ ɪ nʲ
Волноваха	w ɔ ɫ n ɔ ʋ a x ɐ
Володимир	w ɔ ɫ ɔ d ɪ m e r
Володимира	w ɔ ɫ ɔ d ɪ m e r ɐ
Володимиренко	w ɔ ɫ ɔ d e m e r ɛ n k ɔ
Володимирович	w ɔ ɫ ɔ d ɪ m e r ɔ ʋ e t͡ʃ
Володимирівна	w ɔ ɫ ɔ d ɪ m e rʲ i u̯ n ɐ
Володя	w ɔ ɫ ɔ dʲ ɐ
Волочиськ	w ɔ ɫ ɔ t͡ʃ ɪ sʲ k
Волошин	w ɔ ɫ ɔ ʃ e n
Волощина	w ɔ ɫ ɔ ʃ t͡ʃ e n ɐ
Ворожба	w ɔ r ɔ ʒ b a
Ворошиловград	w ɔ r ɔ ʃ e ɫ ɔ u̯ ɦ r a d
Вроцлав	w r ɔ t͡s ɫ ɐ u̯
Всеволод	ʍ s ɛ w ɔ ɫ ɔ d
Вуглегірськ	w ʊ ɦ ɫ e ɦʲ i r sʲ k
Вугледар	w ʊ ɦ ɫ e d a r
Вулкан	w ʊ ɫ k a n
Вякін	ʋʲ a kʲ i n
Вівдя	ʋʲ i u̯ dʲ ɐ
Відень	ʋʲ i d e nʲ
Відродження	ʋʲ i d r ɔ d͡ʒ e nʲː ɐ
Візантій	ʋʲ i z a nʲ tʲ i i̯
Візантія	ʋʲ i z a nʲ tʲ i j ɐ
Візантія	ʋʲ i z ɐ nʲ tʲ i j ɐ
Вікно	ʋʲ i k n ɔ
