Aada	ɑː d̥ ɑ
Sarajevo	s ɑ r ɑ̈ j e v o
Sevilla	s e v i lʲ j ɑ̈
Sloveenia	s l o v eː nʲ i ɑ̯
Sofia	s o fˑ i ɑ̯
Soome	s oː m e̞
Stella	s t e lː ɑ
Stockholm	s t o kː h o l m
Tatevosjan	t ɑ tˑ e v o sʲ j ɑ̈ n
Torino	t o r iː n o
Vaduz	f ɑ d̥ uː t s
Varssavi	v ɑ r sː ɑ v i
Vikisõnaraamat	v i kˑ i s ɤ n ɑ r ɑˑ m ɑ tˑ
Vjatšeslav	v j ɑ̈ t ʃ e s l ɑ v
Wales	v e i̯ l s
Zagreb	z ɑː ɡ̊ r e b̥
aabits	ɑˑ b̥ i t s
aadress	ɑː d̥ r e sʲː
aaker	ɑː kː e r
aam	ɑː m
aamissepp	ɑˑ m i s s e pː
aare	ɑˑ r e̞
aas	ɑː s
aasia	ɑː sʲ i ɑ̯
aasta	ɑː s t ɑ
aastaaeg	ɑː s t ɑ ɑ e̯ ɡ̊
aastal	ɑː s t ɑ l
aastapäev	ɑː s t ɑ p æ e̯ v
aastasada	ɑː s t ɑ s ɑ d̥ ɑ
aastat	ɑː s t ɑ tˑ
aatelik	ɑː tː e lʲ i kˑ
abielulahutus	ɑ b̥ i e l u l ɑ ɦ u tˑ u s
ablas	ɑ b̥ l ɑ s
absoluutne	ɑ b̥ s o l uː t n e̞
adekvaatne	ɑ d̥ e k v ɑː t n e̞
adjektiiv	ɑ d̥ʲ j e k tʲ iː v
adru	ɑ d̥ r u
adverb	ɑ d̥ v e r b̥
adverbiline	ɑ d̥ v e r b̥ i lʲ i n e̞
advokaat	ɑ d̥ v o k ɑː tˑ
advokaat	ɑ d̥ v o kˑ ɑː tˑ
aeg	ɑ e̯ ɡ̊
aeglane	ɑ e̯ ɡ̊ l ɑ n e̞
aeglaselt	ɑ e̯ ɡ̊ l ɑ s e l tˑ
aeglasemalt	ɑ e̯ ɡ̊ l ɑ s e m ɑ l tˑ
aevastama	ɑ e̯ v ɑ s t ɑ m ɑ
agar	ɑ ɡ̊ ɑ r
ahas	ɑ ɦ ɑ s
ahav	ɑ ɦ ɑ v
aher	ɑ ɦ e r
ahhaat	ɑ hː ɑː tˑ
ahm	ɑ hˑ m̥
ahmima	ɑ h m i m ɑ
ahne	ɑ h n e̞
ahu	ɑ ɦ u
aiamaa	ɑ i̯ ɑ m ɑː
aiapiire	ɑ i̯ ɑ p iˑ r e̞
aidata	ɑ i̯ d̥ ɑ tˑ ɑ
aine	ɑ i̯ n e̞
ainus	ɑ i̯ n u s
ait	ɑ i̯ tˑ
aita	ɑ i̯ tˑ ɑ
aituma	ɑ i̯ t u m ɑ
aitäh	ɑ i̯ t æ h
aitüma	ɑ i̯ t y m ɑ
ajaja	ɑ̈ j ɑ̈ j ɑ̈
ajakiri	ɑ̈ j ɑ̈ k i r i
ajakirjandus	ɑ̈ j ɑ̈ k i r j ɑ̈ n d̥ u s
ajakirjanik	ɑ̈ j ɑ̈ k i r j ɑ̈ nʲ i kˑ
ajalugu	ɑ̈ j ɑ̈ l u ɡ̊ u
ajapiirang	ɑ̈ j ɑ̈ p iˑ r ɑ ŋ ɡ̊
ajukasvaja	ɑ̈ j ü k ɑ s v ɑ̈ j ɑ̈
akronüüm	ɑ k r o n yː m
aktiveerima	ɑ kˑ tʲ i v eː r i m ɑ
aktsiaturg	ɑ kˑ t sʲ i ɑ̯ t u r ɡ̊
akvaarium	ɑ k v ɑː r i u̯ m
alalõualuu	ɑ l ɑ l ɤ u̯ ɑ l uː
alalõug	ɑ l ɑ l ɤ u̯ ɡ̊
alates	ɑ l ɑ tˑ e s
aldehüüd	ɑ l d̥ e h yː d̥
algskandinaavia	ɑ l ɡ̊ s k ɑ n d̥ʲ i n ɑː v i ɑ̯
alk	ɑ lʲ kˑ
alkohol	ɑ l k o ɦ o l
alkoholikauplus	ɑ l k o ɦ o lʲ i k ɑ u̯ p l u s
alkoholism	ɑ l k o ɦ o lʲ i sˑ m̥
alkoholivaba	ɑ l k o ɦ o lʲ i v ɑ b̥ ɑ
alkohoolne	ɑ l k o h oː l n e̞
allergiline	ɑ lː e r ɡ̊ i lʲ i n e̞
alustama	ɑ l u s t ɑ m ɑ
ambuma	ɑ m b̥ u m ɑ
ametlik	ɑ m e t lʲ i kˑ
ammuma	ɑ mː u m ɑ
amulett	ɑ m u l e tʲː
amööb	ɑ m øː b̥
analüüs	ɑ n ɑ l yː s
analüüsima	ɑ n ɑ l yː sʲ i m ɑ
anarhism	ɑ n ɑ r h i sˑ m̥
and	ɑ nʲ d̥
anda	ɑ n d̥ ɑ
andis	ɑ nʲ d̥ʲ i s
andma	ɑ n d̥ m ɑ
andmebaas	ɑ n d̥ m e b̥ ɑː s
andmebaas	ɑ n d̥ m e b̥ ɑː sʲ
antisemitism	ɑ n tʲ i s e m i tʲˑ i sˑ m̥
antonüüm	ɑ n t o n yː m
antonüümne	ɑ n t o n yː m n e̞
antud	ɑ n t u d̥
apelsinimahl	ɑ pˑ e l sʲ i nʲ i m ɑ hˑ l̥
aplus	ɑ p l u s
apteek	ɑ pˑ t eː kˑ
apteek	ɑː pˑ t eː kˑ
arbuus	ɑ r b̥ uː s
areng	ɑ r e ŋ ɡ̊
arheoloogia	ɑ r h e o̯ l oː ɡ̊ i ɑ̯
armastus	ɑ r m ɑ s t u s
armee	ɑ r m eː
artišokk	ɑ r tʲ i ʃ o kː
arukus	ɑ r u kˑ u s
arutleja	ɑ r u t l e j ɑ̈
arvelaud	ɑ r v e l ɑ u̯ d̥
arvukas	ɑ r v u kˑ ɑ s
arvutiviirus	ɑ r v u tʲˑ i v iː r u s
asi	ɑ sʲ i
asjatundja	ɑ sʲ j ɑ̈ t u nʲ d̥ʲ j ɑ̈
astenosfäär	ɑ s t e n o s f æː r
asteroid	ɑ s t e r o i̯ d̥
astmevaheldus	ɑ s t m e v ɑ ɦ e l d̥ u s
atmosfäär	ɑ t m o s f æː r
autism	ɑ u̯ tʲ i sˑ m̥
auto	ɑ u̯ tˑ o
autobuss	ɑ u̯ tˑ o b̥ u sʲː
autobussijaam	ɑ u̯ tˑ o b̥ u sˑ i j ɑ̈ː m
automaatne	ɑ u̯ tˑ o m ɑː t n e̞
avalik	ɑ v ɑ lʲ i kˑ
b	b̥
b	b̥ eː
baar	b̥ ɑː r
baklažaan	b̥ ɑ k l ɑ ʒ ɑː n
ballett	b̥ ɑ lː e tʲː
barrikaad	b̥ ɑ rː i k ɑː d̥
barrikaad	b̥ ɑ rː i kˑ ɑː d̥
berdõšš	b̥ e r d̥ ɤ ʃː
biblioteek	b̥ i b̥ lʲ i o̯ tˑ eː kˑ
bioloogia	b̥ i o̯ l oː ɡ̊ i ɑ̯
botaanika	b̥ o t ɑː nʲ i kˑ ɑ
buss	b̥ u sʲː
bussijaam	b̥ u sˑ i j ɑ̈ː m
bürokraatia	b̥ y r o k r ɑː tʲ i ɑ̯
c	t s eː
d	d̥ eː
davai	d̥ ɑ v ɑ i̯
davai	t ɑ v ɑ i̯
delegatsioon	d̥ e l e ɡ̊ ɑ t sʲ j oː n
delfiin	d̥ e lʲ f iː n
demograafia	d̥ e m o ɡ̊ r ɑː f i ɑ̯
demokraat	d̥ e m o k r ɑː tˑ
demokraatia	d̥ e m o k r ɑː tʲ i ɑ̯
demokraatlik	d̥ e m o k r ɑː t lʲ i kˑ
depressioon	d̥ e p r e sʲː i o̯ː n
desovetiseerimine	d̥ e s o v e tʲˑ i s eː r i m i n e̞
dialoog	d̥ʲ i ɑ̯ l oː ɡ̊
digiraamat	d̥ʲ i ɡ̊ i r ɑˑ m ɑ tˑ
diivan	d̥ʲ iː v ɑ n
diplomaat	d̥ʲ i p l o m ɑː tˑ
diplomaatiline	d̥ʲ i p l o m ɑː tʲ i lʲ i n e̞
dušš	d̥ u ʃː
džemm	d̥ ʒ e mː
džemper	d̥ ʒ e m p e r
džihaad	d̥ ʒ i h ɑː d̥
džäss	d̥ ʒ æ sː
e	eː
ebaõnn	e b̥ ɑ ɤ nʲː
eeden	eː d̥ e n
eesmärk	eː s m æ r kˑ
eesti	eˑ s tʲ i
eestimaalane	eˑ s tʲ i m ɑː l ɑ n e̞
eha	e ɦ ɑ
ehitus	e ɦ i tˑ u s
ehk	e h k
ekraan	e k r ɑː n
ekspert	e k s p e r tˑ
elamu	e l ɑ m u
elekter	e l e kˑ t e r
elektri	e l e kˑ t r i
elektrigeneraator	e l e kˑ t r i ɡ̊ e n e r ɑː tː o r
elektrijalgratas	e l e kˑ t r i j ɑ̈ l ɡ̊ r ɑ tˑ ɑ s
elulugu	e l u l u ɡ̊ u
emakas	e m ɑ kˑ ɑ s
enam	e n ɑ m
endale	e n d̥ ɑ l e̞
endisaeg	e nʲ d̥ʲ i s ɑ e̯ ɡ̊
endisaegne	e nʲ d̥ʲ i s ɑ e̯ ɡ̊ n e̞
energia	e n e r ɡ̊ i ɑ̯
enesepiiramine	e n e s e p iː r ɑ m i n e̞
ennast	e nˑ ɑ s t
enne	e nː e̞
enne	e nˑ e̞
entsüklopeedia	e n t s y k l o p eː d̥ʲ i ɑ̯
epideemia	e pˑ i d̥ eː m i ɑ̯
erakond	e r ɑ kˑ o n d̥
eraldama	e r ɑ l d̥ ɑ m ɑ
eramu	e r ɑ m u
erektsioon	e r e kˑ t sʲ j oː n
eritlus	e r i t l u s
eriväed	e r i v æ e̯ d̥
eriüksus	e r i y k s u s
esimees	e sʲ i m eː s
esimene	e sʲ i m e n e̞
esiteks	e sʲ i tˑ e k s
esmaspäev	e s m ɑ s p æ e̯ v
ettepanek	e tː e pˑ ɑ n e kˑ
ettevaatlik	e tː e v ɑː t lʲ i kˑ
ettevõte	e tː e v ɤ tˑ e̞
eufooria	e u̯ f oː r i ɑ̯
euro	e u̯ r o
eutanaasia	e u̯ tˑ ɑ n ɑː sʲ i ɑ̯
f	e fː
feminiin	f e m i nʲ iː n
feminiinne	f e m i nʲ iː nː e̞
feminiinum	f e m i nʲ iː n u m
festival	f e s tʲ i v ɑ l
filosoofia	f i l o s oː f i ɑ̯
filosoofia	f i l o s s oː f i ɑ̯
foobia	f oː b̥ i ɑ̯
fotoka	f o tˑ o k ɑ
fotokas	f o tˑ o k ɑ s
fotokat	f o tˑ o k ɑ tˑ
fotorealistlik	f o tˑ o r e ɑ̯ lʲ i s t lʲ i kˑ
g	ɡ̊ eː
gaas	k ɑː s
gangster	ɡ̊ æ ŋ ɡ̊ s t e r
gangster	ɡ̊ ɑ ŋ ɡ̊ s t e r
generaator	ɡ̊ e n e r ɑː tː o r
genotsiid	ɡ̊ e n o t sʲ iː d̥
geograafia	ɡ̊ e o̯ ɡ̊ r ɑː f i ɑ̯
geoloogia	ɡ̊ e o̯ l oː ɡ̊ i ɑ̯
giid	ɡ̊ iː d̥
gnoomon	ɡ̊ n oː m o n
grammatika	ɡ̊ r ɑ m m ɑ tʲˑ i k ɑ
h	h ɑ ʃː
h	h ɑː
haak	h ɑː kˑ
haarama	h ɑː r ɑ m ɑ
habemeajaja	h ɑ b̥ e m e ɑ̈ j ɑ̈ j ɑ̈
haigla	h ɑ i̯ ɡ̊ l ɑ
hakka	h ɑ kː ɑ
hakkas	h ɑ kː ɑ s
haldjas	h ɑ l d̥ʲ j ɑ̈ s
hall	h ɑ lʲː
hall	h ɑ lː
hambapasta	h ɑ m b̥ ɑ p ɑ s t ɑ
hamburger	h ɑ m b̥ u r ɡ̊ e r
hammas	h ɑ mˑ ɑ s
hansalinn	h ɑ n s ɑ lʲ i nː
harakas	h ɑ r ɑ kˑ ɑ s
harilikult	h ɑ r i lʲ i kˑ u l tˑ
haugas	h ɑ u̯ ɡ̊ ɑ s
hea	h e ɑ̯
hele	h e l e̞
heleda	h e l e d̥ ɑ
helisema	h e lʲ i s e m ɑ
hernes	h e r n e s
hiiglane	h iː ɡ̊ l ɑ n e̞
hiljuti	h i lʲ j ü tʲˑ i
hiljutine	h i lʲ j ü tʲˑ i n e̞
hingama	h i ŋ ɡ̊ ɑ m ɑ
hinnang	h i nˑ ɑ ŋ ɡ̊
hirm	h i r m
hirv	h i r v
hitt	h i tʲː
hitt	h i tː
hobuseraua	h o b̥ u s e r ɑ u̯ ɑ
hobuseraud	h o b̥ u s e r ɑ u̯ d̥
homme	h o mː e̞
hommikuti	h o mː i kˑ u tʲ i
hoog	h oː ɡ̊
hoomama	h oː m ɑ m ɑ
huligaan	h u lʲ i ɡ̊ ɑː n
hundikutsikas	h u nʲ d̥ʲ i k u t sʲ i kˑ ɑ s
hussiit	h u s sʲ iː tˑ
häbemekink	h æ b̥ e m e k i ŋ kˑ
hädasignaal	h æ d̥ ɑ sʲ i ɡ̊ n ɑː l
hämu	h æ m u
hävitama	h æ v i tˑ ɑ m ɑ
hää	h æː
hääl	h æː l
hõim	h ɤ i̯ m
hõljum	h ɤ lʲ j ü m
hõljumiteadus	h ɤ lʲ j ü m i t e ɑ̯ d̥ u s
hõre	h ɤ r e̞
hütt	h y tʲː
hüva	h y v ɑ
hüüumärk	h y i̯ u̯ m æ r kˑ
igapäevane	i ɡ̊ ɑ p æ e̯ v ɑ n e̞
igatahes	i ɡ̊ ɑ t ɑ ɦ e s
igaüks	i ɡ̊ ɑ y k s
ikka	i kː ɑ
ilu	i l u
ime	i m e̞
imetama	i m e tˑ ɑ m ɑ
implosioon	i m p l o sʲ i o̯ː n
ingel	i ŋ ɡ̊ e l
ingelinvestor	i ŋ ɡ̊ e lʲ i n v e s t o r
inhibiitor	i n h i b̥ iː tː o r
instituut	i n s tʲ i t t uː tˑ
instituut	i n s tʲ i tˑ uː tˑ
intellekt	i n t e lː e kˑ t
intelligents	i n t e lʲː i ɡ̊ e n t s
invasioon	i n v ɑ sʲ i o̯ː n
iva	i v ɑ
jaam	j ɑ̈ː m
jaanalind	j ɑ̈ˑ n ɑ lʲ i n d̥
jaaniuss	j ɑ̈ˑ nʲ i u sʲː
jah	j ɑ̈ h
jahe	j ɑ̈ ɦ e̞
jahtima	j ɑ̈ h tʲ i m ɑ
jaoks	j ɑ̈ o̯ k s
jidiš	j i d̥ʲ i ʃ
joom	j oː m
jooma	j oː m ɑ
jooma	j oˑ m ɑ
jootraha	j oː t r ɑ ɦ ɑ
juba	j ü b̥ ɑ
jumalaga	j ü m ɑ l ɑ ɡ̊ ɑ
jutt	j ü tː
juttu	j ü tː u
jutu	j ü tˑ u
juurima	j üː r i m ɑ
järgmine	j æ r ɡ̊ m i n e̞
jää	j æː
jääaeg	j æː ɑ e̯ ɡ̊
jääkülm	j æː k y lʲ m
jäämägi	j æː m æ ɡ̊ i
jääpurikas	j æː p u r i kˑ ɑ s
jäätama	j æː tˑ ɑ m ɑ
jäätis	j æː tˑ i s
jäätisemasin	j æː tʲ i s e m ɑ sʲ i n
jäätuma	j æː tˑ u m ɑ
jõgi	j ɤ ɡ̊ i
jõudma	j ɤ u̯ d̥ m ɑ
kaaren	k ɑː r e n
kaas	k ɑː s
kaassõna	k ɑː s s ɤ n ɑ
kabeljoo	k ɑ b̥ e lʲ j oː
kadakasakslane	k ɑ d̥ ɑ kˑ ɑ s ɑ k s l ɑ n e̞
kafkalik	k ɑ f k ɑ lʲ i kˑ
kahekesi	k ɑ ɦ e kˑ e sʲ i
kaheksa	k ɑ ɦ e k s ɑ
kaheksateistkümnene	k ɑ ɦ e k s ɑ t e i̯ s t k y m n e n e̞
kaheksateistkümnes	k ɑ ɦ e k s ɑ t e i̯ s t k y m n e s
kahju	k ɑ h j ü
kaitseraud	k ɑ i̯ t s e r ɑ u̯ d̥
kaja	k ɑ̈ j ɑ̈
kajama	k ɑ̈ j ɑ̈ m ɑ
kaks	k ɑ k s
kalamari	k ɑ l ɑ m ɑ r i
kalamees	k ɑ l ɑ m eː s
kalender	k ɑ l e n d̥ e r
kampsun	k ɑ m p s u n
kana	k ɑ n ɑ
kanamuna	k ɑ n ɑ m u n ɑ
kandela	k ɑ n d̥ e l ɑ
kanep	k ɑ n e pˑ
kaotus	k ɑ o̯ tˑ u s
kapuuts	k ɑ p uː t s
karask	k ɑ r ɑ s k
karusmari	k ɑ r u s m ɑ r i
kasin	k ɑ sʲ i n
kaskadöör	k ɑ s k ɑ d̥ øː r
kassikakk	k ɑ sˑ i k ɑ kː
kasvaja	k ɑ s v ɑ̈ j ɑ̈
keel	k eː l
keskpäev	k e s k p æ e̯ v
kihisema	k i ɦ i s e m ɑ
kihk	k i h k
kihutama	k i ɦ u tˑ ɑ m ɑ
kiikuma	k iː kː u m ɑ
kiirabi	k iː r ɑ b̥ i
kiirusepiirang	k iː r u s e p iː r ɑ ŋ ɡ̊
kiiruspiirang	k iː r u s p iː r ɑ ŋ ɡ̊
kilometraaž	k i l o m e t r ɑː ʒ̥
kilpnääre	k i l p n æˑ r e̞
king	k i ŋ ɡ̊
kinnine	k i nʲː i n e̞
kinnistäht	k i nʲː i s t æ h t
kirjandus	k i r j ɑ̈ n d̥ u s
kirjeldama	k i r j e l d̥ ɑ m ɑ
kirjutama	k i r j ü tˑ ɑ m ɑ
kirjutusmasin	k i r j ü tˑ u s m ɑ sʲ i n
kirsipuu	k i r sʲ i pˑ uː
kirss	k i r sː
kirsstomat	k i r sː t o m ɑ tˑ
klaver	k l ɑ v e r
klaveriliteratuur	k l ɑ v e r i lʲ i tˑ e r ɑ t t uː r
kleepima	k l eː pː i m ɑ
kleeps	k l eː p s
kobrutis	k o b̥ r u tʲˑ i s
kodanik	k o d̥ ɑ nʲ i kˑ
koer	k o e̯ r
kohustuslik	k o ɦ u s t u s lʲ i kˑ
kohv	k o hˑ v̥
kohvik	k o h v i kˑ
kohvimasin	k o h v i m ɑ sʲ i n
kohvitass	k o h v i t ɑ sʲː
kohviuba	k o h v i u b̥ ɑ
kokakunst	k o kˑ ɑ k u nʲ s t
kokandus	k o kˑ ɑ n d̥ u s
kole	k o l e̞
kolm	k o l m
kolmas	k o l m ɑ s
kolmekesi	k o l m e kˑ e sʲ i
kolmekuningapäev	k o l m e k u nʲ i ŋ ɡ̊ ɑ p æ e̯ v
komme	k o mː e̞
komme	k o mˑ e̞
kondiüdi	k o nʲ d̥ʲ i y d̥ʲ i
koni	k o nʲ i
konsul	k o n s u l
kont	k o nʲ tˑ
kool	k oː l
koolja	k oː lʲ j ɑ̈
koolmeister	k oː l m e i̯ s t e r
korjama	k o r j ɑ̈ m ɑ
koroonaviirus	k o r oˑ n ɑ v iː r u s
korpus	k o r p u s
korruselamu	k o rː u s e l ɑ m u
korrusmaja	k o rː u s m ɑ̈ j ɑ̈
košmaar	k o ʃ m ɑː r
krahvinna	k r ɑ h v i nː ɑ
kriit	k r iː tˑ
kruus	k r uː s
kruus	k r uː sʲ
kruustangid	k r uː s t ɑ ŋ ɡ̊ i d̥
krõps	k r ɤ p s
kudu	k u d̥ u
kukk	k u kː
kuldnokk	k u l d̥ n o kː
kulinaaria	k u lʲ i n ɑː r i ɑ̯
kuljus	k u lʲ j ü s
kulm	k u l m
kuluma	k u l u m ɑ
kummuli	k u mˑ u lʲ i
kuni	k u nʲ i
kuningas	k u nʲ i ŋ ɡ̊ ɑ s
kunn	k u nʲː
kuri	k u r i
kutsika	k u tʲ sʲ i kˑ ɑ
kutsikas	k u tʲ sʲ i kˑ ɑ s
kutsikat	k u tʲ sʲ i kˑ ɑ tˑ
kuu	k uː
kuueteistkümnes	k uː w e t e i̯ s t k y m n e s
kuulama	k uː l ɑ m ɑ
kuus	k uː s
kuusik	k uː sʲ i kˑ
kähisema	k æ ɦ i s e m ɑ
käigukast	k æ i̯ ɡ̊ u k ɑ sʲ tˑ
käima	k æ i̯ m ɑ
känd	k æ n d̥
känguru	k æ ŋ ɡ̊ u r u
käpik	k æ pˑ i kˑ
kärp	k æ r pˑ
käsi	k æ sʲ i
käsitama	k æ sʲ i tˑ ɑ m ɑ
käsitlema	k æ sʲ i t l e m ɑ
käsn	k æ sˑ n̥
kättemaks	k æ tː e m ɑ k s
kääne	k æː n e̞
kääne	k æˑ n e̞
käärid	k æː r i d̥
käärima	k æː r i m ɑ
kõhunääre	k ɤ ɦ u n æˑ r e̞
kõhunäärmejuha	k ɤ ɦ u n æː r m e j ü ɦ ɑ
kõhunäärmepõletik	k ɤ ɦ u n æː r m e p ɤ l e tʲˑ i kˑ
kõhunäärmevähk	k ɤ ɦ u n æː r m e v æ h k
kõik	k ɤ i̯ kˑ
kõrs	k ɤ r s
kõrvalmõju	k ɤ r v ɑ l m ɤ j ü
kõrvits	k ɤ r v i t s
köösner	k øː s n e r
kükk	k y kː
küll	k y lː
küllane	k y lˑ ɑ n e̞
külm	k y lʲ m
külmik	k y l m i kˑ
külmkapimagnet	k y lʲ m k ɑ pˑ i m ɑ ɡ̊ n e tˑ
külmkapp	k y l m k ɑ pː
kümme	k y mˑ e̞
kütma	k y t m ɑ
küülik	k yː lʲ i kˑ
küünal	k yˑ n ɑ l
küüslauk	k yː s l ɑ u̯ kˑ
laad	l ɑː d̥
lagrits	l ɑ ɡ̊ r i t s
lahe	l ɑ ɦ e̞
laisk	l ɑ i̯ s k
laiskus	l ɑ i̯ s k u s
lask	l ɑ s k
laskma	l ɑ s k m ɑ
lastehaigla	l ɑ s t e h ɑ i̯ ɡ̊ l ɑ
lasteprostitutsioon	l ɑ s t e p r o s tʲ i tˑ u t sʲ i o̯ː n
laukapuu	l ɑ u̯ kˑ ɑ p uː
laupäeviti	l ɑ u̯ pˑ æ e̯ v i tʲˑ i
lavendel	l ɑ v e n d̥ e l
leem	l eː m
leetrid	l eː t r i d̥
lehetäi	l e ɦ e t æ i̯
lehm	l e hˑ m̥
leht	l e h t
lehtpuu	l e h t p uː
leidma	l e i̯ d̥ m ɑ
lendama	l e n d̥ ɑ m ɑ
liikluspiirang	lʲ iː k l u s p iː r ɑ ŋ ɡ̊
liikumispiirang	lʲ iː kː u m i s p iː r ɑ ŋ ɡ̊
liim	lʲ iː m
liisk	lʲ iː s k
liiv	lʲ iː v
lind	lʲ i n d̥
lips	lʲ i p s
literatuur	lʲ i tˑ e r ɑ t t uː r
loeng	l o e̯ ŋ ɡ̊
loik	l o i̯ kˑ
loll	l o lʲː
loss	l o sʲː
lubama	l u b̥ ɑ m ɑ
lugemisprillid	l u ɡ̊ e m i s p r i lʲː i d̥
luide	l u i̯ d̥ e̞
lumememm	l u m e m e mː
lumesadu	l u m e s ɑ d̥ u
lumi	l u m i
luu	l uː
luuüdi	l uː y d̥ʲ i
lääs	l æː s
lõbustuspark	l ɤ b̥ u s t u s p ɑ r kˑ
lõks	l ɤ k s
lõosilm	l ɤ o̯ sʲ i l m
lõppjaam	l ɤ pː j ɑ̈ː m
lõõskama	l ɤː s k ɑ m ɑ
lüüasaamine	l y i̯ː j ɑ̈ s ɑː m i n e̞
maailmavaade	m ɑː i l m ɑ v ɑː d̥ e̞
maak	m ɑː kˑ
maalane	m ɑː l ɑ n e̞
maantee	m ɑː n t eː
maarahvas	m ɑː r ɑ h v ɑ s
maavärin	m ɑː v æ r i n
madu	m ɑ d̥ u
magamistuba	m ɑ ɡ̊ ɑ m i s t u b̥ ɑ
magusjuur	m ɑ ɡ̊ u s j üː r
mahl	m ɑ hˑ l̥
maht	m ɑ h t
maks	m ɑ k s
mandariin	m ɑ n d̥ ɑ r iː n
mandel	m ɑ n d̥ e l
mandlipiim	m ɑ n d̥ lʲ i p iː m
masin	m ɑ sʲ i n
matus	m ɑ tˑ u s
matš	m ɑ t ʃ
meditsiiniline	m e d̥ʲ i t sʲ iː nʲ i lʲ i n e̞
meduus	m e d̥ uː s
meel	m eː l
meele	m eː l e̞
meele	m eˑ l e̞
meelelahutus	m eː l e l ɑ ɦ u tˑ u s
meelespea	m eː l e s p e ɑ̯
meeletu	m eː l e tˑ u
meem	m eː m
meemäger	m eː m æ ɡ̊ e r
meene	m eː n e̞
meene	m eˑ n e̞
mees	m eː s
meesisik	m eː s i sʲ i kˑ
metspipar	m e t s p i pˑ ɑ r
miks	m i k s
mil	m i l
miljon	m i lʲ j o n
minibuss	m i nʲ i b̥ u sː
miniseelik	m i nʲ i s eː lʲ i kˑ
minut	m i n u tˑ
