@	a̠ t̚ t o̞
アールグレイ	a̠ː ɾ ɯ̟ ɡ ɯ̟ ɾ e̞ː
R言語	a̠ː ɾ ɯ̟ ɡ ẽ̞ ŋ ɡ o̞
RPG	a̠ː ɾ ɯ̟ pʲ iː ʑ iː
RV	a̠ː ɾ ɯ̟ b ɯ̟ i
アーンミーヤ	ã̠ː mʲː iː j a̠
あい	a̠ i
アイ	a̠ i
娃	a̠ i
愛	a̠ i
相	s a̠ ɡ a̠
藍	a̠ i
阿井	a̠ i
アイアイ	a̠ i a̠ i
相合傘	a̠ i a̠ i ɡ a̠ s a̠
アイアン	a̠ i ã̠ ɴ
相容れない	a̠ i i ɾ e̞ n a̠ i
あいいれる	a̠ i i ɾ e̞ ɾ ɯ̟
藍色	a̠ iː ɾ o̞
愛飲	a̠ ĩː ɴ
あいうえお順	a̠ i ɯ̟ e̞ o̞ ʑ ɨ̃ ɴ
愛液	a̠ i e̞ kʲ i
ISBN	a̠ i e̞ s ɨ bʲ iː e̞ n ɯ̟
合縁奇縁	a̠ i ẽ̞ ŋʲ kʲ i ẽ̞ ɴ
アイオーン	a̠ i õ̞ː ɴ
アイオロス	a̠ i o̞ ɾ o̞ s ɨ
アイオワ	a̠ i o̞ β̞ a̠
アイオワ州	a̠ i o̞ β̞ a̠ ɕ ɨː
哀歌	a̠ i k a̠
合鍵	a̠ i k a̠ ɡʲ i
鮎掛	a̠ i k a̠ k e̞
相傘	a̠ i ɡ a̠ s a̠
相方	a̠ i k a̠ t a̠
あいがと	a̠ i ɡ a̠ t o̞
間紙	a̠ i ɡ a̠ mʲ i
藍瓶	a̠ i ɡ a̠ m e̞
鮎川	a̠ i k a̠ β̞ a̠
相変わらず	a̠ i k a̠ β̞ a̠ ɾ a̠ z ɨ
哀歓	a̠ i k ã̠ ɴ
哀願	a̠ i ɡ ã̠ ɴ
愛玩	a̠ i ɡ ã̠ ɴ
噫気	a̠ i kʲ i
愛器	a̠ i kʲ i
愛機	a̠ i kʲ i
合気道	a̠ i kʲ i d o̞ː
アイキャッチ	a̠ i kʲ a̠ t̚ t͡ɕ i
IQ	a̠ i kʲ ɨː
哀叫	a̠ i kʲ o̞ː
愛嬌	a̠ i kʲ o̞ː
愛敬	a̠ i kʲ o̞ː
愛橋	a̠ i kʲ o̞ː
愛郷	a̠ i kʲ o̞ː
相京	a̠ i kʲ o̞ː
愛郷心	a̠ i kʲ o̞ː ɕ ĩ ɴ
愛玉子	a̠ i ɡʲ o̞ k ɯ̟ ɕ i
阿育王	a̠ i k ɯ̟ o̞ː
あいくち	a̠ i k ɯ̟̊ t͡ɕ i
愛くるしい	a̠ i k ɯ̟ ɾ ɯ̟ ɕ iː
愛犬	a̠ i k ẽ̞ ɴ
愛犬家	a̠ i k ẽ̞ ŋ k a̠
愛顧	a̠ i k o̞
相子	a̠ i k o̞
哀誤	a̠ i ɡ o̞
愛護	a̠ i ɡ o̞
愛好	a̠ i k o̞ː
愛校	a̠ i k o̞ː
哀号	a̠ i ɡ o̞ː
愛好家	a̠ i k o̞ː k a̠
愛好者	a̠ i k o̞ː ɕ a̠
アイゴー	a̠ i ɡ o̞ː
哀哭	a̠ i k o̞ k ɯ̟
愛国	a̠ i k o̞ k ɯ̟
愛国者	a̠ i k o̞ k ɯ̟ ɕ a̠
愛国主義	a̠ i k o̞ k ɯ̟ ɕ ɨ ɡʲ i
愛国心	a̠ i k o̞ k ɯ̟ ɕ ĩ ɴ
愛国歌	a̠ i k o̞ k̚ k a̠
合言葉	a̠ i k o̞ t o̞ b a̠
アイコン	a̠ i k õ̞ ɴ
愛妻	a̠ i s a̠ i
愛妻家	a̠ i s a̠ i k a̠
挨拶	a̠ i s a̠ t͡s ɨ
愛される	a̠ i s a̠ ɾ e̞ ɾ ɯ̟
会沢	a̠ i z a̠ β̞ a̠
愛児	a̠ i ʑ i
愛し合う	a̠ i ɕ i a̠ ɯ̟
ICBM	a̠ i ɕ iː bʲ iː e̞ m ɯ̟
愛して	a̠ i ɕ i̥ t e̞
愛社	a̠ i ɕ a̠
愛車	a̠ i ɕ a̠
アイシャドウ	a̠ i ɕ a̠ d o̞ː
アイシャドー	a̠ i ɕ a̠ d o̞ː
哀愁	a̠ i ɕ ɨː
愛州	a̠ i ɕ ɨː
愛書	a̠ i ɕ o̞
哀傷	a̠ i ɕ o̞ː
相性	a̠ i ɕ o̞ː
愛嬢	a̠ i ʑ o̞ː
愛情	a̠ i ʑ o̞ː
哀傷歌	a̠ i ɕ o̞ː k a̠
愛唱歌	a̠ i ɕ o̞ː k a̠
愛食	a̠ i ɕ o̞ k ɯ̟
愛人	a̠ i ʑ ĩ ɴ
愛新覚羅	a̠ i ɕ ĩ ŋ k a̠ k ɯ̟ ɾ a̠
アイシング	a̠ i ɕ ĩ ŋ ɡ ɯ̟
あいす	a̠ i s ɨ
アイス	a̠ i s ɨ
愛す	a̠ i s ɨ
合図	a̠ i z ɨ
アイスバーン	a̠ i s ɨ b ã̠ː ɴ
アイスランド	a̠ i s ɨ ɾ ã̠ n d o̞
アイスランド語	a̠ i s ɨ ɾ ã̠ n d o̞ ɡ o̞
アイスランド人	a̠ i s ɨ ɾ ã̠ n d o̞ ʑ ĩ ɴ
愛する	a̠ i s ɨ ɾ ɯ̟
哀惜	a̠ i s e̞ kʲ i
相席	a̠ i s e̞ kʲ i
アイゼン	a̠ i z ẽ̞ ɴ
愛想	a̠ i s o̞
愛憎	a̠ i z o̞ː
愛蔵版	a̠ i z o̞ː b ã̠ ɴ
藍染め	a̠ i z o̞ m e̞
藍染屋	a̠ i z o̞ m e̞ j a̠
愛想笑い	a̠ i s o̞ β̞ a̠ ɾ a̠ i
あいた	a̠ i t a̠
あいだ	a̠ i d a̠
逢田	a̠ i d a̠
間	k ã̠ ɴ
相対	a̠ i t a̠ i
靉靆	a̠ i t a̠ i
相対売買	a̠ i t a̠ i b a̠ i b a̠ i
間柄	a̠ i d a̠ ɡ a̠ ɾ a̠
藍茸	a̠ i t a̠ k e̞
アイダホ	a̠ i d a̠ h o̞
アイダホ州	a̠ i d a̠ h o̞ ɕ ɨː
愛知	a̠ i t͡ɕ i
愛知県	a̠ i t͡ɕ i k ẽ̞ ɴ
愛着	a̠ i t͡ɕ a̠ k ɯ̟
愛聴	a̠ i t͡ɕ o̞ː
愛重	a̠ i t͡ɕ o̞ː
愛鳥	a̠ i t͡ɕ o̞ː
愛鳥家	a̠ i t͡ɕ o̞ː k a̠
彼奴	a̠ i t͡s ɨ
哀痛	a̠ i t͡s ɨː
相次ぐ	a̠ i t͡s ɨ ɡ ɯ̟
相の槌	a̠ i n o̞ t͡s ɨ t͡ɕ i
相槌	a̠ i z ɨ t͡ɕ i
あいつら	a̠ i t͡s ɨ ɾ a̠
相手	a̠ i t e̞
アイデア	a̠ i d e̞ a̠
アイディア	a̠ i dʲ i a̠
ID	a̠ i dʲ iː
アイテール	a̠ i t e̞ː ɾ ɯ̟
相手方	a̠ i t e̞ k a̠ t a̠
アイテム	a̠ i t e̞ m ɯ̟
アイテル	a̠ i t e̞ ɾ ɯ̟
アイデンティティ	a̠ i d ẽ̞ n tʲ i tʲ i
愛読	a̠ i d o̞ k ɯ̟
愛読者	a̠ i d o̞ k ɯ̟̊ ɕ a̠
アイドリングストップ	a̠ i d o̞ ɾʲ ĩ ŋ ɡ ɯ̟ s ɨ t o̞ p̚ p ɯ̟
アイドル	a̠ i d o̞ ɾ ɯ̟
愛奈	a̠ i n a̠
アイナメ	a̠ i n a̠ m e̞
生憎	a̠ i ɲ̟ i k ɯ̟
アイヌ	a̠ i n ɯ̟
アイヌ語	a̠ i n ɯ̟ ɡ o̞
間の子	a̠ i n o̞ k o̞
あいのて	a̠ i n o̞ t e̞
愛馬	a̠ i b a̠
藍原	a̠ i h a̠ ɾ a̠
IPアドレス	a̠ i pʲ iː a̠ d o̞ ɾ e̞ s ɨ
IPTV	a̠ i pʲ iː tʲ iː b ɯ̟ i
逢引	a̠ i bʲ i kʲ i
愛猫	a̠ i bʲ o̞ː
愛猫家	a̠ i bʲ o̞ː k a̠
愛撫	a̠ i b ɯ̟
あいふく	a̠ i ɸ ɯ̟ k ɯ̟
アイブロウ	a̠ i b ɯ̟ ɾ o̞ː
愛別離苦	a̠ i b e̞ t͡s ɨ ɾʲ i k ɯ̟
あいべや	a̠ i b e̞ j a̠
アイホ	a̠ i h o̞
愛慕	a̠ i b o̞
相棒	a̠ i b o̞ː
アイホール	a̠ i h o̞ː ɾ ɯ̟
合間	a̠ i m a̠
曖昧	a̠ i m a̠ i
曖昧さ	a̠ i m a̠ i s a̠
曖昧模糊	a̠ i m a̠ i m o̞ k o̞
アイマスク	a̠ i m a̠ s ɨ̥ k ɯ̟
あいまって	a̠ i m a̠ t̚ t e̞
アイマラ語	a̠ i m a̠ ɾ a̠ ɡ o̞
藍屋	a̠ i j a̠
相宿	a̠ i j a̠ d o̞
あいよ	a̠ i j o̞
愛用	a̠ i j o̞ː
相嫁	a̠ i j o̞ m e̞
アイライナー	a̠ i ɾ a̠ i n a̠ː
アイライン	a̠ i ɾ a̠ ĩ ɴ
哀楽	a̠ i ɾ a̠ k ɯ̟
愛らしい	a̠ i ɾ a̠ ɕ iː
アイランド	a̠ i ɾ ã̠ n d o̞
アイルランド	a̠ i ɾ ɯ̟ ɾ ã̠ n d o̞
アイルランド語	a̠ i ɾ ɯ̟ ɾ ã̠ n d o̞ ɡ o̞
アイルランド人	a̠ i ɾ ɯ̟ ɾ ã̠ n d o̞ ʑ ĩ ɴ
隘路	a̠ i ɾ o̞
藍蝋肉	a̠ i ɾ o̞ː ɲ̟ i k ɯ̟
アイロニー	a̠ i ɾ o̞ ɲ̟ iː
アイロン	a̠ i ɾ õ̞ ɴ
アイロン掛け	a̠ i ɾ õ̞ ŋ ɡ a̠ k e̞
アイロン台	a̠ i ɾ õ̞ n d a̠ i
アインスタイニウム	a̠ ĩ ɰ̃ s ɨ̥ t a̠ i ɲ̟ i ɯ̟ m ɯ̟
あう	a̠ ɯ̟
会う	a̠ ɯ̟
合う	a̠ ɯ̟
遭う	a̠ ɯ̟
アヴァル語	a̠ b a̠ ɾ ɯ̟ ɡ o̞
アヴィニョン	a̠ bʲ i ɲ̟ õ̞ ɴ
アウォード	a̠ β̞ o̞ː d o̞
アヴォカド	a̠ b o̞ k a̠ d o̞
アウグストゥス	a̠ ɯ̟ ɡ ɯ̟ s ɨ̥ t ɯ̟ s ɨ
アヴゴレモノ	a̠ b ɯ̟ ɡ o̞ ɾ e̞ m o̞ n o̞
アウト	a̠ ɯ̟ t o̞
アウトオブバウンズ	a̠ ɯ̟ t o̞ː b ɯ̟ b a̠ ɯ̟̃ n d͡z ɨ
アウトサイダー	a̠ ɯ̟ t o̞ s a̠ i d a̠ː
アウトソーシング	a̠ ɯ̟ t o̞ s o̞ː ɕ ĩ ŋ ɡ ɯ̟
アウトプット	a̠ ɯ̟ t o̞ p ɯ̟ t̚ t o̞
アウトロー	a̠ ɯ̟ t o̞ ɾ o̞ː
アウフヘーベン	a̠ ɯ̟ ɸ ɯ̟ h e̞ː b ẽ̞ ɴ
アウラ	a̠ ɯ̟ ɾ a̠
アウローラ	a̠ ɯ̟ ɾ o̞ː ɾ a̠
阿吽	a̠ ɯ̟̃ ɴ
あえぎごえ	a̠ e̞ ɡʲ i ɡ o̞ e̞
喘ぐ	a̠ e̞ ɡ ɯ̟
敢えて	a̠ e̞ t e̞
和える	a̠ e̞ ɾ ɯ̟
アエロフロート	a̠ e̞ ɾ o̞ ɸ ɯ̟ ɾ o̞ː t o̞
亜鉛	a̠ ẽ̞ ɴ
亜鉛華	a̠ ẽ̞ ŋ k a̠
青	a̠ o̞
青い	a̠ o̞ i
アオイ科	a̠ o̞ i k a̠
アオイ目	a̠ o̞ i m o̞ k ɯ̟
青色	a̠ o̞ i ɾ o̞
青海原	a̠ o̞ ɯ̟ n a̠ b a̠ ɾ a̠
青海亀	a̠ o̞ ɯ̟ mʲ i ɡ a̠ m e̞
青梅	a̠ o̞ ɯ̟ m e̞
青か	a̠ o̞ k a̠
青ヶ島	a̠ o̞ ɡ a̠ ɕ i m a̠
青姦	a̠ o̞ k ã̠ ɴ
青木	a̠ o̞ kʲ i
青木ヶ原	a̠ o̞ kʲ i ɡ a̠ h a̠ ɾ a̠
仰ぎ見る	a̠ o̞ ɡʲ i mʲ i ɾ ɯ̟
仰ぐ	a̠ o̞ ɡ ɯ̟
扇ぐ	a̠ o̞ ɡ ɯ̟
あおくさい	a̠ o̞ k ɯ̟ s a̠ i
青鶏頭	a̠ o̞ ɡ e̞ː t o̞ː
石蓴	a̠ o̞ s a̠
アオザイ	a̠ o̞ z a̠ i
青鮫	a̠ o̞ z a̠ m e̞
アオザメ属	a̠ o̞ z a̠ m e̞ z o̞ k ɯ̟
青し	a̠ o̞ ɕ i
青写真	a̠ o̞ ʑ a̠ ɕ ĩ ɴ
青白い	a̠ o̞ ʑ i ɾ o̞ i
青信号	a̠ o̞ ɕ ĩ ŋ ɡ o̞ː
青図	a̠ o̞ z ɨ
青筋	a̠ o̞ s ɨ ʑ i
青線	a̠ o̞ s ẽ̞ ɴ
青空	a̠ o̞ z o̞ ɾ a̠
青田	a̠ o̞ t a̠
青大将	a̠ o̞ d a̠ i ɕ o̞ː
青田買い	a̠ o̞ t a̠ ɡ a̠ i
青短	a̠ o̞ t ã̠ ɴ
青天井	a̠ o̞ t ẽ̞ ɲ̟ d͡ʑ o̞ː
青菜	a̠ o̞ n a̠
青海苔	a̠ o̞ n o̞ ɾʲ i
青歯	a̠ o̞ b a̠
青葉	a̠ o̞ b a̠
あおひげ	a̠ o̞ ç i ɡ e̞
青緑	a̠ o̞ mʲ i d o̞ ɾʲ i
水綿	a̠ o̞ mʲ i d o̞ ɾ o̞
仰向け	a̠ o̞ m ɯ̟ k e̞
青目	a̠ o̞ m e̞
青文字	a̠ o̞ m o̞ ʑ i
青文字系	a̠ o̞ m o̞ ʑ i k e̞ː
青物	a̠ o̞ m o̞ n o̞
青森	a̠ o̞ m o̞ ɾʲ i
青森県	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
青柳	a̠ o̞ j a̠ ɡʲ i
青山	a̠ o̞ j a̠ m a̠
あおる	a̠ o̞ ɾ ɯ̟
煽る	a̠ o̞ ɾ ɯ̟
亜音速	a̠ õ̞ ɰ̃ s o̞ k ɯ̟
亜科	a̠ k a̠
垢	a̠ k a̠
赤	a̠ k a̠
𫁈	a̠ k a̠
明い	a̠ k a̠ i
赤い	a̠ k a̠ i
あかいれ	a̠ k a̠ i ɾ e̞
赤色	a̠ k a̠ i ɾ o̞
赤海亀	a̠ k a̠ ɯ̟ mʲ i ɡ a̠ m e̞
アカウント	a̠ k a̠ ɯ̟̃ n t o̞
赤鱏	a̠ k a̠ e̞ i
紅夷	a̠ k a̠ e̞ mʲ i ɕ i
赤か	a̠ k a̠ k a̠
赤金	a̠ k a̠ ɡ a̠ n e̞
銅色	a̠ k a̠ ɡ a̠ n e̞ i ɾ o̞
赤蕪	a̠ k a̠ k a̠ b ɯ̟
赤紙	a̠ k a̠ ɡ a̠ mʲ i
赤狩り	a̠ k a̠ ɡ a̠ ɾʲ i
足掻き	a̠ ɡ a̠ kʲ i
赤狐	a̠ k a̠ ɡʲ i t͡s ɨ n e̞
赤く	a̠ k a̠ k ɯ̟
足掻く	a̠ ɡ a̠ k ɯ̟
赤黒い	a̠ k a̠ ɡ ɯ̟ ɾ o̞ i
赤毛	a̠ k a̠ ɡ e̞
赤毛猿	a̠ k a̠ ɡ e̞ z a̠ ɾ ɯ̟
あかご	a̠ k a̠ ɡ o̞
赤子	s e̞ kʲ i ɕ i
藜	a̠ k a̠ z a̠
明石	a̠ k a̠ ɕ i
証	a̠ k a̠ ɕ i
赤字	a̠ k a̠ ʑ i
アカシア	a̠ k a̠ ɕ i a̠
赤鹿	a̠ k a̠ ɕ i̥ k a̠
赤印	a̠ k a̠ ʑ i ɾ ɯ̟ ɕ i
赤信号	a̠ k a̠ ɕ ĩ ŋ ɡ o̞ː
明かす	a̠ k a̠ s ɨ
赤ずきん	a̠ k a̠ z ɨ kʲ ĩ ɴ
赤瀬	a̠ k a̠ s e̞
赤線	a̠ k a̠ s ẽ̞ ɴ
あがた	a̠ ɡ a̠ t a̠
赤立羽	a̠ k a̠ t a̠ t e̞ h a̠
赤蛺蝶	a̠ k a̠ t a̠ t e̞ h a̠
赤短	a̠ k a̠ t ã̠ ɴ
赤茶ける	a̠ k a̠ t͡ɕ a̠ k e̞ ɾ ɯ̟
赤ちゃん	a̠ k a̠ t͡ɕ ã̠ ɴ
暁	a̠ k a̠ t͡s ɨ̥ kʲ i
赤詰草	a̠ k a̠ t͡s ɨ m e̞ k ɯ̟̊ s a̠
アカデミー	a̠ k a̠ d e̞ mʲ iː
赤点	a̠ k a̠ t ẽ̞ ɴ
赤とんぼ	a̠ k a̠ t õ̞ m b o̞
贖い	a̠ ɡ a̠ n a̠ i
購う	a̠ ɡ a̠ n a̠ ɯ̟
贖う	a̠ ɡ a̠ n a̠ ɯ̟
赤茄子	a̠ k a̠ n a̠ s ɨ
垢抜け	a̠ k a̠ n ɯ̟ k e̞
垢抜ける	a̠ k a̠ n ɯ̟ k e̞ ɾ ɯ̟
明音	a̠ k a̠ n e̞
朱音	a̠ k a̠ n e̞
紅音	a̠ k a̠ n e̞
茜	a̠ k a̠ n e̞
茜色	a̠ k a̠ n e̞ i ɾ o̞
赤鼠	a̠ k a̠ n e̞ z ɨ mʲ i
茜葎	a̠ k a̠ n e̞ m ɯ̟ ɡ ɯ̟ ɾ a̠
赤牌	a̠ k a̠ h a̠ i
赤旗	a̠ k a̠ h a̠ t a̠
赤鼻	a̠ k a̠ h a̠ n a̠
赤花	a̠ k a̠ b a̠ n a̠
赤腹	a̠ k a̠ h a̠ ɾ a̠
垢BAN	a̠ k a̠ b ã̠ ɴ
赤髭	a̠ k a̠ ç i ɡ e̞
赤富士	a̠ k a̠ ɸ ɯ̟ ʑ i
赤渕	a̠ k a̠ ɸ ɯ̟ t͡ɕ i
赤葡萄酒	a̠ k a̠ b ɯ̟ d o̞ː ɕ ɨ
赤べこ	a̠ k a̠ b e̞ k o̞
アカペラ	a̠ k a̠ p e̞ ɾ a̠
赤坊鯨	a̠ k a̠ b o̞ː k ɯ̟ ʑ i ɾ a̠
あかぼし	a̠ k a̠ b o̞ ɕ i
アカポス	a̠ k a̠ p o̞ s ɨ
赤猿子	a̠ k a̠ m a̠ ɕ i k o̞
赤松	a̠ k a̠ m a̠ t͡s ɨ
赤豆	a̠ k a̠ m a̠ m e̞
赤身	a̠ k a̠ mʲ i
赤虫	a̠ k a̠ m ɯ̟ ɕ i
あかむつ	a̠ k a̠ m ɯ̟ t͡s ɨ
赤紫	a̠ k a̠ m ɯ̟ ɾ a̠ s a̠ kʲ i
赤目	a̠ k a̠ m e̞
崇め	a̠ ɡ a̠ m e̞
崇めた	a̠ ɡ a̠ m e̞ t a̠
崇めて	a̠ ɡ a̠ m e̞ t e̞
アガメムノーン	a̠ ɡ a̠ m e̞ m ɯ̟ n õ̞ː ɴ
崇める	a̠ ɡ a̠ m e̞ ɾ ɯ̟
赤文字系	a̠ k a̠ m o̞ ʑ i k e̞ː
贖物	a̠ ɡ a̠ m o̞ n o̞
あからがお	a̠ k a̠ ɾ a̠ ɡ a̠ o̞
あからさま	a̠ k a̠ ɾ a̠ s a̠ m a̠
赤らむ	a̠ k a̠ ɾ a̠ m ɯ̟
赤らめる	a̠ k a̠ ɾ a̠ m e̞ ɾ ɯ̟
明かり	a̠ k a̠ ɾʲ i
上がり	a̠ ɡ a̠ ɾʲ i
上下	a̠ ɡ a̠ ɾʲ i o̞ ɾʲ i
あがりさがり	a̠ ɡ a̠ ɾʲ i s a̠ ɡ a̠ ɾʲ i
あがり症	a̠ ɡ a̠ ɾʲ i ɕ o̞ː
アガる	a̠ ɡ a̠ ɾ ɯ̟
上がる	a̠ ɡ a̠ ɾ ɯ̟
和了る	a̠ ɡ a̠ ɾ ɯ̟
明るい	a̠ k a̠ ɾ ɯ̟ i
明るみ	a̠ k a̠ ɾ ɯ̟ mʲ i
あかるむ	a̠ k a̠ ɾ ɯ̟ m ɯ̟
赤煉瓦	a̠ k a̠ ɾ ẽ̞ ŋ ɡ a̠
赤ワイン	a̠ k a̠ β̞ a̠ ĩ ɴ
あかん	a̠ k ã̠ ɴ
あがん	a̠ ɡ ã̠ ɴ
亜寒帯	a̠ k ã̠ n t a̠ i
あかんべえ	a̠ k ã̠ m b e̞ː
赤ん坊	a̠ k ã̠ m b o̞ː
厭	a̠ kʲ i
秋	a̠ kʲ i
空き	a̠ kʲ i
飽き	a̠ kʲ i
秋茜	a̠ kʲ i a̠ k a̠ n e̞
飽き飽き	a̠ kʲ i a̠ kʲ i
アキー	a̠ kʲ iː
アキーダ	a̠ kʲ iː d a̠
亮夫	a̠ kʲ i o̞
彬夫	a̠ kʲ i o̞
秋風	a̠ kʲ i k a̠ z e̞
空き缶	a̠ kʲ i k ã̠ ɴ
秋桐	a̠ kʲ i ɡʲ i ɾʲ i
あきぐち	a̠ kʲ i ɡ ɯ̟ t͡ɕ i
秋雨	a̠ kʲ i s a̠ m e̞
空き室	a̠ kʲ i ɕ i̥ t͡s ɨ
空き巣	a̠ kʲ i̥ s ɨ
空き巣狙い	a̠ kʲ i̥ s ɨ n e̞ ɾ a̠ i
秋空	a̠ kʲ i z o̞ ɾ a̠
秋田	a̠ kʲ i t a̠
秋田犬	a̠ kʲ i̥ t a̠ i n ɯ̟
秋田県	a̠ kʲ i t a̠ k ẽ̞ ɴ
空き地	a̠ kʲ i t͡ɕ i
明恒	a̠ kʲ i t͡s ɨ n e̞
あぎとう	a̠ ɡʲ i t o̞ ɯ̟
商い	a̠ kʲ i n a̠ i
商う	a̠ kʲ i n a̠ ɯ̟
秋葉原	a̠ kʲ i h a̠ b a̠ ɾ a̠
亮彦	a̠ kʲ i ç i k o̞
明彦	a̠ kʲ i ç i k o̞
空き瓶	a̠ kʲ i bʲ ĩ ɴ
秋服	a̠ kʲ i ɸ ɯ̟ k ɯ̟
空き部屋	a̠ kʲ i b e̞ j a̠
亜季歩	a̠ kʲ i h o̞
空き間	a̠ kʲ i m a̠
秋祭り	a̠ kʲ i m a̠ t͡s ɨ ɾʲ i
秋めく	a̠ kʲ i m e̞ k ɯ̟
あぎゃん	a̠ ɡʲ ã̠ ɴ
空き家	a̠ kʲ i j a̠
秋休み	a̠ kʲ i j a̠ s ɨ mʲ i
秋山	a̠ kʲ i j a̠ m a̠
あ行	a̠ ɡʲ o̞ː
彬	a̠ kʲ i ɾ a̠
晶	a̠ kʲ i ɾ a̠
明らか	a̠ kʲ i ɾ a̠ k a̠
明らめる	a̠ kʲ i ɾ a̠ m e̞ ɾ ɯ̟
諦める	a̠ kʲ i ɾ a̠ m e̞ ɾ ɯ̟
アギラレス	a̠ ɡʲ i ɾ a̠ ɾ e̞ s ɨ
飽きる	a̠ kʲ i ɾ ɯ̟
アキレウス	a̠ kʲ i ɾ e̞ ɯ̟ s ɨ
呆れ顔	a̠ kʲ i ɾ e̞ ɡ a̠ o̞
アキレス腱	a̠ kʲ i ɾ e̞ s ɨ̥ k ẽ̞ ɴ
呆れる	a̠ kʲ i ɾ e̞ ɾ ɯ̟
あく	a̠ k ɯ̟
悪	a̠ k ɯ̟
握	a̠ k ɯ̟
空く	s ɨ k ɯ̟
開く	a̠ k ɯ̟
飽く	a̠ k ɯ̟
アクアウオーキング	a̠ k ɯ̟ a̠ ɯ̟ o̞ː kʲ ĩ ŋ ɡ ɯ̟
アクアサイズ	a̠ k ɯ̟ a̠ s a̠ i z ɨ
アグアスカリエンテス	a̠ ɡ ɯ̟ a̠ s ɨ k a̠ ɾʲ i ẽ̞ n t e̞ s ɨ
アクアビクス	a̠ k ɯ̟ a̠ bʲ i k ɯ̟ s ɨ
アクアマリン	a̠ k ɯ̟ a̠ m a̠ ɾʲ ĩ ɴ
アクアリウム	a̠ k ɯ̟ a̠ ɾʲ i ɯ̟ m ɯ̟
悪意	a̠ k ɯ̟ i
悪因悪果	a̠ k ɯ̟ ĩ ɰ̃ a̠ k̚ k a̠
悪運	a̠ k ɯ̟ ɯ̟̃ ɴ
悪影響	a̠ k ɯ̟ e̞ː kʲ o̞ː
