'ya	j̰ áː
alkarya	ʔ à l k á r j àː
alkawari	ʔ à l k ə́ w ə̀ r íː
alkyabba	ʔ à l c ɛ́ b b àː
allah	ʔ á l l àː
alli	ʔ à l l íː
alli	ʔ â l l íː
allura	ʔ à l l úː r àː
almajiri	ʔ à l m áː d͡ʒ ɪ̀ r íː
almakashi	ʔ à l m ə́ k ə̀ ʃ íː
almasihu	ʔ à l m ə̀ s íː h ʊ̀
altine	ʔ à l t ɪ̀ n é
alwala	ʔ à l w ə̀ l áː
alƙahira	ʔ à l kʼ áː h ɪ̀ r ə́
alƙalami	ʔ à l kʼ ə́ l ə̀ m íː
alƙali	ʔ à l kʼ áː l íː
alƙur'ani	ʔ à l kʷʼ ʊ̀ r ʔ áː n ìː
amalanke	ʔ á m áː l ɛ́ ɲ c é
amale	ʔ á m áː l è
amana	ʔ à m áː n àː
amarya	ʔ á m á ɽ j áː
amawali	ʔ á m áː w ə̀ l íː
ambaliya	ʔ á m b àː l ɪ́ j àː
amfani	ʔ à m ɸ àː n íː
amin	ʔ àː m ɪ́ ŋ
amina	ʔ á m íː n ə̀
amini	ʔ à m íː n ìː
amirka	ʔ á m ɪ̀ r k ə̀
amma	ʔ à m m áː
amo	ʔ á m óː
amsa	ʔ á m s àː
amurka	ʔ á m ʊ̀ r k ə̀
anabi	ʔ á n ə̀ b íː
anaca	ʔ à n ə̀ t͡ʃ ə̀
ango	ʔ á ŋ ɡʷ ò
anini	ʔ à n íː n íː
ankara	ʔ á ŋ k ə̀ r ə̀
annabi	ʔ à n n ə́ b ìː
annoba	ʔ à n n òː b áː
annuri	ʔ à n n úː r ìː
anta	ʔ á n t àː
ar	ʔ á r
arabiyya	ʔ à r ə̀ b ɪ́ j j àː
aradu	ʔ à r áː d ɪ̀
arba'in	ʔ à r b ə̀ ʔ ɪ́ ŋ
arewa	ʔ á ɽ èː w ə́
arziki	ʔ á r z ɪ̀ c íː
asabar	ʔ à s ə́ b à r
asabari	ʔ á s ə́ b ə̀ r íː
asabe	ʔ à s ə̀ b é
asali	ʔ á s ə́ l íː
asara	ʔ à s áː r àː
asawaki	ʔ à s ə́ w àː c íː
asham	ʔ á ʃ á ŋ
ashana	ʔ à ʃ áː n áː
ashirin	ʔ à ʃ ɪ̀ r ɪ́ ŋ
asibiti	ʔ á s ɪ̀ b ɪ́ t ɪ̀
asiri	ʔ à s íː r íː
asiya	ʔ áː s ɪ́ j ɛ̀
aske	ʔ á s c èː
asuba	ʔ à s ɪ̀ b âː
asubahi	ʔ à s ɪ̀ b áː h ɪ̀
attajiri	ʔ à t t áː d͡ʒ ɪ̀ r íː
attaura	ʔ à t t á u r áː
audu	ʔ á u d ɪ̀
auduga	ʔ á u d ɪ̀ ɡ áː
aure	ʔ á u ɽ éː
awa	ʔ á w àː
awaza	ʔ à w ə́ z àː
aya	ʔ áː j àː
ayaba	ʔ ɛ̀ j ɛ̀ b ə̀
ayari	ʔ áː j ɛ̀ r íː
ayu	ʔ ɛ̀ j úː
azaba	ʔ à z áː b àː
azahar	ʔ à z ə́ h à r
azahariyya	ʔ à z ə̀ h à r ɪ́ j j àː
azumi	ʔ á z ɪ̀ m íː
azumi	ʔ á z ɪ̀ m ɪ́
azurfa	ʔ á z ɪ̀ r ɸ áː
azzakari	ʔ à z z ə́ k ə̀ r íː
aƙalla	ʔ à kʼ á l l ə̀
aƙida	ʔ à cʼ íː d àː
ba'askare	b ə̀ ʔ á s k ə́ r èː
baba	b àː b áː
baba	b àː b ə́
baba	b áː b áː
baba	b áː b ə̀
babba	b à b b ə́
babur	b àː b ʊ́ r
bado	b ə́ d òː
badun	b àː d ɪ̀ ŋ
baffa	b á ɸ ɸ ə̀
bafilatani	b ə̀ ɸ ɪ́ l áː t ə̀ n íː
bafillace	b ə̀ ɸ ɪ́ l l áː t͡ʃ èː
bagadaza	b ə̀ ɡ ə̀ d áː z ə̀
bagwari	b ə̀ ɡʷ áː ɽ íː
bahar	b ə́ h à r
bahasi	b ə́ h à s íː
bahaushe	b ə̀ h á u ʃ èː
bahili	b ə̀ h íː l ìː
baho	b áː h òː
baibai	b è i b ê i
baiti	b é i t ìː
baitulmali	b è i t ɪ̀ l m áː l ɪ̀
baiwa	b ê i w áː
baiwa	b ê i w ə́
bajau	b ə́ d͡ʒ á u
bajo	b áː d͡ʒ òː
baka	b ə̀ k áː
baka	b ə́ k ə̀
baki	b àː c íː
bakwai	b ə́ kʷ è i
bal	b â l
bala'i	b ə̀ l áː ʔ ìː
balaraba	b ə̀ l áː r ə́ b ə̀
balarabe	b ə̀ l áː r ə́ b è
balarabe	b ə̀ l áː r ə́ b èː
balas	b ə́ l à s
bana	b ə́ n ə́
banda	b à n d áː
banga	b à ŋ ɡ áː
bangaskiya	b á ŋ ɡ á s c ɪ́ j áː
bango	b á ŋ ɡʷ óː
bappa	b á p p ə̀
bara	b àː r áː
bara	b àː ɽ ə́
bara	b ə́ r àː
bara	b ə́ ɽ àː
bararo	b ə̀ r ə̀ r óː
barau	b ə̀ ɽ á u
barbarci	b á ɽ b á ɽ t͡ʃ íː
barewa	b ə̀ ɽ éː w áː
bargo	b à r ɡʷ óː
barka	b á r k àː
barkono	b à r kʷ òː n óː
barno	b à r n ó
bas	b â s
basakkwace	b ə̀ s á kʷ kʷ ə́ t͡ʃ èː
basasa	b áː s áː s àː
basukur	b áː s ɪ́ kʷ ʊ̀ r
batir	b áː t ɪ̀ r
batta	b á t t àː
bature	b ə̀ t úː r èː
bauta	b à u t áː
bawa	b áː w àː
bawa	b áː w ə̀
baya	b áː j áː
baya	b áː j ɛ́
bayan	b áː j ɛ́ ŋ
baƙi	b ə́ cʼ íː
baƙo	b àː kʷʼ ó
bedi	b éː d ìː
bel	b á l
bello	b á l l ò
bici	b ɪ́ t͡ʃ ɪ̀
bidi'a	b ɪ́ d ɪ́ ʔ àː
bif	b ɪ̂ p
bika	b ɪ̀ k áː
bil	b ɪ̂ l
bincike	b ɪ̀ n t͡ʃ ɪ̀ c éː
bindi	b ɪ́ n d ìː
bindiga	b ɪ́ n d ɪ́ ɡ àː
bini	b ìː n ɪ́
binta	b ɪ́ n t ə̀
binuwai	b ɪ́ n ʊ́ w è i
birgediya	b ɪ̀ r ɟ éː d ɪ́ j àː
birjik	b ɪ̀ r d͡ʒ ɪ́ k
birni	b ɪ́ r n íː
birtaniya	b ɪ̀ r t áː n ɪ́ j ɛ̀
bisa	b ɪ́ s áː
bishar̃a	b ɪ̀ ʃ áː r àː
bishiya	b ɪ́ ʃ ɪ́ j àː
bisimilla	b ɪ̀ s ɪ́ m ɪ́ l l àː
bisimillahi	b ɪ̀ s ɪ́ m ɪ̀ l l áː h ìː
biya	b ɪ́ j áː
biya	b ɪ́ j ɛ̀
biyar	b ɪ̀ j ɛ́ r
biyayya	b ɪ̀ j ɛ́ j j àː
biyu	b ɪ́ j ʊ́
biza	b íː z àː
boca	b óː t͡ʃ àː
boka	b óː k áː
boko	b óː kʷ òː
bonono	b òː n òː n òː
bora	b óː ɽ àː
bori	b òː ɽ íː
borintinke	b òː ɽ ɪ́ n t ɪ́ ɲ c èː
bosniya	b ɔ́ s n ɪ́ j ɛ̀
boyi	b òː j ɪ́
boɗoɗo	b òː ɗ òː ɗ òː
budurwa	b ʊ̀ d ɪ́ ɽ w áː
buguzunzum	b ʊ̀ ɡʷ ʊ̀ z ɪ̀ n z ɪ̀ m
bukka	b ʊ́ k k àː
bura	b úː ɽ áː
buroka	b ʊ̀ r óː k àː
burɗunɗun	b ʊ̀ r ɗ ɪ̀ n ɗ ɪ̀ ŋ
buta	b úː t àː
buƙata	b ʊ̀ kʼ áː t àː
buƙwi	b ʊ̀ kʷʼ íː
buɗuɗu	b ʊ́ ɗ ɪ́ ɗ ɪ́
ca	t͡ʃ áː
ca	t͡ʃ âː
cadi	t͡ʃ áː d ɪ̀
caka	t͡ʃ ə̀ k áː
caka	t͡ʃ ə́ k ə́
calawa	t͡ʃ áː l áː w áː
cali	t͡ʃ àː l ɪ́
cali	t͡ʃ áː l íː
canko	t͡ʃ à ŋ kʷ óː
casa'in	t͡ʃ ə̀ s ə̀ ʔ ɪ́ ŋ
cata	t͡ʃ áː t àː
caɓaɓa	t͡ʃ ə́ ɓ ə́ ɓ ə́
ci	t͡ʃ ɪ́
cibi	t͡ʃ íː b ìː
cibi	t͡ʃ ɪ́ b íː
cibiya	t͡ʃ íː b ɪ̀ j áː
cif	t͡ʃ ɪ́ p
cif	t͡ʃ ɪ̂ ɸ
cigaba	t͡ʃ îː ɡ ə̀ b ə́
ciki	t͡ʃ ɪ́ c ìː
ciki	t͡ʃ ɪ́ c ɪ́
cindo	t͡ʃ ɪ́ n d òː
cir	t͡ʃ ɪ̂ r
ciroma	t͡ʃ ɪ́ r òː m ə̀
citta	t͡ʃ ɪ̀ t t ə́
citta	t͡ʃ ɪ́ t t ə̀
ciwo	t͡ʃ íː w òː
coci	t͡ʃ óː t͡ʃ ɪ̀
coi	t͡ʃ ó ɪ́
cokali	t͡ʃ óː k ə̀ l íː
cuku	t͡ʃ ɪ́ kʷ úː
cukwi	t͡ʃ ɪ́ kʷ íː
cuna	t͡ʃ úː n àː
cura	t͡ʃ úː ɽ àː
curi	t͡ʃ úː ɽ ìː
cwai	t͡ʃʷ é i
da'awa	d ə̀ ʔ à w áː
da'ira	d áː ʔ ɪ̀ r áː
dabba	d á b b àː
dabino	d ə́ b íː n òː
dabo	d ə́ b òː
daddawa	d à d d ə́ w áː
daftari	d á ɸ t ə̀ r íː
daga	d áː ɡ áː
daga	d ə́ ɡ áː
dage	d ə́ ɟ éː
dahir	d áː h ɪ̀ r
daimon	d é i m ɔ̀ ŋ
daina	d é i n àː
dala	d àː l ə́
dala	d ə́ l àː
dalili	d ə̀ l íː l ìː
dama	d áː m áː
damagaram	d ə̀ m ə́ ɡ ə̀ r á ŋ
dambe	d á m b é
dambu	d á m b úː
damisa	d àː m ɪ́ s àː
damuwa	d àː m ʊ́ w áː
danana	d ə́ n ə́ n ə́
danda	d à n d ə́
dandali	d á n d ə̀ l íː
danga	d á ŋ ɡ áː
dankali	d à ŋ k ə́ l ìː
daraja	d ə́ r ə́ d͡ʒ àː
darasi	d ə́ r ə̀ s íː
darduma	d à r d úː m àː
dari	d ə́ ɽ ìː
darma	d á r m àː
darni	d à r n íː
datti	d à t t ɪ́
dattijo	d á t t íː d͡ʒ ò
dau	d à u
dauda	d á u d àː
daula	d á u l àː
daura	d à u ɽ áː
dawa	d áː w àː
dawa	d ə́ w ə̀
daƙashi	d ə́ kʼ ə̀ ʃ íː
daƙiƙa	d ə̀ cʼ íː kʼ àː
daƙiƙi	d ə̀ cʼ íː cʼ ìː
di'o	d íː ʔ òː
diflomasiyya	d ɪ̀ ɸ l òː m ə̀ s ɪ́ j j àː
diga	d ɪ́ ɡ àː
dimilmilo	d ɪ́ m ɪ́ l m ɪ́ l òː
dimokuraɗiyya	d ɪ̀ m ò kʷ ʊ̀ ɽ ə̀ ɗ ɪ́ j j àː
dina	d ɪ́ n àː
dinari	d íː n áː r ìː
dinya	d ɪ́ ɲ j áː
disamba	d ɪ̀ s á m b àː
diwani	d íː w áː n ìː
diyya	d ɪ́ j j àː
dogara	d òː ɡ ə́ ɽ àː
dogara	d òː ɡ ə́ ɽ ə̀
dogarai	d òː ɡ ə̀ ɽ é i
dogari	d òː ɡ ə́ ɽ ìː
dogo	d óː ɡʷ ó
dogo	d óː ɡʷ óː
doki	d óː c ìː
dokta	d ɔ́ k t àː
domin	d òː m ɪ́ ŋ
dorina	d òː ɽ ɪ́ n áː
dososo	d òː s òː s òː
du'a'i	d ɪ́ ʔ áː ʔ ìː
dubu	d ɪ́ b úː
dukiya	d úː c ɪ̀ j áː
dukuku	d ɪ̀ kʷ ʊ̀ kʷ ʊ̀
duma	d ɪ́ m àː
duma	d ɪ́ m áː
dumɓu	d ɪ́ m ɓ úː
duna	d úː n àː
duniya	d úː n ɪ́ j àː
duri	d úː ɽ ìː
duros	d ɪ̀ r â s
dutse	d úː sʼ è
dutse	d úː sʼ èː
edita	ʔ ɛ́ d ɪ́ t ə̀
eka	ʔ éː k àː
el'e	ʔ ɛ́ l ʔ êː
emti	ʔ ɛ́ m t ìː
en'e	ʔ ɛ́ ŋ ʔ èː
fa'ida	ɸ áː ʔ ɪ́ d àː
fabrairu	ɸ à b r é i r ɪ̀
fahami	ɸ ə́ h à m íː
fahari	ɸ ə́ h à r íː
falsafa	ɸ á l s ə́ ɸ àː
fam	ɸ â ŋ
fangali	ɸ á ŋ ɡ ə́ l íː
fanke	ɸ ɛ̀ ɲ c éː
fanni	ɸ á n n ìː
fara	ɸ àː ɽ áː
fara'a	ɸ ə́ r ə́ ʔ àː
farali	ɸ ə́ r ə̀ l íː
faransa	ɸ ə̀ r á n s ə̀
faransanci	ɸ ə́ r á n s á n t͡ʃ íː
farce	ɸ á ɽ t͡ʃ èː
fari	ɸ áː ɽ ɪ̀
fari	ɸ ə́ ɽ íː
farilla	ɸ ə̀ r ɪ́ l l àː
farisa	ɸ áː r ɪ́ s ə̀
farko	ɸ á ɽ kʷ óː
fartanya	ɸ á r t ɛ́ ɲ j àː
faruku	ɸ àː r ɪ́ kʷ ʊ̀
faruƙu	ɸ àː r ɪ́ kʷʼ ʊ̀
fasa'ofis	ɸ ə́ s ə̀ ʔ óː ɸ ɪ̀ s
fasali	ɸ ə́ s ə̀ l íː
fasfo	ɸ à s ɸ ó
fashe	ɸ ə́ ʃ é
fasinja	ɸ áː s ɪ́ n d͡ʒ ə̀
fasiƙi	ɸ áː s ɪ̀ cʼ íː
fassara	ɸ á s s ə́ r àː
fat	ɸ á t
fatakwal	ɸ ə́ t áː kʷ à l
fatanya	ɸ ə́ t ɛ́ ɲ j àː
fatau	ɸ ə́ t á u
fatsa	ɸ ə́ sʼ ə́
fatsi	ɸ ə́ sʼ íː
fau	ɸ á u
faƙiri	ɸ ə̀ cʼ íː r ìː
faɗa	ɸ áː ɗ àː
faɗa	ɸ ə̀ ɗ áː
faɗa	ɸ ə́ ɗ àː
faɗimatu	ɸ áː ɗ ɪ̀ m ə́ t ɪ̀
feda	ɸ éː d àː
fensir	ɸ ɛ́ n s ɪ̀ r
fes	ɸ ɛ́ s
fetal	ɸ èː t á l
fetur̃	ɸ éː t ɪ̀ r
fi'ili	ɸ ɪ́ ʔ ɪ̀ l íː
fida'u	ɸ ɪ̀ d áː ʔ ùː
fijo	ɸ ɪ̀ d͡ʒ ôː
filafili	ɸ ɪ́ l ə̀ ɸ ɪ́ l íː
filas	ɸ ɪ̀ l â s
filato	ɸ ɪ̀ l àː t ó
fili	ɸ íː l íː
firamare	ɸ ɪ́ r áː m ə̀ r èː
fis	ɸ ɪ̂ s
fita	ɸ ɪ̀ t áː
fitila	ɸ ɪ̀ t ɪ́ l àː
fitina	ɸ ɪ̀ t ɪ́ n àː
fitsari	ɸ ɪ́ sʼ áː ɽ íː
fiƙihu	ɸ ɪ́ cʼ ɪ́ h ʊ̀
fom	ɸ â ŋ
fula	ɸ ùː l áː
funkaso	ɸ ʊ̀ ŋ k àː s óː
funtuwa	ɸ ʊ̀ n t ʊ́ w ə̀
fura	ɸ ʊ́ ɽ áː
fure	ɸ ʊ̀ ɽ éː
fururu	ɸ ʊ́ ɽ ɪ́ ɽ ɪ́
fusata	ɸ ʊ̀ s áː t ə̀
fusata	ɸ ʊ́ s àː t áː
fuɗu	ɸ ʊ́ ɗ ɪ́
gabar	ɡ ə́ b à r
gabas	ɡ ə́ b à s
gada	ɡ ə̀ d áː
gada	ɡ ə́ d àː
gadara	ɡ ə̀ d áː r àː
gado	ɡ ə́ d óː
gadu	ɡ ə̀ d úː
gafara	ɡ áː ɸ ə́ r àː
gagai	ɡ ə́ ɡ è i
gagarau	ɡ àː ɡ ə̀ ɽ á u
gaggafa	ɡ á ɡ ɡ áː ɸ áː
gahawa	ɡ ə́ h á w àː
gaibi	ɡ é i b ɪ̀
gaira	ɡ é i r ə̀
gaiwa	ɡ ê i w áː
gajere	ɡ ə̀ d͡ʒ éː ɽ é
gajere	ɡ ə̀ d͡ʒ éː ɽ éː
galadima	ɡ ə̀ l àː d íː m àː
galala	ɡ àː l àː l àː
galau	ɡ ə̀ l á u
galibi	ɡ áː l ɪ̀ b íː
gam	ɡ â ŋ
gamsheƙa	ɡ à m ʃ èː kʼ áː
gana	ɡ áː n ə̀
ganau	ɡ ə̀ n á u
gandu	ɡ á n d úː
ganima	ɡ ə̀ n íː m àː
ganji	ɡ á n d͡ʒ ìː
ganuwa	ɡ áː n ʊ́ w áː
ganye	ɡ ɛ́ ɲ j éː
gara	ɡ ə́ r àː
garafuni	ɡ ə̀ ɽ àː ɸ ʊ́ n íː
gari	ɡ àː ɽ íː
gari	ɡ ə̀ ɽ íː
garki	ɡ à ɽ c ɪ́
garkuwa	ɡ à ɽ kʷ ʊ́ w áː
garu	ɡ àː r úː
garwashi	ɡ á ɽ w áː ʃ íː
gasa	ɡ àː s áː
gaskata	ɡ à s k ə́ t ə̀
gaskata	ɡ á s k ə̀ t áː
gaskiya	ɡ á s c ɪ́ j áː
gatari	ɡ àː t ə́ ɽ íː
gaula	ɡ á u l áː
gawa	ɡ áː w áː
gawasa	ɡ ə́ w ə́ s àː
gazet	ɡ ə̀ z á t
gefin	ɟ èː ɸ ɪ̀ ŋ
gemu	ɟ éː m ùː
giginya	ɟ ɪ́ ɟ ɪ́ ɲ j àː
giginyu	ɟ ɪ̀ ɟ ɪ̀ ɲ j ʊ́
gimbiya	ɟ ɪ́ m b ɪ̀ j áː
giris	ɟ ɪ̀ r ɪ̂ s
girka	ɟ ɪ́ ɽ k àː
girka	ɟ ɪ́ ɽ k áː
girma	ɟ ɪ́ ɽ m áː
gitta	ɟ ɪ́ t t àː
giwa	ɟ íː w áː
giya	ɟ ɪ́ j àː
goba	ɡʷ óː b àː
gobir	ɡʷ òː b ɪ́ r
goge	ɡʷ òː ɟ éː
goma	ɡʷ óː m ə̀
gomiya	ɡʷ òː m ɪ́ j áː
gona	ɡʷ óː n áː
goro	ɡʷ óː r ò
goyo	ɡʷ óː j óː
guba	ɡʷ ʊ́ b àː
guduma	ɡʷ ʊ̀ d ɪ́ m àː
gula	ɡʷ ʊ́ l àː
gulbi	ɡʷ ʊ́ l b íː
gum	ɡʷ ʊ̀ m
guma	ɡʷ ʊ́ m àː
gumal	ɡʷ ʊ́ m à l
guna	ɡʷ ʊ́ n àː
gunda	ɡʷ ʊ́ n d àː
gunki	ɡʷ ʊ́ ɲ c ìː
gunus	ɡʷ ʊ̀ n ɪ̀ s
gunya	ɡʷ ʊ́ ɲ j áː
gurasa	ɡʷ ʊ̀ r áː s àː
gurnet	ɡʷ ʊ̀ r n á t
guru	ɡʷ úː r úː
gusa	ɡʷ ʊ́ s àː
gusau	ɡʷ ʊ̀ s á u
gusum	ɡʷ ʊ́ s ɪ̀ ŋ
guɗa	ɡʷ úː ɗ àː
gwaggo	ɡʷ á ɡʷ ɡʷ ò
gwaiba	ɡʷ é i b àː
gwal	ɡʷ â l
gwalkwas	ɡʷ á l kʷ à s
gwamna	ɡʷ á m n àː
gwamnati	ɡʷ á m n ə́ t ɪ̀
gwanda	ɡʷ á n d àː
gwandu	ɡʷ á n d ɪ́
gwangwani	ɡʷ á ŋ ɡʷ ə́ n íː
gwanjo	ɡʷ à n d͡ʒ óː
gwanki	ɡʷ ɛ́ ɲ c íː
gwaza	ɡʷ áː z áː
gwiwa	ɡʷ íː w àː
habasha	h á b ə́ ʃ ə̀
hadda	h á d d àː
haddi	h á d d ìː
hadisi	h à d íː s ìː
hadizatu	h à d íː z ə́ t ɪ̀
hafizu	h áː ɸ ɪ́ z ɪ̀
hafsatu	h à ɸ s ə́ t ɪ̀
haihu	h á i h ʊ̀
haihuwa	h á i h ʊ̀ w áː
haila	h á i l àː
hairan	h á i r à ŋ
haja	h áː d͡ʒ àː
haji	h á d͡ʒ ɪ̀
hajji	h á d d͡ʒ ɪ̀
hajji	ʔ à l h á d͡ʒ ɪ́
hakimi	h áː c ɪ̀ m íː
hakiya	h á c ɪ́ j àː
hakkan	h á k k à ŋ
hakki	h á c c ìː
halaka	h à l ə́ k ə̀
halaka	h á l ə̀ k áː
halal	h à l â l
halama	h à l áː m àː
hali	h áː l íː
halilu	h à l íː l ɪ̀
halima	h à l íː m ə̀
halwa	h á l w àː
hama	h á m àː
hamada	h à m áː d àː
hamayya	h à m ɛ́ j j àː
hamdala	h á m d ə́ l àː
hamidu	h á m íː d ɪ̀
hamila	h à m íː l àː
hamsin	h à m s ɪ́ ŋ
hanci	h á n t͡ʃ ìː
hanci	h á n t͡ʃ ɪ́
hangum	h à ŋ ɡʷ ʊ́ ŋ
hanhai	h à ŋ h á i
hani	h á n ìː
hani'an	h áː n ɪ́ ʔ à ŋ
hankali	h á ŋ k ə̀ l ɪ̀
hannu	h á n n úː
hanta	h á n t àː
hanya	h ɛ́ ɲ j àː
har	h á r
harafi	h á r ə̀ ɸ íː
haraji	h à r áː d͡ʒ ìː
haram	h à r â ŋ
harsashi	h à r s áː ʃ ìː
harshe	h á ɽ ʃ è
haruna	h á r úː n ə̀
hasa	h á s àː
hasafi	h á s ə̀ ɸ íː
hasan	h á s à ŋ
hasana	h á s ə̀ n áː
hasara	h à s áː r àː
hassada	h á s s ə́ d àː
hatimi	h áː t ɪ̀ m íː
hatta	h à t t áː
hau	h â u
hausa	h á u s ə́
hauwa	h à u w ə́
hawa'i	h à w áː ʔ íː
hawainiya	h à w é i n ɪ̀ j áː
hazbiya	h á z b ɪ́ j áː
haziƙi	h áː z ɪ̀ cʼ íː
hazo	h á z óː
haƙori	h á kʷʼ óː ɽ íː
haƙurau	h à kʷʼ ʊ̀ ɽ á u
haɓa	h á ɓ àː
haɓe	h áː ɓ è
haɓɓoje	h á ɓ ɓ óː d͡ʒ è
haɗama	h à ɗ ə́ m àː
haɗari	h á ɗ ə̀ r íː
haɗeja	h á ɗ éː d͡ʒ ə̀
haɗi	h á ɗ ìː
hidima	h ɪ́ d ɪ́ m áː
hijabi	h ɪ̀ d͡ʒ áː b ìː
hijira	h ɪ́ d͡ʒ ɪ́ r áː
hikaya	h ɪ̀ k áː j àː
hikima	h ɪ́ c ɪ́ m àː
hisabi	h ɪ̀ s áː b ìː
hoda	h óː d àː
hole	h óː l èː
holo	h óː l òː
homan	h óː m à ŋ
hoto	h òː t óː
hubbare	h ʊ́ b b áː r è
huhu	h ùː h úː
huhu	h úː h ùː
hukuma	h ʊ̀ kʷ úː m àː
hukunci	h ʊ́ kʷ ʊ́ n t͡ʃ ɪ́
hula	h ùː l áː
humushi	h ʊ́ m ùː ʃ íː
humusi	h ʊ́ m ùː s íː
huntu	h ʊ́ n t úː
hura	h úː ɽ àː
hurriyya	h ʊ̀ r r ɪ́ j j àː
husaina	h ʊ́ s è i n áː
husaini	h ʊ̀ s é i n ɪ̀
husufi	h ʊ̀ s úː ɸ ìː
hutsu	h úː sʼ úː
hutu	h úː t úː
huɗu	h ʊ́ ɗ ɪ́
huɗuba	h ʊ́ ɗ ɪ́ b àː
ibada	ʔ ɪ̀ b áː d àː
