Ёма	j o̞ m ä
кага	k ä ɡ ä
кад	k ä d
канава	k ä n ä ʋ ä
кань	k ä ɲ
каньпи	k ä ɲ p i
кар	k ä r
картафель	k ä r t ä f e ʎ
картупель	k ä r t u p e ʎ
кась	k ä ɕ
катша	k ä t͡ʃ̺ ä
катшаанӧй	k ä t͡ʃ̺ ä ʔ ä n ɘ j
квайт	k ʋ ä j t
квайтымын	k ʋ ä j t ɯ̈ m ɯ̈ n
кев	k e ʋ
кер	k e r
керка	k e r k ä
кидас	k i d ä s
кись	k i ɕ
ключ	k ʎ u t͡ɕ
книга	k ɲ i ɡ ä
ков	k o̞ ʋ
ковны	k o̞ ʋ n ɯ̈
код	k o̞ d
кодзны	k o̞ d͡ʑ n ɯ̈
кодзув	k o̞ d͡ʑ u ʋ
кодзувкот	k o̞ d͡ʑ u ʋ k o̞ t
кодкӧ	k o̞ d k ɘ
кодсюрӧ	k o̞ d ɕ u r ɘ
кодыр	k o̞ d ɯ̈ r
кодь	k o̞ ɟ
коді	k o̞ d i
коз	k o̞ z
козин	k o̞ ʑ i n
койны	k o̞ j n ɯ̈
кок	k o̞ k
коксяр	k o̞ k ɕ ä r
коль	k o̞ ʎ
кольк	k o̞ ʎ k
коми	k o̞ m i
комиасьны	k o̞ m i ä ɕ n ɯ̈
комын	k o̞ m ɯ̈ n
кор	k o̞ r
корек	k o̞ r e k
кос	k o̞ s
кось	k o̞ ɕ
куз	k u z
кузь	k u ʑ
кузя	k u ʑ ä
куим	k u i m
кук	k u k
кукань	k u k ä ɲ
куканя	k u k ä ɲ ä
кулӧм	k u ɫ ɘ m
кути	k u c i
кутны	k u t n ɯ̈
кутю	k u c u
кутян	k u c ä n
кы	k ɯ̈
кыв	k ɯ̈ ʋ
кывны	k ɯ̈ ʋ n ɯ̈
кывчукӧр	k ɯ̈ ʋ t͡ɕ u k ɘ r
кыдз	k ɯ̈ d͡ʑ
кыз	k ɯ̈ z
кыза	k ɯ̈ z ä
кызта	k ɯ̈ z t ä
кызь	k ɯ̈ ʑ
кый	k ɯ̈ j
кык	k ɯ̈ k
кымӧс	k ɯ̈ m ɘ s
кыны	k ɯ̈ n ɯ̈
кынь	k ɯ̈ ɲ
кыр	k ɯ̈ r
кырныш	k ɯ̈ r n ɯ̈ ʃ̺
кыс	k ɯ̈ s
кытш	k ɯ̈ t͡ʃ̺
кычан	k ɯ̈ t͡ɕ ä n
кычи	k ɯ̈ t͡ɕ i
кыы	k ɯ̈ː
кыыны	k ɯ̈ː n ɯ̈
кӧв	k ɘ ʋ
кӧин	k ɘ i n
кӧинпи	k ɘ i n p i
кӧкъямыс	k ɘ k j ä m ɯ̈ s
кӧкъямысдас	k ɘ k j ä m ɯ̈ z d ä s
кӧр	k ɘ r
кӧрт	k ɘ r t
кӧч	k ɘ t͡ɕ
кӧчиль	k ɘ t͡ɕ i ʎ
лап	ɫ ä p
лапӧд	ɫ ä p ɘ d
ласича	ɫ ä ɕ i t͡ɕ ä
латшӧг	ɫ ä t͡ʃ̺ ɘ ɡ
лев	ʎ e ʋ
леденец	ʎ e ɟ e ɲ e t͡s
лек	ʎ e k
лов	ɫ o̞ ʋ
лоны	ɫ o̞ n ɯ̈
лоо	ɫ o̞ː
лоп	ɫ o̞ p
лудік	ɫ u d i k
лук	ɫ u k
лун	ɫ u n
лунвыв	ɫ u n ʋ ɯ̈ ʋ
лы	ɫ ɯ̈
лыд	ɫ ɯ̈ d
лыддьыны	ɫ ɯ̈ ɟː ɯ̈ n ɯ̈
лым	ɫ ɯ̈ m
лыс	ɫ ɯ̈ s
льӧб	ʎ ɘ b
льӧм	ʎ ɘ m
лэбач	ɫ e b ä t͡ɕ
лэбны	ɫ e b n ɯ̈
лӧдз	ɫ ɘ d͡ʑ
ма	m ä
май	m ä j
малязі	m ä ʎ ä z i
малямуш	m ä ʎ ä m u ʃ̺
мам	m ä m
манак	m ä n ä k
марксизм	m ä r k ɕ i z ɘ m
март	m ä r t
ме	m e
мед	m e d
медводдза	m e d ʋ o̞ d͡ʑː ä
мек	m e k
мел	m e ɫ
менам	m e n ä m
ми	m i
мич	m i t͡ɕ
мича	m i t͡ɕ ä
млекопитающӧй	m ʎ e k o̞ p i t ä j u ʃ̺ː ɘ j
море	m o̞ r e
морт	m o̞ r t
мортанӧй	m o̞ r t ä n ɘ j
мортвиысь	m o̞ r t ʋ i ɯ̈ ɕ
мортсёйысь	m o̞ r t ɕ o̞ j ɯ̈ ɕ
му	m u
мукӧд	m u k ɘ d
мус	m u s
муса	m u s ä
мусук	m u s u k
мый	m ɯ̈ j
мыйкӧ	m ɯ̈ j k ɘ
мыйсюрӧ	m ɯ̈ j ɕ u r ɘ
мыльк	m ɯ̈ ʎ k
мыр	m ɯ̈ r
мыш	m ɯ̈ ʃ̺
мӧд	m ɘ d
мӧдны	m ɘ d n ɯ̈
мӧс	m ɘ s
мӧсвидзысь	m ɘ s ʋ i d͡ʑ ɯ̈ ɕ
на	n ä
найӧ	n ä j ɘ
нальк	n ä ʎ k
народ	n ä r o̞ d
небӧг	ɲ e b ɘ ɡ
невеста	ɲ e ʋ e s t ä
нек	ɲ e k
некод	ɲ e k o̞ d
некымын	ɲ e k ɯ̈ m ɯ̈ n
нелямын	ɲ e ʎ ä m ɯ̈ n
неп	ɲ e p
нефть	ɲ e f c
низь	ɲ i ʑ
ним	ɲ i m
нин	ɲ i n
нинӧм	ɲ i n ɘ m
нитш	ɲ i t͡ʃ̺
ноко	n o̞ k o̞
ном	n o̞ m
ноябр	n o̞ j ä b
ныв	n ɯ̈ ʋ
нывбаба	n ɯ̈ ʋ b ä b ä
нывка	n ɯ̈ ʋ k ä
ныланӧй	n ɯ̈ ɫ ä n ɘ j
ныр	n ɯ̈ r
ныы	n ɯ̈ː
ньыв	ɲ ɯ̈ ʋ
ньывк	ɲ ɯ̈ ʋ k
ньӧв	ɲ ɘ ʋ
нюусись	ɲ uː ɕ i ɕ
нянь	ɲ ä ɲ
нёль	ɲ o̞ ʎ
нӧб	n ɘ b
нӧд	n ɘ d
нӧдкыв	n ɘ d k ɯ̈ ʋ
нӧк	n ɘ k
об	o̞ b
ов	o̞ ʋ
овмӧс	o̞ ʋ m ɘ s
овны	o̞ ʋ n ɯ̈
ог	o̞ ɡ
оз	o̞ z
октябр	o̞ k c ä b
олан	o̞ ɫ ä n
олӧм	o̞ ɫ ɘ m
омӧль	o̞ m ɘ ʎ
он	o̞ n
ооны	o̞ː n ɯ̈
ош	o̞ ʃ̺
падеж	p ä ɟ e ʒ̺
пар	p ä r
парма	p ä r m ä
партия	p ä r c i j ä
паськыд	p ä ɕ k ɯ̈ d
пасьта	p ä ɕ t ä
пашкан	p ä ʃ̺ k ä n
пев	p e ʋ
пей	p e j
пекнича	p e k ɲ i t͡ɕ ä
пель	p e ʎ
пеля	p e ʎ ä
первой	p e r ʋ o̞ j
петас	p e t ä s
пи	p i
пианӧй	p i ä n ɘ j
пив	p i ʋ
пивер	p i ʋ e r
пивиысь	p i ʋ i ɯ̈ ɕ
пилот	p i ɫ o̞ t
пингвин	p i n ɡ ʋ i n
пингвинпи	p i n ɡ ʋ i n p i
пинь	p i ɲ
письмӧ	p i ɕ m ɘ
пиук	p i u k
плӧтник	p ɫ ɘ t ɲ i k
пож	p o̞ ʒ̺
поз	p o̞ z
поле	p o̞ ʎ e
поль	p o̞ ʎ
польӧ	p o̞ ʎ ɘ
полярнӧй	p o̞ ʎ ä r n ɘ j
пом	p o̞ m
помка	p o̞ m k ä
пон	p o̞ n
понпи	p o̞ n p i
поп	p o̞ p
пороз	p o̞ r o̞ z
порсь	p o̞ r ɕ
порсьпи	p o̞ r ɕ p i
пос	p o̞ s
преник	p r e ɲ i k
пруд	p r u d
пу	p u
пув	p u ʋ
пуд	p u d
пуж	p u ʒ̺
пур	p u r
пурт	p u r t
пуртӧс	p u r t ɘ s
пуу	p uː
пывсьыны	p ɯ̈ ʋ ɕ ɯ̈ n ɯ̈
пывсян	p ɯ̈ ʋ ɕ ä n
пыдна	p ɯ̈ d n ä
пыдӧс	p ɯ̈ d ɘ s
пыж	p ɯ̈ ʒ̺
пызан	p ɯ̈ z ä n
пызь	p ɯ̈ ʑ
пыш	p ɯ̈ ʃ̺
пыысян	p ɯ̈ː ɕ ä n
пятница	p ä t ɲ i t͡s ä
пӧв	p ɘ ʋ
пӧдруга	p ɘ d r u ɡ ä
пӧк	p ɘ k
пӧлтинник	p ɘ ɫ c i ɲː i k
пӧль	p ɘ ʎ
пӧрт	p ɘ r t
пӧръявны	p ɘ r j ä ʋ n ɯ̈
пӧръясьны	p ɘ r j ä ɕ n ɯ̈
пӧръясян	p ɘ r j ä ɕ ä n
пӧсь	p ɘ ɕ
пӧч	p ɘ t͡ɕ
равнина	r ä ʋ ɲ i n ä
рас	r ä s
резӧб	r e z ɘ b
республика	r e s p u b ʎ i k ä
рос	r o̞ s
рот	r o̞ t
роч	r o̞ t͡ɕ
рочавны	r o̞ t͡ɕ ä ʋ n ɯ̈
рочасьны	r o̞ t͡ɕ ä ɕ n ɯ̈
рочӧдны	r o̞ t͡ɕ ɘ d n ɯ̈
руд	r u d
руч	r u t͡ɕ
ручиль	r u t͡ɕ i ʎ
рысь	r ɯ̈ ɕ
рыт	r ɯ̈ t
рытыв	r ɯ̈ t ɯ̈ ʋ
рытыввыв	r ɯ̈ t ɯ̈ ʋ ʋ ɯ̈ ʋ
сад	s ä d
садь	s ä ɟ
садьмыны	s ä ɟ m ɯ̈ n ɯ̈
сан	s ä n
свод	s ʋ o̞ d
сентябр	ɕ e n c ä b
сер	ɕ e r
середа	ɕ e r e d ä
си	ɕ i
сизим	ɕ i ʑ i m
сизимдас	ɕ i ʑ i m d ä s
сикт	ɕ i k t
син	ɕ i n
синкым	ɕ i n k ɯ̈ m
синлап	ɕ i n ɫ ä p
синлыс	ɕ i n ɫ ɯ̈ s
сир	ɕ i r
сись	ɕ i ɕ
слӧн	s ɫ ɘ n
соболь	s o̞ b o̞ ʎ
сод	s o̞ d
сок	s o̞ k
сос	s o̞ s
среда	s r e d ä
став	s t ä ʋ
стрӧпилӧ	s t r ɘ p i ɫ ɘ
субӧта	s u b ɘ t ä
сувтны	s u ʋ t n ɯ̈
судно	s u d n o̞
сук	s u k
суоми	s u o̞ m i
сур	s u r
сутны	s u t n ɯ̈
сы	s ɯ̈
сьывны	ɕ ɯ̈ ʋ n ɯ̈
сьыыны	ɕ ɯ̈ː n ɯ̈
сьӧд	ɕ ɘ d
сьӧдбӧж	ɕ ɘ d b ɘ ʒ̺
сьӧкта	ɕ ɘ k t ä
сьӧла	ɕ ɘ ɫ ä
сьӧлӧм	ɕ ɘ ɫ ɘ m
сьӧм	ɕ ɘ m
сьӧмӧс	ɕ ɘ m ɘ s
сэк	s e k
сэки	s e k i
сэтшӧм	s e t͡ʃ̺ ɘ m
сюв	ɕ u ʋ
сюзь	ɕ u ʑ
сюн	ɕ u n
сюр	ɕ u r
сюра	ɕ u r ä
сюрс	ɕ u r s
сям	ɕ ä m
сё	ɕ o̞
сёйны	ɕ o̞ j n ɯ̈
сёйысь	ɕ o̞ j ɯ̈ ɕ
сёр	ɕ o̞ r
сёрни	ɕ o̞ r ɲ i
сі	s i
сійӧ	s i j ɘ
сӧн	s ɘ n
сӧп	s ɘ p
таб	t ä b
таз	t ä z
талун	t ä ɫ u n
татшӧм	t ä t͡ʃ̺ ɘ m
телефон	c e ʎ e f o̞ n
тигр	c i ɡ ɘ r
топӧдны	t o̞ p ɘ d n ɯ̈
тор	t o̞ r
тош	t o̞ ʃ̺
тув	t u ʋ
тувсов	t u ʋ s o̞ ʋ
туй	t u j
тулан	t u ɫ ä n
тулыс	t u ɫ ɯ̈ s
тури	t u r i
турипи	t u r i p i
туркмен	t u r k m e n
туусоо	t uː s o̞ː
тшак	t͡ʃ̺ ä k
тшыг	t͡ʃ̺ ɯ̈ ɡ
тшӧка	t͡ʃ̺ ɘ k ä
тшӧтшыд	t͡ʃ̺ ɘ t͡ʃ̺ ɯ̈ d
ты	t ɯ̈
тыв	t ɯ̈ ʋ
тырп	t ɯ̈ r p
тысяча	t ɯ̈ ɕ ä t͡ɕ ä
тыш	t ɯ̈ ʃ̺
тыы	t ɯ̈ː
тьӧт	c ɘ t
тэ	t e
тэнад	t e n ä d
тюлень	c u ʎ e ɲ
ті	t i
тӧб	t ɘ b
тӧв	t ɘ ʋ
тӧвар	t ɘ ʋ ä r
тӧдны	t ɘ d n ɯ̈
тӧлун	t ɘ ɫ u n
тӧлысь	t ɘ ɫ ɯ̈ ɕ
ув	u ʋ
увт	u ʋ t
увтыс	u ʋ t ɯ̈ s
удж	u d͡ʒ̺
узьны	u ʑ n ɯ̈
уксус	u k s u s
ун	u n
уна	u n ä
унай	u n ä j
уньӧ	u ɲ ɘ
унінь	u n i ɲ
ур	u r
ус	u s
утка	u t k ä
уткаавны	u t k ä ʔ ä ʋ n ɯ̈
уткаасьны	u t k ä ʔ ä ɕ n ɯ̈
уткапи	u t k ä p i
учение	u t͡ɕ e ɲ i j e
учитель	u t͡ɕ i c e ʎ
февраль	p e ʋ r ä ʎ
финн	f i n
флаг	f ɫ ä ɡ
флаг	p ɫ ä ɡ
футбол	f u d b o̞ ɫ
чаг	t͡ɕ ä ɡ
чаль	t͡ɕ ä ʎ
чань	t͡ɕ ä ɲ
чача	t͡ɕ ä t͡ɕ ä
челядь	t͡ɕ e ʎ ä ɟ
черань	t͡ɕ e r ä ɲ
чери	t͡ɕ e r i
четверг	t͡ɕ e t ʋ e r ɡ
чипам	t͡ɕ i p ä m
чирк	t͡ɕ i r k
чож	t͡ɕ o̞ ʒ̺
чожинь	t͡ɕ o̞ ʒ̺ i ɲ
чой	t͡ɕ o̞ j
чом	t͡ɕ o̞ m
чошӧ	t͡ɕ o̞ ʃ̺ ɘ
чув	t͡ɕ u ʋ
чуж	t͡ɕ u ʒ̺
чужмӧр	t͡ɕ u ʒ̺ m ɘ r
чужӧм	t͡ɕ u ʒ̺ ɘ m
чукӧр	t͡ɕ u k ɘ r
чукӧртны	t͡ɕ u k ɘ r t n ɯ̈
чукӧртчыны	t͡ɕ u k ɘ r t͡ɕː ɯ̈ n ɯ̈
чуш	t͡ɕ u ʃ̺
чышъян	t͡ɕ ɯ̈ ʃ̺ j ä n
чӧд	t͡ɕ ɘ d
чӧр	t͡ɕ ɘ r
чӧрӧс	t͡ɕ ɘ r ɘ s
чӧскыд	t͡ɕ ɘ s k ɯ̈ d
чӧсмасьны	t͡ɕ ɘ s m ä ɕ n ɯ̈
шайт	ʃ̺ ä j t
шег	ʃ̺ e ɡ
школа	ʃ̺ k o̞ ɫ ä
шляпа	ʃ̺ ʎ ä p ä
шоколад	ʃ̺ o̞ k o̞ ɫ ä d
шом	ʃ̺ o̞ m
шомйӧв	ʃ̺ o̞ m j ɘ ʋ
шомӧс	ʃ̺ o̞ m ɘ s
шонді	ʃ̺ o̞ n d i
шоч	ʃ̺ o̞ t͡ɕ
шуд	ʃ̺ u d
шы	ʃ̺ ɯ̈
шыд	ʃ̺ ɯ̈ d
шыдӧс	ʃ̺ ɯ̈ d ɘ s
щель	ʃ̺ː e ʎ
ыб	ɯ̈ b
ывла	ɯ̈ ʋ ɫ ä
ыджда	ɯ̈ d͡ʒ̺ d ä
ыджыд	ɯ̈ d͡ʒ̺ ɯ̈ d
ыж	ɯ̈ ʒ̺
ылна	ɯ̈ ɫ n ä
эг	e ɡ
эж	e ʒ̺
эз	e z
эм	e m
эн	e n
энлы	e n ɫ ɯ̈
энлӧй	e n ɫ ɘ j
энь	e ɲ
энька	e ɲ k ä
ю	j u
югӧр	j u ɡ ɘ r
юк	j u k
юны	j u n ɯ̈
юр	j u r
юрси	j u r ɕ i
юсь	j u ɕ
яеснича	j ä j e s ɲ i t͡ɕ ä
яй	j ä j
январ	j ä n ʋ ä r
яран	j ä r ä n
ясыд	j ä s ɯ̈ d
ёг	j o̞ ɡ
ён	j o̞ n
ёна	j o̞ n ä
ёрт	j o̞ r t
ӧ	ɘ
ӧд	ɘ d
ӧкмыс	ɘ k m ɯ̈ s
ӧкмысдас	ɘ k m ɯ̈ z d ä s
ӧні	ɘ n i
ӧти	ɘ c i
ӧтик	ɘ c i k
ӧткымын	ɘ t k ɯ̈ m ɯ̈ n
ӧш	ɘ ʃ̺
ӧшинь	ɘ ʃ̺ i ɲ
ӧшпи	ɘ ʃ̺ p i
