ሀሎ	h a l o
ይህቺ	j ɨ h ɨ t͡ʃː i
ይህች	j ɨ h ɨ t͡ʃː
የርሱ	j ə ɾ s u
የርሷ	j ə ɾ sʷ a
የሱ	j ə sː u
የሷ	j ə sːʷ a
የቱ	j ə t u
የት	j ə t
የቷ	j ə tʷ a
የቲቱ	j ə t i t u
የትኛው	j ə t ɨ ɲː a w
ያቺ	j a t͡ʃː i
ያች	j a t͡ʃː
ይቺ	j ɨ t͡ʃː i
ይች	j ɨ t͡ʃː
የኔ	j ə n e
የነርሱ	j ə nː ə ɾ s u
የነሱ	j ə nː ə sː u
ያንተ	j a n t ə
ያንቺ	j a n t͡ʃ i
የናንተ	j ə nː a n t ə
የኛ	j ə ɲː a
ደም	d ə m
ድመት	d ɨ mː ə t
ደመና	d ə mː ə n a
ዶሮ	d o ɾ o
ደብዳቤ	d ə b d a bː e
ድንች	d ɨ nː ɨ t͡ʃː
ደንዳና	d ə n d a nː a
ድንጋይ	d ɨ n ɡ a j
ዲዳ	d i d a
ድዳ	d ɨ d a
ደግ	d ə ɡː
ጆሮ	d͡ʒ o ɾ o
ጃርት	d͡ʒ a r t
ጅራት	d͡ʒ ɨ r a t
ጀብዱ	d͡ʒ ə b d u
ጅብዱ	d͡ʒ ə b d u
ጉልበት	ɡ u l b ə t
ጉማሬ	ɡ u m a rː e
ግራ	ɡ ɨ ɾ a
ግራ	ɡ ɾ a
ገረድ	ɡ ə ɾ ə d
ግርጌ	ɡ ɨ r ɡ e
ገባ	ɡ ə bː a
ጉበት	ɡ u bː ə t
ጌታ	ɡ e t a
ጓደኛ	ɡʷ a dː ə ɲː a
ጥርስ	tʼ ɨ ɾ s
ጠረጴዛ	tʼ ə ɾ ə pʼː e z a
ጡብ	tʼ u b
ጥበብ	tʼ ɨ b ə b
ጡት	tʼ u t
ጣት	tʼ a t
ጠጅ	tʼ ə d͡ʒ
ጠጣ	tʼ ə tʼː a
ጨረቃ	t͡ʃʼ ə ɾ ə kʼ a
ጭስ	t͡ʃʼ ɨ s
ጭንቅላት	t͡ʃʼ ɨ n kʼ ɨ lː a t
ጨው	t͡ʃʼ ə w
ጳውሎስ	pʼ a w l o s
ጻፈ	t͡sʼ a f ə
ፀሐይ	t͡sʼ ə h a j
ፊልም	f i l m
ፈረስ	f ə ɾ ə s
ፈርጥ	f ə ɾ tʼ
ፊት	f i t
ፊደል	f i d ə l
ፖሊስ	p o l i s
ፖለቲካ	p o l ə t i k a
ፖስታ	p o s t a
