A	aː
deitschem	t a ɪ̯ t͡ʃ ə m
deitscher	t a ɪ̯ t͡ʃ a
deitsches	t a ɪ̯ t͡ʃ ə s
Deitschland	t a ɪ̯ t͡ʃ l a n t
Deivel	t a ɪ̯ v l̩
Demm	t ɛ m
denne	t ɛ n ə
der	t ɐ
Dezember	t eː t͡s ɛ m p a
dich	t i ç
dick	t i k
die	t iː
die	t i
Dier	t iː a
Diere	t iː r ə
dieser	t iː s ɐ
Digraf	t i k r aː f
dinn	t i n
Disch	t i ʃ
do	t oː
Dochter	t o x t ɐ
Dod	t oː t
Dorn	t ɔ n
dorrich	t ɔ ɾ ɪ ç
dorrich	t ɔ ɪ ç
Dorst	t ɔ ʃ t
Doss	t o s
Dossje	t o s j ə
Draam	t r ɔː m
Draum	t r a ʊ̯ m
Dreen	t r eː n
drehe	t r eː ə
drei	t r a ɪ̯
Dreim	t r a ɪ̯ m
dreime	t r a ɪ̯ m ə
dreive	t r a ɪ̯ v ə
dreizen	t r a ɪ̯ t͡s ə n
drinke	t r i ŋ k ə
drock	t r o k
du	t uː
du	t ə
dulle	t u l ə
dun	t uː n
dun	t oː n
Dunkelblau	t u ŋ k ə l p l a ʊ̯
Dunkelgrien	t u ŋ k l̩ k r iː n
Dunkelheed	t u ŋ k ə l h eː t
där	t ɛː
eb	eː p
Ecker	e k a
Eel	eː l
een	eː n
eenem	eː n ə m
eener	eː n a
eer	eː ɐ
Eesterreich	eː ʃ t ə r a ɪ̯ ç
Effche	e f ç ə
Eher	eː ɐ
eherlich	eː ɐ l i ç
Eherlichkeet	eː ɐ l i ç kʰ eː t
Eherlichkeit	eː ɐ l i ç kʰ a ɪ̯ t
eich	a ɪ̯ ç
Eich	a ɪ̯ ç
Eis	a ɪ̯ s
Eise	a ɪ̯ s ə
ellef	e l ə f
en	n̩
en	eː n
England	ɛ ŋ l a n t
Enn	ɛ n
Enne	ɛ n ə
Enner	ɛ n a
ennre	ɛ n r ə
Ent	ɛ n t
Ente	ɛ n t ə
Eppel	e p ə l
Epple	e p l ə
er	ɛ ɐ
Erreb	ɛ r ə p
es	ə s
es	e s
Esponja	ə s p o n ʃ a
esse	e s ə
Esse	e s ə
Eu	ɔ ɪ̯
Euer	ɔ ɪ̯ a
Faan	f ɔː n
Faan	f aː n
faare	f ɔː r ə
faarichsjoher	f ɔː r i ç s j oː a
Fabrick	f a p r i k
Fakong	f a k ɔ ŋ
Fallek	f a l ə k
Fasaunhinkel	f a s a ʊ̯ n h i ŋ k ə l
Fatter	f a t a
faul	f a ʊ̯ l
Faust	f a ʊ̯ ʃ t
Februa	f eː p r u aː
Februer	f eː p r u a
Feghel	f eː ç ə l
Feier	f a ɪ̯ a
Feilche	f a ɪ̯ l ç ə
Feind	f a ɪ̯ n t
Fenster	f ɛ n ʃ t a
ferbasse	f ɐ p a s ə
ferzen	f ɛ t͡s ə n
Fest	f e ʃ t
Fetter	f e t a
Fettre	f e t r ə
fiel	f iː l
fier	f iː a
Finger	f i ŋ a
finnef	f i n ə f
finnefzen	f i n ə f t͡s n̩
Finnland	f i n l a n t
Fisch	f i ʃ
fix	f i k s
fixe	f i k s ə
fixem	f i k s ə m
fixer	f i k s a
fixes	f i k s ə s
fixest	f i k s ə ʃ t
Fleet	f l eː t
Fliss	f l i s
Fluss	f l u s
Foghel	f oː x ə l
Fohl	f oː l
Forreb	f ɔ r ə p
Forz	f ɔ t͡s
Fraa	f r ɔː
Fraae	f r ɔː ə
Frankreich	f r a ŋ k r a ɪ̯ ç
Franzeesisch	f r a n t͡s eː s i ʃ
franzeesisch	f r a n t͡s eː s i ʃ
Franzoos	f r a n t͡s oː s
Freind	f r a ɪ̯ n t
freiwillich	f r a ɪ̯ v i l i ç
fresse	f r e s ə
Frihling	f r iː l i ŋ
froh	f r oː
Froh	f r oː
frohe	f r oː ə
Frohe	f r oː ə
Frucht	f r u x t
Fuer	f uː a
fufzen	f u f t͡s ə n
fum	f u m
Fumm	f u m
Fummstecker	f u m ʃ t e k a
Fummstock	f u m ʃ t o k
fun	f u n
Fusball	f uː s p a l
Gaarde	k ɔː t ə
Gaas	k ɔː s
Gans	k a n s
Gaul	k a ʊ̯ l
Gedrenk	k ə t r ɛ ŋ k
Geel	k eː l
gehn	k eː n
Geld	k e l t
Gelechenheed	k ə l e ç ə n h eː t
gelleb	k e l ə p
Gelleb	k e l ə p
Gellebrieb	k e l ə p r iː p
Gemies	k ə m iː s
gern	k ɛ n
Gescherr	k ə ʃ ɛ r
gesetzlich	k ə s e t͡s l i ç
Gesicht	k ə s i ç t
gester	k e ʃ t a
gesund	k ə s u n t
Gesundheed	k ə s u n t h eː t
Getter	k e t a
Gettin	k e t i n
Gewisse	k ə v i s ə
gezwung	k ə t͡s v u ŋ
Gift	k i f t
Glaas	k l ɔː s
glaave	k l ɔː v ə
Gleeser	k l eː s a
Glick	k l i k
glicklich	k l i k l i ç
Goiaab	k o j ɔː p
Goiaave	k o j ɔː v ə
Gold	k o l t
Gott	k o t
Graas	k r ɔː s
Granitt	k r a n i t
Graschaing	k r a ʃ a i ŋ
grau	k r a ʊ̯
Grau	k r a ʊ̯
Grenz	k r ɛ n t͡s
Grenz	k r ɛ n s
Griecheland	k r iː ç ə l a n t
grien	k r iː n
Grien	k r iː n
Gripp	k r i p
gros	k r oː s
Grummbeer	k r u m p eː a
Grummbeere	k r u m p eː r ə
Grund	k r u n t
grávida	k r aː v i t a
gucke	k u k ə
gud	k uː t
gude	k uː t ə
Gäärde	k ɛː t ə
Haan	h ɔː n
Hand	h a n t
Handduch	h a n t t u x
Hannes	h a n ə s
Hans	h a n s
Hauptstatt	h a u p t ʃ t a t
Haus	h a ʊ̯ s
Haut	h a ʊ̯ t
Heft	h e f t
Hehl	h eː l
Hei	h a ɪ̯
heilich	h a ɪ̯ l i ç
heit	h a ɪ̯ t
Hellblau	h ɛ l p l a ʊ̯
hellfe	h e l f ə
Hellgrien	h e l k r iː n
Hemm	h ɛ m
Herr	h ɛ r
Herrebst	h ɛ r ə p ʃ t
Herz	h ɛ t͡s
hesslich	h e s l i ç
Hex	h e k s
Hexenacht	h e k s ə n a x t
hie	h iː
hier	h iː a
Himd	h i m t
Himmel	h i m ə l
Hochzeit	h o x t͡s a ɪ̯ t
hon	h ɔ n
Hospital	o s p i t aː l
Hospital	o s p i t a l
Hospital	h o s p i t aː l
Hospital	h o s p i t a l
Hoss	h o s
Hosse	h o s ə
Hossje	h o s j ə
Hund	h u n t
Hundche	h u n t ç ə
Hunger	h u ŋ a
Hunn	h u n
hunnerd	h u n a t
Hunsbucklisch	h u n s p u k l i ʃ
Hunsrick	h u n s r i k
Hunsrickisch	h u n s r i k i ʃ
ich	i ç
ihm	iː m
ihn	iː n
ihns	iː n s
immer	i m a
India	i n t i a
Indonesia	i n t o n eː s i a
Insel	i n s ə l
Insle	i n s l ə
Internet	i n t ə n e t
Israel	i s r a eː l
Italia	i t aː l i a
Italia	i t a l i a
Italje	i t aː l j ə
Italje	i t a l j ə
iwich	i v i ç
Jakob	j aː k o p
Januer	j aː n u a
Januer	j a n u a
Jesus	j eː s u s
Johannes	j o h a n ə s
Joher	j oː ɐ
Johreszeid	j oː r ə s t͡s a ɪ̯ t
Juli	j uː l i
Juni	j uː n i
Kaaf	kʰ ɔː f
Kaarer	kʰ ɔː r a
Kabock	kʰ a p o k
Kabock	k a p o k
Kacki	kʰ a k i
Kackibaam	kʰ a k i p ɔː m
Kaffi	kʰ a f i
Kaiser	kʰ a ɪ̯ s a
Kalenner	kʰ a l ɛ n a
Kamiong	kʰ a m i ɔ ŋ
Kamiong	k a m i ɔ ŋ
Kamm	kʰ a m
Kamp	kʰ a m p
Kanal	kʰ a n a l
Kanal	k a n a l
Kanale	kʰ a n a l ə
Kanale	k a n a l ə
Kanecker	kʰ a n e k a
Kanett	kʰ a n e t
Kanett	k a n e t
Kanette	kʰ a n e t ə
Kanette	k a n e t ə
Kanon	kʰ a n oː n
Kanon	k a n oː n
Kanone	kʰ a n oː n ə
Kanone	k a n oː n ə
Kapital	kʰ a p i t aː l
Kapitel	kʰ a p i t l̩
Kapsel	kʰ a p s l̩
Kapsle	kʰ a p s l ə
Kapunge	kʰ a p u ŋ k ə
Kapunge	k a p u ŋ k ə
Karaa	kʰ a r ɔː
Karett	kʰ a r e t
Karett	k a r e t
Karette	kʰ a r e t ə
Karette	k a r e t ə
Karre	kʰ a r ə
Kartoffel	kʰ a t o f ə l
Kartoffle	kʰ a t o f l ə
Kaste	kʰ a ʃ t ə
Katee	kʰ a t eː
Katz	kʰ a t͡s
Katze	kʰ a t͡s ə
Katëe	kʰ a t eː ə
kaue	kʰ a ʊ̯ ə
Kech	k e x
Keef	kʰ eː f
Keefer	kʰ eː f ɐ
keen	kʰ eː n
Keenich	kʰ eː n i ç
Keenichin	kʰ eː n i ç i n
Kees	kʰ eː s
Keim	kʰ a ɪ̯ m
keime	kʰ a ɪ̯ m ə
Keller	kʰ e l ɐ
Kellich	kʰ e l i ç
Kelt	kʰ e l t
kemme	kʰ ɛ m ə
kenne	kʰ ɛ n ə
Kepp	kʰ e p
Kerl	kʰ ɛ l
Kerle	kʰ ɛ l ə
Kern	kʰ ɛ n
Kerne	kʰ ɛ n ə
Kerner	kʰ ɛ n ɐ
Kerreb	kʰ e r ə p
Kerrich	kʰ ɛ r i ç
Kerze	kʰ ɛ t͡s ə
kerze	kʰ ɛ t͡s ə
Kessel	kʰ e s l̩
Kessle	kʰ e s l ə
Kett	kʰ e t
Kette	kʰ e t ə
Kich	kʰ i ç
Kiche	kʰ i ç ə
kiel	kʰ iː l
kiele	kʰ iː l ə
Kih	kʰ iː
Kilogramm	kʰ i l o k r a m
Kilometer	kʰ i l o m eː t ɐ
Kind	kʰ i n t
Kinn	kʰ i n
Kinner	kʰ i n ɐ
Kiss	kʰ i s
kisse	kʰ i s ə
Kisse	kʰ i s ə
Kist	kʰ i ʃ t
Kiste	kʰ i ʃ t ə
Kittel	kʰ i t ə l
kitzle	kʰ i t͡s l ə
Klamm	k l a m
Klamme	k l a m ə
Klang	k l a ŋ
klappre	k l a p r ə
Klarinett	k l a ɾ i n e t
Klarinette	k l a r i n e t ə
Klass	k l a s
Klasse	k l a s ə
klatsche	k l a t͡ʃ ə
kleen	k l eː n
kleene	k l eː n ə
kleener	k l eː n a
kleenest	k l eː n ə ʃ t
Kleiderschrank	k l a ɪ̯ r ɐ ʃ r a ŋ k
klemme	k l ɛ m ə
Kleng	k l e ŋ
Kles	k l eː s
klettre	k l e t r ə
Klingel	k l i ŋ l̩
kloppe	k l o p ə
Klos	k l oː s
Knall	k n a l
knapp	k n a p
Knecht	k n e ç t
Knepp	k n e p
kneppe	k n e p ə
Knie	k n iː
Knipp	k n i p
knippe	k n i p ə
Knoche	k n o x ə
Knopp	k n o p
Knupp	kʰ n u p
Knuppe	kʰ n u p ə
Koch	k o x
koche	kʰ o x ə
Koffer	kʰ o f ɐ
Kohl	kʰ oː l
Kohle	kʰ oː l ə
Kokes	kʰ oː k ə s
Kolonie	kʰ o l o n iː
komisch	kʰ oː m i ʃ
komme	kʰ ɔ m ə
Komme	kʰ ɔ m ə
Kommunion	kʰ o m u n i̯ oː n
Kommunione	kʰ o m u n i̯ oː n ə
Komputatoer	kʰ o m p u t a t oː a
Komputatoer	k o m p u t a t oː a
Komputatore	kʰ o m p u t a t oː r ə
Komputatore	k o m p u t a t oː r ə
Konferenz	kʰ o n f ə r ɛ n t͡s
Konferenze	kʰ o n f ə r ɛ n t͡s ə
konfus	kʰ o n f uː s
Konkurrenz	kʰ o ŋ k u r ɛ n t͡s
Konkurrenze	kʰ o ŋ k u r ɛ n t͡s ə
Konsum	kʰ o n s uː m
Konsum	k o n s uː m
konsumiere	kʰ o n s u m iː r ə
konsumiere	k o n s u m iː r ə
Kontinent	kʰ ɔ n t i n ɛ n t
Kontinente	kʰ o n t i n ɛ n t ə
Konto	kʰ o n t o
Kopp	kʰ o p
Korn	kʰ ɔ n
Korreb	kʰ ɔ r ə p
Korst	kʰ ɔ ʃ t
Korste	kʰ ɔ ʃ t ə
korz	kʰ ɔ t͡s
koste	kʰ o ʃ t ə
kotze	kʰ o t͡s ə
Kraan	k r ɔː n
Krach	k r a x
krache	k r a x ə
Kraft	k r a f t
Krall	k r a l
Kralle	k r a l ə
Kramm	k r a m
krank	k r a ŋ k
Krankehaus	k r a ŋ k ə h a ʊ̯ s
Krankheed	k r a ŋ k h eː t
Kranz	k r a n t͡s
Kranz	k r a n s
kratze	k r a t͡s ə
kraule	k r a ʊ̯ l ə
Kraut	k r a ʊ̯ t
Kravatt	k r a v a t
Krebs	k r e p s
Krech	k r e x
Krees	k r eː s
Kreft	k r e f t
Kreh	k r eː
kreische	k r a ɪ̯ ʃ ə
Krem	k r eː m
Kreme	k r eː m ə
Kremp	k r ɛ m p
Krempe	k r ɛ m p ə
Krenz	k r ɛ n t͡s
Krenz	k r ɛ n s
Krenzje	k r ɛ n t͡s j ə
Krepp	k r e p
Kress	k r e s
Kresse	k r e s ə
Kriegh	k r iː ç
Kripp	k r i p
Krippe	k r i p ə
Krist	k r i ʃ t
Kristall	k r i ʃ t a l
Kristalle	k r i ʃ t a l ə
kritisch	k r iː t i ʃ
kritisiere	k r i t i s iː r ə
Krokodill	k ɾ o k o t i l
Kron	k r oː n
Krone	k r oː n ə
Kropp	k r o p
Kuh	kʰ uː
Kuhmist	kʰ uː m i ʃ t
Kuhstall	kʰ uː ʃ t a l
Kui	kʰ u ɪ̯
Kuiche	kʰ u ɪ̯ ç ə
Kuie	kʰ u ɪ̯ ə
Kulture	kʰ u l t uː r ə
Kump	kʰ u m p
kumplett	kʰ u m p l e t
Kunst	kʰ u n ʃ t
Kupper	kʰ u p ɐ
Kurve	kʰ u r v ə
Kuss	kʰ u s
Kuvert	kʰ u v ɛ t
Käärer	kʰ ɛː r a
Laab	l ɔː p
laade	l ɔː r ə
Laade	l ɔː r ə
laafe	l ɔː f ə
laam	l ɔː m
Lache	l a x ə
lache	l a x ə
Lagartisch	l a k a t i ʃ
Lagartische	l a k a t i ʃ ə
Lagartischje	l a k a t i ʃ j ə
Lamm	l a m
Lamp	l a m p
Lampe	l a m p ə
Land	l a n t
lande	l a n t ə
Landkaart	l a n t kʰ ɔː t
lang	l a ŋ
Lanz	l a n t͡s
Lanz	l a n s
Lascheaate	l a ʃ e ɔː t ə
Lascheaatemesich	l a ʃ e ɔː t ə m eː s i ç
Lasse	l a s ə
Latein	l a t a ɪ̯ n
lateinisch	l a t a ɪ̯ n i ʃ
Laterne	l a t ɛ n ə
Laus	l a ʊ̯ s
Laut	l a ʊ̯ t
laut	l a ʊ̯ t
Lecher	l e x ɐ
lechle	l e ç l ə
lecke	l e k ə
Leeb	l eː p
Leed	l eː t
Leef	l eː f
Leefer	l eː f ɐ
leen	l eː n
Leer	l eː a
Leere	l eː r ə
leere	l eː r ə
Leerer	l eː r ɐ
Leffel	l e f ə l
lehe	l eː ə
Lehm	l eː m
Lehn	l eː n
Lehne	l eː n ə
lehne	l eː n ə
Leib	l a ɪ̯ p
leicht	l a ɪ̯ ç t
leide	l a ɪ̯ r ə
leider	l a ɪ̯ t ɐ
leie	l a ɪ̯ ə
Lein	l a ɪ̯ n
Leine	l a ɪ̯ n ə
Leis	l a ɪ̯ s
Leist	l a ɪ̯ ʃ t
Leiste	l a ɪ̯ ʃ t ə
Leit	l a ɪ̯ t
Lendche	l ɛ n t ç ə
Leng	l ɛ ŋ
Lenge	l ɛ ŋ ə
lengst	l ɛ ŋ ʃ t
lenke	l ɛ ŋ k ə
Lenner	l ɛ n a
lerne	l ɛ n ə
lese	l eː s ə
Lese	l eː s ə
Leser	l eː s ɐ
Letter	l e t a
leve	l eː v ə
Leve	l eː v ə
Lewer	l e v ɐ
Licht	l i ç t
Lichter	l i ç t a
Lieb	l iː b
Lied	l iː t
Lieh	l iː
liehe	l iː ə
Liehe	l iː ə
lieve	l iː v ə
Lieve	l iː v ə
Lift	l i f t
Lilje	l i l j ə
Linje	l i n j ə
Lins	l i n s
Linse	l i n s ə
Lipp	l i p
Lippe	l i p ə
List	l i ʃ t
Liste	l i ʃ t ə
Litter	l i t ɐ
Loch	l o x
lockre	l o k r ə
Lohn	l oː n
lohne	l oː n ə
Loja	l oː ʃ a
Lojas	l oː ʃ a s
losse	l o s ə
Lotterie	l o t e r iː
love	l oː v ə
Luchs	l u k s
Luft	l u f t
Luftschiff	l u f t ʃ i f
Lumpe	l u m p ə
Lung	l u ŋ
Lunge	l u ŋ ə
Lupp	l u p
Lust	l u ʃ t
lutsche	l u t͡ʃ ə
Lutscher	l u t͡ʃ ɐ
Luxemborrich	l u k s ə m p ɔ r i ç
läer	l ɛː a
läer	l eː a
Lämmer	l ɛ m ɐ
Maai	m ɔː i
maale	m ɔː l ə
mache	m a x ə
Macher	m a x ɐ
Makack	m a k a k
Makacke	m a k a k ə
Malaria	m a l aː r i a
Malve	m a l v ə
Mamma	m a m a
Mammong	m a m ɔ ŋ
Mammongbaam	m a m ɔ ŋ p ɔː m
Manga	m a ŋ k a
Mangabaam	m a ŋ k a p ɔː m
Mangas	m a ŋ k a s
Mange	m a ŋ k ə
Maniok	m a n i oː k
Mann	m a n
Manschërikong	m a n ʃ e r i k ɔ ŋ
Mantel	m a n t l̩
Margarin	m a r k a r iː n
Masch	m a ʃ
Maschin	m a ʃ iː n
Maschine	m a ʃ iː n ə
Mask	m a ʃ k
Maske	m a ʃ k ə
Mass	m a s
Masse	m a s ə
massiv	m a s iː f
massive	m a s iː v ə
Matematik	m a t e m a t iː k
Material	m a t e r i aː l
Materiale	m a t e r i aː l ə
Matratze	m a t r a t͡s ə
Matriculas	m a t r i k u l a s
Matrikla	m a t r i k l a
Matrikula	m a t r i k u l a
Matsch	m a t͡ʃ
Matt	m a t
Matte	m a t ə
Mauer	m a ʊ̯ a
Maul	m a ʊ̯ l
Maure	m a ʊ̯ r ə
maure	m a ʊ̯ r ə
Maurer	m a ʊ̯ r a
Maus	m a ʊ̯ s
mechde	m e ç t ə
Med	m eː t
Mede	m eː r ə
Medizin	m e t i t͡s iː n
Meel	m eː l
Meen	m eː n
meer	m eː a
Meer	m eː a
Meere	m eː r ə
Meergrien	m eː ɐ k r iː n
Meiler	m a ɪ̯ l ɐ
mein	m a ɪ̯ n
Meis	m a ɪ̯ s
Meister	m a ɪ̯ ʃ t a
melke	m e l k ə
Menner	m ɛ n a
mennlich	m æ n l i ç
Mensch	m ɛ n ʃ
menschlich	m ɛ n ʃ l i ç
Mentel	m e n t l̩
Menz	m ɛ n t͡s
Menz	m ɛ n s
mer	m ɐ
Merz	m ɛ t͡s
Mess	m e s
Messdiener	m e s t iː n a
Messdienerin	m e s t iː n ə r i n
Messe	m e s ə
messe	m e s ə
Messer	m e s a
Meter	m eː t ɐ
Meu	m ɔ ɪ̯
meue	m ɔ ɪ̯ ə
Mexiko	m e k s i k o
mich	m i ç
Mick	m i k
Micke	m i k ə
mied	m iː t
Miete	m iː t ə
miete	m iː t ə
Mih	m iː
Mihe	m iː ə
Mihl	m iː l
Mikrofon	m i k r o f oː n
Milje	m i l j ə
Milje	m iː l j ə
Miller	m i l a
Millich	m i l i ç
Millichflasch	m i l i ç f l a ʃ
Millimeter	m i l i m eː t ɐ
Million	m i l i̯ oː n
Millione	m i l i̯ oː n ə
Mils	m i l s
Milse	m i l s ə
Mineral	m i n ə r aː l
Mineralwasser	m i n ə r aː l v a s a
Minister	m i n i ʃ t ɐ
Minutt	m i n u t
misse	m i s ə
Mission	m i s i̯ oː n
Missione	m i s i̯ oː n ə
Mist	m i ʃ t
mit	m i t
mitbringe	m i t p ɾ i ŋ ə
Mitglied	m i t k l iː t
mitkomme	m i t kʰ ɔ m ə
mitmache	m i t m a x ə
mitsinge	m i t s i ŋ ə
mitspiele	m i t ʃ p iː l ə
Mittach	m i t a x
Mitte	m i t ə
mitte	m i t ə
Mittelfinger	m i t l̩ f i ŋ ɐ
Mitter	m i t a
Mittwoch	m i t v o x
Mitz	m i t͡s
modern	m o t ɛ n
moie	m o ɪ̯ ə
Mol	m oː l
Mol	m oː
Momente	m o m ɛ n t ə
Monarkie	m o n a r k iː
Monat	m oː n a t
Monate	m oː n a t ə
monatlich	m oː n a t l i ç
Mond	m oː n t
Monde	m oː n t ə
Mone	m oː n ə
Montach	m oː n t a x
Moos	m oː s
Mos	m oː s
Mote	m oː t ə
Motoer	m o t oː a
Motore	m o t oː r ə
motze	m o t͡s ə
Moviment	m o v i m ɛ n t
Mule	m uː l ə
Mulunguh	m u l u ŋ k uː
Mund	m u n t
Munde	m u n t ə
