aba	ɑ b ɑ
ağarğusı	ɑ ʁ ɨ r ʁ u s ɨ
ağarğusı	ɑ ʁ ɨ r
ağarğusı	ɑ χ ɑ r ʁ u s ɨ
ağarğusı	ɑ χ ɑ r
ağaş	ɑ ʁ ɑ ʃ
ağaş	ɑ ʁ ɨ ʃ
ağine	ɑ ʁ ɨ j n e
ağine	ɑ ʁ e j n e
ağırıq	ɑ ʁ ɨ r ɨ χ
ağırıq	ɑ ʁ r ɨ χ
ağırçaq	ɑ ʁ ɨ r t͡ɕ ɨ χ
ağırçaq	ɑ ʁ ɨ r t͡ɕ ɑ χ
ağız	ɑː ʁ z ɨ
ağız	ɑ ʁ z ɨ
ağız	ɑː ʁ ɨ z
ağız	ɑ ʁ ɨ z
ağu	ɑ ʁ u
ağu	aː ʁ u
aşaq	ɑ ʃ ɑ χ
aşaq	ɑ ʃ ɨ χ
aşgara	ɑ ɕ ɡ ɑ r ɑ
baba	p ɑ b ɑ
baca	p ɑ ʝ ɑ
bad	p ɑ t
bad	p ɑ d
badangu	p ɑ d ɑ ŋ ɡ u
badangu	p ɑ d u ŋ ɡ u
badeğüsi	p aː d æ ɣ y s i
bal	p ɑ l
baldur	p ɑ l t u r
balğun	p ɑ l ʁ u n
balğun	p ɑ l ʁ ɨ n
bar	p ɑ r
bas	p ɑ s
basqusı	p ɑ s q u s ɨ
bazar	p ɑ z ɑ r
bañnağusı	p ɑ ŋ n ɑ ʁ u s ɨ
bañnağusı	p ɑ ŋ n ɑ
bağ	p ɑ ʁ
bağ	p ɑ ʁ
bağa	p ɑ ʁ ɑ
bağdaq	p ɑ ʁ t ɑ χ
bağır	p ɑ ʁ ɨ r
bağlağusı	p ɑ ʁ l ɑ ʁ u s ɨ
bağlıq	p ɑ ʁ l ɨ χ
bağlıq	p ɑ ʁ l ɨ χ
bağzuq	p ɑ ʁ z u χ
bağzuq	p o ʁ ɨ r s ɨ χ
bağzuq	b ɑ ʁ ɑ r t͡s u χ
baş	p ɑ ɕ
baş	v ɑ ɕ
başqa	p ɑ ʃ q ɑ
baʂ	p ɑ ʂ
bel	b e l
bel	b i l
bele	p e l e
bellengüsi	b e l l e n ɣ y s i
bellengüsi	b e l l e n
bellengüsi	b e l l i n ɣ y s i
bellengüsi	b e l l i n
belği	p e l i ɣ i
belği	p e l ɣ i
bexitgüsi	b e x i t k ü s i
bexleğüsi	p e x l i ɣ y s i
bexleğüsi	p e x l i
bexleğüsi	p e x l e ɣ y s i
bexleğüsi	p e x l e
bexleğüsi	p e x i l e ɣ y s i
bexleğüsi	p e x i l e
bexleğüsi	p e x e l æ ɣ y s i
bexleğüsi	p e x e l æ
beynianxan	p e j n ɑ ŋ χ ɑ n
beynianxan	p e n i e n χ ɑ n
beyqaraq	p e j q ɑ r ɑ χ
beyqaraq	p e q ɑ r ɑ χ
bezgek	b e z k i x
bezgek	b e z ɣ e x
beñger	p e ŋ ɡ e r
beñger	p e ŋ ɡ ɑ r
beñger	p e ŋ ɡ i r
beğ	p e ɣ
beğ	p e x
beğ	p e k
beş	p e ʃ
beş	p e ɕ
beş	p æ ʃ
bicin	p i ʝ i n
bili	p i l i
bili	p i l l æ
bili	p i l i
bili	p i l y
bilğüsi	p iː ɣ y s i
bilğüsi	p i ɣ y s i
bir	p i r
bir	p i ɹ
bir	p ə ɹ
bir	p e r
bir	p e ɹ
birçük	p i r t͡ɕ y x
birçük	p ɨ r t͡ɕ u x
birğe	p i r ɣ e
birğe	p i r ɣ i
birğe	p i r ɣ ɑ r
birğe	p i r ɣ ɑ
birğe	p y r ɣ e
bixi	p iː x i
bixi	p eː x e
bixi	p e x
bixi	p i x
bixi	p e x i
bixi	p i j k i
bixi	p i j i
bixi	p i j i x
bixilengüsi	p i x i l e n ɣ y s i
bixilengüsi	p e l e ɣ y s i
bixilengüsi	p e l i ɣ y s i
borsuq	b o r s u ɡ
boy	p o j
boynaq	b o j n ɑ χ
boğdı	p o ʁ t ɨ
boğdı	p o ʁ t i
boğdı	p o ʁ t e
boğdı	p o ʁ d͡ʒ i
boğdı	p u ʁ t ɨ
boğdı	p u ʁ t ɑ
budaq	p u d ɑ χ
budaq	p u t ɑ χ
budağusı	p u d ɑ
bulut	p u l u tʰ
bulut	p u l ɨ tʰ
bulut	p ɨ l ɨ tʰ
burış	p u r ɨ ɕ
burmaq	p u r m ɑ χ
burmaq	p ɨ r m ɑ χ
burğaq	p u r ʁ ɑ χ
burğaq	p ɨ r ʁ ɑ χ
burğaq	p u l ʁ ɨ χ
burğusı	p u r ɨ ʁ u s ɨ
burğusı	p u r ʁ u s ɨ
buyağır	p u j ɑː ʁ ɨ r
buyağır	p u j ɑ ʁ ɨ r
buyağır	p o j ɑ ʁ ɨ r
buzqusı	b u z q u s ɨ
buzuvaş	p u z u v ɑ ɕ
buzuvaş	p u z i v ɑ ɕ
buğu	p u ʁ u
böz	p ø z
böğrek	p o ɣ r e x
böğrek	p oː ɡ ɹ e h
böğrek	p y ɣ r e x
bürküt	p y r kʰ y tʰ
bürküt	p u r k u tʰ
bürküt	b e r k u t
bürküt	p i r k u t
bürküt	p u r χ u t
büxü	p i u x u
büxü	p y x e
caca	ʝ ɑ ʝ ɑ
caca	ʒ ɑ ʝ ɑ
caca	ʝ ɑ j ɑ
caca	ʝ ɑ ʝ ɨ
cadaq	ʝ ɑ d ɨ χ
cadaq	ʝ ɑ d ɑ χ
cadaq	d ɑ d ɑ χ
cadaq	d ɑ d ɨ χ
camba	ʝ ɑ m p ɑː
camba	ʝ ɑ m p ɑ
camba	ʝ ɑ m p ɑ χ
carıqçı	ʝ ɑ r ɨ χ ʝ i
carıqçı	ʝ ɑ r ɨ χ t͡ɕ i
carığusı	ʝ ɑ r ɨ ʁ u s ɨ
carığusı	ʝ ɑ r ʁ u s ɨ
carğusı	ʝ ɑ r ʁ u s ɨ
carğusı	ʝ ɑ r ɨ ʁ u s ɨ
carğusı	ʝ ɑ r ʁ u s ɨ
cañganaq	ʝ ɑ ŋ ɢ ɑ n ɑ χ
cañnağusı	ʝ ɑ ŋ n ɑ ʁ u s ɨ
cañnağusı	ʝ ɑ ŋ n ɑ ʁ u s ɨ
cağağusı	ʝ ɑ ʁ ɑ ʁ u s ɨ
cağağusı	ʝ ɑ ʁ ɑ
cağağusı	t͡ʃ ɑ ʁ ɑ ʁ u s ɨ
cağağusı	t͡ʃ ɑ ʁ ɑ
cağcaq	ʝ ɑ ʁ ʝ ɑ χ
cicek	ʝ i ʝ e x
cida	ʝ i d ɑ
cillağusı	ʝ i l l ɑ ʁ u s ɨ
cillağusı	ʝ i l l ɑ
cillağusı	ʝ i l l e ɣ y s i
cillağusı	ʝ i l l e
ciyaq	t͡ɕ i j ɑ χ
ciyağusı	ʝ i j ɑ ʁ u s ɨ
ciyağusı	ʝ i j ɑ
coğ	ʝ o ʁ
coğ	ʝ u ʁ
cumçuq	ʝ u m t͡ɕ ɨ χ
cumçuq	ʝ u m t͡ɕ u χ
cumçuq	ʝ u m ʝ u χ
cumçuq	ʝ u m t͡ɕ u χ
cönge	ʝ o n k e
cönge	ʝ ø n k e
cücük	ʝ y ʝ y x
cüy	ʝ y j i
cüy	t y j
cüy	t yː
cüy	t y
cüy	t ø v y
cüyin	ʝ y j i n
cüyin	ʝ y i n
cüyin	t͡ɕ y j i n
cüyin	t͡ɕ y i n
cüyin	ʒ y v i n
cüyin	ʒ ø v æ n
cüyin	ʝ y j y n
dada	t a d a
dadığusı	t ɑː d ɨ
dahɢaɣı	t ɑ q ɑ ɣ ə
dalaq	t ɑ l ɨ χ
damba	t ɑ m b ɑ
damnağusı	t ɑ m n ɑ ʁ u s ɨ
damnağusı	t ɑ m n ɑ
damqusı	t ɑ m q u s ɨ
damur	t ɑ m u r
damur	t ɑ m ɨ r
danru	t ɑ n r u
dar	t ɑ r
dasdar	t ɑ s t ɑ r
datli	t ɑʰ l i
datli	t æʰ l i
datli	t ɑ h l i
datli	t æ h l i
datqusı	tʰ a tʰ q u s ɨ
datqusı	tʰ aʰ q u s ɨ
datqusı	t ɑʰ t q u s ɨ
daxılğusı	t ɑ χ ɨ l
daxılğusı	t ɑ ʁ ɨ l
dağ	t ɑ ʁ
daşığusı	t ɑ ʃ ɨ ʁ u s ɨ
daşqusı	t ɑ ʃ ʁ u s ɨ
deggüsi	t e k k y s i
delli	t e l l i
derilğen	t i r i l ɣ e n
derilğen	t e r i l ɣ e n
derilğen	t i r e n ɣ e n
derilğüsi	t i r i l ɣ y s i
derilğüsi	t i r i l
derilğüsi	t e r i l ɣ y s i
derilğüsi	t e r i l
dermen	t e r m e n
dezek	t e z e x
deşdirğüsi	t e ʃ t i r ɣ y s i
deşdirğüsi	t e ʃ t e r ɣ y s i
deşdirğüsi	t e ʃ t y r ɣ y s i
deşgüsi	t e ʃ k y s i
deşük	t e ʃ y x
didik	t i d i x
dig	t i ɣ
digineğüsi	t i k i n e ɣ y s i
digineğüsi	t i k i n e
dimur	t i m u r
dimur	t i m ɨ r
dimur	t i m e r
dimur	t i m o r
dimur	t e m u r
dimur	t e m ɨ r
dimur	t e m i r
dincir	t i ŋ ʝ i r
dincir	t i n ʝ i r
dincir	ʝ i n ʝ i r
direk	t i r i x
direk	t i r e x
diñgüsi	t i ŋ k y s i
dıñnağusı	t ɨ ŋ n ɑ ʁ u s ɨ
dıñnağusı	t ɨ ŋ n ɑ
diñneğüsi	t i ŋ n ɑ ʁ u s ɨ
diñneğüsi	t i ŋ n ɑ
diñneğüsi	t i ŋ n e ɣ y s i
diñneğüsi	t i ŋ n e
diñneğüsi	ʝ i ŋ n e ɣ y s i
diñneğüsi	ʝ i ŋ n e
diğer	t i ɣ e r
diğer	t i ɣ ɨ r
diğüsi	t i ɣ y s i
diğüsi	t e ɣ y s i
dodaq	d o d ɑ ʁ ɨ
dodaq	t u t ɑ χ
dodaq	d u d ɑ χ
dodaq	t o t ɑ χ
dodaq	t o t ɨ χ
dodaq	t o t ɨ χ
dodaq	t o t a ɣ i
dodaq	t o t a χ
dodır	t o d ɨ r
dodırci	t o d ɨ r ʝ i
dolağusı	t o l ɑ ʁ u s ɨ
dombaq	t o m b ɑ χ
dombaq	t o m b ɨ χ
dombaq	t o m b ɑ χ
dombaq	t o m b ɨ χ
donquş	t o ŋ q u ʃ
doqqusı	t o q q u s ɨ
dor	t o r
dor	tʰ o r
dorağusı	t o r ɑ ʁ u s ɨ
dorağusı	t o r ɑ
dovaq	t o v ɑ χ
dovaq	tʰ o v ɑ χ
dovaq	tʰ o χ
dovaq	t oː χ
dovaq	t o w ɑ χ
dovaq	tʰ u w ɑ χ
dovaq	t o v ɑ χ
dovaq	tʰ o v ɑ χ
dovaq	tʰ oː χ
dovaq	tʰ o ɑ χ
dovaq	tʰ ɑ v ɑ χ
dovşan	t oːʷ ʃ a n
dovşan	t o w ʃ a n
dovşan	t oʷ ʃ æ n
dovşan	t oʷ ʃ e n
dovşan	t oː ʃ e n
dovşan	t oː ʃ a n
dovşan	t o vʷ ʃ e n
dovşan	t o vʷ ʃ e n u r
dovşan	t o vʷ ʃ e n ʒ u x
dovşan	t oʷ ʃ ɑ n
dovşan	t o ʃ ɑ n
doxağusı	t o χ ɑ ʁ u s ɨ
doxağusı	t o χ ɑ
doxağusı	t u χ ʁ u s ɨ
doxağusı	t u χ
doxağusı	t o χ ɨ ʁ u s ɨ
doxağusı	t o χ ɨ
doxağusı	t oː χ u ʁ u s ɨ
doxağusı	t oː χ u
doxağusı	t o χ ʁ u s ɨ
doxağusı	t o χ
doxsan	t o χ s ɑ n
doğrağusı	t o ʁ r ɑ ʁ u s ɨ
doğrağusı	t o ʁ r ɑ
doğrağusı	t o ʁ r ɨ ʁ u s ɨ
doğrağusı	t o ʁ r ɨ
du	t u
dumcuq	t u m ʝ u χ
dumcuq	t u n t͡ɕ u χ
dumnanqusı	t u m n ɑ n ʁ u s ɨ
dumnanqusı	t u m n ɑ n
dumnaq	t u m n ɑ χ
dumnaq	t u m n u χ
dumnaq	t u n n u χ
dumnaq	t u m n o χ
dumqusı	t u m ʁ u s ɨ
dumqusı	t u m
dumqusı	t u m u ʁ u s ɨ
dumqusı	t u m u
dumqusı	t u m ɨ ʁ u s ɨ
dumqusı	t u m ɨ
dumqusı	t o m ɨ ʁ u s ɨ
dumqusı	t o m ɨ
durı	d u r ɨ
durı	d u r
duz	t u s
duz	tʰ u s
dött	t øʰ t
dött	t i o tʰ
dött	t ø tʰ
döve	t ø w æ
döy	t øː v e n
döy	t øː
döy	t yː
döy	t y j
döye	t ø j e
döye	t ø w æ
düge	t i u ɣ e
düggüsi	t y k k y s i
düggüsi	t y x k y s i
dügme	t y ɣ m æ
dügme	t u ɣ m e
dürlük	t y r l y x
dürlük	t y r l e x
dürğüsi	t y r ɣ y s i
dürğüsi	t y r
düssek	t yʰ s e x
düssek	t yʰ s i x
düssek	tʰ y s
düz	t y z
düz	t y z
düzeğüsi	t y z eʰ ɣ y s i
düzeğüsi	t y z æʰ ɣ y s i
düzeğüsi	t y z æ ɣ y s i
düğleğüsi	t y ɣ l e ɣ y s i
düğleğüsi	t y ɣ l e
düğme	t y ɣ m e
düğü	t i uʼ ɣ u
düğü	ʼt i u ɣ u
ediğüsi	e d i ɣ y s i
ege	e ɣ e
ehtek	eʰ tʰ e k
ehtek	iʰ tʰ i k
el	e l
el	e n
ele	e l e
eleğüsi	e l e ɣ y s i
eman	e m ɑ n
eman	e m e n
emcek	e m ʝ e x
emcek	e n t͡ɕ i x
emcek	e m ʝ y x
emcek	e m t͡ɕ y x
emerçik	e m ɨ r t͡ɕ i χ
emerçik	e m e r t͡ɕ i x
esgi	e s k i
esneğüsi	e s n e ɣ y s i
etgüsi	e tʰ k y s i )
etmek	eʰ m e x
etmek	e tʰ m e x
etmek	e m e x
ette	æ t æ
ette	eʰ t æ
ette	eʰ t i
exgüsi	e x k y s i
eçek	e t͡ɕ i x
eçek	e t͡ɕ e x
eñer	e ŋ e r
eñgek	e ŋ ɡ e x
eñgek	e ŋ ɡ i x
eñgek	æ ŋ ɡ æ x
eñgek	e m k i x
eñgek	e n kʰ i x
eñlik	æ ŋ l i x
eñlik	e ɳ l i χ
eñlik	e ŋ e l y x
eñse	e n s e
eñse	e ŋ s e
eşgü	e ʃ ɡ y
fürğüsi	f y r ɣ y s i
fürğüsi	f y r
fürğüsi	f u r ɣ y s i
fürğüsi	f u r
gacca	k ɑʰ ʝ ɑ
gacca	k ɑ t͡ʃ ɑ
galağusı	k ɑ l ɑ ʁ u s ɨ
galağusı	k ɑ l ɑ
galçañ	k ɑ l t͡ɕ ɑ ŋ
gañli	ʁ a ŋ l i
gañli	qʰ a ŋ r i
gañli	ɣ ɑ ŋ n i
gece	k e ʝ e
gece	k e ʝ i
gindik	k i n d i x
girden	k i r t e n
girden	k ɨ r t ɨ n
girğüsi	k i r ɣ y s i
giya	q ɨ j e
giya	q e j ɑ
giya	q i j ɑ
giğirğüsi	k i ɣ ɨ r ɣ y s i
giğirğüsi	k i ɣ i r ɣ y s i
giğüsi	k iː ɣ y s i
giğüsi	k i ɣ y s i
go	k oː
go	q oː
god	k o d
goppa	k oʰ p ɑ
goxlağusı	k o x l ɑ ʁ u s ɨ
goxlağusı	k o x l ɑ
goxlağusı	k oʰ l ɑ ʁ u s ɨ
goxlağusı	k oʰ l ɑ
guguk	k u k u x
gulu	k u l u
gumuş	k u m u ʃ
gumuş	k u m ɨ ʃ
gumuş	kʰ u m ɨ ʃ
gumuş	k u m u ɕ
gumuş	k u m u ʃ
gumuş	kʰ y m ɨ ɕ
gumuş	qʰ u m u ʃ
gungu	k u ŋ k u
gungu	k u ŋ k o
gölek	k ø l e x
gölek	k ø l i x
gölek	k uː l i x
gölek	k ø l ø kʰ
gömen	k ø m e n
gömeş	k o m e ʃ
gömeş	k ø m e ʃ
gömgüsi	k o m ɣ y s i
gömgüsi	k o m
gömgüsi	k ø m ɣ y s i
gömgüsi	k ø m
gömür	k o m ɨ r
gömür	k ø m y r
gön	k o n
gön	k ø n
görğüsi	k o r ʁ u s ɨ
görğüsi	k ø r ɣ y s i
götti	k ø h t i
götti	k øʰ t i
göz	k ø z
göz	k o z
göñni	k o ŋ n ɨ
göñni	k o ŋ n i
göñni	k øː ŋ n i
göñni	k øː n i
göñni	k ø ŋ n i
göñni	k ø n i
göñni	k o ŋ l y
göñni	k y ŋ y l
göñni	k u ŋ n i
göğesgüsi	k ø ɣ e s k y s i
göşeğüsi	k ø ʃ e ɣ y s i
göşeğüsi	k ø ʃ e
göşeğüsi	k y ʃ e ɣ y s i
göşeğüsi	k y ʃ e
gülilük	k y l y l y x
gülilük	k y l i l i x
gülilük	k y l i x
gülilük	k y l e l yː ʒʰ u x
gülingüsi	k y l i n ɣ y s i
gülingüsi	k y l i n
gülingüsi	k y l y n ɣ y s i
gülingüsi	k y l y n
güniş	k u n i ʃ
güniş	k y n e ʃ
güniş	k u n i ʃ
gürğünçük	k y r ɣ y n t͡ɕ y x
gürğünçük	k y r ɣ y n t͡ɕ i x
gürğünçük	k y r ɣ y n ʝ y x
gürğünçük	k u r ɣ u n ʝ u x
gürğünçük	kʰ u ɕ ɣ y n t͡ɕ y x
güy	k u j
güye	k u j e
güye	k u j i
güz	k y z
hay	x ɑ j
heli	h e l i
heli	h e l l i
heli	h eː l e
heli	x eː l i
heli	h æ l l i
heli	h æ l l æ
heli	h e l l e
ica	i ʝ ɑ
ica	i ʝ e
ica	i ʝ i
ica	i ʝ y
ica	i ʒ u
ilanqusı	i l a n ʁ u s ɨ
ilanqusı	i l a n
ilanqusı	iː l ɑ n ʁ u s ɨ
ilanqusı	iː l ɑ n
ilanqusı	i l e n ɣ y s i
ilanqusı	i l e n
ilanqusı	e l e n ɣ y s i
ilanqusı	e l e n
ilanqusı	e l ɑ n ʁ u s ɨ
ilanqusı	e l ɑ n
ilançük	i l ɑ n t͡ɕ u x
ili	i l i
ili	i l æ
inci	i n ʝ i
inci	i n ʒ i
inci	i n ʝ e
incik	e n ʝ é
inek	i n e x
inek	i n i x
inek	i n æ kʰ
ini	i n i
ini	i n e
ini	i n ɨ
irbis	i r p i s
iren	i r e n
iren	e r ɨ n
iriğüsi	i r i ɣ y s i
iriğüsi	i r ɨ ɣ y s i
iriğüsi	i r i ɣ y s i
iriğüsi	i r ɨ ɣ y s i
iriğüsi	e r i ɣ y s i
irük	i r y x
irük	ø r y x
isgengüsi	h i s k e n ɣ y s i
isgengüsi	h i s k e n
isgengüsi	i s k e n ɣ y s i
isgengüsi	i s k e n
issi	i s s i
issi	i s i
issiğüsi	i s s i ɣ y s i
itük	i t i x
itük	i t y x
itük	øː t y x
ix	i x
ixin	i x i n
ixin	e x e n
iğirğüsi	i ɣ ɨ r ɣ y s i
iğirğüsi	i ɣ ɨ r
iğirğüsi	i ɣ i r ɣ y s i
iğirğüsi	i ɣ i r
işdeğüsi	i ɕ t e ɣ y s i
işdeğüsi	i ɕ t e
işgen	i ʃ k i n
işgen	i ʃ k e n
işgi	i ʃ k i
işmek	i ɕ m e x
işt	i̥ ɕ tʰ
işt	i ʃ t u ɹ
işt	i ʃ t u r
işt	i tʰ
kala	kʰ ɑ l ɑ
kalayi	kʰ ɑ l ɑ j i
kalayi	kʰ ɑ l ɑ j
kalayi	kʰ ɑ l ɑ j i u x
kalayi	q ɑ j ɑ r u χ
kegelik	kʰ e k e l i x
kegelik	kʰ e k e l e x
kegelik	kʰ e k e l i x
kegelik	kʰ e k e l e x
keleğüsi	k e l i iʲ
kema	kʰ e m e
kema	kʰ ɑ m ɑ
kema	kʰ e m ɑ
kendilik	kʰ e n d i l i x
kendilik	kʰ e n d i l e x
ketmen	kʰ eʰ m e n
ketmen	kʰ e m e n
kirit	kʰ i r i tʰ
kirit	kʰ e r i tʰ
kirit	kʰ ɨ r ɨ tʰ
kiriş	kʰ i r i ʃ
kiriş	kʰ i ʃ
kiriş	kʰ e r i ʃ
kiriş	kʰ e ʃ
kiyik	kʰ i j ɨ χ
kiyik	kʰ i̥ χ
kiyik	kʰ i j i x
kiyik	n e j i x
kiyne	kʰ i j n i
kiyne	kʰ eʲ n ɨ
kiyne	k eʲ n ɨ
kiyne	kʰ iʲ n ɨ
kiyne	k iʲ n ɨ
kiyne	kʰ iʲ n e
kiyne	k iʲ n e
kiyne	kʰ eʲ n e
kiyne	k eʲ n e
kiyne	kʰ iʲ n u ɹ
kiyne	k iʲ n u ɹ
kiyne	kʰ iː n
kiyne	k iː n
kiyne	kʰ iʲ n i
kiyne	kʰ iʲ n
kiyne	k iʲ n i
kiyne	k iʲ n
kiyne	kʰ eː n
kiyne	k eː n
kiyne	kʰ eʲ n
kiyne	k eʲ n
kiyne	kʰ eʲ n u r
kiyne	k eʲ n u r
kiyne	kʰ eː m
kiyne	k eː m
kiğirğüsi	kʰ i ɣ ɨ r ɣ y s i
kiğirğüsi	kʰ e ɣ i r ɣ y s i
kunse	kʰ u n s e
kuğu	kʰ u ɣ u
köderğüsi	kʰ ø d e r ɣ y s i
köderğüsi	kʰ ø d e r
köderğüsi	kʰ ø d i r ɣ y s i
köderğüsi	kʰ ø d i r
köderğüsi	kʰ ø d y r ɣ y s i
köderğüsi	kʰ ø d y r
kön	kʰ o n
kön	kʰ ø n
kös	kʰ ø s
kötgüsi	kʰ ø tʰ k y s i
kötgüsi	kʰ ø tʰ k y s i
köxrek	kʰ ø x r e x
köxrek	kʰ y x r e x
köxrek	kʰ øʰ r e x
kük	kʰ u x
kük	kʰ y j i x
kük	kʰ i x
kül	kʰ y l
küliğüsi	kʰ y l i ɣ y s i
küliğüsi	kʰ y l i
küliğüsi	kʰ y l e ɣ y s i
küliğüsi	kʰ y l e
küliğüsi	kʰ y l ɣ y s i
küliğüsi	kʰ y l
küre	kʰ y r e
küre	kʰ y r ɨ
kürek	kʰ y r æ x
kürlük	kʰ y r l y x
kürlük	kʰ u r l y x
kürlük	kʰ y r l i x
kürlük	kʰ u r l i x
kürlük	qʰ u l l ɨ χ
kürlük	kʰ u l i x
kütgüsi	kʰ y t k y s i
kütgüsi	kʰ y t k y s i
lab	l ɑ b
lanzaq	l ɑ n z ɑ χ
lanzaq	l ɑ n s ɨ χ
lappa	l ɑʰ p a
lappa	n ɑʰ p a
leşgi	l e ʃ k i
leşgi	n e ʃ k i
lolağusı	l o l ɑ ʁ u s ɨ
lolağusı	l o v l ɑ ʁ u s ɨ
loñxa	l o ŋ χ ɑ
loğluq	l o ʁ l u χ
mamuq	m ɑ m u χ
manqusı	m ɑ n ʁ u s ɨ
manqusı	m ɑ n
masim	m ɑː s i m
masim	m ɑ s i m
matañ	m ɑ tʰ ɑ ŋ
mağla	m ɑ ʁ l ɑ
mağla	m ɑ χ ɑ l ɑ
mağla	m ɑ χ l ɑ
mett	m eʰ t
mett	m æʰ t
meñzi	m e n z i
meñzi	m ɨ ŋ z i
meñzi	m e n z i ŋ
meñzi	m æ ŋ z i
mimilük	m i m i l i u x
miniği	m i n i ɣ i
miniği	m i n i
miniği	m i ɣ i
miniği	m i
miniği	m e n i ɣ i
miniği	m e n i
miniği	m e ɣ i
miniği	m e
miniği	m i ŋ k i
miniği	m i n i ɣ i
miniği	m i n i ŋ
miniği	m i n i ŋ k i
miñ	m i ŋ
miñ	m i ŋ
miñ	m e ŋ
mişaq	m i ɕ ɑ χ
mişaq	j u m ɕ ɑ χ
moñıs	m o ŋ u s
moñıs	m o ŋ ɨ s
moñıs	m o ŋ o s
muñas	m o ŋ ɨ s
muñas	m u ŋ ɨ s
muñas	m u ŋ ɑ s
muñas	m o ŋ ɑ s
müşük	m y ɕ y x
müşük	m i ɕ y x
müşük	m y ɕ i x
müşük	m i ɕ i x
necce	n eʰ ʝ e
necce	n e t͡ʃ e
nene	n e n e
netme	n eʰ m e
ningen	n i ŋ ɡ e n
nisnas	n i s n ɑ s
nöhür	n ø h y r
nöhür	n ø h r æ
oc	o ʝ
oc	u ʝ
oci	o ʝ i
oci	u ʝ i
odın	oː d ɨ n
odın	o t͡s ɨ n
odın	u t͡s ɨ n
odın	oː d u n
odın	o t ɨ n
ohol	o h o l
olanqusı	o l ɨ n ʁ u s ɨ
olanqusı	o l ɨ n
olanqusı	o l ɨ l ʁ u s ɨ
olanqusı	o l ɨ l
olanqusı	o l ɑ n ʁ u s ɨ
olanqusı	o l ɑ n
olaq	o l ɑ χ
olaq	o l ɨ χ
olaq	o l l ɑ χ
olaq	oː l ɑ χ
olaq	o l ɑ χ
olaq	o l ɨ χ
omaş	o m ɑ ɕ
omaş	o m ɨ ɕ
onduq	o n t u χ
oraq	o r ɑ χ
orxarı	o r χ ɑ r ɨ
orxarı	u r χ ɑ r ɨ
orxarı	u r χ a r
orğusı	o r ʁ u s ɨ
orğusı	o r
ot	o tʰ
ot	oʰ t
ot	oʰ
otağusı	o t ɑ ʁ u s ɨ
otağusı	o t ɑ
otağusı	o d ɑ ʁ u s ɨ
otağusı	o d ɑ
otağusı	o t ɨ ʁ u s ɨ
otağusı	o t ɨ
otkañ	oʰ k ɑ ŋ
