Aal	ɔː l
Schuld	ʃ ʊ l t
Schäöper	ʃ œː p ə r
Siëge	s i ə̯ ɣ ə
Spraak	s p r ɔː k
Steen	s t eː n
Steen	ʃ t ɛ ɪ̯ n
Stein	s t ɛ ɪ̯ n
Stein	ʃ t a ɪ̯ n
Tied	t iː t
Tung	t ʊ ŋ
Tung	t ʊ ŋ ɡ
Tung	t ʊ ŋː
Tüder	t yː d ɐ
Tügen	t yː ɣ ə n
Tüüg	t yː x
Ur	uː ɾ
Urlog	uː ɾ l ɔ x
Vader	f aː d ə r
Vuegel	f ʊ ə̯ ɣ ə l
Vörhamer	f œː r h ɔː m ə r
Water	v aː t ə r
Westfalen	v ɛ s f ɔː l n̩ ~ v ɛ s f ɒː l n̩ ~ v ɛ s f oː l n̩
Westfalen	v ɛ s f ɔː l n̩ ~ v ɛ s f ɒː l n̩ ~ v ɛ s t f oː l n̩
Westfalen	v ɛ s f ɔː l n̩ ~ v ɛ s t f ɒː l n̩ ~ v ɛ s f oː l n̩
Westfalen	v ɛ s f ɔː l n̩ ~ v ɛ s t f ɒː l n̩ ~ v ɛ s t f oː l n̩
Westfalen	v ɛ s t f ɔː l n̩ ~ v ɛ s f ɒː l n̩ ~ v ɛ s f oː l n̩
Westfalen	v ɛ s t f ɔː l n̩ ~ v ɛ s f ɒː l n̩ ~ v ɛ s t f oː l n̩
Westfalen	v ɛ s t f ɔː l n̩ ~ v ɛ s t f ɒː l n̩ ~ v ɛ s f oː l n̩
Westfalen	v ɛ s t f ɔː l n̩ ~ v ɛ s t f ɒː l n̩ ~ v ɛ s t f oː l n̩
Westfalen	ʋ ɛ s f aː l n̩ ~ ʋ ɛ s f ɔː l n̩
Westfalen	ʋ ɛ s f aː l n̩ ~ ʋ ɛ s t f ɔː l n̩
Westfalen	ʋ ɛ s t f aː l n̩ ~ ʋ ɛ s f ɔː l n̩
Westfalen	ʋ ɛ s t f aː l n̩ ~ ʋ ɛ s t f ɔː l n̩
Westfaolen	v ɛ s t f ɒː l ə n
Westfaolen	v ɛ s t f ɔː l ə n
Wils	v ɪ l z
Wind	w ɪ n t
Woold	ʋ ɔː ɫ t
Woolt	ʋ ɔː ɫ t
Zeeg	s eː ç
Zeeg	t s eː ç
achten	a x t n̩
achten	a x t ə n
achtergahn	ɑ x t ə ɡ ɒː n
achtergahn	ɑ x t ə ɡ ɔː n
adjüs	a d ʒ ʏ s
aisen	a ɪ̯ z ə n
aisig	a ɪ s l ɪ ç
aislik	a ɪ s l ɪ k
aiwisk	a ɪ w ɪ s̺ k
aiwisk	a ɪ ʋ ɪ s̺ k
alleen	ɑ l eː n
an	a n
an	aː n
an	ɒː n
an	ɔː n
avends	ɔː v ə n t s
balstürig	b a l s t yː r ɪ ç
beden	b eː d ə n
befehlen	b ə f eː l ə n
beför	b e f œ r
begraven	b ə ɡ r aː v ə n
bi	b iː
bieten	b iː t ə n
binnen	b ɪ n n ə n
blaag	b l ɒː x
blaag	b l ɔː x
blag	b l ɒː x
blag	b l ɔː x
breken	b r eː k ə n
bringen	b r ɪ ŋ ə n
bringen	b r ɪˑ ŋ ŋ̩
broedegom	b r u d ə ɡ ɔ m
broedegom	b r uː d ə ɡ ɔ m
brun	b ɾ uː n
bruun	b ɾ uː n
buten	b uː t ə n
daags	d ɔː x s
daagsöver	d ɔː x s øː v ə r
dat	d a t
dat	d ɑ t
de	d e ɪ̯
de	d eː
de	d ɛ ɪ̯
dei	d a ɪ̯
dei	d ɛ ɪ̯
doof	d oː f
doon	d oː n
dröven	d r øː v ŋ̩
dröven	d r øː v ə n
dumm	d ʊ m
dwingen	d v ɪ ŋ ə n
döpen	d øː p ŋ̩
döpen	d øː p ə n
dören	d øː r ŋ̩
dören	d øː r ə n
dörven	d œ r v n̩
dörven	d œ r v ə n
düppen	d ʏ p ə n
düster	d y s t æ
düster	d y s t ə
düüster	d y s t æ
düüster	d y s t ə
een	eː n
ehr	eː r
ehr	eː æ
ehr	eː ə
ehr	ɛː r
ehr	ɛː æ
ehr	ɛː ə
ehrder	eː r d ə r
ehren	eː r ə n
ein	a ɪ̯ n
ein	ɛ ɪ̯ n
eine	a ɪ̯ n ə
eine	ɛ ɪ̯ n ə
en	eː n
en	eː ɪ̯ n
en	æ ɪ̯ n
en	ɛ ɪ̯ n
ene	ɛ ɪ̯ n ə
eten	eː t ə n
fallen	f a lː n̩
fallen	f a lː ə n
faten	f ɒː t n̩
faten	f ɒː t ə n
faten	f ɔː t n̩
fechten	f ɛ x t n̩
för	f øː r
för	f øː ɐ̯
för	f œː r
för	f œ͡ɐ
för	v øː r
för	v ɵ r
för	v ɵ ɘ
för	v ɵː r
fördem	f œ͡ɐ d eː m
fördęm	f œ͡ɐ d ɛː m
füllen	f ʏ l n
füllen	f ʏ l ə n
füllen	f ʏ lː n
füllen	f ʏ lː ə n
gahn	ɡ aː n
gahn	ɡ ɒː n
gaon	x ɔː n
gau	ɡ a ʊ̯
geel	ɡ eː l
gel	ɡ eː l
gluustern	ɡ l uː s t ə r n
god	ɡ oː t
god	ɣ oː t
grag	ɡ ɾ ɒː x
grag	ɡ ɾ ɔː x
grag	ɣ ɾ ɒː x
grag	ɣ ɾ ɔː x
grag	ʝ ɾ ɒː x
grag	ʝ ɾ ɔː x
grienen	ɡ r iː n ə n
gris	ɡ r iː s
groot	ɣ r oː t
gräun	ɡ ɾ ɔ ɪ n
grön	ɡ ɾ œ ɪ̯ n
gued	ɣ ʊ ə̯ t
gęl	ɡ ɛː l
hai	h a ɪ̯
he	h ɛ ɪ̯
hei	h a ɪ̯
hei	h ɛ ɪ̯
hooch	ɦ oː x
huoppen	h u̯ ɔ p ə n
ick	ɪ k
ieme	i m ə
ik	ɪ k
iähr	i̯ ɛ r
jagen	j ɒː ɡ ə n
jagen	j ɔː ɡ ə n
jung	j ʊ ŋ k
kamen	k ɔː m ə n
kennen	k ɛ n n ə n
kennen	k ɛ n ə n
kieken	k iː k ə n
klook	k l oː k
kold	kʰ ɔː ɫ t
kommodig	k ɔ m oː d ɪ ç
koolt	kʰ ɔː ɫ t
koose	k oː z ə
kopen	k oː p ə n
kuemen	k ʊ ə̯ m ə n
könen	k øː n ə n
köpen	k øː p ə n
laat	l aː t
laat	l ɒː t
laat	l ɔː t
lachen	l a x ə n
laden	l aː d n̩
laden	l aː d ə n
leggen	l e ɣ ə n
leggen	l e ɣː ə n
leggen	l ɛ ŋ
leggen	l ɛ ɡ ə n
leggen	l ɛ ɡː ə n
leggen	l ɛ ɣ ə n
leggen	l ɛ ɣː ə n
liäben	l i̯ ɛ v ə n
luustern	l uː s t ə r n
lättst	l ɛ t s t
löken	l øː k ə n
löven	l øː v ə n
lütt	l ʏ t
lüüstern	l yː s t ə r n
maken	m aː k ə
maken	m aː k ə n
maken	m æː k ə
maken	m æː k ə n
maken	m ɑː k ə
maken	m ɑː k ə n
maken	m ɒː k ə
maken	m ɒː k ə n
maken	m ɔ ʊ̯ k ə
maken	m ɔ ʊ̯ k ə n
mi	m i
mid	m ɪ t
mir	m iː r
mir	m iː æ̯
mir	m iː ə̯
moin	m ɔː ɪ n
moin	m ɔː ɪ ŋ
morgens	m ɔ r n̩ s
morgens	m ɔ r ɡ n̩ s
morrns	m ɔ r n̩ s
männig	m ɛ n ɪ ç
mögen	m øː ŋ
mögen	m øː ɣ ə n
mögen	m œː ŋ
mögen	m œː ɣ ə n
möten	m øː t n̩
möten	m øː t ə n
nachtens	n a x t ə n s
nachts	n a x t s
nehmen	n eː m ə n
nich	n ɪ
nich	n ɪ x
nich	n ɪ ç
noog	n o ʊ x
old	ɔː ɫ t
oolt	oː l t
rod	ɾ ɔ u̯ t
ruum	r uː m
schier	ʃ iː ɾ
schirrwarken	ʃ ɪ ɾ v ɑ͡ɐ k n̩
schrieven	ʃ r iː v ə n
schölen	ʃ øː l ə n
se	s eː
se	s ɛ ɪ
se	z eː
se	z ɛ ɪ
seggen	z ɛ ɡ ə n
sehn	s e ɪ n
sehn	s eː n
sehn	s ɛ ɪ n
sehn	s̺ e ɪ n
sehn	s̺ eː n
sehn	s̺ ɛ ɪ n
sehn	s̺ ɛː n
sehn	z e ɪ n
sehn	z eː n
sehn	z ɛ ɪ n
sei	z a ɪ̯
sei	z ɛ ɪ̯
sien	z iː n
slaan	s l ɒː n
slaan	s l ɔː n
smuustern	ʃ m uː s t ə r n
smüüstern	ʃ m yː s t ə r n
stahn	s t ɒː n
staon	s t ɔː n
staon	ʃ t ɔː n
stark	s t a r k
stark	s t aː k
striden	s t ɾ iː d n̩
striden	ʃ t ɾ iː d n̩
strieden	s t ɾ iː d n̩
strieden	ʃ t ɾ iː d n̩
swart	s v a t
swart	s v aː t
swart	s w a r t
swart	s w a t
swart	s w aː t
swart	z w a r t
swart	z w aː t
swellen	s v ɛ l ə n
sæben	z ɶː b n̩
sæwen	z ɶː v n̩
söken	s øː k ə n
söken	s œ ʏ k ə n
söken	z øː k ə n
söken	z œ ʏ k ə n
söß	s œ s
söß	z œ s
süss	z ʏ s
sœben	z ɶː b n̩
sœwen	z ɶː v n̩
tellen	t ɛ l ə n
traag	t ʀ aː x
twee	t v eː
veel	f eː l
veel	f ɛ ɪ̯ ɫ
vergeten	f ə r ɡ eː t ə n
vergeten	f ə r ɡ ɛː t ə n
verköpen	v ə r k øː p ə n
verwysing	v ə ʋ iː z ɪ ŋ
vull	f ɔ l
vull	f ʊ l
vęl	f ɛː l
waar	v aː r
waen	ʋ ɛː n
wann	v a n
wann	w a nː
wann	ʋ ɑ n
wannehr	v a n eː r
warken	w a r k ə n̩
wenn	v ɛ n
wesen	v ɛː z ə n
wesen	w ɛː z ə n
wesen	ʋ eː a z ə n
wesen	ʋ eː z ə n
wesen	ʋ eː ə n
wesen	ʋ ɛː n
wesen	ʋ ɛː z ə n
wesen	ʋ ɪ a z ə n
wesen	ʋ ɪ ɛ z ə n
wesen	β eː a z ə n
wesen	β ɛː z ə n
westfäölsk	v ɛ s t f œː l s k
wies	ʋ iː s
wild	v ɪ l t
winken	v ɪ ŋ k ə n
winken	w ɪ ŋ k ə n
witt	v i t
witt	v ɪ t
wo	v ɔ u̯
wor	v ɔː r
wüllen	v ʏ l ə n
wüllen	w ʏ lː ə n
węsen	w ɛː z ə n
Âke	aː k ə
Âken	aː k ɘ n
Ägg	ɛ ɡː
Äken	ɛː k ɘ n
Åder	ɔː d ɐ
Åk	ɔː k
àder	ɔ d ɐ
àder	ɔ ð ɐ
âdräötig	ɑː d r œː t ɪ ç
övel	øː v ə l
övel	œː v ə l
över	øː v ə r
över	œː v ə r
üm	u m
üm	y m
ünnergahn	y n ə r ɡ ɒː n
ünnergahn	y n ə r ɡ ɔː n
ünnergahn	y n ə ɡ ɒː n
ünnergahn	y n ə ɡ ɔː n
üöver	y̆ œ v ə r
Ę	æ ə
Ę	æː
Ę	ɛ ə
Ę	ɛː
