Ada	aː t a
Eyjafjallajökull	e iː j a f j a t l a j œː k ʏ t l
Eyjaálfa	e iː j a a u l v a
Eyjólfína	e iː j o u l v iː n a
Eyland	e iː l a n t
Eymundur	e iː m ʏ n t ʏ r
Eyrún	e iː r u n
Eyvindína	e iː v ɪ n t iː n a
Eþíópía	ɛː θ j o uː pʰ iː j a
Falstur	f a l s t ʏ r
Falur	f aː l ʏ r
Felix	f ɛː l ɪ k s
Felix	f ɛː l ɪ x s
Finnbogi	f ɪ n p ɔ j ɪ
Finni	f ɪ nː ɪ
Finnland	f ɪ nː l a n t
Finnur	f ɪ nː ʏ r
Finsen	f ɪ n s ɛː nː
Fjóla	f j o uː l a
Fjólmundur	f j o u l m ʏ n t ʏ r
Fjón	f j o uː n
Flensborg	f l ɛ n s p ɔ r k
Flórens	f l o uː r ɛ n s
Flórída	f l o uː r i t a
Frakkar	f r a h k aː r
Frakki	f r a h c ɪ
Frakkland	f r a h k l a n t
Frank	f r a ŋ̊ k
Frelsisstyttan	f r ɛ l s ɪ s s t ɪ h t a n
Freydís	f r e iː t iː s
Freygerður	f r e iː c ɛ r ð ʏ r
Freyja	f r e iː j a
Friðmundur	f r ɪ ð m ʏ n t ʏ r
Frímannía	f r iː m a nː iː j a
Fríða	f r iː ð a
Frón	f r o uː n
Fróðný	f r o u ð n iː
Fésbók	f j ɛː s p o uː k
Fíladelfía	f iː l a t ɛ l f iː j a
Fönikía	f œː n ɪ cʰ iː j a
Galílea	k aː l iː l ɛː a
Gana	k aː n a
Ganamaður	k aː n a m aː ð ʏ r
Garðar	k a r ð a r
Gaukur	k ø yː k ʏ r
Gautaborg	k ø yː t a p ɔ r k
Gautelfur	k ø yː t ɛ l v ʏ r
Gauti	k ø yː t ɪ
Geir	k e iː r
Geirdís	c e i r t iː s
Geirfríður	c e i r̥ f r iː ð ʏ r
Geirharður	c e iː r h a r ð ʏ r
Geirmundur	c e i r m ʏ n t ʏ r
Geirþrúður	c e i r̥ θ r uː ð ʏ r
Genf	c ɛ n f
Genf	k ɛ n f
Georgía	c ɛː ɔ r c iː j a
Georgína	c ɛː ɔ r c iː n a
Gerður	c ɛ r ð ʏ r
Gestína	c ɛ s t iː n a
Gilitrutt	c ɪː l ɪ tʰ r ʏ h t
Gissunn	c ɪ sː ʏ nː
Gissurína	c ɪ sː ʏ r iː n a
Gloría	k l ɔː r i a
Glódís	k l o uː t iː s
Glúmur	k l uː m ʏ r
Gnarr	k n a rː
Goggi	k ɔ cː ɪ
Gormur	k ɔ r m ʏ r
Goti	k ɔː t ɪ
Gotland	k ɔː t l a n t
Grikki	k r ɪ h c ɪ
Grikkland	k r ɪ h k l a n t
Grjóni	k r j o uː n ɪ
Grænhöfðaeyjar	k r a iː n h œ v ð a e i j a r
Grænland	k r a i n l a n t
Gríma	k r iː m a
Grímkell	k r i m cʰ ɛ t l
Grímur	k r iː m ʏ r
Grýla	k r iː l a
Gunnarína	k ʏ nː aː r iː n a
Gunndís	k ʏ nː t iː s
Gunnlaug	k ʏ nː l ø yː ɣ
Gunnlaugur	k ʏ nː l ø yː ɣ ʏ r
Gunnur	k ʏ nː ʏ r
Gunnólfur	k ʏ nː o u l v ʏ r
Gunnþórunn	k ʏ n θ o uː r ʏ nː
Guðbjörg	k v ʏ ð p j œ r k
Guðbrandína	k v ʏ ð p r a n t iː n a
Guðdís	k v ʏ ð t iː s
Guðjohnsen	k v ʏ ð j o u n s ɛː nː
Guðjónína	k v ʏ ð j o uː n iː n a
Guðlaug	k v ʏ ð l ø yː ɣ
Guðlaugur	k v ʏ ð l ø yː ɣ ʏ r
Guðmunda	k v ʏ ð m ʏ n t a
Guðmundur	k v ʏ ð m ʏ n t ʏ r
Guðmundína	k v ʏ ð m ʏ n t iː n a
Guðríður	k v ʏ ð r iː ð ʏ r
Guðrún	k v ʏ ð r uː n
Guðvaldína	k v ʏ ð v a l t iː n a
Gvatemala	k v aː tʰ ɛː m aː l a
Gyrðir	c ɪ r ð ɪ r
Gyða	c ɪː ð a
Gíbraltar	c iː p r a l̥ t aː r
Gíslína	c i s t l iː n a
Haarde	h ɔ r t ɛː
Hadda	h a tː a
Hafdís	h a v t iː s
Hafliðína	h a v l ɪː ð iː n a
Halla	h a t l a
Halldís	h a l t iː s
Halldór	h a l t o uː r
Halldórsdóttir	h a l t o u r̥ s t o u h t ɪ r
Hallgerður	h a t l c ɛ r ð ʏ r
Hallgrímína	h a t l k r iː m iː n a
Halli	h a t l ɪ
Hallmundur	h a t l m ʏ n t ʏ r
Hallur	h a t l ʏ r
Hamborg	h a m p ɔ r k
Hanna	h a nː a
Hannesína	h a nː ɛː s iː n a
Hansen	h a n s ɛ nː
Hansi	h a n s ɪ
Hansína	h a n s iː n a
Haraldur	h aː r a l t ʏ r
Haraldína	h aː r a l t iː n a
Haukur	h ø yː k ʏ r
Havaí	h aː v a iː
Hedda	h ɛ tː a
Heiðdís	h e i ð t iː s
Heiður	h e iː ð ʏ r
Hekla	h ɛ h k l a
Helgi	h ɛ l c ɪ
Helsingjaborg	h ɛ l s i ɲ c a p ɔ r k
Helsingjaeyri	h ɛ l s ɪ ɲ c a e iː r ɪ
Hera	h ɛː r a
Herdís	h ɛ r t iː s
Herkúles	h ɛ r̥ k uː l ɛː s
Hermundur	h ɛ r m ʏ n t ʏ r
Hersegóvína	h ɛ r̥ s ɛː k o uː v iː n a
Hervör	h ɛ r v œː r
Hildigunnur	h ɪ l t ɪ k ʏ nː ʏ r
Hildimundur	h ɪ l t ɪ m ʏ n t ʏ r
Hilmir	h ɪ l m ɪ r
Hjaltalín	ç a l̥ t a l iː n
Hjaltested	ç a l̥ t ɛː s t ɛː ð
Hjalti	ç a l̥ t ɪ
Hjaltlandseyjar	ç a l̥ t l a n t s e iː j a r
Hjaltína	ç a l̥ t iː n a
Hjálmar	ç a u l m a r
Hjálmtýr	ç a u l m tʰ iː r
Hjördís	ç œ r t iː s
Hjörtur	ç œ r̥ t ʏ r
Hjörtína	ç œ r̥ t iː n a
Hlér	l̥ j ɛː r
Hlésey	l̥ j ɛː s e iː
Holland	h ɔ l l a n t
Holtsetaland	h ɔ l̥ t s ɛː t a l a n t
Hrafn	r̥ a p n
Hrafndís	r̥ a p n t iː s
Hrafnhildur	r̥ a p n̥ h ɪ l t ʏ r
Hrafnkell	r̥ a p n cʰ ɛ t l
Hreindís	r̥ e i n t iː s
Hreinn	r̥ e i t n
Hróarskelda	r̥ o uː a r̥ s cʰ ɛ l t a
Hrólfur	r̥ o u l v ʏ r
Hróný	r̥ o uː n iː
Hróðný	r̥ o u ð n iː
Hulda	h ʏ l t a
Hveðn	kʰ v ɛ ð n
Hveðn	xʷ ɛ ð n
Hvítá	kʰ v iː t a uː
Hvítá	xʷ iː t a uː
Hámundur	h a uː m ʏ n t ʏ r
Hávarðína	h a uː v a r ð iː n a
Héðinn	ç ɛː ð ɪ nː
Hólmfríður	h o u l m f r iː ð ʏ r
Hórus	h o uː r ʏ s
Höfuðborgarsvæðið	h œː v ʏ θ p ɔ r k a r s v a iː ð ɪ ð
Höfðaborg	h œ v ð a p ɔ r k
Hörn	h œ r t n
Hörðaland	h œ r ð a l a n t
Hörður	h œ r ð ʏ r
Ilmur	ɪ l m ʏ r
Indland	ɪ n t l a n t
Indriðason	ɪ n t r ɪː ð a s ɔː n
Indriði	ɪ n t r ɪː ð ɪ
Indriðína	ɪ n t r ɪː ð iː n a
Indverji	ɪ n t v ɛ r j ɪ
Indónesía	ɪ n t o uː n ɛː s iː j a
Ingi	i ɲ c ɪ
Ingibjörg	i ɲ c ɪ p j œ r k
Ingimundur	i ɲ c ɪ m ʏ n t ʏ r
Ingimundína	i ŋ c ɪ m ʏ n t iː n a
Ingunn	i ŋ k ʏ nː
Ingvarsson	i ŋ k v a r̥ s s ɔː n
Ingólfur	i ŋ k o u l v ʏ r
Ingólfína	i ŋ k o u l v iː n a
Internet	ɪ n̥ t ɛ r n ɛː t
Iða	ɪː ð a
Iðunn	ɪː ð ʏ nː
Jakob	j aː kʰ ɔː p
Jakobína	j aː kʰ ɔː p iː n a
Jana	j aː n a
Japan	j aː pʰ a n
Japani	j aː pʰ aː n ɪ
Jarþrúður	j a r̥ θ r uː ð ʏ r
Jaðar	j aː ð a r
Jensen	j ɛ n s ɛ nː
Jensína	j ɛ n s iː n a
Jerúsalem	j ɛː r uː s aː l ɛː m
Jesús	j ɛː s uː s
Johnsen	j o u n s ɛː nː
Játvarður	j a uː t v a r ð ʏ r
Jóakim	j o uː a cʰ ɪ m
Jódís	j o uː t iː s
Jóhann	j o uː h a nː
Jóhanna	j o uː h a nː a
Jóhannes	j o uː h a nː ɛː s
Jóhannesína	j o uː h a nː ɛː s iː n a
Jólaeyja	j o uː l a e iː j a
Jón	j o uː n
Jónas	j o uː n aː s
Jónasína	j o uː n aː s iː n a
Jónatan	j o u̯ː n a tʰ aː n
Jóndís	j o u n t iː s
Jónheiður	j o uː n h e iː ð ʏ r
Jónmundur	j o u n m ʏ n t ʏ r
Jónína	j o uː n iː n a
Jóný	j o uː n iː
Jórdan	j o u r t aː n
Jórdanía	j o u r t aː n iː j a
Jórunn	j o uː r ʏ nː
Jósebína	j o uː s ɛː p iː n a
Jósefína	j o uː s ɛː f iː n a
Jótland	j o uː t l a n t
Jörgensen	j œ r k ɛ n s ɛː nː
Jörundína	j œː r ʏ n t iː n a
Júdea	j uː t ɛː a
Júdit	j uː t ɪː t
Júkki	j u h c ɪ
Júlíus	j uː l iː j ʏ s
Júpíter	j uː p iː tʰ ɛː r
Kaaber	kʰ ɔː p ɛ r
Kalifornía	kʰ aː l ɪ f ɔ r n i j a
Kanada	kʰ aː n aː t a
Kantaraborg	kʰ a n̥ t a r a p ɔ r k
Kara	kʰ aː r a
Karen	kʰ aː r ɛː n
Karþagó	kʰ a r̥ θ a k o uː
Katrín	kʰ aː t r iː n
Kaðlín	kʰ a ð l iː n
Ketill	cʰ ɛː t ɪ t l
Kiljan	cʰ ɪ l j a n
Kirjálaland	cʰ ɪ r j a uː l a l a n t
Kirkjubær	cʰ ɪ r̥ c ʏ p a iː r
Kjartan	cʰ a r̥ t a n
Kjartanía	cʰ a r̥ t a n iː j a
Klara	kʰ l aː r a
Klemens	kʰ l ɛː m ɛ n s
Klængur	kʰ l a i ŋ k ʏ r
Knútur	kʰ n uː t ʏ r
Konráð	kʰ ɔ n r a uː ð
Konráðína	kʰ ɔ n r a uː ð iː n a
Kornbretaland	kʰ ɔ r t n p r ɛː t a l a n t
Korsíka	kʰ ɔ r̥ s iː k a
Kragh	kʰ r aː ɣ
Kraká	kʰ r aː k a uː
Krissa	kʰ r ɪ sː a
Krista	kʰ r ɪ s t a
Kristinn	kʰ r ɪ s t ɪ nː
Kristjana	k r ɪ s t j aː n a
Kristján	kʰ r ɪ s t j a uː n
Kristjánssandur	kʰ r ɪ s t j a u n s s a n t ʏ r
Kristur	kʰ r ɪ s t ʏ r
Kristí	kʰ r ɪ s t iː
Kristín	kʰ r ɪ s t iː n
Króati	kʰ r o uː aː t ɪ
Kumbaraland	kʰ ʏ m p aː r a l a n t
Kvaran	kʰ v aː r a n
Kára	kʰ a uː r a
Kári	kʰ a uː r ɪ
Kína	cʰ iː n a
Kórea	kʰ o uː r ɛː a
Kúld	kʰ u l t
Kýpur	cʰ iː p ʏ r
Langbarðaland	l a u ŋ k p a r ð a l a n t
Lappland	l a h p l a n t
Lara	l aː r a
Laugaskarð	l ø yː ɣ a s k a r ð
Lea	l ɛː a
Leira	l e iː r a
Leppalúði	l ɛ h p a l uː ð ɪ
Lettland	l ɛ h t l a n t
Leví	l ɛː v iː
Limafjörður	l ɪː m a f j œ r ð ʏ r
Litháen	l ɪː t h a uː ɛː n
Ljótunn	l j o uː t ʏ nː
Logi	l ɔ iː j ɪ
Loki	l ɔː c ɪ
Long	l ɔ ŋː
Lundúnir	l ʏ n t uː n ɪ r
Lyngvi	l i ŋ k v ɪ
Láfi	l a uː v ɪ
Láki	l a uː c ɪ
Láland	l a uː l a n t
Lára	l a uː r a
Lárus	l a uː r ʏ s
Lénharður	l j ɛː n h a r ð ʏ r
Lísa	l iː s a
Lói	l o uː ɪ
Lúxemborg	l u x s ɛ m p ɔ r ɣ
Maggi	m a cː ɪ
Magndís	m a k n t iː s
Magnea	m a k n ɛː a
Magnús	m a k n uː s
Magnúsína	m a k n uː s iː n a
Makedónía	m aː kʰ ɛː t o uː n iː j a
Malasía	m aː l a s iː j a
Malmquist	m a l m kʰ v ɪ s t
Malí	m aː l iː
Mardís	m a r t iː s
Mari	m aː r ɪ
Markúsartorg	m a r̥ k uː s a r tʰ ɔ r k
Mars	m a r̥ s
Marta	m a r̥ t a
Marteinn	m a r̥ t e i t n
María	m aː r iː j a
Maídís	m a iː t iː s
Meddi	m ɛ tː ɪ
Medína	m ɛː t iː n a
Mekka	m ɛ h k a
Melaskóli	m ɛː l a s k o uː l ɪ
Melkorka	m ɛ l kʰ ɔ r̥ k a
Merkúr	m ɛː r̥ kʰ uː r
Mesópótamía	m ɛː s o uː pʰ o uː t a m iː j a
Mexíkó	m ɛ k s iː kʰ o uː
Michelsen	m ɪ h k ɛ l s ɛ nː
Mikael	m ɪː kʰ aː ɛː l
Mikki	m ɪ h c ɪ
Miðjarðarhaf	m ɪ ð j a r ð a r h aː v
Mjallhvít	m j a h t l k v i t
Mjölnir	m j œ l n ɪ r
Moldavía	m ɔ l t a v iː j a
Mongóli	m o u ŋ k o u l ɪ
Mongólía	m ɔ ŋ k o uː l iː j a
Morthens	m ɔ r̥ t ɛ n s
Málmey	m a u l m e iː
Mári	m a uː r ɪ
Mæri	m a iː r ɪ
Mía	m iː j a
Móeiður	m o uː e iː ð ʏ r
Móheiður	m o uː h e iː ð ʏ r
Möller	m œ lː ɛ r
Mön	m œː n
Mörður	m œ r ð ʏ r
Múhameð	m uː h a m ɛː ð
Mýrdalur	m i r t aː l ʏ r
Mýrdalína	m i r t aː l iː n a
Mývatn	m iː v aʰ t n
Namibía	n aː m ɪ p iː j a
Narfi	n a r v ɪ
Nenna	n ɛ nː a
Nenni	n ɛ nː ɪ
Nepal	n ɛː pʰ aː l
Neptúnus	n ɛ f tʰ uː n ʏ s
Neptúnus	n ɛ p tʰ uː n ʏ s
Nevada	n ɛː v a t a
Nielsen	n i l s ɛ nː
Nikulás	n ɪː k ʏ l a uː s
Ninja	n ɪ n j a
Njáll	n j a u t l
Noregur	n ɔː r ɛː ɣ ʏ r
Norðdahl	n ɔ r ð t aː l
Norðmaður	n ɔ r ð m aː ð ʏ r
Norðurland	n ɔ r ð ʏ r l a n t
Norðymbraland	n ɔ r ð ɪ m p r a l a n t
Nárú	n a uː r uː
Níelsína	n iː j ɛ l s iː n a
Nígería	n iː k ɛː r iː j a
Níl	n iː l
Nína	n iː n a
Nói	n o uː ɪ
Nökkvi	n œ h k v ɪ
Oddur	ɔ tː ʏ r
Olga	ɔ l k a
Olgeirína	ɔ l c e iː r iː n a
Olsen	o u l s ɛ nː
Orkneyjar	ɔ r̥ k n e iː j a r
Ormur	ɔ r m ʏ r
Osló	ɔ s t l o uː
Palestína	pʰ aː l ɛ s t iː n a
París	pʰ aː r iː s
Perla	pʰ ɛ r t l a
Persía	pʰ ɛ r̥ s iː j a
Perú	pʰ ɛː r uː
Petersen	pʰ ɛː t ɛ r̥ s ɛ nː
Petrína	p ɛː t r iː n a
Portúgali	pʰ ɔ r̥ t u k aː l ɪ
Prag	pʰ r aː ɣ
Prússland	pʰ r u s t l a n t
Páldís	p a u l t iː s
Páll	pʰ a u t l
Pálmar	pʰ a u l m a r
Pálína	pʰ a uː l iː n a
Pétti	pʰ j ɛ h t ɪ
Pétur	p j ɛː t ʏ r
Pétursborg	pʰ j ɛː t ʏ r̥ s p ɔ r k
Pólland	p o u l l a n t
Pýþagóras	pʰ iː θ a k o uː r aː s
Ragnar	r a k n aː r
Ragnheiður	r a k n h e iː ð ʏ r
Reynir	r e iː n ɪ r
Riis	r iː s
Rogaland	r ɔː ɣ a l a n t
Runólfína	r ʏː n o u l v iː n a
Rustikus	r ʏ s t ɪ kʰ ʏ s
Ríkharður	r iː k h a r ð ʏ r
Rín	r iː n
Ríta	r iː t a
Róm	r o uː m
Rómaborg	r o uː m a p ɔ r k
Rögnvaldína	r œ k n v a l t iː n a
Rökkvi	r œ h k v ɪ
Röskva	r œ s k v a
Rúmenía	r uː m ɛː n iː j a
Rúnar	r uː n aː r
Rúrik	r uː r ɪ k
Rúðuborg	r uː ð ʏ p ɔ r k
Safír	s aː f iː r
Saga	s aː ɣ a
Sagreb	s aː k r ɛː p
Salka	s a l̥ k a
Salvadori	s a l v a t ɔː r ɪ
Samúel	s aː m uː ɛː l
Samúelína	s aː m uː ɛː l iː n a
Sara	s aː r a
Sardinía	s a r t ɪ n iː j a
Saxland	s a x s l a n t
Scheving	s c ɛː v i ŋ
Schiöth	s c œ h t
Schram	s k r aː m
Seifur	s e iː v ʏ r
Selma	s ɛ l m a
Serbi	s ɛ r p ɪ
Sif	s ɪː v
Sigdís	s ɪ ɣ t iː s
Sigfús	s ɪ x f uː s
Sigfúsína	s ɪ x f uː s iː n a
Siggi	s ɪ cː ɪ
Sigmar	s ɪ ɣ m aː r
Sigmundur	s ɪ ɣ m ʏ n t ʏ r
Sigmundína	s ɪ ɣ m ʏ n t iː n a
Signa	s ɪ k n a
Sigríður	s ɪ ɣ r iː ð ʏ r
Sigurdís	s ɪː ɣ ʏ r t iː s
Sigurðsson	s ɪː ɣ ʏ r ð s s ɔː n
Sigurður	s ɪː ɣ ʏ r ð ʏ r
Sigurðína	s ɪː ɣ ʏ r ð iː n a
Sigþrúður	s ɪ x θ r uː ð ʏ r
Sikiley	s ɪː c ɪ l e iː
Silja	s ɪ l j a
Sjáland	s j a uː l a n t
Sjöfn	s j œ p n
Skoti	s k ɔː t ɪ
Skotland	s k ɔː t l a n t
Skánn	s k a u t n
Skírisskógur	s c iː r ɪ s s k o uː ʏ r
Skíði	s c iː ð ɪ
Skúli	s k uː l ɪ
Skúlína	s k uː l iː n a
Slésvík	s t l j ɛː s v iː k
Slóvakía	s t l o uː v a cʰ iː j a
Slóvenía	s t l o uː v ɛː n iː j a
Smári	s m a uː r ɪ
Snæfríður	s t n a iː f r iː ð ʏ r
Snæland	s t n a iː l a n t
Soffía	s ɔ fː iː j a
Solla	s ɔː l a
Spanjóli	s p a n j o uː l ɪ
Sparta	s p a r̥ t a
Spánn	s p a u t n
Spánverji	s p a u n v ɛ r j ɪ
Stefanía	s t ɛː f aː n iː j a
Stein	s t e iː n
Steindór	s t e i n t o uː r
Steinn	s t e i t n
Steinunn	s t e iː n ʏ nː
Steinþór	s t e i n θ o uː r
Stella	s t ɛ lː a
Stephensen	s t ɛː f ɛ n s ɛ n
Stokkhólmur	s t ɔ h k h o u l m ʏ r
Sturla	s t ʏ r t l a
Sturlína	s t ʏ r t l iː n a
Styrmir	s t ɪ r m ɪ r
Stína	s t iː n a
Stórólfur	s t o uː r o u l v ʏ r
Stóðgarður	s t o u ð k a r ð ʏ r
Sundhnúkagígaröðin	s ʏ n t h n u k a j i ɣ a r œ ð ɪ n
Suðurland	s ʏ ð ʏ r l a n t
Svandís	s v a n t iː s
Sveindís	s v e i n t iː s
Sveinn	s v e i t n
Sverrir	s v ɛ rː ɪ r
Sverrína	s v ɛ rː iː n a
Sviss	s v ɪ sː
Svíi	s v iː ɪ
Sámsey	s a u m s e iː
Sæmundur	s a iː m ʏ n t ʏ r
Sæmundína	s a iː m ʏ n t iː n a
Sæunn	s a iː j ʏ nː
Síbería	s iː p ɛ r iː j a
Símon	s iː m ɔː n
Símonía	s iː m ɔː n iː j a
Sófókles	s o uː f o uː kʰ l ɛː s
Sóldís	s o u l t iː s
Sólon	s o uː l ɔ n
Sólveig	s o u l v e iː ɣ
Sómalía	s o uː m a l iː j a
Sölvi	s œ l v ɪ
Sýrland	s i r l a n t
Tala	tʰ aː l a
Tara	tʰ aː r a
Taíland	tʰ a iː l a n t
Telma	tʰ ɛ l m a
Thorarensen	tʰ o uː r aː r ɛ n s ɛ nː
Thorlacius	tʰ ɔ r l a s iː j ʏ s
Thoroddsen	tʰ o uː r ɔ tː s ɛ nː
Tjalli	tʰ j a lː ɪ
Torfi	tʰ ɔ r v ɪ
Tristan	tʰ r ɪ s t a n
Tryggvi	tʰ r ɪ k v ɪ
Tryggvína	tʰ r ɪ k v iː n a
Tumi	tʰ ʏː m ɪ
Tyrkland	t ɪ r̥ k l a n t
Tékki	tʰ j ɛ h c ɪ
Tékkland	t j ɛ h k l a n t
Téténía	tʰ j ɛ tʰ j ɛː n iː j a
Túvalú	tʰ uː v a l uː
Ugla	ʏ k l a
Unnar	ʏ nː aː r
Unndís	ʏ nː t iː s
Unndór	ʏ n t o uː r
Unnur	ʏ nː ʏ r
Uppsalir	ʏ h p s aː l ɪ r
Valdimaría	v a l t ɪ m aː r iː j a
Valdína	v a l t iː n a
Valdís	v a l t iː s
Valhöll	v aː l h œ t l̥
Valtýr	v a l tʰ iː r
Venus	v ɛː n ʏ s
Vesturland	v ɛ s t ʏ r l a n t
Veturliði	v ɛː t ʏ r l ɪː ð ɪ
Vigdís	v ɪ ɣ t iː s
Vigfús	v ɪ x f uː s
Vigfúsína	v ɪ x f uː s iː n a
Vignir	v ɪ k n ɪ r
Vildís	v ɪ l t iː s
Vilhjálmur	v ɪ l ç a u l m ʏ r
Vilhjálmía	v ɪ l ç a u l m iː j a
Vilhjálmína	v ɪ l ç a u l m iː n a
Vilma	v ɪ l m a
Vilmundur	v ɪ l m ʏ n t ʏ r
Virginía	v ɪ r c ɪ n iː j a
Viðar	v ɪː ð aː r
Volga	v ɔ l k a
Vordís	v ɔ r t iː s
Vænir	v a iː n ɪ r
Védís	v j ɛː t iː s
Vídalín	v iː t a l iː n
Vík	v iː k
Vín	v iː n
Vínarborg	v iː n a r p ɔ r k
Víðir	v iː ð ɪ r
Vörður	v œ r ð ʏ r
Waage	v ɔː ɣ ɛː
