ಅ	ɐ
ಅಚ್ಚಿ	ɐ t͡ʃ t͡ʃ i
ಅಚ್ಚು	ɐ t͡ʃ t͡ʃ u
ಅಜ್ಜ	ɐ d͡ʒ d͡ʒ ɐ
ಅಜ್ಜಿ	ɐ d͡ʒ d͡ʒ i
ಅಟಕಾವು	ɐ ʈ ɐ k aː ʋ u
ಅಟ್ಟಂಗಡಿ	ɐ ʈ ʈ ɐ ŋ ɡ ɐ ɖ i
ಅಟ್ಟಣಿಗೆ	ɐ ʈ ʈ ɐ ɳ i ɡ e
ಅಟ್ಟಿಗ	ɐ ʈ ʈ i ɡ ɐ
ಅಡಕೆ	ɐ ɖ ɐ k e
ಅಡಗು	ɐ ɖ ɐ ɡ u
ಅಡವಿ	ɐ ɖ ɐ ʋ i
ಅಡಾವುಡಿ	ɐ ɖ aː ʋ u ɖ i
ಅಡಿ	ɐ ɖ i
ಅಡುಸು	ɐ ɖ u s u
ಅಡ್ಡ	ɐ ɖ ɖ ɐ
ಅಣಕ	ɐ ɳ ɐ k ɐ
ಅಣಬೆ	ɐ ɳ ɐ b e
ಅಣಿ	ɐ ɳ i
ಅತಿಥಿ	ɐ t̪ i t̪ʰ i
ಅತಿಶಯೊಕ್ತಿ	ɐ t̪ i ʃ ɐ j o k t̪ i
ಅತ್ತರು	ɐ t̪ t̪ ɐ ɾ u
ಅತ್ತೆ	ɐ t̪ t̪ e
ಅಥವಾ	ɐ t̪ʰ ɐ ʋ aː
ಅದು	ɐ d̪ u
ಅಧಿಕಾರ	ɐ d̪ʱ i k aː ɾ ɐ
ಅಧ್ಯಯನ	ɐ d̪ʱ j ɐ j ɐ n̪ ɐ
ಅಧ್ಯಾಪಕ	ɐ d̪ʱ j aː p ɐ k ɐ
ಅನಂತ	ɐ n̪ ɐ n̪ t̪ ɐ
ಅನಿಲ	ɐ n̪ i l ɐ
ಅನಿಸು	ɐ n̪ i s u
ಅನುಗ್ರಹ	ɐ n̪ u ɡ ɾ ɐ h ɐ
ಅನುಜ	ɐ n̪ u d͡ʒ ɐ
ಅನುಪ್ರಾಸ	ɐ n̪ u p ɾ aː s ɐ
ಅನುಭವ	ɐ n̪ u bʱ ɐ ʋ ɐ
ಅನುಭವಿಸು	ɐ n̪ u bʱ ɐ ʋ i s u
ಅನುಮತಿ	ɐ n̪ u m ɐ t̪ i
ಅನ್ನ	ɐ n̪ n̪ ɐ
ಅಪರಾಧ	ɐ p ɐ ɾ aː d̪ʱ ɐ
ಅಪರಾಧಿ	ɐ p ɐ ɾ aː d̪ʱ i
ಅಪರಾಧಿತ್ವ	ɐ p ɐ ɾ aː d̪ʱ i t̪ ʋ ɐ
ಅಪಹರಣ	ɐ p ɐ h ɐ ɾ ɐ ɳ ɐ
ಅಪ್ಪ	ɐ p p ɐ
ಅಪ್ಸರೆಯರು	ɐ p s ɐ ɾ e j ɐ ɾ u
ಅಭ್ಯಾಸ	ɐ bʱ j aː s ɐ
ಅಮ್ಮ	ɐ m m ɐ
ಅಯ್ಯೋ	ɐ j j oː
ಅರಣ​	ɐ ɾ ɐ ɳ ɐ
ಅರಮನೆ	ɐ ɾ ɐ m ɐ n̪ e
ಅರಳೆ	ɐ ɾ ɐ ɭ e
ಅರಸ	ɐ ɾ ɐ s ɐ
ಅರಸಿನ	ɐ ɾ ɐ s i n̪ ɐ
ಅರಸು	ɐ ɾ ɐ s u
ಅರಿಮೆ	ɐ ɾ i m e
ಅರಿಲು	ɐ ɾ i l u
ಅರಿಲ್	ɐ ɾ i l
ಅರಿಲ್ಸುತ್ತುಗ	ɐ ɾ i l s u t̪ t̪ u ɡ ɐ
ಅರಿವು	ɐ ɾ i ʋ u
ಅರ್ಥ	ɐ ɾ t̪ʰ ɐ
ಅರ್ಧ	ɑ ɾ d̪ʱ ɑ
ಅಲಾಸ್ಕ	ɐ l aː s k ɐ
ಅಲೆ	ɐ l e
ಅಲ್ಲ	ɐ l l ɐ
ಅಳಿಯ	ɐ ɭ i j ɐ
ಅಳು	ɐ ɭ u
ಅವಧಿ	ɐ ʋ ɐ d̪ʱ i
ಅವನು	ɐ ʋ ɐ n̪ u
ಅವರು	ɐ ʋ ɐ ɾ u
ಅವಲ್	ɐ ʋ ɐ l
ಅವಳು	ɐ ʋ ɐ ɭ u
ಅವಸರ	ɐ ʋ ɐ s ɐ ɾ ɐ
ಅವು	ɐ ʋ u
ಅವುಗಳು	ɐ ʋ u ɡ ɐ ɭ u
ಅಶಿರ	ɐ ʃ i ɾ ɐ
ಅಶ್ರು	ɐ ʃ ɾ u
ಅಶ್ವ	ɐ ʃ ʋ ɐ
ಅಸ	ɐ s ɐ
ಅಸಗ	ɐ s ɐ ɡ ɐ
ಅಸಡ	ɐ s ɐ ɖ ɐ
ಅಸಡಿ	ɐ s ɐ ɖ i
ಅಸಡು	ɐ s ɐ ɖ u
ಅಸಾಧ್ಯ	ɐ s aː d̪ʱ j ɐ
ಅಸಿ	ɐ s i
ಅಸಿಟೋನ್	ɐ s i ʈ oː n̪
ಅಸುರು	ɐ s u ɾ u
ಅಸ್ಥಿ	ɐ s t̪ʰ i
ಅಹಂಕಾರ	ɐ h ɐ ŋ k aː ɾ ɐ
ಆ	aː
ಆಂಗ್ಲ	aː ŋ ɡ l ɐ
ಆಂಜನೇಯ	aː ɲ d͡ʒ ɐ n̪ eː j ɐ
ಆಕಾಂಕ್ಷೆ	aː k aː ŋ k ʂ e
ಆಕಾಶ	aː k aː ʃ ɐ
ಆಕಾಶವಾಣಿ	aː k aː ʃ ɐ ʋ aː ɳ i
ಆಗಸ	aː ɡ ɐ s ɐ
ಆಗಸ್ಟ್	aː ɡ ɐ s ʈ
ಆಚರಿಸು	aː t͡ʃ ɐ ɾ i s u
ಆಟ	aː ʈ ɐ
ಆಟಗಾರ	aː ʈ ɐ ɡ aː ɾ ɐ
ಆಟಿಕೆ	aː ʈ i k e
ಆಡಂಗಿ	aː ɖ ɐ ŋ ɡ i
ಆಡು	aː ɖ u
ಆಡೇಲು	aː ɖ eː l u
ಆತಿಥ್ಯ	aː t̪ i t̪ʰ j ɐ
ಆತ್ಮಹತ್ಯೆ	aː t̪ m ɐ h ɐ t̪ j e
ಆದರೆ	aː d̪ ɐ ɾ e
ಆದಿ	aː d̪ i
ಆದಿತ್ಯ	aː d̪ i t̪ j ɐ
ಆನಂದ	aː n̪ ɐ n̪ d̪ ɐ
ಆನು	aː n̪ u
ಆನೆ	aː n̪ e
ಆಮೆ	aː m e
ಆಮೆನ್	aː m e n̪
ಆಮ್ಲಜನಕ	aː m l ɐ d͡ʒ ɐ n̪ ɐ k ɐ
ಆಯಿಸು	aː j i s u
ಆಯುಧ	aː j u d̪ʱ ɐ
ಆಯ್ಕೆ	aː j k e
ಆರಂಬಗಾರ	aː ɾ ɐ m b ɐ ɡ aː ɾ ɐ
ಆರಂಭ	aː ɾ ɐ m bʱ ɐ
ಆರು	aː ɾ u
ಆರೋಗಣೆ	aː ɾ oː ɡ ɐ ɳ e
ಆರೋಗ್ಯ	aː ɾ oː ɡ j ɐ
ಆರೋಗ್ಯದ	aː ɾ oː ɡ j ɐ d̪ ɐ
ಆರ್ಟಿಲಿ	aː ɾ ʈ i l i
ಆರ್ಯ	aː ɾ j ɐ
ಆಲೋಚನೆ	aː l oː t͡ʃ ɐ n̪ e
ಆಲೋಚಿಸು	aː l oː t͡ʃ i s u
ಆಳು	aː ɭ u
ಆಳ್ಜುನಿಡ್	aː ɭ d͡ʒ u n̪ i ɖ
ಆವರಿ	aː ʋ ɐ ɾ i
ಆವಶ್ಯಕ	aː ʋ ɐ ʃ j ɐ k ɐ
ಆವಶ್ಯಕ್ತೇ	aː ʋ ɐ ʃ j ɐ k t̪ eː
ಆವು	aː ʋ u
ಆಸಕ್ತಿ	aː s ɐ k t̪ i
ಆಸಕ್ತಿದಾಯಕ	aː s ɐ k t̪ i d̪ aː j ɐ k ɐ
ಆಸವ	aː s ɐ ʋ ɐ
ಆಸೆ	aː s e
ಆಸ್ಪತ್ರೆ	aː s p ɐ t̪ ɾ e
ಇಂಗುಶೇಟಿಯಾ	i ŋ ɡ u ʃ eː ʈ i j aː
ಇಂಗ್ಲಿಷ್	i ŋ ɡ l i ʂ
ಇಂದು	i n̪ d̪ u
ಇಂದ್ರಚಾಪ	i n̪ d̪ ɾ ɐ t͡ʃ aː p ɐ
ಇಂದ್ರಧನುಸ್ಸು	i n̪ d̪ ɾ ɐ d̪ʱ ɐ n̪ u s s u
ಇಂಧನ	i n̪ d̪ʱ ɐ n̪ ɐ
ಇಗ್ಗಾಲಿ	i ɡ ɡ aː l i
ಇಚ್ಛಿಸು	i t͡ʃ t͡ʃʰ i s u
ಇಚ್ಛೆ	i t͡ʃ t͡ʃʰ e
ಇಟ್ಟಿಗೆ	i ʈ ʈ i ɡ e
ಇಡ್ಡಲಿ	i ɖ ɖ ɐ l i
ಇಡ್ಲಿ	i ɖ l i
ಇತರ	i t̪ ɐ ɾ ɐ
ಇತಿಹಾಸ	i t̪ i h aː s ɐ
ಇತ್ತ್	i t̪ t̪
ಇತ್ಯಾದಿ	i t̪ j aː d̪ i
ಇದು	i d̪ u
ಇದೆ	i d̪ e
ಇದ್ದು	i d̪ d̪ u
ಇಪ್ಪತ್ತು	i p p ɐ t̪ t̪ u
ಇಪ್ಪುಕೆ	i p p u k e
ಇಪ್ಪುಲೆ	i p p u l e
ಇರಾದೆ	i ɾ aː d̪ e
ಇರಿ	i ɾ i
ಇರಿತ	i ɾ i t̪ ɐ
ಇರು	i ɾ u
ಇರುಳು	i ɾ u ɭ u
ಇರುಳುಗಣ್ಣು	i ɾ u ɭ u ɡ ɐ ɳ ɳ u
ಇಲಿ	i l i
ಇಲ್ಲವೆ	i l l ɐ ʋ e
ಇಲ್ಲಿ	i l l i
ಇಳಿ	i ɭ i
ಇವತ್ತು	i ʋ ɐ t̪ t̪ u
ಇವನು	i ʋ ɐ n̪ u
ಇವರು	i ʋ ɐ ɾ u
ಇವಳು	i ʋ ɐ ɭ u
ಇವು	i ʋ u
ಇವುಗಳು	i ʋ u ɡ ɐ ɭ u
ಇಶಾರೆ	i ʃ aː ɾ e
ಇಸಮು	i s ɐ m u
ಈ	iː
ಈಗ	iː ɡ ɐ
ಈಡಿ	iː ɖ i
ಈದ್	iː d̪
ಈರು	iː ɾ u
ಈರುಳ್ಳಿ	iː ɾ u ɭ ɭ i
ಈರ್ಷ್ಯೆ	iː ɾ ʂ j e
ಈಲಿ	iː l i
ಉ	u
ಉಂಗುರ	u ŋ ɡ u ɾ ɐ
ಉಂಟು	u ɳ ʈ u
ಉಂಡೆ	u ɳ ɖ e
ಉಗುರು	u ɡ u ɾ u
ಉಗ್ರ	u ɡ ɾ ɑ
ಉಚಿತ	u t͡ʃ i t̪ ɐ
ಉಚ್ಚಿ	u t͡ʃ t͡ʃ i
ಉಚ್ಚಿಕೆ	u t͡ʃ t͡ʃ i k e
ಉಚ್ಚೆ	u t͡ʃ t͡ʃ e
ಉಜ್ಜು	u d͡ʒ d͡ʒ u
ಉಡ	u ɖ ɐ
ಉಡುಪಿ	u ɖ u p i
ಉಡುಪು	u ɖ u p u
ಉಣ್ಣು	u ɳ ɳ u
ಉಣ್ಣೆ	u ɳ ɳ e
ಉತ್ತಮ	u t̪ t̪ ɐ m ɐ
ಉತ್ಸವ	u t̪ s ɐ ʋ ɐ
ಉದಕ	u d̪ ɐ k ɐ
ಉದರ	u d̪ ɐ ɾ ɐ
ಉದ್ದು	u d̪ d̪ u
ಉದ್ದೇಶ	u d̪ d̪ eː ʃ ɐ
ಉದ್ದೇಶಪೂರ್ವಕ	u d̪ d̪ eː ʃ ɐ p uː ɾ ʋ ɐ k ɐ
ಉದ್ಯೋಗ	u d̪ j oː ɡ ɐ
ಉಪಯೋಗ	u p ɐ j oː ɡ ɐ
ಉಪಯೋಗಿಸು	u p ɐ j oː ɡ i s u
ಉಪವಾಸ	u p ɐ ʋ aː s ɐ
ಉಪಸ್ಥಿತಿ	u p ɐ s t̪ʰ i t̪ i
ಉಮೇದು	u m eː d̪ u
ಉರಿಬೆಟ್ಟ	u ɾ i b e ʈ ʈ ɐ
ಉಸಿರಾಟ	u s i ɾ aː ʈ ɐ
ಉಸಿರಾಡು	u s i ɾ aː ɖ u
ಉಸಿರು	u s i ɾ u
ಉಸುಕು	u s u k u
ಊ	uː
ಊಟ	uː ʈ ɐ
ಊದು	uː d̪ u
ಊರು	uː ɾ u
ಋಣ	ɾ ŭ ɳ ɐ
ಋಷಿ	ɾ ŭ ʂ i
ಎಂಟು	e ɳ ʈ u
ಎಂದು	e n̪ d̪ u
ಎಚ್ಚರಿಸು	e t͡ʃ t͡ʃ ɐ ɾ i s u
ಎಡ	e ɖ ɐ
ಎಣಿಕೆ	e ɳ i k e
ಎಣಿಸು	e ɳ i s u
ಎಣ್ಣು	e ɳ ɳ u
ಎಣ್ಣೆ	e ɳ ɳ e
ಎತ್ತು	e t̪ t̪ u
ಎದುರಾಳಿ	e d̪ u ɾ aː ɭ i
ಎಬಡ	e b ɐ ɖ ɐ
ಎಮ್ಮೆ	e m m e
ಎರಚು	e ɾ ɐ t͡ʃ u
ಎರಡು	e ɾ ɐ ɖ u
ಎರವಲುಕೊಡು	e ɾ ɐ ʋ ɐ l u k o ɖ u
ಎರುಗು	e ɾ u ɡ u
ಎಲು	e l u
ಎಲೆ	e l e
ಎಲ್ಲ	e l l ɐ
ಎಲ್ಲಿ	e l l i
ಎಳ್ಳು	e ɭ ɭ u
ಎಷ್ಟು	e ʂ ʈ u
ಎಸು	e s u
ಎಸ್ಟೊನಿಯ	e s ʈ o n̪ i j ɐ
ಏ	eː
ಏಕೆ	eː k e
ಏಡು	eː ɖ u
ಏಣಿ	eː ɳ i
ಏನು	eː n̪ u
ಏಪ್ರಿಲ್	eː p ɾ i l
ಏರಿಕೆ	eː ɾ i k e
ಏರು	eː ɾ u
ಏರೋಪ್ಲೇನ್	eː ɾ oː p l eː n̪
ಏಳು	eː ɭ u
ಐ	ɐ i̯
ಐತಿ	ɐ i̯ t̪ i
ಐದು	ɐ i̯ d̪ u
ಒಂಟೆ	o ɳ ʈ e
ಒಂದು	o n̪ d̪ u
ಒಂಬತ್ತು	o m b ɐ t̪ t̪ u
ಒಕ್ಕಣಿಸು	o k k ɐ ɳ i s u
ಒಕ್ಕಣೆ	o k k ɐ ɳ e
ಒಕ್ಕರಿಸು	o k k ɐ ɾ i s u
ಒಕ್ಕಲಿಗ	o k k ɐ l i ɡ ɐ
ಒಕ್ಕೂಟ	o k k uː ʈ ɐ
ಒಗೆ	o ɡ e
ಒಟ್ಟು	o ʈ ʈ u
ಒಡಲು	o ɖ ɐ l u
ಒಡೆ	o ɖ e
ಒಣ	o ɳ ɐ
ಒದ್ದೆ	o d̪ d̪ e
ಒಪ್ಪಿಗೆ	o p p i ɡ e
ಒರಕು	o ɾ ɐ k u
ಒರಸು	o ɾ ɐ s u
ಒಲವು	o l ɐ ʋ u
ಒಲೆ	o l e
ಒಲೆ	w ɑ l e
ಒಳಗೆ	o ɭ ɐ ɡ e
ಒಳಗೊಳ್ಳು	o ɭ ɐ ɡ o ɭ ɭ u
ಒಳ್ಳೆ	o ɭ ɭ e
ಒಸಗೆ	o s ɐ ɡ e
ಓಂ	oː m
ಓಜೆ	oː d͡ʒ e
ಓಡ	oː ɖ ɐ
ಓಡಿಸು	oː ɖ i s u
ಓಡು	oː ɖ u
ಓತಿ	oː t̪ i
ಓದು	oː d̪ u
ಓದುಗೆ	oː d̪ u ɡ e
ಓಲಗಿಸು	oː l ɐ ɡ i s u
ಔ	ɐ u̯
ಔಷಧ	ɐ u̯ ʂ ɐ d̪ʱ ɐ
ಕಂಕ	k ɐ ŋ k ɐ
ಕಂಕುಳ	k ɐ ŋ k u ɭ ɐ
ಕಂಚುಳಿಕೆ	k ɐ ɲ t͡ʃ u ɭ i k e
ಕಂದಾಚಾರ	k ɐ n̪ d̪ aː t͡ʃ aː ɾ ɐ
ಕಂದೀಲು	k ɐ n̪ d̪ iː l u
ಕಂಬಳಿ	k ɐ m b ɐ ɭ i
ಕಕೂಟ	k ɐ k uː ʈ ɐ
ಕಕ್ಕು	k ɐ k k u
ಕಕ್ಕುಲತೆ	k ɐ k k u l ɐ t̪ e
ಕಕ್ಕೆ	k ɐ k k e
ಕಚ್ಚು	k ɐ t͡ʃ t͡ʃ u
ಕಟು	k ə ʈ u
ಕಟ್ಟ	k ɐ ʈ ʈ ɐ
ಕಟ್ಟರಸು	k ɐ ʈ ʈ ɐ ɾ ɐ s u
ಕಟ್ಟಳೆ	k ɐ ʈ ʈ ɐ ɭ e
ಕಟ್ಟು	k ɐ ʈ ʈ u
ಕಠಿಣ	k ɐ ʈʰ i ɳ ɐ
ಕಡಲಕಳೆ	k ɐ ɖ ɐ l ɐ k ɐ ɭ e
ಕಡಲಜೊಂಡು	k ɐ ɖ ɐ l ɐ d͡ʒ o ɳ ɖ u
ಕಡಲತೀರ	k ɐ ɖ ɐ l ɐ t̪ iː ɾ ɐ
ಕಡಲು	k ɐ ɖ ɐ l u
ಕಡಿ	k ɐ ɖ i
ಕಡಿಮೆ	k ɐ ɖ i m e
ಕಡೆ	k ɐ ɖ e
ಕಡೆಗೆ	k ɐ ɖ e ɡ e
ಕಡ್ಡಿ	k ɐ ɖ ɖ i
ಕಣ್ಗೆವೆ	k ɐ ɳ ɡ e ʋ e
ಕಣ್ಣೀರು	k ɐ ɳ ɳ iː ɾ u
ಕಣ್ಣು	k ɐ ɳ ɳ u
ಕತ್ತರಿಸು	k ɐ t̪ t̪ ɐ ɾ i s u
ಕತ್ತಲೆ	k ɐ t̪ t̪ ɐ l e
ಕತ್ತಿ	k ɐ t̪ t̪ i
ಕತ್ತು	k ɐ t̪ t̪ u
ಕತ್ತೆ	k ɐ t̪ t̪ e
ಕನಸು	k ɐ n̪ ɐ s u
ಕನ್ನಡ	k ɐ n̪ n̪ ɐ ɖ ɐ
ಕನ್ನಡಿಗ	k ɐ n̪ n̪ ɐ ɖ i ɡ ɐ
ಕನ್ನಡಿಗರು	k ɐ n̪ n̪ ɐ ɖ i ɡ ɐ ɾ u
ಕನ್ಯೆ	k ə n j e
ಕಪಿ	k ɐ p i
ಕಪ್ಪು	k ɐ p p u
ಕಫ	k a p h a
ಕಬ್ಬಿಣ	k ɐ b b i ɳ ɐ
ಕಬ್ಬು	k ɐ b b u
ಕರಗು	k ɐ ɾ ɐ ɡ u
ಕರಡಿ	k ɐ ɾ ɐ ɖ i
ಕರಿ	k ɐ ɾ i
ಕರಿಯ	k ɐ ɾ i j ɐ
ಕರು	k ɐ ɾ u
ಕರುಳು	k ɐ ɾ u ɭ u
ಕರೆ	k ɐ ɾ e
ಕರ್ನಾಟಕ	k ɐ ɾ n̪ aː ʈ ɐ k ɐ
ಕರ್ಪೂರ	k ɐ ɾ p uː ɾ ɐ
ಕರ್ಮ	k ɐ ɾ m ɐ
ಕಲಬುರಗಿ	k ɐ l ɐ b u ɾ ɐ ɡ i
ಕಲ್ಲಂಗಡಿ	k ɐ l l ɐ ŋ ɡ ɐ ɖ i
ಕಲ್ಲಿನ	k ɐ l l i n̪ ɐ
ಕಲ್ಲು	k ɐ l l u
ಕಳವು	k ɐ ɭ ɐ ʋ u
ಕಳಿಸಲು	k ɐ ɭ i s ɐ l u
ಕಳುಹಿಸು	k ɐ ɭ u h i s u
ಕಳ್ಳ	k ɐ ɭ ɭ ɐ
ಕಳ್ಳತನ	k ɐ ɭ ɭ ɐ t̪ ɐ n̪ ɐ
ಕಳ್ಳಿ	k ɐ ɭ ɭ i
ಕಳ್ಳು	k ɐ ɭ ɭ u
ಕವಚ	k ɐ ʋ ɐ t͡ʃ ɐ
ಕವಾಯತು	k ɐ ʋ aː j ɐ t̪ u
ಕಷ್ಟ	k ɐ ʂ ʈ ɐ
ಕಹಿ	k ɐ h i
ಕಾಗದ	k aː ɡ ɐ d̪ ɐ
ಕಾಗೆ	k aː ɡ e
ಕಾಡು	k aː ɖ u
ಕಾಣಿಸು	k aː ɳ i s u
ಕಾಣು	k aː ɳ u
ಕಾಪಾಡು	k aː p aː ɖ u
ಕಾಪು	k aː p u
ಕಾಮನಬಿಲ್ಲು	k aː m ɐ n̪ ɐ b i l l u
ಕಾಯಿ	k aː j i
