A	ʔ aː ˧˧
Bách Việt	ʔ ɓ a t̚ ˦˥ j i ə k̚ ˨˩˨
Bách Việt	ʔ ɓ a t̚ ˦˥ v i ə k̚ ˨˩˨
Bách gia tính	ʔ ɓ a t̚ ˦˥ j aː ˧˧ t ɨ n ˦˥
Bách niên quốc sỉ	ʔ ɓ a t̚ ˦˥ n i ə ŋ ˧˧ w ə k̚ ˦˥ s ɪ j ˨˩˦
Bách niên quốc sỉ	ʔ ɓ a t̚ ˦˥ n i ə ŋ ˧˧ w ə k̚ ˦˥ ʂ ɪ j ˨˩˦
Bách Độ	ʔ ɓ a t̚ ˦˥ ʔ ɗ o w ˨˩˨
Bát Tràng	ʔ ɓ aː k̚ ˦˥ ʈ aː ŋ ˨˩
Bát Xát	ʔ ɓ aː k̚ ˦˥ s aː k̚ ˦˥
Bão	ʔ ɓ aː w ˨˩˦
Bênađô	ʔ ɓ e j ˧˧ n aː ˧˧ ʔ ɗ o w ˧˧
Bênêđictô	ʔ ɓ e j ˧˧ n e j ˧˧ ʔ ɗ ɨ t̚ ˦˥ t o w ˧˧
Bình	ʔ ɓ ɨ n ˨˩
Bình Chánh	ʔ ɓ ɨ n ˨˩ c a n ˦˥
Bình Dương	ʔ ɓ ɨ n ˨˩ j ɨ ə ŋ ˧˧
Bình Nhưỡng	ʔ ɓ ɨ n ˨˩ ɲ ɨ ə ŋ ˨˩˦
Bình Phước	ʔ ɓ ɨ n ˨˩ f ɨ ə k̚ ˦˥
Bình Thuận	ʔ ɓ ɨ n ˨˩ tʰ ⁽ʷ ⁾ ə ŋ ˨˩˨
Bình Thành	ʔ ɓ ɨ n ˨˩ tʰ a n ˨˩
Bình Trị Thiên	ʔ ɓ ɨ n ˨˩ ʈ ɪ j ˨˩˨ tʰ i ə ŋ ˧˧
Bình Đông	ʔ ɓ ɨ n ˨˩ ʔ ɗ ə w ŋ͡m ˧˧
Bình Định	ʔ ɓ ɨ n ˨˩ ʔ ɗ ɨ n ˨˩˨
Bích	ʔ ɓ ɨ t̚ ˦˥
Bính	ʔ ɓ ɨ n ˦˥
Bò sát	ʔ ɓ ɔ ˨˩ s aː k̚ ˦˥
Bò sát	ʔ ɓ ɔ ˨˩ ʂ aː k̚ ˦˥
Bôn	ʔ ɓ o ŋ ˧˧
Bônifaciô	ʔ ɓ o ŋ ˧˧ n ɪ j ˧˧ f aː ˧˧ s ɪ j ˧˧ ʔ o w ˧˧
Bùi	ʔ ɓ u j ˨˩
Băng Cốc	ʔ ɓ a ŋ ˧˧ k ə w k͡p̚ ˦˥
Băng Đảo	ʔ ɓ a ŋ ˧˧ ʔ ɗ aː w ˨˩˦
Bưởi	ʔ ɓ ɨ j ˨˩˦
Bạc Liêu	ʔ ɓ aː k̚ ˨˩˨ l i w ˧˧
Bạch	ʔ ɓ a t̚ ˨˩˨
Bạch Cung	ʔ ɓ a t̚ ˨˩˨ k ʊ w ŋ͡m ˧˧
Bạch Dương	ʔ ɓ a t̚ ˨˩˨ j ɨ ə ŋ ˧˧
Bạch Hổ	ʔ ɓ a t̚ ˨˩˨ h o w ˨˩˦
Bạch Liên giáo	ʔ ɓ a t̚ ˨˩˨ l i ə ŋ ˧˧ j aː w ˦˥
Bạch Long Vĩ	ʔ ɓ a t̚ ˨˩˨ l a w ŋ͡m ˧˧ j ɪ j ˨˩˦
Bạch Long Vĩ	ʔ ɓ a t̚ ˨˩˨ l a w ŋ͡m ˧˧ v ɪ j ˨˩˦
Bạch Mã	ʔ ɓ a t̚ ˨˩˨ m aː ˨˩˦
Bạch Mã Hoàng Tử	ʔ ɓ a t̚ ˨˩˨ m aː ˨˩˦ w aː ŋ ˨˩ t ɨ ˨˩˦
Bạch Nga	ʔ ɓ a t̚ ˨˩˨ ŋ aː ˧˧
Bạch Tuyết	ʔ ɓ a t̚ ˨˩˨ t ⁽ʷ ⁾ i ə k̚ ˦˥
Bạch Đằng	ʔ ɓ a t̚ ˨˩˨ ʔ ɗ a ŋ ˨˩
Bản	ʔ ɓ aː ŋ ˨˩˦
Bảo	ʔ ɓ aː w ˨˩˦
Bảo An	ʔ ɓ aː w ˨˩˦ ʔ aː ŋ ˧˧
Bảo Bình	ʔ ɓ aː w ˨˩˦ ʔ ɓ ɨ n ˨˩
Bảo Gia Lợi	ʔ ɓ aː w ˨˩˦ j aː ˧˧ l əː j ˨˩˨
Bảo Lộc	ʔ ɓ aː w ˨˩˦ l ə w k͡p̚ ˨˩˨
Bảy Núi	ʔ ɓ a j ˨˩˦ n u j ˦˥
Bảy Núi	ʔ ɓ aː j ˨˩˦ n u j ˦˥
Bắc	ʔ ɓ a k̚ ˦˥
Bắc Băng Dương	ʔ ɓ a k̚ ˦˥ ʔ ɓ a ŋ ˧˧ j ɨ ə ŋ ˧˧
Bắc Bộ	ʔ ɓ a k̚ ˦˥ ʔ ɓ o w ˨˩˨
Bắc Carolina	ʔ ɓ a k̚ ˦˥ k aː ˧˧ ɹ ɔ ˧˧ l ɪ j ˧˧ n aː ˧˧
Bắc Chu	ʔ ɓ a k̚ ˦˥ c ʊ w ˧˧
Bắc Giang	ʔ ɓ a k̚ ˦˥ j aː ŋ ˧˧
Bắc Giải	ʔ ɓ a k̚ ˦˥ j aː j ˨˩˦
Bắc Hà	ʔ ɓ a k̚ ˦˥ h aː ˨˩
Bắc Hà Lan	ʔ ɓ a k̚ ˦˥ h aː ˨˩ l aː ŋ ˧˧
Bắc Hàn	ʔ ɓ a k̚ ˦˥ h aː ŋ ˨˩
Bắc Kinh	ʔ ɓ a k̚ ˦˥ k ɨ n ˧˧
Bắc Kì	ʔ ɓ a k̚ ˦˥ k ɪ j ˨˩
Bắc Kạn	ʔ ɓ a k̚ ˦˥ k aː ŋ ˨˩˨
Bắc Mĩ	ʔ ɓ a k̚ ˦˥ m ɪ j ˨˩˦
Bắc Nguỵ	ʔ ɓ a k̚ ˦˥ ŋ w ɪ j ˨˩˨
Bắc Ninh	ʔ ɓ a k̚ ˦˥ n ɨ n ˧˧
Bắc Phần	ʔ ɓ a k̚ ˦˥ f ə ŋ ˨˩
Bắc Síp	ʔ ɓ a k̚ ˦˥ s i p̚ ˦˥
Bắc Síp	ʔ ɓ a k̚ ˦˥ ʂ i p̚ ˦˥
Bắc Triều Tiên	ʔ ɓ a k̚ ˦˥ ʈ i w ˨˩ t i ə ŋ ˧˧
Bắc Trung Bộ	ʔ ɓ a k̚ ˦˥ ʈ ʊ w ŋ͡m ˧˧ ʔ ɓ o w ˨˩˨
Bắc Tề	ʔ ɓ a k̚ ˦˥ t e j ˨˩
Bắc Tống	ʔ ɓ a k̚ ˦˥ t ə w ŋ͡m ˦˥
Bắc Việt	ʔ ɓ a k̚ ˦˥ j i ə k̚ ˨˩˨
Bắc Việt	ʔ ɓ a k̚ ˦˥ v i ə k̚ ˨˩˨
Bắc cực	ʔ ɓ a k̚ ˦˥ k ɨ k̚ ˨˩˨
Bắc thuộc	ʔ ɓ a k̚ ˦˥ tʰ u ə k̚ ˨˩˨
Bắc triều	ʔ ɓ a k̚ ˦˥ ʈ i w ˨˩
Bắc Ái Nhĩ Lan	ʔ ɓ a k̚ ˦˥ ʔ aː j ˦˥ ɲ ɪ j ˨˩˦ l aː ŋ ˧˧
Bắc Âu	ʔ ɓ a k̚ ˦˥ ʔ ə w ˧˧
Bắc Úc	ʔ ɓ a k̚ ˦˥ ʔ ʊ w k͡p̚ ˦˥
Bắc Đại Dương	ʔ ɓ a k̚ ˦˥ ʔ ɗ aː j ˨˩˨ j ɨ ə ŋ ˧˧
Bắc Đẩu	ʔ ɓ a k̚ ˦˥ ʔ ɗ ə w ˨˩˦
Bắc Đẩu Bội tinh	ʔ ɓ a k̚ ˦˥ ʔ ɗ ə w ˨˩˦ ʔ ɓ o j ˨˩˨ t ɨ n ˧˧
Bắc Đẩu thất tinh	ʔ ɓ a k̚ ˦˥ ʔ ɗ ə w ˨˩˦ tʰ ə k̚ ˦˥ t ɨ n ˧˧
Bằng Hữu	ʔ ɓ a ŋ ˨˩ h ɨ w ˨˩˦
Bến Cát	ʔ ɓ əː n ˦˥ k aː k̚ ˦˥
Bến Nghé	ʔ ɓ əː n ˦˥ ŋ ɛ ˦˥
Bến Thành	ʔ ɓ əː n ˦˥ tʰ a n ˨˩
Bến Tre	ʔ ɓ əː n ˦˥ ʈ ɛ ˧˧
Bỉ	ʔ ɓ ɪ j ˨˩˦
Bỉ Lợi Thì	ʔ ɓ ɪ j ˨˩˦ l əː j ˨˩˨ tʰ ɪ j ˨˩
Bỉ Quốc	ʔ ɓ ɪ j ˨˩˦ w ə k̚ ˦˥
Bỉm Sơn	ʔ ɓ i m ˨˩˦ s əː ŋ ˧˧
Bỉm Sơn	ʔ ɓ i m ˨˩˦ ʂ əː ŋ ˧˧
Bọ Cạp	ʔ ɓ ɔ ˨˩˨ k aː p̚ ˨˩˨
Bố Y	ʔ ɓ o w ˦˥ ʔ ɪ j ˧˧
Bố Đại	ʔ ɓ o w ˦˥ ʔ ɗ aː j ˨˩˨
Bồ	ʔ ɓ o w ˨˩
Bồ Tát	ʔ ɓ o w ˨˩ t aː k̚ ˦˥
Bồ Tát Quan Thế Âm	ʔ ɓ o w ˨˩ t aː k̚ ˦˥ w aː ŋ ˧˧ tʰ e j ˦˥ ʔ ə m ˧˧
Bồ Đào Nha	ʔ ɓ o w ˨˩ ʔ ɗ aː w ˨˩ ɲ aː ˧˧
Bồn Man	ʔ ɓ o ŋ ˨˩ m aː ŋ ˧˧
Bồng Miêu	ʔ ɓ ə w ŋ͡m ˨˩ m i w ˧˧
Bờ Biển Ngà	ʔ ɓ əː ˨˩ ʔ ɓ i ə ŋ ˨˩˦ ŋ aː ˨˩
Bờ Tây	ʔ ɓ əː ˨˩ t ə j ˧˧
Bụt	ʔ ɓ ʊ k͡p̚ ˨˩˨
Bụt nhà không thiêng	ʔ ɓ ʊ k͡p̚ ˨˩˨ ɲ aː ˨˩ kʰ ə w ŋ͡m ˧˧ tʰ i ə ŋ ˧˧
Bửu	ʔ ɓ ɨ w ˨˩˦
C	k əː ˨˩
C	s e j ˧˧
CCHN	c ɨ ŋ ˦˥ c ɪ j ˨˩˦ h a n ˨˩ ŋ e j ˨˩
CH	c əː ˨˩
CH	c əː ˨˩ ɲ ɛ ˨˩˨
CH	s e j ˧˧ h aː k̚ ˦˥
CHXHCN Việt Nam	k ə w ŋ͡m ˨˩˨ w aː ˨˩ s aː ˨˩˦ h o j ˨˩˨ c ʊ w ˨˩˦ ŋ i ə ˨˩˦ j i ə k̚ ˨˩˨ n aː m ˧˧
CHXHCN Việt Nam	k ə w ŋ͡m ˨˩˨ w aː ˨˩ s aː ˨˩˦ h o j ˨˩˨ c ʊ w ˨˩˦ ŋ i ə ˨˩˦ v i ə k̚ ˨˩˨ n aː m ˧˧
CHXHCNVN	k ə w ŋ͡m ˨˩˨ w aː ˨˩ s aː ˨˩˦ h o j ˨˩˨ c ʊ w ˨˩˦ ŋ i ə ˨˩˦ j i ə k̚ ˨˩˨ n aː m ˧˧
CHXHCNVN	k ə w ŋ͡m ˨˩˨ w aː ˨˩ s aː ˨˩˦ h o j ˨˩˨ c ʊ w ˨˩˦ ŋ i ə ˨˩˦ v i ə k̚ ˨˩˨ n aː m ˧˧
CLB	k ə w ˧˧ l aː k̚ ˨˩˨ ʔ ɓ o w ˨˩˨
COCC	k ɔ ŋ ˧˧ ʔ ə w ŋ͡m ˧˧ c a w ˦˥ c aː ˧˧
COCC	k ɔ ŋ ˧˧ ʔ ə w ŋ͡m ˧˧ c aː w ˦˥ c aː ˧˧
CPCMLTCHMNVN	c ɨ n ˦˥ f ʊ w ˨˩˦ k a t̚ ˦˥ m aː ŋ ˨˩˨ l ə m ˧˧ tʰ əː j ˨˩ k ə w ŋ͡m ˨˩˨ w aː ˨˩ m i ə ŋ ˨˩ n aː m ˧˧ j i ə k̚ ˨˩˨ n aː m ˧˧
CPCMLTCHMNVN	c ɨ n ˦˥ f ʊ w ˨˩˦ k a t̚ ˦˥ m aː ŋ ˨˩˨ l ə m ˧˧ tʰ əː j ˨˩ k ə w ŋ͡m ˨˩˨ w aː ˨˩ m i ə ŋ ˨˩ n aː m ˧˧ v i ə k̚ ˨˩˨ n aː m ˧˧
CPU	s e j ˧˧ p e j ˧˧ ʔ ʊ w ˧˧
CSDL	k əː ˧˧ s əː ˨˩˦ j ɨ ˨˩˦ l i w ˨˩˨
CSDL	k əː ˧˧ ʂ əː ˨˩˦ j ɨ ˨˩˦ l i w ˨˩˨
CTTĐVN	k aː k̚ ˦˥ tʰ a n ˦˥ t ɨ ˨˩˦ ʔ ɗ aː w ˨˩˨ j i ə k̚ ˨˩˨ n aː m ˧˧
CTTĐVN	k aː k̚ ˦˥ tʰ a n ˦˥ t ɨ ˨˩˦ ʔ ɗ aː w ˨˩˨ v i ə k̚ ˨˩˨ n aː m ˧˧
Ca	k aː ˧˧
Ca Li	k aː ˧˧ l ɪ j ˧˧
Cam Bốt	k aː m ˧˧ ʔ ɓ o k̚ ˦˥
Cam Túc	k aː m ˧˧ t ʊ w k͡p̚ ˦˥
Can Chi	k aː ŋ ˧˧ c ɪ j ˧˧
Can Lộc	k aː ŋ ˧˧ l ə w k͡p̚ ˨˩˨
Cang	k aː ŋ ˧˧
Canh	k a n ˧˧
Canh Tuất	k a n ˧˧ t ⁽ʷ ⁾ ə k̚ ˦˥
Cao	k aː w ˧˧
Cao Bằng	k aː w ˧˧ ʔ ɓ a ŋ ˨˩
Cao Câu Li	k aː w ˧˧ k ə w ˧˧ l ɪ j ˧˧
Cao Hùng	k aː w ˧˧ h ʊ w ŋ͡m ˨˩
Cao Li	k aː w ˧˧ l ɪ j ˧˧
Cao Lệ	k aː w ˧˧ l e j ˨˩˨
Cao Man	k aː w ˧˧ m aː ŋ ˧˧
Cao Miên	k aː w ˧˧ m i ə ŋ ˧˧
Cao nguyên Trung Bộ	k aː w ˧˧ ŋ w i ə ŋ ˧˧ ʈ ʊ w ŋ͡m ˧˧ ʔ ɓ o w ˨˩˨
Cao nguyên Trung Phần	k aː w ˧˧ ŋ w i ə ŋ ˧˧ ʈ ʊ w ŋ͡m ˧˧ f ə ŋ ˨˩
Cao Đài	k aː w ˧˧ ʔ ɗ aː j ˨˩
Cao Đài Tiên Ông Đại Bồ Tát Ma Ha Tát	k aː w ˧˧ ʔ ɗ aː j ˨˩ t i ə ŋ ˧˧ ʔ ə w ŋ͡m ˧˧ ʔ ɗ aː j ˨˩˨ ʔ ɓ o w ˨˩ t aː k̚ ˦˥ m aː ˧˧ h aː ˧˧ t aː k̚ ˦˥
Catarina	k aː ˧˧ t aː ˧˧ ɹ ɨ n ˧˧ n aː ˧˧
Cebu	s ɛ ˧˧ ʔ ɓ ʊ w ˨˩
Ch	c əː ˨˩
Ch	c əː ˨˩ ɲ ɛ ˨˩˨
Ch	s e j ˧˧ h aː k̚ ˦˥
Chi	c ɪ j ˧˧
Chi Na	c ɪ j ˧˧ n aː ˧˧
Chim	c i m ˧˧
Chinh	c ɨ n ˧˧
Chiêm	c i m ˧˧
Chiêm Thành	c i m ˧˧ tʰ a n ˨˩
Chiêu Hoà	c i w ˧˧ w aː ˨˩
Chiến	c i ə ŋ ˦˥
Chiến Quốc	c i ə ŋ ˦˥ w ə k̚ ˦˥
Chiến tranh Cách mạng Mĩ	c i ə ŋ ˦˥ ʈ a n ˧˧ k a t̚ ˦˥ m aː ŋ ˨˩˨ m ɪ j ˨˩˦
Chiến tranh Lạnh	c i ə ŋ ˦˥ ʈ a n ˧˧ l a n ˨˩˨
Chiến tranh Lạnh thứ hai	c i ə ŋ ˦˥ ʈ a n ˧˧ l a n ˨˩˨ tʰ ɨ ˦˥ h aː j ˧˧
Chiến tranh Nha phiến	c i ə ŋ ˦˥ ʈ a n ˧˧ ɲ aː ˧˧ f i ə ŋ ˦˥
Chiến tranh lạnh	c i ə ŋ ˦˥ ʈ a n ˧˧ l a n ˨˩˨
Chiến tranh thế giới thứ hai	c i ə ŋ ˦˥ ʈ a n ˧˧ tʰ e j ˦˥ j əː j ˦˥ tʰ ɨ ˦˥ h aː j ˧˧
Chiến tranh thế giới thứ nhất	c i ə ŋ ˦˥ ʈ a n ˧˧ tʰ e j ˦˥ j əː j ˦˥ tʰ ɨ ˦˥ ɲ ə k̚ ˦˥
Chiết Giang	c i ə k̚ ˦˥ j aː ŋ ˧˧
Choang	c ⁽ʷ ⁾ aː ŋ ˧˧
Chu	c ʊ w ˧˧
Chu Ru	c ʊ w ˧˧ ɹ ʊ w ˧˧
Chu Tước	c ʊ w ˧˧ t ɨ ə k̚ ˦˥
Chung	c ʊ w ŋ͡m ˧˧
Chà Và	c aː ˨˩ j aː ˨˩
Chà Và	c aː ˨˩ v aː ˨˩
Châm Ngôn	c ə m ˧˧ ŋ o ŋ ˧˧
Chân Lạp	c ə ŋ ˧˧ l aː p̚ ˨˩˨
Chân khớp	c ə ŋ ˧˧ kʰ əː p̚ ˦˥
Châu	c ə w ˧˧
Châu Hải	c ə w ˧˧ h aː j ˨˩˦
Châu Úc	c ə w ˧˧ ʔ ʊ w k͡p̚ ˦˥
Châu Đại Dương	c ə w ˧˧ ʔ ɗ aː j ˨˩˨ j ɨ ə ŋ ˧˧
Chí Lợi	c ɪ j ˦˥ l əː j ˨˩˨
Chí Phèo	c ɪ j ˦˥ f ɛ w ˨˩
Chính thống giáo	c ɨ n ˦˥ tʰ ə w ŋ͡m ˦˥ j aː w ˦˥
Chó	c ɔ ˦˥
Chúa	c u ə ˦˥
Chúa Ba Ngôi	c u ə ˦˥ ʔ ɓ aː ˧˧ ŋ o j ˧˧
Chúa Dêu	c u ə ˦˥ j e w ˧˧
Chúa Trời	c u ə ˦˥ ʈ əː j ˨˩
