A	aː
Leine	l a ɪ̯ n ə
Leis	l a ɪ̯ s
Leist	l a ɪ̯ ʃ t
Leiste	l a ɪ̯ ʃ t ə
Leit	l a ɪ̯ t
Leng	l ɛ ŋ
Lenge	l ɛ ŋ ə
Lenner	l e n ɐ
Lese	l eː s ə
Leser	l eː s ɐ
Letter	l e t ɐ
Leve	l eː v ə
Lewer	l e v ɐ
Licht	l i ç t
Lichter	l i ç t ɐ
Lieb	l iː b
Lied	l iː d
Lieh	l iː
Liehe	l iː ə
Lieve	l iː v ə
Lift	l i f t
Lilje	l i l j ə
Linje	l i n j ə
Lins	l i n s
Linse	l i n s ə
Lipp	l i p
Lippe	l i p ə
List	l i ʃ t
Liste	l i ʃ t ə
Litter	l i t ɐ
Loch	l o x
Lohn	l oː n
Loja	l oː ʃ a
Lojas	l oː ʃ a s
Lotterie	l o t e r iː
Luchs	l u k s
Luft	l u f t
Luftschiff	l u f t ʃ i f
Lumpe	l u m p ə
Lung	l u ŋ
Lunge	l u ŋ ə
Lupp	l u p
Lust	l u ʃ t
Lutscher	l u t͡ʃ ɐ
Luxemborrich	l u k s m̩ p ɔ r i ç
Lämmer	l ɛ m ɐ
Maai	m ɔː i
Macher	m a x ɐ
Malaria	m a l aː r i a
Malve	m a l v ə
Mamma	m a m a
Manga	m a ŋ k a
Maniok	m a n i oː k
Mann	m a n
Mantel	m a n t l̩
Margarin	m a r k a r iː n
Masch	m a ʃ
Maschin	m a ʃ iː n
Maschine	m a ʃ iː n ə
Mask	m a ʃ k
Maske	m a ʃ k ə
Mass	m a s
Masse	m a s ə
Matematik	m a t e m a t iː k
Material	m a t e r i aː l
Materiale	m a t e r i aː l ə
Matratze	m a t r a t͡s ə
Matriculas	m a t r i k u l a s
Matsch	m a t͡ʃ
Matt	m a t
Matte	m a t ə
Mauer	m a ʊ̯ ɐ
Maul	m a ʊ̯ l
Maurer	m a ʊ̯ r ɐ
Maus	m a ʊ̯ s
Med	m eː t
Mede	m eː r ə
Medizin	m e t i t͡s iː n
Meel	m eː l
Meen	m eː n
Meer	m eː ɐ
Meergrien	m eː ɐ k r iː n
Meiler	m a ɪ̯ l ɐ
Meis	m a ɪ̯ s
Meister	m a ɪ̯ ʃ t ɐ
Menner	m ɛ n ɐ
Mensch	m ɛ n ʃ
Mentel	m e n t l̩
Menz	m ɛ n s
Menz	m ɛ n t͡s
Merz	m ɛ t͡s
Messdiener	m e s t iː n a
Messe	m e s ə
Messer	m e s ɐ
Meter	m eː t ɐ
Meu	m ɔ ɪ̯
Mick	m i k
Micke	m i k ə
Miete	m iː t ə
Mih	m iː
Mihe	m iː ə
Mihl	m iː l
Mikrofon	m i k r o f oː n
Milje	m i l j ə
Miller	m i l ɐ
Millich	m i l i ç
Millichflasch	m i l i ç f l a ʃ
Millimeter	m i l i m eː t ɐ
Million	m i l i̯ oː n
Millione	m i l i̯ oː n ə
Mils	m i l s
Milse	m i l s ə
Mineral	m i n ə r aː l
Mineralwasser	m i n ə r aː l v a s ɐ
Minister	m i n i ʃ t ɐ
Minutt	m i n u t
Mission	m i s i̯ oː n
Missione	m i s i̯ oː n ə
Mist	m i ʃ t
Mitglied	m i t k l iː t
Mittach	m i t a x
Mitte	m i t ə
Mittelfinger	m i t l̩ f i ŋ ɐ
Mitter	m i t ɐ
Mittwoch	m i t v o x
Mitz	m i t͡s
Mol	m oː
Mol	m oː l
Momente	m o m ɛ n t ə
Monarkie	m o n a r k iː
Monat	m oː n a t
Monate	m oː n a t ə
Mond	m oː n t
Monde	m oː n t ə
Mone	m oː n ə
Montach	m oː n t a x
Moos	m oː s
Mos	m oː s
Mote	m oː t ə
Moviment	m o v i m ɛ n t
Mule	m uː l
Mund	m u n t
Munde	m u n t ə
Munizipp	m u n i t͡s i p
Muschel	m u ʃ l̩
Muskel	m u ʃ k l̩
Muskitt	m u ʃ k i t
Muster	m u ʃ t ɐ
Mut	m uː t
Mutter	m u t ɐ
Mëtall	m e t a l
Naaghel	n ɔː x l̩
Naame	n ɔː m e
Naas	n ɔː s
Naast	n ɔː ʃ t
Nacht	n a x t
Natuer	n a tʰ uː ɐ
Nawel	n a ʊ̯ l̩
Nazi	n aː t͡s i
Nazion	n a t͡s i̯ oː n
Nazione	n a t͡s i̯ oː n ə
Nazismus	n a t͡s i s m u s
Necht	n e ç t
Ned	n eː t
Neh	n eː
Nehe	n eː ə
Neher	n eː ɐ
Neid	n a ɪ̯ t
Neongrien	n eː ɔ n k r iː n
Nest	n e ʃ t
Netz	n e t͡s
Newel	n e v l̩
Nickel	n i k l̩
Nier	n iː ɐ
Niere	n iː r ə
Niese	n iː s ə
Niss	n i s
Nist	n i ʃ t
Nister	n i ʃ t ɐ
Nitterlande	n i t ɐ l a n t ə
Nochber	n o x p a
Nod	n oː t
Norde	n ɔ t ə
Not	n oː t
Note	n oː t ə
Notel	n oː t l̩
November	n oː v ɛ m p ɐ
Nummer	n u m ɐ
Nuss	n u s
Nutel	n uː t l̩
Nutze	n u t͡s ə
Ochs	o k s
Ochse	o k s ə
Oder	oː r ɐ
Ohre	oː r ə
Oktover	o k t oː v ɐ
Omelett	o m e l e t
Onkel	ɔ ŋ k l̩
Onnibus	ɔ n i p u s
Ool	oː l
Oostre	oː ʃ t r ə
Ooze	oː t͡s ə
Opfer	o p f ɐ
Orde	ɔ t ə
Ordnung	ɔ t n u ŋ
Oste	o ʃ t ə
Ove	oː v ə
Ovend	oː m t
Ovend	oː v n̩ t
Paar	pʰ ɔː
Paliasse	pʰ a l i̯ a s ə
Palme	pʰ a l m ə
Pann	pʰ a n
Panne	pʰ a n ə
Panz	pʰ a n s
Panz	pʰ a n t͡s
Papier	pʰ a p iː ɐ
Papiere	pʰ a p iː r ə
Parent	pʰ a r ɛ n t
Parente	pʰ a r ɛ n t ə
Patent	pʰ a t ɛ n t
Patente	pʰ a t ɛ n t ə
Patt	pʰ a t
Pausa	pʰ a ʊ̯ s a
Pause	pʰ a ʊ̯ s ə
Peck	pʰ e k
Peepst	pʰ eː p ʃ t
Peffer	pʰ e f ɐ
Peffermenz	pʰ e f ɐ m ɛ n s
Peffermenz	pʰ e f ɐ m ɛ n t͡s
Peif	pʰ a ɪ̯ f
Peil	pʰ a ɪ̯ l
Peiler	pʰ a ɪ̯ l ɐ
Pein	pʰ a ɪ̯ n
Peine	pʰ a ɪ̯ n ə
Perl	pʰ ɛ l
Perle	pʰ ɛ l ə
Persche	pʰ ɛ ʃ ə
Person	pʰ ɛ s oː n
Persone	pʰ ɛ s oː n ə
Pest	pʰ e ʃ t
Piano	pʰ i aː n o
Pianos	pʰ i aː n o s
Piff	pʰ i f
Pihl	pʰ iː l
Pill	pʰ i l
Pille	pʰ i l ə
Pisin	pʰ i s iː n
Piss	pʰ i s
Pitsch	pʰ i t͡ʃ
Pizza	p i t͡s a
Pizzas	p i t͡s a s
Planet	p l a n eː t
Planete	p l a n eː t ə
Planz	p l a n s
Planz	p l a n t͡s
Platte	p l a t ə
Platz	p l a t͡s
Pnëu	p n e ʊ̯
Polack	pʰ o l a k
Polacke	pʰ o l a k ə
Pole	pʰ oː l ə
Polente	pʰ o l ɛ n t ə
Politik	pʰ o l i t iː k
Politiker	pʰ o l iː t i k ɐ
Pomata	pʰ o m aː t a
Portugal	pʰ o r t u k aː l
Poste	pʰ o ʃ t ə
Praia	p r a ɪ̯ a
Praias	p r a ɪ̯ a s
Preis	p r a ɪ̯ s
Preso	p r eː s o
Priester	p r iː ʃ t ɐ
Prim	p r iː m
Prime	p r iː m ə
Prinz	p r i n s
Prinz	p r i n t͡s
Prinzessin	p r i n t͡s e s i n
Prisong	p r i s ɔ ŋ
Problem	p r o p l eː m
Profeet	p r o f eː t
Pronome	p r o n oː m ə
Prozent	p r o t͡s ɛ n t
Prozess	p r o t͡s e s
Puffe	pʰ u f ə
Puhl	pʰ uː l
Pulisse	p u l i s ə
Pulver	pʰ u l v ɐ
Pumpe	pʰ u m p e
Punkt	pʰ u ŋ k t
Putsch	pʰ u t͡ʃ
Putting	pʰ u t i ŋ
Quarz	k w a t͡s
Quelle	k w e l ə
Radio	r aː t i̯ o
Radios	r aː t i̯ o s
Rand	r a n t
Rang	r a ŋ
Range	r a ŋ ə
Rangel	r a ŋ ə l
Ransch	r a n ʃ
Ranschegelleb	r a n ʃ ə k e l ə p
Rass	r a s
Rasse	r a s ə
Ratt	r a t
Ratte	r a t ə
Raub	r a ʊ̯ p
Raucher	r a ʊ̯ x ɐ
Raum	r a ʊ̯ m
Raume	r a ʊ̯ m ə
Rechnung	r e ç n u ŋ
Recht	r e ç t
Reck	r e k
Rees	r eː s
Reese	r eː s ə
Reh	r eː
Rehn	r eː n
Rei	r a ɪ̯
Reif	r a ɪ̯ f
Reim	r a ɪ̯ m
Reis	r a ɪ̯ s
Renner	r e n ɐ
Rest	r e ʃ t
Rester	r e ʃ t ɐ
Retter	r e t ɐ
Rettung	r e t u ŋ
Richter	r i ç t ɐ
Richtung	r i ç t u ŋ
Ricke	r i k ə
Rind	r i n t
Rindfleisch	r i n t f l a ɪ̯ ʃ
Ring	r i ŋ
Ringfinger	r i ŋ f i ŋ ɐ
Rinner	r i n ɐ
Rio	r iː o
Rios	r iː o s
Ripp	r i p
Rippe	r i p ə
Riss	r i s
Ritz	r i t͡s
Ritze	r i t͡s ə
Rock	r o k
Rod	r oː t
Roll	r o l
Rolle	r o l ə
Ros	r oː s
Rosch	r o ʃ
Rose	r oː s ə
Rosell	r o s e l
Roserod	r oː z ə r oː t
Ross	r o s
Rosse	r o s ə
Rost	r o ʃ t
Rotz	r o t͡s
Ruf	r uː f
Ruh	r uː
Russ	r u s
Russe	r u s ə
Russland	r u s l a n t
Rut	r uː t
Rute	r uː t ə
Rëghierung	r e ç iː r u ŋ
Rëghion	r e ç i oː n
Rëlighion	r e l i ç i̯ o n
Rëmorss	r e m ɔ s
Sach	s a x
Sache	s a x ə
Sack	s a k
Sacolas	s a k o l a s
Safran	s a f r a n
Sakrament	s a k r a m ɛ n t
Sals	s a l s
Salse	s a l s e
Sammlung	s a m l u ŋ
Sand	s a n t
Sandfloh	s a n t f l oː
Sardin	s a t iː n
Sardine	s a t iː n ə
Satellit	s a t ə l iː t
Satellite	s a t ə l iː t ə
Sattel	s a t l̩
Satz	s a t͡s
Sau	s a ʊ̯
Sauer	s a ʊ̯ ɐ
Saure	s a ʊ̯ r ə
Scha	ʃ aː
Schaal	ʃ ɔː l
Schaam	ʃ ɔː m
Schach	ʃ a x
Schachtel	ʃ a x t l̩
Schall	ʃ a l
Schapong	ʃ a p ɔ ŋ
Schatte	ʃ a t ə
Schatz	ʃ a t͡s
Schaum	ʃ a ʊ̯ m
Scheed	ʃ eː t
Scheele	ʃ eː l ə
Schein	ʃ a ɪ̯ n
Scheis	ʃ a ɪ̯ s
Schell	ʃ e l
Schelle	ʃ e l ə
Schenker	ʃ ɛ ŋ k ɐ
Scherz	ʃ ɛ t͡s
Scherze	ʃ ɛ t͡s ə
Schetz	ʃ e t͡s
Schicht	ʃ i ç t
Schichte	ʃ i ç t ə
Schiff	ʃ i f
Schild	ʃ i l t
Schiller	ʃ i l ɐ
Schipp	ʃ i p
Schippe	ʃ i p ə
Schiss	ʃ i s
Schissel	ʃ i s l̩
Schisser	ʃ i s ɐ
Schissle	ʃ i s l ə
Schlaa	ʃ l ɔː
Schlachtung	ʃ l a x t u ŋ
Schlang	ʃ l a ŋ
Schlange	ʃ l a ŋ ə
Schlapp	ʃ l a p
Schlappe	ʃ l a p ə
Schleier	ʃ l a ɪ̯ ɐ
Schleim	ʃ l a ɪ̯ m
Schlepp	ʃ l e p
Schlesser	ʃ l e s ɐ
Schlick	ʃ l i k
Schlitz	ʃ l i t͡s
Schlitze	ʃ l i t͡s ə
Schlof	ʃ l oː f
Schloss	ʃ l o s
Schlott	ʃ l o t
Schluck	ʃ l u k
Schmetterling	ʃ m e t ɐ l i ŋ
Schmier	ʃ m iː ɐ
Schmitt	ʃ m i t
Schmuck	ʃ m u k
Schmutz	ʃ m u t͡s
Schnall	ʃ n a l
Schnalle	ʃ n a l ə
Schnaps	ʃ n a p s
Schneck	ʃ n e k
Schnecke	ʃ n e k ə
Schnee	ʃ n eː
Schneemann	ʃ n eː m a n
Schnees	ʃ n eː s
Schneid	ʃ n a ɪ̯ t
Schneider	ʃ n a ɪ̯ r ɐ
Schnips	ʃ n i p s
Schnitt	ʃ n i t
Schnuer	ʃ n uː ɐ
Schnuppe	ʃ n u p ə
Schnut	ʃ n uː t
Schnute	ʃ n uː t ə
Schof	ʃ oː f
Schokolaat	ʃ o k o l ɔː t
Schopp	ʃ o p
Schoppe	ʃ o p ə
Schos	ʃ oː s
Schot	ʃ oː t
Schote	ʃ oː t ə
Schrank	ʃ r a ŋ k
Schraub	ʃ r a ʊ̯ p
Schreck	ʃ r e k
Schrift	ʃ r i f t
Schritt	ʃ r i t
Schritte	ʃ r i t ə
Schuh	ʃ uː
Schul	ʃ uː l
Schuld	ʃ u l t
Schule	ʃ uː l ə
Schuppe	ʃ u p ə
Schuss	ʃ u s
Schuster	ʃ u ʃ t ɐ
Schutz	ʃ u t͡s
Schutzengel	ʃ u t͡s ɛ ŋ l̩
Schwaart	ʃ v ɔː t
Schwamm	ʃ v a m
Schwanz	ʃ v a n s
Schwanz	ʃ v a n t͡s
Schwarz	ʃ v a t͡s
Schwarzbier	ʃ v a t͡s p iː ɐ
Schwefel	ʃ v eː f l̩
Schwein	ʃ v a ɪ̯ n
Schweinerei	ʃ v a ɪ̯ n ə r a ɪ̯
Schweiz	ʃ v a ɪ̯ t͡s
Schweizer	ʃ v a ɪ̯ t͡s ɐ
Schwellung	ʃ v e l u ŋ
Schwimmer	ʃ v i m ɐ
Schwitz	ʃ v i t͡s
Sechseck	s e k s e k
Seck	s e k
Seckel	s e k l̩
See	s eː
Seel	s eː l
Seele	s eː l ə
Seh	s eː
Sehe	s eː ə
Sehn	s eː n
Sei	s a ɪ̯
Seid	s a ɪ̯ t
Seie	s a ɪ̯ ə
Seif	s a ɪ̯ f
Seife	s a ɪ̯ f ə
Seit	s a ɪ̯ t
Seite	s a ɪ̯ t ə
Sekund	s e k u n t
Send	s e n t
Senger	s ɛ ŋ ɐ
September	s eː p t ɛ m p ɐ
Setz	s e t͡s
Sichel	s i ç l̩
Sicht	s i ç t
Sichte	s i ç t ə
Siegh	s iː ç
Sies	s iː s
Siete	s iː t ə
Siffer	s i f ɐ
Silver	s i l v ɐ
Simbol	s i m p o l
Simp	s i m p
Sind	s i n t
Sinfonie	s i n f o n iː
Sinne	s i n ə
Sinner	s i n ɐ
Sinonim	s i n oː n i m
Sistem	s i s t eː m
Skelett	ʃ k e l e t
Skorpion	ʃ k o r p i oː n
Soda	s oː t a
Sofa	s o f aː
Sofas	s o f aː s
Sohl	s oː l
Sohle	s oː l ə
Sohn	s oː n
Soje	s oː ʃ ə
Soldaat	s o l t ɔː t
Some	s oː m ə
Sommer	s ɔ m ɐ
Soot	s oː t
Sorte	s ɔ t ə
Sos	s oː s
Sose	s oː s ə
Spaad	ʃ p ɔː t
Spaan	ʃ p ɔː n
Spanje	ʃ p a n j ə
Sparre	ʃ p a r ə
Spass	ʃ p a s
Spatze	ʃ p a t͡s ə
Speck	ʃ p e k
Speen	ʃ p eː n
Speicher	ʃ p a ɪ̯ ç ɐ
Spess	ʃ p e s
Spiel	ʃ p iː l
Spieler	ʃ p iː l ɐ
Spinn	ʃ p i n
Spinne	ʃ p i n ə
Spiss	ʃ p i s
Spitz	ʃ p i t͡s
Spitze	ʃ p i t͡s ə
Spoer	ʃ p oː ɐ
Spott	ʃ p o t
Sprecher	ʃ p r e ç ɐ
Sprecherei	ʃ p r e ç ə r a ɪ̯
Sprich	ʃ p r i x
Spring	ʃ p r i ŋ
Spritz	ʃ p r i t͡s
Spritze	ʃ p r i t͡s ə
Sproch	ʃ p r o x
Spruch	ʃ p r u x
Sprung	ʃ p r u ŋ
Spuck	ʃ p u k
