'ch	χ
Beiblau	b e i̯ b l ɛ
Belarws	b ɛ l a r ʊ s
Belffast	b ɛ l f a s d
Benin	b ɛ n ɪ n
Beriw	b ɛ r ɪ u̯
Berlin	b ɛ r l ɪ n
Bermo	b ɛ r m ɔ
Berwig	b ɛ r w ɪ ɡ
Bhwtan	b ʊ t aː n
Birmingham	b ə r m ɪ ŋ h a m
Bolifia	b ɔ l ɪ v j a
Bordo	b ɔ r d oː
Bortiwgal	b ɔ r t j ʊ ɡ a l
Bortiwgal	b ɔ r t ɪ u̯ ɡ a l
Bortiwgaleg	b ɔ r t ɪ u̯ ɡ a l ɛ ɡ
Botswana	b ɔ t s w a n a
Brag	b r aː ɡ
Brasil	b r a s ɪ l
Brecsit	b r ɛ k s ɪ t
Brexit	b r ɛ k s ɪ t
Bronwen	b r ɔ n w ɛ n
Brwsel	b r ʊ s ɛ l
Brydain	b r ə d a i̯ n
Brydain	b r ə d ɛ n
Brynbuga	b r ɨ̞ n b ɨ̞ ɡ a
Bryste	b r ɨ̞ s t ɛ
Brython	b r ə θ ɔ n
Brythoneg	b r ə θ ɔ n ɛ ɡ
Bwlgaria	b ʊ l ɡ a r j a
Bwllheli	b ʊ ɬ h ɛ l i
Bwrwndi	b ʊ r ʊ n d ɪ
Cadfael	k a d v aː ɨ̯ l
Caer	k aː ɨ̯ r
Caerdydd	k a ɨ̯ r d ɨː ð
Caerdydd	k ə r d ɨː ð
Caeredin	k a ɨ̯ r ɛ d ɨ̞ n
Caerfaddon	k a ɨ̯ r v a ð ɔ n
Caerffili	k a ɨ̯ r f ɪ l i
Caerfyrddin	k a ɨ̯ r v ə r ð ɪ n
Caergaint	k a ɨ̯ r ɡ a i̯ n t
Caergrawnt	k a ɨ̯ r ɡ r a u̯ n t
Caergwrle	k a ɨ̯ r ɡ ʊ r l ɛ
Caergybi	k a ɨ̯ r ɡ ə b ɪ
Caerhirfryn	k a ɨ̯ r h ɪ r v r ɨ̞ n
Caerliwelydd	k a ɨ̯ r l ɪ u̯ ɛ l ɨ̞ ð
Caerloyw	k a ɨ̯ r l ɔ ɨ̯ ʊ
Caerlŷr	k a ɨ̯ r l ɨː r
Caernarfon	k a ɨ̞ r n a r v ɔ n
Caersallog	k a ɨ̯ r s a ɬ ɔ ɡ
Caerwrangon	k a ɨ̯ r w r a ŋ ɔ n
Caerwynt	k a ɨ̯ r w ɨ̞ n t
Caerwysg	k a ɨ̯ r uː ɨ̯ s ɡ
Caint	k a i̯ n t
Cambodia	k a m b ɔ d j a
Cambodiad	k a m b ɔ d j a d
Cambodiaid	k a m b ɔ d j a i̯ d
Cambodiaid	k a m b ɔ d j ɛ d
Cambodiaidd	k a m b ɔ d j a i̯ ð
Cambodiaidd	k a m b ɔ d j ɛ ð
Camerŵn	k a m ɛ r uː n
Canada	k a n a d a
Canadaidd	k a n a d a i̯ ð
Canadaidd	k a n a d ɛ ð
Canadiad	k a n a d j a d
Canadiaid	k a n a d j a i̯ d
Canadiaid	k a n a d j ɛ d
Caradog	k a r a d ɔ ɡ
Catrin	k a t r ɪ n
Celyn	k ɛ l ɨ̞ n
Ceredigion	k ɛ r ɛ d ɪ ɡ j ɔ n
Cerys	k ɛ r ɨ̞ s
Chaeredin	χ a ɨ̯ r ɛ d ɨ̞ n
Chaerfyrddin	χ e ɨ̯ r f ə r ð ɪ n
Chaint	χ a i̯ n t
Chambodia	χ a m b ɔ d j a
Chambodiad	χ a m b ɔ d j a d
Chambodiaid	χ a m b ɔ d j a i̯ d
Chambodiaid	χ a m b ɔ d j ɛ d
Chambodiaidd	χ a m b ɔ d j a i̯ ð
Chambodiaidd	χ a m b ɔ d j ɛ ð
Chamerŵn	χ a m ɛ r uː n
Chanada	χ a n a d a
Chanadaidd	χ a n a d a i̯ ð
Chanadaidd	χ a n a d ɛ ð
Cholombia	χ ɔ l ɔ m b j a
Chorea	χ ɔ r eː a
Chymru	χ ə m r ɨ̞
Ciribati	k ɪ r ɪ b a t ɪ
Conwy	k ɔ n ʊ ɨ̯
Cristnogaeth	k r ɪ s d n ɔ ɡ a ɨ̯ θ
Cristnogaeth	k r ɪ s d n ɔ ɡ ɛ θ
Cristnoges	k r ɪ s t n ɔ ɡ a s
Cristnoges	k r ɪ s t n ɔ ɡ ɛ s
Cristnogion	k r ɪ s d n ɔ ɡ j ɔ n
Crynwr	k r ə n ʊ r
Crynwyr	k r ə n w ɨ̞ r
Cymraeg	k ə m r aː i̯ ɡ
Cymraes	k ə m r aː ɨ̯ s
Cymraesau	k ə m r e ɨ̯ s a
Cymraesau	k ə m r e ɨ̯ s a ɨ̯
Cymraesau	k ə m r e ɨ̯ s ɛ
Cymreig	k ə m r e i̯ ɡ
Cymreigio	k ə m r e i̯ ɡ j ɔ
Cymro	k ə m r ɔ
Cymru	k ə m r ɨ̞
Dafydd	d a v ɨ̞ ð
Ddenmarc	ð ɛ n m a r k
Dewi	d ɛ u̯ ɪ
Dolwyddelan	d ɔ l w ɨ̞ ð ɛ l a n
Dudno	d ɨ̞ d n ɔ
Duw	d ɨ̞ u̯
Dyfrdwy	d ə v r d ʊ ɨ̯
Dyfrig	d ə v r ɪ ɡ
E	eː
Ebrill	ɛ b r ɪ ɬ
Ecwador	ɛ k w a d ɔ r
Efrog	ɛ v r ɔ ɡ
Eidal	e i̯ d a l
Eidal	ə r e i̯ d a l
Enid	ɛ n ɪ d
Eurwen	e ɨ̯ r w ɛ n
Fawrth	v a u̯ r θ
Fecsico	v ɛ k s ɪ k ɔ
Fedi	v ɛ d i
Fegan	v ɛ ɡ a n
Fehefin	v ɛ h ɛ v ɪ n
Feneswela	v ɛ n ɛ s w eː l a
Ffrancwr	f r a ŋ k ʊ r
Foldofa	v ɔ l d ɔ v a
Folifia	v ɔ l ɪ v j a
Foroco	v ɔ r ɔ k ɔ
Gaeredin	ɡ a ɨ̯ r ɛ d ɨ̞ n
Gaerfyrddin	ɡ e ɨ̯ r f ə r ð ɪ n
Gambodia	ɡ a m b ɔ d j a
Ganada	ɡ a n a d a
Ganadaidd	ɡ a n a d a i̯ ð
Ganadaidd	ɡ a n a d ɛ ð
Gatholig	ɡ a θ ɔ l ɪ ɡ
Giwba	ɡ ɪ u̯ b a
Gog	ɡ ɔ ɡ
Gogs	ɡ ɔ ɡ s
Golombia	ɡ ɔ l ɔ m b j a
Gorea	ɡ ɔ r eː a
Gorffennaf	ɡ ɔ r f ɛ n a v
Grist	ɡ r iː s t
Groatia	ɡ r ɔ a t j a
Groatia	ɡ r ɔ a ʃ a
Groeg	ɡ r oː ɨ̯ ɡ
Gruffudd	ɡ r ɨ̞ f ɨ̞ ð
Gwener	ɡ w ɛ n ɛ r
Gwenhwyfar	ɡ w ɛ n h ʊ ɨ̯ v a r
Gwenllian	ɡ w ɛ n ɬ iː a n
Gweplyfr	ɡ w ɛ p l ɨ̞ v r
Gwersyllt	ɡ w ɛ r s ɨ̞ ɬ d
Gwilym	ɡ w ɪ l ɨ̞ m
Gwyddel	ɡ w ɨ̞ ð ɛ l
Gwyddeleg	ɡ w ɨ̞ ð ɛ l ɛ ɡ
Gwyddelig	ɡ w ɨ̞ ð ɛ l ɪ ɡ
Gwyddelod	ɡ w ɨ̞ ð ɛ l ɔ d
Gwyddyl	ɡ w ɨ̞ ð ɨ̞ l
Gwydion	ɡ w ɨ̞ d j ɔ n
Gymro	ɡ ə m r ɔ
Gymru	ɡ ə m r ɨ̞
Gymry	ɡ ə m r ɨ̞
Gâl	ɡ aː l
H	a i̯ t ʃ
H	aː ɨ̯ t ʃ
H	h aː ɨ̯ t ʃ
H	h ə
Haberaeron	h a b ɛ r e ɨ̯ r ɔ n
Haberdâr	h a b ɛ r d aː r
Hafren	h a v r ɛ n
Halbania	h a l b a n j a
Hangharad	h a ŋ h a r a d
Harri	h a r ɪ
Haserbaijan	h a s ɛ r b a i̯ d͡ʒ a n
Hawstralia	h a u̯ s d r a l j a
Henffordd	h ɛ n f ɔ r ð
Hiddewiaeth	h ɪ ð e u̯ j a ɨ θ
Hiddewiaeth	h ɪ ð e u̯ j ɛ θ
Holocost	h ɔ l ɔ k ɔ s d
Hwngareg	h ʊ ŋ ɡ a r ɛ ɡ
Hwngari	h ʊ ŋ ɡ a r i
Hydref	h ə d r a
Hydref	h ə d r ɛ
Hydref	h ə d r ɛ v
I	iː
Ianto	j a n t ɔ
Iau	j a ɨ̯
Iddew	ɪ ð ɛ u̯
India	ɪ n d j a
Ioan	j ɔ a n
Iran	ɪ r a n
Iseldiraidd	ɪ s ɛ l d ɪ r a i̯ ð
Iseldiraidd	ɪ s ɛ l d ɪ r ɛ ð
Israel	ɪ s r a ɨ̯ l
Iwan	ɪ u̯ a n
Iwerddon	ɪ u̯ ɛ r ð ɔ n
Iwerddoneg	ɪ u̯ ɛ r ð ɔ n ɛ ɡ
Iâl	j aː l
Iôr	j oː r
J	d ʒ eː
Kantiaeth	k a n t j a ɨ̯ θ
Kantiaeth	k a n t j ɛ θ
Latfia	l a t v j a
Lerpwl	l ɛ r p ʊ l
Llandecwyn	ɬ a n d ɛ k w ɨ̞ n
Llandudno	ɬ a n d ɨ̞ d n ɔ
Lloegr	ɬ ɔ ɨ̯ ɡ a r
Lloegr	ɬ ɔ ɨ̯ ɡ r
Lloegr	ɬ ɔ ɨ̯ ɡ ə r
Llwchwr	ɬ ʊ χ ʊ r
Llywelyn	ɬ ə u̯ ɛ l ɨ̞ n
Loegr	l ɔ ɨ̯ ɡ r
Loegr	l ɔ ɨ̯ ɡ ə r
Lundain	l ɨ̞ n d a i̯ n
Lundain	l ɨ̞ n d a n
Lundain	l ɨ̞ n d ɛ n
Lwcsembwrg	l ʊ k s ɛ m b ʊ r ɡ
Lychlyn	l ə χ l ɨ̞ n
Lychlynnwr	l ə χ l ə n ʊ r
Lydaw	l ə d a u̯
Mab	m aː b
Madagasgar	m a d a ɡ a s ɡ a r
Mai	m a i̯
Manceinion	m a ŋ k e i̯ n j ɔ n
Mari	m a r ɪ
Melffast	m ɛ l f a s d
Mercher	m ɛ r χ a r
Mercher	m ɛ r χ ɛ r
Mharagwâi	m̥ a r a ɡ w aː i̯
Mharis	m̥ a r ɪ s
Mheriw	m̥ ɛ r ɪ u̯
Mhortiwgal	m̥ ɔ r t j ʊ ɡ a l
Mhortiwgal	m̥ ɔ r t ɪ u̯ ɡ a l
Mhortiwgaleg	m̥ ɔ r t ɪ u̯ ɡ a l ɛ ɡ
Mhrag	m̥ r aː ɡ
Mhrydain	m̥ r ə d a i̯ n
Mhrydain	m̥ r ə d ɛ n
Mhwllheli	m̥ ʊ ɬ h ɛ l i
Mhwtan	m ʊ t aː n
Moldofa	m ɔ l d ɔ v a
Molifia	m ɔ l ɪ v j a
Morgan	m ɔ r ɡ a n
Morgannwg	m ɔ r ɡ a n ʊ ɡ
Moroco	m ɔ r ɔ k ɔ
Mosambic	m ɔ s a m b iː k
Moscfa	m ɔ s ɡ v a
Mosgo	m ɔ s ɡ ɔ
Myfanwy	m ə v a n ʊ ɨ̯
Nadolig	d ɔ l ɪ ɡ
Nadolig	n a d ɔ l ɪ ɡ
Nedd	n eː ð
Neirin	n e ɨ̯ r ɪ n
Nenmarc	n ɛ n m a r k
Nghaeredin	ŋ̊ a ɨ̯ r ɛ d ɨ̞ n
Nghaint	ŋ̊ a i̯ n t
Nghanada	ŋ̊ a n a d a
Nghorea	ŋ̊ ɔ r eː a
Nghymro	ŋ̊ ə m r ɔ
Nghymru	ŋ̊ ə m r ɨ
Nghymry	ŋ̊ ə m r ɨ̞
Ngorffennaf	ŋ ɔ r f ɛ n a v
Ngroeg	ŋ r oː ɨ̯ ɡ
Nhwrci	n̥ ʊ r k i
Nicaragwa	n ɪ k a r a ɡ w a
Norwy	n ɔ r ʊ ɨ̯
Nulyn	n ɨ̞ l ɨ̞ n
Nêr	n eː r
O	oː
Ogwr	ɔ ɡ ʊ r
Olympaidd	ɔ l ɨ̞ m p a i̯ ð
Olympaidd	ɔ l ɨ̞ m p ɛ ð
Oman	ɔ m a n
Orffennaf	ɔ r f ɛ n a v
Osian	ɔ ʃ a n
Padrig	p a d r ɪ ɡ
Paragwâi	p a r a ɡ w aː i̯
Parchedig	p a r χ ɛ d ɪ ɡ
Paris	p a r ɪ s
Pasg	p aː s ɡ
Pawl	p a u̯ l
Pedr	p ɛ d r
Penarth	p ɛ n a r θ
Penbedw	p ɛ m b ɛ d ʊ
Peris	p ɛ r ɪ s
Periw	p ɛ r ɪ u̯
Periwiad	p ɛ r ɪ u̯ j a d
Pharagwâi	f a r a ɡ w aː i̯
Pharis	f a r ɪ s
Pheriw	f ɛ r ɪ u̯
Phortiwgal	f ɔ r t j ʊ ɡ a l
Phortiwgal	f ɔ r t ɪ u̯ ɡ a l
Phortiwgaleg	f ɔ r t ɪ u̯ ɡ a l ɛ ɡ
Phrag	f r aː ɡ
Phrydain	f r ə d a i̯ n
Phrydain	f r ə d ɛ n
Phwllheli	f ʊ ɬ h ɛ l i
Pontypridd	p ɔ n t ə p r iː ð
Portiwgal	p ɔ r t ɪ u̯ ɡ a l
Portiwgaleg	p ɔ r t ɪ u̯ ɡ a l ɛ ɡ
Prag	p r aː ɡ
Prestatyn	p r ɛ s t a t ɨ̞ n
Protestaniaeth	p r ɔ t ɛ s d a n j a ɨ̯ θ
Protestaniaeth	p r ɔ t ɛ s d a n j ɛ θ
Protestaniaid	p r ɔ t ɛ s d a n j a i̯ d
Protestaniaid	p r ɔ t ɛ s d a n j ɛ d
Protestannaidd	p r ɔ t ɛ s d a n a i̯ ð
Protestannaidd	p r ɔ t ɛ s d a n ɛ ð
Protestant	p r ɔ t ɛ s d a n t
Prydael	p r ə d a ɨ̯ l
Prydain	p r ə d a i̯ n
Prydain	p r ə d ɛ n
Prydwen	p r ə d w ɛ n
Pwllheli	p ʊ ɬ h ɛ l i
Ragfyr	r a ɡ v ɨ̞ r
Rhian	r̥ i a n
Rhiannon	r̥ i a n ɔ n
Rhianwen	r̥ i a n w ɛ n
Rhufain	r̥ ɨ̞ v a i̯ n
Rhufain	r̥ ɨ̞ v ɛ n
Rhufeiniwr	r̥ ɨ̞ v e i̯ n j ʊ r
Rhydychen	r̥ ɨː d ə χ ɛ n
Rhydychen	r̥ ɨ̞ d ə χ ɛ n
Rhyl	r̥ ɨ̞ l
Rhyl	ə r̥ ɨ̞ l
Roeg	r oː ɨ̯ ɡ
Rufain	r ɨ̞ v a i̯ n
Rufeinig	r ɨ̞ v e i̯ n ɪ ɡ
Rwanda	r ʊ a n d a
Rwmania	r ʊ m a n j a
Rwsia	r ʊ ʃ a
Sacson	s a k s ɔ n
Sadwrn	s a d ʊ n
Sadwrn	s a d ʊ r n
Saesneg	s e ɨ̯ s n a ɡ
Saesneg	s e ɨ̯ s n ɛ ɡ
Saesneg	s ɨ̞ s n a ɡ
Saesneg	s ɨ̞ s n ɛ ɡ
Saesnes	s e ɨ̯ s n a s
Saesnes	s e ɨ̯ s n ɛ s
Saeson	s e ɨ̯ s ɔ n
Sais	s aː i̯ s
Sbaen	s b aː ɨ̯ n
Sbaeneg	s b e ɨ̯ n ɛ ɡ
Sbaenes	s b e ɨ̯ n a s
Sbaenes	s b e ɨ̯ n ɛ s
Sbaenwr	s b e ɨ̯ n ʊ r
Serbia	s ɛ r b j a
Sgythia	s ɡ ə θ j a
Siani	ʃ a n ɪ
Siapan	ʃ a p a n
Sioned	ʃ ɔ n ɛ d
Siwan	s ɪ u̯ a n
Siwan	ʃ ʊ a n
Siân	ʃ aː n
Siôn	ʃ oː n
Siôr	ʃ oː r
Slofacia	s l ɔ v a k j a
Slofenia	s l ɔ v ɛ n j a
Sosban	s ɔ s b a n
Swdan	s ʊ d a n
Sweden	s w ɛ d ɛ n
Swistir	s w ɪ s d ɪ r
Swistir	ə s w ɪ s d ɪ r
Swrinam	s ʊ r ɪ n a m
TGAU	t ɡ a ɨ̯
Tachwedd	t a χ w ɛ ð
Tad	t aː d
Taf	t aː v
Tafwys	t a v ʊ ɨ̯ s
Talmwd	t a l m ʊ d
Tasmania	t a s m a n j a
Tawe	t a u̯ ɛ
Tecwyn	t ɛ k w ɨ̞ n
Teifi	t e i̯ v i
Thachwedd	θ a χ w ɛ ð
Thasmania	θ a s m a n j a
Thawe	θ a u̯ ɛ
Thwrci	θ ʊ r k i
Tibet	t ɪ b ɛ t
Tibeteg	t ɪ b ɛ t ɛ ɡ
Tirana	t ɪ r a n a
Tiwnisia	t ɪ u̯ n ɪ s j a
Tomos	t ɔ m ɔ s
Tonypandy	t ɔ n ə p a n d ɨ̞
Tonyrefail	t ɔ n ə r ɛ v a i̯ l
Trawsfynydd	t r a u̯ s v ə n ɨ̞ ð
Trefor	t r ɛ v ɔ r
Trefynwy	t r ɛ v ə n ʊ ɨ̯
Trindod	t r ɪ n d ɔ d
Troedfawr	t r oː ɨ̯ d v a u̯ r
Trydar	t r ə d a r
Tsiad	t͡ʃ a d
Tsieina	t͡ʃ e i̯ n a
Tsieineeg	t͡ʃ e i̯ n eː ɛ ɡ
Tudno	t ɨ̞ d n ɔ
Twfalw	t ʊ v a l ʊ
Twitter	t w ɪ t ə r
Twrci	t ʊ r k ɪ
Tyddewi	t ɨ̞ ð ɛ u̯ ɪ
U	ɨː
W	uː
Wcráin	ʊ k r a i̯ n
Wellington	w ɛ l ɪ ŋ t ə n
Wganda	ʊ ɡ a n d a
Wiciadur	w ɪ k j a d ɨ̞ r
Wicipedia	w ɪ k ɪ p ɛ d j a
Wiclo	w ɪ k l ɔ
Wranws	ʊ r a n ʊ s
Wrecsam	w r ɛ k s a m
Wrwgwái	ʊ r ʊ ɡ w a i̯
Wy	uː ɨ̯
Wyddel	ʊ ɨ̯ ð ɛ l
Wyddeleg	ʊ ɨ̯ ð ɛ l ɛ ɡ
Wysg	uː ɨ̯ s ɡ
Ystradwel	ə s d r a d w ɛ l
Zwinglïad	s w ɪ ŋ ɡ l iː a d
Zwinglïaeth	s w ɪ ŋ ɡ l iː a ɨ̯ θ
Zwinglïaeth	s w ɪ ŋ ɡ l iː ɛ θ
ab	a b
abad	a b a d
abadaeth	a b a d a ɨ̯ θ
abadaeth	a b a d ɛ θ
abadaethau	a b a d e ɨ̯ θ a
abadaethau	a b a d e ɨ̯ θ a ɨ̯
abadaethau	a b a d e ɨ̯ θ ɛ
abadau	a b a d a
abadau	a b a d a ɨ̯
abadau	a b a d ɛ
abades	a b a d ɛ s
abadesau	a b a d ɛ s a
abadesau	a b a d ɛ s a ɨ̯
abadesau	a b a d ɛ s ɛ
aball	a b a ɬ
aballu	a b a ɬ ɨ̞
abatai	a b a t a ɨ̯
abathocroalaidd	a b a θ ɔ k r ɔ a l a i̯ ð
abatir	a b a t ɪ r
abatiroedd	a b a t ɪ r ɔ ɨ̯ ð
abaty	a b a t ɨ̞
aber	a b ɛ r
abergofiant	a b ɛ r ɡ ɔ v j a n t
aberth	a b ɛ r θ
aberthau	a b ɛ r θ a
aberthau	a b ɛ r θ a ɨ̯
aberthau	a b ɛ r θ ɛ
aberthged	a b ɛ r θ ɡ ɛ d
aberthgedau	a b ɛ r θ ɡ ɛ d a
aberthgedau	a b ɛ r θ ɡ ɛ d a ɨ̯
aberthgedau	a b ɛ r θ ɡ ɛ d ɛ
aberthu	a b ɛ r θ ɨ̞
aberthwr	a b ɛ r θ ʊ r
abl	a b l
abladol	a b l a d ɔ l
abostol	a b ɔ s d ɔ l
absen	a b s ɛ n
absennau	a b s ɛ n a
absennau	a b s ɛ n a ɨ̯
absennau	a b s ɛ n ɛ
absennol	a b s ɛ n ɔ l
absennu	a b s ɛ n ɨ
absenoldeb	a b s ɛ n ɔ l d a b
absenoldeb	a b s ɛ n ɔ l d ɛ b
abwyd	a b ʊ ɨ̯ d
abwydyn	a b ʊ ɨ̯ d ɨ̞ n
academaidd	a k a d ɛ m a i̯ ð
academaidd	a k a d ɛ m ɛ ð
academi	a k a d ɛ m i
academydd	a k a d ɛ m ɨ̞ ð
academyddion	a k a d ɛ m ə ð j ɔ n
academïau	a k a d ɛ m iː a
academïau	a k a d ɛ m iː a ɨ̯
academïau	a k a d ɛ m iː ɛ
acen	a k ɛ n
aceniad	a k ɛ n j a d
aceniadau	a k ɛ n j a d a
aceniadau	a k ɛ n j a d a ɨ̯
aceniadau	a k ɛ n j a d ɛ
acenion	a k ɛ n j ɔ n
acennu	a k ɛ n ɨ
acer	a k a r
acer	a k ɛ r
ach	a χ
ach	aː χ
acha	a χ a
achan	a χ a n
achles	a χ l ɛ s
achlesau	a χ l ɛ s a
achlesau	a χ l ɛ s a ɨ̯
achlesau	a χ l ɛ s ɛ
achlesu	a χ l ɛ s ɨ̞
achlod	a χ l ɔ d
achlust	a χ l ɨ̞ s d
achlysur	a χ l ə s ɨ̞ r
achlysurol	a χ l ə s ɨ̞ r ɔ l
achlysuron	a χ l ə s ɨ̞ r ɔ n
achoedd	aː χ ɔ i̯ ð
achos	a χ ɔ s
achos	χ ɔ s
achosi	a χ ɔ s i
achosion	a χ ɔ ʃ ɔ n
achres	a χ r ɛ s
achub	a χ ɨ̞ b
achubiaeth	a χ ɨ̞ b j a ɨ̯ θ
achubiaeth	a χ ɨ̞ b j ɛ θ
achubol	a χ ɨ̞ b ɔ l
achubwr	a χ ɨ̞ b ʊ r
achubwyr	a χ ɨ̞ b w ɨ̞ r
achwyn	a χ w ɨ̞ n
achwyn	a χ ʊ ɨ̯ n
achwyniad	a χ ʊ ɨ̯ n j a d
achwyniadau	a χ ʊ ɨ̯ n j a d a
achwyniadau	a χ ʊ ɨ̯ n j a d a ɨ̯
achwyniadau	a χ ʊ ɨ̯ n j a d ɛ
achwynwr	a χ ʊ ɨ̯ n j ʊ r
achwynwyr	a χ ʊ ɨ̯ n w ɨ̞ r
achwynydd	a χ ʊ ɨ̯ n j ɨ̞ ð
achydd	a χ ɨ̞ ð
achyddiaeth	a χ ə ð j a ɨ̯ θ
