ꠀ	a
ꠃꠘ꠆ꠖꠥꠞ	u n d̪ u ɾ
ꠃꠘ꠆ꠗꠣ	ʊ n̪ d̪ á
ꠃꠘ꠆ꠗꠣꠟ	u n d̪ á l
ꠃꠘ꠆ꠗꠣꠟꠙꠥꠟꠤ	u n d̪ á l ɸ u l i
ꠃꠘ꠆ꠘꠤꠡ	u nː n i ʃ
ꠃꠘꠖꠥꠞ	u n d̪ u ɾ
ꠃꠜꠣꠘꠤ	ú b á n i
ꠃꠝ꠆ꠔꠣ	ʊ m t̪ a
ꠃꠞꠤ	u ɾ i
ꠃꠟ	u l
ꠄ	ɛ
ꠄꠇ	e x
ꠄꠇꠂꠡ	e x ɔ i ʃ
ꠄꠇꠟꠣ	e x l a
ꠄꠞꠥꠡꠣꠟꠦꠝ	e ɾ u ʃ a l e m
ꠄꠞꠥꠡꠣꠟꠦꠝ	e ɾ u z a l e m
ꠅ	ɔ
ꠅꠀ	ɔ a
ꠅꠄ	ɔ́ e̯
ꠅꠟꠂꠖ	ɔ́ l ɔ i d̪
ꠇ	x ɔ
ꠇꠂ	x ɔ i
ꠇꠌꠥꠀ	x ɔ s u a
ꠇꠐ꠆ꠐꠣ	x ɔ ʈ ʈ a
ꠇꠕꠣ	x ɔ t̪ á
ꠇꠝ꠆ꠟꠣ	x ɔ m l a
ꠇꠝꠟꠣ	x ɔ m ɔ l a
ꠇꠞꠣ	x ɔ ɾ a
ꠇꠟꠣ	x ɔ l a
ꠇꠣꠁꠟ	x a i l
ꠇꠣꠃꠀꠟꠥꠟꠤ	x a u a l u l i
ꠇꠣꠇꠂ	x a x ɔ i
ꠇꠣꠇꠠꠣ	x a x ɾ a
ꠇꠣꠐꠣ	χ ā t ā
ꠇꠣꠑꠟ	x a ʈ ɔ́ l
ꠇꠣꠔ꠆ꠔꠤ	x a t̪ t̪ i
ꠇꠣꠔꠤ	x aː t̪ i
ꠇꠣꠙ	x a f
ꠇꠣꠙꠠ	x a f ɔ ɽ
ꠇꠣꠙꠠ	x a f ɔ ɾ
ꠇꠣꠟꠤ	x a l i
ꠇꠤꠀꠘꠧ	k i a n ɔ
ꠇꠤꠃꠛꠣ	k i ʊ b a
ꠇꠤꠍꠝꠤꠍ	k i s m i s
ꠇꠤꠍꠝꠤꠍ	k i ʃ m i ʃ
ꠇꠤꠔꠣ	k i t̪ a
ꠇꠤꠘꠣ	k i n a
ꠇꠥꠀꠁ	k u a i
ꠇꠥꠁꠀꠞ	k u í a ɾ
ꠇꠥꠐꠥꠝ	k u ʈ u m
ꠇꠥꠔ꠆ꠔꠣ	k u t̪ː a
ꠇꠥꠘꠈꠣꠘꠧ	k u n x á n ɔ
ꠇꠥꠘꠣ	k u n a
ꠇꠥꠘꠣꠘꠧ	k u n a n ɔ
ꠇꠦꠅꠀꠟꠣ	x e ɔ a l a
ꠈ	x ɔ́
ꠈꠛꠤꠍ	x ɔ b i s
ꠈꠟꠣ	x ɔ́ l a
ꠈꠣꠘꠧ	x á n ɔ
ꠈꠣꠝꠌꠠꠣ	x á m s ɔ ɽ a
ꠈꠣꠟꠤ	x á l i
ꠈꠤꠀꠟ	k í a l
ꠈꠥꠀꠛ	k u a b
ꠈꠥꠛ	k ú b
ꠈꠦꠎꠥꠞ	x é z u ɾ
ꠈꠦꠠ	x é ɽ
ꠉ	ɡ ɔ
ꠉꠎꠟ	ɡ ɔ z ɔ l
ꠉꠔꠞ	ɡ ɔ t̪ ɔ ɾ
ꠉꠙ	ɡ ɔ ɸ
ꠉꠞꠝ	ɡ ɔ ɾ ɔ m
ꠉꠟꠣ	ɡ ɔ l a
ꠉꠣꠅ	ɡ a ʊ
ꠉꠣꠋ	ɡ a ŋ
ꠉꠣꠋ	ɡ a ŋ ɡ
ꠉꠣꠘ	ɡ a n
ꠉꠣꠜꠤꠘ	ɡ a b í n
ꠉꠣꠠꠤꠀ	ɡ a ɽ i a
ꠉꠥ	ɡ u
ꠉꠥꠘꠣ	ɡ u n a
ꠉꠥꠟ꠆ꠟꠤ	ɡ u lː i
ꠉꠥꠠꠣ	ɡ u ɽ a
ꠊ	ɡ ɔ́
ꠊꠞ	ɡ ɔ́ ɾ
ꠊꠠꠤ	ɡ ɔ́ ɽ i
ꠊꠣꠁꠟꠖꠣꠔ	ɡ a i l d̪ a t̪
ꠊꠣꠘꠥꠀ	ɡ á n u a
ꠊꠥꠠꠣ	ɡ ú ɽ a
ꠌ	s ɔ
ꠌꠂꠔ	s ɔ i t̪
ꠌꠃꠇꠣꠝ	s o u k a m
ꠌꠃꠈ	s ɔ ʊ k
ꠌꠇꠞ	s ɔ x ɔ ɾ
ꠌꠗꠞꠤ	s ɔ d̪ ɾ i
ꠌꠣ	s a
ꠌꠣꠁꠞ	s a i ɾ
ꠌꠣꠃꠟ	s a u l
ꠌꠣꠇꠝꠣ	s a x m a
ꠌꠣꠐꠤꠀꠘꠤ	s a ʈ i a n i
ꠌꠣꠘꠌꠠꠣ	s a n t͡ʃ ɔ ɽ a
ꠌꠣꠙ	s a f
ꠌꠣꠛꠤ	s a b i
ꠌꠣꠝꠌ	s a m ɔ s
ꠌꠣꠞꠤ	s a ɾ i
ꠌꠤꠐꠣꠉꠣꠋ	s i ʈ a ɡ a ŋ
ꠌꠤꠘ꠆ꠔꠣ	s i n t a
ꠌꠤꠞꠂꠘ	s i ɾ ɔ i n
ꠌꠤꠞꠇꠣꠟ	s i r ɔ x a l
ꠌꠥꠈ	s ʊ k
ꠌꠥꠔꠞꠣ	s u t̪ ɾ a
ꠌꠥꠞꠤ	s u r i
ꠍ	s ɔ́
ꠍꠄ	s ɔ e̯
ꠍꠣꠔ꠆ꠔꠤ	s á t̪ː i
ꠍꠣꠚ	s á f
ꠍꠣꠝꠘꠦ	s á m n e
ꠍꠣꠟꠘ	s á l ɔ n
ꠍꠣꠟꠝ	s á l ɔ m
ꠍꠤꠞꠤꠀꠐ	s í r i a ʈ
ꠍꠤꠞꠤꠢꠐ	s í r i h ɔ ʈ
ꠍꠤꠞꠤꠢꠐ	s í r i ɔ ʈ
ꠍꠤꠟꠐ	s í l ɔ ʈ
ꠍꠤꠟꠐꠤ	s í l ɔ ʈ i
ꠍꠥꠞꠤ	s ú ɾ i
ꠍꠦꠙ	s é ɸ
ꠎ	z ɔ
ꠎꠂꠑ	z ɔ i ʈ
ꠎꠣꠟ	z a l
ꠎꠣꠟ	z a l
ꠎꠣꠟ	z a l
ꠎꠣꠟ	z a l
ꠎꠤꠘ꠆ꠖꠦꠉꠤ	z i n d̪ e ɡ i
ꠎꠤꠘ꠆ꠖꠦꠉꠤ	d͡ʒ i n d̪ e ɡ i
ꠎꠦꠛ	z e b
ꠏ	z ɔ́
ꠏꠣꠟ	z á l
ꠐ	ʈ ɔ
ꠐꠟꠣ	ʈ ɔ l a
ꠐꠦꠋꠉꠣ	ʈ ɛ ŋ ɡ a
ꠑ	ʈ ɔ́
ꠑꠤꠇ	ʈ í k
ꠑꠥꠐ	ʈ ú ʈ
ꠑꠥꠘꠇꠣ	ʈ ú n x a
ꠒ	ɖ ɔ
ꠒꠣꠇ꠆ꠔꠞ	ɖ a x t̪ ɔ ɾ
ꠒꠣꠛ	ɖ a b
ꠒꠣꠟ	ɖ a l
ꠓ	ɖ ɔ́
ꠓꠣꠇꠣ	ɖ á x a
ꠓꠣꠟ	ɖ á l
ꠓꠥꠙꠤ	ɖ ú ɸ i
ꠓꠥꠟ	ɖ ú l
ꠔ	t̪ ɔ
ꠔꠣꠇꠣ	t̪ a x a
ꠔꠣꠘ	t̪ a n
ꠔꠣꠘꠔꠣꠘ	t̪ a n t̪ a n
ꠔꠣꠞꠣ	t a ɾ a
ꠔꠣꠟ	t̪ a l
ꠔꠤꠘ	t̪ i n
ꠔꠤꠟ	t̪ i l
ꠕ	t ɔ́
ꠕꠣꠟ	t̪ á l
ꠕꠥꠔꠣ	t̪ ú t̪ a
ꠖ	d̪ ɔ
ꠖꠡ	d̪ ɔ ʃ
ꠖꠣꠘ	d̪ a n
ꠖꠤꠟ	d i l
ꠖꠥꠁ	d̪ u i
ꠖꠥꠗ	d̪ u d̪
ꠖꠥꠞ	d u ɾ
ꠖꠥꠡ꠆ꠐꠣꠝꠤ	d u ʃ ʈ a m i
ꠖꠦꠈꠞꠣ	d̪ e x ɾ a
ꠗ	d̪ ɔ́
ꠗꠁꠘ꠆ꠘꠛꠣꠖ	d̪ ɔ́ i n n ɔ b a d̪
ꠗꠞꠣ	d̪ ɔ́ ɾ a
ꠗꠟꠣ	d̪ ɔ́ l a
ꠗꠣꠘ	d̪ á n
ꠗꠣꠞ	d̪ á ɾ
ꠗꠣꠞꠣ	d̪ á ɾ a
ꠗꠥꠞꠥꠝꠌꠣꠘ꠆ꠖꠤ	d̪ ú ɾ u m s a n d̪ i
ꠘ	n ɔ
ꠘꠃꠈ	n ɔ u k
ꠘꠄ	n ɔ e̯
ꠘꠛꠤ	n ɔ b i
ꠘꠞꠝ	n ɔ r ɔ m
ꠘꠣ	n a
ꠘꠣꠁꠇꠟ	n a i k ɔ l
ꠘꠣꠁꠝꠥꠠꠣꠟ	n a i m u ɽ a l
ꠘꠣꠁꠞꠟ	n a i ɾ ɔ l
ꠘꠣꠅ	n a ʊ
ꠘꠣꠇ	n a x
ꠘꠣꠉꠞꠤ	n a ɡ ɾ i
ꠘꠣꠝ	n a m
ꠘꠣꠞꠤꠅꠟ	n a ɾ i ɔ l
ꠘꠤꠝꠣꠔꠞꠣ	n i m a t̪ ɾ a
ꠘꠤꠞꠣꠁ	n i ɾ a i
ꠘꠥꠘꠣ	n u n a
ꠙ	ɸ ɔ
ꠙꠄꠟꠣ	f ɔ e̯ l a
ꠙꠅꠞ	ɸ ɔ ɔ́ ɾ
ꠙꠔꠣ	ɸ ɔ t̪ a
ꠙꠔꠣ	f ɔ t̪ a
ꠙꠘ꠆ꠒꠤꠔꠤ	ɸ ɔ n ɖ i t̪ i
ꠙꠣꠇ	ɸ a x
ꠙꠣꠈꠣ	ɸ a x á
ꠙꠣꠌ	ɸ a s
ꠙꠣꠔ꠆ꠕꠞ	ɸ a t̪ː ɔ ɾ́
ꠙꠣꠘ	ɸ a n
ꠙꠣꠘꠤ	ɸ a n i
ꠙꠣꠟꠋ	ɸ a l ɔ ŋ
ꠙꠤꠑ	ɸ i ʈ
ꠙꠤꠙꠠꠣ	ɸ i ɸ ɽ a
ꠙꠤꠙꠠꠣ	f i f ɽ a
ꠙꠤꠞꠤꠌ	f i ɾ i s
ꠙꠥꠀ	ɸ u a
ꠙꠥꠎꠣꠁꠟ	ɸ u z a i l
ꠙꠥꠔ	ɸ u t̪
ꠙꠥꠔ꠆ꠞꠣ	ɸ u t̪ ɾ a
ꠙꠥꠔ꠆ꠞꠤ	ɸ u t̪ ɾ i
ꠙꠥꠔꠣ	ɸ u t̪ a
ꠙꠥꠟ	ɸ u l
ꠙꠥꠠꠤ	ɸ u ɾ i
ꠙꠥꠠꠤ	ɸ u ɽ i
ꠙꠥꠠꠤ	ɸ u ɾ i
ꠙꠥꠠꠤ	ɸ u ɽ i
ꠙꠥꠡ	ɸ u ʃ
ꠙꠦꠇ	ɸ e x
ꠙꠦꠌꠣ	ɸ e s a
ꠚ	f ɔ́
ꠚꠟ	f ɔ́ l
ꠚꠣꠟ	f á l
ꠚꠣꠟ꠆ꠇꠥꠘ	f á l k u n
ꠚꠥꠍꠣ	f ú s á
ꠚꠥꠟ	f ú l
ꠛ	b ɔ
ꠛꠂꠡꠣꠉ	b ɔ i ʃ a ɡ
ꠛꠃ	b ɔ u
ꠛꠇꠞꠤ	b ɔ x ɾ i
ꠛꠍꠞ	b ɔ s ɔ ɾ ˥
ꠛꠞ꠆ꠔꠘ	b ɔ r t̪ o n
ꠛꠞꠔꠘ	b ɔ ɾ t̪ ɔ n
ꠛꠣꠁꠔ	b a i t̪
ꠛꠣꠊ	b a ɡ
ꠛꠣꠋꠟꠣꠖꠦꠡ	b a ŋ l a d̪ e ʃ
ꠛꠣꠔ	b a t̪
ꠛꠣꠔ꠆ꠔꠤ	b a t̪ː i
ꠛꠣꠔ꠆ꠔꠤꠀꠞꠣ	b a t̪ː i á ɾ a
ꠛꠣꠔꠔꠤ	b a t̪ t̪ i
ꠛꠣꠔꠤꠀꠞꠣ	b a t̪ i a ɾ a
ꠛꠣꠖ	b a d̪
ꠛꠣꠞꠤꠇ	b a ɾ i k
ꠛꠤꠀꠘ	b i á n
ꠛꠤꠀꠟ	b i a l
ꠛꠤꠌꠣꠟ	b i s a l
ꠛꠤꠍꠇꠥꠐ	b i sʼ k u ʈ
ꠛꠤꠍꠘꠣ	b i s n a
ꠛꠤꠘꠣꠡ	b i n a ʃ
ꠛꠤꠙꠖ	b i f ɔ d̪
ꠛꠤꠟꠣꠁ	b i l a i
ꠛꠤꠠꠣ	b i ɽ a
ꠛꠤꠡ	b i ʃ
ꠛꠥꠎꠣ	b u z a
ꠛꠥꠞꠣ	b u ɾ a
ꠛꠦꠉꠝ	b e ɡ ɔ m
ꠛꠦꠋꠉꠟꠤ	b ɛ ŋ ɡ ɔ l i
ꠛꠦꠐꠣ	b e ʈ a
ꠛꠦꠐꠤ	b e ʈ i
ꠜ	b ɔ́
ꠜꠂꠘ	b ɔ́ i n
ꠜꠂꠘꠣꠞꠤ	b ɔ́ i n a ɾ i
ꠜꠣꠔ	b á t̪
ꠜꠣꠖꠧ	b á d̪ o
ꠜꠣꠟꠣ	b á l a
ꠜꠣꠟꠣꠙꠣꠅꠀ	b á l a ɸ a o a
ꠜꠥꠉ	b ú ɡ
ꠝ	m ɔ
ꠝꠞꠣ	m ɔ ɾ a
ꠝꠡꠟꠣ	m ɔ ʃ l a
ꠝꠢꠝ꠆ꠝꠖ	m ɔ ɦ ɔ m m ɔ d̪
ꠝꠣꠁꠉ꠆ꠉ	m a i ɡ ɡ ɔ
ꠝꠣꠇꠣꠟꠚꠟ	m a x a l f ɔ́ l
ꠝꠣꠊ	m a ɡ
ꠝꠣꠔꠣ	m a t̪ a
ꠝꠣꠗꠣꠘ	m a d̪ á n
ꠝꠤꠀ	m i a
ꠝꠤꠍꠣ	m i s á
ꠝꠤꠑꠣ	m i ʈ á
ꠝꠥꠁ	m u i
ꠝꠥꠈ	m u k
ꠝꠥꠞꠔꠣ	m u ɾ t̪ a
ꠝꠥꠠ	m u ɽ
ꠝꠥꠢꠣꠝ꠆ꠝꠣꠖ	m u h a m m a d
ꠝꠦꠇꠥꠞ	m e k u ɾ
ꠞ	ɾ ɔ
ꠞꠂꠖ	ɾ ɔ i d̪
ꠞꠃꠘ	ɾ ɔ ú n
ꠞꠇ꠆ꠔ	ɾ ɔ x t̪ ɔ
ꠞꠋ	ɾ ɔ ŋ
ꠞꠍꠤ	ɾ ɔ s i
ꠞꠍꠥꠟ	ɾ ɔ s ú l
ꠞꠣꠁꠔ	ɾ a i t̪
ꠞꠣꠇꠣꠔ	r a x a t
ꠞꠣꠎꠣꠁ	ɾ a z a i
ꠞꠣꠔꠤ	ɾ a t̪ i
ꠞꠤꠡꠇꠣ	ɾ i ʃ k a
ꠞꠦꠡꠝ	ɾ e ʃ ɔ m
ꠞꠦꠡꠝꠤ	ɾ e ʃ m i
ꠟ	l ɔ
ꠟꠃ	l ɔ ú
ꠟꠘ꠆ꠒꠘ	l ɔ n ɖ ɔ n
ꠟꠘ꠆ꠒꠘꠤ	l ɔ n ɖ ɔ n i
ꠟꠣꠈꠣꠘ	l a x a n
ꠟꠥꠛꠣꠘ	l u b a n
ꠟꠥꠛꠣꠘ	l o b a n
ꠟꠦꠈꠞꠣ	l e x ɾ a
ꠟꠦꠌꠥ	l e s u
ꠟꠦꠝ	l e m
ꠟꠦꠝꠐꠘ	l e m ʈ ɔ n
ꠠ	ɽ ɔ ~ ɾ ɔ
ꠡ	ʃ ɔ
ꠡꠝꠄ	ʃ ɔ m ɔ e̯
ꠡꠞꠛꠔ	ʃ ɔ ɾ b ɔ t̪
ꠡꠣ	ʃ a
ꠡꠤꠞꠤꠇ	ʃ i r i k
ꠡꠥꠁꠘ꠆ꠘ	ʃ u i nː ɔ
ꠡꠥꠘ꠆ꠖꠞ	ʃ u n d̪ ɔ ɾ
ꠢ	ɦ ɔ
ꠢꠃꠞ	ɦ ɔ ú ɾ
ꠢꠇꠟ	ɦ ɔ x ɔ l
ꠢꠇꠟꠄ	ɦ ɔ x ɔ l ɔ e
ꠢꠇꠟꠦ	ɦ ɔ x ɔ l e
ꠢꠎꠣꠉ	ɦ ɔ z a ɡ
ꠢꠞꠥ	ɦ ɔ ɾ u
ꠢꠞꠥꠔꠣ	ɦ ɔ ɾ u t̪ a
ꠢꠠꠤ	ɦ ɔ ɽ i
ꠢꠣꠃ	ɦ a ʊ
ꠢꠣꠅꠘ	ɦ a ɔ n
ꠢꠣꠉ	ɦ a ɡ
ꠢꠣꠌꠣ	ɦ a s a
ꠢꠣꠔ	ɦ a t̪
ꠢꠣꠔꠇꠞꠣ	ɦ a t̪ x ɔ ɾ a
ꠢꠣꠙ	ɦ á ɸ
ꠢꠣꠟ	ɦ a l
ꠢꠣꠟ	a l
ꠢꠤꠀꠟ	ɦ i a l
ꠢꠤꠞꠛꠣꠞ	ɦ i ɾ b a ɾ
ꠢꠤꠟ	ɦ i l
ꠢꠥꠈꠂꠘ	ɦ u k ɔ́ i n
ꠢꠥꠐꠇꠤ	ɦ u ʈ k i
ꠢꠥꠔꠣ	ɦ u t̪ a
ꠢꠥꠘꠣ	ɦ u n a
ꠢꠥꠞꠂꠘ	ɦ u ɾ ɔ i n
ꠢꠥꠞꠥ	ɦ u ɾ u
ꠢꠥꠞꠥꠔꠣ	ɦ u ɾ u t̪ a
ꠢꠦ	h e ˦
