A	ʔ aː ˧˧
Cà Ná	k aː ˦˩ n aː ˨˩˦
Các	k aː k̚ ˦˧˥
Các Thánh	k aː k̚ ˦˧˥ tʰ ɛ ɲ ˦˧˥
Cách mạng Tháng Tám	k a t̚ ˦˧˥ m aː ŋ ˨˩ ʔ tʰ aː ŋ ˦˧˥ t aː m ˦˧˥
Cái Bè	k aː j ˨˩˦ ʔ ɓ ɛ ˦˩
Cái Răng	k aː j ˨˩˦ ʐ a ŋ ˧˧
Cân Xứng	k ə ŋ ˧˧ s ɨ ŋ ˦˧˥
Công Nguyên	k ə w ŋ͡m ˧˧ ŋ w i ə ŋ ˧˧
Công Tăng	k ə w ŋ͡m ˧˧ t a ŋ ˧˧
Công giáo	k ə w ŋ͡m ˧˧ j aː w ˨˩˦
Cường	k ɨ ə ŋ ˦˩
Cảng Thơm	k aː ŋ ˧˨ tʰ əː m ˧˧
Cấn	k ə ŋ ˦˧˥
Cần	k ə ŋ ˦˩
Cần Giờ	k ə ŋ ˦˩ j əː ˦˩
Cần Thơ	k ə ŋ ˦˩ tʰ əː ˧˧
Cần Vương	k ə ŋ ˦˩ v ɨ ə ŋ ˧˧
Cầu	k ə w ˦˩
Cầu Giấy	k ə w ˦˩ j ə j ˨˩˦
Cầu Đỏ	k ə w ˦˩ ʔ ɗ ɔ ˧˨
Cận Đông	k ə ŋ ˨˩ ʔ ʔ ɗ ə w ŋ͡m ˧˧
Cứu Thế Quân	k ɨ w ˨˩˦ tʰ e j ˨˩˦ k w ə ŋ ˧˧
Cửu Chân	k ɨ w ˧˨ t͡ɕ ə ŋ ˧˧
Cửu Long	k ɨ w ˧˨ l a w ŋ͡m ˧˧
Cửu Long	k ɨ w ˧˨ l ɔ ŋ ˧˧
Cựu Kim Sơn	k ɨ w ˨˩ ʔ k i m ˧˧ s əː ŋ ˧˧
Cựu Kim Sơn	k ɨ w ˨˩ ʔ k i m ˧˧ ʂ əː ŋ ˧˧
Cựu Thế Giới	k ɨ w ˨˩ ʔ tʰ e j ˨˩˦ j əː j ˨˩˦
Cựu Đường thư	k ɨ w ˨˩ ʔ ʔ ɗ ɨ ə ŋ ˦˩ tʰ ɨ ˧˧
Cựu Ước	k ɨ w ˨˩ ʔ ʔ ɨ ə k̚ ˦˧˥
D	j e j ˧˧
D	j əː ˦˩
D	ʔ ɗ e j ˧˧
Da Đỏ	j aː ˧˧ ʔ ɗ ɔ ˧˨
Dao	j aː w ˧˧
Davao	ʔ ɗ aː ˨˩˦ v aː w ˧˧
Di Lặc	j ɪ j ˧˧ l a k̚ ˨˩ ʔ
Diêm Vương	j i ə m ˧˧ v ɨ ə ŋ ˧˧
Diêm Vương tinh	j i ə m ˧˧ v ɨ ə ŋ ˧˧ t ɨ n ˧˧
Diên	j i ə ŋ ˧˧
Diên Biên	j i ə ŋ ˧˧ ʔ ɓ i ə ŋ ˧˧
Diến Điện	j i ə ŋ ˦˧˥ ʔ ɗ i ə ŋ ˨˩ ʔ
Diễn	j i ə ŋ ˧˨
Diệp	j i ə p̚ ˨˩ ʔ
Diệu	j i w ˨˩ ʔ
Do Thái	j ɔ ˧˧ tʰ aː j ˨˩˦
Do Thái giáo	j ɔ ˧˧ tʰ aː j ˨˩˦ j aː w ˨˩˦
Do Thái phục quốc	j ɔ ˧˧ tʰ aː j ˨˩˦ f ʊ w k͡p̚ ˨˩ ʔ k u ə k̚ ˦˧˥
Doãn	j w aː ŋ ˧˨
Du	j ʊ w ˧˧
Dung	j ʊ w ŋ͡m ˧˧
Dàng	j aː ŋ ˦˩
Dân quân tự vệ	j ə ŋ ˧˧ k w ə ŋ ˧˧ t ɨ ˨˩ ʔ v e j ˨˩ ʔ
Dân số kí	j ə ŋ ˧˧ s o w ˨˩˦ k ɪ j ˨˩˦
Dân số kí	j ə ŋ ˧˧ ʂ o w ˨˩˦ k ɪ j ˨˩˦
Dêu	j e w ˧˧
Dòng Tên	j a w ŋ͡m ˦˩ t e n ˧˧
Dòng Tên	j ɔ ŋ ˦˩ t e n ˧˧
Dần	j ə ŋ ˦˩
Dớt	j əː k̚ ˦˧˥
E	ʔ ɛ ˧˧
EU	ʔ ɛ ˧˧ ʔ ʊ w ˧˧
FA	ʔ ɛ p̚ ˦˧˥ ʔ aː ˧˧
Facebook	f ə j ˧˧ ʔ ɓ ʊ w k͡p̚ ˦˧˥
Fansipan	f aː ŋ ˧˧ s ɪ j ˧˧ p a ŋ ˧˧
Fêlix	f e j ˧˧ l ɨ t̚ ˦˧˥
G	j e j ˧˧
G	ɣ əː ˦˩
GATO	ɣ aː ˧˧ t o w ˧˧
GPHĐ	j ə j ˨˩˦ f ɛ p̚ ˦˧˥ h w aː k̚ ˨˩ ʔ ʔ ɗ ə w ŋ͡m ˨˩ ʔ
Gia	j aː ˧˧
Gia Hưng	j aː ˧˧ h ɨ ŋ ˧˧
Gia Lai	j aː ˧˧ l aː j ˧˧
Gia Lâm	j aː ˧˧ l ə m ˧˧
Gia Nghĩa	j aː ˧˧ ŋ i ə ˧˨
Gia Nã Đại	j aː ˧˧ n aː ˧˨ ʔ ɗ aː j ˨˩ ʔ
Gia Rai	j aː ˧˧ ʐ aː j ˧˧
Gia Tô	j aː ˧˧ t o w ˧˧
Gia Định	j aː ˧˧ ʔ ɗ ɨ n ˨˩ ʔ
Gianh	j ɛ ɲ ˧˧
Giao Chỉ	j aː w ˧˧ t͡ɕ ɪ j ˧˨
Giao Chỉ Chi Na	j aː w ˧˧ t͡ɕ ɪ j ˧˨ t͡ɕ ɪ j ˧˧ n aː ˧˧
Gioan Baotixita	j w aː ŋ ˧˧ ʔ ɓ aː w ˧˧ t ɪ j ˧˧ s ɪ j ˧˧ t aː ˧˧
Giu ba	j ʊ w ˧˧ ʔ ɓ aː ˧˧
Giuliô	j ʊ w ˧˧ l ɪ j ˧˧ ʔ o w ˧˧
Giuđa	j ʊ w ˧˧ ʔ ɗ aː ˧˧
Giuđa Ítcariốt	j ʊ w ˧˧ ʔ ɗ aː ˧˧ ʔ i t̚ ˦˧˥ k aː ˧˧ ɹ ɪ j ˧˧ ʔ o k̚ ˦˧˥
Giàu	j a w ˦˩
Giáng sinh	j aː ŋ ˦˧˥ s ɨ n ˧˧
Giáng sinh	j aː ŋ ˦˧˥ ʂ ɨ n ˧˧
Giáng sinh vui vẻ	j aː ŋ ˦˧˥ s ɨ n ˧˧ v u j ˧˧ v ɛ ˧˨
Giáng sinh vui vẻ	j aː ŋ ˦˧˥ ʂ ɨ n ˧˧ v u j ˧˧ v ɛ ˧˨
Giáo hội Công giáo	j aː w ˨˩˦ h o j ˨˩ ʔ k ə w ŋ͡m ˧˧ j aː w ˨˩˦
Giáp	j aː p̚ ˦˧˥
Giáp Thìn	j aː p̚ ˦˧˥ tʰ i n ˦˩
Giáp xác	j aː p̚ ˦˧˥ s aː k̚ ˦˧˥
Giáy	j a j ˨˩˦
Giêsu Maria	j e j ˧˧ s ʊ w ˧˧ m aː ˧˧ ʐ ɪ j ˧˧ ʔ aː ˧˧
Giêsu Maria	j e j ˧˧ ʂ ʊ w ˧˧ m aː ˧˧ ʐ ɪ j ˧˧ ʔ aː ˧˧
Gióp	j ɔ p̚ ˦˧˥
Giăng	j a ŋ ˧˧
Giẻ Triêng	j ɛ ˧˨ ʈ i ə ŋ ˧˧
Giỏi	j ɔ j ˧˨
Google	ɣ ʊ w ˧˧ ɣ o w ˦˩
Grêgôriô	ɹ e j ˧˧ ɣ o w ˧˧ ɹ ɪ j ˧˧ ʔ o w ˧˧
Guốc chẵn	ɣ u ə k̚ ˦˧˥ t͡ɕ a ŋ ˧˨
Guốc lẻ	ɣ u ə k̚ ˦˧˥ l ɛ ˧˨
Gò Sặt	ɣ ɔ ˦˩ s a k̚ ˨˩ ʔ
Gò Sặt	ɣ ɔ ˦˩ ʂ a k̚ ˨˩ ʔ
Gò Vấp	ɣ ɔ ˦˩ v ə p̚ ˦˧˥
Gạo	ɣ aː w ˨˩ ʔ
Gặm nhấm	ɣ a m ˨˩ ʔ ɲ ə m ˦˧˥
H	h a k̚ ˦˧˥
H	h aː k̚ ˦˧˥
H	h əː ˦˩
H'Mông	h əː ˦˩ m ə w ŋ͡m ˧˧
H'Mông	h əː ˧˧ m ə w ŋ͡m ˧˧
Hai Bà Trưng	h aː j ˧˧ ʔ ɓ aː ˦˩ ʈ ɨ ŋ ˧˧
Hi Lạp	h ɪ j ˧˧ l aː p̚ ˨˩ ʔ
Hi Lạp cổ đại	h ɪ j ˧˧ l aː p̚ ˨˩ ʔ k o w ˧˨ ʔ ɗ aː j ˨˩ ʔ
Hi Mã Lạp Sơn	h ɪ j ˧˧ m aː ˧˨ l aː p̚ ˨˩ ʔ s əː ŋ ˧˧
Hi Mã Lạp Sơn	h ɪ j ˧˧ m aː ˧˨ l aː p̚ ˨˩ ʔ ʂ əː ŋ ˧˧
Hilariô	h ɪ j ˧˧ l aː ˧˧ ɹ ɪ j ˧˧ ʔ o w ˧˧
Hiến	h i ə ŋ ˦˧˥
Hiếu	h i w ˨˩˦
Hiếu Kinh	h i w ˨˩˦ k ɨ n ˧˧
Hiền	h i ə ŋ ˦˩
Hiển	h i ə ŋ ˧˨
Hiệp	h i ə p̚ ˨˩ ʔ
Hiệu	h i w ˨˩ ʔ
Hoa	h w aː ˧˧
Hoa Kì	h w aː ˧˧ k ɪ j ˦˩
Hoa Lang	h w aː ˧˧ l aː ŋ ˧˧
Hoa Liên	h w aː ˧˧ l i ə ŋ ˧˧
Hoa Lệ Ước	h w aː ˧˧ l e j ˨˩ ʔ ʔ ɨ ə k̚ ˦˧˥
Hoa Thịnh Đốn	h w aː ˧˧ tʰ ɨ n ˨˩ ʔ ʔ ɗ o ŋ ˦˧˥
Hoa Vi	h w aː ˧˧ v ɪ j ˧˧
Hoa kiều	h w aː ˧˧ k i w ˦˩
Hoa lục	h w aː ˧˧ l ʊ w k͡p̚ ˨˩ ʔ
Hoa ngữ	h w aː ˧˧ ŋ ɨ ˧˨
Hoa văn	h w aː ˧˧ v a ŋ ˧˧
Hoa Đông	h w aː ˧˧ ʔ ɗ ə w ŋ͡m ˧˧
Hoà	h w aː ˦˩
Hoà Bình	h w aː ˦˩ ʔ ɓ ɨ n ˦˩
Hoà Cường	h w aː ˦˩ k ɨ ə ŋ ˦˩
Hoà Hảo	h w aː ˦˩ h aː w ˧˨
Hoà chế Hán ngữ	h w aː ˦˩ t͡ɕ e j ˨˩˦ h aː ŋ ˦˧˥ ŋ ɨ ˧˨
Hung	h ʊ w ŋ͡m ˧˧
Hy Lạp	h ɪ j ˧˧ l aː p̚ ˨˩ ʔ
Hyginô	h ɪ j ˧˧ j ɪ j ˧˧ n o w ˧˧
Hà	h aː ˦˩
Hà Bắc	h aː ˦˩ ʔ ɓ a k̚ ˦˧˥
Hà Giang	h aː ˦˩ j aː ŋ ˧˧
Hà Lan	h aː ˦˩ l aː ŋ ˧˧
Hà Liên	h aː ˦˩ l i ə ŋ ˧˧
Hà Lội	h aː ˦˩ l o j ˨˩ ʔ
Hà Nam	h aː ˦˩ n aː m ˧˧
Hà Nhì	h aː ˦˩ ɲ ɪ j ˦˩
Hà Nội	h aː ˦˩ n o j ˨˩ ʔ
Hà Tiên	h aː ˦˩ t i ə ŋ ˧˧
Hà Trung	h aː ˦˩ ʈ ʊ w ŋ͡m ˧˧
Hà Tĩnh	h aː ˦˩ t ɨ n ˧˨
Hà thành	h aː ˦˩ tʰ ɛ ɲ ˦˩
Hình Thiên	h ɨ n ˦˩ tʰ i ə ŋ ˧˧
Hình nhện	h ɨ n ˦˩ ɲ e n ˨˩ ʔ
Hòn Vọng Phu	h ɔ ŋ ˦˩ v a w ŋ͡m ˨˩ ʔ f ʊ w ˧˧
Hòn Vọng Phu	h ɔ ŋ ˦˩ v ɔ ŋ ˨˩ ʔ f ʊ w ˧˧
Hưng	h ɨ ŋ ˧˧
Hưng Yên	h ɨ ŋ ˧˧ ʔ i ə ŋ ˧˧
Hương	h ɨ ə ŋ ˧˧
Hương Cảng	h ɨ ə ŋ ˧˧ k aː ŋ ˧˨
Hương Khê	h ɨ ə ŋ ˧˧ kʰ e j ˧˧
Hương Sơn	h ɨ ə ŋ ˧˧ s əː ŋ ˧˧
Hương Sơn	h ɨ ə ŋ ˧˧ ʂ əː ŋ ˧˧
Hường	h ɨ ə ŋ ˦˩
Hạ	h aː ˨˩ ʔ
Hạ Lan	h aː ˨˩ ʔ l aː ŋ ˧˧
Hạ Long	h aː ˨˩ ʔ l a w ŋ͡m ˧˧
Hạ Long	h aː ˨˩ ʔ l ɔ ŋ ˧˧
Hạ Môn	h aː ˨˩ ʔ m o ŋ ˧˧
Hạ Uy Di	h aː ˨˩ ʔ ʔ w ɪ j ˧˧ j ɪ j ˧˧
Hết	h e t̚ ˦˧˥
Hố Nai	h o w ˨˩˦ n aː j ˧˧
Hồ	h o w ˦˩
Hồ Bắc	h o w ˦˩ ʔ ɓ a k̚ ˦˧˥
Hồ Chí Minh	h o w ˦˩ t͡ɕ ɪ j ˨˩˦ m ɨ n ˧˧
Hồ Gươm	h o w ˦˩ ɣ ɨ ə m ˧˧
Hồ Nam	h o w ˦˩ n aː m ˧˧
Hồi Quốc	h o j ˦˩ k u ə k̚ ˦˧˥
Hồi giáo	h o j ˦˩ j aː w ˨˩˦
Hồi quốc	h o j ˦˩ k u ə k̚ ˦˧˥
Hổ Cáp	h o w ˧˨ k aː p̚ ˦˧˥
Hội An	h o j ˨˩ ʔ ʔ aː ŋ ˧˧
Hội Tam Điểm	h o j ˨˩ ʔ t aː m ˧˧ ʔ ɗ i ə m ˧˨
Hội đồng Bảo an Liên Hiệp Quốc	h o j ˨˩ ʔ ʔ ɗ ə w ŋ͡m ˦˩ ʔ ɓ aː w ˧˨ ʔ aː ŋ ˧˧ l i ə ŋ ˧˧ h i ə p̚ ˨˩ ʔ k u ə k̚ ˦˧˥
Hứa	h ɨ ə ˨˩˦
I	ʔ ɪ j ˧˧
I	ʔ ɪ j ˧˧ ŋ a ŋ ˦˧˥
I Rắc	ʔ ɪ j ˧˧ ʐ a k̚ ˦˧˥
Inhaxiô	ʔ ɪ j ˧˧ ɲ aː ˧˧ s ɪ j ˧˧ ʔ o w ˧˧
Isave	ʔ ɪ j ˧˧ s aː ˧˧ v ɛ ˧˧
Isave	ʔ ɪ j ˧˧ ʂ aː ˧˧ v ɛ ˧˧
Jakarta	j aː ˧˧ k aː k̚ ˦˧˥ t aː ˧˧
Jêsus	j e j ˧˧ s ʊ w ˧˧
K	k aː ˧˧
Khe Sanh	kʰ ɛ ˧˧ s ɛ ɲ ˧˧
Khe Sanh	kʰ ɛ ˧˧ ʂ ɛ ɲ ˧˧
Khăn Đỏ	kʰ a ŋ ˧˧ ʔ ɗ ɔ ˧˨
Khương	kʰ ɨ ə ŋ ˧˧
Kim	k i m ˧˧
Kim Bình Mai	k i m ˧˧ ʔ ɓ ɨ n ˦˩ m aː j ˧˧
Kim Liên	k i m ˧˧ l i ə ŋ ˧˧
Kim Môn	k i m ˧˧ m o ŋ ˧˧
Kim Ngưu	k i m ˧˧ ŋ ɨ w ˧˧
Kim Nhật Thành	k i m ˧˧ ɲ ə k̚ ˨˩ ʔ tʰ ɛ ɲ ˦˩
Kim Song Trường	k i m ˧˧ s ɔ ŋ ˧˧ ʈ ɨ ə ŋ ˦˩
Kim Song Trường	k i m ˧˧ ʂ a w ŋ͡m ˧˧ ʈ ɨ ə ŋ ˦˩
Kim cương thừa	k i m ˧˧ k ɨ ə ŋ ˧˧ tʰ ɨ ə ˦˩
Kim tinh	k i m ˧˧ t ɨ n ˧˧
Kinh	k ɨ n ˧˧
Kinh Dịch	k ɨ n ˧˧ j ɨ t̚ ˨˩ ʔ
Kinh Lễ	k ɨ n ˧˧ l e j ˧˨
Kinh Thi	k ɨ n ˧˧ tʰ ɪ j ˧˧
Kinh Thánh	k ɨ n ˧˧ tʰ ɛ ɲ ˦˧˥
Kinh Thư	k ɨ n ˧˧ tʰ ɨ ˧˧
Kinh Xuân Thu	k ɨ n ˧˧ s w ə ŋ ˧˧ tʰ ʊ w ˧˧
Kinh Đô	k ɨ n ˧˧ ʔ ɗ o w ˧˧
Kiên	k i ə ŋ ˧˧
Kiên Giang	k i ə ŋ ˧˧ j aː ŋ ˧˧
