't	t
Brudder	b ʀ u d e ʀ
Bräi	b ʀ æ i̯
Bräit	b r æ i̯ t
Bränn	b r æ n
Bréch	b ʀ e χ
Bréck	b r e k
Bréif	b ʀ e i̯ f
Bréifdréier	b ʁ ɜ ɪ̯ v d ʁ ɜ ɪ̯ ɐ
Bréifkëscht	b ʀ e i̯ f k e ʃ t
Bréissel	b r e i̯ s e l
Brëll	b r e l
Brëscht	b ʀ ə ʃ t
Brëtsch	b ʀ e t ʃ
Buch	b u χ
Buedduch	b u e̯ t d u χ
Buedem	b u e̯ d e m
Buedzëmmer	b u e̯ t t s e m e ʀ
Buer	b uː r
Buerg	b u e̯ χ
Buergermeeschter	b u e̯ ʁ e r m eː ʃ t e r
Buet	b u e̯ t
Bugger	b u ɡ e ʀ
Bull	b u l
Bulli	b u l i
Bunn	b u n
Bus	b u s
Buschauffeur	b uː s ʃ oː f ɐ
Buschtaf	b u ʃ t aː f
Busgare	b u s ɡ aː ʀ
Buttek	b u t e k
Buuscht	b uː ʃ t
Bäcker	b æ k e ʀ
Bäckeschdosen	b æ k e ʃ d o z e n
Bäileed	b æ i̯ l eː t
Bäll	b æ l
Bänk	b æ ŋ k
Béchs	b e k s
Béi	b e i̯
Béifchen	b e i̯ f χ e n
Bëbee	b e b eː
Bësch	b e ʃ
Bëschof	b e ʃ oː f
Bëss	b e s
Bëtong	b e t o ŋ
Cabillaud	k a b i j o
Cale	k a l
Capellen	k ɑ p æ l ə n
Capot	k a p o
Case	k aː s
Chamber	ʃ ã b e r
Champignon	ʃ ã p i n j õ
Chancëgläichheet	ʃ ã s e ɡ l æ i̯ ɕ h eː t
Chantage	ʃ ã t aː ʃ
Charakter	k a ʀ a k t e ʀ
Chauffer	ʃ oː f e r
Chauffersflucht	ʃ oː f e ʀ s f l u χ t
Chauffeur	ʃ oː f ø r
Chef	ʃ æ f
Chimie	ʃ i m i
Chlor	k l oː r
Choix	ʃ v a
Choufleur	ʃ uː f l øː e ʀ
Christus	k ʀ i s t u s
Chrëschtdag	k ʀ e ʃ t d aː χ
Chrëschtentum	k ʀ e ʃ t e n t uː m
Chômage	ʃ oː m aː ʃ
Collaboratioun	k o l a b o ʀ a t s j e u̯ n
Comptoir	k õ t v aː ʀ
Computer	k o m p j uː t e ʀ
Constitutioun	k o n s t i t u t s j e u̯ n
Cours	k uː r
Coursen	k uː r e n
Cricket	k ʀ i k e t
Da	d a
Daach	d aː χ
Daachliicht	d aː χ l iː χ t
Daachzill	d aː χ t͡s i l
Daarm	d aː ʀ m
Dachs	d a k s
Daf	d aː f
Dafheet	d aː f h eː t
Dag	d aː χ
Daimchen	d a i̯ m χ e n
Damm	d a m
Damp	d a m p
Danz	d a n s
Dapp	d a p
Dar	d aː ʀ
Dattel	d a t e l
Datz	d a t s
Dauer	d a u̯ e ʀ
Dauf	d a u̯ f
Deckel	d æ k e l
Deckelsmouk	d æ k e l s m e u̯ k
Decken	d æ k e n
Deeg	d eː χ
Deel	d eː l
Dekorateur	d e k o ʁ ɑ t øː ɐ̯
Denn	d æ n
Dezember	d e t s æ m b e ʀ
Diamant	d i a m a n t
Dicher	d i ɕ ɐ
Dichter	d i χ t e ʀ
Dictionnaire	d i k s j o n eː r
Dictionnairen	d i k s j o n eː r e n
Diddeleng	d i d e l e ŋ
Dier	d iː r
Dierfer	d i e̯ f e r
Digel	d i ʁ e l
Dikrech	d i k ʀ e χ
Dill	d i l
Dimmer	d i m e r
Dir	d iː r
Distanz	d i s t ɑ n t͡s
Diwwi	d i v i
Do	d o
Doft	d o f t
Doheem	d o h eː m
Dokter	d o k t e ʀ
Dolmetscher	d o l m æ t͡ʃ ɐ
Doloun	d oː l e u̯ n
Doléiner	d oː l e i̯ n e r
Dommheet	d o m h eː t
Donkelheet	d o ŋ k e l h eː t
Donner	d o n e r
Donst	d o n s t
Dosen	d o z e n
Dosen	d oː z e n
Dossier	d o s j eː
Dot	d oː t
Dott	d o t
Doud	d e u̯ t
Doudegriewer	d ə ʊ̯ d ə ɡ ʁ i ə̯ v ɐ
Doudekapp	d e u̯ d e k a p
Doudesaffer	d e u̯ d e s a f e r
Doudewon	d e u̯ d e v oː n
Doum	d e u̯ m
Draach	d ʀ aː χ
Dram	d ʀ aː m
Drauf	d r a u̯ f
Drauwejus	d ʀ a u̯ v e ʒ y
Dreck	d ʀ æ k
Dreschmaschinn	d ʁ æ ʃ m ɑ ʃ i n
Drill	d ʀ i l
Drilling	d ʀ i l i ŋ
Drog	d ʀ oː k
Drog	d ʀ oː χ
Droit	d ʀ v a
Drot	d ʀ oː t
Dräieck	d r æ i̯ æ k
Dräikinneksdag	d ʀ æ i̯ k i n e k s d aː χ
Dräisprong	d ʀ æ i̯ ʃ p ʀ o ŋ
Dränk	d ʀ æ ŋ k
Dréchent	d ʀ e χ e n t
Drécker	d ʀ e k e ʀ
Dréi	d ʀ e i̯
Dréibänk	d ʀ e i̯ b æ ŋ k
Dréischel	d ʀ e i̯ ʃ e l
Dréit	d ʀ e i̯ t
Drëpp	d ʀ ə p
Drëps	d ʀ e p s
Drüs	d ʁ yː s
Duch	d u χ
Duddelsak	d u d e l z aː k
Duechter	d u e̯ χ t e ʀ
Dueder	d u e̯ d e ʀ
Duercherneen	d u e̯ χ e ʀ n eː n
Duerchmiesser	d u ə̯ ɕ m i ə̯ s ɐ
Duerf	d u e̯ f
Dugend	d uː ʁ e n t
Dunn	d u n
Dusch	d u ʃ
Duuscht	d uː ʃ t
Dystopie	d i s t o p iː
Däich	d æ i̯ χ
Däischtert	d æ i̯ ʃ t e ʀ t
Däitsch	d æ i̯ t ʃ
Däitschen	d æ i̯ t ʃ e n
Däitschland	d æ i̯ t ʃ l a n t
Däiwel	d æ i̯ v e l
Dänemark	d æː n e m a ʀ k
Dänn	d æ n
Dännemees	d æ n e m eː s
Däreldéier	d eː ʀ e l d e i̯ e ʀ
Déckt	d e k t
Déier	d e i̯ e ʀ
Déif	d e i̯ f
Déifferdeng	d e i̯ f e ʀ d e ŋ
Déift	d e i̯ f t
Déngen	d e ŋ e n
Dénger	d e ŋ e ʀ
Déngscht	d e ŋ ʃ t
Dëll	d e l
Dëlpes	d ə l p e s
Dësch	d e ʃ
Dëschelduch	d e ʃ e l d u χ
Dëschtel	d e ʃ t e l
Dëschtennis	d e ʃ t æ n i s
E	e
E	eː
E	æ
E	ə
Eck	æ k
Eckzant	æ k t s a n t
Educatioun	eː d y k a t s j e u̯ n
Ee	eː
Eech	eː χ
Eechel	eː χ e l
Eed	eː t
Eedem	eː d e m
Eedemen	eː d e m e n
Eefeu	eː f ɔ ɪ
Eegennumm	eː ʁ e n n u m
Eegiel	eː ɡ i e̯ l
Eemer	eː m e ʀ
Eenhar	eː n h aː ʀ
Eesch	eː ʃ
Eescht	eː ʃ t
Eess	eː s
Eeter	eː t e ʀ
Eewäiss	eː v æ i̯ s
Eeër	eː e r
Eeërschuel	e e ʀ ʃ u e̯ l
Eeërstack	e e ʀ ʃ t a k
Ekipp	eː k i p
Ekipp	æ k i p
Elaboratioun	eː l a b o ʀ a t s j e u̯ n
Elch	æ l χ
Elefant	e l e f a n t
Elektriker	e l æ k t ʁ i k ɐ
Elfebeen	æ l f e b eː n
Els	æ l s
Elteren	æ l t e ʀ e n
Elterenhaus	æ l t e ʀ e n h æ u̯ s
Email	e m a i̯
Email	eː m a i̯
Emissioun	eː m i s j e u̯ n
England	æ ŋ l a n t
Englesch	æ ŋ l e ʃ
Englänner	æ ŋ l æ n e ʀ
Enkel	æ ŋ k e l
Enkelin	æ ŋ k e l i n
Enn	æ n
Entschloss	æ n t ʃ l o s
Entwécklung	æ n t v e k l u ŋ
Entwécklungshëllef	æ n t v e k l u ŋ s h ə l ə f
Enveloppe	ã v e l o p
Enveloppe	ã v l o p
Epicier	e p i s j eː
Epidemie	e p i d e m iː
Epidemiolog	e p i d e m i o l oː k
Epidemiologie	e p i d e m i o l o ɡ iː
Erbaarmen	e ʀ b aː ʀ m e n
Erfolleg	e r f o l e χ
Erfolleger	e r f o l e ʁ e r
Erzéiung	e ʀ t s e i̯ u ŋ
Erëffnung	e ʀ e f n u ŋ
Erënnerung	e ʀ e n e ʀ u ŋ
Esseg	æ s e χ
Estland	æ s t l a n t
Etapp	e t a p
Etapp	eː t a p
Ettelbréck	æ t e l b r e k
Etude	eː t yː t
Exploitatioun	æ k s p l v a t a t s j e u̯ n
Faarf	f aː r f
Faart	f aː ʀ t
Faaschtenzäit	f aː ʃ t e n t s æ i̯ t
Faass	f aː s
Fach	f a χ
Fahrlehrer	f aː ʀ l eː ʀ e ʀ
Fakel	f aː k e l
Fal	f aː l
Fall	f a l
Fallek	f a l e k
Famill	f a m i l
Fanger	f a ŋ e ʀ
Fangernol	f a ŋ e ʀ n oː l
Fangerspëtz	f a ŋ e ʀ ʃ p e t s
Far	f aː ʀ
Fascht	f a ʃ t
Fassad	f a s aː t
Faszinatioun	f a s t s i n a t s j e u̯ n
Fatz	f a t s
Fauscht	f æ u̯ ʃ t
Fee	f eː
Feeler	f eː l e ʀ
Feescht	f eː ʃ t
Feierblumm	f a i̯ e ʀ b l u m
Feierdag	f a i̯ e ʀ d aː χ
Feigling	f ɑ ɪ̯ ʑ l i ŋ
Feil	f a i̯ l
Feind	f a i̯ n t
Feld	f æ l t
Feldhong	f æ l t h o ŋ
Fenneg	f æ n e χ
Feuter	f øː t e ʀ
Fichier	f i ʃ j e
Fieder	f i e̯ d e r
Fiederball	f i e̯ d e ʀ b a l
Fiels	f i e̯ l s
Fierkel	f i e̯ k e l
Fierschter	f i e̯ ʀ ʃ t e ʀ
Fies	f i e̯ s
Fiffi	f i f i
Fig	f iː k
Figebam	f iː ɡ e b aː m
Figur	f i ɡ uː ʀ
Fiicht	f iː χ t
Fiichtegkeet	f iː χ t e χ k eː t
Fiischt	f iː ʃ t
Fillen	f i l e n
Fils	f i s
Filssen	f i s e n
Filz	f i l s
Filzstëft	f i l s ʃ t e f t
Finn	f i n
Fisemreen	f i z e m ʀ eː n
Fitteng	f i t æ ŋ
Fixfeier	f i k s f a i̯ e ʀ
Fixspoun	f i k s ʃ p e u̯ n
Fixspéin	f i k s ʃ p ɜ ɪ̯ n
Flack	f l a k
Flam	f l aː m
Flanell	f l a n æ l
Flank	f l a ŋ k
Flapp	f l a p
Fleck	f l æ k
Fleegeheem	f l eː ʁ e h eː m
Fleel	f l eː l
Fleesch	f l eː ʃ
Flic	f l i k
Flich	f l i ɕ
Flicht	f l i χ t
Fliedermaus	f l i e̯ d e ʀ m æ u̯ s
Fligel	f l i ʁ e l
Fliger	f l iː ʁ e ʀ
Fliicht	f l iː χ t
Flillek	f l i l e k
Flom	f l oː m
Floss	f l o s
Flott	f l o t
Flou	f l e u̯
Flouer	f l e u̯ e ʀ
Flouernumm	f l e u̯ e ʀ n u m
Floumaart	f l e u̯ m aː ʀ t
Fluch	f l u χ
Fluchfeld	f l u χ f æ l t
Fluchgesellschaft	f l u χ ɡ ə z æ l ʃ a f t
Flued	f l u e̯ t
Fluess	f l u e̯ s
Fluesssom	f l u e̯ s z oː m
Fläch	f l æ χ
Flächen	f l æ ɕ ə n
Fläiss	f l æ i̯ s
Fläsch	f l æ ʃ
Fléck	f l e k
Fléi	f l e i̯
Fléimouk	f l e i̯ m e u̯ k
Fléiwel	f l e ɪ̯ v ə l
Flënt	f l e n t
Flëss	f l ə s
Folleg	f o l e χ
Fong	f o ŋ
Fonk	f o ŋ k
Force	f o ʀ s
Forchette	f o r ʃ æ t
Forschett	f o r ʃ æ t
Fotell	f oː t æ l
Fou	f e u̯
Fouss	f o u̯ s
Foussbäll	f ə ʊ̯ z b æ l
Foussgänger	f e u̯ s ɡ æ ŋ e ʀ
Foussnout	f e u̯ s n e u̯ t
Fousssuel	f e u̯ s z u e̯ l
Fra	f r aː
Frachtschëff	f ʀ a χ t ʃ e f
Frack	f r a k
Frang	f ʀ ɑ ŋ
Frankräich	f ʀ a ŋ k ʀ æ i̯ χ
Frascht	f ʀ a ʃ t
Frechheet	f ʀ æ χ h eː t
Freed	f ʀ eː t
Frell	f ʀ æ l
Fridden	f ʀ i d e n
Fritt	f ʀ i t
Fritten	f ʀ i t e n
Fro	f ʀ o
Frooss	f ʀ oː s
Frust	f ʀ u s t
Fruucht	f ʀ uː χ t
Fräsch	f r æ ʃ
Fréijoer	f r e i̯ j oː e r
Frënd	f ʀ e n t
Fudder	f u d e ʀ
Fuedem	f u e̯ d e m
Fuer	f uː ʀ
Fuererflucht	f uː ʀ e ʀ f l u χ t
Fuerplang	f uː ʀ p l a ŋ
Fuerz	f u e̯ t s
Fuite	f v i t
Fuuss	f uː s
Fächer	f æ χ e r
Fähr	f eː ʀ
Fäil	f æ i̯ l
Fäischt	f æ i̯ ʃ t
Fändel	f æ n d e l
Féiss	f e i̯ s
Féiwer	f e i̯ v e r
Fënnefeck	f e n e f æ k
Fënnefecker	f e n e f æ k e r
Fënster	f e n s t e r
Fësch	f e ʃ
Fëscher	f e ʃ e ʀ
Gaalgen	ɡ aː l ʁ e n
Gaardeboun	ɡ aː ʀ d e b e u̯ n
Gaarf	ɡ aː ʀ f
Gaascht	ɡ aː ʃ t
Gaass	ɡ aː s
Gafel	ɡ aː f e l
Gal	ɡ aː l
Gamm	ɡ a m
Gang	ɡ a ŋ
Gank	ɡ a ŋ k
Gar	ɡ aː r
Gare	ɡ aː r
Gas	ɡ aː s
Gebai	ɡ e b a i̯
Gebeess	ɡ e b eː s
Gebiet	ɡ e b i e̯ t
Gebitt	ɡ e b i t
Gebot	ɡ e b oː t
Gebuert	ɡ e b uː ʀ t
Geck	ɡ æ k
Gedanken	ɡ e d a ŋ k e n
Gediechtnes	ɡ e d i e̯ χ t n e s
Gedold	ɡ e d o l t
Geescht	ɡ eː ʃ t
Geeschter	ɡ eː ʃ t e ʀ
Geeschtlechen	ɡ eː ʃ t l e χ e n
Geeschtlechkeet	ɡ eː ʃ t l e χ k eː t
Geess	ɡ eː s
Geessebock	ɡ eː s e b o k
Gefaach	ɡ e f aː χ
Gefier	ɡ e f iː ʀ
Gefill	ɡ e f i l
Gefisems	ɡ e f i z e m s
Gefor	ɡ e f oː r
Gefäll	ɡ e f æ l
Gehacktes	ɡ e h a k t e s
Geheechnes	ɡ e h eː χ n e s
Geheimnis	ɡ e h a i̯ m n i s
Gehier	ɡ e h iː r
Gei	ɡ a i̯
Gel	ʒ æ l
Geld	ɡ æ l t
Gellecht	ɡ æ l e χ t
Gelänner	ɡ ə l æ n ɐ
Gemeng	ɡ e m æ ŋ
Gemitt	ɡ e m i t
Geméis	ɡ e m e i̯ s
Genereel	ʒ e n e ʀ eː l
Generol	ʒ e n e ʀ oː l
Genie	ʒ e n i
Genoss	ɡ e n o s
Gepëspers	ɡ e p e s p e ʀ s
Gerechtegkeet	ɡ e ʀ æ χ t e χ k eː t
Geriicht	ɡ e ʀ iː χ t
Geräisch	ɡ e ʀ æ i̯ ʃ
Geräischer	ɡ e ʀ æ i̯ ʃ e ʀ
Gerücht	ɡ e r y χ t
Gerüchter	ɡ e r y χ t e r
Geschenk	ɡ ə ʃ æ ŋ k
Geschicht	ɡ e ʃ i χ t
Geschlechtsverkéier	ɡ e ʃ l æ χ t s f e ʀ k e i̯ e ʀ
Geschmaach	ɡ e ʃ m aː χ
Geschäft	ɡ ə ʃ æ f t
Gesell	ɡ e z æ l
Gesetz	ɡ e z æ t s
Gesiicht	ɡ e z iː χ t
Gespier	ɡ ə ʃ p iː ʀ
Gespréich	ɡ e ʃ p ʀ e i̯ χ
Gestraich	ɡ e ʃ t ʀ a i̯ χ
Gestreits	ɡ e ʃ t ʀ a i̯ t s
Gewierz	ɡ e v i e̯ t s
Gewiicht	ɡ e v iː χ t
Gewunnecht	ɡ e v u n e χ t
Gewënn	ɡ e v e n
Gewëssen	ɡ e v e s e n
Gezei	ɡ e t s a i̯
Giedel	ɡ i e̯ d e l
Gierwer	ɡ i e̯ ʀ v e ʀ
Gierwerei	ɡ i e̯ v e ʀ a i̯
Gif	ɡ iː f
Giicht	ɡ iː χ t
Gipser	ɡ i p s ɐ
Giraff	ʒ i ʀ a f
Gitt	ɡ i t
Gittar	ɡ i t aː ʀ
Glace	ɡ l a s
Glaf	ɡ l aː f
Glanz	ɡ l a n s
Glas	ɡ l aː s
Glasbléiser	ɡ l aː z b l ɜ ɪ̯ z ɐ
Glatz	ɡ l a t s
Glawen	ɡ l aː v e n
Glidd	ɡ l i t
Glous	ɡ l e u̯ s
Gléck	ɡ l e k
Glëtsch	ɡ l e t ʃ
Glëtz	ɡ l e t s
Gnod	ɡ n oː t
Gof	ɡ oː f
Gol	ɡ oː l
Gold	ɡ o l t
Goldfësch	ɡ o l t f e ʃ
Golf	ɡ o l f
Gomm	ɡ o m
Gonscht	ɡ o n ʃ t
Goss	ɡ o s
Gott	ɡ o t
Goût	ɡ u
Graf	ɡ ʀ aː f
Grafschrëft	ɡ ʀ aː f ʃ ʀ e f t
Grafsteen	ɡ ʀ aː f ʃ t eː n
Gramm	ɡ ʀ a m
Granat	ɡ ʀ a n aː t
Granatapel	ɡ ʀ a n aː t aː p ə l
Grand	ɡ ʀ a n t
Grapp	ɡ ʀ a p
Gras	ɡ ʀ aː s
Graskaarp	ɡ ʀ aː s k aː ʀ p
Gravitatioun	ɡ ʀ a v i t a t s j e u̯ n
Gravitéit	ɡ ʀ a v i t e i̯ t
Greef	ɡ ʀ eː f
Grenz	ɡ ʁ æ n t͡s
Griich	ɡ ʀ iː χ
Griicheland	ɡ ʀ iː χ e l a n t
Griichesch	ɡ ʀ iː χ e ʃ
Grill	ɡ ʀ i l
Grimmel	ɡ ʀ i m e l
Gripp	ɡ ʀ i p
Grof	ɡ ʀ oː f
Gromees	ɡ ʀ oː m eː s
Gromper	ɡ ʀ o m p e ʀ
Gromperenzalot	ɡ ʀ o m p ə ʀ ə n t s ɑ l oː t
Gromperenzopp	ɡ ʀ o m p ə ʀ ə n t s o p
Grompereschiel	ɡ ʀ o m p ə ʀ ə ʃ i ə l
Grond	ɡ ʀ o n t
Grondel	ɡ ʀ o n d e l
Grott	ɡ ʀ o t
Grouf	ɡ ʀ e u̯ f
Grouss	ɡ ʀ e u̯ s
Groussmamm	ɡ ʀ e u̯ s m a m
Grousspapp	ɡ ʀ e u̯ s p a p
Gruef	ɡ r u e̯ f
Grupp	ɡ ʀ u p
Gréif	ɡ ʀ e i̯ f
Gréiwemaacher	ɡ ʀ e i̯ v e m aː χ e ʀ
Grëff	ɡ ʀ e f
Grënner	ɡ ʀ e n e ʀ
Grëtz	ɡ ʀ e t s
Guckuck	ɡ u k u k
Gued	ɡ u e̯ t
Gumm	ɡ u m
Gutt	ɡ u t
Gäertner	ɡ eː ʀ t n e ʀ
Gäipmännchen	ɡ æ i̯ p m æ n χ e n
Gäissel	ɡ æ i̯ s ə l
Gäiz	ɡ æ i̯ t s
Gäng	ɡ æ ŋ
Gäns	ɡ æ n s
Gänsen	ɡ æ n z ə n
Gäscht	ɡ æ ʃ t
Gässen	ɡ æ s e n
Géigend	ɡ e i̯ ʁ e n t
Géigner	ɡ e i̯ χ n e ʀ
Gëft	ɡ e f t
Gëtter	ɡ e t e r
Haaptfach	h aː p t f a χ
Haaptsaach	h aː p t z aː χ
Haaptstad	h aː p t ʃ t aː t
Haarz	h aː ʀ t s
Haass	h aː s
Hackernoss	h a k e ʀ n o s
Haff	h a f
Haifësch	h a i̯ f e ʃ
Haiser	h a i̯ z e r
Hait	h a i̯ t
Hal	h aː l
Hall	h a l
Hall	h o l
Hall	h oː l
Hallefnuecht	h a l e f n u e̯ χ t
Hallem	h a l e m
Hals	h a l s
Halschent	h a l ʃ e n t
Ham	h aː m
Hammel	h ɑ m ə l
Hamster	h a m s t e ʀ
Hand	h a n t
Handbrems	h a n t b ʀ æ m s
Handduch	h a n t d u χ
Handgelenk	h a n t ɡ e l æ ŋ k
Handlung	h a n t l u ŋ
Handy	h æ n d i
Handyen	h æ n d i e n
Hanf	h ɑ n f
Hank	h a ŋ k
Happ	h a p
Har	h aː ʀ
Hardenne	h ɑ ʁ d æ n
Harespel	h a ʀ æ s p e l
Harespel	h aː ʀ æ s p e l
Harf	h a r f
Hatt	h a t
Hauf	h a u̯ f
Hausdéier	h æ u̯ s d e i̯ e ʀ
Haut	h æ u̯ t
Hautdokter	h a u̯ t d o k t e ʀ
Hauwemees	h a u̯ v e m eː s
Heck	h æ k
Hee	h e
Heed	h eː t
Heel	h eː l
Heelung	h eː l u ŋ
Heem	h eː m
Heemecht	h eː m e χ t
Heemechtshaus	h eː m e χ t s h æ u̯ s
