A	a
Dâmbovița	d ɨ m b o v i t͡s a
E	e
E	j e
Egipt	e d͡ʒ i p t
Elisabetin	e l i s a b e t i n
Elveția	e l v e t͡s i a
Elveția	e l v e t͡s i j a
Estonia	e s t o n i a
Estonia	e s t o n i j a
Europa	e u r o p a
Eurovision	e u r o v i z i o n
F	f
FMI	f e m e i
Fetești	f e t e ʃ tʲ
Fiji	f i d͡ʒ i
Florența	f l o r e n t͡s a
Florescu	f l o r e s k u
Florești	f l o r e ʃ tʲ
Focșani	f o k ʃ a nʲ
Franța	f r a n t͡s a
Fratelia	f r a t e l i a
Fratelia	f r a t e l j a
Freidorf	f r a j d o r f
Frunză	f r u n z ə
Făgăraș	f ə ɡ ə r a ʃ
Fălești	f ə l e ʃ tʲ
Fălticeni	f ə l t i t͡ʃ e nʲ
G	d ʒ
G	ɡ
Galați	ɡ a l a t sʲ
George	d ʒ e̯ o r d ʒ e
Germania	d͡ʒ e r m a n i a
Gheauș	ɡ e̯ a u ʃ
Gherasim	ɡ e r a s i m
Ghiroda	ɡ i r o d a
Giurgiu	d ʒ j u r d ʒ j u
Glodeni	ɡ l o d e nʲ
Gorj	ɡ o r ʒ
Grecia	ɡ r e t͡ʃ i a
Grigorescu	ɡ r i ɡ o r e s k u
Grigoriopol	ɡ r i ɡ o r i o p o l
Gruzia	ɡ r u z i a
Guatemala	ɡ w a t e m a l a
H	h
Hakasia	h a k a s i a
Hakasie	h a k a s i e
Hakasiei	h a k a s i e j
Hakasii	h a k a s i j
Hakasio	h a k a s i o
Harghita	h a r ɡ i t a
Hrist	h r i s t
Hristos	h r i s t o s
Hunedoara	h u n e d o̯ a r a
Huși	h u ʃʲ
Hîncești	h ɨ n t͡ʃ e ʃ tʲ
I	i
I	j
I	ʲ
Iacobescu	j a k o b e s k u
Ialomița	j a l o m i t͡s a
Ialoveni	j a l o v e nʲ
Iași	j a ʃʲ
Ilfov	i l f o v
Ioan	j o a n
Iosefin	j o s e f i n
Iosefin	j o z e f i n
Irlanda	i r l a n d a
Islanda	i s l a n d a
Israel	i s r a e l
Italia	i t a l i a
J	ʒ
Jac	ʒ a k
June	ʒ u n e
K	k
Karakalpakstan	k a r a k a l p a k s t a n
Kazahstan	k a z a h s t a n
Kuweit	k u v e j t
L	l
Letonia	l e t o n i a
Letonia	l e t o n i j a
Liechtenstein	l i h t e n ʃ t a j n
Londra	l o n d r a
Lugoj	l u ɡ o ʒ
Lupașcu	l u p a ʃ k u
Lupeni	l u p e nʲ
Luxemburg	l u k s e m b u r ɡ
Lămășanu	l ə m ə ʃ a n u
M	m
Malta	m a l t a
Manciuria	m a n t͡ʃʲ u r i a
Manea	m a n e̯ a
Mangalia	m a ŋ ɡ a l i a
Maramureș	m a r a m u r e ʃ
Marghita	m a r ɡ i t a
Marsilia	m a r s i l i a
Marsilieni	m a r s i l j e nʲ
Medgidia	m e d d͡ʒ i d i a
Medgidia	m e d͡ʒ i d i a
Mediaș	m e d i a ʃ
Mehala	m e h a l a
Mehedinți	m e h e d i n t͡sʲ
Micești	m i t͡ʃ e ʃ tʲ
Mihnea	m i h n e̯ a
Mihăilești	m i h ə j l̪ e ʃ t̪ʲ
Minea	m i n e̯ a
Mircea	m i r t͡ʃ e̯ a
Moinești	m o j n e ʃ tʲ
Moldova	m o l d o v a
Moldovan	m o l d o v a n
Monaco	m o n a k o
Moravia	m o r a v i a
Moreni	m o r e nʲ
Moscova	m o s k o v a
Motru	m o t r u
Muntenegru	m u n t e n e ɡ r u
Muntenia	m u n t e n i a
Mureș	m u r e ʃ
Mărculești	m ə r k u l e ʃ tʲ
N	n
Neamț	n e̯ a m t͡s
Negrescu	n e ɡ r e s k u
Nicolae	n i k o l a e
Niculete	n i k u l e t e
Nistru	n i s t r u
Nistrule	n i s t r u l e
Norvegia	n o r v e d͡ʒ i a
Norvegia	n o r v e d͡ʒ i j a
O	o
Octav	o k t a v
Olga	o l ɡ a
Olt	o l t
Oltenița	o l t e n i t s a
Oltul	o l t u l
Onești	o n e ʃ tʲ
Oradea	o r a d e̯ a
Orhei	o r h e j
Ormeniș	o r m e n i ʃ
Orăștie	o r ə ʃ t i e
Orșova	o r ʃ o v a
P	p
PSD	p e s e d e
Pandora	p a n d o r a
Pașcani	p a ʃ k a nʲ
Pecica	p e t͡ʃʲ k a
Petroșani	p e t r o ʃ a nʲ
Piemont	p j e m o n t
Pitești	p i t e ʃ tʲ
Platon	p l a t o n
Ploiești	p l o j e ʃ tʲ
Polonia	p o l o n i a
Polonia	p o l o n i j a
Portugalia	p o r t u ɡ a l i a
Potârnichea	p o t ɨ r n i k e̯ a
Prahova	p r a h o v a
Pământ	p ə m ɨ n t
Q	k
R	r
Raluca	r a l u k a
Rațburg	r a t͡s b u r ɡ
Rezina	r e z i n a
Reșița	r e ʃ i t͡s a
Roman	r o m a n
România	r o m ɨ n i a
Românie	r o m ɨ n i e
României	r o m ɨ n i e j
Ronaț	r o n a t͡s
Rusia	r u s i a
Rușor	r u ʃ o r
Râșca	r ɨ ʃ k a
Rîșcani	r ɨ ʃ k a nʲ
Rădăuți	r ə d ə u t͡sʲ
Răzvani	r ə z v a nʲ
S	s
Salonta	s a l o n t a
Sebeș	s e b e ʃ
Serbia	s e r b i a
Serbia	s e r b i j a
Sibiu	s i b i w
Sighișoara	s i ɡ i ʃ o̯ a r a
Simionescu	s i m i o n e s k u
Siret	s i r e t
Slatina	s l a t i n a
Slobozia	s l o b o z i a
Slovacia	s l o v a t͡ʃ i a
Slovacia	s l o v a t͡ʃ i j a
Soroca	s̪ o r̪ o k a
Stiria	s t i r i a
Stiria	s t i r j a
Strășeni	s t r ə ʃ e nʲ
Suceava	s u t ʃ e̯ a v a
Suedia	s u e d i a
Suedia	s u e d i j a
Sîngerei	s̪ ɨ n̪ d͡ʒ e r̪ e i
Săcele	s ə t͡ʃ e l e
Sălaj	s ə l a ʒ
T	t
Taraclia	t a r a k l i a
Tecuci	t e k u t ʃʲ
Teiuș	t e i u ʃ
Teleajen	t e l e̯ a ʒ e n
Telenești	t e l e n e ʃ tʲ
Teleorman	t e l e o r m a n
Timeu	t i m e w
Timiș	t i m i ʃ
Timișoara	t i m i ʃ o̯ a r a
Timișoarei	t i m i ʃ o̯ a r e j
Tiraspol	t i r a s p o l
Toplița	t o p l i t͡s a
Tulcea	t u l t͡ʃ e̯ a
Turcescu	t u r t͡ʃ e s k u
Turcia	t u r t͡ʃ i a
Turcia	t u r t͡ʃ i j a
Turda	t u r d a
Târgoviște	t ɨ r ɡ o v i ʃ t e
Târnăveni	t ɨ r n ə v e nʲ
U	u
URSS	u r e s e s e
Ucraina	u k r a i n a
Ucraina	u k r a j n a
Ungheni	u ŋ ɡ e nʲ
V	v
Vaslui	v a s l u j
Vatican	v a t i k a n
Vrancea	v r a n t͡ʃ e̯ a
Vâlcea	v ɨ l t͡ʃ e̯ a
W	u
W	v
W	w
Wikționar	w i k t͡s i o n a r
X	k s
X	ɡ z
Y	i
Y	j
Z	z
Zalău	z a l ə w
aalenian	a a l e n i a n
aaleniana	a a l e n i a n a
aalenianul	a a l e n i a n u l
aalenianule	a a l e n i a n u l e
aalenianului	a a l e n i a n u l u j
aaleniană	a a l e n i a n ə
aaleniene	a a l e n i e n e
aalenienei	a a l e n i e n e j
aalenienele	a a l e n i e n e l e
aalenienelor	a a l e n i e n e l o r
aalenieni	a a l e n i e nʲ
aalenienii	a a l e n i e n i j
aalenienilor	a a l e n i e n i l o r
aba	a b a
abac	a b a k
abaca	a b a k a
abace	a b a t͡ʃ e
abacei	a b a t͡ʃ e j
abacele	a b a t͡ʃ e l e
abacelor	a b a t͡ʃ e l o r
abaco	a b a k o
abacterian	a b a k t e r i a n
abacteriana	a b a k t e r i a n a
abacterianul	a b a k t e r i a n u l
abacterianului	a b a k t e r i a n u l u j
abacteriană	a b a k t e r i a n ə
abacteriemic	a b a k t e r i e m i k
abacteriemica	a b a k t e r i e m i k a
abacteriemice	a b a k t e r i e m i t͡ʃ e
abacteriemicei	a b a k t e r i e m i t͡ʃ e j
abacteriemicele	a b a k t e r i e m i t͡ʃ e l e
abacteriemicelor	a b a k t e r i e m i t͡ʃ e l o r
abacteriemici	a b a k t e r i e m i t͡ʃʲ
abacteriemicii	a b a k t e r i e m i t͡ʃ i j
abacteriemicilor	a b a k t e r i e m i t͡ʃ i l o r
abacteriemicul	a b a k t e r i e m i k u l
abacteriemicului	a b a k t e r i e m i k u l u j
abacteriemică	a b a k t e r i e m i k ə
abacteriene	a b a k t e r i e n e
abacterienei	a b a k t e r i e n e j
abacterienele	a b a k t e r i e n e l e
abacterienelor	a b a k t e r i e n e l o r
abacterieni	a b a k t e r i e nʲ
abacterienii	a b a k t e r i e n i j
abacterienilor	a b a k t e r i e n i l o r
abacul	a b a k u l
abacule	a b a k u l e
abacului	a b a k u l u j
abacă	a b a k ə
abager	a b a d͡ʒ e r
abagereasca	a b a d͡ʒ e r e̯ a s k a
abagerească	a b a d͡ʒ e r e̯ a s k ə
abageresc	a b a d͡ʒ e r e s k
abagerescul	a b a d͡ʒ e r e s k u l
abagerescului	a b a d͡ʒ e r e s k u l u j
abagerești	a b a d͡ʒ e r e ʃ tʲ
abagereștii	a b a d͡ʒ e r e ʃ t i j
abagereștile	a b a d͡ʒ e r e ʃ t i l e
abagereștilor	a b a d͡ʒ e r e ʃ t i l o r
abageri	a b a d͡ʒ e rʲ
abageria	a b a d͡ʒ e r i a
abagerie	a b a d͡ʒ e r i e
abageriei	a b a d͡ʒ e r i e j
abagerii	a b a d͡ʒ e r i j
abageriile	a b a d͡ʒ e r i i l e
abageriilor	a b a d͡ʒ e r i i l o r
abagerilor	a b a d͡ʒ e r i l o r
abagerio	a b a d͡ʒ e r i o
abagerul	a b a d͡ʒ e r u l
abagerule	a b a d͡ʒ e r u l e
abagerului	a b a d͡ʒ e r u l u j
abagii	a b a d͡ʒ i j
abagiii	a b a d͡ʒ i iʲ
abagiilor	a b a d͡ʒ i i l o r
abagiu	a b a d͡ʒ i w
abagiuba	a b a d͡ʒ j u b a
abagiube	a b a d͡ʒ j u b e
abagiubei	a b a d͡ʒ j u b e j
abagiubele	a b a d͡ʒ j u b e l e
abagiubelor	a b a d͡ʒ j u b e l o r
abagiubo	a b a d͡ʒ j u b o
abagiubă	a b a d͡ʒ j u b ə
abagiul	a b a d͡ʒ i u l
abagiule	a b a d͡ʒ i u l e
abagiului	a b a d͡ʒ i u l u j
abajur	a b a ʒ u r
abajurul	a b a ʒ u r u l
abajurule	a b a ʒ u r u l e
abajurului	a b a ʒ u r u l u j
abajururi	a b a ʒ u r u rʲ
abajururile	a b a ʒ u r u r i l e
abajururilor	a b a ʒ u r u r i l o r
abale	a b a l e
abalei	a b a l e j
abalele	a b a l e l e
abalelor	a b a l e l o r
abandon	a b a n d o n
abandona	a b a n d o n a
abandonabil	a b a n d o n a b i l
abandonabila	a b a n d o n a b i l a
abandonabile	a b a n d o n a b i l e
abandonabilei	a b a n d o n a b i l e j
abandonabilele	a b a n d o n a b i l e l e
abandonabilelor	a b a n d o n a b i l e l o r
abandonabili	a b a n d o n a b i lʲ
abandonabilii	a b a n d o n a b i l i j
abandonabililor	a b a n d o n a b i l i l o r
abandonabilul	a b a n d o n a b i l u l
abandonabilului	a b a n d o n a b i l u l u j
abandonabilă	a b a n d o n a b i l ə
abandonai	a b a n d o n a j
abandonam	a b a n d o n a m
abandonare	a b a n d o n a r e
abandonarea	a b a n d o n a r e̯ a
abandonareo	a b a n d o n a r e̯ o
abandonară	a b a n d o n a r ə
abandonarăm	a b a n d o n a r ə m
abandonarăți	a b a n d o n a r ə t͡sʲ
abandonase	a b a n d o n a s e
abandonasem	a b a n d o n a s e m
abandonaseră	a b a n d o n a s e r ə
abandonaserăm	a b a n d o n a s e r ə m
abandonaserăți	a b a n d o n a s e r ə t͡sʲ
abandonaseși	a b a n d o n a s e ʃʲ
abandonat	a b a n d o n a t
abandonata	a b a n d o n a t a
abandonate	a b a n d o n a t e
abandonatei	a b a n d o n a t e j
abandonatele	a b a n d o n a t e l e
abandonatelor	a b a n d o n a t e l o r
abandonatul	a b a n d o n a t u l
abandonatului	a b a n d o n a t u l u j
abandonată	a b a n d o n a t ə
abandonau	a b a n d o n a w
abandonași	a b a n d o n a ʃʲ
abandonați	a b a n d o n a t͡sʲ
abandonații	a b a n d o n a t͡s i j
abandonaților	a b a n d o n a t͡s i l o r
abandonează	a b a n d o n e̯ a z ə
abandonez	a b a n d o n e z
abandoneze	a b a n d o n e z e
abandonezi	a b a n d o n e zʲ
abandonul	a b a n d o n u l
abandonule	a b a n d o n u l e
abandonului	a b a n d o n u l u j
abandonuri	a b a n d o n u rʲ
abandonurile	a b a n d o n u r i l e
abandonurilor	a b a n d o n u r i l o r
abandonând	a b a n d o n ɨ n d
abandonă	a b a n d o n ə
abandonăm	a b a n d o n ə m
abandonări	a b a n d o n ə rʲ
abandonării	a b a n d o n ə r i j
abandonările	a b a n d o n ə r i l e
abandonărilor	a b a n d o n ə r i l o r
abanos	a b a n o s
abanosul	a b a n o s u l
abanosule	a b a n o s u l e
abanosului	a b a n o s u l u j
abanoși	a b a n o ʃʲ
abanoșii	a b a n o ʃ i j
abanoșilor	a b a n o ʃ i l o r
abat	a b a t
abataj	a b a t a ʒ
abataje	a b a t a ʒ e
abatajele	a b a t a ʒ e l e
abatajelor	a b a t a ʒ e l o r
abatajul	a b a t a ʒ u l
abatajule	a b a t a ʒ u l e
abatajului	a b a t a ʒ u l u j
abate	a b a t e
abatele	a b a t e l e
abatelui	a b a t e l u j
abatem	a b a t e m
abatere	a b a t e r e
abaterea	a b a t e r e̯ a
abatereo	a b a t e r e̯ o
abateri	a b a t e rʲ
abaterii	a b a t e r i j
abaterile	a b a t e r i l e
abaterilor	a b a t e r i l o r
abatesa	a b a t e s a
abatese	a b a t e s e
abatesei	a b a t e s e j
abatesele	a b a t e s e l e
abateselor	a b a t e s e l o r
abateso	a b a t e s o
abatesă	a b a t e s ə
abateți	a b a t e t͡sʲ
abatiza	a b a t i z a
abatize	a b a t i z e
abatizei	a b a t i z e j
abatizele	a b a t i z e l e
abatizelor	a b a t i z e l o r
abatizo	a b a t i z o
abatiză	a b a t i z ə
abatoare	a b a t o̯ a r e
abatoarele	a b a t o̯ a r e l e
abatoarelor	a b a t o̯ a r e l o r
abator	a b a t o r
abatorul	a b a t o r u l
abatorule	a b a t o r u l e
abatorului	a b a t o r u l u j
abată	a b a t ə
abaua	a b a w a
abaxial	a b a k s i a l
abaxiala	a b a k s i a l a
abaxiale	a b a k s i a l e
abaxialei	a b a k s i a l e j
abaxialele	a b a k s i a l e l e
abaxialelor	a b a k s i a l e l o r
abaxiali	a b a k s i a lʲ
abaxialii	a b a k s i a l i j
abaxialilor	a b a k s i a l i l o r
abaxialul	a b a k s i a l u l
abaxialului	a b a k s i a l u l u j
abaxială	a b a k s i a l ə
abazia	a b a z i a
abazie	a b a z i e
abaziei	a b a z i e j
abazii	a b a z i j
abaziile	a b a z i i l e
abaziilor	a b a z i i l o r
abazio	a b a z i o
abați	a b a t͡sʲ
abația	a b a t͡s i a
abație	a b a t͡s i e
abației	a b a t͡s i e j
abații	a b a t͡s i j
abațiile	a b a t͡s i i l e
abațiilor	a b a t͡s i i l o r
abaților	a b a t͡s i l o r
abațio	a b a t͡s i o
abces	a b t͡ʃ e s
abcese	a b t͡ʃ e s e
abcesele	a b t͡ʃ e s e l e
abceselor	a b t͡ʃ e s e l o r
abcesul	a b t͡ʃ e s u l
abcesule	a b t͡ʃ e s u l e
abcesului	a b t͡ʃ e s u l u j
abdic	a b d i k
abdica	a b d i k a
abdicai	a b d i k a j
abdicam	a b d i k a m
abdicare	a b d i k a r e
abdicarea	a b d i k a r e̯ a
abdicareo	a b d i k a r e̯ o
abdicară	a b d i k a r ə
abdicarăm	a b d i k a r ə m
abdicarăți	a b d i k a r ə t͡sʲ
abdicase	a b d i k a s e
abdicasem	a b d i k a s e m
abdicaseră	a b d i k a s e r ə
abdicaserăm	a b d i k a s e r ə m
abdicaserăți	a b d i k a s e r ə t͡sʲ
abdicaseși	a b d i k a s e ʃʲ
abdicat	a b d i k a t
abdicau	a b d i k a w
abdicași	a b d i k a ʃʲ
abdicați	a b d i k a t͡sʲ
abdicația	a b d i k a t͡s i a
abdicație	a b d i k a t͡s i e
abdicației	a b d i k a t͡s i e j
abdicații	a b d i k a t͡s i j
abdicațiile	a b d i k a t͡s i i l e
abdicațiilor	a b d i k a t͡s i i l o r
abdicațio	a b d i k a t͡s i o
abdicațiune	a b d i k a t͡s i u n e
abdicațiunea	a b d i k a t͡s i u n e̯ a
abdicațiuneo	a b d i k a t͡s i u n e̯ o
abdicațiuni	a b d i k a t͡s i u nʲ
abdicațiunii	a b d i k a t͡s i u n i j
abdicațiunile	a b d i k a t͡s i u n i l e
abdicațiunilor	a b d i k a t͡s i u n i l o r
abdice	a b d i t͡ʃ e
abdici	a b d i t͡ʃʲ
abdicând	a b d i k ɨ n d
abdică	a b d i k ə
abdicăm	a b d i k ə m
abdicări	a b d i k ə rʲ
abdicării	a b d i k ə r i j
abdicările	a b d i k ə r i l e
abdicărilor	a b d i k ə r i l o r
abdomen	a b d o m e n
abdomene	a b d o m e n e
abdomenele	a b d o m e n e l e
abdomenelor	a b d o m e n e l o r
abdomenul	a b d o m e n u l
abdomenule	a b d o m e n u l e
abdomenului	a b d o m e n u l u j
abdominal	a b d o m i n a l
abdominalgia	a b d o m i n a l d͡ʒ i a
abdominalgie	a b d o m i n a l d͡ʒ i e
abdominalgiei	a b d o m i n a l d͡ʒ i e j
abdominalgii	a b d o m i n a l d͡ʒ i j
abdominalgiile	a b d o m i n a l d͡ʒ i i l e
abdominalgiilor	a b d o m i n a l d͡ʒ i i l o r
abdominalgio	a b d o m i n a l d͡ʒ i o
abdominocenteza	a b d o m i n o t͡ʃ e n t e z a
abdominocenteze	a b d o m i n o t͡ʃ e n t e z e
abdominocentezei	a b d o m i n o t͡ʃ e n t e z e j
abdominocentezele	a b d o m i n o t͡ʃ e n t e z e l e
abdominocentezelor	a b d o m i n o t͡ʃ e n t e z e l o r
abdominocentezo	a b d o m i n o t͡ʃ e n t e z o
abdominocenteză	a b d o m i n o t͡ʃ e n t e z ə
abdominohisterectomia	a b d o m i n o h i s t e r e k t o m i a
abdominohisterectomie	a b d o m i n o h i s t e r e k t o m i e
abdominohisterectomiei	a b d o m i n o h i s t e r e k t o m i e j
abdominohisterectomiile	a b d o m i n o h i s t e r e k t o m i i l e
abdominohisterectomiilor	a b d o m i n o h i s t e r e k t o m i i l o r
abdominohisterectomio	a b d o m i n o h i s t e r e k t o m i o
abductoare	a b d u k t o̯ a r e
abductoarea	a b d u k t o̯ a r e̯ a
abductoarei	a b d u k t o̯ a r e j
abductoarele	a b d u k t o̯ a r e l e
abductoarelor	a b d u k t o̯ a r e l o r
abductor	a b d u k t o r
abductori	a b d u k t o rʲ
abductorii	a b d u k t o r i j
abductorilor	a b d u k t o r i l o r
abductorul	a b d u k t o r u l
abductorului	a b d u k t o r u l u j
abducția	a b d u k t͡s i a
abducție	a b d u k t͡s i e
abducției	a b d u k t͡s i e j
abducții	a b d u k t͡s i j
abducțiile	a b d u k t͡s i i l e
abducțiilor	a b d u k t͡s i i l o r
abducțio	a b d u k t͡s i o
abducțiune	a b d u k t͡s i u n e
abducțiunea	a b d u k t͡s i u n e̯ a
abducțiuneo	a b d u k t͡s i u n e̯ o
abducțiuni	a b d u k t͡s i u nʲ
abducțiunii	a b d u k t͡s i u n i j
abducțiunile	a b d u k t͡s i u n i l e
abducțiunilor	a b d u k t͡s i u n i l o r
abecedar	a b e t͡ʃ e d a r
abecedare	a b e t͡ʃ e d a r e
abecedarele	a b e t͡ʃ e d a r e l e
abecedarelor	a b e t͡ʃ e d a r e l o r
abecedarul	a b e t͡ʃ e d a r u l
abecedarule	a b e t͡ʃ e d a r u l e
abecedarului	a b e t͡ʃ e d a r u l u j
abera	a b e r a
aberai	a b e r a j
aberam	a b e r a m
aberant	a b e r a n t
aberanta	a b e r a n t a
aberante	a b e r a n t e
aberantei	a b e r a n t e j
aberantele	a b e r a n t e l e
aberantelor	a b e r a n t e l o r
aberantul	a b e r a n t u l
aberantului	a b e r a n t u l u j
aberantă	a b e r a n t ə
aberanța	a b e r a n t͡s a
aberanțe	a b e r a n t͡s e
aberanței	a b e r a n t͡s e j
aberanțele	a b e r a n t͡s e l e
aberanțelor	a b e r a n t͡s e l o r
aberanți	a b e r a n t͡sʲ
aberanții	a b e r a n t͡s i j
aberanților	a b e r a n t͡s i l o r
aberanțo	a b e r a n t͡s o
aberanță	a b e r a n t͡s ə
aberară	a b e r a r ə
aberarăm	a b e r a r ə m
aberarăți	a b e r a r ə t͡sʲ
aberase	a b e r a s e
aberasem	a b e r a s e m
aberaseră	a b e r a s e r ə
aberaserăm	a b e r a s e r ə m
aberaserăți	a b e r a s e r ə t͡sʲ
aberaseși	a b e r a s e ʃʲ
aberat	a b e r a t
aberativ	a b e r a t i v
aberativa	a b e r a t i v a
aberative	a b e r a t i v e
aberativei	a b e r a t i v e j
aberativele	a b e r a t i v e l e
aberativelor	a b e r a t i v e l o r
aberativi	a b e r a t i vʲ
aberativii	a b e r a t i v i j
aberativilor	a b e r a t i v i l o r
aberativul	a b e r a t i v u l
aberativului	a b e r a t i v u l u j
aberativă	a b e r a t i v ə
aberau	a b e r a w
aberași	a b e r a ʃʲ
aberați	a b e r a t͡sʲ
aberația	a b e r a t͡s i a
aberație	a b e r a t͡s i e
aberației	a b e r a t͡s i e j
aberații	a b e r a t͡s i j
aberațiile	a b e r a t͡s i i l e
aberațiilor	a b e r a t͡s i i l o r
aberațio	a b e r a t͡s i o
aberațiune	a b e r a t͡s i u n e
aberațiunea	a b e r a t͡s i u n e̯ a
aberațiuneo	a b e r a t͡s i u n e̯ o
aberațiuni	a b e r a t͡s i u nʲ
aberațiunii	a b e r a t͡s i u n i j
aberațiunile	a b e r a t͡s i u n i l e
aberațiunilor	a b e r a t͡s i u n i l o r
aberează	a b e r e̯ a z ə
aberez	a b e r e z
abereze	a b e r e z e
aberezi	a b e r e zʲ
aberoscoape	a b e r o s k o̯ a p e
aberoscoapele	a b e r o s k o̯ a p e l e
aberoscoapelor	a b e r o s k o̯ a p e l o r
aberoscop	a b e r o s k o p
aberoscopul	a b e r o s k o p u l
aberoscopule	a b e r o s k o p u l e
aberoscopului	a b e r o s k o p u l u j
aberând	a b e r ɨ n d
aberă	a b e r ə
aberăm	a b e r ə m
abhora	a b h o r a
abhorai	a b h o r a j
abhoram	a b h o r a m
abhorară	a b h o r a r ə
abhorarăm	a b h o r a r ə m
abhorarăți	a b h o r a r ə t͡sʲ
abhorase	a b h o r a s e
abhorasem	a b h o r a s e m
abhoraseră	a b h o r a s e r ə
abhoraserăm	a b h o r a s e r ə m
abhoraserăți	a b h o r a s e r ə t͡sʲ
abhoraseși	a b h o r a s e ʃʲ
abhorat	a b h o r a t
abhorau	a b h o r a w
abhorași	a b h o r a ʃʲ
abhorați	a b h o r a t͡sʲ
