あ	a̠
あのよゆき	a̠ n o̞ j o̞ j ɯ̟ kʲ i
あばく	a̠ b a̠ k ɯ̟
あばずれ	a̠ b a̠ z ɨ ɾ e̞
あばよ	a̠ b a̠ j o̞
あばら	a̠ b a̠ ɾ a̠
あばらや	a̠ b a̠ ɾ a̠ j a̠
あひるすわり	a̠ ç i ɾ ɯ̟ s ɨ β̞ a̠ ɾʲ i
あふれかえる	a̠ ɸ ɯ̟ ɾ e̞ k a̠ e̞ ɾ ɯ̟
あぶら	a̠ b ɯ̟ ɾ a̠
あぶらぎる	a̠ b ɯ̟ ɾ a̠ ɡʲ i ɾ ɯ̟
あぶらっこい	a̠ b ɯ̟ ɾ a̠ k̚ k o̞ i
あぶりだす	a̠ b ɯ̟ ɾʲ i d a̠ s ɨ
あぶる	a̠ b ɯ̟ ɾ ɯ̟
あべこべ	a̠ b e̞ k o̞ b e̞
あほくさい	a̠ h o̞ k ɯ̟ s a̠ i
あほんだら	a̠ h õ̞ n d a̠ ɾ a̠
あぼーん	a̠ b õ̞ː ɴ
あまかわ	a̠ m a̠ k a̠ β̞ a̠
あまごい	a̠ m a̠ ɡ o̞ i
あまざらし	a̠ m a̠ z a̠ ɾ a̠ ɕ i
あまじょっぱい	a̠ m a̠ ʑ o̞ p̚ p a̠ i
あまずっぱい	a̠ m a̠ z ɨ p̚ p a̠ i
あまつさえ	a̠ m a̠ t͡s ɨ s a̠ e̞
あまつぶ	a̠ m a̠ t͡s ɨ b ɯ̟
あまねく	a̠ m a̠ n e̞ k ɯ̟
あまねし	a̠ m a̠ n e̞ ɕ i
あまもり	a̠ m a̠ m o̞ ɾʲ i
あみだくじ	a̠ mʲ i d a̠ k ɯ̟ ʑ i
あみど	a̠ mʲ i d o̞
あめちゃん	a̠ m e̞ t͡ɕ ã̠ ɴ
あやかる	a̠ j a̠ k a̠ ɾ ɯ̟
あやす	a̠ j a̠ s ɨ
あやせ	a̠ j a̠ s e̞
あやつ	a̠ j a̠ t͡s ɨ
あやなし	a̠ j a̠ n a̠ ɕ i
あやふや	a̠ j a̠ ɸ ɯ̟ j a̠
あやめる	a̠ j a̠ m e̞ ɾ ɯ̟
あゆみ	a̠ j ɯ̟ mʲ i
あら	a̠ ɾ a̠
あらあら	a̠ ɾ a̠ː ɾ a̠
あらいなおす	a̠ ɾ a̠ i n a̠ o̞ s ɨ
あらいば	a̠ ɾ a̠ i b a̠
あらいもの	a̠ ɾ a̠ i m o̞ n o̞
あらうし	a̠ ɾ a̠ ɯ̟ ɕ i
あらかた	a̠ ɾ a̠ k a̠ t a̠
あらけずり	a̠ ɾ a̠ k e̞ z ɨ ɾʲ i
あらさがし	a̠ ɾ a̠ s a̠ ɡ a̠ ɕ i
あらず	a̠ ɾ a̠ z ɨ
あらたか	a̠ ɾ a̠ t a̠ k a̠
あらたまる	a̠ ɾ a̠ t a̠ m a̠ ɾ ɯ̟
あらためる	a̠ ɾ a̠ t a̠ m e̞ ɾ ɯ̟
あらぬ	a̠ ɾ a̠ n ɯ̟
あらねつ	a̠ ɾ a̠ n e̞ t͡s ɨ
あらへん	a̠ ɾ a̠ h ẽ̞ ɴ
あらまあ	a̠ ɾ a̠ m a̠ː
あらまし	a̠ ɾ a̠ m a̠ ɕ i
あらめ	a̠ ɾ a̠ m e̞
あらゆる	a̠ ɾ a̠ j ɯ̟ ɾ ɯ̟
あらら	a̠ ɾ a̠ ɾ a̠
あられもち	a̠ ɾ a̠ ɾ e̞ m o̞ t͡ɕ i
あられもない	a̠ ɾ a̠ ɾ e̞ m o̞ n a̠ i
あらわざ	a̠ ɾ a̠ β̞ a̠ z a̠
あらわし	a̠ ɾ a̠ β̞ a̠ ɕ i
あらわる	a̠ ɾ a̠ β̞ a̠ ɾ ɯ̟
あらわれる	a̠ ɾ a̠ β̞ a̠ ɾ e̞ ɾ ɯ̟
ありあまる	a̠ ɾʲ i a̠ m a̠ ɾ ɯ̟
ありあり	a̠ ɾʲ i a̠ ɾʲ i
ありか	a̠ ɾʲ i k a̠
ありがたく	a̠ ɾʲ i ɡ a̠ t a̠ k ɯ̟
ありがたや	a̠ ɾʲ i ɡ a̠ t a̠ j a̠
ありがと	a̠ ɾʲ i ɡ a̠ t o̞
ありがとう	a̠ ɾʲ i ɡ a̠ t o̞ː
ありがね	a̠ ɾʲ i ɡ a̠ n e̞
ありき	a̠ ɾʲ i kʲ i
ありきたり	a̠ ɾʲ i kʲ i t a̠ ɾʲ i
ありさま	a̠ ɾʲ i s a̠ m a̠
ありなし	a̠ ɾʲ i n a̠ ɕ i
ありふれる	a̠ ɾʲ i ɸ ɯ̟ ɾ e̞ ɾ ɯ̟
あります	a̠ ɾʲ i m a̠ s ɨ̥
ありゃりゃ	a̠ ɾʲ a̠ ɾʲ a̠
ありんこ	a̠ ɾʲ ĩ ŋ k o̞
ある	a̠ ɾ ɯ̟
あるある	a̠ ɾ ɯ̟ a̠ ɾ ɯ̟
あるいて	a̠ ɾ ɯ̟ i t e̞
あるいは	a̠ ɾ ɯ̟ i β̞ a̠
あるじ	a̠ ɾ ɯ̟ ʑ i
あるなし	a̠ ɾ ɯ̟ n a̠ ɕ i
あるは	a̠ ɾ ɯ̟ β̞ a̠
あるまじき	a̠ ɾ ɯ̟ m a̠ ʑ i kʲ i
あれ	a̠ ɾ e̞
あれこれ	a̠ ɾ e̞ k o̞ ɾ e̞
あれはてる	a̠ ɾ e̞ h a̠ t e̞ ɾ ɯ̟
あれほど	a̠ ɾ e̞ h o̞ d o̞
あれれ	a̠ ɾ e̞ ɾ e̞
あわあわ	a̠ β̞ a̠ a̠ β̞ a̠
あわだち	a̠ β̞ a̠ d a̠ t͡ɕ i
あわだつ	a̠ β̞ a̠ d a̠ t͡s ɨ
あわだてる	a̠ β̞ a̠ d a̠ t e̞ ɾ ɯ̟
あわや	a̠ β̞ a̠ j a̠
あわよくば	a̠ β̞ a̠ j o̞ k ɯ̟ b a̠
あん	ã̠ ɴ
あんがと	ã̠ ŋ ɡ a̠ t o̞
あんぐり	ã̠ ŋ ɡ ɯ̟ ɾʲ i
あんた	ã̠ n t a̠
あんたたち	ã̠ n t a̠ t a̠ t͡ɕ i
あんたら	ã̠ n t a̠ ɾ a̠
あんな	ã̠ nː a̠
あんま	ã̠ mː a̠
あんまし	ã̠ mː a̠ ɕ i
あ゙	ʔ a̠
あー	a̠ː
あーあ	a̠ ꜔ a̠ ˩ a̠ ˩˥
あーね	a̠ː n e̞
い	i
いあい	i a̠ i
いい	iː
いいえ	iː e̞
いいおよぶ	i i o̞ j o̞ b ɯ̟
いいから	iː k a̠ ɾ a̠
いいくるめる	i i k ɯ̟ ɾ ɯ̟ m e̞ ɾ ɯ̟
いいたかない	iː t a̠ k a̠ n a̠ i
いいのこす	i i n o̞ k o̞ s ɨ
いいはなつ	i i h a̠ n a̠ t͡s ɨ
いいはる	i i h a̠ ɾ ɯ̟
いいぶん	iː b ɯ̟̃ ɴ
いぇ	j e̞
いえない	i e̞ n a̠ i
いかさま	i k a̠ s a̠ m a̠
いかす	i k a̠ s ɨ
いかすみ	i k a̠ s ɨ mʲ i
いかた	i k a̠ t a̠
いかだ	i k a̠ d a̠
いかつい	i k a̠ t͡s ɨ i
いかなる	i k a̠ n a̠ ɾ ɯ̟
いかに	i k a̠ ɲ̟ i
いかにも	i k a̠ ɲ̟ i m o̞
いかめしい	i k a̠ m e̞ ɕ iː
いかりがた	i k a̠ ɾʲ i ɡ a̠ t a̠
いかれる	i k a̠ ɾ e̞ ɾ ɯ̟
いかんせん	i k ã̠ ɰ̃ s ẽ̞ ɴ
いき	i kʲ i
いきいき	i kʲ i i kʲ i
いきぐすり	i kʲ i ɡ ɯ̟ s ɨ ɾʲ i
いきぐるしい	i kʲ i ɡ ɯ̟ ɾ ɯ̟ ɕ iː
いきじごく	i kʲ i ʑ i ɡ o̞ k ɯ̟
いきづかい	i kʲ i z ɨ k a̠ i
いきづまる	i kʲ i z ɨ m a̠ ɾ ɯ̟
いきながらえる	i kʲ i n a̠ ɡ a̠ ɾ a̠ e̞ ɾ ɯ̟
いきのね	i kʲ i n o̞ n e̞
いきりたつ	i kʲ i ɾʲ i t a̠ t͡s ɨ
いく	i k ɯ̟
いくぐすり	i k ɯ̟ ɡ ɯ̟ s ɨ ɾʲ i
いくつも	i k ɯ̟ t͡s ɨ m o̞
いくら	i k ɯ̟ ɾ a̠
いくらか	i k ɯ̟ ɾ a̠ k a̠
いけさま	i k e̞ s a̠ m a̠
いけす	i k e̞ s ɨ
いけず	i k e̞ z ɨ
いけない	i k e̞ n a̠ i
いけるもの	i k e̞ ɾ ɯ̟ m o̞ n o̞
いけん	i k ẽ̞ ɴ
いころす	i k o̞ ɾ o̞ s ɨ
いさ	i s a̠
いさお	i s a̠ o̞
いさかい	i s a̠ k a̠ i
いさかう	i s a̠ k a̠ ɯ̟
いさぎよい	i s a̠ ɡʲ i j o̞ i
いさちる	i s a̠ t͡ɕ i ɾ ɯ̟
いさつ	i s a̠ t͡s ɨ
いさみたつ	i s a̠ mʲ i t a̠ t͡s ɨ
いざ	i z a̠
いざこざ	i z a̠ k o̞ z a̠
いしずえ	i ɕ i z ɨ e̞
いしだたみ	i ɕ i d a̠ t a̠ mʲ i
いしづき	i ɕ i z ɨ kʲ i
いしぶみ	i ɕ i b ɯ̟ mʲ i
いじいじ	i ʑ i i ʑ i
いじける	i ʑ i k e̞ ɾ ɯ̟
いじらしい	i ʑ i ɾ a̠ ɕ iː
いすくまる	i s ɨ̥ k ɯ̟ m a̠ ɾ ɯ̟
いすず	i s ɨ z ɨ
いすゞ	i s ɨ z ɨ
いずく	i z ɨ k ɯ̟
いずこ	i z ɨ k o̞
いずれ	i z ɨ ɾ e̞
いせまいり	i s e̞ m a̠ i ɾʲ i
いそいそ	i s o̞ i s o̞
いそぎわ	i s o̞ ɡʲ i β̞ a̠
いたいけ	i t a̠ i k e̞
いたたまらない	i t a̠ t a̠ m a̠ ɾ a̠ n a̠ i
いたたまれない	i t a̠ t a̠ m a̠ ɾ e̞ n a̠ i
いたでん	i t a̠ d ẽ̞ ɴ
いたぶる	i t a̠ b ɯ̟ ɾ ɯ̟
いちおし	i t͡ɕ i o̞ ɕ i
いちころ	i t͡ɕ i k o̞ ɾ o̞
いちごがり	i t͡ɕ i ɡ o̞ ɡ a̠ ɾʲ i
いちたへん	i t͡ɕ i t a̠ h ẽ̞ ɴ
いちばんのり	i t͡ɕ i b ã̠ nː o̞ ɾʲ i
いちばんぼし	i t͡ɕ i b ã̠ m b o̞ ɕ i
いちぶん	i t͡ɕ i b ɯ̟̃ ɴ
いちゃいちゃ	i t͡ɕ a̠ i t͡ɕ a̠
いちゃこら	i t͡ɕ a̠ k o̞ ɾ a̠
いちゃもん	i t͡ɕ a̠ m õ̞ ɴ
いっきうち	i k̚ʲ kʲ i ɯ̟ t͡ɕ i
いっちゃん	i t̚ t͡ɕ ã̠ ɴ
いっちょ	i t̚ t͡ɕ o̞
いっちょん	i t̚ t͡ɕ õ̞ ɴ
いっていらっしゃい	i t̚ t e̞ i ɾ a̠ ɕː a̠ i
いってら	i t̚ t e̞ ɾ a̠
いってらー	i t̚ t e̞ ɾ a̠ː
いっぱつどり	i p̚ p a̠ t͡s ɨ d o̞ ɾʲ i
いっぱんむけ	i p̚ p ã̠ mː ɯ̟ k e̞
いつ	i t͡s ɨ
いつか	i t͡s ɨ k a̠
いつしか	i t͡s ɨ ɕ i k a̠
いつだって	i t͡s ɨ d a̠ t̚ t e̞
いつも	i t͡s ɨ m o̞
いてこます	i t e̞ k o̞ m a̠ s ɨ
いてつく	i t e̞ t͡s ɨ k ɯ̟
いてら	i t e̞ ɾ a̠
いてる	i t e̞ ɾ ɯ̟
いとこ	i t o̞ k o̞
いとも	i t o̞ m o̞
いどころ	i d o̞ k o̞ ɾ o̞
いな	i n a̠
いない	i n a̠ i
いないいないばあ	i n a̠ iː n a̠ i b a̠ː
いなかくさい	i n a̠ k a̠ k ɯ̟ s a̠ i
いなかった	i n a̠ k a̠ t̚ t a̠
いなかっぺ	i n a̠ k a̠ p̚ p e̞
いなかみち	i n a̠ k a̠ mʲ i t͡ɕ i
いなくなる	i n a̠ k ɯ̟ n a̠ ɾ ɯ̟
いなす	i n a̠ s ɨ
いなせ	i n a̠ s e̞
いななき	i n a̠ n a̠ kʲ i
いななく	i n a̠ n a̠ k ɯ̟
いにしえ	i ɲ̟ i ɕ i e̞
いぬく	i n ɯ̟ k ɯ̟
いぬねこ	i n ɯ̟ n e̞ k o̞
いぬわし	i n ɯ̟ β̞ a̠ ɕ i
いのちがけ	i n o̞ t͡ɕ i ɡ a̠ k e̞
いびる	i bʲ i ɾ ɯ̟
いぶき	i b ɯ̟ kʲ i
いぼいぼ	i b o̞ i b o̞
いまごろ	i m a̠ ɡ o̞ ɾ o̞
いまさら	i m a̠ s a̠ ɾ a̠
いましめる	i m a̠ ɕ i m e̞ ɾ ɯ̟
います	i m a̠ s ɨ̥
いまどき	i m a̠ d o̞ kʲ i
いまわ	i m a̠ β̞ a̠
いまわしい	i m a̠ β̞ a̠ ɕ iː
いまんとこ	i m ã̠ n t o̞ k o̞
いみ	i mʲ i
いみな	i mʲ i n a̠
いむ	i m ɯ̟
いもっぽい	i m o̞ p̚ p o̞ i
いや	i j a̠
いやぁ	i j a̠ː
いやあ	i j a̠ː
いやいや	i j a̠ i j a̠
いやいやいや	i j a̠ i j a̠ i j a̠
いやいやき	i j a̠ i j a̠ kʲ i
いやはや	i j a̠ h a̠ j a̠
いやん	i j ã̠ ɴ
いやー	i j a̠ː
いやーん	i j ã̠ː ɴ
いよいよ	i j o̞ i j o̞
いら	i ɾ a̠
いらいら	i ɾ a̠ i ɾ a̠
いらして	i ɾ a̠ ɕ i t e̞
いらっしゃい	i ɾ a̠ ɕː a̠ i
いらっしゃいませ	i ɾ a̠ ɕː a̠ i m a̠ s e̞
いらっしゃる	i ɾ a̠ ɕː a̠ ɾ ɯ̟
いらっと	i ɾ a̠ t̚ t o̞
いりびたる	i ɾʲ i bʲ i t a̠ ɾ ɯ̟
いりまじる	i ɾʲ i m a̠ ʑ i ɾ ɯ̟
いりむこ	i ɾʲ i m ɯ̟ k o̞
いる	i ɾ ɯ̟
いれこ	i ɾ e̞ k o̞
いれずみ	i ɾ e̞ z ɨ mʲ i
いろあせた	i ɾ o̞ a̠ s e̞ t a̠
いろうつり	i ɾ o̞ ɯ̟ t͡s ɨ ɾʲ i
いろこい	i ɾ o̞ k o̞ i
いろじろ	i ɾ o̞ ʑ i ɾ o̞
いろづかい	i ɾ o̞ z ɨ k a̠ i
いろとりどり	i ɾ o̞ t o̞ ɾʲ i d o̞ ɾʲ i
いろはじゅん	i ɾ o̞ h a̠ ʑ ɨ̃ ɴ
いろまち	i ɾ o̞ m a̠ t͡ɕ i
いろみず	i ɾ o̞ mʲ i z ɨ
いわえる	i β̞ a̠ e̞ ɾ ɯ̟
いわかげ	i β̞ a̠ k a̠ ɡ e̞
いわくつき	i β̞ a̠ k ɯ̟ t͡s ɨ kʲ i
いわしみず	i β̞ a̠ ɕ i mʲ i z ɨ
いわしめる	i β̞ a̠ ɕ i m e̞ ɾ ɯ̟
いわす	i β̞ a̠ s ɨ
いんちき	ĩ ɲ̟ t͡ɕ i kʲ i
う	ɯ̟
うぃ	β̞ i
うぃーっす	β̞ iː sː ɨ
うい	ɯ̟ i
ううん	m̩ː ˦˨˦
ううん	ɯ̟̃ᵝː ˦˨˦
うぇ	β̞ e̞
うえ	ɯ̟ e̞
うえこみ	ɯ̟ e̞ k o̞ mʲ i
うえーん	ɯ̟ ẽ̞ː ɴ
うぉ	β̞ o̞
うかうか	ɯ̟ k a̠ ɯ̟ k a̠
うかれる	ɯ̟ k a̠ ɾ e̞ ɾ ɯ̟
うきあしだつ	ɯ̟ kʲ i a̠ ɕ i d a̠ t͡s ɨ
うきぶくろ	ɯ̟ kʲ i b ɯ̟ k ɯ̟ ɾ o̞
うきめ	ɯ̟ kʲ i m e̞
うきよ	ɯ̟ kʲ i j o̞
うきよえし	ɯ̟ kʲ i j o̞ e̞ ɕ i
うぐ	ɯ̟ ɡ ɯ̟
うけ	ɯ̟ k e̞
うけうり	ɯ̟ k e̞ ɯ̟ ɾʲ i
うけたまわり	ɯ̟ k e̞ t a̠ m a̠ β̞ a̠ ɾʲ i
うけとめる	ɯ̟ k e̞ t o̞ m e̞ ɾ ɯ̟
うけばこ	ɯ̟ k e̞ b a̠ k o̞
うさちゃん	ɯ̟ s a̠ t͡ɕ ã̠ ɴ
うざい	ɯ̟ z a̠ i
うざがらみ	ɯ̟ z a̠ ɡ a̠ ɾ a̠ mʲ i
うざったい	ɯ̟ z a̠ t̚ t a̠ i
うし	ɯ̟ ɕ i
うしろめたい	ɯ̟ ɕ i ɾ o̞ m e̞ t a̠ i
うじ	ɯ̟ ʑ i
うじゃうじゃ	ɯ̟ ʑ a̠ ɯ̟ ʑ a̠
うすあかり	ɯ̟ s ɨ a̠ k a̠ ɾʲ i
うすがすむ	ɯ̟ s ɨ ɡ a̠ s ɨ m ɯ̟
うすぎ	ɯ̟ s ɨ ɡʲ i
うずいと	ɯ̟ z ɨ i t o̞
うずうず	ɯ̟ z ɨ ɯ̟ z ɨ
うずまきせん	ɯ̟ z ɨ m a̠ kʲ i s ẽ̞ ɴ
うせやん	ɯ̟ s e̞ j ã̠ ɴ
うそくさい	ɯ̟ s o̞ k ɯ̟ s a̠ i
うたいだし	ɯ̟ t a̠ i d a̠ ɕ i
うたいまわし	ɯ̟ t a̠ i m a̠ β̞ a̠ ɕ i
うたう	ɯ̟ t a̠ ɯ̟
うたた	ɯ̟ t a̠ t a̠
うたたね	ɯ̟ t a̠ t a̠ n e̞
うたわり	ɯ̟ t a̠ β̞ a̠ ɾʲ i
うだる	ɯ̟ d a̠ ɾ ɯ̟
うちあわせ	ɯ̟ t͡ɕ i a̠ β̞ a̠ s e̞
うちかた	ɯ̟ t͡ɕ i k a̠ t a̠
うちきり	ɯ̟ t͡ɕ i kʲ i ɾʲ i
うちぎ	ɯ̟ t͡ɕ i ɡʲ i
うちころす	ɯ̟ t͡ɕ i k o̞ ɾ o̞ s ɨ
うちたてる	ɯ̟ t͡ɕ i t a̠ t e̞ ɾ ɯ̟
うちっぱなし	ɯ̟ t͡ɕ i p̚ p a̠ n a̠ ɕ i
うちなおす	ɯ̟ t͡ɕ i n a̠ o̞ s ɨ
うちなー	ɯ̟ t͡ɕ i n a̠ː
うちなーぐち	ɯ̟ t͡ɕ i n a̠ː ɡ ɯ̟ t͡ɕ i
うちなーんちゅ	ɯ̟ t͡ɕ i n ã̠ː ɲ̟ t͡ɕ ɨ
うちぬく	ɯ̟ t͡ɕ i n ɯ̟ k ɯ̟
うちまわり	ɯ̟ t͡ɕ i m a̠ β̞ a̠ ɾʲ i
うちら	ɯ̟ t͡ɕ i ɾ a̠
うちわ	ɯ̟ t͡ɕ i β̞ a̠
うっかり	ɯ̟ k̚ k a̠ ɾʲ i
うっせえ	ɯ̟ sː e̞ː
うっとり	ɯ̟ t̚ t o̞ ɾʲ i
うっぷ	ɯ̟ p̚ p ɯ̟
うっわ	ɯ̟ β̞ː a̠
うつそみ	ɯ̟ t͡s ɨ s o̞ mʲ i
うつりが	ɯ̟ t͡s ɨ ɾʲ i ɡ a̠
うつろう	ɯ̟ t͡s ɨ ɾ o̞ ɯ̟
うでぐみ	ɯ̟ d e̞ ɡ ɯ̟ mʲ i
うでまえ	ɯ̟ d e̞ m a̠ e̞
うでまくり	ɯ̟ d e̞ m a̠ k ɯ̟ ɾʲ i
うとい	ɯ̟ t o̞ i
うとうと	ɯ̟ t o̞ː t o̞
うどん	ɯ̟ d õ̞ ɴ
うな	ɯ̟ n a̠
うなずく	ɯ̟ n a̠ z ɨ k ɯ̟
うなだれる	ɯ̟ n a̠ d a̠ ɾ e̞ ɾ ɯ̟
うね	ɯ̟ n e̞
うねり	ɯ̟ n e̞ ɾʲ i
うねる	ɯ̟ n e̞ ɾ ɯ̟
うの	ɯ̟ n o̞
うのみ	ɯ̟ n o̞ mʲ i
うぶげ	ɯ̟ b ɯ̟ ɡ e̞
うぶごえ	ɯ̟ b ɯ̟ ɡ o̞ e̞
うぽつ	ɯ̟ p o̞ t͡s ɨ
うまい	ɯ̟ m a̠ i
うまか	ɯ̟ m a̠ k a̠
うまから	ɯ̟ m a̠ k a̠ ɾ a̠
うまく	ɯ̟ m a̠ k ɯ̟
うまごみ	ɯ̟ m a̠ ɡ o̞ mʲ i
うまのり	ɯ̟ m a̠ n o̞ ɾʲ i
うまや	ɯ̟ m a̠ j a̠
うまれもつ	ɯ̟ m a̠ ɾ e̞ m o̞ t͡s ɨ
うみじ	ɯ̟ mʲ i ʑ i
うみわけ	ɯ̟ mʲ i β̞ a̠ k e̞
うむ	ɯ̟ m ɯ̟
うゅ	β̞ʲ ɨ
うようよ	ɯ̟ j o̞ ɯ̟ j o̞
