あ	a̠
あくる	a̠ k ɯ̟ᵝ ɾ ɯ̟ᵝ
あくるひ	a̠ k ɯ̟ᵝ ɾ ɯ̟ᵝ ç i
あくろ	a̠ k ɯ̟ᵝ ɾ o̞
あぐむ	a̠ ɡ ɯ̟ᵝ m ɯ̟ᵝ
あけ	a̠ k e̞
あけくれる	a̠ k e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あけすけ	a̠ k e̞ s ɨᵝ k e̞
あけち	m e̞ː t͡ɕ i
あけはなす	a̠ k e̞ h a̠ n a̠ s ɨᵝ
あけみ	a̠ k e̞ mʲ i
あける	a̠ k e̞ ɾ ɯ̟ᵝ
あけわたし	a̠ k e̞ ɰᵝ a̠ t a̠ ɕ i
あけわたす	a̠ k e̞ ɰᵝ a̠ t a̠ s ɨᵝ
あこう	a̠ k o̞ː
あご	a̠ ɡ o̞
あさ	a̠ s a̠
あさい	a̠ s a̠ i
あさいち	a̠ s a̠ i t͡ɕ i
あさいと	a̠ s a̠ i t o̞
あさいろ	a̠ s a̠ i ɾ o̞
あさおき	a̠ s a̠ o̞ kʲ i
あさか	a̠ s a̠ k a̠
あさかつ	a̠ s a̠ k a̠ t͡s ɨᵝ
あさくら	a̠ s a̠ k ɯ̟ᵝ ɾ a̠
あさつゆ	a̠ s a̠ t͡s ɨᵝ j ɯ̟ᵝ
あさと	a̠ s a̠ t o̞
あさなわ	a̠ s a̠ n a̠ ɰᵝ a̠
あさぬの	a̠ s a̠ n ɯ̟ᵝ n o̞
あさね	a̠ s a̠ n e̞
あさのかい	a̠ s a̠ n o̞ k a̠ i
あさはか	a̠ s a̠ h a̠ k a̠
あさひ	a̠ s a̠ ç i
あさひかわ	a̠ s a̠ ç i k a̠ ɰᵝ a̠
あさひこ	a̠ s a̠ ç i k o̞
あさひる	a̠ s a̠ ç i ɾ ɯ̟ᵝ
あさましい	a̠ s a̠ m a̠ ɕ i i
あさもや	a̠ s a̠ m o̞ j a̠
あさやけ	a̠ s a̠ j a̠ k e̞
あさゆ	a̠ s a̠ j ɯ̟ᵝ
あさる	a̠ s a̠ ɾ ɯ̟ᵝ
あされん	a̠ s a̠ ɾ ẽ̞ ɴ
あさんかちっそ	a̠ s ã̠ ŋ k a̠ t͡ɕ i sː o̞
あざらし	a̠ z a̠ ɾ a̠ ɕ i
あし	a̠ ɕ i
あし	kʲ a̠ k ɯ̟ᵝ
あしあと	a̠ ɕ i a̠ t o̞
あしい	a̠ ɕ iː
あしか	a̠ ɕ i̥ k a̠
あしき	a̠ ɕ i kʲ i
あしきり	a̠ ɕ i kʲ i ɾʲ i
あしこ	a̠ ɕ i k o̞
あした	a̠ ɕ i̥ t a̠
あしのうら	a̠ ɕ i n o̞ ɯ̟ᵝ ɾ a̠
あしはら	a̠ ɕ i̥ h a̠ ɾ a̠
あしはらのなかつくに	a̠ ɕ i h a̠ ɾ a̠ n o̞ n a̠ k a̠ t͡s ɨᵝ k ɯ̟ᵝ ɲ̟ i
あしまわり	a̠ ɕ i m a̠ ɰᵝ a̠ ɾʲ i
あしもと	a̠ ɕ i m o̞ t o̞
あしゃ	a̠ ɕ a̠
あしゅ	a̠ ɕ ɨᵝ
あしゅう	a̠ ɕ ɨᵝː
あしゅら	a̠ ɕ ɨᵝ ɾ a̠
あしゆ	a̠ ɕ i j ɯ̟ᵝ
あしょうさん	a̠ ɕ o̞ː s ã̠ ɴ
あじさい	a̠ ʑ i s a̠ i
あすなろ	a̠ s ɨᵝ n a̠ ɾ o̞
あずさ	a̠ z ɨᵝ s a̠
あせ	a̠ s e̞
あせくさい	a̠ s e̞ k ɯ̟̊ᵝ s a̠ i
あせまみれ	a̠ s e̞ m a̠ mʲ i ɾ e̞
あせり	a̠ s e̞ ɾʲ i
あせる	a̠ s e̞ ɾ ɯ̟ᵝ
あそ	a̠ s o̞
あそこ	a̠ s o̞ k o̞
あそん	a̠ s õ̞ ɴ
あたい	a̠ t a̠ i
あたいする	a̠ t a̠ i s ɨᵝ ɾ ɯ̟ᵝ
あたいりく	a̠ t a̠ i ɾʲ i k ɯ̟ᵝ
あたう	a̠ t a̠ ɯ̟ᵝ
あたえる	a̠ t a̠ e̞ ɾ ɯ̟ᵝ
あたおか	a̠ t a̠ o̞ k a̠
あたかも	a̠ t a̠ k a̠ m o̞
あたくし	a̠ t a̠ k ɯ̟̊ᵝ ɕ i
あたし	a̠ t a̠ ɕ i
あたたか	a̠ t a̠ t a̠ k a̠
あたたかい	a̠ t a̠ t a̠ k a̠ i
あたたまる	a̠ t a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
あたためる	a̠ t a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あたふた	a̠ t a̠ ɸ ɯ̟ᵝ t a̠
あたま	a̠ t a̠ m a̠
あたまきん	a̠ t a̠ m a̠ kʲ ĩ ɴ
あたまにはいる	a̠ t a̠ m a̠ ɲ̟ i h a̠ i ɾ ɯ̟ᵝ
あたみ	a̠ t a̠ mʲ i
あたら	a̠ t a̠ ɾ a̠
あたらしい	a̠ t a̠ ɾ a̠ ɕ iː
あたり	a̠ t a̠ ɾʲ i
あたりさわり	a̠ t a̠ ɾʲ i s a̠ ɰᵝ a̠ ɾʲ i
あたりや	a̠ t a̠ ɾʲ i j a̠
あたる	a̠ t a̠ ɾ ɯ̟ᵝ
あだな	a̠ d a̠ n a̠
あちゃあ	a̠ t͡ɕ a̠ː
あちら	a̠ t͡ɕ i ɾ a̠
あちらこちら	a̠ t͡ɕ i ɾ a̠ k o̞ t͡ɕ i ɾ a̠
あっか	a̠ k̚ k a̠
あっかん	a̠ k̚ k ã̠ ɴ
あっかんしょうせつ	a̠ k̚ k ã̠ ɰ̃ ɕ o̞ː s e̞ t͡s ɨᵝ
あっけない	a̠ k̚ k e̞ n a̠ i
あっけにとられる	a̠ k̚ k e̞ ɲ̟ i t o̞ ɾ a̠ ɾ e̞ ɾ ɯ̟ᵝ
あっけらかん	a̠ k̚ k e̞ ɾ a̠ k ã̠ ɴ
あっさく	a̠ sː a̠ k ɯ̟ᵝ
あっさつ	a̠ sː a̠ t͡s ɨᵝ
あっさり	a̠ sː a̠ ɾʲ i
あっし	a̠ ɕː i
あっせい	a̠ sː e̞ː
あったかい	a̠ t̚ t a̠ k a̠ i
あっちいけ	a̠ t̚ t͡ɕ i i k e̞
あっちゃえ	a̠ t̚ t͡ɕ a̠ e̞
あっちゃく	a̠ t̚ t͡ɕ a̠ k ɯ̟ᵝ
あっちゃこっちゃ	a̠ t̚ t͡ɕ a̠ k o̞ t̚ t͡ɕ a̠
あっというま	a̠ t̚ t o̞ i ɯ̟ᵝ m a̠
あっといわせる	a̠ t̚ t o̞ i ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
あっとう	a̠ t̚ t o̞ː
あっとうてき	a̠ t̚ t o̞ː t e̞ kʲ i
あつ	a̠ t͡s ɨᵝ
あつあつ	a̠ t͡s ɨᵝ a̠ t͡s ɨᵝ
あつい	a̠ t͡s ɨᵝ i
あつか	a̠ t͡s ɨᵝ k a̠
あつかい	a̠ t͡s ɨ̥ᵝ k a̠ i
あつかう	a̠ t͡s ɨ̥ᵝ k a̠ ɯ̟ᵝ
あつかましい	a̠ t͡s ɨ̥ᵝ k a̠ m a̠ ɕ i i
あつくるしい	a̠ t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あつし	a̠ t͡s ɨᵝ ɕ i
あつた	a̠ t͡s ɨᵝ t a̠
あつひろ	a̠ t͡s ɨᵝ ç i ɾ o̞
あつび	a̠ t͡s ɨᵝ bʲ i
あつま	a̠ t͡s ɨᵝ m a̠
あつまり	a̠ t͡s ɨᵝ m a̠ ɾʲ i
あつまる	a̠ t͡s ɨᵝ m a̠ ɾ ɯ̟ᵝ
あつみ	a̠ t͡s ɨᵝ mʲ i
あつむ	a̠ t͡s ɨᵝ m ɯ̟ᵝ
あつめる	a̠ t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
あつらえる	a̠ t͡s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
あつりょく	a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ
あつれき	a̠ t͡s ɨᵝ ɾ e̞ kʲ i
あて	a̠ t e̞
あてこむ	a̠ t e̞ k o̞ m ɯ̟ᵝ
あてな	a̠ t e̞ n a̠
あてはまる	a̠ t e̞ h a̠ m a̠ ɾ ɯ̟ᵝ
あてはめる	a̠ t e̞ h a̠ m e̞ ɾ ɯ̟ᵝ
あてる	a̠ t e̞ ɾ ɯ̟ᵝ
あと	a̠ t o̞
あといれ	a̠ t o̞ i ɾ e̞
あとおし	a̠ t o̞ o̞ ɕ i
あとかた	a̠ t o̞ k a̠ t a̠
あとさき	a̠ t o̞ s a̠ kʲ i
あとにする	a̠ t o̞ ɲ̟ i s ɨᵝ ɾ ɯ̟ᵝ
あとのまつり	a̠ t o̞ n o̞ m a̠ t͡s ɨᵝ ɾʲ i
あとまわし	a̠ t o̞ m a̠ ɰᵝ a̠ ɕ i
あとめ	a̠ t o̞ m e̞
あとり	a̠ t o̞ ɾʲ i
あな	a̠ n a̠
あなうめ	a̠ n a̠ ɯ̟ᵝ m e̞
あなた	a̠ n a̠ t a̠
あなたいろ	a̠ n a̠ t a̠ i ɾ o̞
あなたたち	a̠ n a̠ t a̠ t a̠ t͡ɕ i
あなほり	a̠ n a̠ h o̞ ɾʲ i
あなん	a̠ n ã̠ ɴ
あに	a̠ ɲ̟ i
あにい	a̠ ɲ̟ iː
あにうえ	a̠ ɲ̟ i ɯ̟ᵝ e̞
あにき	a̠ ɲ̟ i kʲ i
あね	a̠ n e̞
あねうえ	a̠ n e̞ ɯ̟ᵝ e̞
あねき	a̠ n e̞ kʲ i
あねったい	a̠ n e̞ t̚ t a̠ i
あの	a̠ n o̞
あのう	a̠ n o̞ː
あのかた	a̠ n o̞ k a̠ t a̠
あのね	a̠ n o̞ n e̞
あのひ	a̠ n o̞ ç i
あのひと	a̠ n o̞ ç i̥ t o̞
あのひとたち	a̠ n o̞ ç i̥ t o̞ t a̠ t͡ɕ i
あのよ	a̠ n o̞ j o̞
あのよいき	a̠ n o̞ j o̞ i kʲ i
あのよゆき	a̠ n o̞ j o̞ j ɯ̟ᵝ kʲ i
あば	a̠ b a̠
あばら	a̠ b a̠ ɾ a̠
あばらぼね	a̠ b a̠ ɾ a̠ b o̞ n e̞
あひさん	a̠ ç i s ã̠ ɴ
あひる	a̠ ç i ɾ ɯ̟ᵝ
あひるすわり	a̠ ç i ɾ ɯ̟ᵝ s ɨᵝ ɰᵝ a̠ ɾʲ i
あふ	a̠ ɸ ɯ̟ᵝ
あふれかえる	a̠ ɸ ɯ̟ᵝ ɾ e̞ k a̠ e̞ ɾ ɯ̟ᵝ
あふれる	a̠ ɸ ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あぶみこつ	a̠ b ɯ̟ᵝ mʲ i k o̞ t͡s ɨᵝ
あへん	a̠ h ẽ̞ ɴ
あほう	a̠ h o̞ː
あほうどり	a̠ h o̞ː d o̞ ɾʲ i
あほくさい	a̠ h o̞ k ɯ̟ᵝ s a̠ i
あま	a̠ m a̠
あまい	a̠ m a̠ i
あまいろ	a̠ m a̠ i ɾ o̞
あまえる	a̠ m a̠ e̞ ɾ ɯ̟ᵝ
あまおと	a̠ m a̠ o̞ t o̞
あまからい	a̠ m a̠ k a̠ ɾ a̠ i
あまかわ	a̠ m a̠ k a̠ ɰᵝ a̠
あまぎ	a̠ m a̠ ɡʲ i
あます	a̠ m a̠ s ɨᵝ
あまた	a̠ m a̠ t a̠
あまったれる	a̠ m a̠ t̚ t a̠ ɾ e̞ ɾ ɯ̟ᵝ
あまっちょろい	a̠ m a̠ t̚ t͡ɕ o̞ ɾ o̞ i
あまつかみ	a̠ m a̠ t͡s ɨᵝ k a̠ mʲ i
あまつさえ	a̠ m a̠ t͡s ɨᵝ s a̠ e̞
あまつまら	a̠ m a̠ t͡s ɨᵝ m a̠ ɾ a̠
あまてらす	a̠ m a̠ t e̞ ɾ a̠ s ɨᵝ
あまとう	a̠ m a̠ t o̞ː
あまねく	a̠ m a̠ n e̞ k ɯ̟ᵝ
あまねし	a̠ m a̠ n e̞ ɕ i
あまのいわと	a̠ m a̠ n o̞ i ɰᵝ a̠ t o̞
あまのいわとわけ	a̠ m a̠ n o̞ i ɰᵝ a̠ t o̞ ɰᵝ a̠ k e̞
あまのまひとつ	a̠ m a̠ n o̞ m a̠ ç i t o̞ t͡s ɨᵝ
あまみ	a̠ m a̠ mʲ i
あまみず	a̠ m a̠ mʲ i z ɨᵝ
あまみなみ	a̠ m a̠ mʲ i n a̠ mʲ i
あまみや	a̠ m a̠ mʲ i j a̠
あまもり	a̠ m a̠ m o̞ ɾʲ i
あまやかす	a̠ m a̠ j a̠ k a̠ s ɨᵝ
あまり	a̠ m a̠ ɾʲ i
あまりにも	a̠ m a̠ ɾʲ i ɲ̟ i m o̞
あまる	a̠ m a̠ ɾ ɯ̟ᵝ
あみ	a̠ mʲ i
あみこ	a̠ mʲ i k o̞
あみてん	a̠ mʲ i t ẽ̞ ɴ
あみの	a̠ mʲ i n o̞
あみもの	a̠ mʲ i m o̞ n o̞
あむ	a̠ m ɯ̟ᵝ
あめ	a̠ m e̞
あめおとこ	a̠ m e̞ o̞ t o̞ k o̞
あめおんな	a̠ m e̞ õ̞ nː a̠
あめちゃん	a̠ m e̞ t͡ɕ ã̠ ɴ
あめのした	a̠ m e̞ n o̞ ɕ i̥ t a̠
あめふり	a̠ m e̞ ɸ ɯ̟ᵝ ɾʲ i
あめもよう	a̠ m e̞ m o̞ j o̞ː
あもく	a̠ m o̞ k ɯ̟ᵝ
あやうい	a̠ j a̠ ɯ̟ᵝ i
あやか	a̠ j a̠ k a̠
あやかる	a̠ j a̠ k a̠ ɾ ɯ̟ᵝ
あやこ	a̠ j a̠ k o̞
あやしい	a̠ j a̠ ɕ iː
あやしむ	a̠ j a̠ ɕ i m ɯ̟ᵝ
あやす	a̠ j a̠ s ɨᵝ
あやせ	a̠ j a̠ s e̞
あやつ	a̠ j a̠ t͡s ɨᵝ
あやつる	a̠ j a̠ t͡s ɨᵝ ɾ ɯ̟ᵝ
あやとり	a̠ j a̠ t o̞ ɾʲ i
あやなし	a̠ j a̠ n a̠ ɕ i
あやふや	a̠ j a̠ ɸ ɯ̟ᵝ j a̠
あやまち	a̠ j a̠ m a̠ t͡ɕ i
あやまつ	a̠ j a̠ m a̠ t͡s ɨᵝ
あやまり	a̠ j a̠ m a̠ ɾʲ i
あやまる	a̠ j a̠ m a̠ ɾ ɯ̟ᵝ
あやめる	a̠ j a̠ m e̞ ɾ ɯ̟ᵝ
あゆ	a̠ j ɯ̟ᵝ
あゆこ	a̠ j ɯ̟ᵝ k o̞
あゆみ	a̠ j ɯ̟ᵝ mʲ i
あゆむ	a̠ j ɯ̟ᵝ m ɯ̟ᵝ
あら	a̠ ɾ a̠
あらあら	a̠ ɾ a̠ː ɾ a̠
あらあらしい	a̠ ɾ a̠ a̠ ɾ a̠ ɕ iː
あらい	a̠ ɾ a̠ i
あらいなおす	a̠ ɾ a̠ i n a̠ o̞ s ɨᵝ
あらいもの	a̠ ɾ a̠ i m o̞ n o̞
あらう	a̠ ɾ a̠ ɯ̟ᵝ
あらうし	a̠ ɾ a̠ ɯ̟ᵝ ɕ i
あらかた	a̠ ɾ a̠ k a̠ t a̠
あらかん	a̠ ɾ a̠ k ã̠ ɴ
あらし	a̠ ɾ a̠ ɕ i
あらす	a̠ ɾ a̠ s ɨᵝ
あらそい	a̠ ɾ a̠ s o̞ i
あらそう	a̠ ɾ a̠ s o̞ ɯ̟ᵝ
あらた	a̠ ɾ a̠ t a̠
あらたか	a̠ ɾ a̠ t a̠ k a̠
あらたまの	a̠ ɾ a̠ t a̠ m a̠ n o̞
あらたまる	a̠ ɾ a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
あらためて	a̠ ɾ a̠ t a̠ m e̞ t e̞
あらためる	a̠ ɾ a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あらて	a̠ ɾ a̠ t e̞
あらぬ	a̠ ɾ a̠ n ɯ̟ᵝ
あらぬか	a̠ ɾ a̠ n ɯ̟ᵝ k a̠
あらねつ	a̠ ɾ a̠ n e̞ t͡s ɨᵝ
あらまあ	a̠ ɾ a̠ m a̠ː
あらみたま	a̠ ɾ a̠ mʲ i t a̠ m a̠
あらめ	a̠ ɾ a̠ m e̞
あらやしき	a̠ ɾ a̠ j a̠ ɕ i kʲ i
あらゆる	a̠ ɾ a̠ j ɯ̟ᵝ ɾ ɯ̟ᵝ
あらら	a̠ ɾ a̠ ɾ a̠
あられ	a̠ ɾ a̠ ɾ e̞
あられいし	a̠ ɾ a̠ ɾ e̞ i ɕ i
あられもち	a̠ ɾ a̠ ɾ e̞ m o̞ t͡ɕ i
あられもない	a̠ ɾ a̠ ɾ e̞ m o̞ n a̠ i
あらわし	a̠ ɾ a̠ ɰᵝ a̠ ɕ i
あらわす	a̠ ɾ a̠ ɰᵝ a̠ s ɨᵝ
あらわる	a̠ ɾ a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
あらわれる	a̠ ɾ a̠ ɰᵝ a̠ ɾ e̞ ɾ ɯ̟ᵝ
あり	a̠ ɾʲ i
ありあけ	a̠ ɾʲ i a̠ k e̞
ありあまる	a̠ ɾʲ i a̠ m a̠ ɾ ɯ̟ᵝ
ありうる	a̠ ɾʲ i ɯ̟ᵝ ɾ ɯ̟ᵝ
ありか	a̠ ɾʲ i k a̠
ありきたり	a̠ ɾʲ i kʲ i t a̠ ɾʲ i
ありくい	a̠ ɾʲ i k ɯ̟ᵝ i
ありさま	a̠ ɾʲ i s a̠ m a̠
ありしひ	a̠ ɾʲ i ɕ i ç i
ありてい	a̠ ɾʲ i t e̞ː
ありとあらゆる	a̠ ɾʲ i t o̞ a̠ ɾ a̠ j ɯ̟ᵝ ɾ ɯ̟ᵝ
ありなし	a̠ ɾʲ i n a̠ ɕ i
ありのこ	a̠ ɾʲ i n o̞ k o̞
