Ааӷәа	aː ʁʷ a
анҵәых	a n t ɕʼʷ ə χ
анҵәыхооны	a n t ɕʼʷ ə χ o̞ː n ə
анҵәыхымҫәа	a n t ɕʼʷ ə χ ə m ɕʷ a
аԥырамса	a pʰ ə r a m s a
араԥбза	a r a pʰ b z a
арӄан	a r q a n
арма	a r m a
арманбза	a r m a n b z a
Арманшәабла	a r m a n ʃʷ a b l a
армоу	a r m o̞ w
арнауҭ	a r n a w ə tʰ
арнауҭбза	a r n a w ə tʰ b z a
Арнауҭшәабла	a r n a w ə tʰ ʃʷ a b l a
асԯан	a s ɬ a n
атәамҫәа	a tʼʷ a m ɕʷ a
ау'ҟ'әа	a wˤ qˤʼʷ a
Аусҭриа	a w ə s tʰ r ə j a
ауџы	a w ɖ ʐ ə
Афасыжь	a f a s ə ʒ
аҳах	a h a χ
аҳмақ	a h m a kʰ
аҳреҭ	a h r e̞ tʰ
ашьа	a ʃ a
ашьабахәа	a ʃ a b a χʷ a
ашьын	a ʃ ə n
баада	b aː d a
бааџьа	b aː d ʒ a
бабаи	b a b a j
багьына	b a ɡʲ ə n a
багьыха	b a ɡʲ ə χ a
багәы	b a ɡʷ ə
баӷҽа	b a ʁ ʈ ʂʰ a
баӷыр	b a ʁ ə r
баӷәа	b a ʁʷ a
бадауи	b a d a w ə j
баҙа	b a ʑ a
баираҟ	b a j r a qʼ
бакь	b a kʼʲ
Баҟҟәы	b a qʼ qʼʷ ə
баҟыр	b a qʼ ə r
баҟысма	b a qʼ ə s m a
баҟысмаҿааӷа	b a qʼ ə s m a ʈ ʂʼ aː ʁ a
баҟәыр	b a qʼʷ ə r
бамыҷ	b a m ə t ʃʼ
бана	b a n a
банаҫәы	b a n a ɕʷ ə
банӡьы	b a n d ʑ ə
бар	b a r
барасқьа	b a r a s kʰʲ a
барчыч	b a r t ʃʰ ə t ʃʰ
бат	b a tʼ
батмарза	b a tʼ m a r z a
баҭа	b a tʰ a
баҭачуана	b a tʰ a t ʃʰ ə w a n a
баҭашь	b a tʰ a ʃ
Баҭоӄәа	b a tʰ o̞ qʷ a
Баҭырбыф	b a tʰ ə r b ə f
баха	b a χ a
бахсма	b a χ s m a
бахҽа	b a χ ʈ ʂʰ a
бахәа	b a χʷ a
бахәашь	b a χʷ a ʃ
баць	b a t ɕʰ
баҵьа	b a t ɕʼ a
баҵьабҙа	b a t ɕʼ a b ʑ a
баҵьагьыҭә	b a t ɕʼ a ɡʲ ə tʰʷ
баҵьаӷалахәа	b a t ɕʼ a ʁ a l a χʷ a
баҵьаӷах	b a t ɕʼ a ʁ a χ
баҵьакьа	b a t ɕʼ a kʼʲ a
баҵьаҟәа	b a t ɕʼ a qʼʷ a
баҵьала	b a t ɕʼ a l a
баҵьаԯаҿаӷа	b a t ɕʰ a ɬ a ʈ ʂʼ a ʁ a
баҵьанцәа	b a t ɕʼ a n t ɕʰʷ a
баҵьас	b a t ɕʼ a s
баҵьаҫә	b a t ɕʼ a ɕʷ
баҵьатә	b a t ɕʼ a tʼʷ
баҵьаҭә	b a t ɕʼ a tʰʷ
баҵьау	b a t ɕʼ a w ə
бача	b a t ʃʰ a
башԯық	b a ʂ ɬ ə kʰ
башхәы	b a ʂ χʷ ə
башькьа	b a ʃ kʼʲ a
бӷалыба	b ʁ a l ə b a
бӷаԥс	b ʁ a pʰ s
бӷы	b ʁ ə
бӷь	b ʁʲ
бӷьа	b ʁʲ a
бӷьабзыԯ	b ʁʲ a b z ə ɬ
бӷьакьа	b ʁʲ a kʼʲ a
бӷьалахәа	b ʁʲ a l a χʷ a
бӷьаԥԯа	b ʁʲ a pʰ ɬ a
бӷьаҵьада	b ʁʲ a t ɕʼ a d a
бӷьаҷаҭә	b ʁʲ a t ʃʼ a tʰʷ
бӷьы	b ʁʲ ə
Беданыӄәа	b e d a n ə qʷ a
беи	b e̞ j
беинау	b e̞ j n a w ə
бераҟ	b e̞ r a qʼ
бжь	b ʒ
бжьа	b ʒ a
бжьаԯабжьа	b ʒ a ɬ a b ʒ a
бжьахьа	b ʒ a χʲ a
бжьы	b ʒ ə
бза	b z a
бзаанта	b z aː n tʼ a
бзааԥа	b z aː pʰ a
бзабза	b z a b z a
бзакәа	b z a kʼʷ a
бзарыхәа	b z a r ə χʷ a
бзах	b z a χ
бзахьадаџь	b z a χʲ a d a d ʒ
бзаҽы	b z a ʈ ʂʰ ə
бзыбза	b z ə b z a
бзыӷь	b z ə ʁʲ
бзыӷәыны	b z ə ʁʷ ə n ə
бзыдема	b z ə d ɛ m a
бзыдыма	b z ə d ə m a
бзыдымаҭаӄа	b z ə d ə m a tʰ a q a
бзыдымаҵьашә	b z ə d ə m a t ɕʼ a ʃʷ
бзыӡәоу	b z ə d ʑʷ o̞ w
бзыкәи	b z ə kʼʷ ə j
бзыҟәаҭәҟа	b z ə qʼʷ a tʰʷ qʼ a
бзыӄафа	b z ə q a f a
бзыла	b z ə l a
бзылфыӷа	b z ə l f ə ʁ a
бзымуа	b z ə m ə w a
бзынтҟәа	b z ə n tʼ qʼʷ a
бзыԥҫы	b z ə p ɕ ə
бзыҫәиа	b z ə ɕʷ ə j a
бзыу'а	b z ə wˤ a
бзыфа	b z ə f a
бзых'а	b z ə χˤ a
бзыца	b z ə t sʰ a
бзыцә	b z ə t ɕʰʷ
бзыч	b z ə t ʃʰ
бзышә	b z ə ʃʷ
бзыџьаӷашәа	b z ə d ʒ a ʁ a ʃʷ a
бҙа	b ʑ a
бҙаамыҟ'ә	b ʑ aː m ə qˤʼʷ
бҙаам'а	b ʑ aː mˤ a
бҙаза	b ʑ a z a
бҙазашау	b ʑ a z a ʂ a w ə
бҙаҟа	b ʑ a qʼ a
бҙалу'а	b ʑ a l wˤ a
бҙаԥхамџьаакьа	b ʑ a pʰ χ a m d ʒ aː kʼʲ a
бҙаҭә	b ʑ a tʰʷ
бҙаҭәа	b ʑ a tʰʷ a
бҙоу	b ʑ o̞ w
биа	b j a
биаԯьа	b ə j a ɬʼ a
бла	b l a
блаагьа	b l aː ɡʲ a
блаагьаԥԯа	b l aː ɡʲ a pʰ ɬ a
блабза	b l a b z ə
блабиа	b l a b ə j a
благьы	b l a ɡʲ ə
благьыҭә	b l a ɡʲ ə tʰʷ
блаӷанцәа	b l a ʁ a n t ɕʰʷ a
блаӷаԥԯашәа	b l a ʁ a pʰ ɬ a ʃʷ a
блаӷаҫә	b l a ʁ a ɕʷ
блаӷатә	b l a ʁ a tʼʷ
блаӷах	b l a ʁ a χ
блаӷахәа	b l a ʁ a χʷ a
блаӷьа	b l a ʁʲ a
блаӷәацаҟа	b l a ʁʷ a t sʰ a qʼ a
блаӷәынӷьа	b l a ʁʷ ə n ʁʲ a
блаӷ'әа	b l a ʁˤʷ a
бладыҟ'ә	b l a d ə qˤʼʷ
блаза	b l a z a
блазооуҟа	b l a z a w a w ə qʼ a
блакь	b l a kʼʲ
блаҟәырдаҟа	b l a qʼʷ ə r d a qʼ a
блаҟ'әы	b l a qˤʼʷ ə
бламааӷьа	b l a m aː ʁʲ a
бламса	b l a m s a
блаԥԯачаха	b l a pʰ ɬ a t ʃʰ a x a
блас	b l a s
блаҫәа	b l a ɕʷ a
блатә	b l a tʼʷ
блатәас	b l a tʼʷ a s
блатәышәа	b l a tʼʷ ə ʃʷ a
блатәыџь	b l a tʼʷ ə d ʒ
блаҭха	b l a tʰ χ a
блаҭә	b a t ɕʼ a tʰʷ
блау	b l a w ə
блаушәа	b l a w ə ʃʷ a
блах	b l a χ
блахьамб'а	b l a χʲ a m bˤ a
блахә	b l a χʷ
блацәа	b l a t ɕʰʷ a
блачаҭә	b l a t ʃʰ a tʰʷ
блачау	b l a t ʃʰ a w ə
блаҷ	b l a t ʃʼ
блашәа	b l a ʃʷ a
блоуа	b l a w a
блы	b l ə
блыны	b l ə n ə
Борежә	b o̞ r e̞ ʒʷ
боуа	b o̞ w a
бохҽа	b ɔ χ ʈ ʂʰ a
брааза	b r aː z a
браазаџь	b r aː z a d ʒ
Британиагьыӡа	b r i tʼ a n ə j a ɡʲ ə d z a
брыу	b r ə w ə
брыцә	b r ə t ɕʷʰ
буаакьашәа	b ə w aː kʼʲ a ʃʷ a
быӷәы	b ə ʁʷ ə
быӷәысы	b ə ʁʷ ə s ə
быӡьаҟа	b ə d ʑ a qʼ a
быҟ'ыда	b ə qˤʼ ə d a
быҟ'ә	b ə qˤʼʷ
былгарбза	b ə l ɡ a r b z a
Былгаршәабла	b ə l ɡ a r ʃʷ a b l a
бында	b ə n d a
быны	b ə n ə
бырсмын	b ə r s m ə n
бысым	b ə s ə m
б'а	bˤ a
б'агьаты	bˤ a ɡʲ a tʼ ə
б'агьашә	bˤ a ɡʲ a ʃʷ
б'аӷ'а	bˤ a ʁˤ a
б'ажә	bˤ a ʒʷ
б'аҟ'аҷа	bˤ a qˤʼ a t ʃʼ a
б'аҟ'ы	bˤ a qˤʼ ə
б'аҟ'ыԥԯы	bˤ a qˤʼ ə pʰ ɬ ə
б'аҟ'ыԥха	bˤ a qˤʼ ə pʰ χ a
б'аӄ'а	bˤ a qˤ a
б'аӄ'ашь	bˤ a qˤ a ʃ
б'аԥсыԥсы	bˤ a pʰ s ə pʰ s ə
б'афым	bˤ a f ə m
б'ашә	bˤ a ʃʷ
б'ашәы	bˤ a ʃʷ ə
б'ӷаџьа	bˤ ʁ a d ʒ a
б'ӷ'а	bˤ ʁˤ a
б'ӷ'аџьа	bˤ ʁˤ a d ʒ a
б'ы	bˤ ə
б'ыб'	bˤ ə bˤ
б'ыша	bˤ ə ʂ a
в'а	vˤ a
в'аӷәыны	vˤ a ʁʷ ə n ə
в'асы	vˤ a s ə
в'аҫкьы	vˤ a ɕ kʼʲ ə
в'аца	vˤ a t sʰ a
в'аҵьыкь	vˤ a t ɕʼ ə kʼʲ
га	ɣ a
гаарга	ɡ aː r ɡ a
гадымаҵь	ɣ a d ə m a t ɕʼ
газына	ɡ a z ə n a
гезер	ɡ e̞ z e̞ r
гурџьыбза	ɡ w ə r d ʒ ə b z a
Гурџьышәабла	ɡ w ə r d ʒ ə ʃʷ a b l a
гыдыл	ɡ ə d ə l
гьааӷа	ɡʲ aː ʁ a
гьаарыӷәа	ɡʲ aː r ə ʁʷ a
гьаафы	ɡʲ aː f ə
гьазоз	ɡʲ a z o̞ z
гьамыҟә	ɡʲ a m ə qʼʷ
гьанҵьа	ɡʲ a n t ɕʼ a
гьанҵәа	ɡʲ a n t ɕʼʷ
гьаты	ɡʲ a tʼ ə
гьауаҭәы	ɡʲ a w a tʰʷ ə
гьахәа	ɡʲ a χʷ a
гьаҵь	ɡʲ a t ɕʼ
гьаша	ɡʲ a ʂ a
гьашәа	ɡʲ a ʃʷ a
гьашәама	ɡʲ a ʃʷ a m a
гьы	ɡʲ ə
гьыба	ɡʲ ə b a
гьыбӷы	ɡʲ ə b ʁ ə
гьыбӷьа	ɡʲ ə b ʁʲ a
гьыбжь	ɡʲ ə b ʒ
гьыгьа	ɡʲ ə ɡʲ a
гьыгьаҙа	ɡʲ ə ɡʲ a ʑ a
гьыгьаԥшьа	ɡʲ ə ɡʲ a pʰ ʃ a
гьыгьаҫәа	ɡʲ ə ɡʲ a ɕʷ a
гьыдыӷы	ɡʲ ə d ə ʁ ə
гьыӡа	ɡʲ ə d z a
гьыҟа	ɡʲ ə qʼ a
гьыҟәа	ɡʲ ə qʼʷ a
гьыл	ɡʲ ə l
гьыпҟьа	ɡʲ ə pʼ qʼʲ a
гьытәы	ɡʲ ə tʼʷ ə
гьыуқә	ɡʲ ə w ə kʰʷ
гьыфа	ɡʲ ə f a
гьыфаҟәаԯьа	ɡʲ ə f a qʼʷ a ɬʼ a
гьыфаӄ'а	ɡʲ ə f a qˤ a
гьыфаҵьада	ɡʲ ə f a t ɕʼ a d a
гьыхы	ɡʲ ə χ ə
гьыхьа	ɡʲ ə χʲ a
гьыхәадоу	ɡʲ ə χʷ a d o̞ w
гьыцәаб'а	ɡʲ ə t ɕʰʷ a bˤ a
гьыҵәаҵә	ɡʲ ə t ɕʼʷ a t ɕʼʷ
гьыҿа	ɡʲ ə ʈ ʂʼ a
гьышаҟа	ɡʲ ə ʂ a qʼ a
гәа	ɡʷ a
гәааҟа	ɡʷ aː qʼ a
гәааҟашәа	ɡʷ aː qʼ a ʃʷ a
гәыбӷьа	ɡʷ ə b ʁʲ a
гәыӡь	ɡʷ ə d ʑ
гәыма	ɡʷ ə m a
гәымаахьа	ɡʷ ə m aː χʲ a
гәымабыӡ	ɡʷ ə m a b ə d z
гәымау'ҟ'әа	ɡʷ ə m a wˤ qˤʼʷ a
Гәымзаӷ	ɡʷ ə m z a ʁ
гәыцааф	ɡʷ ə t sʰ aː f
гәычааҟа	ɡʷ ə t ʃʰ aː qʼ a
гәычааҟаӷ	ɡʷ ə t ʃʰ aː qʼ a ʁ
гәыҷааиа	ɡʷ ə t ʃʼ aː j a
гәышьа	ɡʷ ə ʃ a
ӷ	ʁ
ӷаанцәых	ʁ aː n t ɕʼʷ ə χ
ӷагәада	ʁ a ɡʷ a d a
ӷаӷәа	ʁ a ʁʷ a
ӷаӷәашәаԯадыча	ʁ a ʁʷ a ʃʷ a ɬ a d ə t ʃʰ a
ӷаз	ʁ a z
ӷакьа	ʁ a kʼʲ a
ӷала	ʁ a l a
ӷалаҵьафы	ʁ a l a t ɕʼ a f ə
ӷанча	ʁ a n t ʃʰ a
ӷатә	ʁ a tʼʷ
ӷаҭхә	ʁ a tʰ χʷ
ӷау	ʁ a w ə
ӷаҵа	ʁ a t sʼ a
ӷаҵабҙаҭә	ʁ a t sʼ a b ʑ a tʰʷ
ӷаҵаӷәа	ʁ a t sʼ a ʁʷ a
ӷаҵаӷәоу	ʁ a t sʼ a ʁʷ o̞ w
ӷаҵаҫә	ʁ a t sʼ a ɕʷ
ӷаҵатә	ʁ a t sʼ a tʼʷ
ӷаҵатәас	ʁ a t sʼ a tʼʷ a s
ӷаҵаҭә	ʁ a t sʼ a tʰʷ
ӷаҵау	ʁ a t sʼ a w ə
ӷаҵах	ʁ a t sʼ a χ
ӷаҵеиа	ʁ a t sʼ a j a
ӷаҵеиаӷәа	ʁ a t sʼ a j a ʁʷ a
ӷачада	ʁ a t ʃʰ a d a
ӷашахыман	ɣ a ʂ a χ ə m a n
ӷашмақ	ʁ a ʂ m a kʰ
ӷаџьах	ʁ a d ʒ a χ
ӷеиа	ʁ a j a
ӷыба	ʁ ə b a
ӷыбза	ʁ ə b z a
ӷыз	ʁ ə z
ӷырԥхьадыкә	ʁ ə r pʰ χʲ a d ə kʼʷ
ӷьа	ʁʲ a
ӷьада	ʁʲ a d a
ӷьадыӷҟа	ʁʲ a d ə ʁ qʼ a
ӷьаҙәацьа	ʁʲ a ʑʷ a t ɕʰ a
ӷьакьа	ʁʲ a kʼʲ a
ӷьафына	ʁʲ a f ə n a
ӷәа	ʁʷ a
ӷәаӷәы	ʁʷ a ʁʷ ə
ӷәадыҟы	ʁʷ a d ə qʼ ə
ӷәаза	ʁʷ a z a
ӷәаӡьада	ʁʷ a d ʑ a d a
ӷәаҟ	ʁʷ a qʼ
ӷәаҟа	ʁʷ a qʼ a
ӷәала	ʁʷ a l a
ӷәалабзы	ʁʷ a l a b z ə
ӷәалагьыӡа	ʁʷ a l a ɡʲ ə d z a
ӷәана	ʁʷ a n a
ӷәанцәа	ʁʷ a n t ɕʰʷ a
ӷәаԥча	ʁʷ a pʰ t ʃʰ a
ӷәараҫәы	ʁʷ a r a ɕʷ ə
ӷәаҫә	ʁʷ a ɕʷ
ӷәатә	ʁʷ a tʼʷ
ӷәатәыџь	ʁʷ a tʼʷ ə d ʒ
ӷәау	ʁʷ a w ə
ӷәах	ʁʷ a χ
ӷәаца	ʁʷ a t sʰ a
ӷәацаҟа	ʁʷ a t sʰ a qʼ a
ӷәаҷыӷ	ʁʷ a t ʃʼ ə ʁ
ӷәаҽа	ʁʷ a ʈ ʂʰ a
ӷәаџь	ʁʷ a d ʒ
ӷәоомыл	ʁʷ o̞ː m ə l
ӷәоу	ʁʷ o̞ w
ӷәы	ʁʷ ə
ӷәымтым	ʁʷ ə m tʼ ə m
ӷәына	ʁʷ ə n a
ӷәынаакә	ʁʷ ə n aː kʼʷ
ӷәынаҫәа	ʁʷ ə n a ɕʷ a
ӷәынгьа	ʁʷ ə n ɡʲ a
ӷәындәаабӷьа	ʁʷ ə n dʷ aː b ʁʲ a
ӷәындәы	ʁʷ ə n dʷ ə
ӷәындәыҟәоу	ʁʷ ə n dʷ ə qʼʷ o̞ w
ӷәындәыџьа	ʁʷ ə n dʷ ə d ʒ a
ӷәыны	ʁʷ ə n ə
ӷәыԥча	ʁʷ ə pʰ t ʃʰ a
ӷәырбашь	ʁʷ ə r b a ʃ
ӷәырда	ʁʷ ə r d a
ӷәырза	ʁʷ ə r z a
ӷ'	ʁˤ
ӷ'аанца	ʁˤ aː n t sʰ a
ӷ'аб'а	ʁˤ a bˤ a
ӷ'аҟа	ʁˤ a qʼ a
ӷ'алу'а	ʁˤ a l wˤ a
ӷ'аца	ʁˤ a t sʰ a
ӷ'ача	ʁˤ a t ʃʰ a
ӷ'ыԯа	ʁˤ ə ɬ a
да	d a
дааӷьа	d aː ʁʲ a
дааҟ	d aː qʼ
давриш	d ä v r i ʂ
дагьыӷы	d a ɡʲ ə ʁ ə
дагәааҫа	d a ɡʷ aː ɕ a
дагәы	d a ɡʷ ə
даӷьырымыӡьы	d a ʁʲ ə r ə m ə d ʑ ə
даӷәа	d a ʁʷ a
даӷәамса	d a ʁʷ a m s a
дакьа	d a kʼʲ a
даҟа	d a qʼ a
даҟәа	d a qʼʷ a
даԯаҟаала	d a ɬ a qʼ aː l a
даԥх	d a pʰ χ
даԥшьоу	d a pʰ ʃ a w
даҭә	d a tʰʷ
даул	d a w u l
даушь	d a w ə ʃ
дахәа	d a χʷ a
дахәаԥча	d a χʷ a pʰ t ʃʰ a
дашьаахьа	d a ʃ aː χʲ a
дашәандыкьы	d a ʃʷ a n d ə kʼʲ ə
дашәаны	d a ʃʷ a n ə
дашәы	d a ʃʷ ə
дӷа	d ʁ a
дӷаарабы	d ʁ a aː r a b ə
дӷаҙы	d ʁ a ʑ ə
дӷан	d ʁ a n
дӷаҫәа	d ʁ a ɕʷ a
дӷача	d ʁ a t ʃʰ a
дӷашьагьы	d ʁ a ʃ a ɡʲ ə
дема	d ɛ m a
демаахьа	d ɛ m aː χʲ a
демаӷьа	d ɛ m a ʁʲ a
демаҵь	d ɛ m a t ɕʼ
диа	d ə j a
диалы	d ə j a l ə
диацәа	d ə j a t ɕʰʷ a
диашь	d ə j a ʃ
дуа	d ə w a
дуаӷьа	d ə w a ʁʲ a
дуаҟа	d ə w a qʼ a
дуқьан	d ə w kʰʲ a n
дулаԥ	d ə w l a pʰ
думафа	d ə w m a f a
дунеи	d ə w n a j
душаҟа	d ə w ʂ a qʼ a
душаҟашь	d ə w ʂ a qʼ a ʃ
дыба	d ə b a
дыбзы	d ə b z ə
дыӷынца	d ə ʁ ə n t sʰ a
дыӷь	d ə ʁʲ
дыӷәаны	d ə ʁʷ a n ə
дыӷәы	d ə ʁʷ ə
дыӷәыҟәоу	d ə ʁʷ ə qʼʷ o̞ w
дыӷ'	d ə ʁˤ
дыӷ'ҟа	d ə ʁˤ qʼ a
дыд	d ə d
дыдҟа	d ə d qʼ a
дыҙәаакьа	d ə ʑʷ aː kʼʲ a
дықьа	d ə kʰʲ a
дынқьа	d ə n kʰʲ a
Дыԥшьоу	d ə pʰ ʃ o̞ w
дыԥшьы	d ə pʰ ʃ ə
дыф	d ə f
дыхахоу	d ə χ a χ o̞ w
дыхоу	d ə x o̞ w
дыхы	d ə χ ə
дычыдоу	d ə t ʃʰ ə d o̞ w
дәа	dʷ a
дәанаакьа	dʷ a n aː kʼʲ a
дәау	dʷ a w ə
дәыдәа	dʷ ə dʷ a
дәыҫәах	dʷ ə ɕʷ a x
ебеԥхьашә	e̞ b e̞ pʰ χʲ a ʃʷ
Ебзыш	e̞ b z ə ʂ
евер	e̞ v e̞ r
еиӷьа	e̞ j ʁʲ a
еида	e̞ j d a
еқуҭ	e̞ kʰ u tʰ
елеқь	e̞ l e̞ kʰʲ
Елҟан	e̞ l qʼ a n
еман	e̞ m a n
еныҙ	j a n ə ʑ
Ерымхәа	e̞ r ə m χʷ a
ерыша	e̞ r ə ʂ a
еҭым	j a tʰ ə m
ехәыдбза	e̞ χʷ ə d b z a
Ехәыдшәабла	e̞ χʷ ə d ʃʷ a b l a
ецәа	e̞ t ɕʰʷ a
ецәахәыреи	j a t ɕʰʷ a χʷ ə r e̞ j
ж	ʐ
жа	ʐ a
жаакьа	ʐ aː kʼʲ a
жаӄә	ʐ a qʷ
жаужаакьа	ʐ a w ə ʐ aː kʼʲ a
жӷәа	ʐ ʁʷ a
жьоуа	ʒ a w a
жьы	ʒ ə
жәа	ʒʷ a
жәааҟа	ʒʷ aː qʼ a
жәаала	ʒʷ aː l a
жәагәыма	ʒʷ a ɡʷ ə m a
жәамԯы	ʒʷ a m ɬ ə
жәанкьы	ʒʷ a n kʼʲ ə
жәаудәа	ʒʷ a
жәашәа	ʒʷ a ʃʷ a
жәы	ʒʷ ə
жәыбӷьы	ʒʷ ə b ʁʲ ə
жәыбл	ʒʷ ə b l
жәыӷәа	ʒʷ ə ʁʷ a
жәыза	ʒʷ ə z a
жәыҟа	ʒʷ ə qʼ a
жәыҟажәы	ʒʷ ə qʼ a ʒʷ ə
жәыӄа	ʒʷ ə q a
жәыпҭәы	ʒʷ ə pʼ tʰʷ ə
жәыҫа	ʒʷ ə ɕ a
жәытҟәа	ʒʷ ə tʼ qʼʷ a
жәыф	ʒʷ ə f
жәыхы	ʒʷ ə χ ə
жәыҷа	ʒʷ ə t ʃʼ a
жәышьх	ʒʷ ə ʃ χ
жәышьы	ʒʷ ə ʃ ə
за	z a
зауадуаакьа	z a w a d ə w aː kʼʲ a
Зафҟара	z a f qʼ a r a
зафҭиа	z a f tʰ ə j a
зеиа	z a j a
Зеиҫәа	z a j ɕʷ a
зеиҭын	z e̞ j tʰ ə n
зуруԯ	z ə w r ə w ɬ
ҙаҙа	ʑ a ʑ a
ҙаҙаакьа	ʑ a ʑ aː kʼʲ a
ҙынгәа	ʑ ə n ɡʷ a
ҙынгәаабӷьа	ʑ ə n ɡʷ aː b ʁʲ a
ҙынҭу	ʑ ə n tʰ ə w
ҙәа	ʑʷ a
ҙәабаӡьы	ʑʷ a b a d ʑ ə
ҙәаӷа	ʑʷ a ʁ a
Ҙәаӷьооҟаԯа	ʑʷ a ʁʲ o̞ː qʼ a ɬ a
ҙәаӡы	ʑʷ a d z ə
ҙәаӡыбзы	ʑʷ a d z ə b z ə
ҙәаӡьа	ʑʷ a d a
Ҙәыда	ʑʷ ə d a
ҙәымҵа	ʑʷ ə m t sʼ a
ҙәымҵаԥԯы	ʑʷ ə m t sʼ a pʰ ɬ ə
ӡ	d z
ӡа	d z a
ӡаахәа	d z aː χʷ a
ӡаӷ'әа	d z a ʁˤʷ a
ӡаҟәа	d z a qʼʷ a
ӡамӷа	d z a m ʁ a
ӡамӷьаҷа	d z a m ʁʲ a t ʃʼ a
ӡамӷьаҷаԥӄы	d z a m ʁʲ a t ʃʼ a pʰ q ə
ӡамӷьаша	d z a m ʁʲ a ʂ a
ӡана	d z a n a
ӡаԥ'аш	d z a pˤʰ a ʂ
ӡаҭә	d ʒ a tʰʷ
ӡӷа	d z ʁ a
ӡьа	d ʑ a
ӡьаада	d ʑ aː d a
ӡьааԥха	d ʑ aː pʰ χ a
ӡьаӡь	d ʑ a d ʑ
ӡьаӡьааԥа	d ʑ a d ʑ aː pʰ a
ӡьаӡьбзааԥа	d ʑ a d ʑ b z aː pʰ a
ӡьама	d ʑ a m a
ӡьамазаҟаала	d ʑ a m a z a qʼ aː l a
ӡьаны	d ʑ a n ə
ӡьаҫа	d ʑ a ɕ a
ӡәа	d ʑʷ a
ӡәадашь	d ʑʷ a d a ʃ
ӡәадәа	d ʑʷ a dʷ a
ӡәаӡәа	d ʑʷ a d ʑʷ a
ӡәаӡәагьыӡа	d ʑʷ a d ʑʷ a ɡʲ ə d z a
ӡәаҟҟа	d ʑʷ a qʼ qʼ a
ӡәаҟы	d ʑʷ a qʼ ə
ӡәаԥшьа	d ʑʷ a pʰ ʃ a
ӡәаҭа	d ʑʷ a tʰ a
ӡәаҭаҫа	d ʑʷ a tʰ a ɕ a
ӡәашәа	d ʑʷ a ʃʷ a
ӡәоу	d ʑʷ o̞ w
ибадеҭ	j ə b a d e̞ tʰ
инаҭҟаӷ	j ə n a tʰ qʼ a ʁ
ингылызбза	j ə n ɡ ə l ə z b z a
Ингылызшәабла	j ə n ɡ ə l ə z ʃʷ a b l a
инҭиқам	j ə n tʰ ə j kʰ a m
инџы	j ə n ɖ ʐ ə
инџыӷәыны	j ə n ɖ ʐ ə ʁʷ ə n ə
исқеле	j ə s kʰ e̞ l e
исԥаҭан	j ə s pʰ a tʰ a n
исҭасион	j ə s tʰ a s j ɔ n
ишҭаҳ	j ə ʂ tʰ a h
кады	kʼ a d ə
карал	kʼ a r a l
каҳуа	kʼ a h w a
кьааб'ы	kʼʲ aː bˤ ə
кьаада	kʼʲ aː d a
кьаб'ы	kʼʲ a bˤ ə
Кьаб'ышәы	kʼʲ a bˤ ə ʃʷ ə
кьадәы	kʼʲ a dʷ ə
