ა	ɑ
მერემტისუზი	m ɛ ɾ ɛ m tʼ i s u z i
მეტაქსი	m ɛ tʼ ɑ kʰ s i
მეჭირდუნ	m ɛ t͡ʃʼ i ɹ d u n
მთუთი	m̥ t u t i
მკორიდა	m̥ kʼ ɔ ɹ i d ɑ
მკორიდა	m̥ kʼ ɔ ɾ i d ɑ
მკულე	m̥ kʼ u l ɛ
მკჲაფუ	m̥ kʲʼ ɑ pʰ u
მოთ	m ɔ t
მოთა	m ɔ t ɑ
მორდერი	m ɔ ɾ d ɛ ɾ i
მორდერითუთა	m ɔ ɾ d ɛ ɾ i tʰ u tʰ ɑ
მპოლი	m̥ pʼ ɔ l i
მჟვაბუ	m ʒ v ɑ b u
მტკორი	m tʼ kʼ ɔ ɹ i
მუ	m u
მუანატი	m u ɑ n ɑ tʼ i
მქვერი	m̥ kʰ v e r i
მჭაფუ	m̥ t͡ʃʼ ɑ pʰ u
მჭითა	m̥ t͡ʃʼ i t ɑ
მჭითა	m̥ t͡ʃʼ i tʰ ɑ
მჭკუდი	m̥ t͡ʃʼ kʼ u d i
მხუჟი	m̥ x u ʒ i
მხუჯი	m̥ x u d͡ʒ i
მჯუმერი	m d͡ʒ u m ɛ ɾ i
ნ	n
ნ	n̠
ნ	n̥
ნ	ŋ
ნ	ŋ̊
ნახუმს	n ɑ x u m s
ნაჲლა	n ɑ j l ɑ
ნეზლე	n ɛ z l ɛ
ნზი	n z i
ნთხირი	n̥ tʰ x i ɹ i
ნთხირი	n̥ tʰ x i ɾ i
ნკოლა	ŋ̊ kʼ ɔ l ɑ
ნოსთონი	n ɔ s tʰ ɔ n i
ნოსი	n ɔ s i
ნოსონი	n ɔ s ɔ n i
ნოსტონჲაჲი	n ɔ s tʼ ɔ n j ɑ j i
ნოღა	n ɔ ɣ ɑ
ნოღაწილიმუნტრი	n ɔ ɣ ɑ t͡sʼ i l i m u n tʼ ɾ i
ნუკუ	n u kʼ u
ნუნკუ	n u ŋ kʼ u
ნჩორი	n t͡ʃ ɔ ɾ i
ნწარი	n t͡sʼ ɑ ɹ i
ნჯა	n d͡ʒ ɑ
ნჯუმონი	n d͡ʒ u m ɔ n i
ნჯუმუ	n d͡ʒ u m u
ნჯღიმერი	n d͡ʒ ɣ i m ɛ ɹ i
ნჯღიმერი	n d͡ʒ ɣ i m ɛ ɾ i
ობირაშე	ɔ b i ɾ ɑ ʃ ɛ
ობღე	ɔ b ɣ ɛ
ოლე	ɔ l ɛ
ომკულანამს	ɔ m kʼ u l ɑ n ɑ m s
ონწელი	ɔ n t͡sʼ ɛ l i
ონჯღორე	ɔ n d͡ʒ ɣ o ɹ ɛ
ონჯღორე	ɔ n d͡ʒ ɣ o ɾ ɛ
ოჲინი	ɔ j i n i
ოჶიდი	ɔ f i d i
პანდა	pʼ ɑ n d ɑ
პიჯი	pʼ i d͡ʒ i
პოლი	pʼ ɔ l i
პოტრა	pʼ ɔ tʼ ɹ ɑ
ჟურ	ʒ u ɹ
ჟურა	ʒ u ɹ ɑ
სერენთი	s ɛ ɹ ɛ n tʰ i
სერი	s ɛ ɹ i
სერი	s ɛ ɾ i
სეჶალი	s ɛ f ɑ l i
ტარონი	tʼ ɑ ɹ ɔ n i
ტარონი	tʼ ɑ ɾ ɔ n i
ტოროჯი	tʼ ɔ r ɔ d͡ʒ i
ტუაჶი	tʼ u ɑ f i
ტუბი	tʼ u b i
უბა	u b ɑ
უმპა	u m pʼ ɑ
უნახუ	u n ɑ x u
ურუმი	u ɹ u m i
ურუმი	u ɾ u m i
უჩამზუღა	u t͡ʃ ɑ m z u ɣ ɑ
უცხუ	u t͡s x u
უჯი	u d͡ʒ i
ფავრი	pʰ ɑ v ɹ i
ფავრი	pʰ ɑ v ɾ i
ფაცხა	pʰ ɑ t͡s x ɑ
ფორჩა	pʰ ɔ ɹ t͡ʃ ɑ
ფორჩა	pʰ ɔ ɾ t͡ʃ ɑ
ფოხო	pʰ ɔ x ɔ
ფოხუმს	pʰ ɔ x u m s
ქ	k
ქ	kʲ
ქელეჶური	kʰ ɛ l ɛ f u ɹ i
ქეშიში	kʰ ɛ ʃ i ʃ i
ქვა	kʰ v ɑ
ქიანა	kʲ i j ɑ n ɑ
ქოვალი	kʰ ɔ v ɑ l i
ქორბა	kʰ ɔ ɹ b ɑ
ქორბა	kʰ ɔ ɾ b ɑ
ქორთუ	kʰ ɔ r tʰ u
ქუდი	kʰ u d i
ღარი	ɣ ɑ ɹ i
ღარი	ɣ ɑ ɾ i
ღვინი	ɣ v i n i
ღომა	ɣ ɔ m ɑ
ღომამჯი	ɣ ɔ m ɑ m d͡ʒ i
ღომან	ɣ ɔ m ɑ n
ღუტუღუტუ	ɣ u tʼ u ɣ u tʼ u
ყალი	qʼ ɑ l i
შექერი	ʃ ɛ kʰ ɛ ɹ i
შვაი	ʃ v ɑ i
შინუმს	ʃ i n u m s
შური	ʃ u ɹ i
შური	ʃ u ɾ i
შქა	ʃ kʰ ɑ
ჩაჲნიკი	t͡ʃ ɑ j n i kʲʼ i
ჩინდა	t͡ʃ i n d ɑ
ჩორფა	t͡ʃ ɔ ɾ pʰ ɑ
ცხიმუნტური	t͡s x i m u n tʼ u ɹ i
წანა	t͡sʼ ɑ n ɑ
წანაღანი	t͡sʼ ɑ n ɑ ɣ ɑ n i
წარი	t͡sʼ ɑ ɹ i
წარი	t͡sʼ ɑ ɾ i
წიმინდე	t͡sʼ i m i n d ɛ
წიპა	t͡sʼ i pʼ ɑ
წულუთუთა	t͡sʼ u l u tʰ u tʰ ɑ
წუპი	t͡sʼ u pʼ i
ჭანდა	t͡ʃʼ ɑ n d ɑ
ჭახრა	t͡ʃʼ ɑ x ɹ ɑ
ხავა	x ɑ v ɑ
ხალატალი	x ɑ l ɑ tʼ ɑ l i
ხარჯი	x ɑ ɹ d͡ʒ i
ხარჯი	x ɑ ɾ d͡ʒ i
ხასიმი	x ɑ s i m i
ხე	x ɛ
ხეფათიღი	x ɛ pʰ ɑ tʰ i ɣ i
ხეშთათი	x ɛ ʃ tʰ ɑ tʰ i
ხეჲირი	x ɛ j i ɹ i
ხეჲირი	x ɛ j i ɾ i
ხილაჶი	x i l ɑ f i
ხილი	x i l i
ხიტი	x i tʼ i
ხიტიპიჲოზი	x i tʼ i pʼ i j ɔ z i
ხოლო	x ɔ l ɔ
ხოპე	x ɔ pʼ ɛ
ჯაზი	d͡ʒ ɑ z i
ჯემი	d͡ʒ ɛ m i
ჯეტერი	d͡ʒ ɛ tʼ ɛ ɾ i
ჯონგსი	d͡ʒ ɔ ŋ ɡ s i
ჯოღორი	d͡ʒ ɔ ɣ ɔ ɹ i
ჯოღორი	d͡ʒ ɔ ɣ ɔ ɾ i
ჰათთი	h ɑ tʰ tʰ i
ჰაწინერი	h ɑ t͡sʼ i n e r i
ჲ	j
ჶ	f
ჶორკა	f ɔ ɹ kʼ ɑ
ჶოტა	f ɔ tʼ ɑ
ჶურნი	f u ɹ n i
ჶურუნი	f u ɹ u n i
