A	a
Alvera	a l v æː r a
alvorleg	ɑ l ʋ oː r l ɛ ɡ
alvorleg	ɑ l ʋ oː r l ɛ
ambassadør	ɑ m b ɑ s ɑ d øː r
ambisjon	ɑ m b ɪ ʂ uː n
ambolt	a m b o̞ ʎ̥ c
amerikanar	aː m ə r i k aː n aː r
ammetåke	² ɑ m m ə t oː k ə
ananas	ɑ nː ɑ n ɑ s
anarki	ɑ n ɑ r k iː
anarki	ɑ nː ɑ ʂ k iː
anarki	ɑ n ɑ ʂ k iː
and	a n d
and	a n
anda	² ɑ n d ɑ
anda	ɑ n d ɑ
Andebu	² aː n b ʉ
Andebu	² a nː ə b ʉ
andektig	ɑ n d ɛ k t ɪ
andlet	² ɑ n l eː t
ane	ɑː n ə
anga	² ɑ ŋ ŋ ɑ
anga	² ɑ ŋ ɡ ɑ
angar	² ɑ ŋ ŋ ɑ r
ange	² ɑ n j ə
ange	² ɑ ŋ ŋ ə
angje	² ɑ n j eː
angje	² ɑ ŋ j ə
angje	² ɑ ɲ j ə
angjen	² ɑ ŋ j ə n
angripa	ɑ n ɡ r iː p ɑ
ankel	² ɑ ŋ k ə l
anmarsj	² ɑ n m ɑ ʂ
annan	² ɑ nː ɑ n
annjsles	a ɲ ʂ l ɛ s
annleis	² a nː l ɛ ɪː s
ansikt	² ɑ n s ɪ k t
ansleis	a ɲ ʃ l ɛ s
anten	a n t ɛ n
antibiotikum	a n t i b i uː t i k ʉ m
antilope	ɑ n t ɪ ² l uː p ə
apal	² aː p a l
apald	² aː p a l d
apald	² aː p a l
apokalypse	a p u k a l y p s ə
arbeid	² a r b ɛ ɪː
arbeida	² a r b ɛ ɪː d a
arbeida	² a r b ɛ ɪː a
arbeidsmann	² a r b ɛ ɪː s m a nː
arena	ɑ r eː n ɑ
argument	ɑ r ɡ ʉ m ɛ n t
argument	ɑ r ɡ ʉ m ɛ ɲ c
arkja	ɑ r ç ɑ
arm	ɑ r m
arme	² ɑ r m ə
arme	ɑ r m eː
arming	² ɑ r m ɪ ŋ
arn	a r n
arn	a n
Arnbjørn	a n b j œ r n
Arnbjørn	a n b j œ n
Arnbjørn	a m b j œ r n
Arnbjørn	a m b j œ n
Arndor	² a n d uː r
Arndor	² a n d u r
Arndor	² a n d u
Arne	² aː r n ə
Arne	² aː n ə
Arne	aː ɳ ə
Arne	² ɔː n ə
Arne	² ɔː d n ə
Arne	² a uː d n ə
Arnfinn	² a n f ɪ nː
Arnstein	² a r n s t ɛ ɪː n
Arnstein	² a n s t ɛ ɪː n
Arntor	² a n t uː r
Arntor	² a n t u r
Arnved	² a r n v ə
Arnved	² a n v ə
Arnvid	² a r n v ɪ
Arnvid	² a n v ɪ
arrdelfin	² ɑ r d ɛ l f iː n
arv	ɑ r ʋ
arva	² a r v a
Arved	² a r v ə
Arvid	² a r v ɪ
Arvid	² a r v i d
ase	² ɑː s ə
Asgeir	² a s j ɛ ɪ r
Asgeir	² a s ɡ ɛ ɪ r
ask	ɑ s k
Aslak	ɑː s l ɑ k
Aslak	ɑː ʃ l ɑ k
Asperen	² a s p ə ɳ
Astrid	² a s t r ɪ
at	ɑ tː
atal	² ɑː t ɑ l
ateist	ɑ t ə ɪ s t
atomvåpen	aː t uː m ʋ ɒː p ɛ n
Atride	² a t r ɪː ə
Atride	² a t r ə
att	ɑ tː
attan	² ɑ t t ə n
attanfor	a t a n f ɔ r
attantil	² ɑ tː ɑ n t ɪ l
atten	ɑ t n̩
attende	ɑ t ² ɛ n d ɛ
atter	ɑ tː ɛ r
attmed	² ɑ t m eː
attom	² a tː ʊ m
au	œ ʊː
aud	œ ʊː
Auda	² œ ʊː a
Aude	² œ ʊː ə
Audgeir	² œ ʊː j ɛ ɪ r
Audmund	² œ ʊː m ʊ n d
Audmund	² œ ʊː m ʊ n
Audun	² œ ʊː ʊ n
Audun	² œ ʊː d ʉ n
Audvard	² œ ʊː v aː r
Audvard	² œ ʊː v a r
Audvard	² œ ʊː v aː ɽ
Audvard	² œ ʊː v a ɽ
auga	² æ ʉ̯ ɡ ɑ
auga	² æ ʉ̯ ɑ
auga	² œ ʉ̯ ɡ ɑ
auga	² œ ʉ̯ ɑ
auge	² æ ʉ̯ ɡ ə
augestikkar	ø ʉ ɡ ə s t i k a r
auget	² æ ʉ̯ ɡ ə
auka	² œ ʊː k a
auke	² œ ʊː ç ə
auke	² œ ʊː k ə
aur	æ ʉ̯ r
aur	œ ʉ̯ r
aure	² œ ʊː r ə
aurride	² œ ʊː r ɪː ə
aurride	² œ ʊː r ə
aust	œ ʊ̯ s t
aust	œ ʊ̯ː s t
austmann	² œ ʊ̯ s t m a nː
austmann	² œ ʊ̯ sː m a nː
austmarkmus	² æ ʉ s t m ɑ r k m ʉ s
austover	œ ʊ s t oː v ə r
austre	² æ ʉ s t r ə
Austrheim	² œ ʊ s t r ɛ ɪː m
automat	æ ʉ t ʊ m ɑː t
av	ɑː ʋ
avbragdsleg	ɑ ʋ b r ɑ ɡ ʂ l ɛ
avgjera	ɑː ʋ j eː r ɑ
avgjerd	² ɑː ʋ j eː r
avgjerd	² ɑː ʋ j æː r
avhengig	ɑː ʋ h ɛ ŋː ɪ
avhoppar	aː ʋ h ɔ p a r
avis	ɑ ʋ iː s
avisa	ɑ ʋ iː s ɑ
avisene	ɑ ʋ iː s n̩ ə
aviser	ɑ ʋ iː s ə r
avkastning	ɑː ʋ k ɑ s t n ɪ ŋ
avl	ɑ ʋ l
avla	a ʋ l a
avstand	aː ʋ s t a n
avund	² ɑː ʋ ʉ n d
avund	² ɑː ʋ ʉ n
avundsjuk	ɑː ʋ ʉ nː ʃ ʉː k
avundsjuk	ɑː ʋ u ɲː ʃ ʉː k
b	b eː
b	b
bacon	b ɛ ɪː k ə n
bacon	b eː k ə n
bad	b ɑː d
bad	b ɑː
badstove	² b a s s t oː v ə
bainn	b ɑ ɲː
bak	b ɑː k
bakbord	b aː k b uː r
bakhall	² b ɑː k h ɑ l
bakke	² b a çː ə
bakke	² b a kː ə
bakkje	² b ɑ ç ç ə n
bakkjen	² b ɑ ç ç ə n
bal	b ɑː l
balje	² b ɑ l j ə
ball	b a lː
ball	b a ʎː
banan	b a n aː n
band	b ɑ n d
band	b æ n d
band	b ɑ n d
bank	b ɑ ŋ k
bankkvelv	b ɑ ŋ k k ʋ ɛ l ʋ
banne	² b a n n e
bannlyse	b a nː ² l yː s e
bar	b ɑː ɾ
bard	b aː r
bard	b aː ɽ
barkje	² b ɑ r ç ə
barkjen	² b ɑ r ç ə n
barkjuke	b a r ɕ ʉ k ɛ
barkjuke	b a r ɕ ʉ k
barlind	² b aː r l ɪ n d
barlind	² b aː r l ɪ n
barlind	² b a lː ɪ n d
barlind	² b a lː ɪ n
barm	b ɑ r m
barn	b aː r n
barn	b aː n
barn	b aː ɳ
barn	b aː ɲ
barnehage	² b ɑ r n ə h ɑˑ j ə
barnehage	² b ɑ r n ə h ɑˑ ɡ ə
bart	b a r t
be	b eː
beda	² b eː ɑ
bede	² b eː ə
bede	² b ɛː ə
begge	² b ɛ ʝː ə
begge	² b ɛ ɡː ə
begynne	b ɛ j ʏ nː ə
begynne	b j ʏ nː ə
begynne	b ʏ ɲː
behageleg	b ə h ɑː ɡ ə l ɛ ɡ
behalda	b eː h a l d a
bein	b ɛ ɪː n
beina	b ɛ ɪː n a
beina	² b ɛ ɪː n a
beina	² b ɛ ɪː n a
beine	² b ɛ ɪː n ə
beingrind	b ɛ ɪː n ɡ r ɪ n
beingrinnj	b ɛ ɪː n ɡ r ɪ ɲ
beingrinnj	b ɛː n ɡ r ɪ ɲ
beita	² b ɛ ɪː t a
beite	² b ɛ ɪː t ə
Beitstad	² b ɛ ɪ s t a
Beitstad	² b ɛ s t a
Beitstad	² b ɛ ɪː s t a
Beitstaden	² b ɛ ɪ s t a n
Beitstaden	² b ɛ s t a n
Beitstaden	² b ɛ ɪː s t a n
bekk	b ɛ kː
bekken	b ɛ çː ə n
bekken	b ɛ kː ə n
bendelorm	b ɛ n d ə l ɔ r m
benektelse	b ɛ n ɛ k t ɛ l s ɛ
benk	b ɛ ŋ k
bera	² b ɛː r a
bera	² b ɛ rː a
bera	² b ɛ r a
bere	² b ɛː r ə
berg	b ɛ r ɡ
berg	b ɛ r j
Bergen	¹ b ɛ r ɡ ə n
Bergen	b æ r n
berget	b ɛ r j ə
berget	b ɛ r ɡ ə
bergmann	b æ r ɡ m ɑ n
bergta	b ɛ r ɡ t a
Bergugleberget	b ɛ r ɡ ʉ ɡ l e b ɛ r ɡ ɛ
bergvegg	² b ɛ r ɡ ʋ ɛ ɡː
berre	² b ɛ rː ə
bestandig	b ə s t ɑ n d ɪ
besøk	b eː s øː k
besøkja	b ə s øː ç a
betala	b ə t aː l a
betala	b ə t aː ɽ a
Betlehem	b eː t l ə h ɛ m
Betlehem	b eː t l ɛ m
bety	b eː t y
bever	b eː ʋ ɛ r
bibliotek	b ɪ b l j u t eː k
biblioteka	b ɪ b l j u t eː k ɑ
bide	² b iː d ə
bide	b i d eː
bider	b i ə r
bider	b i r
bider	b ɪ ə r
bider	b ɪ r
bidja	² b iː a
bie	² b iː ə
bikkje	² b ɪ çː ə
bil	b iː l
bilda	b ɪ l d ɑ
bilde	b ɪ l d ə
bildet	b ɪ l d ə
bile	² b iː l ə
bilen	b iː l e n
bilen	b iː l n
billeg	² b ɪ lː ɛ
billeg	² b ɪ lː ɛ ɡ
Bindal	² b ɪ nː d aː l
Bindal	² b ɪ nː d aː ɽ
bindande	² b ɪ n d ɑ n d ə
bingo	b ɪ ŋ u
bingoblokk	b ɪ ŋ u b l ɔ kː
bingoblokk	b ɪ ŋ u b l œ kː
binær	b i n æː r
Biri	b iː r i
biskop	b ɪ s k ʊ p
biskop	² b ɪ s k ɔ p
bisol	b i s u l
bisp	b ɪ s p
bit	b iː t
bit	b ɪ tː
bit	b iː t
bit	b iː t
bita	² b iː t ɑ
Bitdal	² b i dː aː l
Bitdal	² b i t aː l
biti	² b iː t ɪ
biti	b iː t ɪ
Bivrost	² b ɪː v r o s t
Bivrost	² b ɪ v r o s t
Bjarne	² b j a r n ə
Bjerne	² b j ɛ r n ə
Bjerne	² b j ɛ nː ə
Bjerne	² b j ɛ d n ə
bjøinn	b j œ ɲː
bjønnfett	b j œ ɲ f e tː
Bjørgvin	² b j ø r ɡ v ɪ n
bjørk	b j œ r k
bjørka	b j œ r ç ɑ
bjørka	b j œ r k ɑ
bjørka	² b j œ r k ɑ
bjørkemus	² b j œ r k ɛ m ʉː s
bjørn	b j œ r n
bjørn	b j œ nː
bjørn	b j œ ɳ
bjørn	b j œ d n
bjørn	b j œ ɲː
Bjørn	b j œ r n
Bjørn	b j œ nː
Bjørn	b j œ d n
bjørnebær	b j øː r n ə b æː r
bjørnekam	b j œ ɳ e k ɑ mː
Bjørnli	b j œ ɳ l i
Bjørnøya	² b j œ r n œ ʏː a
Bjørnøya	² b j œ nː œ ʏː a
Bjørvika	² b j ø r v iː k a
blande	² b l ɑ n d ə
blande	b l a ɲ
blank	b l ɑ ŋ k
blant	b l ɑ n t
blaut	b l œ ʊː t
blaut	b ɽ œ ʊː t
blautt	b l œ ʊ tː
blautt	b ɽ œ ʊ tː
bleik	b l ɛ ɪː k
bleik	b ɽ ɛ ɪː k
blemme	b l e m m e
blenkja	² b l ɛ ŋ ç ɑ
bli	b l iː
blind	b l ɪ nː
blind	b l ɪ n d
blinda	² b l ɪ n d ɑ
blindebukk	b l ɪ nː d e b ʊ kː
blindebukk	b l ɪ nː d b ʊ kː
blindebukk	b l ɪ nː e b ʊ kː
blindebukk	b l ɪ nː b ʊ kː
blindebukk	b l ɪ ɲː b ʊ kː
blinka	² b l ɪ ŋ k ɑ
bljug	b l j ʉː ɡ
bljug	b l ʉː ɡ
bljug	b ɽ j ʉː ɡ
bljug	b ɽ ʉː ɡ
blod	b l uː
blod	b ɽ uː
blodskam	b l uː s k a m
blodvatn	b l uː ʋ ɐ t n̩
blokkfløyte	b l ɔ k f l œ ʏ t ə
blom	b l uː m
blome	² b l uː m ə
blomkål	b l u m k ɔˑ l
blomkål	b ɽ u m k ɔˑ l
blomstrete	² b l ʊ m s t r ɛ t ə
blyant	b l yː ɑ n t
blyant	b l yː ɑ ɲ c
bløffe	b l ø f f e
bløma	² b l øː m ɑ
blå	b l oː
blåkval	² b l ɔː k ʋ ɑː l
blåkval	² b ɽ ɔː k ʋ ɑː ɽ
blåmann	² b l ɔː m a nː
blåmann	² b ɽ ɔː m a nː
blåmeis	² b l ɔː m ɛ ɪː s
blåst	b l ɔ s t
blåtann	² b l ɔː t a nː
blåtann	² b ɽ ɔː t a nː
boargeit	b uː a r j ɛ ɪː t
boargeit	b oː a r j æ ɪː t
bod	b ɔː
bod	b ɔː d
Bodø	² b uː d øː
boen	² b uː ə n
bog	b uː ɡ
bok	b uː k
bokavl	² b uː k ɑ ʋ l
bokja	b uː ç a
bokjå	b uː ç o
bokmål	² b uː k m ɔː l
bokmål	² b uː k m ɔː ɽ
bokstav	² b uː k s t aː v
bokstav	² b u k s t aː v
bokstav	b u k s t aː v
bokstavleg	b uː k s t aː ʋ l eː ɡ
bol	b uː l
bol	b uː ɽ
bolk	b ɔ l k
bolle	² b ɔ lː ə
boms	b u m s
bomsikker	b u m s ɪ kː ə r
bon	b uː n
bona	² b uː n ɑ
bona	b uː n ɑ
bona	² b uː n ɑ
bonde	² b u n d ə
bonde	² b u nː ə
bong	b o ŋ
bongotromme	b u n ɡ u t r u m m e
boni	b uː n ɪ
bonn	b o n
bonn	b o ɲ
bonom	² b uː n ʊ m
bord	b uː r
bord	b uː ɽ
bord	b uː ɭ
bordduk	² b uː ɽ d ʉː k
Bordøy	² b uː r œ ʏː
Bordøy	² b uː ɽ œ ʏː
Borg	b o r ɡ
Borg	b œ r j
borgarleg	b ɔ r ɡ ɑ r l eː ɡ
borgynd	² b o r j ʏ n d
borgynd	² b o r j ʏ n
borgynd	² b o r j ɪ n d
borkjen	b ɔ r ç ə n
bort	b u ʈː
bort	b u ʁ t
bort	b u ʂ t
borte	² b ʊ r t ə
bortkasta	b ʊ r t k a s t a
bos	b oː s
boss	b ɔ sː
bostkast	b o s t k ɑ s t
botn	b ɔ t n̩
Brage	² b r aː ʝ e
Brage	² b r aː ɡ e
Bragernes	² b r aː n e s
Bragernes	² b r aː ɡ ə r n e s
brainnj	b r ɑ ɲ
braud	b r œ ʊ̯ː
bre	b r eː
brei	b r ɛ ɪː
breia	² b r ɛ ɪː a
breidd	b r ɛ ɪ dː
breiflabb	² b r æ ɪ f l ɑ b
breiflabb	b r æ ɪ f l ɑ b
breiflabb	² b r ɛ ɪː f l a bː
breiflabb	² b r ɛ ɪː f ɽ a bː
breisle	² b r ɛ ɪ s l ə
brek	b r eː k
breka	² b r eː k ɑ
breka	b r eː k ɑ
breke	² b r ɛː k ə
brekja	² b r ɛː ç ɑ
brekje	² b r eː ç ə
brekkjarn	b r ɛ k j aː r n
brekt	b r ɛ k t
brekt	b r eː k t
brekt	b r ɛ k t
brekte	² b r ɛ k t ə
brekte	² b r ɛ k t ə
brekte	² b r eː k t ə
brekte	² b r ɛ k t ə
brenna	² b r ɛ nː a
brennmanet	b r ɛ n m aː n eː t
brennuttu	b r ɛ ɲː h ʉ tː ʉ
brev	b r eː ʋ
brigde	² b r ɪ ɡ d ə
brisling	² b r ɪ s l ɪ ŋ
brodd	b r ɔ dː
brok	b r uː k
brokkoli	b r ɔ k ɔː l i
bronse	b r ɔ n s ə
bronse	b r ɔ ŋ ʂ ə
bronse	b r u n s ə
bror	b r uː r
brosme	² b r ɔ s m ə
brot	b r oː t
brot	b r o t
brot	b r o tː
broten	² b r oː t n̩
brotsverk	b r ɔː t s v ɛ r k
bru	b r ʉː
bruk	b r ʉː k
bruka	b r ʉː k ɑ
bruka	² b r ʉː k ɑ
bruna	² b r ʉ n a
bruna	b r ʉ n a
brunbjørn	b r ʉː n b j œ ɳ
brunbjørn	b r uː n b j œ ɲː
brunbjørn	b r ʉː n b j œ ɲː
bruni	b r ʉ n ɪ
brunn	b r ʊ nː
brunost	² b r ʉː n o s t
brunost	² b r ʉː n u s t
brunrotte	² b r ʉː n r ɔ t ə
brusa	² b r ʉː s ɑ
bryllaup	b r y l ø ʉ p
brynje	² b r ʏ n j ə
bryta	² b r yː t ɑ
bryting	² b r yː t ɪ ŋ
brød	b r øː
brødet	b r øː ə
brødskive	² b r øː ʃ iː ʋ ə
brøti	² b r øː t i
brøti	² b r ø t i
brå	b r oː
bråket	² b r oː k ɛ t
bråket	b r oː k ə
bråna	² b r oː n ɑ
bu	b ʉː
buddhist	b ʉ d ɪ s t
buddhisten	b ʉ d ɪ s t n̩
bukk	b ʊ kː
bukkeblad	² b ʊ kː ɛ b l ɑː
bukse	² b ʊ k s ə
bula	b ʉː l a
bullshit	b ʉ lː ʃ iː t
bumann	b ʉː m ɑ ɲː
bunad	² b ʉː n a d
bunad	² b ʉː n a
buras	b ʉ r a s
burda	² b ʉ r d a
burda	² b uː r a
burde	² b ʉ r d ə
burde	² b uː r ə
burka	b ʉ r k ɑ
burot	² b ʉː r uː t
busette	² b ʉː s ɛ tː ə
Buskerud	² b ʉ s k ə r ʉ
buss	b ʉ sː
bustad	² b ʉː s t ɑː
butl	b ʉ ɬ l
by	b yː
bye	² b yː ə
bygd	b ʏ ɡ d
Bygdin	² b ʏ ɡ d i n
bygel	² b ʏː j ə l
bygel	² b ʏː ə l
bygel	² b ʏː ɡ ə l
byggja	² b ʏ ʝː ɑ
byggjekloss	² b ʏ jː ə k l ɔ sː
bygning	² b ʏ ɡ n ɪ ŋ
byksa	² b ʏ k s ɑ
byksa	b ʏ k s ɑ
bylgje	² b ʏ l j ə
bylgje	² b ʏ ɽ j ə
Byrge	² b ʏ r j ə
Byrge	² b ʏ r ɡ ə
byrja	² b ʏ r j a
bystat	b yː s t aː t
bænk	b æ ŋ k
bær	b æː r
bær	b eː r
bæra	b æː r ɑ
bæra	² b æː r ɑ
bæra	² b æː r ɑ
bæra	² b æː r ɑ
bæsja	b æ ʃː a
Bøhmergaten	b œː m e ʁ ɡ aː t n̩
bøk	b øː k
bøle	² b øː l ə
bøle	² b øː ɽ ə
bølge	² b œ l ɡ ə
bølgje	² b œ l j ə
bøn	b œː n
bønder	b ø n d ə r
bønder	b ø nː ə r
bønn	b œ nː
bønner	² b œ n ə r
bør	b øː r
bør	b øː ɽ
bør	b øː r
Børge	² b ø r j ə
Børge	² b ø r ɡ ə
børste	² b œ ʂ t ə
bøttebong	b œ tː ə b o ŋ
bøya	² b œ ʏ ɑ
både	b oː d ə
båe	b ɒ ə
bån	b oː n
båna	b oː n ɑ
bånet	b oː n ə
båra	² b oː r ə
Bård	b ɔː r
Bård	b ɔː ɽ
Bård	b ɔː r d
båt	b oː t
båt	b a ʊ t
cand.theol.	k ɑ n t ə uː l
casane	² k ɛ ɪ̯ s ɑ n ə
casane	² k æ ɪ̯ s ɑ n ə
casar	² k ɛ ɪ̯ s ɑ r
casar	² k ɛ ɪ̯ s ɑ
casar	² k æ ɪ̯ s ɑ r
casar	² k æ ɪ̯ s ɑ
case	k ɛ ɪ̯ s
case	k æ ɪ̯ s
casen	k ɛ ɪ̯ s ə n
casen	k ɛ ɪ̯ s n̩
casen	k æ ɪ̯ s ə n
casen	k æ ɪ̯ s n̩
caset	k ɛ ɪ̯ s ə
caset	k æ ɪ̯ s ə
cellofan	s ɛ l l ʊ f ɑː n
chat	t͡ʃ æ tː
chattar	² t͡ʃ æ tː ɑ r
chatte	² t͡ʃ æ tː ə
cykel	s yː k ə l
cykel	s yː k l̩
cymbal	s ʏ m b ɑː l
cymbel	s ʏ m b ə l
cymbel	s ʏ m b l̩
d	d eː
d	d
d	ɖ
da	d ɑː
daa	d oː
dag	d ɑː ɡ
dag	d ɑː
dagblad	² d aː ɡ b l aː
dagblad	² d aː ɡ b ɽ aː
dagevis	² d ɑː ɡ ə ʋ iː s
dagjen	d ɑː j ə n
dal	d ɑː l
dalar	² d ɑː l ɑ r
Dale	² d aː l ə
Dale	² d aː ɽ ə
Dale	² d aː l i
Dale	² d æː ɽ ə
Dalvik	² d aː l v iː k
Dana	² d aː n a
dane	² d ɑː n ə
Danmark	d ɑ n m ɑ r k
Danmark	d a n m a ʂ k
Danmark	d ɑ mː ɑ r k
dans	d ɑ n s
dansa	² d ɑ n s ɑ
dansa	d a ɲ s
dansar	² d ɑ n s ɑ r
dansk	d ɑ n s k
dansken	² d ɑ n s k ɛ n
dansken	d ɑ n s k ɛ n
data	d ɑː t ɑ
data	² d ɛ ɪ̯ t ɑ
datamus	d aː t a m ʉː s
dataspel	d aː t a s p eː l
dataspeling	d aː t a s p eː l i ŋ ɡ
date	d æ ɪ̯ t
date	d ɛ ɪ̯ t
date	² d æ ɪ̯ t ə
date	² d ɛ ɪ̯ t ə
dativ	d ɑː t ɪ ʋ
datum	d ɑː t ʉ m
daud	d œ ʊ̯ː
daud'e	d æ ʉː d ə
daud'e	d œ ʉː d ə
daude	² d æ ʉ ə
dauder	d œ ʉ d ə r
de	d eː
de	d iː
definera	d ə f i n eː r a
definisjon	d ə f i n i ʂ uː n
deg	d eː ɡ
dei	d ɛ ɪː
dei	d ɛ ɪ
dei	d ɪ
deig	d ɛ ɪː ɡ
deim	d ɛ ɪː m
deim	d ɛ ɪ m
deim	d ɛ m
deira	² d ɛ ɪː r a
deira	d ɛ ɪ r a
deker	d eː k ə r
dekk	d ɛ kː
dekkja	d ɛ ç a
del	d eː l
delfin	d ɛ l f iː n
demo	d e m u
demokratisk	d ɛ m ʊ k r ɑː t ɪ s k
den	d ɛ nː
denne	² d ɛ nː ə
der	d æː r
der	d eː r
der	d eː ɾ
dere	² d eː ɾ ə
dere	d eː ɾ ə
deretter	d ɛ r ɛ t ɛ r
derfor	d æ r f ɔ r
derifrå	d æː r ɪ f r oː
dermed	d ɛ r m ə
derre	d æ r r ə
dess	d ɛ sː
desse	² d ɛ sː ə
dessutan	d ɛ sː ʉ t ɑ n
dessutan	d ɛ sː ² ʉː t ɑ n
dessverre	d ɛ s ʋ ɛ rː ɛ
det	d eː
detta	² d ɛ tː ɑ
dette	² d ɛ tː ə
di	d iː
di	d iː
diabetes	d ɪ ɑ b eː t e s
dialyse	d ɪ ɑ ² l yː s ə
difor	d iː f ɔ r
dikt	d ɪ k t
diktat	d ɪ k t ɑː t
diktat	² d ɪ k t ɑ t
diktat	² d ɪ k t ɑ
dime	d ɑ ɪ̯ m
dimed	d iː m e
dimen	d ɑ ɪ̯ m ə n
dimes	d ɑ ɪ̯ m s
din	d i n
dine	d iː n ə
diplomaten	d i p l u m aː t n̩
dirka	² d ɪ r k ɑ
diskotek	d i s k u t eː k
ditt	d i t
diva	d iː ʋ ɑ
diverre	d i ʋ ɛ rː ɛ
djerv	j ɛ r v
djerv	d j ɛ r v
djevel	² d j ɛː v ə l
djevel	² j ɛː v ə l
djup	j ʉː p
djupt	j ʉː p t
djupt	j ʉ f t
do	d uː
do	d oː
dobbel	d ɔ bː ɛ l
dobbelt	d ɔ bː ɛ l t
dogg	d ɔ ɡː
dokkas	d ɔ k k ɑ s
dokker	d ɔ k k ə r
dokker	² d ɔ k k ə r
dokument	d ʊ k ʉ m ɛ n t
Dora	² d uː r a
dott	d ɔ tː
dovendyr	d oː v e n d yː r
Dovre	² d o v r ə
Dovre	² d ɔ v r ə
dra	d r ɑː
drag	d r ɑː ɡ
draga	² d r aː ɡ a
draga	² d r a ɡ a
draga	¹ d r aː ɡ a
dragkiste	² d r aː ɡ ç ɪ s t ə
drake	² d r aː ç ə
drake	² d r a ç ə
drake	² d r aː k ə
drake	² d r a k ə
drama	d r ɑː m ɑ
Drammen	d r a mː n̩
Drammen	d r a mː ə n
Dramn	d r a m n
Dramn	d r a mː n̩
drapsmann	d r ɑː p s m ɑ nː
drapsmannen	d r ɑː p s m ɑ nː ə n
drapsmenn	d r ɑː p s m ɛ nː
drapsmennene	d r ɑː p s m ɛ nː ə n ə
draug	d r æ ʉ ɡ
draum	d r œ ʊː m
dregi	² d r ɛː j ɪ
dregi	² d r ɛ ɪː ɪ
dregi	² d r ɛː ɡ ɪ
dreker	d r eː k ə r
dreng	d r ɛ ŋː
drepa	² d r ɛː p a
drift	d r ɪ f t
drikka	² d r ɪ kː a
drikke	² d r ɪ kː ə
drit	d r ɪː t
drit	d r ɪ t
drit	d r iː t
drite	² d r ɪː t ə
drite	² d r ɪ t ə
driva	² d r iː ʋ ɑ
drivis	d r iː ʋ iː s
drjupa	² d r j ʉː p a
drone	d r uː n ə
dronning	² d r o nː ɪ ŋ ɡ
dronning	² d r o nː ɪ ŋ
drope	² d r oː p ə
