અ	ə
અડસઠ	ə ɽ s ə ʈʰ
અઢળક	ə ɖʱ ə ɭ k ə
અઢાર	ə ɖʱ ɑ ɾ
અઢી	ə ɖʱ i
અણગમતું	ə ɳ ə ɡ ə m t̪ ũ
અણમૂલ	ə ɳ m u l
અણસણ	ə ɳ ə s ə ɳ
અતંત્રતા	ə t̪ ə n t̪ ɾ ə t̪ ɑ
અતલસ	ə t̪ l ə s
અતાતુર્ક	ə t̪ ɑ t̪ u ɾ k
અતિથિ	ə t̪ i t̪ʰ i
અતિશય	ə t̪ i ʃ ə j
અત્તર	ə t̪ t̪ ə ɾ
અત્યંત	ə t̪ j ə n t̪
અત્યારે	ə t̪ j ɑ ɾ ɛ
અત્યુક્તિ	ə t̪ j u k t̪ i
અથવા	ə t̪ʰ ə ʋ ɑ
અથાણું	ə t̪ʰ ɑ ɳ ũ
અથાહ	ə t̪ʰ ɑʱ
અદરક	ə d̪ ə ɾ ə k
અદાણી	ə d̪ ɑ ɳ i
અદાલત	ə d̪ ɑ l ə t̪
અદ્ભુત	ə d̪ bʱ u t̪
અધમૂઉં	ə d̪ʱ ə m u ũ
અધિકાર	ə d̪ʱ i k ɑ ɾ
અધુના	ə d̪ʱ u n ɑ
અધૂરું	ə d̪ʱ u ɾ ũ
અનનાસ	ə n ə n ɑ s
અનલ	ə n ə l
અનાજ	ə n ɑ d͡ʒ
અનાડી	ə n ɑ ɽ i
અનારકળી	ə n ɑ ɾ k ə ɭ i
અનિદ્રા	ə n i d̪ ɾ ɑ
અનુભવ	ə n u bʱ ə ʋ
અનુમધ્યમસ્તિષ્ક	ə n u m ə d̪ʱ j ə m ə s t̪ i ʃ k
અનુરાગ	ə n u ɾ ɑ ɡ
અનુવાદ	ə n u ʋ ɑ d̪
અને	ə n ɛ
અન્ય	ə n j ə
અપભ્રંશ	ə p bʱ ɾ ə n ʃ
અપરમાતા	ə p ə ɾ m ɑ t̪ ɑ
અપાસરો	ə p ɑ s ɾ o
અપ્સરા	ə p s ə ɾ ɑ
અફઘાન	ə pʰ ɡʱ ɑ n
અફઘાનિસ્તાન	ə pʰ ɡʱ ɑ n i s t̪ ɑ n
અફરાસિયાબ	ə pʰ ɾ ɑ s i j ɑ b
અફલાતૂન	ə pʰ l ɑ t̪ u n
અફસાના	ə pʰ s ɑ n ɑ
અફસોસ	ə pʰ s o s
અફીણ	ə pʰ i ɳ
અફીણી	ə f i ɳ i
અફીણી	ə pʰ i ɳ i
અબલખ	ə b ə l ə kʰ
અબાબીલ	ə b ɑ b i l
અબ્દુલ્લા	ə b d̪ u l l ɑ
અબ્બાસ	ə b b ɑ s
અભણ	ə bʱ ə ɳ
અભિનેતા	ə bʱ i n eː t̪ ɑ
અભિમાન	ə bʱ i m ɑ n
અમદાવાદ	ə m d̪ ɑ ʋ ɑ d̪
અમરાઈ	ə m ɾ ɑ i
અમરાઈવાડી	ə m ɾ ɑ i ʋ ɑ ɖ i
અમલતાસ	ə m ə l t̪ ɑ s
અમારું	ə m ɑ ɾ ũ
અમાવસ	ə m ɑ ʋ ə s
અમિત	ə m i t̪
અમી	ə m i
અમીર	ə m i ɾ
અમુક	ə m u k
અમૂર્ત	ə m u ɾ t̪
અમૃતસર	ə m ɾ u t̪ s ə ɾ
અમૃતા	ə m ɾ u t̪ ɑ
અમે	ə m eː
અમેરિકા	ə m eː ɾ i k ɑ
અમ્લ	ə m l ə
અયાદત	ə j ɑ d̪ ə t̪
અયૂબ	ə j u b
અયોગ્ય	ə j o ɡ j ə
અયોધ્યા	ə j o d̪ʱ j ɑ
અરજદાર	ə ɾ ə d͡ʒ d̪ ɑ ɾ
અરજાસ્પ	ə ɾ d͡ʒ ɑ s p
અરજી	ə ɾ d͡ʒ i
અરડૂસી	ə ɾ ə ɖ u s i
અરદિબેહસ્ત	ə ɾ d̪ i b eː ɦ ə s t̪
અરદેશર	ə ɾ d̪ eː ʃ ə ɾ
અરધું	ə ɾ d̪ʱ ũ
અરબસ્તાન	ə ɾ ə b ə s t̪ ɑ n
અરમાન	ə ɾ ə m ɑ n
અરમાર	ə ɾ m ɑ ɾ
અરસલાન	ə ɾ s ə l ɑ n
અરિ	ə ɾ i
અરીઠું	ə ɾ i ʈʰ ũ
અરીસો	ə ɾ i s o
અરૂસ	ə ɾ u s
અર્થ	ə ɾ t̪ʰ
અર્દિબેહશ્ત	ə ɾ d̪ i b eː ɦ ə ʃ t̪
અર્ધવર્તુળ	ə ɾ d̪ʱ ʋ ə ɾ t̪ u ɭ
અર્ધવર્તુળાકાર	ə ɾ d̪ʱ ə ʋ ə ɾ t̪ u ɭ ɑ k ɑ ɾ
અલખ	ə l ə kʰ
અલયસા	ə l j ə s ɑ
અલવિદા	ə l ʋ i d̪ ɑ
અલા	ə l ɑ
અલાઉદ્દીન	ə l ɑ u d̪ d̪ i n
અલાબામા	ə l ɑ b ɑ m ɑ
અલાવો	ə l ɑ ʋ o
અલાસ્કા	ə l ɑ s k ɑ
અલિફ	ə l i pʰ
અલી	ə l i
અલીકુલી	ə l i k u l i
અલ્જિરિયા	ə l d͡ʒ i ɾ i j ɑ
અલ્પાકા	ə l p ɑ k ɑ
અલ્યા	ə l j ɑ
અલ્લાહ	ə l l ɑʱ
અલ્હમ્દુલિલાહ	ə l ɦ ə m d̪ u l i l ɑʱ
અલ્હાબાદ	ə l ɦ ɑ b ɑ d̪
અળતો	ə ɭ t̪ o
અળસી	ə ɭ s i
અવતરવું	ə ʋ ə t̪ ə ɾ ʋ ũ
અવતાર	ə ʋ t̪ ɑ ɾ
અવધ	ə ʋ ə d̪ʱ
અવયવીકરણ	ə ʋ ə j ə ʋ i k ɾ ə ɳ
અવલમંજલ	ə ʋ ə l m ə ɲ d͡ʒ ə l
અવસ્તા	ə ʋ ə s t̪ ɑ
અવાક	ə ʋ ɑ k
અવાજ	ə ʋ ɑ d͡ʒ
અવાજ	ə ʋ ɑ z
અવિદ્યા	ə ʋ i d̪ j ɑ
અવેસ્તા	ə ʋ eː s t̪ ɑ
અશરાફ	ə ʃ ɾ ɑ pʰ
અશો	ə ʃ o
અશોક	ə ʃ o k
અશ્રુ	ə ʃ ɾ u
અશ્વ	ə ʃ ʋ ə
અશ્વત્થ	ə ʃ ʋ ə t̪ t̪ʰ ə
અષ	ə ʃ ə
અષાઢ	ə ʃ ɑ ɖʱ
અષ્ટકોણ	ə ʂ ʈ k o ɳ
અસંખ્ય	ə s ə ŋ kʰ j ə
અસબાબ	ə s ə b ɑ b
અસર	ə s ə ɾ
અસાડ	ə s ɑ ɽ
અસુર	ə s u ɾ
અસ્તબલ	ə s t̪ ə b ə l
અસ્તરો	ə s t̪ ɾ o
અસ્પૃશ્યતાનિવારણ	ə s p ɾ u ʃ j ə t̪ ɑ n i ʋ ɑ ɾ ə ɳ
અહમદનગર	əʱ m ə d̪ n ə ɡ ə ɾ
અહલ	ə ɦ ə l
અહાશ્વેરોશ	ə ɦ ɑ ʃ ʋ eː ɾ o ʃ
અહિંસા	ə ɦ i n s ɑ
અહીં	ə ɦ ĩ
અહીંતહીં	ə ɦ ĩ t̪ ə ɦ ĩ
અહુરમઝ્દ	ə ɦ u ɾ m ə d͡ʒʱ d̪
અહેડી	ə ɦ eː ɽ i
અહેવાલ	ə ɦ ɛ ʋ ɑ l
આ	ɑ
આંખ	ɑ̃ kʰ
આંગડી	ɑ̃ ɡ ə ɖ i
આંગણ	ɑ ŋ ɡ ə ɳ
આંગણું	ə ŋ ɡ ə ɳ ũ
આંગળી	ɑ ŋ ɡ ɭ i
આંચળ	ɑ̃ t͡ʃ ə ɭ
આંતરજાળ	ɑ n t̪ ə ɾ d͡ʒ ɑ ɭ
આંતરડું	ɑ̃ t̪ ə ɾ ɖ ũ
આંતરડું	ɑ̃ t̪ ə ɾ ɽ ũ
આંતરરાષ્ટ્રીય	ɑ n t̪ ə ɾ ɾ ɑ ʂ ʈ ɾ i j ə
આંબ	ɑ m b
આંબાવાડી	ɑ m b ɑ ʋ ɑ ɖ i
આંબેડકર	ɑ m b eː ɖ k ə ɾ
આંબો	ɑ m b o
આંસ	ɑ̃ s
આંસુ	ɑ̃ s u
આઇસક્રીમ	ɑ i s k ɾ i m
આઈ	ɑ i
આકાશ	ɑ k ɑ ʃ
આકાશગંગા	ɑ k ɑ ʃ ɡ ə ŋ ɡ ɑ
આખું	ɑ kʰ ũ
આગ	ɑ ɡ
આગગાડી	ɑ ɡ ɡ ɑ ɽ i
આગમણ	ɑ ɡ m ə ɳ
આગાખાન	ɑ ɡ ɑ kʰ ɑ n
આગાર	ɑ ɡ ɑ ɾ
આગિયો	ɑ ɡ i j o
આગેવાન	ɑ ɡ eː ʋ ɑ n
આગ્રા	ɑ ɡ ɾ ɑ
આચરણ	ɑ t͡ʃ ə ɾ ə ɳ
આજ	ɑ d͡ʒ
આજુબાજુ	ɑ d͡ʒ u b ɑ d͡ʒ u
આજો	ɑ d͡ʒ o
આઝાદ	ɑ d͡ʒʱ ɑ d̪
આઝાદ	ɑ z ɑ d̪
આટો	ɑ ʈ o
આઠ	ɑ ʈʰ
આઠમ	ɑ ʈʰ ə m
આડત્રીસ	ɑ ɽ t̪ ɾ i s
આડું	ɑ ɖ ũ
આડોશપાડોશ	ɑ ɖ o ʃ p ɑ ɖ o ʃ
આતરવક્ષી	ɑ t̪ ə ɾ ʋ ə k ʃ i
આતવાર	ɑ t̪ ʋ ɑ ɾ
આતશ	ɑ t̪ ə ʃ
આતશકદેહ	ɑ t̪ ə ʃ ə k d̪ eːʱ
આત્મા	ɑ t̪ m ɑ
આથમણું	ɑ t̪ʰ ə m ɳ ũ
આદમ	ɑ d̪ ə m
આદિત્યવાર	ɑ d̪ i t̪ j ə ʋ ɑ ɾ
આદિવાસી	ɑ d̪ i ʋ ɑ s i
આદુ	ɑ d̪ u
આધણ	ɑ d̪ʱ ə ɳ
આનંદ	ɑ n ə n d̪
આપ	ɑ p
આપણું	ɑ p ɳ ũ
આપણે	ɑ p ə ɳ eː
આપવું	ɑ p ʋ ũ
આપા	ɑ p ɑ
આપો	ɑ p o
આફતાબ	ɑ pʰ t̪ ɑ b
આફૂસ	ɑ pʰ u s
આફ્રીનગાન	ɑ pʰ ɾ i n ɡ ɑ n
આબ	ɑ b
આબાદી	ɑ b ɑ d̪ i
આબોહવા	ɑ b o ɦ ə ʋ ɑ
આભ	ɑ bʱ ə
આભલું	ɑ bʱ l ũ
આભાર	ɑ bʱ ɑ ɾ
આમ	ɑ m
આમલી	ɑ m ə l i
આમળું	ɑ m ɭ ũ
આમીન	ɑ m i n
આમુદરિયા	ɑ m u d̪ ə ɾ i j ɑ
આમેન	ɑ m eː n
આયખું	ɑ j ə kʰ ũ
આયત	ɑ j ə t̪
આયરિશ	ɑ j ɾ i ʃ
આયા	ɑ j ɑ
આયાત	ɑ j ɑ t̪
આયુર્વેદ	ɑ j u ɾ ʋ eː d̪
આયુષ	ɑ j u ʂ
આરજા	ɑ ɾ d͡ʒ ɑ
આરતી	ɑ ɾ t̪ i
આરસી	ɑ ɾ s i
આરામ	ɑ ɾ ɑ m
આરોગ્ય	ɑ ɾ o ɡ j ə
આર્મેનિયા	ɑ ɾ m eː n i j ɑ
આર્ય	ɑ ɾ j ə
આર્યન	ɑ ɾ j ə n
આર્યસમાજ	ɑ ɾ j ə s ə m ɑ d͡ʒ
આલમારી	ɑ l m ɑ ɾ i
આલિંગન	ɑ l i ŋ ɡ ə n
આલીશાન	ɑ l i ʃ ɑ n
આલૂબુખારા	ɑ l u b u kʰ ɑ ɾ ɑ
આલ્કોહોલ	æ l k ə ɦ ɑ l
આલ્કોહોલ	æ l k ə ɦ ɔ l
આલ્કોહોલ	ɑ l k o ɦ o l
આલ્પ્સ	ɑ l p s
આલ્બેનિયા	ɑ l b eː n i j ɑ
આળસ	ɑ ɭ ə s
આળસુ	ɑ ɭ s u
આવજો	ɑ ʋ d͡ʒ o
આવડવું	ɑ ʋ ə ɽ ʋ ũ
આવવું	ɑ ʋ ʋ ũ
આવાં	ɑ ʋ ɑ̃
આવારા	ɑ ʋ ɑ ɾ ɑ
આવું	ɑ ʋ ũ
આશક	ɑ ʃ ə k
આશા	ɑ ʃ ɑ
આશિષ	ɑ ʃ i ʂ
આશીર્વાદ	ɑ ʃ i ɾ ʋ ɑ d̪
આશ્રમ	ɑ ʃ ɾ ə m
આસપાસ	ɑ s p ɑ s
આસમાન	ɑ s m ɑ n
આસમાન	ɑ s ə m ɑ n
આસમાની	ɑ s m ɑ n i
આસામ	ɑ s ɑ m
આસો	ɑ s o
આસ્તિક	ɑ s t̪ i k
આસ્તે	ɑ s t̪ eː
આસ્થા	ɑ s t̪ʰ ɑ
ઇ	i
ઇંજીલ	i ɲ d͡ʒ i l
ઇચ્છા	i t͡ʃ t͡ʃʰ ɑ
ઇજાર	i d͡ʒ ɑ ɾ
ઇજ્જત	i d͡ʒ d͡ʒ ə t̪
ઇજ્જત	i z z ə t̪
ઇઝરાયલ	i d͡ʒʱ ɾ ɑ j ə l
ઇટાલી	i ʈ ɑ l i
ઇતબાર	i t̪ b ɑ ɾ
ઇતરાજ	i t̪ ɾ ɑ d͡ʒ
ઇથિયોપિયા	i t̪ʰ i j o p i j ɑ
ઇદ્રિસ	i d̪ ɾ i s
ઇન્ડિયા	i n ɖ i j ɑ
ઇન્શાઅલ્લાહ	i n ʃ ɑ ə l l ɑʱ
ઇન્સાનિયત	i n s ɑ n i j ə t̪
ઇન્સાફ	i n s ɑ pʰ
ઇફતાર	i pʰ t̪ ɑ ɾ
ઇબાદત	i b ɑ d̪ ə t̪
ઇબાદતગાહ	i b ɑ d̪ ə t̪ ɡ ɑʱ
ઇબ્રાહીમ	i b ɾ ɑ ɦ i m
ઇબ્લીસ	i b l i s
ઇમામ	i m ɑ m
ઇમામબારા	i m ɑ m b ɑ ɾ ɑ
ઇમારત	i m ɑ ɾ ə t̪
ઇમ્તિહાન	i m t̪ i ɦ ɑ n
ઇમ્ફાલ	i m pʰ ɑ l
ઇયરફોન	i j ə ɾ pʰ o n
ઇયળ	i j ə ɭ
ઇરજ	i ɾ ə d͡ʒ
ઇરફાન	i ɾ pʰ ɑ n
ઇરાક	i ɾ ɑ k
ઇલીષ	i l i ʂ
ઇશા	i ʃ ɑ
ઇશારો	i ʃ ɑ ɾ o
ઇસનપુર	i s ə n p u ɾ
ઇસપાત	i s p ɑ t̪
ઇસ્કોતરો	i s k o t̪ ɾ o
ઇસ્તંબૂલ	i s t̪ ə m b u l
ઇસ્ત્રી	i s t̪ ɾ i
ઇસ્પિતાલ	i s p i t̪ ɑ l
ઇસ્માઇલ	i s m ɑ i l
ઇસ્માઇલી	i s m ɑ i l i
ઇસ્લામ	i s l ɑ m
ઇસ્લામાબાદ	i s l ɑ m ɑ b ɑ d̪
ઇસ્હાક	i s ɦ ɑ k
ઈ	i
ઈંટ	ĩ ʈ
ઈંડું	i ɳ ɖ ũ
ઈંધણ	ĩ d̪ʱ ə ɳ
ઈડલી	i ɖ l i
ઈદ	i d̪
ઈદુલફીતુર	i d̪ u l pʰ i t̪ u ɾ
ઈમાન	i m ɑ n
ઈરાન	i ɾ ɑ n
ઈરાની	i ɾ ɑ n i
ઈલ્યાસ	i l j ɑ s
ઈશ્વર	i ʃ ʋ ə ɾ
ઈસ	i s
ઈસુ	i s u
ઈસુદાસ	i s u d̪ ɑ s
ઈસુબાપ	i s u b ɑ p
ઈસ્ટર	i s ʈ ə ɾ
ઈસ્વી	i s ʋ i
ઈસ્વીસન	i s ʋ i s ə n
ઉ	u
ઉંદર	u n d̪ ə ɾ
ઉંબરો	u m b ɾ o
ઉંમર	u m m ə ɾ
ઉકરડો	u k ə ɾ ɖ o
ઉકાણી	u k ɑ ɳ i
ઉકાળો	u k ɑ ɭ o
ઉગમણું	u ɡ ə m ɳ ũ
ઉઘરાણી	u ɡʱ ə ɾ ɑ ɳ i
ઉઘાડ	u ɡʱ ɑ ɽ
ઉઘાડવું	u ɡʱ ɑ ɽ ʋ ũ
ઉચિત	u t͡ʃ i t̪
ઉચ્ચાર	u t͡ʃ t͡ʃ ɑ ɾ
ઉજવણી	u d͡ʒ ə ʋ ɳ i
ઉજ્જડ	u d͡ʒ d͡ʒ ə ɽ
ઉઝબક	u d͡ʒʱ b ə k
ઉઝબેકિસ્તાન	u d͡ʒʱ b eː k i s t̪ ɑ n
ઉઠમણું	u ʈʰ ə m ɳ ũ
ઉઠાડવું	u ʈʰ ɑ ɽ ʋ ũ
ઉડિસા	u ɖ i s ɑ
ઉડ્ડયન	u ɖ ɖ ə j ə n
ઉતારવું	u t̪ ɑ ɾ ʋ ũ
ઉતાવળ	u t̪ ɑ ʋ ə ɭ
ઉતાવળિયું	u t̪ ɑ ʋ ə ɭ i j ũ
ઉત્તર	u t̪ t̪ ə ɾ
ઉત્પત્તિ	u t̪ p ə t̪ t̪ i
ઉત્સાહ	u t̪ s ɑʱ
ઉદજન	u d̪ d͡ʒ ə n
ઉદયપુર	u d̪ ə j p u ɾ
ઉદાસ	u d̪ ɑ s
ઉદાહરણ	u d̪ ɑ ɦ ə ɾ ə ɳ
ઉદ્યાન	u d̪ j ɑ n
ઉનાળો	u n ɑ ɭ o
ઉપઉષ્ણકટિબંધીય	u p ə u ʃ ɳ ə k ʈ i b ə n d̪ʱ i j ə
ઉપનયન	u p ə n j ə n
ઉપનામ	u p ə n ɑ m
ઉપનિષદ	u p ə n i ʂ ə d̪
ઉપરવાળો	u p ə ɾ ʋ ɑ ɭ o
ઉપલબ્ધ	u p ə l ə b d̪ʱ
ઉપવાસ	u p ʋ ɑ s
ઉપાડવું	u p ɑ ɽ ʋ ũ
ઉપાધ્યાય	u p ɑ d̪ʱ j ɑ j
ઉપેક્ષિત	u p eː k ʂ i t̪
ઉમંગ	u m ə ŋ ɡ
ઉમર	u m ə ɾ
ઉમેદવાર	u m eː d̪ ʋ ɑ ɾ
ઉર્દુન	u ɾ d̪ u n
ઉર્દૂ	u ɾ d̪ u
ઉર્સ	u ɾ s
ઉલ્લાસ	u l l ɑ s
ઉવાટ	u ʋ ɑ ʈ
ઉષા	u ʃ ɑ
ઉષ્ટ્રપક્ષી	u ʂ ʈ ɾ ə p ə k ʃ i
ઉષ્ણકટિબંધીય	u ʃ ɳ ə k ʈ i b ə n d̪ʱ i j ə
ઉસ્તાદ	u s t̪ ɑ d̪
ઉસ્માન	u s m ɑ n
ઉસ્માનપુરા	u s m ɑ n p u ɾ ɑ
ઉસ્માની	u s m ɑ n i
ઊ	u
ઊંઘ	u ŋ ɡʱ
ઊંઘવું	u ŋ ɡʱ ʋ ũ
ઊંચું	ũ t͡ʃ ũ
ઊંટ	ũ ʈ
ઊંધું	u n d̪ʱ ũ
ઊકળવું	u k ə ɭ ʋ ũ
ઊગવું	u ɡ ə ʋ ũ
ઊજળું	u d͡ʒ ɭ ũ
ઊઠવું	u ʈʰ ʋ ũ
ઊડવું	u ɖ ʋ ũ
ઊધઈ	u d̪ʱ ə i
ઊન	u n
ઊનું	u n ũ
ઊપજવું	u p ə d͡ʒ ʋ ũ
ઊપર	u p ə ɾ
ઊબક	u b ə k
ઊભું	u bʱ ũ
ઊલટું	u l ʈ ũ
ઊલિયું	u l i j ũ
ઊષર	u ʃ ə ɾ
ઊસ	u s
ઋ	ɾ u
ઋતુ	ɾ u t̪ u
ઋષભ	ɾ u ʃ ə bʱ
ઋષિ	ɾ u ʃ i
ઍ	ɛ
એ	eː
એ	j eː
એ	ɛ
એંસી	ɛ̃ s i
એક	eː k
એક	j eː k
એકતા	eː k t̪ ɑ
એકતાળીસ	eː k t̪ ɑ ɭ i s
એકત્રીસ	eː k t̪ ɾ i s
એકદમ	eː k d̪ ə m
એકધારું	eː k d̪ʱ ɑ ɾ ũ
એકલડું	eː k ə l ɖ ũ
એકલું	eː k l ũ
એકવીસ	eː k ʋ i s
એકસઠ	eː k s ə ʈʰ
એકાંતિક	eː k ɑ n t̪ i k
એકાદશી	eː k ɑ d̪ ə ʃ i
એકી	eː k i
એકોતેર	eː k o t̪ eː ɾ
એટલું	eː ʈ l ũ
એટલે	eː ʈ l eː
એડન	eː ɖ ə n
એડિટર	eː ɖ i ʈ ə ɾ
એડિસન	ɛ ɖ i s ə n
એડી	eː ɽ i
એતેકાદ	eː t̪ eː k ɑ d̪
એનોશ	eː n o ʃ
એન્જિનિયર	eː n d͡ʒ i n i j ə ɾ
એન્થોની	â n t̪ʰ o n i
એપ્રિલ	eː p ɾ i l
એબાદત	eː b ɑ d̪ ə t̪
એમ	ɛ m
એરંગ	eː ɾ ə ŋ ɡ
એરણ	ɛ ɾ ə ɳ
એરવદ	eː ɾ ʋ ə d̪
એરુ	ɛ ɾ u
એલચી	eː l ə t͡ʃ i
એલિસબ્રિજ	eː l i s b ɾ i d͡ʒ
એસ્કિમો	ɛ s k i m o
એસ્તેર	eː s t̪ eː ɾ
એહસાન	eː ɦ ə s ɑ n
ઐ	ə i
ઐતિહાસિક	ə i t̪ i ɦ ɑ s i k
ઐરાવત	ə i ɾ ɑ ʋ ə t̪
ઑ	ɔ
ઑક્ટોબર	ɔ k ʈ o b ə ɾ
ઑફિસ	ɔ pʰ i s
ઑફિસર	ɔ pʰ i s ə ɾ
ઓ	o
ઓ	ɔ
ઓકવું	ɔ k ʋ ũ
ઓક્ટોપસ	o k ʈ o p ə s
ઓક્ટોબર	o k ʈ o b ə ɾ
ઓગણચાલીસ	o ɡ ə ɳ t͡ʃ ɑ l i s
ઓગણચાળીસ	o ɡ ə ɳ t͡ʃ ɑ l i s
ઓગણત્રીસ	o ɡ ə ɳ t̪ ɾ i s
ઓગણપચાસ	o ɡ ə ɳ p ə t͡ʃ ɑ s
ઓગણસાઠ	o ɡ ə ɳ s ɑ ʈʰ
ઓગણીસ	o ɡ ɳ i s
ઓગળવું	ɔ ɡ ə ɭ ʋ ũ
ઓગસ્ટ	o ɡ ə s ʈ
ઓચ્છવ	o t͡ʃ t͡ʃʰ ə ʋ
ઓચ્છવ	ɔ t͡ʃ t͡ʃʰ ə ʋ
ઓછું	o t͡ʃʰ ũ
ઓઝો	o d͡ʒʱ o
ઓઠ	o ʈʰ
ઓઢવાનું	o ɖʱ ʋ ɑ n ũ
ઓઢવું	o ɖʱ ʋ ũ
ઓણ	ɔ ɳ
ઓણમ	o ɳ ə m
ઓતરાદું	ɔ t̪ ɾ ɑ d̪ ũ
ઓથાર	ɔ t̪ʰ ɑ ɾ
ઓમલેટ	o m l eː t̪
ઓર	ɔ ɾ
ઓરડો	o ɾ ɖ o
ઓરત	ɔ ɾ ə t̪
ઓલાદ	ɔ l ɑ d̪
ઓળંભો	o ɭ ə m bʱ o
ઓળખવું	o ɭ ə kʰ ʋ ũ
ઓળખાણ	o ɭ kʰ ɑ ɳ
ઓળગ	o ɭ ə ɡ
ઓળવું	o ɭ ʋ ũ
ઓળો	ɔ ɭ o
ઓશીકું	o ʃ i k ũ
ઓસ	o s
ઓસડ	o s ə ɽ
ઓસામણ	ɔ s ɑ m ə ɳ
ઔ	ə u
ઔરંગઝેબ	ə u ɾ ə ŋ ɡ d͡ʒʱ eː b
ક	k ə
કંઈક	k ə̃ i k
કંકાલ	k ə ŋ k ɑ l
કંકોતરી	k ə ŋ k o t̪ ɾ i
કંગ	k ə ŋ ɡ
