Ё	j ɔ
Вьетнам	w̜ j ɵ tʰ n a m
Г	ɡ
Г	ɢ
Герман	ɡ e r m aˑ ɴ̟
Голланд	k ɔ ɮ a n t
Грек	kʲ ɵ rʲ ɵ kʰ
Д	t
ДОХ	t ɔ x
Даланзадгад	t a ɮ a n t͡s a t k a t
Дани	t äˑ n
Дани	t ɛˑ n
Дархан	t a r x a ŋ
Доржгүй	t ɔ r t͡ɕ k u i̯
Доржид	t ɔ r t͡ɕ i t
Доржийг	t ɔ r t͡ɕ iː k
Доржийн	t ɔ r t͡ɕ iː ŋ
Доржийнд	t ɔ r t͡ɕ iː n t
Доржоор	t ɔ r t͡ɕ oː r̥
Доржоос	t ɔ r t͡ɕ oː s
Доржтой	t ɔ r t͡ɕ tʰ ɔ i̯
Е	j i ~ j ɵ
Евровидение	j ɵ w̜ r ɔ w̜ i tʲ ɵ n i j ɵ
Европ	j ɵ w r ɔˑ pʰ
Египет	j ɵ k i f tʰ
Ж	t ʃ
Желон	d͡ʒ e l ɔ ŋ
Женев	d ʒ ɛ n ɛ f
З	t͡s
Зуунмод	t͡s ʊː m m ɔ t
Зүүнхараа	t͡s uː ŋ x a r aː
И	i
Израиль	i t͡s r a i ɮʲ
Индонез	i n t ɔ nʲ ɵ t͡s
Ирак	i r a kʰ
Иран	i r a ŋ
Исланд	i s ɮ a n t
Испани	i s pʰ aˑ n
Й	i
К	kʰ
К	x
Казахстан	kʰ ä t͜s ä ɢ s tʰ äˑ n
Камбож	kʰ a m p ɔ t͡ɕ
Канад	kʰ a n a t
Кидан	kʰ i t a ŋ
Куба	kʰ ʊ β
Күнз	kʰ u n t͡s
Л	ɮ
Латви	ɮ äˑ tʰ ə w̜
Линукс	ɮ i n ʊ kʰ s
Лондон	ɮ ɔ n t ɔ ŋ
Лхама	ɬʰ a m a
Лхас	ɬʰ a s
М	m
Малайз	m a ɮ ɛː t͡s
Мандалговь	m a n t a ɮ k ɔ w̜ʲ
Манж	m a n t͡ɕ
Мексик	mʲ ɵ kʰ s i kʰ
Мисир	m i s i r̥
Москва	m ɔ s kʰ w̜ a
Мьянмар	m j a m m a r̥
Мөрөн	m ɵ r ɵ ŋ
Н	n
Н	ŋ
Налайх	n a ɮ ɛː x
Непал	nʲ ɵ pʰ a ɮ
Нидерланд	n i tʲ ɵ r ɮ a n t
О	ɔ
Обь	ɔ pʲ
Онтарио	ɔ n tʰ a r i̯ oː
Орос	ɔ r ʊ s
Орчон	ɔ r̥ t͡ɕʰ ɔ ŋ
П	pʰ
Перс	pʰʲ ɵ r s
Петр	pʰʲ ɵ tʰ r̥
Португал	pʰ ɔ r̥ tʰ ʊ k a ɮ
Пёнъян	pʰʲ ɔ n j a ŋ
Пёньян	pʰʲ ɔ n j a ŋ
Р	r
Ром	r ɔ m
С	s
Сажа	s a d͡ʑ
Сайншанд	s ɛː n ɕ a n t
Сибирь	s i β i rʲ
Сири	s iˑ r
Стамбул	s tʰ a m p ʊ ɮ
Сүхбаатар	s u x p aː tʰ a r̥
Сөүл	s ɵ u ɮ
Т	tʰ
Тав	tʰ a w̜
Тайланд	tʰ ɛː ɮ a n t
Твиттер	tʰ w̜ i tʰʲ ɵ r̥
Тирана	tʰ i r a n a
Тува	tʰ ʊ w̜ aˑ
Тулуй	tʰ ʊ ɮ ʊ i
Түрэг	tʰ u r e k
Төвшрүүлэх	tʰ ɵ w̜ ɕ r uː ɮ e x
Төвөд	tʰ u p ɘ t
У	ʊ
Узбекээр	ʊ t͡s pʲ ɵ kʰ eː r̥
Украин	ʊ kʰ r a i ŋ
Улаанбаатараар	ʊ ɮ aː m p aː tʰ a r aː r̥
Улаанбаатараас	ʊ ɮ aː m p aː tʰ a r aː s
Улаанбаатаргүй	ʊ ɮ aː m p aː tʰ a r k u i̯
Улаанбаатарт	ʊ ɮ aː m p aː tʰ a r̥ tʰ
Улаанбаатартай	ʊ ɮ aː m p aː tʰ a r̥ tʰ ɛː
Улаанбаатарыг	ʊ ɮ aː m p aː tʰ a r i k
Улаанбаатарын	ʊ ɮ aː m p aː tʰ a r i ŋ
Улаанбаатарынх	ʊ ɮ aː m p aː tʰ a r i ŋ x
Улаанбаатарынхан	ʊ ɮ aː m p aː tʰ a r i ŋ x a ŋ
Улаангом	ʊ ɮ aː ŋ k ɔ m
Улаанцав	ʊ ɮ a n t͡sʰ ə w
Улиастай	ʊ ɮ i̯ aː s tʰ ɛː
Ф	f
Ф	pʰ
Финланд	f i n ɮ a n t
Финлянд	f i n ɮʲ a n t
Франц	f r a n t͡sʰ
Х	x
ХДХВ	x eː t eː x eː w eː
Халимаг	x a ɮ i m a k
Халх	x a ɮ x
Хархорин	x a r x ɔ r i ŋ
Ховд	x ɔ w̜ t
Хонконг	x ɔ ŋ kʰ ɔ ŋ k
Хуацай	x u̯ a t͡sʰ ɛː
Хянган	xʲ a ŋ k a ŋ
Хөлөнбуйр	x ɵ ɮ ɵ m p ʊ i̯ r̥
Ц	t͡sʰ
Цахар	t͡sʰ a x a r̥
Цэдэнбал	t͡sʰ e t e m p a ɮ
Цэцэрлэг	t͡sʰ e t͡sʰ e r ɮ e k
Ч	t͡ʃʰ
Чингис	t͡ɕʰ i ŋ k i s
Чингисгүй	t͡ɕʰ i ŋ k i s k u i̯
Чингисгүйгээ	t͡ɕʰ i ŋ k i s k u i̯ ɣ eː
Чингисийг	t͡ɕʰ i ŋ k i s iː k
Чингисийгээ	t͡ɕʰ i ŋ k i s iː k eː
Чингисийн	t͡ɕʰ i ŋ k i s iː ŋ
Чингисийнд	t͡ɕʰ i ŋ k i s iː n t
Чингисийндээ	t͡ɕʰ i ŋ k i s iː n t eː
Чингисийнх	t͡ɕʰ i ŋ k i s iː ŋ x
Чингисийнхгүй	t͡ɕʰ i ŋ k i s iː ŋ x k u i̯
Чингисийнхгүйгээ	t͡ɕʰ i ŋ k i s iː ŋ x k u i̯ ɣ eː
Чингисийнхдээ	t͡ɕʰ i ŋ k i s iː ŋ x t eː
Чингисийнхийг	t͡ɕʰ i ŋ k i s iː ŋ x iː k
Чингисийнхийгээ	t͡ɕʰ i ŋ k i s iː ŋ x iː k eː
Чингисийнхтэй	t͡ɕʰ i ŋ k i s iː ŋ x tʰ e i̯
Чингисийнхтэйгээ	t͡ɕʰ i ŋ k i s iː ŋ x tʰ e i̯ ɣ eː
Чингисийнхэд	t͡ɕʰ i ŋ k i s iː ŋ x e t
Чингисийнхэн	t͡ɕʰ i ŋ k i s iː ŋ x e ŋ
Чингисийнхээ	t͡ɕʰ i ŋ k i s iː ŋ x eː
Чингисийнхээр	t͡ɕʰ i ŋ k i s iː ŋ x eː r̥
Чингисийнхээрээ	t͡ɕʰ i ŋ k i s iː ŋ x eː r eː
Чингисийнхээс	t͡ɕʰ i ŋ k i s iː ŋ x eː s
Чингисийнхээсээ	t͡ɕʰ i ŋ k i s iː ŋ x eː s eː
Чингист	t͡ɕʰ i ŋ k i s tʰ
Чингистэй	t͡ɕʰ i ŋ k i s tʰ e i̯
Чингистэйгээ	t͡ɕʰ i ŋ k i s tʰ e i̯ ɣ eː
Чингистээ	t͡ɕʰ i ŋ k i s tʰ eː
Чингисээ	t͡ɕʰ i ŋ k i s eː
Чингисээр	t͡ɕʰ i ŋ k i s eː r̥
Чингисээрээ	t͡ɕʰ i ŋ k i s eː r eː
Чингисээс	t͡ɕʰ i ŋ k i s eː s
Чингисээсээ	t͡ɕʰ i ŋ k i s eː s eː
Чойбалсан	t͡ɕʰ ɔ i̯ β a ɮ s a ŋ
Чойр	t͡ɕʰ ɔ i̯ r̥
Ш	ʃ
Шанхай	ɕ a ŋ x ɛː
Швед	ɕ w̜ʲ ɵ t
Швейцари	ʃ e̞ f t͜sʰ äˑ r
Шианган	ɕ i̯ aː ŋ k a ŋ
Шивэр	ɕ i w̜ e r̥
Шиньжян	ɕ i nʲ t͡ɕ j a ŋ
Щ	ʃ
Ы	i
Ь	ʲ
Э	e ~ i
Эрхүү	e r x uː
Ю	j u
Ю	j ʊ
Я	j a
а	a
аав	aː w̜
ааваар	aː w̜ aː r̥
ааваас	aː w̜ aː s
аавгүй	aː w̜ k u i̯
аавд	aː w̜ t
аавтай	aː w̜ tʰ ɛː
аавууд	aː w̜ ʊː t
аавуудаар	aː w̜ ʊː t aː r̥
аавуудаас	aː w̜ ʊː t aː s
аавуудад	aː w̜ ʊː t a t
аавуудгүй	aː w̜ ʊː t k u i̯
аавуудтай	aː w̜ ʊː t tʰ ɛː
аавуудыг	aː w̜ ʊː t i k
аавуудын	aː w̜ ʊː t i ŋ
аавуудынд	aː w̜ ʊː t i n t
аавыг	aː w̜ i k
аавын	aː w̜ i ŋ
аавынд	aː w̜ i n t
ааг	aː k
аагаар	aː k aː r̥
аагаас	aː k aː s
ааггүй	aː k u i̯
аагийг	aː k iː k
аагийн	aː k iː ŋ
аагт	aː k tʰ
аагтай	aː k tʰ ɛː
аагууд	aː k ʊː t
аагуудаар	aː k ʊː t aː r̥
аагуудаас	aː k ʊː t aː s
аагуудад	aː k ʊː t a t
аагуудгүй	aː k ʊː t k u i̯
аагуудтай	aː k ʊː t tʰ ɛː
аагуудыг	aː k ʊː t i k
аагуудын	aː k ʊː t i ŋ
аадар	aː d ə r
аадаргүй	aː t a r k u i̯
аадарт	aː t a r̥ tʰ
аадартай	aː t a r̥ tʰ ɛː
аадраар	aː t r aː r̥
аадраас	aː t r aː s
аадрыг	aː t r i k
аадрын	aː t r i ŋ
аалз	aː ɮ t͡s
аалзаар	aː ɮ t͡s aː r̥
аалзан	aː ɮ t͡s a ŋ
аалзанд	aː ɮ t͡s a n t
аалзгүй	aː ɮ t͡s k u i̯
аалзнаас	aː ɮ t͡s n aː s
аалзнууд	aː ɮ t͡s n ʊː t
аалзнуудаар	aː ɮ t͡s n ʊː t aː r̥
аалзнуудаас	aː ɮ t͡s n ʊː t aː s
аалзнуудад	aː ɮ t͡s n ʊː t a t
аалзнуудгүй	aː ɮ t͡s n ʊː t k u i̯
аалзнуудтай	aː ɮ t͡s n ʊː t tʰ ɛː
аалзнуудыг	aː ɮ t͡s n ʊː t i k
аалзнуудын	aː ɮ t͡s n ʊː t i ŋ
аалзны	aː ɮ t͡s n i
аалзтай	aː ɮ t͡s tʰ ɛː
ааруул	aː r ʊː ɮ
ааруулаар	aː r ʊː ɮ aː r̥
ааруулаас	aː r ʊː ɮ aː s
ааруулгүй	aː r ʊː ɮ k u i̯
ааруулд	aː r ʊː ɮ t
ааруултай	aː r ʊː ɮ tʰ ɛː
ааруулууд	aː r ʊː ɮ ʊː t
ааруулуудаар	aː r ʊː ɮ ʊː t aː r̥
ааруулуудаас	aː r ʊː ɮ ʊː t aː s
ааруулуудад	aː r ʊː ɮ ʊː t a t
ааруулуудгүй	aː r ʊː ɮ ʊː t k u i̯
ааруулуудтай	aː r ʊː ɮ ʊː t tʰ ɛː
ааруулуудыг	aː r ʊː ɮ ʊː t i k
ааруулуудын	aː r ʊː ɮ ʊː t i ŋ
ааруулыг	aː r ʊː ɮ i k
ааруулын	aː r ʊː ɮ i ŋ
ааш	aː ɕ
аашаар	aː ɕ aː r̥
аашгүй	aː ɕ k u i̯
аашийг	aː ɕ iː k
аашин	aː ɕ i ŋ
аашинд	aː ɕ i n t
аашнаас	aː ɕ n aː s
аашны	aː ɕ n i
ааштай	aː ɕ tʰ ɛː
абстракт	a p s tʰ r a kʰ tʰ
абстрактаар	a p s tʰ r a kʰ tʰ aː r̥
абстрактаас	a p s tʰ r a kʰ tʰ aː s
абстрактад	a p s tʰ r a kʰ tʰ a t
абстрактгүй	a p s tʰ r a kʰ tʰ k u i̯
абстракттай	a p s tʰ r a kʰ tʰ ɛː
абстрактууд	a p s tʰ r a kʰ tʰ ʊː t
абстрактуудаар	a p s tʰ r a kʰ tʰ ʊː t aː r̥
абстрактуудаас	a p s tʰ r a kʰ tʰ ʊː t aː s
абстрактуудад	a p s tʰ r a kʰ tʰ ʊː t a t
абстрактуудгүй	a p s tʰ r a kʰ tʰ ʊː t k u i̯
абстрактуудтай	a p s tʰ r a kʰ tʰ ʊː t tʰ ɛː
абстрактуудыг	a p s tʰ r a kʰ tʰ ʊː t i k
абстрактуудын	a p s tʰ r a kʰ tʰ ʊː t i ŋ
абстрактыг	a p s tʰ r a kʰ tʰ i k
абстрактын	a p s tʰ r a kʰ tʰ i ŋ
авайлах	a w̜ ɛː ɮ a x
авга	a w̜ k
авгаар	a w̜ k aː r̥
авгаас	a w̜ k aː s
авгагүй	a w̜ k a ɣ u i̯
авгад	a w̜ k a t
авгалдай	a w̜ k a ɮ t ɛː
авгалдайг	a w̜ k a ɮ t ɛː k
авгалдайгаар	a w̜ k a ɮ t ɛː k aː r̥
авгалдайгаас	a w̜ k a ɮ t ɛː k aː s
авгалдайгүй	a w̜ k a ɮ t ɛː k u i̯
авгалдайд	a w̜ k a ɮ t ɛː t
авгалдайн	a w̜ k a ɮ t ɛː ŋ
авгалдайнууд	a w̜ k a ɮ t ɛː n ʊː t
авгалдайнуудаар	a w̜ k a ɮ t ɛː n ʊː t aː r̥
авгалдайнуудаас	a w̜ k a ɮ t ɛː n ʊː t aː s
авгалдайнуудад	a w̜ k a ɮ t ɛː n ʊː t a t
авгалдайнуудгүй	a w̜ k a ɮ t ɛː n ʊː t k u i̯
авгалдайнуудтай	a w̜ k a ɮ t ɛː n ʊː t tʰ ɛː
авгалдайнуудыг	a w̜ k a ɮ t ɛː n ʊː t i k
авгалдайнуудын	a w̜ k a ɮ t ɛː n ʊː t i ŋ
авгалдайтай	a w̜ k a ɮ t ɛː tʰ ɛː
авгатай	a w̜ k a tʰ ɛː
авгууд	a w̜ k ʊː t
авгуудаар	a w̜ k ʊː t aː r̥
авгуудаас	a w̜ k ʊː t aː s
авгуудад	a w̜ k ʊː t a t
авгуудгүй	a w̜ k ʊː t k u i̯
авгуудтай	a w̜ k ʊː t tʰ ɛː
авгуудыг	a w̜ k ʊː t i k
авгуудын	a w̜ k ʊː t i ŋ
авгуудынд	a w̜ k ʊː t i n t
авгыг	a w̜ k i k
авгын	a w̜ k i ŋ
авгынд	a w̜ k i n t
авгынх	a w̜ k i ŋ x
авгынхан	a w̜ k i ŋ x a ŋ
авдар	a w̜ t a r̥
авдаргүй	a w̜ t a r k u i̯
авдарт	a w̜ t a r̥ tʰ
авдартай	a w̜ t a r̥ tʰ ɛː
авдраар	a w̜ t r aː r̥
авдраас	a w̜ t r aː s
авдрууд	a w̜ t r ʊː t
авдруудаар	a w̜ t r ʊː t aː r̥
авдруудаас	a w̜ t r ʊː t aː s
авдруудад	a w̜ t r ʊː t a t
авдруудгүй	a w̜ t r ʊː t k u i̯
авдруудтай	a w̜ t r ʊː t tʰ ɛː
авдруудыг	a w̜ t r ʊː t i k
авдруудын	a w̜ t r ʊː t i ŋ
авдрыг	a w̜ t r i k
авдрын	a w̜ t r i ŋ
авлигач	a w̜ ɮ i ɣ a t͡ɕʰ
авс	a w̜ s
авсаар	a w̜ s aː r̥
авсан	a w̜ s a ŋ
авсанд	a w̜ s a n t
авсгүй	a w̜ s k u i̯
авснаас	a w̜ s n aː s
авснууд	a w̜ s n ʊː t
авснуудаар	a w̜ s n ʊː t aː r̥
авснуудаас	a w̜ s n ʊː t aː s
авснуудад	a w̜ s n ʊː t a t
авснуудгүй	a w̜ s n ʊː t k u i̯
авснуудтай	a w̜ s n ʊː t tʰ ɛː
авснуудыг	a w̜ s n ʊː t i k
авснуудын	a w̜ s n ʊː t i ŋ
авсны	a w̜ s n i
австай	a w̜ s tʰ ɛː
авсыг	a w̜ s i k
автобус	a f tʰ ʊː s
автобус	a w̜ tʰ ɔ p ʊ s
автобусаар	a w̜ tʰ ɔ p ʊ s aː r̥
автобусан	a w̜ tʰ ɔ p ʊ s a ŋ
автобусанд	a w̜ tʰ ɔ p ʊ s a n t
автобусгүй	a w̜ tʰ ɔ p ʊ s k u i̯
автобуснаас	a w̜ tʰ ɔ p ʊ s n aː s
автобуснууд	a w̜ tʰ ɔ p ʊ s n ʊː t
автобуснуудаар	a w̜ tʰ ɔ p ʊ s n ʊː t aː r̥
автобуснуудаас	a w̜ tʰ ɔ p ʊ s n ʊː t aː s
автобуснуудад	a w̜ tʰ ɔ p ʊ s n ʊː t a t
автобуснуудгүй	a w̜ tʰ ɔ p ʊ s n ʊː t k u i̯
автобуснуудтай	a w̜ tʰ ɔ p ʊ s n ʊː t tʰ ɛː
автобуснуудыг	a w̜ tʰ ɔ p ʊ s n ʊː t i k
автобуснуудын	a w̜ tʰ ɔ p ʊ s n ʊː t i ŋ
автобусны	a w̜ tʰ ɔ p ʊ s n i
автобусных	a w̜ tʰ ɔ p ʊ s n i x
автобусныхан	a w̜ tʰ ɔ p ʊ s n i x a ŋ
автобустай	a w̜ tʰ ɔ p ʊ s tʰ ɛː
автобусыг	a w̜ tʰ ɔ p ʊ s i k
автокран	a w̜ tʰ ɔ kʰ r a ŋ
автокранаар	a w̜ tʰ ɔ kʰ r a n aː r̥
автокранаас	a w̜ tʰ ɔ kʰ r a n aː s
автокрангүй	a w̜ tʰ ɔ kʰ r a ŋ k u i̯
автокранд	a w̜ tʰ ɔ kʰ r a n t
автокрантай	a w̜ tʰ ɔ kʰ r a n tʰ ɛː
автокранууд	a w̜ tʰ ɔ kʰ r a n ʊː t
автокрануудаар	a w̜ tʰ ɔ kʰ r a n ʊː t aː r̥
автокрануудаас	a w̜ tʰ ɔ kʰ r a n ʊː t aː s
автокрануудад	a w̜ tʰ ɔ kʰ r a n ʊː t a t
автокрануудгүй	a w̜ tʰ ɔ kʰ r a n ʊː t k u i̯
автокрануудтай	a w̜ tʰ ɔ kʰ r a n ʊː t tʰ ɛː
автокрануудыг	a w̜ tʰ ɔ kʰ r a n ʊː t i k
автокрануудын	a w̜ tʰ ɔ kʰ r a n ʊː t i ŋ
автокраны	a w̜ tʰ ɔ kʰ r a n i
автокраныг	a w̜ tʰ ɔ kʰ r a n i k
автомашин	a w̜ tʰ ɔ m a ɕ i ŋ
автомашинаар	a w̜ tʰ ɔ m a ɕ i n aː r̥
автомашинаас	a w̜ tʰ ɔ m a ɕ i n aː s
автомашингүй	a w̜ tʰ ɔ m a ɕ i ŋ k u i̯
автомашинд	a w̜ tʰ ɔ m a ɕ i n t
автомашинтай	a w̜ tʰ ɔ m a ɕ i n tʰ ɛː
автомашинууд	a w̜ tʰ ɔ m a ɕ i n ʊː t
автомашинуудаар	a w̜ tʰ ɔ m a ɕ i n ʊː t aː r̥
автомашинуудаас	a w̜ tʰ ɔ m a ɕ i n ʊː t aː s
автомашинуудад	a w̜ tʰ ɔ m a ɕ i n ʊː t a t
автомашинуудгүй	a w̜ tʰ ɔ m a ɕ i n ʊː t k u i̯
автомашинуудтай	a w̜ tʰ ɔ m a ɕ i n ʊː t tʰ ɛː
автомашинуудыг	a w̜ tʰ ɔ m a ɕ i n ʊː t i k
автомашинуудын	a w̜ tʰ ɔ m a ɕ i n ʊː t i ŋ
автомашины	a w̜ tʰ ɔ m a ɕ i n i
автомашиныг	a w̜ tʰ ɔ m a ɕ i n i k
авъяасаар	a w̜ j aː s aː r̥
авъяасаас	a w̜ j aː s aː s
авъяасгүй	a w̜ j aː s k u i̯
авъяаст	a w̜ j aː s tʰ
авъяастай	a w̜ j aː s tʰ ɛː
авъяасыг	a w̜ j aː s i k
авъяасын	a w̜ j aː s i ŋ
авьяас	a w̜ j aː s
агаар	a ɢ aː r
агаараар	a ɣ aː r aː r̥
агаараас	a ɣ aː r aː s
агааргүй	a ɣ aː r k u i̯
агаарт	a ɣ aː r̥ tʰ
агаартай	a ɣ aː r̥ tʰ ɛː
агаарыг	a ɣ aː r i k
агаарын	a ɣ aː r i ŋ
агаарынх	a ɣ aː r i ŋ x
агаарынхан	a ɣ aː r i ŋ x a ŋ
агробиологи	a k r ɔ β i̯ oː ɮ ɔ ɣ
агшин	a k ɕ i ŋ
ад	a t
адал	a t ə ɮ
адгуус	a t k ʊː s
адгуусаар	a t k ʊː s aː r̥
адгуусан	a t k ʊː s a ŋ
адгуусанд	a t k ʊː s a n t
адгуусгүй	a t k ʊː s k u i̯
адгууснаас	a t k ʊː s n aː s
адгууснууд	a t k ʊː s n ʊː t
адгууснуудаар	a t k ʊː s n ʊː t aː r̥
адгууснуудаас	a t k ʊː s n ʊː t aː s
адгууснуудад	a t k ʊː s n ʊː t a t
адгууснуудгүй	a t k ʊː s n ʊː t k u i̯
адгууснуудтай	a t k ʊː s n ʊː t tʰ ɛː
адгууснуудыг	a t k ʊː s n ʊː t i k
адгууснуудын	a t k ʊː s n ʊː t i ŋ
адгуусны	a t k ʊː s n i
адгуустай	a t k ʊː s tʰ ɛː
адгуусыг	a t k ʊː s i k
адил	æ t ə ɮ
адуу	a t ʊː
адуус	a t ʊ s
ажил	a t͜ɕ ə ɮ
ажилгүйчүүд	a d͡ʑ i ɮ k u i̯ t͡ɕʰ uː t
ажилтан	a t͜ɕ ə ɮ tʰ ə ŋ
ажлынхаа	a t͡ɕ ɮ i ŋ x aː
аз	a t͡s
айл	æː ɮ
айлчлах	a i ɮ t͡ɕʰ ɮ ə x
аймаг	æː m ə k̠
аймшиг	a i m ʃ i ɡ
айраг	æː r ə k
алалцах	a ɮ a ɮ t͡sʰ a x
алба	a ɮ p
албадах	a ɮ p ə t ə x
албадлага	a ɮ p ə t ɮ ə ɢ
алга	a ɮ k
алган	a ɮ k a ŋ
алгебр	a ɮ kʲ ɵ p r̥
алдах	a ɮ t ə x
аллага	a ɮː a ɣ
алмааз	a ɮ m aː t͡s
алт	a ɮ tʰ
алтан	a ɮ tʰ a ŋ
алтгана	a ɮ tʰ ɢ ə n
алуурчдаар	a ɮ ʊː r̥ t͡ɕʰ t aː r̥
алуурчдаас	a ɮ ʊː r̥ t͡ɕʰ t aː s
алуурчдад	a ɮ ʊː r̥ t͡ɕʰ t a t
алуурчдыг	a ɮ ʊː r̥ t͡ɕʰ t i k
алуурчдын	a ɮ ʊː r̥ t͡ɕʰ t i ŋ
алуурчдынх	a ɮ ʊː r̥ t͡ɕʰ t i ŋ x
алуурчид	a ɮ ʊː r̥ t͡ɕʰ i t
алуурчидгүй	a ɮ ʊː r̥ t͡ɕʰ i t k u i̯
алуурчидтай	a ɮ ʊː r̥ t͡ɕʰ i t tʰ ɛː
алуурчин	a ɮ ʊː r̥ t͡ɕʰ i ŋ
алуурчингүй	a ɮ ʊː r̥ t͡ɕʰ i ŋ k u i̯
алуурчинд	a ɮ ʊː r̥ t͡ɕʰ i n t
алуурчинтай	a ɮ ʊː r̥ t͡ɕʰ i n tʰ ɛː
алуурчнаар	a ɮ ʊː r̥ t͡ɕʰ n aː r̥
алуурчнаас	a ɮ ʊː r̥ t͡ɕʰ n aː s
алуурчны	a ɮ ʊː r̥ t͡ɕʰ n i
алуурчныг	a ɮ ʊː r̥ t͡ɕʰ n i k
алуурчных	a ɮ ʊː r̥ t͡ɕʰ n i x
алуурчныхан	a ɮ ʊː r̥ t͡ɕʰ n i x a ŋ
алх	a ɮ x
алчуур	a ɮ t͡ʃ ʊː r
аль	æ ɮ
ам	a m
амбаар	a m p aː r
амгай	a m k ɛː
америкчуудын	a mʲ ɵ r i kʰ t͡ɕʰ ʊː t i ŋ
амжилт	a m t͡ɕ i ɮ tʰ
амжих	a m t͡ɕ ə x
амттан	a m tʰ a ŋ
амь	a mʲ
амьдрал	ɛ m t r ə ɮ
амьсгалах	a mʲ s ɢ ə ɮ ə x
амьтад	a mʲ tʰ a t
амьтадгүй	a mʲ tʰ a t k u i̯
амьтадтай	a mʲ tʰ a t tʰ ɛː
амьтангүй	a mʲ tʰ a ŋ k u i̯
амьтанд	a mʲ tʰ a n t
амьтантай	a mʲ tʰ a n tʰ ɛː
амьтдаар	a mʲ tʰ t aː r̥
амьтдаас	a mʲ tʰ t aː s
амьтдад	a mʲ tʰ t a t
амьтдыг	a mʲ tʰ t i k
амьтдын	a mʲ tʰ t i ŋ
амьтдынд	a mʲ tʰ t i n t
амьтнаар	a mʲ tʰ n aː r̥
амьтнаас	a mʲ tʰ n aː s
амьтны	a mʲ tʰ n i
амьтныг	a mʲ tʰ n i k
амьтныд	a mʲ tʰ n i t
амёб	a mʲ ɔ p
анааш	a n aː ɕ
анаашаар	a n aː ɕ aː r̥
анаашгүй	a n aː ɕ k u i̯
анаашийг	a n aː ɕ iː k
анаашин	a n aː ɕ i ŋ
анаашинд	a n aː ɕ i n t
анаашнаас	a n aː ɕ n aː s
анаашнууд	a n aː ɕ n ʊː t
анаашнуудаар	a n aː ɕ n ʊː t aː r̥
анаашнуудаас	a n aː ɕ n ʊː t aː s
анаашнуудад	a n aː ɕ n ʊː t a t
анаашнуудгүй	a n aː ɕ n ʊː t k u i̯
анаашнуудтай	a n aː ɕ n ʊː t tʰ ɛː
анаашнуудыг	a n aː ɕ n ʊː t i k
анаашнуудын	a n aː ɕ n ʊː t i ŋ
анаашны	a n aː ɕ n i
анааштай	a n aː ɕ tʰ ɛː
анги	a ŋ k
ангиа	a ŋ k i̯ aː
ангиар	a ŋ k i̯ aː r̥
ангиараа	a ŋ k i̯ aː r aː
ангиас	a ŋ k i̯ aː s
ангиасаа	a ŋ k i̯ aː s aː
ангигүй	a ŋ k i ɣ u i̯
