अ	ə
अंतरण	ə n t̪ ɾ ə ɳ
अंतरराष्ट्रीयता	ə n t̪ ə ɾ ɾ ɑː ʂ ʈ ɾ iː j t̪ ɑː
अंतरा	ə n t̪ ə ɾ ɑː
अंतरा	ə n t̪ ɾ ɑː
अंतराल	ə n t̪ ə ɾ ɑː l
अंतरिक्ष	ə n t̪ ə ɾ ɪ k ʂ
अंतरिक्ष	ə n t̪ ɾ ɪ k ʂ
अंतरिम	ə n t̪ ɾ ɪ m
अंतर्कालीन	ə n t̪ ə ɾ k ɑː l iː n
अंतर्गत	ə n t̪ ə ɾ ɡ ə t̪
अंतर्जाल	ə n t̪ ə ɾ d͡ʒ ɑː l
अंतर्धान	ə n t̪ ə ɾ d̪ʱ ɑː n
अंतर्निहित	ə n t̪ ə ɾ n ɪ ɦ ɪ t̪
अंतर्वासी	ə n t̪ ə ɾ ʋ ɑː s iː
अंताक्षरी	ə n t̪ ɑː k ʂ ə ɾ iː
अंतिम	ə n t̪ ɪ m
अंत्येष्टि	ə n t̪ j eː ʂ ʈ iː
अंदर	ə n d̪ ə ɾ
अंदाज	ə n d̪ ɑː d͡ʒ
अंदाज	ə n d̪ ɑː z
अंदाज़	ə n d̪ ɑː d͡ʒ
अंदाज़	ə n d̪ ɑː z
अंदाज़ा	ə n d̪ ɑː d͡ʒ ɑː
अंदाज़ा	ə n d̪ ɑː z ɑː
अंधड़	ə n d̪ʱ ə ɽ
अंधविश्वास	ə n d̪ʱ ʋ ɪ ʃ ʋ ɑː s
अंधा	ə n d̪ʱ ɑː
अंधाधुंध	ə n d̪ʱ ɑː d̪ʱ ʊ n d̪ʱ
अंधेरा	ə n d̪ʱ eː ɾ ɑː
अंबर	ə m b ə ɾ
अंबा	ə m b ɑː
अंबु	ə m b uː
अंश	ə n ʃ
अंशकालिक	ə n ʃ k ɑː l ɪ k
अंशतः	ə n ʃ t̪ ə ɦ
अंशुक	ə n ʃ ʊ k
अः	ə ɦ
अए	ə eː
अक	ə k
अकड़	ə k ə ɽ
अकड़न	ə k ɽ ə n
अकड़ना	ə k ə ɽ n ɑː
अकर्म	ə k ə ɾ m
अकर्मक	ə k ə ɾ m ə k
अकर्मण्यता	ə k ə ɾ m ə ɳ j ə t̪ ɑː
अकस्मात्	ə k ə s m ɑː t̪
अक़्ल	ə k ə l
अक़्ल	ə q ə l
अक़्लमंद	ə k ə l m ə n d̪
अक़्लमंद	ə q ə l m ə n d̪
अकाज	ə k ɑː d͡ʒ
अकादमिक	ə k ɑː d̪ m ɪ k
अकादमी	ə k ɑː d̪ m iː
अकारण	ə k ɑː ɾ ə ɳ
अकारथ	ə k ɑː ɾ ə t̪ʰ
अकाल	ə k ɑː l
अकूत	ə k uː t̪
अकेला	ə k eː l ɑː
अकेलापन	ə k eː l ɑː p ə n
अक्खड़	ə k kʰ ə ɽ
अक्खा	ə k kʰ ɑː
अक्टूबर	ə k ʈ uː b ə ɾ
अक्तूबर	ə k t̪ uː b ə ɾ
अक्षत	ə k ʂ ə t̪
अक्षय	ə k ʃ ə j
अक्षर	ə k ʂ ə ɾ
अक्षरारंभ	ə k ʂ ə ɾ ɑː ɾ ə m bʱ
अक्स	ə k s
अक्सर	ə k s ə ɾ
अखंड	ə kʰ ə ɳ ɖ
अखंडता	ə kʰ ə ɳ ɖ t̪ ɑː
अखबार	ə kʰ b ɑː ɾ
अखबार	ə x b ɑː ɾ
अखरना	ə kʰ ə ɾ n ɑː
अखरोट	ə kʰ ɾ oː ʈ
अखरोट	ə x ɾ oː ʈ
अख़बार	ə kʰ b ɑː ɾ
अख़बार	ə x b ɑː ɾ
अख़बारवाला	ə kʰ b ɑː ɾ ʋ ɑː l ɑː
अख़बारवाला	ə x b ɑː ɾ ʋ ɑː l ɑː
अख़रोट	ə kʰ ɾ oː ʈ
अख़रोट	ə x ɾ oː ʈ
अखाड़ा	ə kʰ ɑː ɽ ɑː
अखिल	ə kʰ ɪ l
अखिलेश	ə kʰ ɪ l eː ʃ
अगणित	ə ɡ ə ɳ ɪ t̪
अगर	ə ɡ ə ɾ
अगरचे	ə ɡ ə ɾ t͡ʃ eː
अगरतला	ə ɡ ə ɾ t̪ ə l ɑː
अगरबत्ती	ə ɡ ə ɾ b ə t̪ t̪ iː
अगला	ə ɡ l ɑː
अगवानी	ə ɡ ʋ ɑː n iː
अगस्त	ə ɡ ə s t̪
अगाऊ	ə ɡ ɑː uː
अगिन	ə ɡ ɪ n
अगुआ	ə ɡ ʊ ɑː
अग्नि	ə ɡ n iː
अग्निपरीक्षा	ə ɡ n ɪ p ə ɾ iː k ʂ ɑː
अग्निशामक	ə ɡ n ɪ ʃ ɑː m ə k
अग्न्याशय	ə ɡ n j ɑː ʃ ə j
अग्रज	ə ɡ ɾ ə d͡ʒ
अग्रहायण	ə ɡ ɾ ə ɦ ɑː j ə ɳ
अग्रिम	ə ɡ ɾ ɪ m
अग्रिमता	ə ɡ ɾ ɪ m t̪ ɑː
अचंभा	ə t͡ʃ ə m bʱ ɑː
अचकन	ə t͡ʃ k ə n
अचर	ə t͡ʃ ə ɾ
अचरज	ə t͡ʃ ɾ ə d͡ʒ
अचानक	ə t͡ʃ ɑː n ə k
अचूक	ə t͡ʃ uː k
अचेत	ə t͡ʃ eː t̪
अच्छा	ə t͡ʃ t͡ʃʰ ɑː
अच्छाई	ə t͡ʃ t͡ʃʰ ɑː iː
अच्छापन	ə t͡ʃ t͡ʃʰ ɑː p ə n
अछना	ə t͡ʃʰ n ɑː
अछूत	ə t͡ʃʰ uː t̪
अछूता	ə t͡ʃʰ uː t̪ ɑː
अजगर	ə d͡ʒ ɡ ə ɾ
अजनबियत	ə d͡ʒ n ə b ɪ j ə t̪
अजनबी	ə d͡ʒ n ə b iː
अजब	ə d͡ʒ ə b
अजमेर	ə d͡ʒ m eː ɾ
अजमोद	ə d͡ʒ m oː d̪
अजवाइन	ə d͡ʒ ʋ ɑː ɪ n
अज़दहा	ə d͡ʒ d̪ ə ɦ ɑː
अज़दहा	ə z d̪ ə ɦ ɑː
अज़रबैजान	ə d͡ʒ ə ɾ b ɛː d͡ʒ ɑː n
अज़रबैजान	ə z ə ɾ b ɛː d͡ʒ ɑː n
अज़ान	ə d͡ʒ ɑː n
अज़ान	ə z ɑː n
अज़ाब	ə d͡ʒ ɑː b
अज़ाब	ə z ɑː b
अज़ीज़	ə d͡ʒ iː d͡ʒ
अज़ीज़	ə z iː z
अज़ीम	ə d͡ʒ iː m
अज़ीम	ə z iː m
अजाइब	ə d͡ʒ ɑː ɪ b
अजान	ə d͡ʒ ɑː n
अजायबघर	ə d͡ʒ ɑː j ə b ɡʱ ə ɾ
अजिल्द	ə d͡ʒ ɪ l d̪
अजी	ə d͡ʒ iː
अजीब	ə d͡ʒ iː b
अजीर्ण	ə d͡ʒ iː ɾ ɳ
अजूबा	ə d͡ʒ uː b ɑː
अजेंडा	ə d͡ʒ eː ɳ ɖ ɑː
अज्ञ	ə ɡ j
अज्ञात	ə ɡ j ɑː t̪
अज्ञानपन	ə ɡ j ɑː n p ə n
अज्ञेय	ə ɡ j eː j
अज्ञेयवाद	ə ɡ j eː j ʋ ɑː d̪
अज्ञेयवादी	ə ɡ j eː j ʋ ɑː d̪ iː
अझ़दहा	ə z d̪ ə ɦ ɑː
अटक	ə ʈ ə k
अटकना	ə ʈ ə k n ɑː
अटकल	ə ʈ k ə l
अटकलपच्चू	ə ʈ k ə l p ə t͡ʃ t͡ʃ uː
अटकाना	ə ʈ k ɑː n ɑː
अटकाव	ə ʈ k ɑː ʋ
अटपटा	ə ʈ p ə ʈ ɑː
अटल	ə ʈ ə l
अटारी	ə ʈ ɑː ɾ iː
अटूट	ə ʈ uː ʈ
अटैची	ə ʈ ɛː t͡ʃ iː
अट्टालिका	ə ʈ ʈ ɑː l ɪ k ɑː
अट्ठा	ə ʈ ʈʰ ɑː
अट्ठाईस	ə ʈ ʈʰ ɑː iː s
अट्ठानवे	ə ʈ ʈʰ ɑː n ʋ eː
अट्ठावन	ə ʈ ʈʰ ɑː ʋ ə n
अट्ठासी	ə ʈ ʈʰ ɑː s iː
अठन्नी	ə ʈʰ ə n n iː
अठपहिया	ə ʈʰ p ə iː j ɑː
अठपहिया	ə ʈʰ p ə ɦ ɪ j ɑː
अठहत्तर	ə ʈʰ ɦ ə t̪ t̪ ə ɾ
अठारह	ə ʈʰ ɑː ɾ ə ɦ
अड़ंगा	ə ɽ ə ŋ ɡ ɑː
अड़चन	ə ɽ t͡ʃ ə n
अड़तालीस	ə ɽ t̪ ɑː l iː s
अड़तीस	ə ɽ t̪ iː s
अड़ना	ə ɽ n ɑː
अड़सठ	ə ɽ s ə ʈʰ
अड़ाना	ə ɽ ɑː n ɑː
अड़ियल	ə ɽ ɪ j ə l
अडिग	ə ɖ ɪ ɡ
अणु	ə ɳ uː
अण्डा	ə ɳ ɖ ɑː
अतः	ə t̪ ə ɦ
अति	ə t̪ iː
अतिकाल	ə t̪ ɪ k ɑː l
अतिथि	ə t̪ ɪ t̪ʰ iː
अतिरिक्त	ə t̪ ɪ ɾ ɪ k t̪
अतिवाद	ə t̪ ɪ ʋ ɑː d̪
अतिवादी	ə t̪ ɪ ʋ ɑː d̪ iː
अतिशयोक्ति	ə t̪ ɪ ʃ j oː k t̪ iː
अतिसंवेदनशील	ə t̪ ɪ s ə m ʋ eː d̪ ə n ʃ iː l
अतिसार	ə t̪ ɪ s ɑː ɾ
अतीत	ə t̪ iː t̪
अतुलित	ə t̪ ʊ l ɪ t̪
अत्फ़ाल	ə t̪ f ɑː l
अत्फ़ाल	ə t̪ pʰ ɑː l
अत्यंत	ə t̪ j ə n t̪
अत्यधिक	ə t̪ j ə d̪ʱ ɪ k
अत्यन्त	ə t̪ j ə n t̪
अत्याचार	ə t̪ j ɑː t͡ʃ ɑː ɾ
अत्याचारी	ə t̪ j ɑː t͡ʃ ɑː ɾ iː
अत्यावश्यक	ə t̪ j ɑː ʋ ə ʃ j ə k
अत्युत्तम	ə t̪ j ʊ t̪ t̪ ə m
अथक	ə t̪ʰ ə k
अथवा	ə t̪ʰ ʋ ɑː
अथाह	ə t̪ʰ ɑː ɦ
अदब	ə d̪ ə b
अदरक	ə d̪ ɾ ə k
अदहन	ə d̪ ɦ ə n
अदा	ə d̪ ɑː
अदाकार	ə d̪ ɑː k ɑː ɾ
अदालत	ə d̪ ɑː l ə t̪
अदालती	ə d̪ ɑː l ə t̪ iː
अदावत	ə d̪ ɑː ʋ ə t̪
अदिश	ə d̪ ɪ ʃ
अद्यतन	ə d̪ j ə t̪ ə n
अद्यापि	ə d̪ j ɑː p iː
अद्यैव	ə d̪ j ɛː ʋ
अधर्म	ə d̪ʱ ə ɾ m
अधश्चेतक	ə d̪ʱ ə ʃ t͡ʃ eː t̪ ə k
अधिक	ə d̪ʱ ɪ k
अधिकतम	ə d̪ʱ ɪ k t̪ ə m
अधिकता	ə d̪ʱ ɪ k t̪ ɑː
अधिकरण	ə d̪ʱ ɪ k ə ɾ ə ɳ
अधिकार	ə d̪ʱ ɪ k ɑː ɾ
अधिकारिणी	ə d̪ʱ ɪ k ɑː ɾ ɪ ɳ iː
अधिकारिता	ə d̪ʱ ɪ k ɑː ɾ ɪ t̪ ɑː
अधिकारी	ə d̪ʱ ɪ k ɑː ɾ iː
अधिकृत	ə d̪ʱ ɪ k ɾ ɪ t̪
अधिनायक	ə d̪ʱ ɪ n ɑː j ə k
अधिनियम	ə d̪ʱ ɪ n ɪ j ə m
अधिभार	ə d̪ʱ ɪ bʱ ɑː ɾ
अधिभोग	ə d̪ʱ ɪ bʱ oː ɡ
अधिमास	ə d̪ʱ ɪ m ɑː s
अधिलाभ	ə d̪ʱ ɪ l ɑː bʱ
अधिवक्ता	ə d̪ʱ ɪ ʋ ə k t̪ ɑː
अधिवार्षिकी	ə d̪ʱ ɪ ʋ ɑː ɾ ʂ ɪ k iː
अधिवेशन	ə d̪ʱ ɪ ʋ eː ʃ ə n
अधिसूचना	ə d̪ʱ ɪ s uː t͡ʃ n ɑː
अधिसूचित	ə d̪ʱ ɪ s uː t͡ʃ ɪ t̪
अधीक्षक	ə d̪ʱ iː k ʂ ə k
अधीक्षण	ə d̪ʱ iː k ʂ ə ɳ
अधीन	ə d̪ʱ iː n
अधीनता	ə d̪ʱ iː n t̪ ɑː
अधीर	ə d̪ʱ iː ɾ
अधीरता	ə d̪ʱ iː ɾ t̪ ɑː
अधीश	ə d̪ʱ iː ʃ
अधुना	ə d̪ʱ ʊ n ɑː
अधूरा	ə d̪ʱ uː ɾ ɑː
अधेड़	ə d̪ʱ eː ɽ
अधोहस्ताक्षरी	ə d̪ʱ oː ɦ ə s t̪ ɑː k ʂ ə ɾ iː
अध्यक्ष	ə d̪ʱ j ə k ʂ
अध्यक्षता	ə d̪ʱ j ə k ʂ t̪ ɑː
अध्ययन	ə d̪ʱ j ə j ə n
अध्ययन	ə d̪ʱ j ə n
अध्यादेश	ə d̪ʱ j ɑː d̪ eː ʃ
अध्यापक	ə d̪ʱ j ɑː p ə k
अध्यापिका	ə d̪ʱ j ɑː p ɪ k ɑː
अध्याय	ə d̪ʱ j ɑː j
अनंतपुर	ə n ə n t̪ p ʊ ɾ
अनकटा	ə n k ə ʈ ɑː
अनकहा	ə n k ə ɦ ɑː
अनखिला	ə n kʰ ɪ l ɑː
अनगढ़	ə n ɡ ə ɽʱ
अनगिनत	ə n ɡ ɪ n ə t̪
अनचखा	ə n t͡ʃ ə kʰ ɑː
अनचाहा	ə n t͡ʃ ɑː ɦ ɑː
अनजाना	ə n d͡ʒ ɑː n ɑː
अनजाने	ə n d͡ʒ ɑː n eː
अनदेखा	ə n d̪ eː kʰ ɑː
अननुमेय	ə n n ʊ m eː j
अनन्नास	ə n ə n n ɑː s
अनपच	ə n p ə t͡ʃ
अनपढ़	ə n p ə ɽʱ
अनब्याहा	ə n b j ɑː ɦ ɑː
अनमना	ə n m ə n ɑː
अनमोल	ə n m oː l
अनर्थ	ə n ə ɾ t̪ʰ
अनशन	ə n ʃ ə n
अनसुना	ə n s ʊ n ɑː
अनहोनी	ə n ɦ oː n iː
अनाचार	ə n ɑː t͡ʃ ɑː ɾ
अनाज	ə n ɑː d͡ʒ
अनाड़ी	ə n ɑː ɽ iː
अनातोली	ə n ɑː t̪ oː l iː
अनाथालय	ə n ɑː t̪ʰ ɑː l ə j
अनाधिकारिक	ə n ɑː d̪ʱ ɪ k ɑː ɾ ɪ k
अनाम	ə n ɑː m
अनामिका	ə n ɑː m ɪ k ɑː
अनार	ə n ɑː ɾ
अनारदाना	ə n ɑː ɾ d̪ ɑː n ɑː
अनावश्यक	ə n ɑː ʋ ə ʃ j ə k
अनिच्छा	ə n ɪ t͡ʃ t͡ʃʰ ɑː
अनिद्रा	ə n ɪ d̪ ɾ ɑː
अनियंत्रित	ə n ɪ j ə n t̪ ɾ ɪ t̪
अनियमित	ə n ɪ j ə m ɪ t̪
अनियमितता	ə n ɪ j ə m ɪ t̪ t̪ ɑː
अनिवार्यतः	ə n ɪ ʋ ɑː ɾ j ə t̪ ə ɦ
अनिश्चित	ə n ɪ ʃ t͡ʃ ɪ t̪
अनिश्चितता	ə n ɪ ʃ t͡ʃ ɪ t̪ t̪ ɑː
अनुकरण	ə n ʊ k ə ɾ ə ɳ
अनुकूल	ə n ʊ k uː l
अनुकूलन	ə n ʊ k uː l ə n
अनुगृहीत	ə n ʊ ɡ ɾ ɪ ɦ iː t̪
अनुग्रह	ə n ʊ ɡ ɾ ə ɦ
अनुचित	ə n ʊ t͡ʃ ɪ t̪
अनुच्छेद	ə n ʊ t͡ʃ t͡ʃʰ eː d̪
अनुज्ञप्ति	ə n ʊ ɡ j ə p t̪ iː
अनुदान	ə n ʊ d̪ ɑː n
अनुनय	ə n ʊ n ə j
अनुनाद	ə n ʊ n ɑː d̪
अनुनासिक	ə n ʊ n ɑː s ɪ k
अनुनासिकता	ə n ʊ n ɑː s ɪ k t̪ ɑː
अनुपजाऊ	ə n ʊ p d͡ʒ ɑː uː
अनुपम	ə n ʊ p ə m
अनुपयोगी	ə n ʊ p j oː ɡ iː
अनुपस्थित	ə n ʊ p ə s t̪ʰ ɪ t̪
अनुपस्थिति	ə n ʊ p ə s t̪ʰ ɪ t̪ iː
अनुपात	ə n ʊ p ɑː t̪
अनुपूरक	ə n ʊ p uː ɾ ə k
अनुप्रयुक्त	ə n ʊ p ɾ ə j ʊ k t̪
अनुप्रास	ə n ʊ p ɾ ɑː s
अनुभव	ə n ʊ bʱ ə ʋ
अनुभवी	ə n ʊ bʱ ə ʋ iː
अनुभूति	ə n ʊ bʱ uː t̪ iː
अनुमति	ə n ʊ m ə t̪ iː
अनुमान	ə n ʊ m ɑː n
अनुमानतः	ə n ʊ m ɑː n t̪ ə ɦ
अनुमानित	ə n ʊ m ɑː n ɪ t̪
अनुमेय	ə n ʊ m eː j
अनुमोदन	ə n ʊ m oː d̪ ə n
अनुमोदित	ə n ʊ m oː d̪ ɪ t̪
अनुयायी	ə n ʊ j ɑː j iː
अनुरक्षण	ə n ʊ ɾ ə k ʂ ə ɳ
अनुरागहीनता	ə n ʊ ɾ ɑː ɡ ɦ iː n t̪ ɑː
अनुरूप	ə n ʊ ɾ uː p
अनुरोध	ə n ʊ ɾ oː d̪ʱ
अनुवांशिक	ə n ʊ ʋ ɑː n ʃ ɪ k
अनुवांशिकी	ə n ʊ ʋ ɑː n ʃ ɪ k iː
अनुवाद	ə n ʊ ʋ ɑː d̪
अनुवादक	ə n ʊ ʋ ɑː d̪ ə k
अनुवादित	ə n ʊ ʋ ɑː d̪ ɪ t̪
अनुशासन	ə n ʊ ʃ ɑː s ə n
अनुशासित	ə n ʊ ʃ ɑː s ɪ t̪
अनुशीलन	ə n ʊ ʃ iː l ə n
अनुष्ठान	ə n ʊ ʂ ʈʰ ɑː n
अनुसंधान	ə n ʊ s ə n d̪ʱ ɑː n
अनुसरण	ə n ʊ s ə ɾ ə ɳ
अनुस्वार	ə n ʊ s ʋ ɑː ɾ
अनूठा	ə n uː ʈʰ ɑː
अनूदित	ə n uː d̪ ɪ t̪
अनूप	ə n uː p
अनेक	ə n eː k
अनेकता	ə n eː k t̪ ɑː
अनेकानेक	ə n eː k ɑː n eː k
अनौपचारिक	ə n ɔː p t͡ʃ ɑː ɾ ɪ k
अन्त	ə n t̪
अन्तरिक्ष	ə n t̪ ə ɾ ɪ k ʂ
अन्तर्गत	ə n t̪ ə ɾ ɡ ə t̪
अन्दर	ə n d̪ ə ɾ
अन्य	ə n j ə
अन्यथा	ə n j ə t̪ʰ ɑː
अन्याय	ə n j ɑː j
अन्यायपूर्ण	ə n j ɑː j p uː ɾ ɳ
अन्यायी	ə n j ɑː j iː
अपकार	ə p k ɑː ɾ
अपकीर्ति	ə p k iː ɾ t̪ iː
अपक्व	ə p ə k ʋ ə
अपतट	ə p t̪ ə ʈ
अपदेश	ə p d̪ eː ʃ
अपना	ə p n ɑː
अपमान	ə p m ɑː n
अपमानजनक	ə p m ɑː n d͡ʒ ə n ə k
अपमानित	ə p m ɑː n ɪ t̪
अपयश	ə p j ə ʃ
अपर	ə p ə ɾ
अपराध	ə p ɾ ɑː d̪ʱ
अपराधिनी	ə p ɾ ɑː d̪ʱ ɪ n iː
अपराधी	ə p ɾ ɑː d̪ʱ iː
अपरिचित	ə p ə ɾ ɪ t͡ʃ ɪ t̪
अपरिमेय	ə p ə ɾ ɪ m eː j
अपरिरुद्ध	ə p ə ɾ ɪ ɾ ʊ d̪ d̪ʱ
अपर्याप्त	ə p ə ɾ j ɑː p t̪
अपलक	ə p ə l ə k
अपवाद	ə p ʋ ɑː d̪
अपव्यय	ə p ʋ j ə j
अपशकुन	ə p ʃ ə k ʊ n
अपहरण	ə p ɦ ə ɾ ə ɳ
अपहर्ता	ə pʰ ə ɾ t̪ ɑː
अपाहिज	ə p ɑː ɦ ɪ d͡ʒ
अपितु	ə p ɪ t̪ uː
अपुष्ट	ə p ʊ ʂ ʈ
अपूर्ण	ə p uː ɾ ɳ
अपूर्व	ə p uː ɾ ʋ
अपेक्षा	ə p eː k ʂ ɑː
अपेक्षाकृत	ə p eː k ʂ ɑː k ɾ ɪ t̪
अपेक्षित	ə p eː k ʂ ɪ t̪
अप्रकट	ə p ɾ ə k ə ʈ
अप्रकाशित	ə p ɾ ə k ɑː ʃ ɪ t̪
अप्रचलित	ə p ɾ ə t͡ʃ ə l ɪ t̪
अप्रत्यक्ष	ə p ɾ ə t̪ j ə k ʂ
अप्रत्याशित	ə p ɾ ə t̪ j ɑː ʃ ɪ t̪
अप्रिय	ə p ɾ ɪ j
अप्रैल	ə p ɾ ɛː l
अप्सरा	ə p s ə ɾ ɑː
अफगानिस्तान	ə f ɣ ɑː n ɪ s t̪ ɑː n
अफगानिस्तान	ə pʰ ɡ ɑː n ɪ s t̪ ɑː n
अफरना	ə pʰ ə ɾ n ɑː
अफसर	ə f s ə ɾ
अफसर	ə pʰ s ə ɾ
अफ़लातून	ə f l ɑː t̪ uː n
अफ़लातून	ə pʰ l ɑː t̪ uː n
अफ़वाह	ə f ʋ ɑː ɦ
अफ़वाह	ə pʰ ʋ ɑː ɦ
अफ़सर	ə f s ə ɾ
अफ़सर	ə pʰ s ə ɾ
अफ़साना	ə f s ɑː n ɑː
अफ़साना	ə pʰ s ɑː n ɑː
अफ़सोसजनक	ə f s oː s d͡ʒ ə n ə k
अफ़सोसजनक	ə pʰ s oː s d͡ʒ ə n ə k
अफ़ीम	ə f iː m
अफ़ीम	ə pʰ iː m
अफ़ीमची	ə f iː m t͡ʃ iː
अफ़ीमची	ə pʰ iː m t͡ʃ iː
अफ़्ग़ानिस्तान	ə f ɣ ɑː n ɪ s t̪ ɑː n
अफ़्ग़ानिस्तान	ə pʰ ɡ ɑː n ɪ s t̪ ɑː n
अफ़्रीका	ə f ɾ iː k ɑː
अफ़्रीका	ə pʰ ɾ iː k ɑː
अफ़्साना	ə f s ɑː n ɑː
अफ़्साना	ə pʰ s ɑː n ɑː
अफीम	ə f iː m
अफीम	ə pʰ iː m
अबटाबाद	ə b ʈ ɑː b ɑː d̪
अबाबील	ə b ɑː b iː l
अबिचल	ə b ɪ t͡ʃ ə l
अबिवात्त	ə b ɪ ʋ ɑː t̪ t̪
अबीर	ə b iː ɾ
अबेर	ə b eː ɾ
अबोध	ə b oː d̪ʱ
अब्जद	ə b d͡ʒ ə d̪
अब्द	ə b d̪
अब्बा	ə b b ɑː
अब्रू	ə b ɾ uː
अभागा	ə bʱ ɑː ɡ ɑː
अभाव	ə bʱ ɑː ʋ
अभिकथन	ə bʱ ɪ k ə t̪ʰ ə n
अभिकारक	ə bʱ ɪ k ɑː ɾ ə k
अभिक्रिया	ə bʱ ɪ k ɾ ɪ j ɑː
अभिगम	ə bʱ ɪ ɡ ə m
अभिदृश्यक	ə bʱ ɪ d̪ ɾ ɪ ʃ j ə k
अभिनंदन	ə bʱ ɪ n ə n d̪ ə n
अभिनय	ə bʱ ɪ n ə j
अभिनेता	ə bʱ ɪ n eː t̪ ɑː
अभिनेत्री	ə bʱ ɪ n eː t̪ ɾ iː
अभिप्राय	ə bʱ ɪ p ɾ ɑː j
अभिभावक	ə bʱ ɪ bʱ ɑː ʋ ə k
अभिभूत	ə bʱ ɪ bʱ uː t̪
अभिमानी	ə bʱ ɪ m ɑː n iː
अभियंता	ə bʱ ɪ j ə n t̪ ɑː
अभियंत्रण	ə bʱ ɪ j ə n t̪ ɾ ə ɳ
अभियंत्रिकी	ə bʱ ɪ j ə n t̪ ɾ ɪ k iː
अभियन्ता	ə bʱ ɪ j ə n t̪ ɑː
अभियांत्रिकी	ə bʱ ɪ j ɑː n t̪ ɾ ɪ k iː
अभियान	ə bʱ ɪ j ɑː n
