â	ɑ̃
cagëzë	t͡s a ɡ ə z ə
cakat	t͡s a k a t
cakël	t͡s a k ə l
cakërr	t͡s a k ə r
cakët	t͡s a k ə t
cakrra	t͡s a k r a
cakrrat	t͡s a k r a t
caktar	t͡s a k t a ɾ
call	t͡s a ɫ
calle	t͡s a ɫ ɛ
cam	t͡s a m
came	t͡s a m ɛ
camërllok	t͡s a m ə ɾ ɫ ɔ k
Cami	t͡s a m i
cang	t͡s a n ɡ
cangadhe	t͡s a n ɡ a ð ɛ
cangëroj	t͡s a n ɡ ə ɾ ɔ j
cap	t͡s a p
capak	t͡s a p a k
capëlloj	t͡s a p ə ɫ ɔ j
capërloj	t͡s a p ə ɾ l ɔ j
capja	t͡s a p j a
capje	t͡s a p j ɛ
capjet	t͡s a p j ɛ t
capok	t͡s a p ɔ k
caporr	t͡s a p o r
carb	t͡s a ɾ b
carba	t͡s a ɾ b a
carbat	t͡s a ɾ b a t
carbë	t͡s a ɾ b ə
carbur	t͡s a ɾ b u ɾ
carok	t͡s a ɾ ɔ k
caroke	t͡s a ɾ ɔ k ɛ
caroket	t͡s a ɾ ɔ k ɛ t
carokë	t͡s a ɾ ɔ k ə
carokët	t͡s a ɾ ɔ k ə t
carokja	t͡s a ɾ ɔ k j a
caroku	t͡s a ɾ ɔ k u
caruk	t͡s a ɾ u k
caruke	t͡s a ɾ u k ɛ
caruket	t͡s a ɾ u k ɛ t
carukë	t͡s a ɾ u k ə
carukët	t͡s a ɾ u k ə t
carukja	t͡s a ɾ u k j a
caruku	t͡s a ɾ u k u
carrok	t͡s a r ɔ k
carroke	t͡s a r ɔ k ɛ
carroket	t͡s a r ɔ k ɛ t
carrokë	t͡s a r ɔ k ə
carrokët	t͡s a r ɔ k ə t
carrokja	t͡s a r ɔ k j a
carroku	t͡s a r ɔ k u
carrua	t͡s a r u a
carrue	t͡s a r u ɛ
cegj	t͡s ê ɟ͡ʝ
cemët	t͡s ɛ m ə t
cenakuq	t͡s ɛ n a k u c͡ç
cep	t͡s ɛ p
cepatar	t͡s ɛ p a t a ɾ
ceq	t͡s ɛ c͡ç
cëq	t͡s ə c͡ç
cëqe	t͡s ə c͡ç ɛ
cëqi	t͡s ə c͡ç i
cigare	t s i ɡ a ɾ ɛ
cigaren	t s i ɡ a ɾ ɛ n
cigares	t s i ɡ a ɾ ɛ s
cigarishte	t s i ɡ a ɾ i ʃ t ɛ
cigarishtet	t s i ɡ a ɾ i ʃ t ɛ t
cigarishtja	t s i ɡ a ɾ i ʃ t j a
cigartor	t s i ɡ a ɾ t o ɾ
cila	t͡s i l a
cilado	t͡s i l a d ɔ
ciladoqoftë	t͡s i l a d ɔ c ɔ f t ə
cilat	t͡s i l a t
cilatdo	t͡s i l a t d ɔ
cilatdoqoftë	t͡s i l a t d ɔ c ɔ f t ə
cilave	t͡s i l a v ɛ
cilavedo	t͡s i l a v ɛ d ɔ
cilavedoqoftë	t͡s i l a v ɛ d ɔ c ɔ f t ə
cilën	t͡s i l ə n
cilëndo	t͡s i l ə n d ɔ
cilëndoqoftë	t͡s i l ə n d ɔ c ɔ f t ə
cilës	t͡s i l ə s
cilësdo	t͡s i l ə s d ɔ
cilësdoqoftë	t͡s i l ə s d ɔ c ɔ f t ə
cilët	t͡s i l ə t
cilëtdo	t͡s i l ə t d ɔ
cilëtdoqoftë	t͡s i l ə t d ɔ c ɔ f t ə
cilëve	t͡s i l ə v ɛ
cilëvedo	t͡s i l ə v ɛ d ɔ
cilëvedoqoftë	t͡s i l ə v ɛ d ɔ c ɔ f t ə
cili	t͡s i l i
cilido	t͡s i l i d ɔ
cilidoqoftë	t͡s i l i d ɔ c ɔ f t ə
cilin	t͡s i l i n
cilindo	t͡s i l i n d ɔ
cilindoqoftë	t͡s i l i n d ɔ c ɔ f t ə
cilit	t͡s i l i t
cilitdo	t͡s i l i t d ɔ
cilitdoqoftë	t͡s i l i t d ɔ c ɔ f t ə
cingëra	t͡s i n ɡ ə ɾ a
cingërat	t͡s i n ɡ ə ɾ a t
cipër	t͡s i p ə ɾ
cipro	t͡s i p r ɔ
cipule	t͡s i p u l ɛ
cipull	t͡s i p u ɫ
ciq	t͡s i c͡ç
ciqe	t͡s i c͡ç ɛ
cirakë	t͡s i ɾ a k ə
cirakët	t͡s i ɾ a k ə t
cironakë	t͡s i ɾ ɔ n a k ə
cironakët	t͡s i ɾ ɔ n a k ə t
cironaku	t͡s i ɾ ɔ n a k u
cironjakë	t͡s i ɾ ɔ ɲ a k ə
cironjakët	t͡s i ɾ ɔ ɲ a k ə t
cironjaku	t͡s i ɾ ɔ ɲ a k u
cisqe	t͡s i s c ɛ
cisqet	t͡s i s c ɛ t
cjape	t͡s j a p ɛ
cjapok	t͡s j a p ɔ k
cof	t͡s ɔ f
cofa	t͡s ɔ f a
cofe	t͡s ɔ f ɛ
cofët	t͡s ɔ f ə t
cofi	t͡s ɔ f i
cofin	t͡s ɔ f i n
cofka	t͡s ɔ f k a
cofte	t͡s ɔ f ɛ
copëloj	t͡s ɔ p ə l ɔ j
copëtoj	t͡s ɔ p ə t ɔ j
crof	t͡s ɾ ɔ f
crofa	t͡s ɾ ɔ f a
cubakë	t͡s u b a k ə
cubakët	t͡s u b a k ə t
cull	t͡s u ɫ
culla	t͡s u ɫ a
cullakë	t͡s u ɫ a k ə
cullakët	t͡s u ɫ a k ə t
cullakoj	t͡s u ɫ a k ɔ j
cullakos	t͡s u ɫ a k ɔ s
cullaku	t͡s u ɫ a k u
cullat	t͡s u ɫ a t
culle	t͡s u ɫ ɛ
cullë	t͡s u ɫ ə
cullët	t͡s u ɫ ə t
culli	t͡s u ɫ i
cullin	t͡s u ɫ i n
cullishte	t͡s u ɫ i ʃ t ɛ
cullni	t͡s u ɫ n i
cullnik	t͡s u ɫ n i k
cullnikë	t͡s u ɫ n i k ə
cullnikët	t͡s u ɫ n i k ə t
cullniku	t͡s u ɫ n i k u
culloj	t͡s u ɫ ɔ j
cumra	t͡s u m ɾ a
cumrak	t͡s u m ɾ a k
cumrakë	t͡s u m ɾ a k ə
cumrakët	t͡s u m ɾ a k ə t
cumraku	t͡s u m ɾ a k u
cumrat	t͡s u m ɾ a t
cungalë	t͡s u ŋ a l ə
cungalët	t͡s u ŋ a l ə t
cungali	t͡s u ŋ a l i
cungej	t͡s u ŋ ɛ j
cungejtë	t͡s u ŋ ɛ j t ə
cungelë	t͡s u ŋ ɛ l ə
cungelët	t͡s u ŋ ɛ l ə t
cupe	t s u p ɛ
cupesh	t s u p ɛ ʃ
cupet	t s u p ɛ t
cupeve	t s u p ɛ v ɛ
cupevet	t s u p ɛ v ɛ t
cupi	t s u p i
cupin	t s u p i n
cupit	t s u p i t
currababë	t͡s u r a b a b ə
currubij	t͡s u r u b i l
currubijtë	t͡s u r u b i j t ə
currubili	t͡s u r u b i l i
çadër	t ʃ a d ə ɹ
çakare	t͡ʃ a k a ɾ ɛ
çakël	t͡ʃ a k ə l
çakëz	t͡ʃ a k ə z
çakmak	t ʃ a k m a k
çamarukë	t͡ʃ a m a ɾ u k
çdocilës	t͡ʃ d ɔ t͡s i l ə s
çdocilin	t͡ʃ d ɔ t͡s i l i n
çekishte	t͡ʃ ɛ k i ʃ t ɛ
çfarë	t͡ʃ f ä ɹ ɜ
çfarë	t͡ʃ f ä ɹ
çift	t ʃ i f t
çipër	t͡ʃ i p ə ɾ
çlidh	t͡ʃ l iː ð
çmendur	t͡ʃ m ɛ n d u̞ ɹ
çmendur	t͡ʃ m ɛː n u̞ n
çorap	t͡ʃ o ɾ ɑ p
çuditshëm	t ʃ u d i t ʃ ə m
Çup	t͡ʃ u p
Çup	t͡ɕ u p
Çupi	t͡ʃ u p i
Çupi	t͡ɕ u p i
dadhër	d a ð ɾ̩
daj	d a j
dajë	d a j ə
dajë	d æ d ʒ
dajë	d æ ʒ
darkë	d a ɾ k ə
darkë	d æ ɾ k
dasma	d a s m a
dasmë	d a s m ə
dashuri	d a ʃ u ɾ i
dashuri	d a ʃ n i
dashuroj	d ä ʃ u̞ ɽ ɔ j
degjôj	d e d͡ʒ ɔ j
degjôj	d e d͡ʑ ɔ j
delfin	d ɛ l f i n
Demi	d ɛ m i
denjësi	d ɛ ɲ ə s i
derë	d eː ɾ
derëzi	d ɛ ɾ ə z i
deri	d ɛ ɻ i
deve	d ɛ v ɛ
deve	d ɛ v ɛ
dëshiroj	d ə ʃ i ɹ ɔ j
dëshiroj	d ə ʃ ɪ ɹ ɔ j
dica	d i t͡s a
diç	d i t ʃ
diçka	d i t ʃ k a
diell	d j ɛ ɫ
dikë	d iː k
diku	d i k u
dikush	d i k u ʃ
dimër	d i m ə ɾ
dimër	d ĩ m ə n
dimëror	d i m ə ɹ ɔ ɹ
dimëror	d ɪ m n ɔ ɹ
diqysh	d i c ɕ y ʃ
disa	d i s a
disi	d i s i
ditë	d i t ə
ditë	d i t
djeg	d j ɛ ɡ
do	d o
do	d ɔ
do	d ɜ
dobët	d ɔ b ə t
doja	d ɔ j ä
doje	d ɔ j ɛ
domosdoshëm	d ɔ m ɔ z d ɔː ʃ ə m
doni	d ɔ n i
donim	d ɔ n i m
donin	d ɔ n i n
donit	d ɔ n i t
donte	d ɔ n t ɛ
dragua	d ɾ a ɡ u a
drejta	d ɾ ɛ j t a
dritare	d ɽ i t äː ɽ ɛ
dritareje	d ɽ i t ä ɽ ɛ j ɛ
dritaren	d ɽ i t ä ɽ ɛ n
dritaret	d ɽ i t ä ɽ ɛ t
dritarja	d ɽ i t äː ɽ j ä
dua	d u a
dua	d u ɛ
dua	d u
dua	d u ɔ
duaj	d uː ä j
duaj	d u ä j
duan	d uː ä n
dudumë	d u d u m ə
dudumët	d u d u m ə t
dudumi	d u d u m i
duhane	d u̞ h äː n ɛ
duhane	d u̞ h ä n ɛ
duhani	d u̞ h äː n i
duhani	d u̞ h ä n i
duhanin	d u̞ h ä n i n
duhet	d u̞ h ɛ t
duke	d u k ɛ
duroj	d u ɾ ɔ j
duroj	d u ɹ ɔ j
dygjuhësh	d y ɟ uː h ə ʃ
dygjuhësh	d y ɟ uː h ʃ
dyllë	d yː ɫ
dysh	d ʏ ʃ
dysh	d y̞ ʃ
dhampir	ð a m p i ɹ
dharasu	ð a ɾ a s u
dhemb	ð ɛ m b
dhënës	ð ə n ə s
dhomë	ð ɔ m
dhunoj	ð u n ɔ j
dhuratë	ð u ɽ a t
dhuroj	ð u ɾ ɔ j
dhuroj	ð u ɹ ɔ j
e	ɛ
efektivisht	ɛ f ɛ k t i v i ʃ t
ejakulacion	ɛ j a k u l a t s i j ɔ n
elektrik	ɛ l ɛ k t ɾ ɪ k
emën	ɛ̃ m ə n
emër	e m ɜ ɹ
emër	ɛ m ɜ ɹ
emri	e m ɽ i
energji	ɛ n ɛ ɾ ɟ ʑ i
energji	e n e ɾ ɟ i
energjik	ɛ n ɛ ɹ ɟ ʑ i k
epsh	ɛ p ʃ
erë	e ɹ ə
erë	e ɹ
Erëjona	e ɹ ə j oː n a
Erëjona	e ɹ j oː n a
Erëjonë	e ɹ ə j oː n ə
Erëjonë	e ɹ ə j oː n
Erëjonë	e ɹ j oː n ə
Erëjonë	e ɹ j oː n
erëz	ɛː ɹ ə z
erëz	ɛː ɹ z
Erion	ɛ ɹ i ɔ n
Eriona	ɛ ɹ i oː n a
Erionë	ɛ ɹ i oː n ə
Erionë	ɛ ɹ i oː n
Erjon	ɛ ɹ j ɔ n
Erjona	ɛ ɹ j oː n a
Erjonë	ɛ ɹ j oː n ə
Erjonë	ɛ ɹ j oː n
erotik	ɛ ɾ ɔ t i k
ethe	eː θ ɛ
Evropa	e v ɾ ɔ p a
Evropë	e v ɾ ɔ p ə
ëndërr	ə n d ə r
ëndërroj	ə n d ə r ɔ j
Faitë	f a i t
faleminderit	f a l ɛ m i n d ɛ ɹ i t
faleminderit	f a l ɛ m n d ɛ ɹ i t
faleminderit	f a l ɛ m ɪ n ɛ ɹ s
faleminderit	f a l ɪ m ɪ n ɛ ɹ s
faleminderit	f a l ɛ m n ɛ ɹ ɪ t
farë	f aː ɹ
fat	f a t
fatkeq	f a t k ɛ c ɕ
femën	f ɛ m ə n
fend	f ə n t
feniks	f ɛ n i k s
fërgesë	f ə ɹ ɡ ɛ s
fërgoj	f ə ɾ ɡ ɔ j
fier	f i ɛ ɾ
fillim	f ɪ ɫ i m
filloj	f i ɫ ɔ j
finok	f i n ɔ k
fjalë	f j aː l
fjalor	f j ä l ɔː ɹ
flamur	f l a m u ɹ
fol	f ɔ l
folje	f ɔ l j ɛ
forcë	f ɔ ɹ t͡s ə
forcë	f ɔ ɹ t͡s
fortë	f ɔ ɹ t ə
fortë	f ɔː ɹ t
frikë	f ɽ iː k
frymëmarrje	f ɾ yː mː a r j ɛ
frreks	f r e k s
frri	f r iː
frri	f r ĩː
frruaj	f r u a j
ftohur	f t ɔ h u ɾ
fund	f u n d
fuqishëm	f u c ɕ i ʃ ə m
futem	f u t ɛ m
gabel	ɡ a b ɛ l
gaboj	ɡ a b ɔ j
gaforre	ɡ a f ɔ r ɛ
Gaforrja	ɡ a f ɔ r j a
gargull	ɡ a ɾ ɡ u ɫ
garuzhdë	ɡ a ɾ uː ʒ d
gazeta	ɡ ä z eː t ä
gazetash	ɡ ä z eː t ä ʃ
gazetat	ɡ ä z eː t ä t
gazetave	ɡ ä z eː t ä v ɛ
gazetavet	ɡ ä z eː t ä v ɛ t
gazete	ɡ ä z eː t ɛ
gazetë	ɡ ä z eː t ɜ
gazetë	ɡ ä z eː t
gazetën	ɡ ä z eː t ɜ n
gazetës	ɡ ä z eː t ɜ s
Gegëri	ɡ ɛ ɡ n iː
gegërisht	ɡ ɛ ɡ n i ʃ t
gegërishte	ɡ ɛ ɡ n i ʃ t ɛ
gepek	ɡ ɛ p ɛ k
gëluhë	ɡ ə ʎ uː h
gërlas	ɡ ə ɾ l a s
gërlat	ɡ ə ɾ l a t
gështenjë	ɡ ə ʃ t ɛː ɲ ə
gështenjë	ɡ ə ʃ t ɛː ɲ
gëzof	ɡ ə z ɔ f
gëzofë	ɡ ə z ɔ f ə
gëzofët	ɡ ə z ɔ f ə t
gëzuar	ɡ ə z u a ɹ
godas	ɡ ɔ d a s
gojdhânë	ɡ o j ð ãː n ə
gojdhânë	ɡ o j ð ãː n
gojëdhënë	ɡ o j ə ð əː n ə
gojëdhënë	ɡ o j ə ð əː n
gojëdhënë	ɡ o j ð əː n ə
gojëdhënë	ɡ o j ð əː n
gonxhe	ɡ o n d͡ʒ ɛ
gorro	ɡ o r o
grazhd	ɡ ɾ a ʒ d
Greqi	ɡ ɾ ɛ c ç i
gru	ɡ ɾ uː
grua	ɡ ɾ u a
grusht	ɡ ɾ u ʃ t
grykë	ɡ ɾ yː k
guall	ɡ u a ɫ
gur	ɡ u ɾ
gur	ɡ u ɹ
gurgule	ɡ u ɾ ɡ u ʎ ɛː
gurgulle	ɡ u r ɡ u l ɛː a
guximshëm	ɡ ʊ d z i m ʃ ə m
gjak	ɟ͡ʝ a k
gjalpë	ɟ aː l p
gjallë	ɟ aː ɫ
gjatë	ɟ a t ə
gjatë	ɟ a t
gjatë	ɡ a t
gjatë	ɡ ɒ t
gjatë	ɡ ɑ t
gjedh	ɟ ɛ ð
gjej	ɟ͡ʑ e j
gjelbër	ɟ ʑ ɛ l b ə ɹ
gjellë	ɟ ɛ ɫ
gjenetik	ɟ ʑ ɛ n ɛ t i k
gjenocid	ɟ ʑ ɛ n ɔ t s i t
gjeolog	ɟ ʑ ɛ ɔ l ɔ k
gjeologji	ɟ ʑ ɛ ɔ l ɔ ɟ ʑ i
gjeologjik	ɟ ʑ ɛ ɔ l ɔ ɟ ʑ i k
gjeologjikisht	ɟ ʑ ɛ ɔ l ɔ ɟ ʑ i k i ʃ t
gjer	ɟ ɛ ɾ
gjerb	ɟ ɛ ɾ b
gjerb	ɟ ʝ ɛ ɻ b
gjetiu	ɟ ɛ t i u
gjithashtu	ɟ ʑ ɪ θ a ʃ t u
gjithësi	ɟ ʑ i θ s i
Gjon	ɟ ʝ o n
gju	ɡ j ũː
gju	ɡ j ũˑ n ɪ
gju	ɡ j ʊ̃ j
gjuha	ɟ͡ʝ u h ä
gjuhë	ɟ͡ʝ ũː h
gjuhë	ɡ j uː h
gjuhë	ɡ j uː
gjuhë	ɡ uː h
gjuhë	ɡ uː
gjuhë	ɡ ũː
gjuhë	ɡ ũː
gjuhë	ɡ ʎ u h ə
gjuhë	ɡ ʎ u ɣ ə
gjuhë	ɡ ʎ u ɣ ə
gjuhën	ɟ͡ʝ u h ɜ n
gjuhës	ɟ͡ʝ u h ɜ s
gjuhësor	ɟ ʑ u h ə s ɔ ɹ
gjuhësor	ɟ ʑ u ə s ɔ ɹ
gjuhësore	ɟ u h ə s ɔ ɾ ɛ
gjuhësh	ɟ͡ʝ u h ɜ ʃ
gjuhët	ɟ͡ʝ u h ɜ t
gjuhëve	ɟ͡ʝ u h ɜ v e
gjuhëvet	ɟ͡ʝ u h ɜ v ɛ t
gjykatës	ɟ y k a t ə s
gjynah	ɟ y n a f
gjynah	d ʒ y n a f
gjynah	ɟ ɪ n a f
gjynah	d ʒ ɪ n a f
gjynah	ʒ ɪ n a f
halla	h a ɫ̪ a
han	h ɑ n
hanë	h ãː n
haps	h a p s
harabel	h a ɾ a b ɛ l
hardhël	h a ɾ ð ə l
hardhje	h a ɾ ð j e
hardhucë	h a ɾ ð u t s ə
hardhucë	h a ɾ ð u t s
hardhucë	a ɾ ð u t s ə
hardhucë	a ɾ ð u t s
harraq	h a r a c ɕ
has	h a s
hekuros	h ɛ k u ɾ ɔ s
hekuros	h ɛ k u ɻ ɔ s
herë	h ɛ ɹ ə
herë	h ɛː ɹ
hënë	h ə n ə
hënë	h ə n
hënë	h ə̃ː n
hidrogjen	ʰi d r ɔ ɟ ɛ n
homolog	h ɔ m ɔ l ɔ ɡ
homonim	h ɔ m ɔ n i m
homonim	ɔ m ɔ n i m
homoseksual	h ɔ m ɔ s ɛ k s ʊ a l
hroazë	x ɾ o aː z
humb	h u m b
humb	h u m b
humb	h u p
humb	h ũ m
humbas	h u m b a s
hurbë	h uː ɾ b
Hyidhanë	h y j ð aː n
Hyidhor	h y j ð ɔ r
Hyjdhor	h y j ð ɔ r
i	i
idealist	i d ɛ j a l i s t
idealizëm	i d ɛ j a l i z ə m
ijë	iː j
ikur	i k u ɹ
im	i m
im	ĩ m
im	ɪ̃ m
im	ɛ̃ m
im	j ɪ̃ m
im	j ɛ̃ m
inteligjencë	i n t ɛ l i ɟ ʑ ɛ n t s
inteligjent	i n t ɛ l i ɟ ʑ ɛ n t
iriq	i ɾ i c
iriq	ɪ ɾ i t͡ʃ
ith	i θ
ithi	i θ i
jak	j a k
Jak	j a k
Jakë	j a k
jam	j a m
jam	j ä m
jam	j ɔ m
jam	j ɒ m
jam	j ɑ m
jam	j ɛ̃ m
jam	j ɔ m
jam	j ɒ m
jam	j ɑ m
jam	j ɛ̃ m
janë	j a n
jastëk	j a s t ə k
jashtëzakonshëm	j a ʃ t ə z a k ɔ n ʃ ə m
jem	j ɛ m
jesh	j ɛ ʃ
jetoj	j ɛ t ɔ j
justifikoj	j ʊ s t iː f iː k ɔ j
ka	k a
ka	k aː
ka	q ɒ
ka	c eː
kaç	k a t͡ʃ
kafe	k a f ɛ
kafe	k a f ɛ
kafjall	k a f j a ɫ
kainç	k a j i nʲ t͡ʃ
kajnacë	k a j n aː t͡s
kajsi	k a j s i
kakërdhi	k a k ə ɾ ð i
kalama	k a l a m a
kalb	k ɑ l b
kalb	q ɒ l b
kalë	k aː l
kaltër	k a l t ə ɾ
kallam	k a ɫ a m
kallauz	k a ɫ a u z
kallcë	k aː ɫ t͡s
kallëzore	k a ɫ ə z ɔ ɾ ɛ
kallëzore	k a ɫ z ɔ ɾ ɛ
kallm	k a ɫ m
kallnor	k a ɫ n ɔ ɾ
kam	k a m
kam	k ä m
kam	k ɔ m
kam	k ɒ m
kam	k ɑ m
kam	k ɛ̃ m
kam	k ɔ m
kam	k ɒ m
kam	k ɑ m
kam	k ɛ̃ m
kanavetë	k a n a v ɛː t
kandar	k a n d a ɾ
kandërr	k a n d ə ɾ
kanun	k a n u n
kapelë	k a p ɛː l
kaps	k a p s
kapuç	k a p ʊ t͡ʃ
kar	k a ɾ
kar	k a ɹ
karabushë	k a ɾ a b u ʃ ə
karabushët	k a ɾ a b u ʃ ə t
karabushi	k a ɾ a b u ʃ i
karavele	k a ɾ a v ɛ l ɛ
kargatis	k a ɾ ɡ a t i s
karuc	k a ɾ u t͡s
karuc	k a ɹ u t͡s
karrige	k a r i ɡ ɛ
kasolle	k a s ɔ ɫ ɛ
Katund	k a t u n d
kazmë	k a z m ə
kece	k ɛ t͡s ɛ
keq	k ɛ c͡ç
keqkuptim	k ɛ c ɕ k u p t i m
kerrmëz	k ɛ r m ə z
këlshejt	k ə l ʃ ɛ j t
këllëç	k ə ɫ ə t͡ʃ
këmilj	k m i ʎ
këmill	k m i ɣ
kënatë	k ə n aː t
kënd	k ə n d
këndell	k ə n d ɛ ɫ
kënetë	k ə n ɛ t
këqija	k ɜ c͡ç i j ä
kërkoi	k ɜ ɹ k ɔ i
kërkoj	k ɜ ɹ k ɔ j
kërkon	k ɜ ɹ k ɔ n
kërnalle	k ə ɹ n aː ɫ ɛ
kërp	k ə ɾ p
kërrutë	k ə r uː t
kësulë	k ə s uː l
këshill	k ə ʃ i ɫ
kështjellë	k ə ʃ t j e ɫ
këshyrë	k ə ʃ y ɾ ə
këshyrë	k ʃ yː ɹ
këta	k t ɑ̃ n ɛ̃
këtë	k ə t ə
këtë	k ə t
këtë	k t ɛ̃ n ɛ̃
këtij	k t i
këto	k ɜ t ɔ
këto	k t ɔ̃ n ɛ̃
këtu	k ɜ t u
këtu	k t ʊ
kjo	k j ɔ
kjo	k j ɔ̃ n ɛ̃
kllapi	k ɫ a p i
kllogjër	k ɫ ɔ ɟ ə ɾ
kofshë	k ɔː f ʃ ə
kokë	k ɔ k ə
kokë	k ɔː k
koleg	k ɔ l ɛ k
kolege	k ɔ l ɛ ɡ ɛ
koll	k ɔ ɫ
kolloface	k ɔ ɫ ɔ f a t s ɛ
