अक्खो	ə k kʰ ɔ
पैस	p ə iː s
पोन्नें	p o n n ɛ̃
पोरणें	p o ɾ ɳ ɛ̃
पोळी	p o ɭ̆ iː
फाट	f ɑː ʈ
फुडें	f u ɖ ẽ
फोड	f oː ɖ
फोदो	f ɔ d̪ ɔ
बांय	b ɑ̃ː j
बाणावली	b ɑː ɳ ɑː ʋ l iː
बार्देस	b a ɾ d e s
भांगर	bʱ ɑː ŋ ə ɾ
भारत	bʱ aː ɽ ɘ t̪ ɘ
भास	bʰ aː s
मडगांव	m ə ɖ ɡ ɑ̃ː ʋ
मडें	m ə ɖ ɛ̃
मर्चे	m ə ɾ t͡ʃ ɛ
महाराष्ट्र	m ɑ ɦ ɑː ɾ ɑː ʂ ʈ ɾᵊ
मूट	m uː ʈ
मेले	m ɛː l ɛː
मेलो	m ɛː l ɔː
मेल्लो	m æ l ɔ l ɔː
मेल्लो	m ɛ l l ɔː
मेळ्चे	m ɛ ɭ t͡ʃ ɛ
मेळ्चे	m ɛ ʋ t͡ʃ ɛ̃
मेळ्टा	m ɛ j ʈ ɑː
मेळ्टा	m ɛ ɭ ʈ ɑː
मेळ्टा	mʲ ɛ ʋ t̪ ɑ̃ː
मैर	m ə i ɾ
म्हस	mʱ əː s
म्होंव	mʱ õ ʋ
येव्चे	j e ʋ t͡ʃ ɛ
रांद्चे	ɾ ɑː n t͡ʃ ɛ
राखण	ɾ ɑː kʰ əː ɳ
राण	ɾ ɑː ɳᵊ
रान	ɾ ɑː n
ऱ	ɽ ə
लज	l əː d͡z
ल्हार	lʱ ɑː ɾ
वखद	ʋ ɔ kʰ əː d̪
वखद	ʋ ə kʰ əː d̪
वर्स	ʋ ə ɾ s
वाड	ʋ ɑː ɖ
वीज	ʋ iː d͡z
व्हाण	ʋʱ ɑː ɳ
शंकर	ʃ ə ŋ k əː ɾ
शिक्षण	ʃ ɪ k ʃ əː ɳ
शिगमो	ʃ i ɡ m o
शींव	ʃ ĩː w
शीतळ	ʃ iː t̪ ə ɭ̆
शेण	ʃ ɛː ɳ
शेत	ʃ ɛː t̪
सवणें	s ə ʋ ɳ ẽ
सांज	s ɑː n d͡z
साखळी	s ɑː kʰ ɭ̆ iː
साव्ळी	s ɑː ʋ ɭ̆ iː
साष्टी	s a ʂ ʈ iː
सुंगट	s u ŋ əː ʈ
सोबित	s oː b ɪ t̪
सोयरो	s o j ɾ ɔ
सोरो	s ɔ ɾ ɔː
सोव्चे	s ɔ ʋ t͡ʃ e
हांगा	ɦ ɑ ŋ ɑː
हांगा	ɪ ŋ ɑː
हांव	ɦ ɑ̃ː ʋ
