А	a
Ариел	a r i ɛ ɫ
Арика	ɐ r i k ɐ
Аристотел	ɐ r i s t ɔ t ɛ ɫ
Армения	ɐ r m ɛ n i j ɐ
Арсов	a r s o f
Артър	a r t ɐ r
Арчи	a r t͡ʃ i
Асенов	ɐ s ɛ n o f
Атанасов	ɐ t ɐ n ɐ s o f
Атина	ɐ t i n ɐ
Афганистан	ɐ v ɡ ɐ n i s t a n
Африка	a f r i k ɐ
Ашли	a ʃ l i
Б	b
Б	b ɛ
Б	b ɤ
БСП	b ɛ s ɛ p ɛ
Багдад	b ɐ ɡ d a t
Балкан	b ɐ ɫ k a n
Балчик	b ɐ ɫ t͡ʃ i k
Бальови	b ɐ lʲ o̟ v i
Бангладеш	b a ŋ ɡ ɫ ɐ d ɛ ʃ
Бангладеш	b ɐ ŋ ɡ ɫ ɐ d ɛ ʃ
Бахрейн	b ɐ x r ɛ j n
Бачев	b a t͡ʃ ɛ f
Бейли	b ɛ j l i
Беларус	b ɛ ɫ ɐ r u s
Белгия	b ɛ ɫ ɡ i j ɐ
Белград	b ɛ ɫ ɡ r ɐ t
Бенет	b ɛ n ɛ t
Бени	b ɛ n i
Берлин	b ɛ r l i n
Берлускони	b ɛ r ɫ o s k ɔ n i
Берн	b ɛ r n
Бет	b ɛ t
Бианка	b i a ŋ k ɐ
Битие	b i t i ɛ
Битоля	b i t o lʲ ɐ
Благовест	b ɫ ɐ ɡ o v ɛ s t
Благовеста	b ɫ ɐ ɡ o v ɛ s t ɐ
Благоевград	b ɫ ɐ ɡ ɔ ɛ v ɡ r ɐ t
Благой	b ɫ ɐ ɡ ɔ j
Блакторн	b ɫ a k t o r n
Блейк	b l ɛ j k
Блек	b l ɛ k
Близнаци	b l i z n a t͡s i
Боб	b ɔ p
Боби	b ɔ b i
Божидар	b o ʒ i d a r
Божков	b ɔ ʃ k o f
Боливия	b o l i v i j ɐ
Борис	b o r i s
Борисов	b o r i s o f
Босна	b ɔ s n ɐ
Бостон	b ɔ s t o n
Ботев	b ɔ t ɛ f
Бояджиев	b o j ɐ d ʒ i ɛ f
Боян	b o j a̟ n
Брадли	b r a d l i
Бразилия	b r ɐ z i l i j ɐ
Братислава	b r a t i s ɫ ɐ v ɐ
Британия	b r i t a n i j ɐ
Бруней	b r o n ɛ j
Брюксел	b rʲ u̟ k s ɛ ɫ
Будапеща	b u d ɐ p ɛ ʃ t ɐ
Букурещ	b o k o r ɛ ʃ t
Бургас	b o r ɡ a s
Бутан	b o t a n
Българийо	b ɐ ɫ ɡ a r i j o̟
България	b ɐ ɫ ɡ a r i j ɐ
В	v
В	v ɛ
В	v ɤ
Валета	v ɐ l ɛ t ɐ
Вам	v a m
Ванчев	v a n t͡ʃ ɛ f
Варна	v a r n ɐ
Варшава	v ɐ r ʃ a̟ v ɐ
Вас	v a s
Васил	v ɐ s i ɫ
Василев	v ɐ s i l ɛ f
Василий	v ɐ s i l i j
Василка	v ɐ s i ɫ k ɐ
Ватикан	v ɐ t i k a n
Ватикана	v ɐ t i k a n ɐ
Ваш	v a ʃ
Ваша	v a ʃ ɐ
Вашата	v a ʃ ɐ t ɐ
Ваше	v a ʃ ɛ
Вашето	v a ʃ ɛ t o
Ваши	v a ʃ i
Вашите	v a ʃ i t ɛ
Вашия	v a ʃ i j ɐ
Вашият	v a ʃ i j ɐ t
Вашта	v a ʃ t ɐ
Ваште	v a ʃ t ɛ
Вашто	v a ʃ t o
Везни	v ɛ z n i
Велизар	v ɛ l i z a r
Великден	v ɛ l i ɡ d ɛ n
Великобритания	v ɛ l i k o b r i t a n i j ɐ
Велинов	v ɛ l i n o f
Венера	v ɛ n ɛ r ɐ
Венецуела	v ɛ n ɛ t͡s o ɛ ɫ ɐ
Веселина	v ɛ s ɛ l i n ɐ
Ви	v i
Виден	v i d ɛ n
Виденов	v i d ɛ n o f
Вие	v i ɛ
Виена	v i ɛ n ɐ
Виетнам	v i ɛ t n a m
Виница	v i n i t͡s ɐ
Витиня	v i t i nʲ ɐ
Владимиров	v ɫ ɐ d i m i r o f
Влахов	v ɫ ɐ x o f
Воденичаров	v o d ɛ n i t͡ʃ ɐ r o f
Водолей	v o d o l ɛ j
Вутов	v o t o f
Вуцов	v o t͡s o f
Вяра	vʲ a̟ r ɐ
Г	ɡ
Г	ɡ ɛ
Г	ɡ ɤ
Газа	ɡ a z ɐ
Гана	ɡ a n ɐ
Ганг	ɡ a ŋ k
Гандалф	ɡ a n d ɐ ɫ f
Ганев	ɡ ɐ n ɛ f
Ганимед	ɡ ɐ n i m ɛ t
Гарфилд	ɡ a r f i ɫ t
Гаяна	ɡ ɐ j a̟ n ɐ
Гданск	ɡ d a n s k
Гемеджиев	ɡ ɛ m ɛ d ʒ i ɛ f
Герасим	ɡ ɛ r a s i m
Гергана	ɡ ɛ r ɡ ɐ n ɐ
Германия	ɡ ɛ r m a n i j ɐ
Гибралтар	ɡ i b r ɐ ɫ t a r
Гинка	ɡ i ŋ k ɐ
Горан	ɡ o r a n
Горанов	ɡ o r ɐ n o f
Господ	ɡ ɔ s p o t
Гоцев	ɡ o t͡s ɛ f
Гошев	ɡ o ʃ ɛ f
Гривица	ɡ r i v i t͡s ɐ
Грозев	ɡ r ɔ z ɛ f
Груев	ɡ r o ɛ f
Грузия	ɡ r u z i j ɐ
Гълъбов	ɡ ɐ ɫ ɐ b o f
Гърция	ɡ ɤ r t͡s i j ɐ
Гюзелев	ɡʲ o̟ z ɛ l ɛ f
Гюров	ɡʲ o̟ r o f
Д	d
Д	d ɛ
Д	d ɤ
ДДС	d ɛ d ɛ s ɛ
ДНК	d ɛ ɛ n k a
Дака	d a k ɐ
Дамаск	d ɐ m a s k
Дамянов	d ɐ mʲ a̟ n o f
Дания	d a n i j ɐ
Дева	d ɛ v ɐ
Деймос	d ɛ j m o s
Делев	d ɛ l ɛ f
Денев	d ɛ n ɛ f
Деница	d ɛ n i t͡s ɐ
Десислава	d ɛ s i s ɫ ɐ v ɐ
Джийн	d ʒ i j n
Джослин	d ʒ ɔ s l i n
Джуров	d ʒ u̟ r o f
Димитров	d i m i t r ɔ f
Димитрова	d i m i t r o v ɐ
Димитър	d i m i t ɐ r
Диона	d i ɔ n ɐ
Дисномия	d i s n ɔ m i j ɐ
Днипро	d n i p r ɔ
Добриня	d o b r i nʲ ɐ
Добромира	d o b r o m i r ɐ
Донецк	d o n ɛ t͡s k
Драган	d r ɐ ɡ a n
Драгой	d r ɐ ɡ ɔ j
Дунав	d u n ɐ f
Душан	d o ʃ a̟ n
Е	ɛ
ЕС	ɛ s ɐ
ЕС	ɛ s ɛ
ЕЦБ	ɛ t͡s p
Евелина	ɛ v ɛ l i n ɐ
Европа	ɛ v r ɔ p ɐ
Евросъюз	ɛ v r o s ɐ j o̟ s
Ейприл	ɛ j p r i ɫ
Еквадор	ɛ k v ɐ d ɔ r
Елена	ɛ l ɛ n ɐ
Елисавета	ɛ l i s ɐ v ɛ t ɐ
Енцелад	ɛ n t͡s ɛ ɫ a t
Ерида	ɛ r i d ɐ
Еритрея	ɛ r i t r ɛ j ɐ
Естония	ɛ s t ɔ n i j ɐ
Етиопия	ɛ t i ɔ p i j ɐ
Желев	ʒ ɛ l ɛ f
Жечев	ʒ ɛ t͡ʃ ɛ f
Живка	ʒ i f k ɐ
Живков	ʒ i f k o f
Житомир	ʒ i t ɔ m i r
Загреб	z a ɡ r ɛ p
Задушница	z ɐ d u ʃ n i t͡s ɐ
Запорожие	z ɐ p o r ɔ ʒ i ɛ
Зара	z a r ɐ
Захарина	z ɐ x ɐ r i n ɐ
Земя	z ɛ mʲ a̟
Златев	z ɫ ɐ t ɛ f
И	i
Иван	i v a n
Ивана	i v a n ɐ
Иванов	i v a n o f
Иванов	i v ɐ n ɔ f
Игнатов	i ɡ n ɐ t o f
Израел	i z r ɐ ɛ ɫ
Илияна	i l i j ɐ n ɐ
Индия	i n d i j ɐ
Индонезия	i n d o n ɛ z i j ɐ
Ирак	i r a k
Иран	i r a n
Ирландия	i r ɫ a n d i j ɐ
Исландия	i s ɫ a n d i j ɐ
Испания	i s p a n i j ɐ
Истанбул	i s t ɐ n b u ɫ
Италия	i t a l i j ɐ
Й	j
Йо	j ɔ
Йовчев	j ɔ f t͡ʃ ɛ f
К	k
Казахстан	k ɐ z ɐ x s t a n
Кайро	k a j r o
Калина	k ɐ l i n ɐ
Калисто	k ɐ l i s t o
Калчев	k ɐ ɫ t͡ʃ ɛ f
Камбоджа	k ɐ m b ɔ d ʒ ɐ
Канада	k ɐ n a d ɐ
Карнобат	k ɐ r n o b a t
Катерина	k ɐ t ɛ r i n ɐ
Квебек	k v ɛ b ɛ k
Кейтлин	k ɛ j t l i n
Киев	k i ɛ f
Кипър	k i p ɐ r
Киркоров	k i r k ɔ r o f
Киров	k i r o f
Китай	k i t a j
Ковачев	k o v a t͡ʃ ɛ f
Козирог	k o z i r ɔ k
Козирог	k ɔ z i r ɔ k
Коледа	k ɔ l ɛ d ɐ
Колумбия	k o ɫ u m b i j ɐ
Конев	k o n ɛ f
Константинов	k o n s t ɐ n t i n o f
Корея	k o r ɛ j ɐ
Косово	k ɔ s o v o
Костов	k o s t o f
Кочев	k o t͡ʃ ɛ f
Кристина	k r i s t i n ɐ
Кръстан	k r ɐ s t a n
Куба	k u b ɐ
Л	ɫ
Лазаров	ɫ a z ɐ r o f
Лаос	ɫ ɐ ɔ s
Латвия	ɫ a t v i j ɐ
Лвов	ɫ v ɔ f
Лвов	ɫ ɐ v ɔ f
Литва	l i t v ɐ
Лихтенщайн	l i x t ɛ n ʃ t ɐ j n
Ловеч	ɫ ɔ v ɛ t͡ʃ
Логан	ɫ ɔ ɡ ɐ n
Лондон	ɫ ɔ n d o n
Лоуис	ɫ ɔ o i s
Луганск	ɫ o ɡ a n s k
Луизиана	ɫ o i z i a n ɐ
Лукашенко	ɫ o k ɐ ʃ ɛ ŋ k o
Луна	ɫ o n a
Лъв	ɫ ɤ f
Люксембург	lʲ u̟ k s ɛ m b o r k
М	m
Майнкрафт	m a j ŋ k r a f t
Македония	m ɐ k ɛ d ɔ n i j ɐ
Макемаке	m ɐ k ɛ m a k ɛ
Малайзийо	m ɐ ɫ a j z i j o̟
Малайзия	m ɐ ɫ a j z i j ɐ
Малта	m a ɫ t ɐ
Марийка	m ɐ r i j k ɐ
Мариупол	m ɐ r i u p o ɫ
Марс	m a r s
Мека	m ɛ k ɐ
Мексико	m ɛ k s i k o
Меркурий	m ɛ r k u r i j
Милан	m i ɫ a n
Милой	m i ɫ ɔ j
Мимас	m i m ɐ s
Минск	m i n s k
Миранда	m i r a n d ɐ
Михайлов	m i x a j ɫ o f
Молдова	m o ɫ d ɔ v ɐ
Монако	m o n a k o
Монголия	m o ŋ ɡ ɔ l i j ɐ
Монтана	m o n t a n ɐ
Москва	m o s k v a
Москов	m ɔ s k o f
Н	n
Надежда	n ɐ d ɛ ʒ d ɐ
Намака	n ɐ m a k ɐ
Непал	n ɛ p a ɫ
Нептун	n ɛ p t u n
Нидерландия	n i d ɛ r ɫ a n d i j ɐ
Николаев	n i k o ɫ a ɛ f
Николина	n i k o l i n ɐ
Николов	n i k ɔ ɫ o f
Никта	n i k t ɐ
Норвегия	n o r v ɛ ɡ i j ɐ
Нургюл	n o r ɡʲ u̟ ɫ
О	ɔ
Оберон	ɔ b ɛ r o n
Овен	o v ɛ n
Одеса	o d ɛ s ɐ
Одрин	ɔ d r i n
Океания	o k ɛ a n i j ɐ
Онтарио	o n t a r i o
Осака	ɔ s ɐ k ɐ
Охрид	ɔ x r i t
П	p
Пакистан	p ɐ k i s t a n
Палестина	p ɐ l ɛ s t i n ɐ
Панама	p ɐ n a m ɐ
Парагвай	p ɐ r ɐ ɡ v a j
Париж	p ɐ r i ʃ
Пекин	p ɛ k i n
Пенчев	p ɛ n t͡ʃ ɛ f
Персефона	p ɛ r s ɛ f o n ɐ
Перу	p ɛ r u
Перун	p ɛ r u n
Петров	p ɛ t r ɔ f
Петър	p ɛ t ɐ r
Пламен	p ɫ a m ɛ n
Плевен	p l ɛ v ɛ n
Пловдив	p ɫ ɔ v d i f
Полша	p ɔ ɫ ʃ ɐ
Попов	p o p ɔ f
Португалия	p o r t o ɡ a l i j ɐ
Прага	p r a ɡ ɐ
Първан	p ɐ r v a n
Първанов	p ɐ r v a n o f
Р	r
РНК	ɛ r ɛ n k a
Рада	r a d ɐ
Радан	r ɐ d a n
Радой	r ɐ d ɔ j
Райна	r ɐ j n ɐ
Рак	r a k
Рея	r ɛ j ɐ
Риби	r i b i
Рига	r i ɡ ɐ
Рим	r i m
Руанда	r o a n d ɐ
Румъния	r o m ɤ n i j ɐ
Русе	r u s ɛ
Русев	r u s ɛ f
Русия	r o s i j ɐ
С	s ɤ
Сакар	s ɐ k a r
Сараево	s ɐ r a ɛ v o
Сатурн	s ɐ t u r n
Светлана	s v ɛ t ɫ a n ɐ
Свищов	s v i ʃ t ɔ f
Сеара	s ɛ ɐ r a
Сеул	s ɛ u ɫ
Симеонов	s i m ɛ ɔ n o f
Сингапур	s i ŋ ɡ ɐ p u r
Сирия	s i r i j ɐ
Скопие	s k ɔ p i ɛ
Скорпион	s k o r p i ɔ n
Словакия	s ɫ o v a k i j ɐ
Словения	s ɫ o v ɛ n i j ɐ
Смолян	s m ɔ lʲ ɐ n
Снежанка	s n ɛ ʒ a̟ ŋ k ɐ
Соколов	s o k ɔ ɫ o f
Соколов	s ɔ k o ɫ o f
София	s ɔ f i j ɐ
Средновековие	s r ɛ d n o v ɛ k ɔ v i ɛ
Станой	s t ɐ n ɔ j
Стефан	s t ɛ f ɐ n
Стикс	s t i k s
Стоян	s t o j a̟ n
Стрелец	s t r ɛ l ɛ t͡s
Суми	s u m i
Суринам	s o r i n a m
Събев	s ɤ b ɛ f
Сърбия	s ɤ r b i j ɐ
Т	t
Таджикистан	t ɐ d ʒ i k i s t a n
Тайван	t ɐ j v a n
Тайланд	t ɐ j ɫ a n t
Телец	t ɛ l ɛ t͡s
Тетида	t ɛ t i d ɐ
Техеран	t ɛ x ɛ r a n
Тирана	t i r a n ɐ
Титан	t i t a n
Титания	t i t a n i j ɐ
Того	t ɔ ɡ o
Токио	t ɔ k i o
Траян	t r ɐ j a̟ n
Тритон	t r i t ɔ n
Трифонов	t r i f o n o f
Тунис	t u n i s
Туркменистан	t o r k m ɛ n i s t a n
Турция	t u r t͡s i j ɐ
Търновски	t ɐ r n ɔ f s k i
У	u
Уганда	o ɡ a n d ɐ
Узбекистан	o z b ɛ k i s t a n
Уикипедия	w i k i p ɛ d i j ɐ
Украйна	o k r a j n ɐ
Умбриел	u m b r i ɛ ɫ
Унгария	o ŋ ɡ a r i j ɐ
Уолдо	o ɔ ɫ d o
Уран	o r a n
Уругвай	o r o ɡ v a j
Ф	f
Финландия	f i n ɫ a n d i j ɐ
Фобос	f ɔ b o s
Франция	f r a n t͡s i j ɐ
Фучеджиев	f o t͡ʃ ɛ d ʒ i ɛ f
Х	x
Хава	x a v ɐ
Хаджиев	x ɐ d ʒ i ɛ f
Харков	x a r k o f
Харманли	x a r m ɐ n l i
Харон	x ɐ r ɔ n
Хасково	x a s k o v o
Хаумея	x ɐ o m ɛ j ɐ
Херсон	x ɛ r s ɔ n
Херцеговина	x ɛ r t͡s ɛ ɡ ɔ v i n ɐ
Хидра	x i d r ɐ
Хияка	x i j a̟ k ɐ
Холандия	x o ɫ a n d i j ɐ
Христина	x r i s t i n ɐ
Христос	x r i s t ɔ s
Хърватия	x ɐ r v a t i j ɐ
Хърватска	x ɐ r v a t s k ɐ
Ц	t͡s
Цветан	t͡s v ɛ t a n
Цветков	t͡s v ɛ t k ɔ f
Цербер	t͡s ɛ r b ɛ r
Церера	t͡s ɛ r ɛ r ɐ
Ч	t͡ʃ
Чавдар	t͡ʃ ɐ v d a r
Чад	t͡ʃ a̟ t
Чакъров	t͡ʃ ɐ k ɤ r o f
Чернигов	t͡ʃ ɛ r n i ɡ o f
Чехия	t͡ʃ ɛ x i j ɐ
Чехословакия	t͡ʃ ɛ x o s ɫ o v a k i j ɐ
Чили	t͡ʃ i l i
Чък	t͡ʃ ɤ̟ k
Ш	ʃ
Швейцария	ʃ v ɛ j t͡s a r i j ɐ
Швеция	ʃ v ɛ t͡s i j ɐ
Шейтанов	ʃ ɛ j t a n o f
Шумен	ʃ u̟ m ɛ n
Щ	ʃ t
Ъ	ɤ
Ъ	ɤ̞
Ь	j ɔ
Югославия	j o̟ ɡ o s ɫ a v i j ɐ
Юдея	j o̟ d ɛ j ɐ
Юпитер	j o̟ p i t ɛ r
Я	j a̟
Яна	j a̟ n ɐ
Япет	j ɐ p ɛ t
Япония	j ɐ p ɔ n i j ɐ
а	a
а	ɐ
а	ə
аба	ɐ b a
абаджелък	ɐ b ɐ d ʒ ɛ ɫ ɤ k
абаджии	a b ɐ d ʒ i i
абаджиите	a b ɐ d ʒ i i t ɛ
абаджийка	ɐ b ɐ d ʒ i j k ɐ
абаджийката	a b ɐ d ʒ i j k ɐ t ɐ
абаджийки	a b ɐ d ʒ i j k i
абаджийките	a b ɐ d ʒ i j k i t ɛ
абаджийко	a b ɐ d ʒ i j k o
абаджийски	ɐ b ɐ d ʒ i j s k i
абаджийства	a b ɐ d ʒ i j s t v ɐ
абаджийствата	a b ɐ d ʒ i j s t v ɐ t ɐ
абаджийство	ɐ b ɐ d ʒ i j s t v o
абаджийството	a b ɐ d ʒ i j s t v o t o
абаджилък	ɐ b ɐ d ʒ i ɫ ɤ k
абаджия	ɐ b ɐ d ʒ i j ɐ
абаджията	a b ɐ d ʒ i j ɐ t ɐ
абажур	ɐ b ɐ ʒ u̟ r
абажура	a b ɐ ʒ u̟ r ɐ
абажуре	a b ɐ ʒ u̟ r ɛ
абажури	a b ɐ ʒ u̟ r i
абажурите	a b ɐ ʒ u̟ r i t ɛ
абажурът	a b ɐ ʒ u̟ r ɐ t
абазийо	a b a z i j o̟
абазия	ɐ b a z i j ɐ
абазията	a b a z i j ɐ t ɐ
абак	ɐ b a k
абака	a b a k ɐ
абако	ɐ b a k o
абакът	a b a k ɐ t
абанос	ɐ b ɐ n ɔ s
абаноса	ɐ b ɐ n ɔ s ɐ
абаносе	ɐ b ɐ n ɔ s ɛ
абаносов	ɐ b ɐ n ɔ s o f
абаносова	a b ɐ n ɔ s o v ɐ
абаносовата	a b ɐ n ɔ s o v ɐ t ɐ
абаносови	ɐ b ɐ n ɔ s o v i
абаносовите	a b ɐ n ɔ s o v i t ɛ
абаносовия	a b ɐ n ɔ s o v i j ɐ
абаносовият	a b ɐ n ɔ s o v i j ɐ t
абаносово	a b ɐ n ɔ s o v o
абаносовото	a b ɐ n ɔ s o v o t o
абаносът	a b ɐ n ɔ s ɐ t
абат	ɐ b a t
абата	ɐ b a t ɐ
абатска	ɐ b a t s k ɐ
абатската	ɐ b a t s k ɐ t ɐ
абатски	ɐ b a t s k i
абатските	ɐ b a t s k i t ɛ
абатския	ɐ b a t s k i j ɐ
абатският	ɐ b a t s k i j ɐ t
абатско	ɐ b a t s k o
абатското	ɐ b a t s k o t o
абатства	a b a t s t v ɐ
абатствата	a b a t s t v ɐ t ɐ
абатство	ɐ b a t s t v o
абатството	a b a t s t v o t o
абаци	a b a t͡s i
абаците	a b a t͡s i t ɛ
абдал	ɐ b d a ɫ
абдала	a b d a ɫ ɐ
абдале	a b d a l ɛ
абдали	a b d a l i
абдалите	a b d a l i t ɛ
абдалът	a b d a ɫ ɐ t
абдикации	a b d i k a t͡s i i
абдикациите	a b d i k a t͡s i i t ɛ
абдикацийо	a b d i k a t͡s i j o̟
абдикация	ɐ b d i k a t͡s i j ɐ
абдикацията	a b d i k a t͡s i j ɐ t ɐ
абдикира	ɐ b d i k i r ɐ
абдикирай	ɐ b d i k i r ɐ j
абдикирайки	ɐ b d i k i r ɐ j k i
абдикирайте	ɐ b d i k i r ɐ j t ɛ
абдикирал	ɐ b d i k i r ɐ ɫ
абдикирала	ɐ b d i k i r ɐ ɫ ɐ
абдикиралата	ɐ b d i k i r ɐ ɫ ɐ t ɐ
абдикирали	ɐ b d i k i r ɐ l i
абдикиралите	ɐ b d i k i r ɐ l i t ɛ
абдикиралия	ɐ b d i k i r ɐ l i j ɐ
абдикиралият	a b d i k i r ɐ l i j ɐ t
абдикирало	a b d i k i r ɐ ɫ o
абдикиралото	a b d i k i r ɐ ɫ o t o
абдикирам	ɐ b d i k i r ɐ m
абдикираме	a b d i k i r ɐ m ɛ
абдикиране	ɐ b d i k i r ɐ n ɛ
абдикиранета	a b d i k i r ɐ n ɛ t ɐ
абдикиранетата	a b d i k i r ɐ n ɛ t ɐ t ɐ
абдикирането	a b d i k i r ɐ n ɛ t o
абдикирания	a b d i k i r ɐ n i j ɐ
абдикиранията	a b d i k i r ɐ n i j ɐ t ɐ
абдикират	a b d i k i r ɐ t
абдикирате	a b d i k i r ɐ t ɛ
абдикирах	a b d i k i r ɐ x
абдикираха	a b d i k i r ɐ x ɐ
абдикирахме	a b d i k i r ɐ x m ɛ
абдикирахте	a b d i k i r ɐ x t ɛ
абдикираш	a b d i k i r ɐ ʃ
абдикираше	a b d i k i r ɐ ʃ ɛ
абдикиращ	a b d i k i r ɐ ʃ t
абдикираща	a b d i k i r ɐ ʃ t ɐ
абдикиращата	a b d i k i r ɐ ʃ t ɐ t ɐ
абдикиращи	a b d i k i r ɐ ʃ t i
абдикиращите	a b d i k i r ɐ ʃ t i t ɛ
абдикиращия	a b d i k i r ɐ ʃ t i j ɐ
абдикиращият	a b d i k i r ɐ ʃ t i j ɐ t
абдикиращо	a b d i k i r ɐ ʃ t o
абдикиращото	a b d i k i r ɐ ʃ t o t o
абдоминален	ɐ b d o m i n a l ɛ n
абдоминална	ɐ b d o m i n a ɫ n ɐ
абдоминалната	ɐ b d o m i n a ɫ n ɐ t ɐ
абдоминални	ɐ b d o m i n a ɫ n i
абдоминалните	ɐ b d o m i n a ɫ n i t ɛ
абдоминалния	ɐ b d o m i n a ɫ n i j ɐ
абдоминалният	ɐ b d o m i n a ɫ n i j ɐ t
абдоминално	ɐ b d o m i n a ɫ n o
абдоминалното	ɐ b d o m i n a ɫ n o t o
абдукции	a b d u k t͡s i i
абдукциите	a b d u k t͡s i i t ɛ
абдукцийо	a b d u k t͡s i j o̟
абдукция	ɐ b d u k t͡s i j ɐ
абдукцията	a b d u k t͡s i j ɐ t ɐ
абен	ɐ b ɛ n
аберации	a b ɛ r a t͡s i i
аберациите	a b ɛ r a t͡s i i t ɛ
аберацийо	a b ɛ r a t͡s i j o̟
аберация	ɐ b ɛ r a t͡s i j ɐ
аберацията	a b ɛ r a t͡s i j ɐ t ɐ
абзац	ɐ b z a t͡s
аби	ɐ b i
абисинец	ɐ b i s i n ɛ t͡s
абисинеца	a b i s i n ɛ t͡s ɐ
абисинецо	a b i s i n ɛ t͡s o
абисинецът	a b i s i n ɛ t͡s ɐ t
абисинка	ɐ b i s i ŋ k ɐ
абисинката	a b i s i ŋ k ɐ t ɐ
абисинки	a b i s i ŋ k i
абисинките	a b i s i ŋ k i t ɛ
абисинко	a b i s i ŋ k o
абисинска	a b i s i n s k ɐ
абисинската	a b i s i n s k ɐ t ɐ
абисински	ɐ b i s i n s k i
абисинските	a b i s i n s k i t ɛ
абисинския	a b i s i n s k i j ɐ
абисинският	a b i s i n s k i j ɐ t
абисинско	a b i s i n s k o
абисинското	a b i s i n s k o t o
абисинци	a b i s i n t͡s i
абисинците	a b i s i n t͡s i t ɛ
абите	ɐ b i t ɛ
абитуриент	ɐ b i t o r i ɛ n t
абитуриента	a b i t o r i ɛ n t ɐ
абитуриенте	a b i t o r i ɛ n t ɛ
абитуриенти	a b i t o r i ɛ n t i
абитуриентите	a b i t o r i ɛ n t i t ɛ
абитуриентка	a b i t o r i ɛ n t k ɐ
абитуриентката	a b i t o r i ɛ n t k ɐ t ɐ
абитуриентки	a b i t o r i ɛ n t k i
абитуриентко	a b i t o r i ɛ n t k o
абитуриентска	a b i t o r i ɛ n t s k ɐ
абитуриентската	a b i t o r i ɛ n t s k ɐ t ɐ
абитуриентски	ɐ b i t o r i ɛ n t s k i
абитуриентските	a b i t o r i ɛ n t s k i t ɛ
абитуриентския	a b i t o r i ɛ n t s k i j ɐ
абитуриентският	a b i t o r i ɛ n t s k i j ɐ t
абитуриентско	a b i t o r i ɛ n t s k o
абитуриентското	a b i t o r i ɛ n t s k o t o
абитуриентът	a b i t o r i ɛ n t ɐ t
абица	ɐ b i t͡s ɐ
абичка	ɐ b i t͡ʃ k ɐ
аблактации	a b ɫ ɐ k t a t͡s i i
аблактациите	a b ɫ ɐ k t a t͡s i i t ɛ
аблактацийо	a b ɫ ɐ k t a t͡s i j o̟
аблактация	a b ɫ ɐ k t a t͡s i j ɐ
аблактацията	a b ɫ ɐ k t a t͡s i j ɐ t ɐ
аблан	ɐ b ɫ a n
аблен	ɐ b l ɛ n
або	a b o
абокато	ɐ b o k a t o
абонамент	ɐ b o n ɐ m ɛ n t
абонаментен	ɐ b o n ɐ m ɛ n t ɛ n
абонаментна	a b o n ɐ m ɛ n t n ɐ
абонаментната	a b o n ɐ m ɛ n t n ɐ t ɐ
абонаментни	a b o n ɐ m ɛ n t n i
абонаментните	a b o n ɐ m ɛ n t n i t ɛ
абонаментния	a b o n ɐ m ɛ n t n i j ɐ
абонаментният	a b o n ɐ m ɛ n t n i j ɐ t
абонаментно	a b o n ɐ m ɛ n t n o
абонаментното	a b o n ɐ m ɛ n t n o t o
абонат	a b o n a t
абоната	a b o n a t ɐ
абонате	a b o n a t ɛ
абонатен	ɐ b o n a t ɛ n
абонати	a b o n a t i
абонатите	a b o n a t i t ɛ
