अक्का	ɐ k̚ k ɑː
उड्डापयति	u ɖ̚ ɖ ɑː p ɐ j ɐ t i
उड्डापयति	u ɖ̚ ɖ ɑː p ɐ j ɐ t̪ i
उड्डामर	u ɖ̚ ɖ ɑː m ɐ ɾ ɐ
उड्डामरिन्	u ɖ̚ ɖ ɑː m ɐ ɾ i n
उड्डामरिन्	u ɖ̚ ɖ ɑː m ɐ ɾ i n̪
उड्डी	u ɖ̚ ɖ iː
उड्डीन	u ɖ̚ ɖ iː n ɐ
उड्डीन	u ɖ̚ ɖ iː n̪ ɐ
उड्डीयते	u ɖ̚ ɖ iː j ɐ t ɐ j
उड्डीयते	u ɖ̚ ɖ iː j ɐ t̪ eː
उड्डीयन	u ɖ̚ ɖ iː j ɐ n ɐ
उड्डीयन	u ɖ̚ ɖ iː j ɐ n̪ ɐ
उत्कट	u t̚ k ɐ ʈ ɐ
उत्कट	u t̪̚ k ɐ ʈ ɐ
उत्कटदुःख	u t̚ k ɐ ʈ ɐ d u x kʰ ɐ
उत्कटदुःख	u t̪̚ k ɐ ʈ ɐ d̪ u h kʰ ɐ
उत्कर्ष	u t̚ k ɐ ɾ ʂ ɐ
उत्कर्ष	u t̪̚ k ɐ ɾ ʂ ɐ
उत्कल	u t̚ k ɐ l ɐ
उत्कल	u t̪̚ k ɐ l̪ ɐ
उत्कुण	u t̚ k u ɳ ɐ
उत्कुण	u t̪̚ k u ɳ ɐ
उत्कूट	u t̚ k uː ʈ ɐ
उत्कूट	u t̪̚ k uː ʈ ɐ
उत्तम	u t̚ t ɐ m ɐ́
उत्तम	u t̪̚ t̪ ɐ m ɐ
उत्तर	u t̪̚ t̪ ɐ ɾ ɐ
उत्तर	ú t̚ t ɐ ɾ ɐ
उत्तरति	u t̪̚ t̪ ɐ ɾ ɐ t̪ i
उत्तरति	ú t̚ t ɐ ɾ ɐ t i
उत्तरफाल्गुनी	u t̚ t ɐ ɾ ɐ pʰ ɑː l ɡ u n iː
उत्तरफाल्गुनी	u t̪̚ t̪ ɐ ɾ ɐ pʰ ɑː l̪ ɡ u n̪ iː
उत्तराधरविवर	u t̚ t ɐ ɾ ɑː dʱ ɐ ɾ ɐ ʋ i ʋ ɐ ɾ ɐ
उत्तराधरविवर	u t̪̚ t̪ ɐ ɾ ɑː d̪ʱ ɐ ɾ ɐ ʋ i ʋ ɐ ɾ ɐ
उत्तराधिकारिणी	u t̚ t ɐ ɾ ɑː dʱ i k ɑː ɾ i ɳ iː
उत्तराधिकारिणी	u t̪̚ t̪ ɐ ɾ ɑː d̪ʱ i k ɑː ɾ i ɳ iː
उत्तराधिकारिन्	u t̚ t ɐ ɾ ɑː dʱ i k ɑː ɾ i n
उत्तराधिकारिन्	u t̪̚ t̪ ɐ ɾ ɑː d̪ʱ i k ɑː ɾ i n̪
उत्तराधिकारी	u t̚ t ɐ ɾ ɑː dʱ i k ɑː ɾ iː
उत्तराधिकारी	u t̪̚ t̪ ɐ ɾ ɑː d̪ʱ i k ɑː ɾ iː
उत्तान	u t̚ t ɑː n ɐ́
उत्तान	u t̪̚ t̪ ɑː n̪ ɐ
उत्तिष्ठति	u t̚ t i ʂ ʈʰ ɐ t i
उत्तिष्ठति	u t̪̚ t̪ i ʂ ʈʰ ɐ t̪ i
उत्तॄ	u t̚ t r̩ː
उत्तॄ	u t̪̚ t̪ r̩ː
उत्थान	u t̚ tʰ ɑ́ː n ɐ
उत्थान	u t̪̚ t̪ʰ ɑː n̪ ɐ
उत्पत्ति	u t̚ p ɐ t̚ t i
उत्पत्ति	u t̪̚ p ɐ t̪̚ t̪ i
उत्पल	u t̚ p ɐ l ɐ
उत्पल	u t̪̚ p ɐ l̪ ɐ
उत्पा	u t̚ p ɑː
उत्पा	u t̪̚ p ɑː
उत्पीठिका	u t̪̚ p iː ʈʰ i k ɑː
उत्पीठिकायाः	u t̪̚ p iː ʈʰ i k ɑː j ɑː h ɑ̆
उदन्या	u d ɐ j̃ j ɑː
उद्गुर्	u d̚ ɡ u ɾ
उद्गुर्	u d̪̚ ɡ u ɾ
उद्गूर्ण	u d̚ ɡ uː ɾ ɳ ɐ
उद्गूर्ण	u d̪̚ ɡ uː ɾ ɳ ɐ
उद्गृह्णाति	u d̪̚ ɡ r̩ ɦ ɳ ɑː t̪ i
उद्गृह्णाति	ú d̚ ɡ r̩ ɦ ɳ ɑː t i
उद्गॄ	u d̚ ɡ r̩ː
उद्गॄ	u d̪̚ ɡ r̩ː
उद्घटित	u d̚ ɡʱ ɐ ʈ i t ɐ
उद्घटित	u d̪̚ ɡʱ ɐ ʈ i t̪ ɐ
उद्घाटन	u d̚ ɡʱ ɑː ʈ ɐ n ɐ
उद्घाटन	u d̪̚ ɡʱ ɑː ʈ ɐ n̪ ɐ
उद्घाटिताङ्ग	u d̚ ɡʱ ɑː ʈ i t ɑː ŋ ɡ ɐ
उद्घाटिताङ्ग	u d̪̚ ɡʱ ɑː ʈ i t̪ ɑː ŋ ɡ ɐ
उद्देश	u d̚ d ɐ j ɕ ɐ
उद्देश	u d̪̚ d̪ eː ɕ ɐ
उद्देश्य	u d̚ d ɐ j ɕ j ɐ
उद्देश्य	u d̪̚ d̪ eː ɕ j ɐ
उद्द्योत	u d̚ d j ɐ w t ɐ
उद्द्योत	u d̪̚ d̪ j oː t̪ ɐ
उद्धन्ति	u d̚ dʱ ɐ n t i
उद्धन्ति	u d̪̚ d̪ʱ ɐ n̪ t̪ i
उद्धार	u d̚ dʱ ɑː ɾ ɐ
उद्धार	u d̪̚ d̪ʱ ɑː ɾ ɐ
उद्रुणद्धि	u d ɾ u ɳ ɐ d̚ dʱ i
उद्रुणद्धि	u d̪ ɾ u ɳ ɐ d̪̚ d̪ʱ i
उनत्ति	u n ɐ́ t̚ t i
उनत्ति	u n̪ ɐ t̪̚ t̪ i
उपन्यस्यति	u p ɐ j̃ j ɐ s j ɐ t i
उपलब्ध	u p ɐ l ɐ b̚ dʱ ɐ
उपलब्ध	u p ɐ l̪ ɐ b̚ d̪ʱ ɐ
उब्जति	u b̚ d͡ʑ ɐ t̪ i
उब्जति	u b̚ d͡ʑ ɐ́ t i
उषःकल	u ʂ ɐ x k ɐ l ɐ
उषासः	u ʂ ɑː s̪ ɐ h ɐ̆
ऋच्छति	r̩ t̚ t͡ɕʰ ɐ t i
ऋच्छति	r̩ t̪̚ t͡ɕʰ ɐ t̪ i
ऋद्ध	r̩ d̚ dʱ ɐ
ऋद्ध	r̩ d̪̚ d̪ʱ ɐ
ऋद्धि	r̩ d̪̚ d̪ʱ i
ऋद्धि	ŕ̩ d̚ dʱ i
एकसप्तति	eː k ɐ s̪ ɐ p̚ t̪ ɐ t̪ i
एकसप्तति	ɐ́ j k ɐ s ɐ p̚ t ɐ t i
एतत्कालम्	eː t̪ ɐ t̪̚ k ɑː l̪ ɐ m
एतत्कालम्	ɐ j t ɐ t̚ k ɑː l ɐ m
एताः	eː t̪ ɑː h ɑ̆
एषः	eː ʂ ɐ h ɐ̆
ऐच्छत्	ɑ j t̪̚ t͡ɕʰ ɐ t̪
ऐच्छत्	ɑː j t̚ t͡ɕʰ ɐ t
कः	k ɐ h ɐ̆
कच्चर	k ɐ t̚ t͡ɕ ɐ ɾ ɐ
कच्चर	k ɐ t̪̚ t͡ɕ ɐ ɾ ɐ
कच्छ	k ɐ t̪̚ t͡ɕʰ ɐ
कच्छप	k ɐ t̪̚ t͡ɕʰ ɐ p ɐ
कच्छेष्ट	k ɐ t̪̚ t͡ɕʰ eː ʂ ʈ ɐ
कच्छेष्टः	k ɐ t̪̚ t͡ɕʰ eː ʂ ʈ ɐ h ɐ̆
कच्छोर	k ɐ t̚ t͡ɕʰ ɐ w ɾ ɐ
कच्छोर	k ɐ t̪̚ t͡ɕʰ oː ɾ ɐ
कठिनचित्त	k ɐ ʈʰ i n ɐ t͡ɕ i t̚ t ɐ
कठिनचित्त	k ɐ ʈʰ i n̪ ɐ t͡ɕ i t̪̚ t̪ ɐ
कडच्छक	k ɐ ɖ ɐ t̚ t͡ɕʰ ɐ k ɐ
कडच्छक	k ɐ ɖ ɐ t̪̚ t͡ɕʰ ɐ k ɐ
कण्व	k ɐ ʋ̃ ʋ ɐ
कत्थति	k ɐ t̚ tʰ ɐ t i
कत्थति	k ɐ t̪̚ t̪ʰ ɐ t̪ i
कदः	k ɐ d̪ ɐ h ɐ̆
कन्यादान	k ɐ j̃ j ɑː d ɑː n ɐ
कपित्थ	k ɐ p i t̚ tʰ ɐ
कपित्थ	k ɐ p i t̪̚ t̪ʰ ɐ
कपिलायाः	k ɐ p i l̪ ɑː j ɑː h ɑ̆
करणीयः	k ɐ ɾ ɐ ɳ iː j ɐ h ɐ̆
करिपत्त्र	k ɐ ɾ i p ɐ t̚ t ɾ ɐ
करिपत्त्र	k ɐ ɾ i p ɐ t̪̚ t̪ ɾ ɐ
करिमुक्ता	k ɐ ɾ i m u k̚ t ɑː
करिमुक्ता	k ɐ ɾ i m u k̚ t̪ ɑː
कर्णपत्त्रक	k ɐ ɾ ɳ ɐ p ɐ t̚ t ɾ ɐ k ɐ
कर्णपत्त्रक	k ɐ ɾ ɳ ɐ p ɐ t̪̚ t̪ ɾ ɐ k ɐ
कर्त्तरी	k ɐ ɾ t̪̚ t̪ ɐ ɾ iː
कर्त्तरी	k ɐ́ ɾ t̚ t ɐ ɾ iː
काजैः	k ɑː d͡ʑ ɑ j h ɑ̆
कामबद्ध	k ɑː m ɐ b ɐ d̚ dʱ ɐ
कामबद्ध	k ɑː m ɐ b ɐ d̪̚ d̪ʱ ɐ
काम्य	k ɑ́ː j̃ j ɐ
कार्त्तिक	k ɑː ɾ t̚ t i k ɐ
कार्त्तिक	k ɑː ɾ t̪̚ t̪ i k ɐ
कुक्कुट	k u k̚ k u ʈ ɐ
कुक्कुट	k u k̚ k u ʈ ɐ́
कुक्कुटः	k u k̚ k u ʈ ɐ h ɐ̆
कुक्कुटः	k u k̚ k u ʈ ɐ́ h
कुक्कुटान्	k u k̚ k u ʈ ɑː n
कुक्कुटान्	k u k̚ k u ʈ ɑː n̪
कुक्कुटी	k u k̚ k u ʈ iː
कुक्कुर	k u k̚ k u ɾ ɐ
कुट्टयति	k u ʈ̚ ʈ ɐ j ɐ t̪ i
कुट्टयति	k u ʈ̚ ʈ ɐ́ j ɐ t i
कुट्ट्	k u ʈ̚ ʈ
कुब्ज	k u b̚ d͡ʑ ɐ
कुब्ज	k u b̚ d͡ʑ ɐ́
कुलत्थ	k u l ɐ t̚ tʰ ɐ
कुलत्थ	k u l̪ ɐ t̪̚ t̪ʰ ɐ
कुलत्थक	k u l ɐ t̚ tʰ ɐ k ɐ
कुलत्थक	k u l̪ ɐ t̪̚ t̪ʰ ɐ k ɐ
कुलत्थिका	k u l ɐ t̚ tʰ i k ɑː
कुलत्थिका	k u l̪ ɐ t̪̚ t̪ʰ i k ɑː
कृच्छ्र	k r̩ t̚ t͡ɕʰ ɾ ɐ́
कृच्छ्र	k r̩ t̪̚ t͡ɕʰ ɾ ɐ
कृच्छ्रम्	k r̩ t̚ t͡ɕʰ ɾ ɐ́ m
कृच्छ्रम्	k r̩ t̪̚ t͡ɕʰ ɾ ɐ m
कृच्छ्रे	k r̩ t̚ t͡ɕʰ ɾ ɐ j
कृच्छ्रे	k r̩ t̪̚ t͡ɕʰ ɾ eː
कृपाः	k r̩ p ɑː h ɑ̆
कृपाभिः	k r̩ p ɑː bʱ i h ĭ
कृपायाः	k r̩ p ɑː j ɑː h ɑ̆
कृष्णः	k r̩ ʂ ɳ ɐ h ɐ̆
क्रुद्ध	k ɾ u d̚ dʱ ɐ́
क्रुद्ध	k ɾ u d̪̚ d̪ʱ ɐ
क्षीराब्धि	k ʂ iː ɾ ɑː b̚ dʱ i
क्षीराब्धि	k ʂ iː ɾ ɑː b̚ d̪ʱ i
क्षुब्ध	k ʂ u b̚ dʱ ɐ
क्षुब्ध	k ʂ u b̚ d̪ʱ ɐ
कॢप्त	k l̩ p̚ t ɐ́
कॢप्त	k l̪̩ p̚ t̪ ɐ
कॢप्ति	k l̩ p̚ t̪ í
कॢप्ति	k l̪̩ p̚ t̪ i
कॢप्ति	k ĺ̩ p̚ t̪ i
खटक्किका	kʰ ɐ ʈ ɐ k̚ k i k ɑː
खटक्किका	kʰ ɐ́ ʈ ɐ k̚ k i k ɑː
खट्ट	kʰ ɐ ʈ̚ ʈ ɐ
खड्ग	kʰ ɐ ɖ̚ ɡ ɐ
खड्ग	kʰ ɐ ɖ̚ ɡ ɐ́
खिच्चा	kʰ i t̚ t͡ɕ ɑː
खिच्चा	kʰ i t̪̚ t͡ɕ ɑː
खेदः	kʰ eː d̪ ɐ h ɐ̆
खेदाः	kʰ eː d̪ ɑː h ɑ̆
खेदेभ्यः	kʰ eː d̪ eː bʱ j ɐ h ɐ̆
खेदैः	kʰ eː d̪ ɑ j h ɑ̆
गच्छ	ɡ ɐ t̚ t͡ɕʰ ɐ
गच्छ	ɡ ɐ t̪̚ t͡ɕʰ ɐ
गच्छत	ɡ ɐ t̚ t͡ɕʰ ɐ t ɐ
गच्छत	ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ ɐ
गच्छतम्	ɡ ɐ t̚ t͡ɕʰ ɐ t ɐ m
गच्छतम्	ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ ɐ m
गच्छतस्	ɡ ɐ t̚ t͡ɕʰ ɐ t ɐ s
गच्छतस्	ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ ɐ s̪
गच्छताम्	ɡ ɐ t̚ t͡ɕʰ ɐ t ɑː m
गच्छताम्	ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ ɑː m
गच्छति	ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ i
गच्छति	ɡ ɐ́ t̚ t͡ɕʰ ɐ t i
गच्छतु	ɡ ɐ t̚ t͡ɕʰ ɐ t u
गच्छतु	ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ u
गच्छथ	ɡ ɐ t̚ t͡ɕʰ ɐ tʰ ɐ
गच्छथ	ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ʰ ɐ
गच्छथस्	ɡ ɐ t̚ t͡ɕʰ ɐ tʰ ɐ s
गच्छथस्	ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ʰ ɐ s̪
गच्छन्ति	ɡ ɐ t̚ t͡ɕʰ ɐ n t i
गच्छन्ति	ɡ ɐ t̪̚ t͡ɕʰ ɐ n̪ t̪ i
गच्छन्तु	ɡ ɐ t̚ t͡ɕʰ ɐ n t u
गच्छन्तु	ɡ ɐ t̪̚ t͡ɕʰ ɐ n̪ t̪ u
गच्छसि	ɡ ɐ t̚ t͡ɕʰ ɐ s i
गच्छसि	ɡ ɐ t̪̚ t͡ɕʰ ɐ s̪ i
गच्छानि	ɡ ɐ t̚ t͡ɕʰ ɑː n i
गच्छानि	ɡ ɐ t̪̚ t͡ɕʰ ɑː n̪ i
गच्छाम	ɡ ɐ t̚ t͡ɕʰ ɑː m ɐ
गच्छाम	ɡ ɐ t̪̚ t͡ɕʰ ɑː m ɐ
गच्छामस्	ɡ ɐ t̚ t͡ɕʰ ɑː m ɐ s
गच्छामस्	ɡ ɐ t̪̚ t͡ɕʰ ɑː m ɐ s̪
गच्छामि	ɡ ɐ t̚ t͡ɕʰ ɑː m i
गच्छामि	ɡ ɐ t̪̚ t͡ɕʰ ɑː m i
गच्छाव	ɡ ɐ t̚ t͡ɕʰ ɑː ʋ ɐ
गच्छाव	ɡ ɐ t̪̚ t͡ɕʰ ɑː ʋ ɐ
