Є	j ɛ
Берн	b ɛ r n
Бесерминьова	b ɛ s ɛ r m i ɲ ɔ v a
Бесерминї	b ɛ s ɛ r m i ɲ i
Бетлегем	b ɛ t l ɛ ɦ ɛ m
Беч	b ɛ t͡ʃ
Бечан	b ɛ t͡ʃ a n
Бечанка	b ɛ t͡ʃ a ŋ k a
Библия	b i b l i j a
Билорусия	b i l ɔ r u s i j a
Бог	b ɔ x
Болгар	b ɔ l ɦ a r
Болгарка	b ɔ l ɦ a r k a
Болгарска	b ɔ l ɦ a r s k a
Борис	b ɔ r i s
Борислав	b ɔ r i s l a w
Бориславов	b ɔ r i s l a v ɔ w
Борисов	b ɔ r i s ɔ w
Босанка	b ɔ s a ŋ k a
Босанєц	b ɔ s a ɲ ɛ t͡s
Босна	b ɔ s n a
Бразил	b r a z i l
Бразилия	b r a z i l i j a
Бразилка	b r a z i l k a
Бразилєц	b r a z i ʎ ɛ t͡s
Братислава	b r a t i s l a v a
Брисел	b r i s ɛ l
Британия	b r i t a n i j a
Британка	b r i t a ŋ k a
Британєц	b r i t a ɲ ɛ t͡s
Буда	b u d a
Будапешт	b u d a p ɛ ʃ t
Будински	b u d i n s k i
Будинския	b u d i n s k i j a
Будинсков	b u d i n s k ɔ w
Будинскова	b u d i n s k ɔ v a
Букурешт	b u k u r ɛ ʃ t
Бучко	b u t͡ʃ k ɔ
Бучков	b u t͡ʃ k ɔ w
Бучкова	b u t͡ʃ k ɔ v a
В	v
Валета	v a l ɛ t a
Варшава	v a r ʃ a v a
Варґа	v a r ɡ a
Варґов	v a r ɡ ɔ w
Варґова	v a r ɡ ɔ v a
Василь	v a s i ʎ
Вашинґтон	v a ʃ i ŋ k t ɔ n
Венецуела	v ɛ n ɛ t͡s u ɛ l a
Венчельовски	v ɛ ɲ t͡ʃ ɛ ʎ ɔ w s k i
Венчельовсков	v ɛ ɲ t͡ʃ ɛ ʎ ɔ w s k ɔ w
Венчельовскова	v ɛ ɲ t͡ʃ ɛ ʎ ɔ w s k ɔ v a
Вепровач	v ɛ p r ɔ v a t͡ʃ
Вепровачань	v ɛ p r ɔ v a t͡ʃ a ɲ
Вербас	v ɛ r b a s
Вербаше	v ɛ r b a ʃ ɛ
Вербащанка	v ɛ r b a ʃ t͡ʃ a ŋ k a
Вербащань	v ɛ r b a ʃ t͡ʃ a ɲ
Виктор	v i k t ɔ r
Викторийов	v i k t ɔ r i j ɔ w
Виктория	v i k t ɔ r i j a
Викторов	v i k t ɔ r ɔ w
Вилїя	v i ʎ i j a
Винайов	v i n a j ɔ w
Винайова	v i n a j ɔ v a
Винаї	v i n a j i
Вифлеєм	v i f l ɛ j ɛ m
Владимир	v l a d i m i r
Владислав	v l a d i s l a w
Владо	v l a d ɔ
Владов	v l a d ɔ w
Войводина	v ɔ j v ɔ d i n a
Войводян	v ɔ j v ɔ ɟ a n
Войводянка	v ɔ j v ɔ ɟ a ŋ k a
Всемогущи	f s ɛ m ɔ ɦ u ʃ t͡ʃ i
Вучич	v u t͡ʃ i t͡ʃ
Вучичов	v u t͡ʃ i t͡ʃ ɔ w
Вучичова	v u t͡ʃ i t͡ʃ ɔ v a
Г	ɦ
Гавриїл	ɦ a w r i j i l
Гайдук	ɦ a j d u k
Гайдукова	ɦ a j d u k ɔ v a
Галичан	ɦ a l i t͡ʃ a n
Галичанка	ɦ a l i t͡ʃ a ŋ k a
Галичина	ɦ a l i t͡ʃ i n a
Гарвильчак	ɦ a r v i ʎ t͡ʃ a k
Гарвильчаков	ɦ a r v i ʎ t͡ʃ a k ɔ w
Гарвильчакова	ɦ a r v i ʎ t͡ʃ a k ɔ v a
Гаргайов	ɦ a r ɦ a j ɔ w
Гаргайова	ɦ a r ɦ a j ɔ v a
Гаргаї	ɦ a r ɦ a j i
Гарди	ɦ a r d i
Гардийова	ɦ a r d i j ɔ v a
Геброн	ɦ ɛ b r ɔ n
Гелен	ɦ ɛ l ɛ n
Гелена	ɦ ɛ l ɛ n a
Герцеґовец	ɦ ɛ r t͡s ɛ ɡ ɔ v ɛ t͡s
Герцеґовина	ɦ ɛ r t͡s ɛ ɡ ɔ v i n a
Герцеґовка	ɦ ɛ r t͡s ɛ ɡ ɔ w k a
Голандия	ɦ ɔ l a n d i j a
Голандян	ɦ ɔ l a ɲ ɟ a n
Голандянка	ɦ ɔ l a ɲ ɟ a ŋ k a
Горват	ɦ ɔ r v a t
Горватка	ɦ ɔ r v a t k a
Горваткиня	ɦ ɔ r v a t k i ɲ a
Горватска	ɦ ɔ r v a t s k a
Горняк	ɦ ɔ r ɲ a k
Горняков	ɦ ɔ r ɲ a k ɔ w
Горнякова	ɦ ɔ r ɲ a k ɔ v a
Горнїца	ɦ ɔ r ɲ i t͡s a
Грек	ɦ r ɛ k
Грекиня	ɦ r ɛ k i ɲ a
Греческа	ɦ r ɛ t͡ʃ ɛ s k a
Гудак	ɦ u d a k
Гудаков	ɦ u d a k ɔ w
Гудакова	ɦ u d a k ɔ v a
Д	d
Даблин	d a b l i n
Дамаск	d a m a s k
Данкиня	d a n k i ɲ a
Данска	d a n s k a
Данєц	d a ɲ ɛ t͡s
Дебрецин	d ɛ b r ɛ t͡s i n
Деян	d ɛ j a n
Джуджар	d͡ʒ u d͡ʒ a r
Джуджаров	d͡ʒ u d͡ʒ a r ɔ w
Джуджарова	d͡ʒ u d͡ʒ a r ɔ v a
Джуньов	d͡ʒ u ɲ ɔ w
Джуньова	d͡ʒ u ɲ ɔ v a
Джуня	d͡ʒ u ɲ a
Дзвонко	d͡z v ɔ ŋ k ɔ
Дзуря	d͡z u r j a
Диронь	d i r ɔ ɲ
Днїпер	ɟ ɲ i p ɛ r
Дорокхази	d ɔ r ɔ k x a z i
Дорокхазийов	d ɔ r ɔ k x a z i j ɔ w
Дорокхазийова	d ɔ r ɔ k x a z i j ɔ v a
Дорокхазийови	d ɔ r ɔ k x a z i j ɔ v i
Дорокхазия	d ɔ r ɔ k x a z i j a
Драґан	d r a ɡ a n
Драґана	d r a ɡ a n a
Дубаи	d u b a i
Дудаш	d u d a ʃ
Дунай	d u n a j
Дюра	ɟ u r a
Дюранїн	ɟ u r a ɲ i n
Дюрдьов	ɟ u r ɟ ɔ w
Дюрдьовчанка	ɟ u r ɟ ɔ w t͡ʃ a ŋ k a
Дюрдьовчань	ɟ u r ɟ ɔ w t͡ʃ a ɲ
Дюри	ɟ u r i
Дїтко	ɟ i t k ɔ
Е	ɛ
Евровизия	ɛ w r ɔ v i z i j a
Европа	ɛ w r ɔ p a
Европян	ɛ w r ɔ p j a n
Европянка	ɛ w r ɔ p j a ŋ k a
Еделински	ɛ d ɛ l i n s k i
Еделинсков	ɛ d ɛ l i n s k ɔ w
Еделинскова	ɛ d ɛ l i n s k ɔ v a
Енґлейз	ɛ ŋ ɡ l ɛ j s
Ердельов	ɛ r d ɛ ʎ ɔ w
Ердельова	ɛ r d ɛ ʎ ɔ v a
Ерделї	ɛ r d ɛ ʎ i
Ж	ʒ
Жабель	ʒ a b ɛ ʎ
Желько	ʒ ɛ ʎ k ɔ
Жельков	ʒ ɛ ʎ k ɔ w
Жем	ʒ ɛ m
Женева	ʒ ɛ n ɛ v a
Живкович	ʒ i w k ɔ v i t͡ʃ
Живковичов	ʒ i w k ɔ v i t͡ʃ ɔ w
Живковичова	ʒ i w k ɔ v i t͡ʃ ɔ v a
Жидзи	ʒ i d͡z i
З	z
ЗАД	z a t
Загорянски	z a ɦ ɔ r j a n s k i
Загорянсков	z a ɦ ɔ r j a n s k ɔ w
Загорянскова	z a ɦ ɔ r j a n s k ɔ v a
Закарпат'є	z a k a r p a t j ɛ
Закарпатє	z a k a r p a c ɛ
Запорожє	z a p ɔ r ɔ ʒ j ɛ
Заход	z a x ɔ t
Заґреб	z a ɡ r ɛ p
Заґребчан	z a ɡ r ɛ p t͡ʃ a n
Заґребчанка	z a ɡ r ɛ p t͡ʃ a ŋ k a
Зомбор	z ɔ m b ɔ r
Зомборчан	z ɔ m b ɔ r t͡ʃ a n
Зомборчанка	z ɔ m b ɔ r t͡ʃ a ŋ k a
Зомборчань	z ɔ m b ɔ r t͡ʃ a ɲ
Зренянин	z r ɛ ɲ a n i n
И	i
Иван	i v a n
Ивана	i v a n a
Иванов	i v a n ɔ w
Иванович	i v a n ɔ v i t͡ʃ
Иваново	i v a n ɔ v ɔ
Израел	i z r a ɛ l
Израїл	i z r a j i l
Израїлка	i z r a j i l k a
Израїлєц	i z r a j i ʎ ɛ t͡s
Индийка	i n d i j k a
Индия	i n d i j a
Индиєц	i n d i j ɛ t͡s
Индїя	i ɲ ɟ i j a
Ирак	i r a k
Иран	i r a n
Иранка	i r a ŋ k a
Иранєц	i r a ɲ ɛ t͡s
Ирачан	i r a t͡ʃ a n
Ирачанка	i r a t͡ʃ a ŋ k a
Ирец	i r ɛ t͡s
Ирин	i r i n
Ирина	i r i n a
Ириней	i r i n ɛ j
Иркиня	i r k i ɲ a
Ирска	i r s k a
Истамбул	i s t a m b u l
Истанбул	i s t a n b u l
Италия	i t a l i j a
Италиян	i t a l i j a n
Италиянка	i t a l i j a ŋ k a
Иґор	i ɡ ɔ r
Иґоров	i ɡ ɔ r ɔ w
Й	j
Йоаким	j ɔ a k i m
Йован	j ɔ v a n
Йована	j ɔ v a n a
Йованович	j ɔ v a n ɔ v i t͡ʃ
Йовановичов	j ɔ v a n ɔ v i t͡ʃ ɔ w
Йовановичова	j ɔ v a n ɔ v i t͡ʃ ɔ v a
Йовґен	j ɔ w ɡ ɛ n
Йоганесбурґ	j ɔ ɦ a n ɛ z b u r k
К	k
Казахстан	k a z a x s t a n
Каиро	k a i r ɔ
Калифорния	k a l i f ɔ r n i j a
Каменїцки	k a m ɛ ɲ i t͡s k i
Каменїцкия	k a m ɛ ɲ i t͡s k i j a
Камерун	k a m ɛ r u n
Канада	k a n a d a
Канадян	k a n a ɟ a n
Канадянка	k a n a ɟ a ŋ k a
Канюх	k a ɲ u x
Канюхов	k a ɲ u x ɔ w
Канюхова	k a ɲ u x ɔ v a
Карпати	k a r p a t i
Катарина	k a t a r i n a
Кевежди	k ɛ v ɛ ʒ d i
Кевеждийов	k ɛ v ɛ ʒ d i j ɔ w
Кевеждийова	k ɛ v ɛ ʒ d i j ɔ v a
Кевеждия	k ɛ v ɛ ʒ d i j a
Кейптаун	k ɛ j p t a u n
Керестур	k ɛ r ɛ s t u r
Керестурец	k ɛ r ɛ s t u r ɛ t͡s
Керестурица	k ɛ r ɛ s t u r i t͡s a
Керестурска	k ɛ r ɛ s t u r s k a
Керестурчанка	k ɛ r ɛ s t u r t͡ʃ a ŋ k a
Керестурчань	k ɛ r ɛ s t u r t͡ʃ a ɲ
Кетелеш	k ɛ t ɛ l ɛ ʃ
Кетелешов	k ɛ t ɛ l ɛ ʃ ɔ w
Кетелешова	k ɛ t ɛ l ɛ ʃ ɔ v a
Кипар	k i p a r
Китай	k i t a j
Китайка	k i t a j k a
Китаєц	k i t a j ɛ t͡s
Киш	k i ʃ
Кишиньов	k i ʃ i ɲ ɔ w
Кишов	k i ʃ ɔ w
Кишова	k i ʃ ɔ v a
Кишюгас	k i ʃ j u ɦ a s
Кишюгасов	k i ʃ j u ɦ a s ɔ w
Кишюгасова	k i ʃ j u ɦ a s ɔ v a
Києв	k i j ɛ w
Києвян	k i j ɛ v j a n
Києвянка	k i j ɛ v j a ŋ k a
Кляїчево	k ʎ a j i t͡ʃ ɛ v ɔ
Ковач	k ɔ v a t͡ʃ
Ковачов	k ɔ v a t͡ʃ ɔ w
Ковачова	k ɔ v a t͡ʃ ɔ v a
Колошняйова	k ɔ l ɔ ʃ ɲ a j ɔ v a
Колошняї	k ɔ l ɔ ʃ ɲ a j i
Колєсар	k ɔ ʎ ɛ s a r
Колєсарова	k ɔ ʎ ɛ s a r ɔ v a
Копенгаґен	k ɔ p ɛ n ɦ a ɡ ɛ n
Корейка	k ɔ r ɛ j k a
Корея	k ɔ r ɛ j a
Кореєц	k ɔ r ɛ j ɛ t͡s
Косово	k ɔ s ɔ v ɔ
Коцур	k ɔ t͡s u r
Коцурец	k ɔ t͡s u r ɛ t͡s
Коцурица	k ɔ t͡s u r i t͡s a
Кочиш	k ɔ t͡ʃ i ʃ
Кочишов	k ɔ t͡ʃ i ʃ ɔ w
Кочишова	k ɔ t͡ʃ i ʃ ɔ v a
Кошице	k ɔ ʃ i t͡s ɛ
Крайцар	k r a j t͡s a r
Крайцаров	k r a j t͡s a r ɔ w
Крайцарова	k r a j t͡s a r ɔ v a
Краков	k r a k ɔ w
Крачун	k r a t͡ʃ u n
Краґуєвац	k r a ɡ u j ɛ v a t͡s
Кренїцки	k r ɛ ɲ i t͡s k i
Кристина	k r i s t i n a
Кристинов	k r i s t i n ɔ w
Кристиян	k r i s t i j a n
Кристиянов	k r i s t i j a n ɔ w
Крущич	k r u ʃ t͡ʃ i t͡ʃ
Крущичан	k r u ʃ t͡ʃ i t͡ʃ a n
Крущичанка	k r u ʃ t͡ʃ i t͡ʃ a ŋ k a
Крущичань	k r u ʃ t͡ʃ i t͡ʃ a ɲ
Ксенийов	k s ɛ n i j ɔ w
Ксения	k s ɛ n i j a
Куба	k u b a
Кубанка	k u b a ŋ k a
Кубанєц	k u b a ɲ ɛ t͡s
Кула	k u l a
Кулянка	k u ʎ a ŋ k a
Кулянєц	k u ʎ a ɲ ɛ t͡s
Кухар	k u x a r
Кухаров	k u x a r ɔ w
Кухарова	k u x a r ɔ v a
Л	l
Лалить	l a l i c
Лалитян	l a l i c a n
Лалитянка	l a l i c a ŋ k a
Лалитянь	l a l i c a ɲ
Латвия	l a t v i j a
Лендєр	l ɛ ɲ ɟ ɛ r
Лендєров	l ɛ ɲ ɟ ɛ r ɔ w
Лендєрова	l ɛ ɲ ɟ ɛ r ɔ v a
Летония	l ɛ t ɔ n i j a
Летонка	l ɛ t ɔ ŋ k a
Летонєц	l ɛ t ɔ ɲ ɛ t͡s
Либан	l i b a n
Либанка	l i b a ŋ k a
Либанєц	l i b a ɲ ɛ t͡s
Литвания	l i t v a n i j a
Литванка	l i t v a ŋ k a
Литванєц	l i t v a ɲ ɛ t͡s
Лихтенштайн	l i x t ɛ ɲ ʃ t a j n
Лондон	l ɔ n d ɔ n
Луксембурґ	l u k s ɛ m b u r k
Львов	ʎ v ɔ w
Любляна	ʎ u b ʎ a n a
Любо	ʎ u b ɔ
Любов	ʎ u b ɔ w
Любомир	ʎ u b ɔ m i r
Любомиров	ʎ u b ɔ m i r ɔ w
Лєв	ʎ ɛ w
Лїкар	ʎ i k a r
Лїкарова	ʎ i k a r ɔ v a
Лїляна	ʎ i ʎ a n a
М	m
Мадяр	m a ɟ a r
Мадярка	m a ɟ a r k a
Мадярска	m a ɟ a r s k a
Макайов	m a k a j ɔ w
Макайова	m a k a j ɔ v a
Макаї	m a k a j i
Македония	m a k ɛ d ɔ n i j a
Македонка	m a k ɛ d ɔ ŋ k a
Македонєц	m a k ɛ d ɔ ɲ ɛ t͡s
Малацко	m a l a t͡s k ɔ
Малацков	m a l a t͡s k ɔ w
Малацкова	m a l a t͡s k ɔ v a
Мали	m a l i
Малийов	m a l i j ɔ w
Малийова	m a l i j ɔ v a
Малия	m a l i j a
Малта	m a l t a
Малтежан	m a l t ɛ ʒ a n
Малтежанка	m a l t ɛ ʒ a ŋ k a
Марийов	m a r i j ɔ w
Мария	m a r i j a
Мароко	m a r ɔ k ɔ
Матей	m a t ɛ j
Маями	m a j a m i
Маґоч	m a ɡ ɔ t͡ʃ
Маґочов	m a ɡ ɔ t͡ʃ ɔ w
Маґочова	m a ɡ ɔ t͡ʃ ɔ v a
Медєши	m ɛ ɟ ɛ ʃ i
Медєшов	m ɛ ɟ ɛ ʃ ɔ w
Медєшова	m ɛ ɟ ɛ ʃ ɔ v a
Мексиканка	m ɛ k s i k a ŋ k a
Мексиканєц	m ɛ k s i k a ɲ ɛ t͡s
Мексико	m ɛ k s i k ɔ
Мелбурн	m ɛ l b u r n
Метохия	m ɛ t ɔ x i j a
Мешац	m ɛ ʃ a t͡s
Микита	m i k i t a
Микитов	m i k i t ɔ w
Микитова	m i k i t ɔ v a
Миклошевци	m i k l ɔ ʃ ɛ w t͡s i
Микола	m i k ɔ l a
Минск	m i n s k
Минхен	m i n x ɛ n
Мирон	m i r ɔ n
Митро	m i t r ɔ
Митровица	m i t r ɔ v i t͡s a
Михайло	m i x a j l ɔ
Михал	m i x a l
Михалько	m i x a ʎ k ɔ
Мишколц	m i ʃ k ɔ l t͡s
Молдавец	m ɔ l d a v ɛ t͡s
Молдавия	m ɔ l d a v i j a
Молдавка	m ɔ l d a w k a
Москва	m ɔ s k v a
Мудри	m u d r i
Н	n
Надь	n a c
Надьлукач	n a ɟ l u k a t͡ʃ
Надьлукачов	n a ɟ l u k a t͡ʃ ɔ w
Надьлукачова	n a ɟ l u k a t͡ʃ ɔ v a
Надьмитьо	n a ɟ m i c ɔ
Надьов	n a ɟ ɔ w
Надьова	n a ɟ ɔ v a
Надьфеї	n a ɟ f ɛ j i
Наталия	n a t a l i j a
Ниш	n i ʃ
Ниґерия	n i ɡ ɛ r i j a
Новак	n ɔ v a k
Новаков	n ɔ v a k ɔ w
Новакова	n ɔ v a k ɔ v a
Новакович	n ɔ v a k ɔ v i t͡ʃ
Новаковичов	n ɔ v a k ɔ v i t͡ʃ ɔ w
Новаковичова	n ɔ v a k ɔ v i t͡ʃ ɔ v a
Новгород	n ɔ w ɦ ɔ r ɔ t
Новосадян	n ɔ v ɔ s a ɟ a n
Новосадянка	n ɔ v ɔ s a ɟ a ŋ k a
Новта	n ɔ w t a
Новтов	n ɔ w t ɔ w
Новтова	n ɔ w t ɔ v a
Нюйорк	ɲ u j ɔ r k
Няради	ɲ a r a d i
Нярадийов	ɲ a r a d i j ɔ w
Нярадийова	ɲ a r a d i j ɔ v a
Нємец	ɲ ɛ m ɛ t͡s
Нємецка	ɲ ɛ m ɛ t͡s k a
Нємица	ɲ ɛ m i t͡s a
Нїредьгаза	ɲ i r ɛ ɟ ɦ a z a
О	ɔ
Огайо	ɔ ɦ a j ɔ
Одеса	ɔ d ɛ s a
Оджак	ɔ d͡ʒ a k
Оджачан	ɔ d͡ʒ a t͡ʃ a n
Оджачанка	ɔ d͡ʒ a t͡ʃ a ŋ k a
Оджачань	ɔ d͡ʒ a t͡ʃ a ɲ
Олеар	ɔ l ɛ a r
Олеаров	ɔ l ɛ a r ɔ w
Олеарова	ɔ l ɛ a r ɔ v a
Олена	ɔ l ɛ n a
Олеяр	ɔ l ɛ j a r
Олеяров	ɔ l ɛ j a r ɔ w
Олеярова	ɔ l ɛ j a r ɔ v a
Орахово	ɔ r a x ɔ v ɔ
Орос	ɔ r ɔ s
Оросов	ɔ r ɔ s ɔ w
Оросова	ɔ r ɔ s ɔ v a
Османлиї	ɔ s m a n l i j i
Отава	ɔ t a v a
П	p
Павле	p a w l ɛ
Павлович	p a w l ɔ v i t͡ʃ
Павловичов	p a w l ɔ v i t͡ʃ ɔ w
Павловичова	p a w l ɔ v i t͡ʃ ɔ v a
Палестина	p a l ɛ s t i n a
Палестинка	p a l ɛ s t i ŋ k a
Палестинєц	p a l ɛ s t i ɲ ɛ t͡s
Панония	p a n ɔ n i j a
Панчево	p a ɲ t͡ʃ ɛ v ɔ
Пап	p a p
Папа	p a p a
Папандриш	p a p a n d r i ʃ
Папандришов	p a p a n d r i ʃ ɔ w
Папандришова	p a p a n d r i ʃ ɔ v a
Папгаргайов	p a p ɦ a r ɦ a j ɔ w
Папгаргайова	p a p ɦ a r ɦ a j ɔ v a
Папгаргаї	p a p ɦ a r ɦ a j i
Парижан	p a r i ʒ a n
Парижанка	p a r i ʒ a ŋ k a
Париз	p a r i s
Петро	p ɛ t r ɔ
Петровци	p ɛ t r ɔ w t͡s i
Пиньвиц	p i ɲ v i t͡s
Пиньвичанка	p i ɲ v i t͡ʃ a ŋ k a
Пиньвичань	p i ɲ v i t͡ʃ a ɲ
Планчак	p l a ɲ t͡ʃ a k
Планчаков	p l a ɲ t͡ʃ a k ɔ w
Планчакова	p l a ɲ t͡ʃ a k ɔ v a
Польска	p ɔ ʎ s k a
Поляк	p ɔ ʎ a k
Полякиня	p ɔ ʎ a k i ɲ a
Портуґалия	p ɔ r t u ɡ a l i j a
Портуґалка	p ɔ r t u ɡ a l k a
Портуґалєц	p ɔ r t u ɡ a ʎ ɛ t͡s
Прага	p r a ɦ a
Праславян	p r a s l a v j a n
Прешов	p r ɛ ʃ ɔ w
Прешова	p r ɛ ʃ ɔ v a
Прешове	p r ɛ ʃ ɔ v ɛ
Приштина	p r i ʃ t i n a
Пряшов	p r j a ʃ ɔ w
Пряшова	p r j a ʃ ɔ v a
Пряшове	p r j a ʃ ɔ v ɛ
Р	r
Рак	r a k
Рамазан	r a m a z a n
Рамач	r a m a t͡ʃ
Рамачов	r a m a t͡ʃ ɔ w
Рамачова	r a m a t͡ʃ ɔ v a
Рац	r a t͡s
Рацов	r a t͡s ɔ w
Рацова	r a t͡s ɔ v a
Рацпети	r a t͡s p ɛ t i
Рацпетийов	r a t͡s p ɛ t i j ɔ w
Рацпетийова	r a t͡s p ɛ t i j ɔ v a
Рацпетия	r a t͡s p ɛ t i j a
Рим	r i m
Римян	r i m j a n
Римянка	r i m j a ŋ k a
Риєка	r i j ɛ k a
Ром	r ɔ m
Ромкиня	r ɔ m k i ɲ a
Румун	r u m u n
Румуния	r u m u n i j a
Румунка	r u m u ŋ k a
Румунє	r u m u ɲ ɛ
Рус	r u s
Русин	r u s i n
Русинка	r u s i ŋ k a
Русия	r u s i j a
Русиян	r u s i j a n
Русиянка	r u s i j a ŋ k a
Рускиня	r u s k i ɲ a
Русковски	r u s k ɔ w s k i
Русковския	r u s k ɔ w s k i j a
Русковсков	r u s k ɔ w s k ɔ w
Русковскова	r u s k ɔ w s k ɔ v a
Руснак	r u s n a k
С	s
Сабадош	s a b a d ɔ ʃ
Сакач	s a k a t͡ʃ
Сакачова	s a k a t͡ʃ ɔ v a
Саламун	s a l a m u n
Саламунов	s a l a m u n ɔ w
Саламунова	s a l a m u n ɔ v a
Салонски	s a l ɔ n s k i
Салонсков	s a l ɔ n s k ɔ w
Салонскова	s a l ɔ n s k ɔ v a
Сараєво	s a r a j ɛ v ɔ
Сенеґал	s ɛ n ɛ ɡ a l
Серб	s ɛ r p
Сербия	s ɛ r b i j a
Сербкиня	s ɛ r p k i ɲ a
Серґей	s ɛ r ɡ ɛ j
Сеґедин	s ɛ ɡ ɛ d i n
Сивернокорейка	s i v ɛ r n ɔ k ɔ r ɛ j k a
Сивернокореєц	s i v ɛ r n ɔ k ɔ r ɛ j ɛ t͡s
Сивч	s i w t͡ʃ
Сивчов	s i w t͡ʃ ɔ w
Сивчова	s i w t͡ʃ ɔ v a
Силадї	s i l a ɟ i
Силвестер	s i l v ɛ s t ɛ r
Сирийка	s i r i j k a
Сирия	s i r i j a
Сириєц	s i r i j ɛ t͡s
Скоплє	s k ɔ p ʎ ɛ
Скопє	s k ɔ p j ɛ
Скубан	s k u b a n
Скубанов	s k u b a n ɔ w
Скубанова	s k u b a n ɔ v a
Славица	s l a v i t͡s a
Славка	s l a w k a
Славко	s l a w k ɔ
Славков	s l a w k ɔ w
Славян	s l a v j a n
Славянка	s l a v j a ŋ k a
Словак	s l ɔ v a k
Словацка	s l ɔ v a t͡s k a
Словачка	s l ɔ v a t͡ʃ k a
Словения	s l ɔ v ɛ n i j a
Словенка	s l ɔ v ɛ ŋ k a
Словенєц	s l ɔ v ɛ ɲ ɛ t͡s
Слунко	s l u ŋ k ɔ
Снежана	s n ɛ ʒ a n a
София	s ɔ f i j a
Срим	s r i m
Стамбол	s t a m b ɔ l
Стеван	s t ɛ v a n
Стефан	s t ɛ f a n
Стразбур	s t r a z b u r
Стрибер	s t r i b ɛ r
Суботица	s u b ɔ t i t͡s a
Суботичан	s u b ɔ t i t͡ʃ a n
Суботичанка	s u b ɔ t i t͡ʃ a ŋ k a
Суботичань	s u b ɔ t i t͡ʃ a ɲ
Т	t
Тайланд	t a j l a n t
Тайландян	t a j l a ɲ ɟ a n
Тайландянка	t a j l a ɲ ɟ a ŋ k a
Талиян	t a l i j a n
Талиянка	t a l i j a ŋ k a
Тамаш	t a m a ʃ
Тамашов	t a m a ʃ ɔ w
Тамашова	t a m a ʃ ɔ v a
Тегеран	t ɛ ɦ ɛ r a n
Тиркайла	t i r k a j l a
Тиркайлов	t i r k a j l ɔ w
Тиркайлова	t i r k a j l ɔ v a
Тиса	t i s a
Тисов	t i s ɔ w
Томислав	t ɔ m i s l a w
Торжа	t ɔ r ʒ a
Туркиня	t u r k i ɲ a
Турок	t u r ɔ k
Турска	t u r s k a
У	u
Угорска	u ɦ ɔ r s k a
