אָ	ɔ
אויפֿצומאָרגנס	a f t͡s ʊ m ɔ ʁ ɡ n̩ s
אויפֿרײַס	ɔ j f ʀ a j s
אויפֿרײַס	ɔ ə̯ f ʀ a ɛ̯ s
אויפֿרײַס	ʊ f ʀ a ɛ̯ s
אויפֿריכטן	ɔ ɪ̯ f ʁ ɪ χ t n̩
אויפֿשטאַנד	ɔ ɪ̯ f ʃ t a n d
אויפֿשטיין	ɔ ɪ̯ f ʃ t ɛ ɪ̯ n
אויפֿשטיין	ɔ ɪ̯ f ʃ t e ɪ̯ n
אויפֿשטיין	ɔ f ʃ t a ɪ̯ n
אויפֿשטיין	ʊ f ʃ t ɛ ɪ̯ n
אויפֿשנײַדן	ɔ ɪ̯ f ʃ n a ɪ̯ d n̩
אויקען	ɔ ɪ̯ k ə n
אוירינג	ɔ ɪ̯ ʀ ɪ ŋ ɡ
אוירינג	e ɪ̯ ʀ ɪ ŋ ɡ
אוירינג	ɔ ɪ̯ ʀ ɨ ŋ ɡ
אוירינגל	ɔ ɪ̯ ʀ ɪ ŋ ɡ l̩
אוירינגל	e ɪ̯ ʀ ɪ ŋ ɡ l̩
אוירינגל	ɔ ɪ̯ ʀ ɨ ŋ ɡ l̩
אולאַמקע	ʊ ɫ a m k ə
אומאײַננעמיק	ʊ m a ɪ̯ n n e m ɪ k
אומבאַווײַבט	ʊ m b a v a ɪ̯ b t
אומבאַווײַבט	ʊ m b a v a ɪ̯ p t
אומבאַקאַנט	ʊ m b a k a n t
אומברענגען	ʊ m b ʁ ɛ ŋ ɡ ə n
אומגעזונט	ʊ m ɡ ɛ z ʊ n t
אומגערעכט	ʊ m ɡ ɛ ʀ ɛ x t
אומדערוואַרט	ʊ m d ə r v a r t
אומדריי	ʊ m d ʀ ɛ j
אומדרך־ארץ	ʊ m d ɛ r ə χ ɛ r ə t͡s
אומדרך־ארץ	ʊ m d ɛ r χ ɛ r ə t͡s
אומדרך־ארץ	ɪ m d ɛ r ə χ ɛ ɪ̯ r ə t͡s
אומדרך־ארץ	ɪ m d ɛ r χ ɛ ɪ̯ r ə t͡s
אומדרך־ארץ	ɨ m d ɛ r ə χ ɛ ɪ̯ r ə t͡s
אומדרך־ארץ	ɨ m d ɛ r χ ɛ ɪ̯ r ə t͡s
אומדרך־ארצדיק	ʊ m d ɛ r ə χ ɛ r ə t͡s d ɪ k
אומדרך־ארצדיק	ʊ m d ɛ r χ ɛ r ə t͡s d ɪ k
אומדרך־ארצדיק	ɪ m d ɛ r ə χ ɛ ɪ̯ r ə t͡s d ɪ k
אומדרך־ארצדיק	ɪ m d ɛ r χ ɛ ɪ̯ r ə t͡s d ɪ k
אומדרך־ארצדיק	ɨ m d ɛ r ə χ ɛ ɪ̯ r ə t͡s d ɨ k
אומדרך־ארצדיק	ɨ m d ɛ r χ ɛ ɪ̯ r ə t͡s d ɨ k
אומה	ʊ m ə
אומה	ɪ m ə
אומה	ɨ m ə
אומוויסנדיג	ʊ m v i s n d i k
אומוועג	ʊ m v ɛ ɡ
אומזיניק	ʊ m z ɪ n ɪ k
אומזיסט	ʊ m z ɪ s t
אומזעיִק	ʊ m z ɛ ɪ k
אומזעיִק	ɪ m z ɛ ɪ̯ ɪ k
אומזעיִק	ɨ m z ɛ ɪ̯ ɪ k
אומזעעוודיק	ʊ m z ɛ ə v d ɪ k
אומזעעוודיק	ɪ m z ɛ ɪ̯ ə v d ɪ k
אומזעעוודיק	ɨ m z ɛ ɪ̯ ə v d ɪ k
אומנישט	ʊ m n ɪ ʃ t
אומעט	ʊ m ə t
אומפֿאַרבעסערלעך	ʊ m f a r b ɛ s ə r ɫ ə χ
אומפּינקטלעך	ʊ m p ɪ ŋ k t ɫ ə χ
אומפֿרײַנדלעך	ʊ m f ʁ a ɪ̯ n d ɫ ə χ
אומפֿרײַנדלעכע	ʊ m f ʁ a ɪ̯ n d ɫ ə χ ə
אומצוויייִק	ʊ m t͡s v ɛ ɪ̯ ɪ k
אומצוויייִק	ʊ m t͡s v e ɪ̯ ɪ k
אומצוויייִק	ɪ m t͡s v a ɪ̯ ɪ k
אומצוויייִק	ɨ m t͡s v ɛ ɪ̯ ɪ k
אומקום	ʊ m k ʊ m
אומקומעניש	ʊ m k ʊ m ə n ɪ ʃ
אומקערן	ʊ m k ɛ ʁ n̩
אונדזער	ʊ n d͡z ə ʁ
אונדזערע	ʊ n d͡z ə ʁ ə
אונטן	ʊ n t n̩
אונטערדריקונג	ʊ n t ə r d r ɪ k ʊ ŋ ɡ
אונטערדריקער	ʊ n t ə ʁ d ʁ ɪ k ə ʁ
אונטערהאַנדלען	ʊ n t ə ʁ h a n d ɫ ə n
אונטערהייבער	ʊ n t ə ʁ h ɛ ɪ̯ b ə ʁ
אונטערהינקען	ʊ n t ə ʁ h ɪ ŋ k ə n
אונטערהעלפֿן	ʊ n t ə ʁ h ɛ l f n̩
אונטערוועש	ʊ n t ə ʁ v ɛ ʃ
אונטערן	u n t ə ʁ n
אונטערפֿאָרן	ʊ n t ə r f ɔ r n̩
אונטערצינדן	ʊ n t ə ʁ t͡s ɪ n d n̩
אונטערשטעלן	ʊ n t ə ʁ ʃ t ɛ ɫ n̩
אוניווערסיטעט	ʊ n ɪ v ɛ r s ɪ t ɛ t
אונץ	ʊ n t͡s
אופֿן	ɔ ɪ̯ f n̩
אופֿן	e ɪ̯ f n̩
אוקראַיִניש	ʊ k r a j ɪ n ɪ ʃ
אוקראַיִניש	ʊ k r a ɪ n ɪ ʃ
אוקראַיִנע	ʊ k r a j ɪ n ɜ
אוקראַיִנע	ʊ k r a ɪ n ɜ
אוראײַנוווינער	ʊ r a ɪ̯ n v ɔ ɪ̯ n ə r
אוראַניום	ʊ ʁ a n j ʊ m
אורטייל	ʊ ʁ t ɛ ɪ̯ l
אורטייל	ʊ ʁ t e ɪ̯ l
אורטייל	ɪ ʁ t a ɪ̯ l
אורטייל	ɨ ʁ t ɛ ɪ̯ l
אורטיילן	ʊ ʁ t ɛ ɪ̯ l n̩
אורטיילן	ʊ ʁ t e ɪ̯ l n̩
אורטיילן	ɪ ʁ t a ɪ̯ l n̩
אורטיילן	ɨ ʁ t ɛ ɪ̯ l n̩
אורין	ʊ ʁ ɪ n
אורינירן	ʊ ʁ ɪ n ɪ ʁ n̩
אות	ɔ s
אותיות	ɔ ɪ̯ s j ə s
אַז	ʔ a z
אַז	ʔ ä z
אַז	ʔ æ z
אַזאַ	a z a
אַזאָט	a z ɔ t
אַזאַן	a z a n
אַזוי	a z ɔ ɪ̯
אַזוי	a z e ɪ̯
אַזוי	ɔ z ɔ ɪ̯
אַזוי	a z ɔ u̯
אַזיאַטיש	a z j a t ɪ ʃ
אַזעלכע	a z ɛ ɫ χ ə
אָזשעניצע	ɔ ʒ ə n ɪ t s ə
אָזשענע	ɔ ʒ ə n ə
אַחוץ	a χ ʊ t͡s
אָט	ɔ t
אָטכאַיען	ɔ t χ a ɪ̯ ə n
אַטלאַס	a t l a s
אַטמאָספֿער	a t m ɔ s f ɛ ʁ
אַטריבוט	a t r ɪ b ʊ t
־אַטש	a t͡ʃ
איבופּראָפֿען	i b ʊ p r ɔ f ɛ n
איבן	ɪ b n̩
איבן	iː b n̩
איבן	i b n̩
איבעראַיאָר	ɪ b ə r a j ɔ r
איבעראַיאָר	ɪ b ə r a j uː r
איבעראַיאָר	ɪ b ə r a j u r
איבעראַיאָריק	ɪ b ə r a j ɔ r ɪ k
איבעראַיאָריק	ɪ b ə r a j uː r ɪ k
איבעראַיאָריק	ɪ b ə r a j u r ɪ k
איבעראַכטאָג	ɪ b ə ʁ a χ t ɔ ɡ
איבעראַכטאָג	ɪ b ə ʁ a χ t uː ɡ
איבעראַכטאָג	ɪ b ə ʁ a χ t u ɡ
איבעראַל	i b ə ʁ a ɫ
איבערהאַקן	i b ə ʁ h a k ŋ̩
איבערווייטיקן	ɪ b ə r v e ɪ̯ t ɪ k n̩
איבערזעצן	i b ə ʁ z ɛ t͡s n̩
איבערלייענען	ɪ b ə ʁ l ɛ ɪ̯ ə n ə n
איבערלייענען	ɪ b ə ʁ l e ɪ̯ ə n ə n
איבערלייענען	ɪ b ə ʁ l a ɪ̯ ə n ə n
איבערלעבן	ɪ b ɜ r l ɛ b n̩
איבערלעבן	iː b ɜ r l e ɪ̯ b n̩
איבערצײַגונג	ɪ b ə ʁ t͡s a ɪ̯ ɡ ʊ ŋ ɡ
איבערצײַגונג	iː b ə ʁ t͡s aː ɡ ɪ ŋ ɡ
איבערצײַגונג	i b ə ʁ t͡s a ɡ ɨ ŋ ɡ
איבערצײַגן	ɪ b ə ʁ t͡s a ɪ̯ ɡ ŋ̩
איבערציִען	ɪ b ə ʁ t͡s ɪ ə n
איבערקומען	ɪ b ə r k ʊ m ə n
איבערקומען	ɪ b ə r k ɪ m ə n
איבערקומען	ɨ b ə r k ɨ m ə n
איבערקוקן	ɪ b ə ʁ k ʊ k n̩
איבערקערן	i b ə ʁ k ɛ ʁ n̩
איבערשעה	ɪ b ə ʁ ʃ ɔ
איבערשעה	ɪ b ə ʁ ʃ uː
איבערשעה	ɪ b ə ʁ ʃ u
איבערשפּרײַזן	i b ə ʁ ʃ p ʁ a ɪ̯ z n̩
אידיאָט	ɪ d j ɔ t
אידעע	ɪ d ɛ ə
איוויע	ɪ v j ə
איוויע	iː v j ə
איז	i z
איז	ɪ z
איזאָליר	ɪ z ɔ l i r
איזאָלירונג	ɪ z ɔ l i r ʊ ŋ ɡ
איזאָלירן	ɪ z ɔ l i r n̩
איזשאָריש	ɪ ʒ ɔ ʁ ɪ ʃ
איזשאָרסק	ɪ ʒ ɔ ʁ s k
איטאַליע	ɪ t a ʎ j ə
איטלעך	ɪ t ɫ ə χ
איטריום	ɪ t ʁ j ʊ m
איי	ɛ ɪ̯
אייגן	ɛ ɪ̯ ɡ n̩
אייגנטום	ɛ ɪ ɡ n̩ t ʊ m
אייגננוץ	ɛ ɪ̯ ɡ n̩ n ʊ t͡s
אייגננוץ	e ɪ̯ ɡ n̩ n ʊ t͡s
אייגננוץ	a ɪ̯ ɡ n̩ n ɪ t͡s
אייגננוץ	ɛ ɪ̯ ɡ n̩ n ɪ t͡s
איידל	ɛ ɪ̯ d ɫ̩
איידל	e ɪ̯ d ɫ̩
איידעם	ɛ ɪ̯ d ə m
אײַז	a ɪ̯ z
אײַז	aː z
אײַזהאָקי	a ɪ̯ z h ɔ k ɪ
אײַזהאָקיי	a ɪ̯ z h ɔ k ɛ ɪ̯
אייזל	ɛ ɪ̯ z l̩
אײַזן	a ɪ̯ z n̩
אײַזנבאַן	a ɪ̯ z n̩ b a n
אײַזערן	a ɪ̯ z ɜ r n̩
אײַזקרעם	a ɪ̯ z k ʁ ɛ m
אײַטער	a j t ɛ ʀ
אײַך	a ɪ̯ χ
אײַך	aː χ
אייל	ɛ ɪ̯ ɫ
אײַל	a ɪ̯ ɫ
אײַל	a ɪ̯ ɫ
איילבערט	ɛ ɪ̯ ɫ b ə ʁ t
איילבערט־אייל	ɛ ɪ̯ ɫ b ə ʁ t ɛ ɪ̯ ɫ
אײַלן	a ɪ̯ ɫ n̩
אײַלן	a ɪ̯ ɫ n̩
אײַלע	a ɪ̯ ɫ ə
אײַן	a ɪ̯ n
אײַנבירגערונג	a ɪ̯ n b ɪ r ɡ ə r ʊ ŋ
אײַנברען	a ɪ̯ n b r ɛ n
אײַנגעוויינען	a ɪ̯ n ɡ ə v ɛ ɪ̯ n ə n
אײַנגעמאַכטס	a ɪ̯ n ɡ ə m a χ t͡s
אײַנגעעקשנט	a ɪ̯ n ɡ ə a k ʃ n̩ t
אײַנוווינען	a ɪ̯ n v ɔ ɪ̯ n ə n
אײַנוווינער	a ɪ̯ n v ɔ ɪ̯ n ə r
איינזאַם	ɛ ɪ n z a m
איינטאָגפֿליג	ɛ ɪ̯ n t ɔ ɡ f ʎ ɪ ɡ
אײַנטענהן	a ɪ̯ n t a ɪ̯ n ə n
אײַנטענהן	aː n t aː n ə n
אײַנטענהן	a n t a n ə n
אייניקל	ɛ ɪ̯ n ɪ k ɫ̩
אייניקלעך	ɛ ɪ̯ n ə k ɫ ə χ
אײַנמאַכן	a ɪ̯ n m a χ n̩
איינס	ɛ ɪ̯ n s
איינס	aː n s
איינס	e ɪ̯ n s
איינס	a ɪ̯ n s
איינפֿאַך	ɛ ɪ̯ n f a χ
אײַנפֿלאַנץ	a ɪ̯ n f l a n t͡s
אײַנפֿלאַנץ	aː n f l a n t͡s
אײַנפֿלאַנץ	a n f l ɔ n t͡s
אײַנפּלאַצירן	a ɪ̯ n p l a t͡s ɪ r n̩
אײַנפּלאַצירן	aː n p l a t͡s ɪ r n̩
אײַנפֿלוס	a j n f l ʊ s
אײַנקויפֿן	a ɪ̯ n k ɔ ɪ̯ f n̩
אײַנשרײַבן	a ɪ̯ n ʃ ʁ a ɪ̯ b n̩
אייעלע	ɛ ɪ̯ ə ɫ ə
אײַער	a ɪ̯ ə ʁ
אייערלויף	ɛ j ə r l ɔ ɪ̯ f
אייערנעכטן	ɛ ɪ̯ ə ʁ n ɛ χ t n̩
אייפֿערזוכט	e ɪ̯ f ə r z ʊ χ t
אייפֿערזיכטיק	e ɪ̯ f ə r z ɪ χ t ɪ k
אייר	ɪ j ə ʁ
אייראָפּע	ɛ ɪ̯ ʁ ɔ p ə
אייראָפּע	e ɪ̯ ʁ ɔ p ə
אייראָפּע	a ɪ̯ ʁ ɔ p ə
אייראָפּעיִש	ɛ ɪ̯ ʁ ɔ p ɛ ɪ ʃ
איך	ɪ χ
איכ׳ל	ɪ χ ɫ̩
אים	ɪ m
אימייל	ɪ m ɛ ɪ̯ l
אימייל	ɪ m ɛ ɪ̯ l
