ԱԱ	ɑ ɑ
Ախալցխա	ɑ χ ɑ l t͡s ə χ ɑ
Ախալքալաք	ɑ χ ɑ l k ɑ l ɑ k
Ախալքալաքի	ɑ χ ɑ l k ɑ l ɑ k i
Ախուրյան	ɑ χ u ɾ j ɑ n
Ահարոն	ɑ h ɑ ɾ o n
Ահարոնյան	ɑ h ɑ ɾ o n j ɑ n
Ահրիման	ɑ h ɾ i m ɑ n
Աղաթոն	ɑ ʁ ɑ t o n
Աղայան	ɑ ʁ ɑ j ɑ n
Աղաջանյան	ɑ ʁ ɑ t͡ʃ ɑ n j ɑ n
Աղասի	ɑ ʁ ɑ s i
Աղաֆոն	ɑ ʁ ɑ f o n
Աղդամ	ɑ χ t ɑ m
Աղձնիք	ɑ χ t͡s n i k
Աղջայան	ɑ χ t͡ʃ ɑ j ɑ n
Աղվան	ɑ ʁ v ɑ n
Աղվանք	ɑ ʁ v ɑ n k
Աճառյան	ɑ d͡ʒ ɑ r j ɑ n
Աճեմյան	ɑ d͡ʒ e m j ɑ n
Ամազոն	ɑ m ɑ z o n
Ամալյա	ɑ m ɑ l j ɑ
Ամանոս	ɑ m ɑ n o s
Ամանոր	ɑ m ɑ n o ɾ
Ամբակում	ɑ m p ɑ ɡ u m
Ամերիկա	ɑ m e ɾ i ɡ ɑ
Ամերիկայի	ɑ m e ɾ i ɡ ɑ j i
Ամիրան	ɑ m i ɾ ɑ n
Ամիրանյան	ɑ m i ɾ ɑ n j ɑ n
Ամիրխանյան	ɑ m i ɾ χ ɑ n j ɑ n
Ամիրյան	ɑ m i ɾ j ɑ n
Ամման	ɑ m m ɑ n
Ամուդարյա	ɑ m u t ɑ ɾ j ɑ
Ամուր	ɑ m u ɾ
Ամուրի	ɑ m u ɾ i
Ամստերդամ	ɑ m s d e ɾ t ɑ m
Այծեղջյուր	ɑ j d͡z e χ t͡ʃ ʏ ɾ
Այծեմնիկ	ɑ j d͡z e m n i ɡ
Այուբյան	ɑ j u p j ɑ n
Այսրկովկաս	ɑ j s ə ɾ ɡ o f ɡ ɑ s
Այվազյան	ɑ j v ɑ z j ɑ n
Այրարատ	ɑ j ɾ ɑ ɾ ɑ d
Անադիր	ɑ n ɑ t i ɾ
Անակ	ɑ n ɑ ɡ
Անակրեոն	ɑ n ɑ ɡ ɾ e o n
Անահիտ	ɑ n ɑ h i d
Անանիա	ɑ n ɑ n i ɑ
Անաստաս	ɑ n ɑ s d ɑ s
Անատոլիա	ɑ n ɑ d o l i ɑ
Անաքսագորաս	ɑ n ɑ k s ɑ k o ɾ ɑ s
Անաքսիմանդրոս	ɑ n ɑ k s i m ɑ n t ɾ o s
Անաքսիմենես	ɑ n ɑ k s i m e n e s
Անգլիա	ɑ n k l i j ɑ
Անգմոկիո	ɑ n k m o ɡ i o
Անդեր	ɑ n t e ɾ
Անդորա	ɑ n t o ɾ ɑ
Անդորրա	ɑ n t o ɾ ɾ ɑ
Անդրանիկ	ɑ n t ɾ ɑ n i ɡ
Անդրբայկալ	ɑ n t ə ɾ p ɑ j ɡ ɑ l
Անդրեաս	ɑ n t ɾ e ɑ s
Անդրեասյան	ɑ n t ɾ e ɑ s j ɑ n
Անդրիասյան	ɑ n t ɾ i j ɑ s j ɑ n
Անդրկովկաս	ɑ n t ə ɾ ɡ o f ɡ ɑ s
Անդրհորդանան	ɑ n t ə ɾ h o ɾ t ɑ n ɑ n
Անդրոմաքե	ɑ n t ɾ o m ɑ k e
Անթառամ	ɑ n t ɑ r ɑ m
Անժելա	ɑ n ʒ e l ɑ
Անժու	ɑ n ʒ u
Անի	ɑ n i
Անկարա	ɑ n ɡ ɑ ɾ ɑ
Անկոս	ɑ n ɡ o s
Աննա	ɑ n n ɑ
Անուշ	ɑ n u ʃ
Անուշավան	ɑ n u ʃ ɑ v ɑ n
Անտանանարիվու	ɑ n d ɑ n ɑ n ɑ ɾ i v u
Անտարկտիկա	ɑ n d ɑ ɾ ɡ d i ɡ ɑ
Անտիգոնե	ɑ n d i k o n e
Անտիոք	ɑ n d i o k
Անտիոքոս	ɑ n d i o k o s
Անտիսթենես	ɑ n d i s t e n e s
Անտիտավրոս	ɑ n d i d ɑ v ɾ o s
Անտոնիոս	ɑ n d o n j o s
Աշգաբատ	ɑ ʃ k ɑ p ɑ d
Աշխաբադ	ɑ ʃ χ ɑ p ɑ t
Աշխեն	ɑ ʃ χ e n
Աշոտ	ɑ ʃ o d
Աշոտյան	ɑ ʃ o d j ɑ n
Աշտարակ	ɑ ʃ d ɑ ɾ ɑ ɡ
Աոմին	ɑ o m i n
Աուլիս	ɑ u l i s
Ապամեա	ɑ b ɑ m e ɑ
Ապարան	ɑ b ɑ ɾ ɑ n
Ապենիններ	ɑ b e n i n n e ɾ
Ապիրատ	ɑ b i ɾ ɑ d
Ապոլլոն	ɑ b o l o n
Ապոլոն	ɑ b o l o n
Ապոլոնիա	ɑ b o l o n i ɑ
Ապուլիա	ɑ b u l i ɑ
Ապպիանոս	ɑ b b i j ɑ n o s
Ապպիոս	ɑ b b i j o s
Ապրես	ɑ b ɾ e s
Ապրեսյան	ɑ b ɾ e s j ɑ n
Աջարիա	ɑ t͡ʃ ɑ ɾ i ɑ
Առաքել	ɑ r ɑ k e l
Առաքելյան	ɑ r ɑ k e l j ɑ n
Առինջ	ɑ r i n t͡ʃ
Առյուծ	ɑ r ʏ d͡z
Առնո	ɑ r n o
Առուշանյան	ɑ r u ʃ ɑ n j ɑ n
Առտիալ	ɑ r d i ɑ l
Ասատուր	ɑ s ɑ d u ɾ
Ասատուրյան	ɑ s ɑ d u ɾ j ɑ n
Ասատրյան	ɑ s ɑ d ə ɾ j ɑ n
Ասիա	ɑ s i ɑ
Ասլանճյան	ɑ s l ɑ n d͡ʒ j ɑ n
Ասլանյան	ɑ s l ɑ n j ɑ n
Ասկալոն	ɑ s ɡ ɑ l o n
Ասկանիոս	ɑ s ɡ ɑ n i j o s
Ասմարա	ɑ s m ɑ ɾ ɑ
Ասմերա	ɑ s m e ɾ ɑ
Ասորեստան	ɑ s o ɾ e s d ɑ n
Ասորիք	ɑ s o ɾ i k
Ասպահան	ɑ s b ɑ h ɑ n
Ասպետ	ɑ s b e d
Ասսամ	ɑ s s ɑ m
Աստանա	ɑ s d ɑ n ɑ
Աստղիկ	ɑ s d ʁ i ɡ
Աստվածատուր	ɑ s d v ɑ d͡z ɑ d u ɾ
Աստրախան	ɑ s d ɾ ɑ χ ɑ n
Ասքանազ	ɑ s k ɑ n ɑ z
Ավագ	ɑ v ɑ k
Ավագյան	ɑ v ɑ k j ɑ n
Ավանիսյան	ɑ v ɑ n i s j ɑ n
Ավգերյան	ɑ f k e ɾ j ɑ n
Ավգիաս	ɑ f k i j ɑ s
Ավգուստինոս	ɑ f k u s d i n o s
Ավետ	ɑ v e d
Ավետիս	ɑ v e d i s
Ավետիսյան	ɑ v e d i s j ɑ n
Ավետիք	ɑ v e d i k
Ավետյան	ɑ v e d j ɑ n
Ավինյոն	ɑ v i n j o n
Ավիցեննա	ɑ v i t͡s e n n ɑ
Ավլիս	ɑ v l i s
Ավոգադրո	ɑ v o k ɑ t ɾ o
Ավստրալիա	ɑ f s d ɾ ɑ l i ɑ
Ավստրիա	ɑ f s d ɾ i ɑ
Ատալիա	ɑ d ɑ l i ɑ
Ատիլիոս	ɑ d i l i j o s
Ատոմ	ɑ d o m
Ատրներսեհ	ɑ d ə ɾ n e ɾ s e h
Ատրպատական	ɑ d ə ɾ b ɑ d ɑ ɡ ɑ n
Արա	ɑ ɾ ɑ
Արաբաջյան	ɑ ɾ ɑ p ɑ t͡ʃ j ɑ n
Արաբիա	ɑ ɾ ɑ p i ɑ
Արագած	ɑ ɾ ɑ k ɑ d͡z
Արագածոտն	ɑ ɾ ɑ k ɑ d͡z o d ə n
Արախա	ɑ ɾ ɑ χ ɑ
Արածանի	ɑ ɾ ɑ d͡z ɑ n i
Արամ	ɑ ɾ ɑ m
Արամազդ	ɑ ɾ ɑ m ɑ s t
Արամայիս	ɑ ɾ ɑ m ɑ j i s
Արամանյակ	ɑ ɾ ɑ m ɑ n j ɑ ɡ
Արամյան	ɑ ɾ ɑ m j ɑ n
Արայիկ	ɑ ɾ ɑ j i ɡ
Արապաճյան	ɑ ɾ ɑ b ɑ d͡ʒ j ɑ n
Արարատ	ɑ ɾ ɑ ɾ ɑ d
Արաքս	ɑ ɾ ɑ k s
Արաքսի	ɑ ɾ ɑ k s i
Արբելա	ɑ ɾ p e l ɑ
Արգամ	ɑ ɾ k ɑ m
Արգավանդ	ɑ ɾ k ɑ v ɑ n t
Արգենտինա	ɑ ɾ k e n d i n ɑ
Արգիշտի	ɑ ɾ k i ʃ d i
Արգոլիս	ɑ ɾ k o l i s
Արե	ɑ ɾ e
Արեգ	ɑ ɾ e k
Արեգակ	ɑ ɾ e k ɑ ɡ
Արեկիպա	ɑ ɾ e ɡ i b ɑ
Արես	ɑ ɾ e s
Արզումանյան	ɑ ɾ z u m ɑ n j ɑ n
Արթիկ	ɑ ɾ t i ɡ
Արթունյան	ɑ ɾ t u n j ɑ n
Արթուր	ɑ ɾ t u ɾ
Արժանթին	ɑ ɾ ʒ ɑ n t i n
Արիոս	ɑ ɾ i j o s
Արիստակես	ɑ ɾ i s d ɑ ɡ e s
Արիստակեսյան	ɑ ɾ i s d ɑ ɡ e s j ɑ n
Արիստոտել	ɑ ɾ i s d o d e l
Արիստոփանես	ɑ ɾ i s d o p ɑ n e s
Արիստոֆան	ɑ ɾ i s d o f ɑ n
Արիստոֆանես	ɑ ɾ i s d o f ɑ n e s
Արխանգելսկ	ɑ ɾ χ ɑ n k e l s ɡ
Արծրուն	ɑ ɾ d͡z ɾ u n
Արծրունի	ɑ ɾ d͡z ɾ u n i
Արկադի	ɑ ɾ ɡ ɑ t i
Արկադիոս	ɑ ɾ ɡ ɑ t i j o s
Արման	ɑ ɾ m ɑ n
Արմավիր	ɑ ɾ m ɑ v i ɾ
Արմեն	ɑ ɾ m e n
Արմենակ	ɑ ɾ m e n ɑ ɡ
Արմենուհի	ɑ ɾ m e n u h i
Արմին	ɑ ɾ m i n
Արմինե	ɑ ɾ m i n e
Արշալույս	ɑ ɾ ʃ ɑ l u j s
Արշակ	ɑ ɾ ʃ ɑ ɡ
Արշակյան	ɑ ɾ ʃ ɑ ɡ j ɑ n
Արշակունի	ɑ ɾ ʃ ɑ ɡ u n i
Արշակունյաց	ɑ ɾ ʃ ɑ ɡ u n j ɑ t͡s
Արշամ	ɑ ɾ ʃ ɑ m
Արշավիր	ɑ ɾ ʃ ɑ v i ɾ
Արո	ɑ ɾ o
Արոնյան	ɑ ɾ o n j ɑ n
Արուսյակ	ɑ ɾ u s j ɑ ɡ
Արսեն	ɑ ɾ s e n
Արսենի	ɑ ɾ s e n i
Արսենյան	ɑ ɾ s e n j ɑ n
Արսինե	ɑ ɾ s i n e
Արսլանճյան	ɑ ɾ s l ɑ n d͡ʒ j ɑ n
Արսլանյան	ɑ ɾ s l ɑ n j ɑ n
Արտակ	ɑ ɾ d ɑ ɡ
Արտաշատ	ɑ ɾ d ɑ ʃ ɑ d
Արտաշեն	ɑ ɾ d ɑ ʃ e n
Արտաշես	ɑ ɾ d ɑ ʃ e s
Արտաշիր	ɑ ɾ d ɑ ʃ i ɾ
Արտավազդ	ɑ ɾ d ɑ v ɑ s t
Արտավան	ɑ ɾ d ɑ v ɑ n
Արտեմ	ɑ ɾ d e m
Արտեմիս	ɑ ɾ d e m i s
Արտյոմ	ɑ ɾ d j o m
Արտուքյան	ɑ ɾ d u k j ɑ n
Արցախ	ɑ ɾ t͡s ɑ χ
Արքիլոքոս	ɑ ɾ k i l o k o s
Արքիմեդ	ɑ ɾ k i m e t
Արև	ɑ ɾ e v
Արևելք	ɑ ɾ e v e l k
Արևմուտք	ɑ ɾ e v m u d k
Ափրիկե	ɑ p ɾ i ɡ e
Ափրոդիտե	ɑ p ɾ o t i d e
Աքայա	ɑ k ɑ j ɑ
Աքեմենյան	ɑ k e m e n j ɑ n
Աքիլես	ɑ k i l e s
Աքիլլես	ɑ k i l l e s
Աքքա	ɑ k k ɑ
Աֆանասի	ɑ f ɑ n ɑ s i
Աֆղանստան	ɑ f ʁ ɑ n ə s d ɑ n
Աֆրիկա	ɑ f ɾ i ɡ ɑ
Աֆրոդիտե	ɑ f ɾ o t i d e
Բ	p ə
ԲԴԽ	p ə t ə χ ə
ԲՀԿ	p ə h ə ɡ ə
ԲՈՒՀ	p u h
Բաալբեկ	p ɑ ɑ l p e ɡ
Բաբախանյան	p ɑ p ɑ χ ɑ n j ɑ n
Բաբայան	p ɑ p ɑ j ɑ n
Բաբաջանյան	p ɑ p ɑ t͡ʃ ɑ n j ɑ n
Բաբելոն	p ɑ p e l o n
Բաբլոյան	p ɑ p l o j ɑ n
Բաբկեն	p ɑ p ɡ e n
Բագարատ	p ɑ k ɑ ɾ ɑ d
Բագրատ	p ɑ k ɾ ɑ d
Բագրատյան	p ɑ k ɾ ɑ d j ɑ n
Բագրատունի	p ɑ k ɾ ɑ d u n i
Բագրատունյաց	p ɑ k ɾ ɑ d u n j ɑ t͡s
Բադալյան	p ɑ t ɑ l j ɑ n
Բադարա	p ɑ t ɑ ɾ ɑ
Բադրուպանյան	p ɑ t ɾ u b ɑ n j ɑ n
Բազարդյուզյու	p ɑ z ɑ ɾ t ʏ z ʏ
Բազոյան	p ɑ z o j ɑ n
Բաթու	p ɑ t u
Բաթում	p ɑ t u m
Բաթումի	p ɑ t u m i
Բալայան	p ɑ l ɑ j ɑ n
Բալկաններ	p ɑ l ɡ ɑ n n e ɾ
Բալջյան	p ɑ l t͡ʃ j ɑ n
Բախչիսարայ	p ɑ χ t͡ʃ i s ɑ ɾ ɑ j
Բակալյան	p ɑ ɡ ɑ l j ɑ n
Բակո	p ɑ ɡ o
Բակունց	p ɑ ɡ u n t͡s
Բակուր	p ɑ ɡ u ɾ
Բակքիլիդես	p ɑ k k i l i t e s
Բահամներ	p ɑ h ɑ m n e ɾ
Բահրեյն	p ɑ h ɾ e j n
Բաղդադ	p ɑ χ t ɑ t
Բաղդասար	p ɑ χ t ɑ s ɑ ɾ
Բաղդասարյան	p ɑ χ t ɑ s ɑ ɾ j ɑ n
Բաղրամյան	p ɑ ʁ ɾ ɑ m j ɑ n
Բամակո	p ɑ m ɑ ɡ o
Բայբարս	p ɑ j p ɑ ɾ s
Բայկալ	p ɑ j ɡ ɑ l
Բանգալուր	p ɑ n k ɑ l u ɾ
Բանգլադեշ	p ɑ n k l ɑ t e ʃ
Բանդունգ	p ɑ n t u n k
Բանջուլ	p ɑ n t͡ʃ u l
Բառնաբաս	p ɑ r n ɑ p ɑ s
Բառնաուլ	p ɑ r n ɑ u l
Բասմաջյան	p ɑ s m ɑ t͡ʃ j ɑ n
Բավարիա	p ɑ v ɑ ɾ i ɑ
Բատ	p ɑ d
Բարաք	p ɑ ɾ ɑ k
Բարբադոս	p ɑ ɾ p ɑ t o s
Բարդախչյան	p ɑ ɾ t ɑ χ t͡ʃ j ɑ n
Բարդակչյան	p ɑ ɾ t ɑ k t͡ʃ j ɑ n
Բարդուղիմեոս	p ɑ ɾ t u ʁ i m e o s
Բարդույթ	p ɑ ɾ t u j t
Բարխուդար	p ɑ ɾ χ u t ɑ ɾ
Բարխուդարյան	p ɑ ɾ χ u t ɑ ɾ j ɑ n
Բարութչյան	p ɑ ɾ u t t͡ʃ j ɑ n
Բարսեղ	p ɑ ɾ s e ʁ
Բարսեղյան	p ɑ ɾ s e ʁ j ɑ n
Բաքոս	p ɑ k o s
Բաքու	p ɑ k u
Բեգլարյան	p e k l ɑ ɾ j ɑ n
Բեդոկ	p e t o ɡ
Բեթղեհեմ	p e t χ e h e m
Բել	p e l
Բելառուս	p e l ɑ r u s
Բելգիա	p e l k i ɑ
Բելգրադ	p e l k ɾ ɑ t
Բելիզ	p e l i z
Բելիսարիոս	p e l i s ɑ ɾ i o s
Բելմոպան	p e l m o b ɑ n
Բելուջստան	p e l u t͡ʃ ə s d ɑ n
Բեկյան	p e ɡ j ɑ n
Բեհեղզեբուղ	p e h e ʁ z e p u ʁ
Բենգալուրու	p e n k ɑ l u ɾ u
Բենիամին	p e n j ɑ m i n
Բենիլյուքս	p e n i l ʏ k s
Բենին	p e n i n
Բեովտիա	p e o v d i ɑ
Բեռն	p e r n
Բեսարաբիա	p e s ɑ ɾ ɑ p i ɑ
Բերբերյան	p e ɾ p e ɾ j ɑ n
Բիբլոս	p i p l o s
Բիբուլոս	p i p u l o s
Բիհար	p i h ɑ ɾ
Բիշան	p i ʃ ɑ n
Բիշկեկ	p i ʃ ɡ e ɡ
Բիշքեկ	p i ʃ k e ɡ
Բիչախչյան	p i t͡ʃ ɑ χ t͡ʃ j ɑ n
Բիրմա	p i ɾ m ɑ
Բիրմինգամ	p i ɾ m i n k ɑ m
Բիրմինգհեմ	p i ɾ m i n k h e m
Բիրմինհամ	p i ɾ m i n h ɑ m
Բիրոբիջան	p i ɾ o p i t͡ʃ ɑ n
Բլագովեշչենսկ	p l ɑ k o v e ʃ t͡ʃ e n s ɡ
Բյուզանդիա	p ʏ z ɑ n t i ɑ
Բյուզանդիոն	p ʏ z ɑ n t j o n
Բյութանիա	p ʏ t ɑ n i ɑ
Բոգոտա	p o k o d ɑ
Բոզաջյան	p o z ɑ t͡ʃ j ɑ n
Բոլոնիա	p o l o n i ɑ
Բոհեմիա	p o h e m i ɑ
Բոհեմունդ	p o h e m u n t
Բոյաջյան	p o j ɑ t͡ʃ j ɑ n
Բոսնիա	p o s n i ɑ
Բոսֆոր	p o s f o ɾ
Բոտոշան	p o d o ʃ ɑ n
Բորանյան	p o ɾ ɑ n j ɑ n
Բորժոմ	p o ɾ ʒ o m
Բորժոմի	p o ɾ ʒ o m i
Բուդապեշտ	p u t ɑ b e ʃ d
Բուդաքյան	p u t ɑ k j ɑ n
Բութան	p u t ɑ n
Բութանիա	p u t ɑ n i ɑ
Բուժումբուրա	p u ʒ u m p u ɾ ɑ
Բուլղարիա	p u l ʁ ɑ ɾ i ɑ
Բուխարա	p u χ ɑ ɾ ɑ
Բուխարեստ	p u χ ɑ ɾ e s d
Բուրգունդիա	p u ɾ k u n t i ɑ
Բրահմա	p ɾ ɑ h m ɑ
Բրատիսլավա	p ɾ ɑ d i s l ɑ v ɑ
Բրեժնև	p ə ɾ e ʒ n e v
Բրեժնև	p ɾ e ʒ n e v
Բրետան	p ɾ e d ɑ n
Բրիտանիա	p ɾ i d ɑ n i ɑ
Բրյանսկ	p ɾ j ɑ n s ɡ
Բրյուսել	p ɾ ʏ s e l
Բրունեյ	p ɾ u n e j
Բրուտյան	p ɾ u d j ɑ n
Գ	k ə
Գաբիկյան	k ɑ p i ɡ j ɑ n
Գաբորոնե	k ɑ p o ɾ o n e
Գաբրիել	k ɑ p ɾ i j e l
Գագ	k ɑ k
Գագիկ	k ɑ k i ɡ
Գագո	k ɑ k o
Գագուլ	k ɑ k u l
Գագուլիկ	k ɑ k u l i ɡ
Գագրա	k ɑ k ɾ ɑ
Գադես	k ɑ t e s
Գազա	k ɑ z ɑ
Գազայի	k ɑ z ɑ j i
Գազավոն	k ɑ z ɑ v o n
Գալեմճյան	k ɑ l e m d͡ʒ j ɑ n
Գալեն	k ɑ l e n
Գալիլեա	k ɑ l i l e j ɑ
Գալիլեյ	k ɑ l i l e j
Գալիլիա	k ɑ l i l i ɑ
Գալիցիա	k ɑ l i t͡s i ɑ
Գալյոնճյան	k ɑ l j o n d͡ʒ j ɑ n
Գալուստ	k ɑ l u s d
Գալստյան	k ɑ l ə s d j ɑ n
Գահիրե	k ɑ h i ɾ e
Գաղատիա	k ɑ ʁ ɑ d i ɑ
Գաղիանոս	k ɑ ʁ i ɑ n o s
Գամբիա	k ɑ m p i ɑ
Գամիրք	k ɑ m i ɾ k
Գայանա	k ɑ j ɑ n ɑ
Գայանե	k ɑ j ɑ n e
Գայմագճյան	k ɑ j m ɑ k d͡ʒ j ɑ n
Գանա	k ɑ n ɑ
Գանգես	k ɑ n k e s
Գանդինագար	k ɑ n t i n ɑ k ɑ ɾ
Գանթարճյան	k ɑ n t ɑ ɾ d͡ʒ j ɑ n
Գանիմեդ	k ɑ n i m e t
Գանձակ	k ɑ n t͡s ɑ ɡ
Գաշըգճյան	k ɑ ʃ ə k d͡ʒ j ɑ n
Գառնիկ	k ɑ r n i ɡ
Գասապյան	k ɑ s ɑ b j ɑ n
Գասպարյան	k ɑ s b ɑ ɾ j ɑ n
Գավառ	k ɑ v ɑ r
Գավգամելա	k ɑ f k ɑ m e l ɑ
Գարագաշյան	k ɑ ɾ ɑ k ɑ ʃ j ɑ n
Գարամանյան	k ɑ ɾ ɑ m ɑ n j ɑ n
Գարեգին	k ɑ ɾ e k i n
Գարիկ	k ɑ ɾ i ɡ
Գարճյան	k ɑ ɾ d͡ʒ j ɑ n
Գարսևան	k ɑ ɾ s e v ɑ n
Գաֆեսճյան	k ɑ f e s d͡ʒ j ɑ n
Գեղամ	k e ʁ ɑ m
Գեղամյան	k e ʁ ɑ m j ɑ n
Գեղարքունիք	k e ʁ ɑ ɾ k u n i k
Գեռլա	k e r l ɑ
Գերմանիա	k e ɾ m ɑ n i ɑ
Գերմանիայի	k e ɾ m ɑ n i ɑ j i
Գըրպաճյան	k ə ɾ b ɑ d͡ʒ j ɑ n
Գիլոյան	k i l o j ɑ n
Գինոսյան	k i n o s j ɑ n
Գիրոկաստրա	k i ɾ o ɡ ɑ s d ɾ ɑ
Գյանջա	k j ɑ n t͡ʃ ɑ
Գյոյգյոլ	k j o j k j o l
Գյուլազյան	k ʏ l ɑ z j ɑ n
Գյուլասարյան	k ʏ l ɑ s ɑ ɾ j ɑ n
Գյուլբենկյան	k ʏ l p e n ɡ j ɑ n
Գյուլեզյան	k ʏ l e z j ɑ n
Գյումրի	k ʏ m ɾ i
Գյուրջինյան	k ʏ ɾ t͡ʃ i n j ɑ n
Գնել	k ə n e l
Գոա	k o ɑ
Գոհար	k o h ɑ ɾ
Գողգոթա	k o χ k o t ɑ
Գոճանյան	k o d͡ʒ ɑ n j ɑ n
Գոմել	k o m e l
Գոռ	k o r
Գովաճյան	k o v ɑ d͡ʒ j ɑ n
Գոտֆրիդ	k o d f ɾ i t
Գորդիոս	k o ɾ t i o s
Գորի	k o ɾ i
Գորիս	k o ɾ i s
Գորկի	k o ɾ ɡ i
Գուգարք	k u k ɑ ɾ k
Գուգլ	k u k ə l
Գուգո	k u k o
Գուգուշ	k u k u ʃ
Գուգս	k u k s
Գուգսիկ	k u k s i ɡ
Գուդաութա	k u t ɑ u t ɑ
Գուլահճյան	k u l ɑ h d͡ʒ j ɑ n
Գումճյան	k u m d͡ʒ j ɑ n
Գույուճյան	k u j u d͡ʒ j ɑ n
