ހ	h aː
ނިބޫ	n̪ i b uː
ނިއުދިއްލީ	n̪ i u d̪ i l iː
ނިއުޒިލޭންޑު	n̪ i u ‿ z̺ i l eː n̪ ɖ u
ނިއްރު	n i ɾː u
ނިދަނީ	n̪ i d̪ ə n̪ iː
ނިތުރު	n̪ i t̪ u ɾ u
ނިލޫ	n̪ i l uː
ނިލް	n̪ i l
ނިޒާމު	n̪ i z aː m u
ނިޔަނދުރު	n̪ i j äⁿ d̪ u ɾ u
ނިޔަމި	n̪ i j ə m i
ނީ	n̪ iː
ނީލަންގޮޑި	n̪ iː l ä n̪ ɡ o ɖ i
ނީސް	n̪ iː s̺
ނު	n̪ u
ނުހަނު	n̪ u h ə n̪ u
ނުކުތާ	n̪ u k u t̪ əː
ނުވަ	n u w ə
ނުވައެއް	n̪ u w ə e ʔ
ނުވަތަ	n̪ u w ä t̪ ä
ނޫ	n̪ uː
ނޫނީ	n̪ uː n̪ iː
ނޫނު	n̪ uː n̪ u
ނޫން	n uː ŋ
ނެރުވަނީ	n̪ e ɾ u w ä n̪ iː
ނެރެނީ	n̪ e ɾ e n̪ iː
ނެވަތާ	n̪ e ʋ ə t̪ əː
ނެވި	n̪ e ʋ i
ނެތް	n̪ e j ʔ
ނޭވާ	n̪ eː w aː
ނޭފަތް	n̪ eː f ə j ʔ
ނޭޕާލް	n̪ eː p aː l
ނޮވެމްބަރު	n o ʋ e m b ə ɾ u
ނޯޓު	n̪ oː ʈ u
ރ	ɾ aː
ރަހާ	ɾ ä h aː
ރަށް	ɾ ä h
ރަށްވެހި	ɾ ə ʋː e h i
ރަނގަޅު	ɾ äᵑ ɡ ä ɭ u
ރަން	ɾ ä n̪
ރަންބުސްތާނު	ɾ ä n̪ b u s̺ t̪ aː n̪ u
ރަންވަން	ɾ ə n̪ ʋ ə n̪
ރަންގު	ɾ ə n̪ ɡ u
ރަކިސް	ɾ ä k i s̺
ރައީސް	ɾ ä iː s̪
ރަމަޒަން	ɾ ə m ə z̺ ə n̪
ރަދުން	ɾ ə d̪ u n̪
ރަތޫ	ɾ ä t̪ uː
ރަތް	ɾ æ ʔ
ރަތްވަނީ	ɾ ə ʋ ʋ ə n̪ iː
ރަސް	ɾ ä s̺
ރަސްދޫ	ɾ ä s̺ d̪ uː
ރަސްގެތީމު	ɾ ä s̺ ɡ e t̪ iː m u
ރަޖަ	r ä d͡ʒ ä
ރަޖަބް	ɾ ə d͡ʒ ə b
ރަޙުމަތް	ɾ ä h u m æ ʔ
ރަޙުމަތްތެރިޔާ	ɾ ä h u m æ t̪ t̪ e ɾ i j aː
ރަޝީދު	ɾ ə ʃ iː d̪ u
ރާ	ɾ əː
ރާހަ	ɾ aː h ä
ރާހި	ɾ əː h i
ރާޅު	ɾ aː ɭ u
ރާއްޖެ	ɾ aː d̚ d͡ʒ e
ރާމާމަކުނު	ɾ əː m əː m ə k u n̪ u
ރާދަ	ɾ əː d̪ ə
ރާތާ	ɾ əː t̪ əː
ރާގު	ɾ əː ɡ u
ރާޖަސްތާން	ɾ əː d͡ʒ ə s̺ t̪ əː n̪
ރިހަ	ɾ i h ä
ރިހި	ɾ i h i
ރިހެނީ	ɾ i h e n̪ iː
ރިޔަން	ɾ i j ä n̪
ރިޔާޟިއްޔާތު	ɾ i j əː l i j j əː t̪ u
ރިޕޯޓު	ɾ i p oː ʈ u
ރީނދޫ	ɾ iːⁿ d̪ uː
ރީނދޫކުލަ	ɾ iːⁿ d̪ uː k u l ä
ރީތި	ɾ iː t̪ i
ރުޅި	ɾ u ɭ i
ރުކުމަޑި	ɾ u k u m ä ɖ i
ރުއް	ɾ u h
ރުފިޔާ	ɾ u f i j əː
ރޫ	ɾ uː
ރޫހަ	ɾ uː h ə
ރޫފަ	ɾ uː f ə
ރޫސީވިލާތް	ɾ uː s̺ iː ʋ i l əː i j ʔ
ރެސް	ɾ e s̺
ރެސްވަނީ	ɾ e s̺ ʋ ä n̪ iː
ރޭލު	ɾ eː l u
ރޭގަނޑު	ɾ eː ɡ əᶯ ɖ u
ރޭޑިއޯ	ɾ eː ɖ i oː
ރޮނގު	ɾ oᵑ ɡ u
ރޮނީ	ɾ o n̪ iː
ރޮދި	ɾ o d̪ i
ރޯދަ	ɾ oː d̪ ä
ބަހަނީ	b ä h ä n̪ iː
ބަށި	b ə ʂ i
ބަނބުޅަބޮސް	b äᵐ b u ɭ ä b o s̪
ބަނދަރު	b əⁿ d̪ ə ɾ u
ބަންނަނީ	b ä n̪ n̪ ä n̪ iː
ބަންގާޅު	b ä n̪ ɡ aː ɭ u
ބަންޑަލި	b ä n̪ ɖ ä l i
ބަންޑާރައިން	b ə n ɖ əː ɾ æː n̪
ބަރަ	b ä ɾ ä
ބަރަފު	b ə ɾ ə f u
ބަރާ	b ä ɾ aː
ބަރި	b ä ɾ i
ބަރު	b ä ɾ u
ބަރެންޑާ	b ä ɾ e n̪ ɖ aː
ބަބުރު	b ä b u ɾ u
ބަބުރުކަރަ	b ä b u ɾ u k ä ɾ ä
ބަބުޅަނީ	b ä b u ɭ ä n̪ iː
ބަޅު	b ə ɭ u
ބައި	b æː
ބައިސްކަލު	b ä i s̺ k ä l u
ބައިސްކަލު	b æː s̺ k ä l u
ބައިސްކޯފުގެ	b ä i s̪ k oː f u ɡ e
ބައިސްކޯފުގެ	b æː s̪ k oː f u ɡ e
ބައްދަނީ	b ə d̪ d̪ ə n̪ iː
ބައްތި	b ä t̪ t̪ i
ބައްތިރީސް	b ə t̪ː i ɾ iː s̺
ބައްޕަ	b ä p̚ p ä
ބަމަ	b ə m ə
ބަދު	b ə d̪ u
ބަތް	b æ ʔ
ބަލަ	b ä l ä
ބަލަނީ	b ə l ə n̪ iː
ބަސް	b ä s̺
ބަސްފޮތް	b ə s̺ f o j ʔ
ބަޑި	b ä ɖ i
ބަޑިޖަހަނީ	b ä ɖ i d͡ʒ ä h ä n̪ iː
ބަޔާހި	b ə j əː h i
ބަޔާނަވައި	b ə j əː n̪ ə ʋ æː
ބަޔާޅީސް	b ə j əː ɭ iː s̺
ބަޖަރާ	b ə d͡ʒ ə ɾ əː
ބަޙްރައިން	b ə ħ ɾ æː n̪
ބާ	b əː
ބާހައްޓި	b əː h ə ʈː i
ބާހަތްތެރި	b əː h ə t̪ː e ɾ i
ބާހިށުވަނީ	b aː h i ʂ u w ä n̪ iː
ބާނަނީ	b əː n̪ ə n̪ iː
ބާރަ	b aː ɾ ä
ބާރު	b aː ɾ u
ބާރުގަދަ	b äː ɾ u ɡ ä d̪ ä
ބާކީ	b aː k iː
ބާވަންނަ	b əː ʋ ə n̪ː ə
ބާގަ	b əː ɡ ə
ބާޒު	b əː z̺ u
ބިހާރު	b i h əː ɾ u
ބިން	b i ŋ
ބިރިކި	b i ɾ i k i
ބިރު	b i ɾ u
ބިބީ	b i b iː
ބިސް	b i s̺
ބީރު	b iː ɾ u
ބީދަ	b iː d̪ ä
ބުނަނީ	b u n̪ ä n̪ iː
ބުން	b u n̪
ބުރާސްފަތި	b u ɾ aː s̺ f ä t̪ i
ބުރި	b u ɾ i
ބުރުނައީ	b u ɾ u n̪ ä iː
ބުރުޒު	b u ɾ u z u
ބުބުޅި	b u b u ɭ ä
ބުޅާ	b u ɭ aː
ބުޅި	b u ɭ i
ބުއްދި	b u d̪ d̪ i
ބުވަނަ	b u w ə n̪ ə
ބުމަ	b u m a
ބުދަ	b u d̪ ä
ބުދު	b u d̪ u
ބޫޓާން	b uː ʈ əː n̪
ބެރާ	b e ɾ aː
ބެރިޔަންފަރު	b e ɾ i j ä n̪ f ä ɾ u
ބެރު	b e ɾ u
ބެރުވެރިޔާ	b e ɾ u ʋ e ɾ i j əː
ބެއި	b e i
ބެލެނީ	b e l e n̪ iː
ބޭންދަނީ	b eː n̪ d̪ ä n̪ iː
ބޭންޑު	b eː n̪ ɖ u
ބޭރު	b eː ɾ u
ބޭބެ	b eː b e
ބޭއިންދަނީ	b eː i n̪ d̪ ä n̪ iː
ބޭސް	b eː s̺
ބޭސްވެރިޔާ	b eː s̺ ʋ e ɾ i j aː
ބޭސްފިހާރަ	b eː s̺ f i h aː ɾ ä
ބޮނޑު	b oᶯ ɖ u
ބޮނީ	b o n̪ iː
ބޮއެ	b o e
ބޮއް	b o ʔ
ބޮލި	b o l i
ބޮލު	b o l u
ބޮޑު	b o ɖ u
ބޮޑުބޭބެ	b o ɖ u b eː b e
ބޮޑުވަޒީރު	b o ɖ u w ä z̺ iː ɾ u
ބޮޑުމަސް	b o ɖ u m ä s̺
ބޮޑުފިޔާ	b o ɖ u f i j əː
ބޯ	b oː
ބޯޅަ	b oː ɭ ä
ބޯކު	b oː k u
ބޯވަ	b oː ʋ ä
ބޯދަނަ	b oː d̪ ä n̪ ä
ބޯސްމާނު	b oː s̺ m aː n̪ u
ބޯޓު	b oː ʈ u
ޅަވިޔަނި	ɭ ə ʋ i j ə n̪ i
ޅިޔަނު	ɭ i j ä n̪ u
ކަހަށި	k ä h ä ʂ i
ކަހަނބު	k ä h äᵐ b u
ކަހަނީ	k ä h ä n̪ iː
ކަހާ	k ä h aː
ކަށި	k ä ʂ i
ކަށިކުނބުރު	k ä ʂ i k uᵐ b u ɾ u
ކަށިކުރަނދު	k ä ʂ i k u ɾ äⁿ d̪ u
ކަށިވާލި	k ä ʂ i ʋ aː l i
ކަށިފިލާ	k ä ʂ i f i l aː
ކަށިފެލާ	k ä ʂ i f e l aː
ކަށިސާގު	k ä ʂ i s̺ aː ɡ u
ކަނބުރު	k äᵐ b u ɾ u
ކަނދަރަ	k äⁿ d̪ ä ɾ ä
ކަނދިލި	k äⁿ d̪ i l i
ކަނދުރާ	k äⁿ d̪ u ɾ aː
ކަނޑަނީ	k äᶯ ɖ ä n̪ iː
ކަނޑު	k aᶯ ɖ ä
ކަނަހަތާ	k ä n̪ ä h ä t̪ aː
ކަނަހަތް	k ä n̪ ä h æ ʔ
ކަނީ	k ə n̪ iː
ކަނު	k ä n̪ u
ކަން	k ə n̪
ކަންނާޑި	k ä n̪ n̪ aː ɖ i
ކަންނެލި	k ä n̪ n̪ e l i
ކަންބަޅި	k ä n̪ b ä ɭ i
ކަންއިތުރު	k ə n̪ ‿ i t̪ u ɾ u
ކަންފަތިލަވަ	k ä n̪ f ä t̪ i l ä ʋ ä
ކަންފަތް	k ä n̪ f æ ʔ
ކަންފި	k ä n̪ f i
ކަންފުޅި	k ä n̪ f u ɭ i
ކަންޓަ	k ä n̪ ʈ ä
ކަރަ	k ä ɾ ä
ކަރުކަށަ	k ə ɾ u k ə ʂ ə
ކަރުދާސް	k ä ɾ u d̪ aː s̺
ކަރްނާޓަކާ	k ə ɾ n̪ əː ʈ ə k əː
ކަޅި	k ä ɭ i
ކަޅު	k ä ɭ u
ކަޅުދިރި	k ä ɭ u d̪ i ɾ i
ކަކުނި	k ä k u n̪ i
ކަކޫ	k ä k uː
ކައިށި	k ä i ʂ i
ކައިށި	k æː ʂ i
ކައިރި	k ä i ɾ i ~ k æː ɾ i
ކައިވަތް	k æː ʋ ə j ʔ
ކައިތުވައް	k ä i t̪ u w ä ʔ
ކައިތުވައް	k æː t̪ u w ä ʔ
ކައުޅު	k ä u ɭ u
ކައް	k ä ʔ
ކައްބާބު	k ə b əː b u
ކައްކާޅު	k ä k̚ k aː ɭ u
ކައްޕިތާނު	k ä p̚ p i t̪ aː n̪ u
ކައްޗި	k ä t̚ t͡ʃ i
ކަމަރާ	k ä m ä ɾ aː
ކަފަ	k ä f ä
ކަފަނީ	k ä f ä n̪ iː
ކަފާސް	k ä f aː s̺
ކަދުރު	k ä d̪ u ɾ u
ކަތީބު	k ä t̪ iː b u
ކަތުރު	k ä t̪ u ɾ u
ކަލައް	k ä l ä ʔ
ކަލާނގެ	k ä l aːⁿ ɡ e
ކަލޭ	k ə l eː
ކަލޭމެން	k ə l eː m e n̪
ކަލޭގެފާނު	k ə l eː ɡ e f əː n̪ u
ކަލޯ	k ä l oː
ކަސް	k ä s̺
ކާ	k əː
ކާށި	k aː ʂ i
ކާށިދޫ	k aː ʂ i d̪ uː
ކާނާ	k aː n̪ aː
ކާންޏަ	k əː ɲ ɲ ə
ކާރުޚާނާ	k aː ɾ u h aː n̪ aː
ކާޅު	k aː ɭ u
ކާކު	k aː k u
ކާފަރު	k əː f ə ɾ u
ކާފު	k əː f u
ކާފޫރު	k əː f uː ɾ u
ކާލި	k əː l i
ކިހިނެއް	k i h i n̪ e ʔ
ކިހިލި	k i h i l i
ކިނބޫ	k iᵐ b uː
ކިރަނީ	k i ɾ ä n̪ iː
ކިރިސް	k i ɾ i s̪
ކިރު	k i ɾ u
ކިރުޅިޔަ	k i ɾ u ɭ i j a
ކިއުބާ	k i u b aː
ކިއްސަރު	k i s̺ s̺ ä ɾ u
ކިތައް	k i t̪ ä ʔ
ކިލާ	k i l aː
ކިޔަނީ	k i j ä n̪ iː
ކިޔަވަނީ	k i j ä ʋ ä n̪ iː
ކީހަނީ	k iː h ä n̪ i
ކީކް	k iː k
ކީއް	k iː ʔ
ކީއްވެ	k iː ʋ ʋ e
ކީސް	k iː s̺
ކުށް	k u h
ކުނބު	k uᵐ b u
ކުނބުރު	k uᵐ b u ɾ u
ކުންނާރު	k u n̪ n̪ aː ɾ u
ކުންނު	k u n̪ n̪ u
ކުންބަ	k u n̪ b ə
ކުންފުނި	k u n̪ f u n̪ i
ކުރަނީ	k u ɾ ä n̪ iː
ކުރަފަތް	k u ɾ ä f æ ʔ
ކުރާނެ	k u ɾ əː n̪ e
ކުރި	k u ɾ i
ކުރު	k u ɾ u
ކުރުނބާ	k u ɾ uᵐ b aː
ކުރުން	k u ɾ u n̪
ކުރެ	k u ɾ e
ކުރެން	k u ɾ e n̪
ކުރޭ	k u ɾ eː
ކުޅަނދު	k u ɭ əⁿ d̪ u
ކުޅި	k u ɭ i
ކުޅުން	k u ɭ u n̪
ކުޅުދުއްފުށި	k u ɭ u d̪ u f f u ʂ i
ކުޅެނީ	k u ɭ e n̪ iː
ކުކުން	k u k u n̪
ކުކުޅު	k u k u ɭ u
ކުއްޖާ	k u d̚ d͡ʒ a
ކުމެރު	k u m e ɾ u
ކުދިފިޔާ	k u d̪ i f i j əː
ކުތުބުޚާނާ	k u t̪ u b u h aː n̪ aː
ކުލަ	k u l ə
ކުލި	k u l i
ކުލުނު	k u l u n̪ u
ކުޑަ	k u ɖ ä
ކޫދު	k uː d̪ u
ކެހެރި	k e h e ɾ u
ކެނދެނީ	k eⁿ d̪ e n̪ iː
ކެކުރި	k e k u ɾ i
ކެކެރި	k e k e ɾ i
ކެއްސަނީ	k e s̺ s̺ ä n̪ iː
ކެމްބޯޑިއާ	k e m b oː ɖ i aː
ކެތި	k e t̪ i
ކެތް	k e j ʔ
ކެސް	k e s̺
ކެޑެ	k e ɖ e
ކެޔޮ	k e j o
ކޭކު	k eː k u
ކޮށަނީ	k o ʂ ə n̪ iː
ކޮށާރު	k o ʂ aː ɾ u
ކޮށި	k o ʂ i
ކޮށް	k o h
ކޮން	k o n̪
ކޮންނަނީ	k o n̪ n̪ ä n̪ iː
ކޮންއިރަކު	k o n̪ i ɾ ä k u
ކޮންމެ	k o m m e
ކޮރު	k o ɾ u
ކޮބާ	k o b aː
ކޮޅިގަނޑު	k o ɭ i k äᶯ ɖ u
ކޮޅިޕުޓި	k o ɭ i p u ʈ i
ކޮޅު	k o ɭ u
ކޮޅުމަޑުލު	k o ɭ u m ä ɖ u l u
ކޮޅުފުށި	k o ɭ u f u ʂ i
ކޮކާ	k o k aː
ކޮއްކޮ	k o k̚ k o
ކޮއްފި	k o f f i
ކޮއްޓެ	k o ʈ ʈ e
ކޮވެލި	k o ʋ e l i
ކޮމަންޑޫ	k o m ä n̪ ɖ uː
ކޮމިޓީ	k o m i ʈ iː
ކޮމްޕިއުޓަރު	k o m p i u ʈ ä ɾ u
ކޮފީ	k o f iː
ކޮތަނބިރި	k o t̪ äᵐ b i ɾ i
ކޮތަރު	k o t̪ ä ɾ u
ކޮލި	k o l i
ކޮޑި	k o ɖ i
ކޮޓަރި	k o ʈ ä ɾ i
ކޮޓި	k o ʈ i
ކޯ	k oː
ކޯއްޓޭ	k oː ʈ ʈ eː
ކޯޗު	k oː t͡ʃ u
ކްރޯރް	k ɾ oː ɾ
އ	ʔ
އަ	a
އަހަނީ	ä h ä n̪ iː
އަހަރު	ä h ä ɾ u
އަހަރެން	ä h ä ɾ e n̪
އަހަރެމެން	ə h ə ɾ e m e n̪
އަހުރަ	ä h u ɾ ä
އަހުމަދު	ə h u m ə d̪ u
އަހް	a ʔ
އަށާހި	ə ʂ əː h i
އަށާނަވައި	ə ʂ əː n̪ ə ʋ æː
އަށާރަ	ə ʂ ə ɾ ə
އަށާޅީސް	ə ʂ əː ɭ iː s̺
އަށާވީސް	ə s̺ əː ʋ iː s̺
އަށި	ä ʂ i
އަށުހައްޓި	ə ʂ u h ə ʈː i
އަށުހަތްތަރި	ə ʂ u h ə t̪ː e ɾ i
އަށުވަންނަ	ə ʂ u w ə n̪ː ə
އަށުތިރީސް	ə ʂ u t̪ i ɾ iː s̺
އަށެއް	ə ʂ e ʔ
އަށް	a ʔ
އަނބި	äᵐ b i
އަނބު	äᵐ b u
އަނބުރަނީ	əᵐ b u ɾ ə n̪ iː
އަނދިރި	äⁿ d̪ i ɾ i
އަނދުން	äⁿ d̪ u n̪
އަނގަ	äᵑ ɡ ä
އަނގުން	äᵑ ɡ u n̪
އަނގޮޓި	äᵑ ɡ o ʈ i
އަނެހް	ə n̪ e h
އަނެކާ	ə n̪ i k əː
އަނެއްކަވެސް	ə n̪ e k̚ k ə ʋ e s̺
އަންހެނާ	ə n̪ h e n̪ əː
އަންނަނީ	ä n̪ n̪ ä n̪ iː
އަންމަ	ə mː ə
އަންމަކޮޅޯތް	ə m m ə k o ɭ oː j ʔ
އަންގަ	ä n̪ ɡ ä
އަންގަނީ	ə n̪ ɡ ə n̪ iː
އަންގާރަ	ä n̪ ɡ aː ɾ ä
އަންގުވަނީ	ə n̪ ɡ u w ə n̪ iː
އަރަނީ	ə ɾ ə n̪ iː
އަބަޅު	ə b ə ɭ ə
އަބަދު	ə b ə d̪ e
އަބަޔަ	ä b ä j ä
އަބުރު	ä b u ɾ u
އަބޫނާ	ä b uː n̪ aː
އަބޭނާޔަކަ	ä b eː n̪ aː j ä k ä
އަޅި	ə ɭ i
އަޅޯސާ	ä ɭ oː s̪ aː
އަކިރި	ä k i ɾ i
އަކީ	ä k iː
އަކު	ə k u
އަކުރު	ə k u ɾ u
އައިން	ä i n̪
އައިން	æː n̪
އައުން	ə u n̪
އައްދޭ	ə d̪ d̪ eː
އައްދޮއައްދޯ	ə d̪ d̪ o ə d̪ d̪ oː
އައްސަނީ	ä s̺ s̺ ä n̪ iː
އައްޑޫ	ä ɖ̚ ɖ uː
އައްޕަ	ä p̚ p ä
އަވަހާރަ	ə ʋ ə h əː ɾ ə
އަވަށް	ä w ä h
އަވަސް	ə ʋ ə s̺
އަވި	ä v i
އަމުނަނީ	ä m u n̪ ä n̪ iː
އަމުރު	ä m u ɾ u
އަފަ	ä f ä
އަފްޣާނިސްތާން	ə f ɡ əː n̪ i s̺ t̪ əː n̪
އަދަބިއްޔާތު	ä d̪ ä b i j j aː t̪ u
އަދަދު	ä d̪ ä d̪ u
އަދި	ə d̪ i
އަތިރި	ä t̪ i ɾ i
އަތުރަނީ	ä t̪ u ɾ ä n̪ iː
އަތޮޅު	ä t̪ o ɭ u
އަތޮޅުވެރިޔާ	ä t̪ o ɭ u w e ɾ i j aː
އަތް	æ ʔ
އަތްތިލަ	ä t̪ t̪ i l ä
އަލަނާސި	ä l ä n̪ aː s̺ i
އަލަވަންގު	ä l ä ʋ ä n̪ ɡ u
އަލަމާރި	ä l ä m aː ɾ iː
އަލިފާން	ə l i f əː n̪
އަލިފު	ə l i f u
އަލިފުބާ	ä l i f u b aː
އަލީ	ə l iː
އަލުވި	ə l u ʋ i
އަގު	ä ɡ u
އަސަރު	ä s̺ ä ɾ u
އަސަރުކުރަނީ	ä s̺ ä ɾ u k u ɾ ä n̪ iː
އަސް	ə s̺
އަސްބަ	ə s̺ b ə
އަސްދޫނި	ə s̺ d̪ uː n̪ i
އަޑި	ä ɖ i
އަޑު	a ɖ u
އަޑުބަ	ə ɖ u b a
އަޑުއަހަނީ	ä ɖ u ä h ä n̪ iː
އާ	əː
އާހި	əː h i
އާނެއި	aː n̪ e i
އާން	əː n̪
އާން	ə̃ː
އާއި	əː i
އާއިލާ	aː i l aː
އާއްޗާ	əː t̚ t͡ʃ əː
އާއްޗީ	əː t̚ t͡ʃ iː
އާމަނަކަ	aː m ä n ä k ä
އާފަލު	əː f ə l u
އާދަމު	əː d̪ ə m u
އާދިއްތަ	aː d̪ i t̚ t̪ ä
އާދިފަތި	aː d̪ i f ä t̪ i
އާދީއްތަ	aː d̪ i t̚ t̪ ä
އާދެ	əː d̪ e
އާދޭއްސަ	aː d̪ eː s̺ s̺ ä
އާސްމާނުކުލަ	əː s̺ m əː n̪ u k u l ə
އާޑައްތޮޑަ	aː ɖ ä t̪ t̪ o ɖ ä
އިހަވަންދިއްޕޮޅު	i h ä ʋ ä n̪ d̪ i p̚ p o ɭ u
އިހަވަންދޫ	i h ä ʋ ä n̪ d̪ uː
އިހި	i h i
އިށީންނަނީ	i ʂ iː n̪ n̪ ä n̪ iː
އިނގިރޭސި	iᵑ ɡ i ɾ eː s̪ i
އިނގިލި	iᵑ ɡ i l i
އިނގުރު	iᵑ ɡ u ɾ u
އިން	i n̪
އިންނަނީ	i n̪ n̪ ä n̪ iː
އިންދަނީ	i n̪ d̪ ə n̪ iː
އިންތިޒާރު	i n̪ t̪ i z̺ aː ɾ u
އިންތިޚާބް	i n̪ t̪ i h aː b
އިންޑޮނޭޝިޔާ	i n̪ ɖ o n̪ eː ʃ i j aː
އިންޒާރު	i n̪ z əː ɾ u
އިންޖިނޭރު	i n̪ d͡ʒ i n̪ iː ɾ u
އިންޖީނު	i n̪ d͡ʒ iː n̪ u
އިރަނީ	i ɾ ä n̪ iː
އިރާގް	i ɾ əː ɡ
އިރު	i ɾ u
އިރުޝާދު	i ɾ u ʃ aː d̪ u
އިބަ	i b ə
އިބަސުވާމީންގެ	i b ə s̺ u ʋ əː m iː n̪ ɡ e
އިބާރާތް	i b əː ɾ əː i j
އިބިލީސް	i b i l iː s̺
