அஃது	ɐ ɦ d̪ ɯ
அவ்வருகு	ɐ ʋː ɐ ɾ u ɡ ɯ
அவ்வாறு	ɐ ʋː aː r ɯ
ஆகஸ்டு	aː ɡ ɐ s ʈ ɯ
ஆகாசம்	aː ɡ aː s ɐ m
ஆகு	aː ɡ ɯ
ஆகுபெயர்	ʔ ɑː ɡ ʊ p ɛ j ə ɾ̪
ஆக்கு	aː kː ɯ
ஆங்கு	aː ŋ ɡ ɯ
ஆசயம்	aː s ɐ j ɐ m
ஆசற	aː s ɐ r ɐ
ஆசான்	aː s aː n
ஆசினி	aː s i n i
ஆசியா	aː s i j aː
ஆசிரியர்	aː s i ɾ i j ɐ ɾ
ஆசிருந்தம்	aː s i ɾ u n̪ d̪ ɐ m
ஆசீர்வசனம்	aː s iː ɾ ʋ ɐ s ɐ n ɐ m
ஆசீர்வதி	aː s iː ɾ ʋ ɐ d̪ i
ஆசை	aː s a ɪ̯
ஆடிக்காற்று	aː ɖ i kː aː t r ɯ
ஆடு	aː ɖ ɯ
ஆடுமாடு	aː ɖ u m aː ɖ ɯ
ஆட்சி	aː ʈ s i
ஆட்சை	aː ʈ s a ɪ̯
ஆட்டு	aː ʈː ɯ
ஆணிமுத்து	aː ɳ i m u t̪ː ɯ
ஆணையிடு	aː ɳ a ɪ̯ j i ɖ ɯ
ஆண்டு	aː ɳ ɖ ɯ
ஆண்டுகள்ளடவு	aː ɳ ɖ u ɡ ɐ ɭː ɐ ɖ ɐ ʋ ɯ
ஆத்தி	aː t̪ː ɨ
ஆனைக்கொம்பு	aː n a ɪ̯ kː o m b ɯ
ஆபத்து	aː b ɐ t̪ː ɯ
ஆபிச்	aː b i s
ஆபீசு	aː b iː s ɯ
ஆயிட்டு	aː j i ʈː ɯ
ஆயுசு	aː j u s ɯ
ஆய்வு	aː j ʋ ɯ
ஆறாவது	aː r aː ʋ ɐ d̪ ɯ
ஆறு	aː r ɯ
ஆற்றங்கரை	aː t r ɐ ŋ ɡ ɐ ɾ a ɪ̯
ஆற்றல்	aː t r ɐ l
ஆற்று	aː t r ɯ
ஆற்றுச்செருப்படி	aː t r u t͡ɕː e ɾ u pː ɐ ɖ i
ஆலசம்	aː l ɐ s ɐ m
ஆலோசனை	aː l oː s ɐ n a ɪ̯
இகுலாசு	i ɡ u l aː s ɯ
இக்கு	i kː ɯ
இங்கிட்டு	i ŋ ɡ i ʈː ɯ
இங்கிலாந்து	i ŋ ɡ i l aː n̪ d̪ ɯ
இங்கு	i ŋ ɡ ɯ
இசப்கோல்	i s ɐ p k oː l
இசுபேடு	i s u b eː ɖ ɯ
இசுபேடுக்கள்	i s u b eː ɖ u kː ɐ ɭ
இசுலாம்	i s u l aː m
இசை	i s a ɪ̯
இசைக்கருவி	i s a ɪ̯ kː ɐ ɾ u ʋ i
இசைப்பாட்டு	i s a ɪ̯ pː aː ʈː ɯ
இசைவு	i s a ɪ̯ ʋ ɯ
இடது	i ɖ ɐ d̪ ɯ
இடப்பு	i ɖ ɐ pː ɯ
இடாய்ச்சு	i ɖ aː j t͡ɕː ɯ
இடு	i ɖ ɯ
இடுப்பு	i ɖ u pː ɯ
இடையிடு	i ɖ a ɪ̯ j i ɖ ɯ
இடையீடு	i ɖ a ɪ̯ j iː ɖ ɯ
இடையூறு	i ɖ a ɪ̯ j uː r ɯ
இட்டு	i ʈː ɯ
இணக்கு	i ɳ ɐ kː ɯ
இதிகாசம்	i d̪ i ɡ aː s ɐ m
இது	i d̪ ɯ
இந்து	i n̪ d̪ ɯ
இந்தோனேசியா	i n̪ d̪ oː n eː s i j aː
இனிப்பு	i n i pː ɯ
இன்னது	i nː ɐ d̪ ɯ
இன்றிரவு	i n d r i ɾ ɐ ʋ ɯ
இன்று	i n d r ɯ
இப்பொழுது	i pː o ɻ u d̪ ɯ
இப்போது	i pː oː d̪ ɯ
இம்சை	i m s a ɪ̯
இயக்கு	i j ɐ kː ɯ
இயங்கு	i j ɐ ŋ ɡ ɯ
இயல்பு	i j ɐ l b ɯ
இயேசு	i j eː s ɯ
இயைபு	i j a ɪ̯ b ɯ
இரங்கு	i ɾ ɐ ŋ ɡ ɯ
இரசாயனம்	i ɾ ɐ s aː j ɐ n ɐ m
இரசிதம்	i ɾ ɐ s i d̪ ɐ m
இரட்சி	i ɾ ɐ ʈ s i
இரண்டு	i ɾ ɐ ɳ ɖ ɯ
இரண்டு	r ɛ ɳ ɖ ɯ
இரப்பு	i ɾ ɐ pː ɯ
இரவு	i ɾ ɐ ʋ ɯ
இராசகுமாரி	i ɾ aː s ɐ ɡ u m aː ɾ i
இராசபுத்திரன்	i ɾ aː s ɐ b u t̪ː i ɾ ɐ n
இராசி	i ɾ aː s i
இராமானுசன்	i ɾ aː m aː n u s ɐ n
இரு	i ɾ ɯ
இருநூறு	i ɾ u n̪ uː r ɯ
இருபது	i ɾ u b ɐ d̪ ɯ
இருபால்சேர்க்கை	i ɾ u p ɑː l s eː ɾ kː ɐ ɪ̯
இருப்பு	i ɾ u pː ɯ
இருப்பை	i ɾ ʉ pː a ɪ
இருமு	i ɾ u m ɯ
இரும்பு	i ɾ u m b ɯ
இரேவற்சின்னி	i ɾ eː ʋ ɐ r s i nː i
இறகு	i r ɐ ɡ ɯ
இறக்கு	i r ɐ kː ɯ
இறங்கு	i r ɐ ŋ ɡ ɯ
இறப்பு	i r ɐ pː ɯ
இறுமாப்பு	i r u m aː pː ɯ
இறைவாக்கு	i r a ɪ̯ ʋ aː kː ɯ
இலகு	i l ɐ ɡ ɯ
இலக்கு	i l ɐ kː ɯ
இலட்சத்தீவுகள்	i l ɐ ʈ s ɐ t̪ː iː ʋ u ɡ ɐ ɭ
இலட்சம்	i l ɐ ʈ s ɐ m
இலட்சுமணன்	i l ɐ ʈ s u m ɐ ɳ ɐ n
இலவசம்	i l ɐ ʋ ɐ s ɐ m
இலுப்பை	i l ʉ pː a ɪ
இலுமு	i l u m ɯ
இல்லத்தரசி	i l l ɐ t̪ː ɐ ɾ ɐ s i
இளைப்பாறு	i ɭ a ɪ̯ pː aː r ɯ
இளைப்பாற்று	i ɭ a ɪ̯ pː aː t r ɯ
இளைப்பு	i ɭ a ɪ̯ pː ɯ
இழப்பீடு	i ɻ ɐ pː iː ɖ ɯ
இழப்பு	i ɻ ɐ pː ɯ
இழவு	i ɻ ɐ ʋ ɯ
இழவுகொண்டாடு	i ɻ ɐ ʋ u ɡ o ɳ ɖ aː ɖ ɯ
இழிசு	i ɻ i s ɯ
இழிதகவு	i ɻ i d̪ ɐ ɡ ɐ ʋ ɯ
இழிப்பு	i ɻ i pː ɯ
இழிவு	i ɻ i ʋ ɯ
இழு	i ɻ ɯ
இழுகு	i ɻ u ɡ ɯ
இழுக்கு	i ɻ u kː ɯ
இழுது	i ɻ u d̪ ɯ
ஈசன்	iː s ɐ n
ஈசல்	iː s ɐ l
ஈசல்கொட்டு	iː s ɐ l ɡ o ʈː ɯ
ஈச்சு	iː t͡ɕː ɯ
ஈடு	iː ɖ ɯ
ஈட்டு	iː ʈː ɯ
ஈரோடு	iː ɾ oː ɖ ɯ
ஈர்ப்பு	iː ɾ pː ɯ
ஈறு	iː r ɯ
ஈற்றயல்	iː t r ɐ j ɐ l
உ	ɯ
உசுபெக்கிசுத்தான்	u s u b e kː i s u t̪ː aː n
உச்சரிப்பு	u t͡ɕː ɐ ɾ i pː ɯ
உடம்பு	u ɖ ɐ m b ɯ
உடலுறவு	u ɖ ɐ l u r ɐ ʋ ɯ
உடுப்பு	u ɖ u pː ɯ
உட்கருத்து	u ʈ k ɐ ɾ u t̪ː ɯ
உணர்ப்பு	u ɳ ɐ ɾ pː ɯ
உணர்வு	u ɳ ɐ ɾ ʋ ɯ
உணவு	u ɳ ɐ ʋ ɯ
உண்டாக்கு	u ɳ ɖ aː kː ɯ
உண்டுபடு	u ɳ ɖ u b ɐ ɖ ɯ
உண்டுபடுத்து	u ɳ ɖ u b ɐ ɖ u t̪ː ɯ
உண்டுபண்ணு	u ɳ ɖ u b ɐ ɳː ɯ
உண்ணிக்கொக்கு	u ɳː i kː o kː ɯ
உதடு	u d̪ ɐ ɖ ɯ
உதறு	u d̪ ɐ r ɯ
உதவு	u d̪ ɐ ʋ ɯ
உத்தரவு	u t̪ː ɐ ɾ ɐ ʋ ɯ
உன்னதபாட்டு	u nː ɐ d̪ ɐ p aː ʈː ɯ
உன்னு	u nː ɯ
உபவாசம்	u b ɐ ʋ aː s ɐ m
உப்பு	u b b ɯ
உப்பு	u pː ɯ
உப்புவாயு	u pː u ʋ aː j ɯ
உயர்பு	u j ɐ ɾ b ɯ
உயர்வு	u j ɐ ɾ ʋ ɯ
உயிரணு	u j i ɾ ɐ ɳ ɯ
உயிரிழப்பு	u j i ɾ i ɻ ɐ pː ɯ
உயிரெழுத்து	u j i ɾ e ɻ u t̪ː ɯ
உயிர்த்தெழு	u j i ɾ t̪ː e ɻ ɯ
உயிர்ப்பு	u j i ɾ pː ɯ
உயிர்மெய்யெழுத்து	u j i ɾ m e jː e ɻ u t̪ː ɯ
உரங்காட்டு	u ɾ ɐ ŋ ɡ aː ʈː ɯ
உரங்குத்து	u ɾ ɐ ŋ ɡ u t̪ː ɯ
உருகு	u ɾ u ɡ ɯ
உருக்கு	u ɾ u kː ɯ
உருசியா	u ɾ u s i j aː
உருட்டு	u ɾ u ʈː ɯ
உருது	u ɾ u d̪ ɯ
உருப்பு	u ɾ u pː ɯ
உருமேறு	u ɾ u m eː r ɯ
உருளைக்கிழங்கு	u ɾ u ɭ a ɪ̯ kː i ɻ ɐ ŋ ɡ ɯ
உறங்கு	u r ɐ ŋ ɡ ɯ
உறப்பு	u r ɐ pː ɯ
உறழ்வு	u r ɐ ɻ ʋ ɯ
உறவு	u r ɐ ʋ ɯ
உறிஞ்சு	u r i ɲ d͡ʑ ɯ
உறு	u r ɯ
உறுதிபூசுதல்	u r u d̪ i b uː s u d̪ ɐ l
உறுதிப்படுத்து	u r u d̪ i pː ɐ ɖ u t̪ː ɯ
உறுதிப்பாடு	u r u d̪ i pː aː ɖ ɯ
உறுத்து	u r u t̪ː ɯ
உறுப்பிசைக்குறி	u r u pː i s a ɪ̯ kː u r i
உறுப்பு	u r u pː ɯ
உறுமு	u r u m ɯ
உற்சவம்	u r s ɐ ʋ ɐ m
உலங்கு	u l ɐ ŋ ɡ ɯ
உளறு	u ɭ ɐ r ɯ
உளவு	u ɭ ɐ ʋ ɯ
உளுந்து	u ɭ u n̪ d̪ ɯ
உள்ளது	u ɭː ɐ d̪ ɯ
உள்ளிடு	u ɭː i ɖ ɯ
உள்ளுணர்வு	u ɭː u ɳ ɐ ɾ ʋ ɯ
உழவு	u ɻ ɐ ʋ ɯ
உழவுகாடு	u ɻ ɐ ʋ u ɡ aː ɖ ɯ
உழவுசால்	u ɻ ɐ ʋ u s aː l
உழு	u ɻ ɯ
உழுந்து	u ɻ u n̪ d̪ ɯ
உழைப்பு	u ɻ a ɪ̯ pː ɯ
ஊசி	uː s i
ஊடுதாக்கு	uː ɖ u d̪ aː kː ɯ
ஊட்டச்சத்து	uː ʈː ɐ t͡ɕː ɐ t̪ː ɯ
ஊட்டு	uː ʈː ɯ
ஊதற்காற்று	uː d̪ ɐ r k aː t r ɯ
ஊது	uː d̪ ɯ
ஊதைக்காற்று	uː d̪ a ɪ̯ kː aː t r ɯ
ஊரடங்கு	uː ɾ ɐ ɖ ɐ ŋ ɡ ɯ
ஊரு	uː ɾ ɯ
ஊறு	uː r ɯ
ஊற்றம்	uː t r ɐ m
ஊற்றால்	uː t r aː l
ஊற்று	uː t r ɯ
ஊற்றுத்துலை	uː t r u t̪ː u l a ɪ̯
எஃகு	e x ɯ
எகிப்து	e ɡ i p t̪ ɯ
எங்கு	e ŋ ɡ ɯ
எசுத்தோனியா	e s u t̪ː oː n i j aː
எசேக்கியல்	e s eː kː i j ɐ l
எடு	e ɖ ɯ
எடுத்துக்காட்டு	e ɖ u t̪ː u kː aː ʈː ɯ
எட்டு	e ʈː ɯ
எண்ணக்கரு	e ɳː ɐ kː ɐ ɾ ɯ
எண்ணு	e ɳː ɯ
எண்பது	e ɳ b ɐ d̪ ɯ
எதிர்பாலீர்ப்பு	e d̪ i ɾ b aː l iː ɾ pː ɯ
எதிர்பால்சேர்க்கை	e d̪ i ɾ b aː l s eː ɾ kː a ɪ̯
எதிர்வெட்டு	e d̪ i ɾ ʋ e ʈː ɯ
எது	e d̪ ɯ
எதுக்கு	e d̪ u kː ɯ
எத்தனையாவது	e t̪ː ɐ n a ɪ̯ j aː ʋ ɐ d̪ ɯ
என்னது	e nː ɐ d̪ ɯ
என்பு	e n b ɯ
என்றவன்	e n d r ɐ ʋ ɐ n
என்றால்	e n d r aː l
என்றிய	e n d r i j ɐ
என்று	e n d r ɯ
என்றைக்கும்	e n d r a ɪ̯ kː u m
எப்பொழுது	e pː o ɻ u d̪ ɯ
எருசலேம்	e ɾ u s ɐ l eː m
எருது	e ɾ u d̪ ɯ
எறும்பு	e r u m b ɯ
எற்பாடு	e r p aː ɖ ɯ
எற்றைக்கும்	e t r a ɪ̯ kː u m
எலும்பு	e l u m b ɯ
எளிது	e ɭ i d̪ ɯ
எழு	e ɻ ɯ
எழுது	e ɻ u d̪ ɯ
எழுத்து	e ɻ u t̪ː ɯ
எழுநூறு	e ɻ u n̪ uː r ɯ
எழுபது	e ɻ u b ɐ d̪ ɯ
எழுப்பு	e ɻ u pː ɯ
எவ்வளவு	e ʋː ɐ ɭ ɐ ʋ ɯ
ஏங்கு	eː ŋ ɡ ɯ
ஏசாயா	eː s aː j aː
ஏடு	eː ɖ ɯ
ஏது	eː d̪ ɯ
ஏத்து	eː t̪ː ɯ
ஏனென்றால்	eː n e n d r aː l
ஏமாறு	eː m aː r ɯ
ஏமாற்று	eː m aː t r ɯ
ஏமுறு	eː m u r ɯ
ஏறு	eː r ɯ
ஏற்படு	eː r p ɐ ɖ ɯ
ஏற்றக்கால்	eː t r ɐ kː aː l
ஏற்றியல்	eː t r i j ɐ l
ஏற்று	eː t r ɯ
ஏழு	eː ɻ ɯ
ஏழு	j eː ɭ ɯ
ஏழ்நூறு	eː ɻ n̪ uː r ɯ
ஐசுவரியம்	ɐ i̯ s u ʋ ɐ ɾ i j ɐ m
ஐதரசன்	ɐ i̯ d̪ ɐ ɾ ɐ s ɐ n
ஐநூறு	ɐ i̯ n̪ uː r ɯ
ஐந்து	ɐ i̯ n̪ d̪ ɯ
ஐந்து	ɐ ɲ d͡ʑ ɯ
ஐப்பசி	ɐ i̯ pː ɐ s i
ஐம்பது	ɐ i̯ m b ɐ d̪ ɯ
ஐம்பத்தெட்டு	ɐ i̯ m b ɐ t̪ː e ʈː ɯ
ஒடிசா	o ɖ i s aː
ஒட்டு	o ʈː ɯ
ஒட்டுச்சுண்ணாம்பு	o ʈː u t͡ɕː u ɳː aː m b ɯ
ஒன்பது	o n b ɐ d̪ ɯ
ஒன்பது	ʷo m b ɐ d̪ ɯ
ஒன்றாக	o n d r aː ɡ ɐ
ஒன்று	o n d r ɯ
ஒன்று	ʷo ɳ ɳ ɯ
ஒப்பு	o pː ɯ
ஒரு	o ɾ ɯ
ஒற்றன்	o t r ɐ n
ஒற்றுமை	o t r u m a ɪ̯
ஒலிபெயர்ப்பு	o l i p ɛ j ɐ ɾ pː ɯ
ஒலுங்கு	o l u ŋ ɡ ɯ
ஒலோவு	o l oː ʋ ɯ
ஒளியாண்டு	o ɭ i j aː ɳ ɖ ɯ
ஒழிப்பு	o ɻ i pː ɯ
ஒழுகு	o ɻ u ɡ ɯ
ஒவ்வொரு	o ʋː o ɾ ɯ
ஓசை	oː s a ɪ̯
ஓடு	oː ɖ ɯ
ஓட்டு	oː ʈː ɯ
ஓது	oː d̪ ɯ
ஓம்படு	oː m b ɐ ɖ ɯ
ஓய்வு	oː j ʋ ɯ
கங்காரு	ɡ ɐ ŋ ɡ aː ɾ ɯ
கங்கு	k ɐ ŋ ɡ ɯ
கச	k ɐ s ɐ
கசப்பு	k ɐ s ɐ pː ɯ
கச்சு	k ɐ t͡ɕː ɯ
கடத்து	k ɐ ɖ ɐ t̪ː ɯ
கடம்பு	k a ɖ ə m b ʉ
கடற்பாசி	k ɐ ɖ ɐ r p aː s i
கடவுச்சீட்டு	k ɐ ɖ ɐ ʋ u t͡ɕː iː ʈː ɯ
கடுகு	k ɐ ɖ u ɡ ɯ
கடுதாசி	k ɐ ɖ u d̪ aː s i
கடைத்தெரு	k ɐ ɖ a ɪ̯ t̪ː e ɾ ɯ
கட்சி	k ɐ ʈ s i
கட்சியார்	k ɐ ʈ s i j aː ɾ
கட்டமைப்பு	k ɐ ʈː ɐ m a ɪ̯ pː ɯ
கட்டியடுப்பு	k ɐ ʈː i j ɐ ɖ u pː ɯ
கட்டு	k ɐ ʈː ɯ
கட்டுப்படு	k ɐ ʈː u pː ɐ ɖ ɯ
கணக்கு	k ɐ ɳ ɐ kː ɯ
கணு	k ɐ ɳ ɯ
கணுமருது	k ɐ ɳ u m ɐ ɾ u d̪ ɯ
கணேசன்	k ɐ ɳ eː s ɐ n
கண்டங்கத்தரி	k a ɳ ɖ ə ŋ ɡ ə t̪ː ə ɾ ɨ
கண்டிப்பு	k ɐ ɳ ɖ i pː ɯ
கண்டு	k ɐ ɳ ɖ ɯ
கண்டெடு	k ɐ ɳ ɖ e ɖ ɯ
கதவு	k ɐ d̪ ɐ ʋ ɯ
கதிப்பு	k ɐ d̪ i pː ɯ
கதிர்க்கட்டு	k ɐ d̪ i ɾ kː ɐ ʈː ɯ
கதிர்ப்பு	k ɐ d̪ i ɾ pː ɯ
கத்து	k ɐ t̪ː ɯ
கந்து	k ɐ n̪ d̪ ɯ
கனவு	k ɐ n ɐ ʋ ɯ
கன்று	k ɐ n d r ɯ
கப்பற்சண்டை	k ɐ pː ɐ r s ɐ ɳ ɖ a ɪ̯
கப்பற்சேதம்	k ɐ pː ɐ r s eː d̪ ɐ m
கம்பு	k ɐ m b ɯ
கயிறு	k ɐ j i r ɯ
கரிச்சலாசத்து	k ɐ ɾ i t͡ɕː ɐ l aː s ɐ t̪ː ɯ
கரியமிலவாயு	k ɐ ɾ i j ɐ m i l ɐ ʋ aː j ɯ
கரு	k ɐ ɾ ɯ
கருக்கு	k ɐ ɾ u kː ɯ
கருது	k ɐ ɾ u d̪ ɯ
கருத்துரு	k ɐ ɾ u t̪ː u ɾ ɯ
கருப்பு	k ɐ ɾ u pː ɯ
கரும்பு	k ɐ ɾ u m b ɯ
கருவாடு	k ɐ ɾ u ʋ aː ɖ ɯ
கருவிளா	k a ɾ ʉ ʋ ɨ ɭ aː
கரைப்பு	k ɐ ɾ a ɪ̯ pː ɯ
கறவு	k ɐ r ɐ ʋ ɯ
கறிக்கு	k ɐ r i kː ɯ
கறுவு	k ɐ r u ʋ ɯ
கற்கண்டு	k ɐ r k ɐ ɳ ɖ ɯ
கற்பு	k ɐ r p ɯ
கற்றார்	k ɐ t r aː ɾ
கற்றாலை	k ɐ t r aː l a ɪ̯
கற்றாழை	k ɐ t r aː ɻ a ɪ̯
கற்றிருத்து	k ɐ t r i ɾ u t̪ː ɯ
கற்றை	k ɐ t r a ɪ̯
கற்றொட்டி	k ɐ t r o ʈː i
கற்றொழிலோர்	k ɐ t r o ɻ i l oː ɾ
கலசம்	k ɐ l ɐ s ɐ m
கலந்தாய்வு	k ɐ l ɐ n̪ d̪ aː j ʋ ɯ
கல்லேறு	k ɐ l l eː r ɯ
கல்வெட்டு	k ɐ l ʋ e ʈː ɯ
களவு	k ɐ ɭ ɐ ʋ ɯ
களிப்பு	k ɐ ɭ i pː ɯ
களிறு	k ɐ ɭ i r ɯ
கழட்டு	k ɐ ɻ ɐ ʈː ɯ
கழற்று	k ɐ ɻ ɐ t r ɯ
கழிவு	k ɐ ɻ i ʋ ɯ
கழுகு	k ɐ ɻ u ɡ ɯ
கழுத்து	k ɐ ɻ u t̪ː ɯ
கழுவு	k ɐ ɻ u ʋ ɯ
கவர்வு	k ɐ ʋ ɐ ɾ ʋ ɯ
கவற்சி	k ɐ ʋ ɐ r s i
காக்காய்வெருட்சி	k aː kː aː j ʋ e ɾ u ʈ s i
காக்கைக்கு	k aː kː a ɪ̯ kː ɯ
காசர்கோடு	k aː s ɐ ɾ ɡ oː ɖ ɯ
காசறை	k aː s ɐ r a ɪ̯
காசினிவிரை	k aː s i n i ʋ i ɾ a ɪ̯
காசு	k aː s ɯ
காசோலை	k aː s oː l a ɪ̯
காடு	k aː ɖ ɯ
காட்சி	k aː ʈ s i
காட்டகத்தமிர்து	k aː ʈː ɐ ɡ ɐ t̪ː ɐ m i ɾ d̪ ɯ
காட்டசை	k aː ʈː ɐ s a ɪ̯
காட்டாமணக்கு	k aː ʈː aː m ɐ ɳ ɐ kː ɯ
காட்டு	k aː ʈː ɯ
காண்டு	ɡ aː ɳ ɖ ɯ
காது	k aː d̪ ɯ
காப்பாற்று	k aː pː aː t r ɯ
காப்பீடு	k aː pː iː ɖ ɯ
காய்த்து	k aː j t̪ː ɯ
கார்ப்பு	k aː ɾ pː ɯ
காறையெலும்பு	k aː r a ɪ̯ j e l u m b ɯ
காற்றழுத்தமானி	k aː t r ɐ ɻ u t̪ː ɐ m aː n i
காற்றழுத்தம்	k aː t r ɐ ɻ u t̪ː ɐ m
காற்றாடி	k aː t r aː ɖ i
காற்றாலை	k aː t r aː l a ɪ̯
காற்று	k aː t r ɯ
காவு	k aː ʋ ɯ
கிசில்	k i s i l
கிச்சு	k i t͡ɕː ɯ
கிடப்பு	k i ɖ ɐ pː ɯ
கிணறு	k i ɳ ɐ r ɯ
கிணற்றாமை	k i ɳ ɐ t r aː m a ɪ̯
கிணற்றுக்கட்டு	k i ɳ ɐ t r u kː ɐ ʈː ɯ
கிபாயத்து	k i b aː j ɐ t̪ː ɯ
கிராம்பு	k i ɾ aː m b ɯ
கிறாம்பு	k i r aː m b ɯ
கிறிஸ்து	k i r i s t̪ ɯ
கிறுக்கு	k i r u kː ɯ
