అ	ɐ
అతనిది	a t a n i d i
అతను	ɐ t̪ ɐ n̪ ʊ
అతికించు	ɐ t̪ ɪ k ɪ ɲ t͡ɕ ʊ
అతికింౘు	ɐ t̪ ɪ k ɪ n̪ t͡s ʊ
అతిక్రమము	ɐ t̪ ɪ k ɾ ɐ m ɐ m ʊ
అతిథి	ɐ t̪ ɪ t̪ʰ ɪ
అతిరిక్తము	ɐ t̪ ɪ ɾ ɪ k t̪ ɐ m ʊ
అతివ	ɐ t̪ ɪ ʋ ɐ
అతీంద్రియము	ɐ t̪ iː n̪ d̪ ɾ ɪ j ɐ m ʊ
అతృప్తి	ɐ t̪ ɻ̍ p t̪ ɪ
అత్త	ɐ t̪ː ɐ
అత్రి	ɐ t̪ ɾ ɪ
అది	ɐ d̪ ɪ
అదృశ్యత	a d r ɨ ɕ j a t a
అదృష్టము	a d r ɨ ʂ ʈ a m u
అద్దం	ɐ d̪ː ɐ m̃
అద్దము	ɐ d̪ː ɐ m ʊ
అద్దాలు	ɐ d̪ː aː l ʊ
అద్దె	ɐ d̪ː ɛ
అద్దెయిల్లు	ɐ d̪ː ɛ j ɪ lː ʊ
అద్వైతం	ɐ d̪ ʋ ɐ ɪ̯ t̪ ɐ m̃
అద్వైతము	ɐ d̪ ʋ ɐ ɪ̯ t̪ ɐ m ʊ
అధరము	ɐ d̪ʱ ɐ ɾ ɐ m ʊ
అధర్మం	ɐ d̪ʱ ɐ ɾ m ɐ m̃
అధర్మము	ɐ d̪ʱ ɐ ɾ m ɐ m ʊ
అనంతత	ɐ n̪ ɐ n̪ t̪ ɐ t̪ ɐ
అనఘము	ɐ n̪ ɐ ɡʱ ɐ m ʊ
అనధికారము	ɐ n̪ ɐ d̪ʱ ɪ k aː ɾ ɐ m ʊ
అని	ɐ n̪ ɪ
అనిపించు	ɐ n̪ ɪ p ɪ ɲ t͡ɕ ʊ
అను	ɐ n̪ ʊ
అనుకొను	ɐ n̪ ʊ k ɔ n̪ ʊ
అనుపానము	a n u p aː n a m u
అనుబంధము	ɐ n̪ ʊ b ɐ n̪ d̪ʱ ɐ m ʊ
అనుభవము	ɐ n̪ ʊ bʱ ɐ ʋ ɐ m ʊ
అనుభవించు	ɐ n̪ ʊ bʱ ɐ ʋ ɪ ɲ t͡ɕ ʊ
అనురక్తి	ɐ n̪ ʊ ɾ ɐ k t̪ ɪ
అనువాదం	ɐ n̪ ʊ ʋ aː d̪ ɐ m̃
అన్న	ɐ n̪ n̪ ɐ
అన్నం	ɐ n̪ n̪ ɐ m̃
అన్నపూర్ణ	ɐ n̪ n̪ ɐ p uː ɾ ɳ ɐ
అన్నప్రాశనము	ɐ n̪ n̪ ɐ p ɾ aː ɕ ɐ n̪ ɐ m ʊ
అన్నమాట​	ɐ n̪ n̪ ɐ m aː ʈ ɐ
అన్నము	ɐ n̪ n̪ ɐ m ʊ
అన్నీ	ɐ n̪ n̪ iː
అన్ను	ɐ n̪ n̪ ʊ
అన్వేషణము	ɐ n̪ ʋ eː ʂ ɐ ɳ ɐ m ʊ
అపకారము	ɐ p ɐ k aː ɾ ɐ m ʊ
అపరంజి	ɐ p ɐ ɾ ɐ ɲ d͡ʑ ɪ
అప్ప	a pː a
అప్పు	ɐ pː ʊ
అబద్ధం	ɐ b ɐ d̪ːʱ ɐ m̃
అబ్బ	ɐ bː ɐ
అబ్బబ్బ	ɐ bː ɐ bː ɐ
అభ్రకము	ɐ bʱ ɾ ɐ k ɐ m ʊ
అమరావతి	ɐ m ɐ ɾ aː ʋ ɐ t̪ ɪ
అమర్యాదగా	ɐ m ɐ ɾ j aː d̪ ɐ ɡ aː
అమాయకుడు	ɐ m aː j ɐ k ʊ ɖ ʊ
అమ్మ	ɐ mː ɐ
అమ్మమ్మ	ɐ mː ɐ mː ɐ
అమ్మలక్కలు	ɐ mː ɐ l ɐ kː ɐ l ʊ
అమ్మాయి	a mː aː j i
అమ్ము	ɐ mː ʊ
అయితే	ɐ j ɪ t̪ eː
అయిదింతలు	ɐ j ɪ d̪ ɪ n̪ t̪ ɐ l ʊ
అయిదుమంది	ɐ j ɪ d̪ ʊ m ɐ n̪ d̪ ɪ
అయిదువ	ɐ j ɪ d̪ ʊ ʋ ɐ
అయిన	ɐ j ɪ n̪ ɐ
అయ్య	ɐ jː ɐ
అరటి	ɐ ɾ ɐ ʈ ɪ
అరబ్బీ	ɐ ɾ ɐ bː iː
అరి	ɐ ɾ ɪ
అరివెట్టు	ɐ ɾ ɪ ʋ ɛ ʈː ʊ
అరుదు	ɐ ɾ ʊ d̪ ʊ
అరుదుగా	ɐ ɾ ʊ d̪ ʊ ɡ aː
అరువు	ɐ ɾ ʊ ʋ ʊ
అల	ɐ l ɐ
అలరాయి	ɐ l ɐ ɾ aː j ɪ
అల్పప్రాణి	ɐ l p ɐ p ɾ aː ɳ ɪ
అల్లికాడ	ɐ lː ɪ k aː ɖ ɐ
అల్లు	a lː u
అవని	a ʋ a n i
అవనిగడ్డ	ɐ ʋ ɐ n̪ ɪ ɡ ɐ ɖː ɐ
అవయవము	ɐ ʋ ɐ j ɐ ʋ ɐ m ʊ
అవసరము	ɐ ʋ ɐ s ɐ ɾ ɐ m ʊ
అవి	ɐ ʋ ɪ
అవిటి	ɐ ʋ ɪ ʈ ɪ
అవిద్య	ɐ ʋ ɪ d̪ j ɐ
అవు	a ʋ u
అవుడు	ɐ ʋ ʊ ɖ ʊ
అవునవును	ɐ ʋ ʊ n̪ ɐ ʋ ʊ n̪ ʊ
అవును	ɐ ʋ ʊ n̪ ʊ
అశక్తత	ɐ ɕ ɐ k t̪ ɐ t̪ ɐ
అశుచి	ɐ ɕ ʊ t͡ɕ ɪ
అశ్రువు	ɐ ɕ ɾ ʊ ʋ ʊ
అశ్వగంధ	ɐ ɕ ʋ ɐ ɡ ɐ n̪ d̪ʱ ɐ
అశ్వత్థము	ɐ ɕ ʋ ɐ t̪ːʰ ɐ m ʊ
అశ్విని	ɐ ɕ ʋ ɪ n̪ ɪ
అష్ట	ɐ ʂ ʈ ɐ
అసంతుష్టి	ɐ s ɐ n̪ t̪ ʊ ʂ ʈ ɪ
అసంతృప్తి	ɐ s ɐ n̪ t̪ ɻ̍ p t̪ ɪ
అసతి	ɐ s ɐ t̪ ɪ
అసాధారణము	ɐ s aː d̪ʱ aː ɾ ɐ ɳ ɐ m ʊ
అసురుడు	ɐ s ʊ ɾ ʊ ɖ ʊ
అస్త్రము	ɐ s t̪ ɾ ɐ m ʊ
అస్థి	ɐ s t̪ʰ ɪ
అస్థికణం	ɐ s t̪ʰ ɪ k ɐ ɳ ɐ m̃
అస్థికణము	ɐ s t̪ʰ ɪ k ɐ ɳ ɐ m ʊ
ఆ	aː
ఆంధ్రము	aː n̪ d̪ʱ ɾ ɐ m ʊ
ఆకలి	aː k ɐ l ɪ
ఆకాశసౌధము	aː k aː ɕ ɐ s ɐ ʊ̯ d̪ʱ ɐ m ʊ
ఆకు	aː k u
ఆకుకూర​	aː k ʊ k uː ɾ ɐ
ఆకుచాటుపిందియ	aː k ʊ t͡ɕ aː ʈ ʊ p ɪ n̪ d̪ ɪ j ɐ
ఆకుచాటుపిందె	aː k ʊ t͡ɕ aː ʈ ʊ p ɪ n̪ d̪ ɛ
ఆకుపచ్చ	aː k ʊ p ɐ t͡ɕː ɐ
ఆగర్భశ్రీమంతుడు	aː ɡ ɐ ɾ bʱ ɐ ɕ ɾ iː m ɐ n̪ t̪ ʊ ɖ ʊ
ఆగు	aː ɡ ʊ
ఆగ్నేయము	aː ɡ n̪ eː j ɐ m ʊ
ఆగ్నేయమూల	aː ɡ n̪ eː j ɐ m uː l ɐ
ఆజ్ఞ	aː d͡ʑ ɲ ɐ
ఆజ్ఞాపించు	aː d͡ʑ ɲ aː p ɪ ɲ t͡ɕ ʊ
ఆట	aː ʈ ɐ
ఆటం	aː ʈ ɐ m̃
ఆటము	aː ʈ ɐ m ʊ
ఆటవెలది	aː ʈ ɐ ʋ ɛ l ɐ d̪ ɪ
ఆడ	aː ɖ ɐ
ఆడగురి	aː ɖ ɐ ɡ ʊ ɾ ɪ
ఆడగుఱి	aː ɖ ɐ ɡ ʊ r ɪ
ఆడు	aː ɖ ʊ
ఆడుగురి	aː ɖ ʊ ɡ ʊ ɾ ɪ
ఆడుబిడ్డ	aː ɖ u b i ɖː a
ఆణి	aː ɳ i
ఆత్మహత్య	aː t̪ m ɐ h ɐ t̪ j ɐ
ఆదివారము	aː d̪ ɪ ʋ aː ɾ ɐ m ʊ
ఆధారపడు	aː d̪ʱ aː ɾ ɐ p ɐ ɖ ʊ
ఆన	aː n̪ a
ఆనకట్ట	aː n a k a ʈː a
ఆనపకాయ	aː n̪ ɐ p ɐ k aː j ɐ
ఆనవాలు	aː n̪ ɐ ʋ aː l ʊ
ఆనవాలుపట్టు	aː n̪ ɐ ʋ aː l ʊ p ɐ ʈː ʊ
ఆపద	aː p a d̪ a
ఆపు	aː p ʊ
ఆమె	aː m ɛ
ఆమెది	aː m e d i
ఆయన	aː j ɐ n̪ ɐ
ఆయము	aː j ɐ m ʊ
ఆరంభించు	aː ɾ ɐ m bʱ ɪ ɲ t͡ɕ ʊ
ఆరవ	aː ɾ ɐ ʋ ɐ
ఆరు	aː ɾ ʊ
ఆరుగురు	aː ɾ ʊ ɡ ʊ ɾ ʊ
ఆర్పు	aː r p u
ఆలకించు	aː l ɐ k ɪ ɲ t͡ɕ ʊ
ఆలకింౘు	aː l ɐ k ɪ n̪ t͡s ʊ
ఆలి	aː l̪ i
ఆలోచన	aː l oː t͡ɕ ɐ n̪ ɐ
ఆలోచనలు	aː l oː t͡ɕ ɐ n̪ ɐ l ʊ
ఆలోచించు	aː l oː t͡ɕ ɪ ɲ t͡ɕ ʊ
ఆవ	aː ʋ a
ఆవకాయ	aː ʋ ɐ k aː j ɐ
ఆవాలు	aː ʋ aː l̪ u
ఆవిడ	aː ʋ ɪ ɖ ɐ
ఆవు	aː ʋ ʊ
ఆవుదూడ	aː ʋ ʊ d̪ uː ɖ ɐ
ఆవుల	aː ʋ ʊ l ɐ
ఆవులు	aː ʋ ʊ l ʊ
ఆవేశము	aː ʋ eː ɕ ɐ m ʊ
ఆశ	aː ɕ ɐ
ఆశావాది	aː ɕ aː ʋ aː d i
ఆశించు	aː ɕ ɪ ɲ t͡ɕ ʊ
ఆశీస్సు	aː ɕ iː sː ʊ
ఆశ్వయుజం	aː ɕ ʋ ɐ j ʊ d͡ʑ ɐ m̃
ఆశ్వయుజము	aː ɕ ʋ ɐ j ʊ d͡ʑ ɐ m ʊ
ఆసక్తి	aː s ɐ k t̪ ɪ
ఆస్తి	aː s t̪ ɪ
ఆహారము	aː h aː ɾ ɐ m ʊ
ఆహ్వానించు	aː h ʋ aː n̪ ɪ ɲ t͡ɕ ʊ
ఇంకా	ɪ ŋ k aː
ఇంకొక	ɪ ŋ k ɔ k ɐ
ఇంగ్లీషు	ɪ ŋ ɡ l iː ʂ ʊ
ఇంచు	ɪ ɲ t͡ɕ ʊ
ఇంటి	ɪ ɳ ʈ ɪ
ఇంటిపని	ɪ ɳ ʈ ɪ p ɐ n̪ ɪ
ఇండ్లు	ɪ ɳ ɖ l ʊ
ఇంత	ɪ n̪ t̪ ɐ
ఇంతి	ɪ n̪ t̪ ɪ
ఇందిర	ɪ n̪ d̪ ɪ ɾ ɐ
ఇక్కడ	ɪ kː ɐ ɖ ɐ
ఇట	i ʈ a
ఇతి	i t i
ఇత్తడి	ɪ t̪ː ɐ ɖ ɪ
ఇది	ɪ d̪ ɪ
ఇనుము	ɪ n̪ ʊ m ʊ
ఇప్పుడు	ɪ pː ʊ ɖ ʊ
ఇరవు	ɪ ɾ ɐ ʋ ʊ
ఇరవై	ɪ ɾ ɐ ʋ ɐ ɪ̯
ఇరారు	ɪ ɾ aː ɾ ʊ
ఇరుగు	ɪ ɾ ʊ ɡ ʊ
ఇరుమూడు	ɪ ɾ ʊ m uː ɖ ʊ
ఇరులు	ɪ ɾ ʊ l ʊ
ఇల	ɪ l ɐ
ఇల్లాలు	ɪ lː aː l ʊ
ఇల్లు	ɪ lː ʊ
ఇవి	ɪ ʋ ɪ
ఇష్టపడు	ɪ ʂ ʈ ɐ p ɐ ɖ ʊ
ఇసుక	ɪ s ʊ k ɐ
ఈ	iː
ఈక	iː k a
ఈగ	iː ɡ a
ఈగపులి	iː ɡ ɐ p ʊ l ɪ
ఈటె	iː ʈ ɛ
ఈటెలు	iː ʈ ɛ l ʊ
ఈడ	iː ɖ ɐ
ఈత	iː t̪ ɐ
ఈతకల్లు	iː t̪ ɐ k ɐ lː ʊ
ఈదు	iː d̪ u
ఈమె	iː m ɛ
ఈయన	iː j ɐ n̪ ɐ
ఈరు	iː ɾ ʊ
ఈరువు	iː ɾ ʊ ʋ ʊ
ఈరేడు	iː ɾ eː ɖ ʊ
ఈరోజు	iː ɾ oː d͡ʑ ʊ
ఈల	iː l ɐ
ఈవిడ	iː ʋ ɪ ɖ ɐ
ఈశాన్యము	iː ɕ aː n̪ j ɐ m ʊ
ఈశాన్యమూల	iː ɕ aː n̪ j ɐ m uː l ɐ
ఈశ్వరి	iː ɕ ʋ ɐ ɾ ɪ
ఈశ్వరుడు	iː ɕ ʋ ɐ ɾ ʊ ɖ ʊ
ఉంచు	ʊ ɲ t͡ɕ ʊ
ఉండ	ʊ ɳ ɖ ɐ
ఉండు	ʊ ɳ ɖ ʊ
ఉండ్రాయి	ʊ ɳ ɖ ɾ aː j ɪ
ఉంపుడు	ʊ m p ʊ ɖ ʊ
ఉంపుడుకత్తె	ʊ m p ʊ ɖ ʊ k ɐ t̪ː ɛ
ఉక్కు	ʊ kː ʊ
ఉగ్గు	ʊ ɡː ʊ
ఉచితము	ʊ t͡ɕ ɪ t̪ ɐ m ʊ
ఉచ్చ	ʊ t͡ɕː ɐ
ఉచ్చారణ	ʊ t͡ɕː aː ɾ ɐ ɳ ɐ
ఉచ్చు	ʊ t͡ɕː ʊ
ఉజియబోడ	u d͡ʑ i j a b oː ɖ a
ఉత్త	u tː a
ఉత్తర	ʊ t̪ː ɐ ɾ ɐ
ఉత్సుకత	ʊ t̪ s ʊ k ɐ t̪ ɐ
ఉదంతము	ʊ d̪ ɐ n̪ t̪ ɐ m ʊ
ఉదరము	ʊ d̪ ɐ ɾ ɐ m ʊ
ఉద్దేశము	ʊ d̪ː eː ɕ ɐ m ʊ
ఉద్దేశించు	ʊ d̪ː eː ɕ ɪ ɲ t͡ɕ ʊ
ఉద్యోగము	ʊ d̪ j oː ɡ ɐ m ʊ
ఉన్నాను	ʊ n̪ n̪ aː n̪ ʊ
ఉపకథ	ʊ p ɐ k ɐ t̪ʰ ɐ
ఉపకథలు	ʊ p ɐ k ɐ t̪ʰ ɐ l ʊ
ఉపయోగం	ʊ p ɐ j oː ɡ ɐ m̃
ఉపయోగించు	ʊ p ɐ j oː ɡ ɪ ɲ t͡ɕ ʊ
ఉపవాక్యం	ʊ p ɐ ʋ aː k j ɐ m̃
ఉపాధ్యాయులు	ʊ p aː d̪ʱ j aː j ʊ l ʊ
ఉబుసు	ʊ b ʊ s ʊ
ఉబుసుపుచ్చు	ʊ b ʊ s ʊ p ʊ t͡ɕː ʊ
ఉబుసులాడు	ʊ b ʊ s ʊ l aː ɖ ʊ
ఉబుసులు	ʊ b ʊ s ʊ l ʊ
ఉమియు	ʊ m ɪ j ʊ
ఉమ్మి	ʊ mː ɪ
ఉమ్మివేయు	ʊ mː ɪ ʋ eː j ʊ
ఉమ్ము	ʊ mː ʊ
ఉలి	ʊ l ɪ
ఉలివు	ʊ l ɪ ʋ ʊ
ఉల్లంఘన	ʊ lː ɐ ŋ ɡʱ ɐ n̪ ɐ
ఉల్లము	ʊ lː ɐ m ʊ
ఉల్లి	ʊ lː ɪ
ఉల్లికాడ	ʊ lː ɪ k aː ɖ ɐ
ఉల్లిగడ్డ	ʊ lː ɪ ɡ ɐ ɖː ɐ
ఉల్లిగడ్డలు	ʊ lː ɪ ɡ ɐ ɖː ɐ l ʊ
ఉసిరి	ʊ s ɪ ɾ ɪ
ఉసురు	ʊ s ʊ ɾ ʊ
ఊంచు	uː ɲ t͡ɕ ʊ
ఊట	uː ʈ a
ఊడు	uː ɖ u
ఊదా	uː d̪ aː
ఊపిరి	uː p ɪ ɾ ɪ
ఊపిరితిత్తి	uː p i r i t i tː i
ఊపిరిలేని	uː p i r i l eː n i
ఊరు	uː ɾ ʊ
ఊరువు	uː ɾ ʊ ʋ ʊ
ఊరేఁగించు	uː ɾ eː ɡ ɪ ɲ t͡ɕ ʊ
ఊరేఁగు	uː ɾ eː ɡ ʊ
ఊరేగించు	uː ɾ eː ɡ ɪ ɲ t͡ɕ ʊ
ఊరేగింపు	uː ɾ eː ɡ ɪ m p ʊ
ఊరేగింపులు	uː ɾ eː ɡ ɪ m p ʊ l ʊ
ఊరేగు	uː ɾ eː ɡ ʊ
ఊసు	uː s ʊ
ఊసులాడు	uː s ʊ l aː ɖ ʊ
ఊసులు	uː s ʊ l ʊ
ఋ	ɻ̍
ఋక్కు	ɻ̍ kː ʊ
ఋణం	ɻ̍ ɳ ɐ m̃
ఋణము	ɻ̍ ɳ ɐ m ʊ
ఋతువు	ɻ̍ t̪ ʊ ʋ ʊ
ఋతువులు	ɻ̍ t̪ ʊ ʋ ʊ l ʊ
ఎండ	ɛ ɳ ɖ ɐ
ఎండు	ɛ ɳ ɖ ʊ
ఎండ్రకాయ	ɛ ɳ ɖ ɾ ɐ k aː j ɐ
ఎండ్రకాయలు	ɛ ɳ ɖ ɾ ɐ k aː j ɐ l ʊ
ఎంత	ɛ n̪ t̪ ɐ
ఎందాక	ɛ n̪ d̪ aː k ɐ
ఎందుకంటే	ɛ n̪ d̪ ʊ k ɐ ɳ ʈ eː
ఎందుకు	ɛ n̪ d̪ ʊ k ʊ
ఎకరా	ɛ k ɐ ɾ aː
ఎక్కడ	ɛ kː ɐ ɖ ɐ
ఎక్కువ	ɛ kː ʊ ʋ ɐ
ఎక్కువగా	ɛ kː ʊ ʋ ɐ ɡ aː
ఎక్కువతక్కువ	ɛ kː ʊ ʋ ɐ t̪ ɐ kː ʊ ʋ ɐ
ఎక్కువలు	ɛ kː ʊ ʋ ɐ l ʊ
ఎగరవేయు	ɛ ɡ ɐ ɾ ɐ ʋ eː j ʊ
ఎగురు	ɛ ɡ ʊ ɾ ʊ
ఎగ్గు	ɛ ɡː ʊ
ఎడ	ɛ ɖ ɐ
ఎడం	ɛ ɖ ɐ m̃
ఎడము	ɛ ɖ ɐ m ʊ
ఎడారి	ɛ ɖ aː ɾ ɪ
ఎడ్లు	ɛ ɖ l ʊ
ఎదురు	ɛ d̪ ʊ ɾ ʊ
ఎదురుగాలి	ɛ d̪ ʊ ɾ ʊ ɡ aː l ɪ
ఎదురుచూచు	ɛ d̪ ʊ ɾ ʊ t͡ɕ uː t͡ɕ ʊ
ఎదురుచూపు	ɛ d̪ ʊ ɾ ʊ t͡ɕ uː p ʊ
ఎద్దు	ɛ d̪ː ʊ
ఎద్దులనోము	ɛ d̪ː ʊ l ɐ n̪ oː m ʊ
ఎద్దులబండి	ɛ d̪ː ʊ l ɐ b ɐ ɳ ɖ ɪ
ఎద్దులు	ɛ d̪ː ʊ l ʊ
ఎన్నిక	ɛ n̪ n̪ ɪ k ɐ
ఎన్నికలు	ɛ n̪ n̪ ɪ k ɐ l ʊ
ఎన్ను	ɛ n̪ n̪ ʊ
ఎప్పుడు	ɛ pː ʊ ɖ ʊ
ఎముక	ɛ m ʊ k ɐ
ఎముకరంగు	ɛ m ʊ k ɐ ɾ ɐ ŋ ɡ ʊ
ఎముకలగూడు	ɛ m ʊ k ɐ l ɐ ɡ uː ɖ ʊ
ఎముకలేని	e m u k a l eː n i
ఎయిడ్స్	ɛ j ɪ ɖ s
ఎరచి	ɛ ɾ ɐ t͡ɕ ɪ
ఎరచితిండి	ɛ ɾ ɐ t͡ɕ ɪ t̪ ɪ ɳ ɖ ɪ
ఎరిగించు	ɛ ɾ ɪ ɡ ɪ ɲ t͡ɕ ʊ
ఎరుక	ɛ ɾ ʊ k ɐ
ఎరుగు	ɛ ɾ ʊ ɡ ʊ
ఎరుపు	ɛ ɾ ʊ p ʊ
ఎర్ర	ɛ r ɐ
ఎఱిగించు	ɛ r ɪ ɡ ɪ ɲ t͡ɕ ʊ
ఎఱుగు	ɛ r ʊ ɡ ʊ
ఎఱుపు	ɛ r ʊ p ʊ
ఎలా	ɛ l aː
ఎలిజబెత్	ɛ l ɪ d͡ʑ ɐ b ɛ t̪
ఎలుగు	ɛ l ʊ ɡ ʊ
ఎలుగుగొడ్డు	ɛ l ʊ ɡ ʊ ɡ ɔ ɖː ʊ
ఎలుగుబంటి	ɛ l ʊ ɡ ʊ b ɐ ɳ ʈ ɪ
ఎలుగులు	ɛ l ʊ ɡ ʊ l ʊ
ఏ	eː
ఏఁగు	eː ɡ ʊ
ఏకం	eː k ɐ m̃
ఏకము	eː k ɐ m ʊ
ఏకాదశము	eː k aː d̪ ɐ ɕ ɐ m ʊ
ఏగు	eː ɡ ʊ
ఏట	eː ʈ ɐ
ఏడవ	eː ɖ a ʋ a
ఏడు	eː ɖ u
ఏనుగు	eː n̪ ʊ ɡ ʊ
ఏబ్రాసి	eː b ɾ aː s ɪ
ఏము	eː m ʊ
