𐌰𐌱𐌿	a b u
𐌰𐌽𐌰𐍃𐌹𐌻𐌰𐌹𐌳𐌰	a n a s i l ɛː ð a
𐌰𐌽𐌰𐍃𐌹𐌻𐌰𐌽	a n a s i l aː n
𐌰𐌽𐌰𐍃𐌹𐌿𐌽	a n a s i u̯ n
𐌰𐌽𐌰𐍃𐌹𐌿𐌽𐌾𐍉	a n a s i u̯ n j oː
𐌰𐌽𐌰𐍃𐌹𐌿𐌽𐍃	a n a s i u̯ n s
𐌰𐌽𐌳𐌰𐌿𐌲𐌹	a n d ɔː ɣ i
𐌰𐌽𐌳𐌱𐌰𐌷𐍄𐌾𐌰𐌽	a n d b a h t i j a n
𐌰𐌽𐌳𐌴𐌹𐍃	a n d iː s
𐌰𐌽𐌳𐌷𐌰𐌿𐍃𐌾𐌰𐌽	a n d h ɔː s j a n
𐌰𐌽𐌳𐌸𐌰𐌲𐌺𐌾𐌰𐌽	a n d θ a ŋ k j a n
𐌰𐌽𐌳𐌸𐌰𐌲𐌺𐌾𐌰𐌽𐌳𐌹𐌽𐍃	a n d θ a ŋ k j a n d i n s
𐌰𐌽𐌳𐌸𐌰𐌲𐌺𐌾𐌰𐌽𐌳𐍃	a n d θ a ŋ k j a n d s
𐌰𐌽𐌳𐌸𐌰𐌷𐍄𐌰	a n d θ aː h t a
𐌰𐌽𐌳𐌹	a n d i
𐌰𐌽𐌳𐌹𐌽𐍃	a n d i n s
𐌰𐌽𐌳𐌾𐌰	a n d j a
𐌰𐌽𐌳𐌾𐌰𐌼	a n d j a m
𐌰𐌽𐌳𐍅𐌰𐍃𐌾𐌰𐌽	a n d w a s j a n
𐌰𐌽𐌸𐌰𐍂	a n θ a r
𐌰𐌽𐌸𐌰𐍂𐌰	a n θ a r a
𐌰𐌽𐌸𐌰𐍂𐌰𐌹	a n θ a r ɛː
𐌰𐌽𐌸𐌰𐍂𐌰𐌹𐌶𐌴	a n θ a r ɛː z eː
𐌰𐌽𐌸𐌰𐍂𐌰𐌹𐌶𐍉	a n θ a r ɛː z oː
𐌰𐌽𐌸𐌰𐍂𐌰𐌹𐌼	a n θ a r ɛː m
𐌰𐌽𐌸𐌰𐍂𐌰𐌼𐌼𐌰	a n θ a r a m m a
𐌰𐌽𐌸𐌰𐍂𐌰𐌽𐌰	a n θ a r a n a
𐌰𐌽𐌸𐌰𐍂𐌰𐌽𐌿	a n θ a r a n u
𐌰𐌽𐌸𐌰𐍂𐌰𐌽𐍃	a n θ a r a n s
𐌰𐌽𐌸𐌰𐍂𐌹𐍃	a n θ a r i s
𐌰𐌽𐌸𐌰𐍂𐌿𐌷	a n θ a r u h
𐌰𐌽𐌸𐌰𐍂𐍉𐍃	a n θ a r oː s
𐌰𐌿𐌳𐌰𐌷𐌰𐍆𐍄𐍃	ɔː ð a h a ɸ t s
𐌰𐌿𐌶𐌰𐌽𐌳𐌹𐌻	ɔː z a n d i l
𐌰𐌿𐌷𐍃𐌰	ɔ h s a
𐌰𐌿𐌷𐍃𐌰𐌿	ɔ h s ɔː
𐌰𐌿𐌷𐍃𐌽𐌴	ɔ h s n eː
𐌰𐌿𐌷𐍃𐌽𐌿𐌽𐍃	ɔ h s n u n s
𐌰𐌿𐌸𐌹𐌳𐌰	ɔː θ i ð a
𐌰𐌿𐌺𐌰𐌽	ɔː k a n
𐌰𐌿𐍂𐌰𐌷𐌾𐍉𐌼	ɔː r a h j oː m
𐌰𐌿𐍂𐌰𐌻𐌹	ɔː r aː l i
𐌰𐍀𐌰𐌿𐍃𐍄𐌰𐌿𐌻𐌿𐍃	a p ɔ s t ɔ l u s
𐌰𐍂𐌰	a r a
𐌰𐍂𐌰𐌽𐍃	a r a n s
𐌰𐍂𐌺𐌰𐌲𐌲𐌹𐌻𐌿𐍃	a r k a ŋ ɡ i l u s
𐌰𐍂𐍈𐌰𐌶𐌽𐌰	a r ʍ a z n a
𐌰𐍂𐍈𐌰𐌶𐌽𐍉𐍃	a r ʍ a z n oː s
𐌰𐍂𐍉𐌼𐌰𐍄𐌰	a r oː m a t a
𐌰𐍃𐌰𐌽	a s a n
𐌰𐍃𐌰𐌽𐌰𐌹𐍃	a s a n ɛː s
𐌰𐍃𐌰𐌽𐍃	a s a n s
𐌰𐍃𐌹𐌰	a s i a
𐌰𐍃𐌹𐌰𐌹	a s i ɛː
𐌰𐍃𐌹𐌰𐌹𐍃	a s i ɛː s
𐌰𐍃𐌹𐌻𐌰𐌿𐍃	a s i l ɔː s
𐌰𐍃𐌹𐌻𐌿	a s i l u
𐌰𐍃𐌹𐌻𐌿𐍃	a s i l u s
𐌰𐍃𐍄𐌰𐌸	a s t a θ
𐌰𐍃𐍄𐌰𐌸𐍃	a s t a θ s
𐌰𐍃𐍄𐌰𐌽𐍃	a s t a n s
𐌰𐍃𐍄𐌴	a s t eː
𐌰𐍃𐍄𐍃	a s t s
𐌰𐍃𐍄𐍉𐍃	a s t oː s
𐌰𐍄𐌲𐌰𐍂𐌰𐌹𐌷𐍄𐌾𐌰𐌹𐍃	a t ɡ a r ɛ h t j ɛː s
𐌰𐍄𐌲𐌰𐍂𐌰𐌹𐌷𐍄𐌾𐌰𐌽	a t ɡ a r ɛ h t j a n
𐌰𐍄𐌳𐍂𐌹𐌿𐍃𐌰𐌽	a t d r i u̯ s a n
𐌰𐍄𐌷𐌰𐌱𐌰𐌹𐌳𐌴𐌳𐌿𐌽	a t h a b ɛː d eː d u n
𐌰𐍄𐌷𐌰𐌱𐌰𐌽	a t h a b aː n
𐌰𐍄𐌷𐌰𐌷𐌰𐌽	a t h aː h a n
𐌰𐍄𐌷𐌰𐌷𐌰𐌽𐍃	a t h aː h a n s
𐌰𐍄𐌷𐌰𐌷𐌹𐌸	a t h aː h i θ
𐌰𐍄𐌹𐍃𐌺	a t i s k
𐌰𐍄𐌽𐌴𐍈𐌹𐌳𐌰	a t n eː ʍ i d a
𐌰𐍄𐌽𐌴𐍈𐌾𐌰𐌽	a t n eː ʍ j a n
𐌰𐍄𐍃𐌽𐌰𐍂𐍀𐌾𐌰𐌹𐍃	a t s n a r p j ɛː s
𐌰𐍄𐍃𐌽𐌰𐍂𐍀𐌾𐌰𐌽	a t s n a r p j a n
𐌰𐍄𐍅𐌰𐌻𐍅𐌹𐌳𐌰	a t w a l w i d a
𐌰𐍄𐍅𐌰𐌻𐍅𐌾𐌰𐌽	a t w a l w j a n
𐌰𐍄𐍅𐌰𐌽𐌳𐌹𐌳𐌰	a t w a n d i d a
𐌰𐍄𐍅𐌰𐌽𐌳𐌾𐌰𐌽	a t w a n d j a n
𐌰𐍄𐍅𐌹𐍄𐌰𐌹𐌽𐌰𐌹	a t w i t ɛː n ɛː
𐌰𐍄𐍅𐌹𐍄𐌰𐌹𐌽𐍃	a t w i t ɛː n s
𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌽	a t f a r i d eː d u n
𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽	a t f a r j a n
𐌰𐍅𐌴𐌸𐌹	a w eː θ i
𐌰𐍅𐌴𐌸𐌾𐌹𐍃	a w eː θ j i s
𐌰𐍅𐌹𐍃𐍄𐍂	a w i s t r
𐌰𐍅𐌹𐍃𐍄𐍂𐌹𐍃	a w i s t r i s
𐌰𐍆	a ɸ
𐌰𐍆𐌰𐍂𐌿𐌷	a f a r u h
𐌰𐍆𐌳𐌰𐌹𐌻𐌾𐌰𐌽	a f d ɛː l j a n
𐌰𐍆𐌳𐌰𐌿𐌱𐌽𐌰𐌽	a f d ɔː b n a n
𐌰𐍆𐌷𐌻𐌰𐌸𐌰𐌽	a f h l a θ a n
𐌰𐍆𐍅𐌰𐌻𐍅𐌾𐌰𐌽	a f w a l w j a n
𐌰𐍆𐍈𐌰𐍀𐌽𐌰𐌽	a f ʍ a p n a n
𐌱𐌰	b a
𐌱𐌰𐌲𐌼𐌰𐌼	b a ɡ m a m
𐌱𐌰𐌲𐌼𐌰𐌽𐍃	b a ɡ m a n s
𐌱𐌰𐌲𐌼𐌴	b a ɡ m eː
𐌱𐌰𐌲𐌼𐍃	b a ɡ m s
𐌱𐌰𐌹	b ɛː
𐌱𐌰𐌹𐌼	b ɛː m
𐌱𐌰𐌹𐍂𐌰𐌽	b ɛ r a n
𐌱𐌰𐌹𐍂𐌲𐌰𐌷𐌴𐌹	b ɛ r ɡ a h iː
𐌱𐌰𐌹𐍂𐌲𐌰𐌽	b ɛ r ɡ a n
𐌱𐌰𐌹𐍂𐌷𐍄𐍃	b ɛ r x t s
𐌱𐌰𐌻𐌸𐌴𐌹	b a l θ iː
𐌱𐌰𐌻𐌸𐌴𐌹𐌸	b a l θ iː θ
𐌱𐌰𐌻𐌸𐌴𐌹𐌽	b a l θ iː n
𐌱𐌰𐌻𐌸𐌴𐌹𐌽𐍃	b a l θ iː n s
𐌱𐌰𐌻𐌸𐌾𐌰𐌽	b a l θ j a n
𐌱𐌰𐌻𐌾𐍉𐌽	b a l j oː n
𐌱𐌰𐌻𐌾𐍉𐌽𐌳𐌰𐌽𐌴	b a l j oː n d a n eː
𐌱𐌰𐌻𐌾𐍉𐌽𐌳𐍃	b a l j oː n d s
𐌱𐌰𐌽𐌳𐍅𐌹𐌳𐌿𐌷	b a n d w i d u h
𐌱𐌰𐌽𐍃	b a n s
𐌱𐌰𐌿𐌰	b ɔː a
𐌱𐌰𐌿𐌰𐌹	b ɔː ɛː
𐌱𐌰𐌿𐌰𐌹𐌳𐌰	b ɔː i d a
𐌱𐌰𐌿𐌰𐌹𐌼𐌰	b ɔː ɛː m a
𐌱𐌰𐌿𐌰𐌽	b ɔː a n
𐌱𐌰𐌿𐌰𐌽𐌳𐌴𐌹	b ɔː a n d iː
𐌱𐌰𐌿𐌰𐌽𐌳𐍃	b ɔː a n d s
𐌱𐌰𐌿𐌸𐍃	b ɔː θ s
𐌱𐌰𐌿𐌹𐌸	b ɔː i θ
𐌱𐌰𐌿𐍂𐌸𐌴𐌹	b ɔ r θ iː
𐌱𐌰𐌿𐍂𐌸𐌴𐌹𐌽	b ɔ r θ iː n
𐌱𐌰𐍂𐌹𐌶𐌴𐌹𐌽𐌰𐌼	b a r i z iː n a m
𐌱𐌰𐍂𐌹𐌶𐌴𐌹𐌽𐌰𐌽𐍃	b a r i z iː n a n s
𐌱𐌰𐍂𐌹𐌶𐌴𐌹𐌽𐍃	b a r i z iː n s
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌰𐌹	b a r n i s k ɛː
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌴𐌹	b a r n i s k iː
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌴𐌹𐌽𐍃	b a r n i s k iː n s
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌹	b a r n i s k i
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌾𐌰	b a r n i s k j a
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐍃	b a r n i s k s
𐌱𐌴𐌹𐌳𐌰𐌽	b iː ð a n
𐌱𐌴𐌹𐍃𐍄	b iː s t
𐌱𐌴𐌹𐍃𐍄𐌰	b iː s t a
𐌱𐌴𐌹𐍃𐍄𐌹𐍃	b iː s t i s
𐌱𐌴𐌹𐍄𐌰𐌽	b iː t a n
𐌱𐌴𐍂𐌿𐍃𐌾𐍉𐍃	b eː r u s j oː s
𐌱𐌹𐌰𐌱𐍂𐌹𐌳𐌴𐌳𐌿𐌽	b i a b r i d eː d u n
𐌱𐌹𐌰𐌱𐍂𐌾𐌰𐌽	b i a b r j a n
𐌱𐌹𐌰𐌿𐌺	b i ɔː k
𐌱𐌹𐌰𐌿𐌺𐌰𐌳𐌰	b i ɔː k a d a
𐌱𐌹𐌰𐌿𐌺𐌰𐌽	b i ɔː k a n
𐌱𐌹𐌰𐌿𐌺𐌰𐌽𐌳𐍃	b i ɔː k a n d s
𐌱𐌹𐌲𐌰𐌹𐍂𐌳𐌰𐌽	b i ɡ ɛ r d a n
𐌱𐌹𐌲𐌰𐌿𐍂𐌳𐌰𐌽𐍃	b i ɡ ɔ r d a n s
𐌱𐌹𐌳𐌾𐌰𐌹𐌸	b i d j ɛː θ
𐌱𐌹𐌳𐌾𐌰𐌽𐌳𐌰𐌽𐍃𐌿𐌸	b i d j a n d a n s u θ
𐌱𐌹𐌳𐍉𐌼𐌾𐌰𐌹	b i d oː m j ɛː
𐌱𐌹𐌳𐍉𐌼𐌾𐌰𐌽	b i d oː m j a n
𐌱𐌹𐌵𐌹𐌼𐌰𐌽	b i kʷ i m a n
𐌱𐌹𐌵𐌹𐌼𐌹𐌸	b i kʷ i m i θ
𐌱𐌹𐌸𐌴	b i θ eː
𐌱𐌹𐌸𐌴𐌷	b i θ eː x
𐌱𐌹𐌸𐍅𐌰𐌷𐌰𐌽	b i θ w a h a n
𐌱𐌹𐌸𐍅𐌰𐌷𐌰𐌽𐌳𐍃	b i θ w a h a n d s
𐌱𐌹𐌺𐌿𐌺𐌾𐌰𐌽	b i k u k j a n
𐌱𐌹𐌻𐌰𐌹𐍆	b i l ɛː f
𐌱𐌹𐌻𐌴𐌹𐌱𐌰𐌽	b i l iː β a n
𐌱𐌹𐌿𐌷𐍄𐌹	b i uː x t i
𐌱𐌹𐌿𐌷𐍄𐌾𐌰	b i uː x t j a
𐌱𐌹𐌿𐌷𐍄𐍃	b i uː x t s
𐌱𐌹𐍂𐌴𐌹𐌺𐌴𐌹	b i r iː k iː
𐌱𐌹𐍂𐌴𐌹𐌺𐌴𐌹𐌼	b i r iː k iː m
𐌱𐌹𐍂𐌴𐌹𐌺𐌴𐌹𐍃	b i r iː k iː s
𐌱𐌹𐍂𐌴𐌹𐌺𐌾𐌰𐌹	b i r iː k j ɛː
𐌱𐌹𐍂𐌹𐌽𐌽𐌰𐌽	b i r i n n a n
𐌱𐌹𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	b i r i n n a n d a n s
𐌱𐌹𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	b i r i n n a n d s
𐌱𐌹𐍂𐌿𐌽𐌰𐌹𐌽	b i r uː n ɛː n
𐌱𐌹𐍂𐌿𐌽𐌰𐌹𐌽𐍃	b i r uː n ɛː n s
𐌱𐌹𐍂𐌿𐌽𐌽𐌿𐌽	b i r u n n u n
𐌱𐌹𐍂𐍉𐌳𐌴𐌹𐌸	b i r oː d iː θ
𐌱𐌹𐍂𐍉𐌳𐌹𐌳𐌴𐌳𐌿𐌽	b i r oː d i d eː d u n
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽	b i r oː d j a n
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽𐌳𐌴𐌹𐌽	b i r oː d j a n d iː n
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽𐌳𐍃	b i r oː d j a n d s
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌳𐌰	b i s ɔː l i d a
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌳𐌰𐌹𐌼	b i s ɔː l i d ɛː m
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌸𐍃	b i s ɔː l i θ s
𐌱𐌹𐍃𐌰𐌿𐌻𐌽𐌰𐌽	b i s ɔː l n a n
𐌱𐌹𐍃𐌰𐌿𐌻𐌽𐍉𐌳𐌴𐌳𐌴𐌹𐌽𐌰	b i s ɔː l n oː d eː d iː n a
𐌱𐌹𐍃𐌰𐌿𐌻𐌾𐌰𐌽	b i s ɔː l j a n
𐌱𐌹𐍃𐌰𐍄𐌹𐌳𐌰	b i s a t i d a
𐌱𐌹𐍃𐌰𐍄𐌾𐌰𐌽	b i s a t j a n
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽	b i s k a b a n
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽𐍃	b i s k a b a n s
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽𐍉𐌽	b i s k a b a n oː n
𐌱𐌹𐍃𐌺𐌰𐌹𐌽	b i s k ɛː n
𐌱𐌹𐍃𐌺𐌴𐌹𐌽𐌰𐌽	b i s k iː n a n
𐌱𐌹𐍃𐌼𐌰𐌹𐍄	b i s m ɛː t
𐌱𐌹𐍃𐌼𐌴𐌹𐍄𐌰𐌽	b i s m iː t a n
𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌼	b i s n i w a m
𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽	b i s n i w a n
𐌱𐌹𐍃𐌿𐌽𐌾𐌰𐌽𐌴	b i s u n j a n eː
𐌱𐌹𐍃𐍀𐌴𐌹𐍅𐌰𐌳𐌰	b i s p iː w a d a
𐌱𐌹𐍃𐍀𐌴𐌹𐍅𐌰𐌽	b i s p iː w a n
𐌱𐌹𐍃𐍀𐌹𐍅𐌿𐌽	b i s p i w u n
𐌱𐌹𐍃𐍅𐌰𐌹𐍂𐌱𐌰𐌽	b i s w ɛ r b a n
𐌱𐌹𐍃𐍅𐌰𐍂𐌰	b i s w a r a
𐌱𐌹𐍃𐍅𐌰𐍂𐌰𐌽	b i s w a r a n
𐌱𐌹𐍃𐍅𐌰𐍂𐌱	b i s w a r f
𐌱𐌹𐍅𐌰𐌹𐌱𐌹𐌳𐌰𐌽𐌰	b i w ɛː b i d a n a
𐌱𐌹𐍅𐌰𐌹𐌱𐌹𐌸𐍃	b i w ɛː b i θ s
𐌱𐌹𐍅𐌰𐌹𐌱𐌾𐌰𐌽	b i w ɛː b j a n
𐌱𐌹𐍅𐌰𐌹𐌱𐌾𐌰𐌽𐌳	b i w ɛː b j a n d
𐌱𐌹𐍅𐌰𐌽𐌳	b i w a n d
𐌱𐌹𐍅𐌰𐌽𐌳𐌴𐌹	b i w a n d iː
𐌱𐌹𐍅𐌰𐌽𐌳𐌾𐌰𐌽	b i w a n d j a n
𐌱𐌹𐍅𐌰𐌽𐌳𐌾𐌰𐌽𐌳𐌰𐌽𐍃	b i w a n d j a n d a n s
𐌱𐌹𐍅𐌰𐌽𐌳𐌾𐌰𐌽𐌳𐍃	b i w a n d j a n d s
𐌱𐌹𐍅𐌴𐍃𐌾𐌰𐌿	b i w eː s j ɔː
𐌱𐌹𐍅𐌹𐌽𐌳𐌰𐌽	b i w i n d a n
𐌱𐌹𐍅𐌹𐍃𐌰𐌽	b i w i s a n
𐌱𐌹𐍅𐌿𐌽𐌳𐌰𐌽	b i w u n d a n
𐌱𐌹𐍅𐌿𐌽𐌳𐌰𐌽𐍃	b i w u n d a n s
𐌱𐌹𐍈𐌰𐌹𐍂𐌱𐌰𐌽	b i ʍ ɛ r b a n
𐌱𐌹𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳	b i ʍ ɛ r b a n d
𐌱𐌹𐍈𐌴	b i ʍ eː
𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽	b l ɔː θ j a n
𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽𐌳𐌰𐌽𐍃	b l ɔː θ j a n d a n s
𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽𐌳𐍃	b l ɔː θ j a n d s
𐌱𐌻𐌴𐌹𐌸𐌴𐌹	b l iː θ iː
𐌱𐌻𐌴𐌹𐌸𐌴𐌹𐌽𐍃	b l iː θ iː n s
𐌱𐌻𐌴𐌹𐌸𐌴𐌹𐌽𐍉	b l iː θ iː n oː
𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽𐌳𐌰𐌽𐍃	b l iː θ j a n d a n s
𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽𐌳𐍃	b l iː θ j a n d s
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽	b l i ɡ ɡ w a n
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳	b l i ɡ ɡ w a n d
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐌰𐌼	b l i ɡ ɡ w a n d s
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐌰𐌽𐍃	b l i ɡ ɡ w a n d a n s
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐍃	b l i ɡ ɡ w a n d s
𐌱𐌻𐌹𐌽𐌳𐌰𐌽𐌰	b l i n d a n a
𐌱𐌻𐍉𐌼𐌰	b l oː m a
𐌱𐌻𐍉𐌼𐌰𐌽𐍃	b l oː m a n s
𐌱𐌽𐌰𐌿𐌰𐌽	b n ɔː a n
𐌱𐌽𐌰𐌿𐌰𐌽𐌳𐌰𐌽𐍃	b n ɔː a n d a n s
𐌱𐌽𐌰𐌿𐌰𐌽𐌳𐍃	b n ɔː a n d s
𐌱𐌿𐌲𐌾𐌰𐌽	b u ɣ j a n
𐌱𐍂𐌹𐌺𐌰𐌽	b r i k a n
𐌱𐍂𐌹𐌽𐌽𐌰𐌽	b r i n n a n
𐌱𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	b r i n n a n d s
𐌱𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍉	b r i n n a n d oː
𐌱𐍂𐌹𐌽𐌽𐍉	b r i n n oː
𐌱𐍂𐌿𐌸𐍃	b r uː θ s
𐌱𐍂𐌿𐌸𐍆𐌰𐌸𐍃	b r uː θ ɸ a θ s
𐌱𐍂𐌿𐌺𐌾𐌰𐌽	b r uː k j a n
𐌱𐍂𐌿𐌺𐍃	b r uː k s
𐌱𐍂𐍉𐌸𐍂𐌰𐌷𐌰𐌽𐍃	b r oː θ r a h a n s
𐌱𐍅𐍃𐍃𐌰𐌿𐌽	b y s s ɔ n
𐌱𐍉𐍄𐌴𐌹𐌸	b oː t iː θ
𐌱𐍉𐍄𐌹𐌳𐌰	b oː t i d a
𐌱𐍉𐍄𐌾𐌰𐌽	b oː t j a n
𐌲𐌰𐌰𐌲𐌲𐍅𐌴𐌹	ɡ a a ŋ ɡ w iː
𐌲𐌰𐌰𐌲𐌲𐍅𐌴𐌹𐌽	ɡ a a ŋ ɡ w iː n
𐌲𐌰𐌰𐌲𐌲𐍅𐌹𐌳𐌰𐌹	ɡ a a ŋ ɡ w i d ɛː
𐌲𐌰𐌰𐌲𐌲𐍅𐌹𐌸𐍃	ɡ a a ŋ ɡ w i θ s
𐌲𐌰𐌰𐌲𐌲𐍅𐌾𐌰𐌽	ɡ a a ŋ ɡ w j a n
𐌲𐌰𐌰𐌹𐌽𐌰𐌹𐌳𐌰𐌹	ɡ a ɛː n ɛː d ɛː
𐌲𐌰𐌰𐌹𐌽𐌰𐌹𐌸𐍃	ɡ a ɛː n ɛː θ s
𐌲𐌰𐌰𐌹𐌽𐌰𐌽	ɡ a ɛː n aː n
𐌲𐌰𐌰𐌹𐍃𐍄𐌰𐌽	ɡ a ɛː s t aː n
𐌲𐌰𐌰𐌹𐍃𐍄𐌰𐌽𐌳	ɡ a ɛː s t aː n d
𐌲𐌰𐌰𐌿𐌺𐌰𐌹𐌸	ɡ a ɔː k ɛː θ
𐌲𐌰𐌰𐌿𐌺𐌰𐌽	ɡ a ɔː k a n
𐌲𐌰𐌰𐍂𐌱𐌾𐌰	ɡ a a r b j a
𐌲𐌰𐌰𐍂𐌱𐌾𐌰𐌽𐍃	ɡ a a r b j a n s
𐌲𐌰𐌱𐌰𐌹𐌳𐌹𐌳𐌴𐌳𐌿𐌸	ɡ a b ɛː d i d eː d u θ
𐌲𐌰𐌱𐌰𐌹𐌳𐌾𐌰𐌽	ɡ a b ɛː d j a n
𐌲𐌰𐌱𐌰𐌹𐍂𐌲𐌰𐌳𐌰	ɡ a b ɛ r ɡ a d a
𐌲𐌰𐌱𐌰𐌹𐍂𐌲𐌰𐌽	ɡ a b ɛ r ɡ a n
𐌲𐌰𐌱𐌰𐌹𐍂𐌷𐍄𐌴𐌹𐌸	ɡ a b ɛ r h t iː θ
𐌲𐌰𐌱𐌰𐌽𐌳𐍅𐌹𐌳𐌴𐌳𐌿𐌽	ɡ a b a n d w i d eː d u n
𐌲𐌰𐌱𐌰𐌽𐌳𐍅𐌾𐌰𐌽	ɡ a b a n d w j a n
