afar	a v a r
jǫtnar	j ɒ t n ɑ̃ r
jǫtunn	j ɒ t ʊ̃ nː
jǫtunn	j ɔ t u nː
kalfi	k ɑ l v ɪ
kjalki	k j a l k i
konungr	k o n u n ɡ ɹ̝
konungr	k o n u n ɡ r
kunnusta	k u nː u s t a
kveld	k w ɛ l d
kví	k w iː
kvísl	k w iː s l̩
kyssiligr	k y sː i l i ɣ r
kytja	k y t j a
Kári	k ɒː r e
Kári	k aː r i
kærr	k ɛː rː
kúga	k uː ɣ a
kǫttr	k ɒ tː r̩
laukr	l ɑ u k r̩
lilja	l i l j a
lit	l i t
lið	l i ð
Loki	l o k ɪ
láta	l ɑː t ɑ
láta	l ɒː t a
læknishǫnd	l ɛː k n ɪ̃ s h ɒ̃ n d
lævíss	l ɛː w iː sː
lík	l iː k
megin	m ɛ̃ ɣ ɪ̃ n
Miklagarðr	m i k l a ɡ a r ð r
Mjǫllnir	m j̃ ɔ̃ lː n ɪ̃ r
Mjǫllnir	m j ɔ lː n i r
mjǫt	m j̃ ɒ̃ t
mjǫðr	m j ɒ ð r
mjǫðr	m j ɔ ð r
mold	m õ l d
morginn	m õ r ɣ ɪ̃ nː
myki	m ỹ k ɪ
mǫgr	m ɒ̃ ɣ r̩
mǫpurr	m ɔ p u rː
Naddoddr	n ɑ dː o dː ɹ̠̊ ˔
Naddoddr	n a dː o dː r
norðmaðr	n õ r ð m ɑ̃ ð r
norðr	n o r ð r
nátt	n ɑ̃ː tː
nótt	n oː tː
nýr	n ỹː r
nǫ́tt	n ɒ̃ː tː
ragnarǫk	r ɑ ɣ n ɑ̃ r ɒ k
rakki	r a k k ɪ
rauðr	r ɑ u ð r̩
regin	r ɛ ɣ ɪ̃ n
ráðsnjallr	r ɑː ð s n j̃ ɑ̃ lː r̩
Rín	r iː n
rǫk	r ɒ k
rǫkstóll	r ɒ k s t oː lː
salr	s ɑ l r̩
saltr	s ɑ l t r̩
sandr	s ɑ̃ n d r̩
seimr	s ɛ̃ ĩ m r̩
seiðkona	s ɛ i θ k õ n ɑ̃
seiðmaðr	s ɛ i ð m ɑ̃ ð r
seiðr	s ɛ i ð r̩
sigrún	s i ɣ r ũː n
Sinfjǫtli	s i n ɸ j ɒ t l e
Sinfjǫtli	s i n f j ø t l i
skip	s k i p
skjótr	s k j oː t r̩
skjǫldr	s k e ɒ̯ l d ɹ̝
skjǫldr	s k j ɒ l d r̩
Skjǫldr	s k e ɒ̯ l d ɹ̝
Skjǫldr	s k j ɒ l d r̩
skrælingi	s k r ɛː l ɪ̃ ŋ ɡ ɪ
skyldr	s k y l d r̩
Skáney	s k ɒː n ø y̯
Skáney	s k ɒː n ɛ y̯
ský	s k yː
slíta	s t l iː t a
slǿgr	s l øː ɣ r̩
snjallr	s n j̃ ɑ̃ lː r̩
snær	s n ɛ̃ː r
spjall	s p j ɑ lː
spánn	s p ɒ̃ː nː
spý	s p yː
staðr	s t ɑ ð r̩
steinn	s t ɛ̃ ĩ nː
styrkr	s t y r k r̩
stóll	s t oː lː
stǫng	s t ɒ ŋ ɡ
stǿra	s t øː r a
svartr	s w a r t r̩
sær	s ɛː r
sær	s æ ɾ
sætt	s ɛː tː
sætta	s ɛː tː ɑ
síma	s iː m a
tal	t ɑ l
tvá	t v ɔ aː
tíðr	t iː ð r̩
tól	t oː l
tún	t ũː n
tý	t yː
Uladztir	u l ɑ d t s t i ɹ̝
Uladztir	u l ɑ d t s t ɪ r̩
Ulaztir	u l ɑ̃ t s t ɪ r
Ulfarr	u l β ɑ rː
Ulfarr	u l v a rː
ungr	ũ ŋ ɡ r
unnr	ũ nː r̩
Uppsalir	u pː s a l ɪ r
Valhǫll	w ɑ l h ɒ lː
Valhǫll	v ɑ l h ɒ lː
valkyrja	w ɑ l k y r j ɑ
valr	w ɑ l r̩
valtr	w ɑ l t r̩
vangr	w ɑ̃ ŋ ɡ r̩
vatn	w a t n
vatn	w ɑ t n
vatn	w ɒ t n
vatn	w ɔ t n
vaz	w ɑ t͡s
vegr	w e ɣ r
vild	w i l d
Vinland	w i n l ɑ n d
við	w i ð
við	w ɪ ð
viðr	w i ð r̩
vána	v aː n a
vápnatak	w ɑː p n ɑ̃ t ɑ k
várum	w aː r u m
vængr	w ɛ̃ː ŋ ɡ r̩
vér	v eː r
víkingr	w iː k i n ɡ ɹ̝
víkingr	w iː k i n ɡ r
vǫllr	w ɒ lː ɹ̝
vǫllr	v ɒ lː r̩
vǫllr	v ɔ lː r̩
vǫlva	w ɒ l w a
vǫlva	v ɒ l v a
vǫ́rum	w ɔː r u m
Yngvildr	ỹ n ɡ w i l d r
Yngvildr	y n ɡ v i l d r
álfr	ɑː l v r
Álǫf	ɒ̃ː l ɒ β
Álǫf	aː l ø v
ár	ɑː r
ár	ɒː r
Áshildr	ãː s h i l d r
ásjón	ãː s j oː n
íkorni	iː k o r n ɪ̃
Ísland	iː s l a n d
íviðja	ĩː w i ð j ɑ
íviðja	iː v i ð j ɑ
Óláfr	ɒ̃ː l æ ɪ β ɹ̝
Óláfr	oː l ɒː v r
Óðinn	oː ð ẽ nː
Óðinn	oː ð i nː
óðr	oː ð ɹ̝
óðr	oː ð r̩
þau	θ ɑ u̯
þeir	θ ɛ i r
þess	θ e sː
þing	θ ĩ ŋ ɡ
Þiðrekr	θ i ð r e k r
Þjalfi	θ e ɑ l β e
Þjalfi	θ j a l v i
þjófr	θ e͜oː β ɹ̝
þjófr	θ j oː v r̩
þoka	θ o k ɑ
þoka	θ o k ɑ
Þorbjǫrg	θ õ r b j ɒ r ɡ
Þorbjǫrg	θ o r b j ø r ɡ
Þróndheimr	θ r oː n d h ɛ i m r
þurs	θ u r s
þváttr	θ w ɒː tː ɹ̝
þváttr	θ v ɒː tː r̩
þér	θ eː r
þér	θ eː r
þú	θ uː
þý	θ yː
þýzkr	θ yː t s k r̩
þýðverskr	θ yː ð w e r s k r̥
œðr	øː ð ɹ̝
œðr	øː ð r̩
ǫld	ɒ l d
ǫld	ɒ l d
ɴ	n n
ꜰ	f f
ꜱ	s s
