аба	ä β̞ ɐ
Сибирь	sʰʲ ɪ bʲ iː rʲ
симфони	sʰʲ ɪ m f ɔː nʲ ɪ
соёл	sʰ ɔ̟ j ɜ l
сонин	sʰ ɔ̟ nʲ ɪ ɴ̟
сүлөө	s u l ɵː
Сүхэ	s u x ɤ̞
сэдьхэл	s e tʲ x ɤ l
Сэлэнгэ	sʰ ɨ̞ l ɤ̽ ŋ ɡ ɤ̞
табан	tʰ ä βʷ ɐ ɴ̟
табангууд	tʰ ä̟ β ˕ʷ ɐ ɴ ɢ ʊ̞ː t
тайшаа	tʰ æ͡ɛ ʃ äː
театр	tʲ a t ə r
театр	tʲ a t r
толи	tʰ ɔ̟ lʲ ɪ
тугша	tʰ ʊ q ʃ ɐ
түмэр	tʰ u m ɵ r
Түнхэн	tʰ u ŋ x ɤ ŋ
түрэл	tʰ u r ɵ l
тыквэ	tʰ ɨː kʰ v ɤ̞
тэнгэри	tʰ e̝ ŋ ɡ ɤ̞ rʲ ɪ
тэрэ	tʰ e̝ r ɤ̟
улаан	ʊ l ä̟ː ɴ̟
улас	ʊ̞́ l ə s
уншалга	ʊ̞ n ʃ ɐ l ʁ ɐ
ууха	ʊː χ ɐ
уһан	ʊ ɦ ɐ ŋ
үбэл	u β ˕ ʉ l
Үдэ	u d ɤ̞
үдэр	u d ɵ r
үнэн	u n ɤ̟ ŋ
федераци	fʲ ɪ dʲ ɪ r ä̟ː t͜sʰ ɐ
хада	χ ä d ɐ̟
халбага	χ ä l b ɐ ʁ ɐ
Хамни	χ ä m nʲ ɪ
хара	χ ä̠ r ɐ̟
харим	χ ä rʲ ɪ m
Хитад	xʲ i tʰ ɐ t
хоёр	χ ɔ j ɜ r
хоёрдугаар	χ ɔ j ɜ r d ʊ̟ ʁ ä̠ː r
хори	χ ɔ rʲ ɪ
хоришуул	χ ɔ rʲ ɪ ʃ oː l
хото	χ ɔ tʰ ɜ̟
хүбүүн	x u β ˕ uː ŋ
хүн	x u ɴ
хүүгэд	x uː ç ɪ t
хэлэн	x ɤ l ɤ ŋ
һайн	h ɛ͡e̞ ŋ
һалхин	h ä l xʲ ɪ ŋ
һамган	h ä m ʁ ɐ ɴ̟
һара	h ä̠ r ɐ̟
һура	h ʊ r ɐ
һүни	h u nʲ ɪ
һэн	h ɤ ŋ
Цыренов	t͜sʰ ɨ̞ rʲ e̞ː n ɤ̞ f
Цыреновэй	t͜sʰ ɨ̞ rʲ e̞ː n ɤ̞ v e̞ː
Швейцари	ʃ vʲ ɪ j t͜sʰ äː rʲ ɪ
шоно	ʃ ɔ n ɜ̟
шононууд	ʃ ɔ n ɜ n oː t
штадууд	ʃ tʰ äː d ʊː t
Шэтэ	ʃ ɨ̞ tʰ ɤ̞
эжы	e̝ ʒ ɪ̈͜ɪ
энэ	e̝ n ɤ̞
Энэдхэг	e̝ n ɤ̞ t x ɤ̞ k
Эрхүү	e̝ r x uː
яба	j ä βʷ ɐ
ябаг	j ä βʷ ɐ q ˖
ябаха	j ä βʷ ɐ χ ɐ
ябая	j ä βʷ ɐ j ɨ̟ː
ябаяб	j ä βʷ ɐ j ɨ̟ː p
ябаябди	j ä βʷ ɐ j ɨ̟ː b dʲ ɪ
яблони	j äː b l ɐ̟ nʲ ɪ
