'ਤੇ	t eː
ਅਸਮਾਨ	ə s ə̆ m aː n
ਅਸਲ	ə s ə l
ਅਸਾਮ	ə s äː m
ਅਸੀਂ	ə s ĩː
ਅਸੁਰ	ə s ʊ ɾ ə̆
ਅਹਾਰ	ə ɦ äː ɾ ə̆
ਅਹਾਰ	ə ɦ äː ˨ ɾ ə̆
ਅਹਿਣ	ə ɦ ɪ ɳᵊ
ਅਹਿਣ	ɛː ɳᵊ ˦
ਅੰਗੂਰ	ə ŋ ɡ uː ɾ
ਅੰਞਾਣਾ	ə ɲ d͡ʒ aː ɳ aː
ਅੰਞਾਣਾ	ə ɲ ɲ aː ɳ aː
ਅੰਨ੍ਹਾ	ə ˦ nː äː
ਅੰਬ	ə m bᵊ
ਅੰਮ੍ਰਿਤਸਰ	ə m m ɾ ɪ t̪ s ə ɾ
ਅੰਸ਼	ə̃ ʃ
ਅੱਕਣਾ	ə k kᵊ ɳ ɑː
ਅੱਖ	ə kːʰ ə̆
ਅੱਖਰ	ə k kʰ ə ɾ
ਅੱਗ	ə ɡ ɡ
ਅੱਛਾ	ə t t͡ʃʰ aː
ਅੱਜ	ə d͡ʒːᵊ
ਅੱਠ	ə ʈːʰ ə̆
ਅੱਡੀ	ə ɖ ɖ iː
ਅੱਧ	ə ˩˥ d̪ː ə̆
ਅੱਬਾ	ə bː ɑː
ਅੱਭਯਾਗਤ	ə b ə ˨ j ɑː ɡ ə t̪ᵊ
ਅੱਯੂਬ	ə j j uː b
ਅੱਲ੍ਹੜ	ə ˦ l l ə ɽᵊ
ਅੱਸੀ	ə s s iː
ਆ	äː
ਆਂ	ãː
ਆਂਚ	äː ɲ t͡ʃ
ਆਂਡਾ	äː ɳ ɖ äː
ਆਂਦਰ	ä̃ː n d̪ ə ɾ ə̆
ਆਇੜਾ	aː ɪ ɽ aː
ਆਕਾਸ਼	äː k äː ʃ ə̆
ਆਖਦਾ	äː kʰ d̪ äː
ਆਖਦੇ	äː kʰ d̪ eː
ਆਟਾ	äː ʈ äː
ਆਥਣ	äː t̪ʰ ə ɳ
ਆਦਮ	äː d̪ ə m
ਆਦਮੀ	äː d̪ m iː
ਆਦਿ	äː d̪ iː
ਆਨਾ	äː nː äː
ਆਪਣਾ	äː p ɳ äː
ਆਪਣੀ	ə p ɳ iː
ਆਪਣੇ	ə p ɳ eː
ਆਪਾਂ	äː p ä̃ː
ਆਰਥਿਕ	äː ɾ t̪ʰ ɪ k
ਆਵਾਜ਼	a ʋ aː d͡ʒ ə̆
ਆਵਾਜ਼	a ʋ aː z ə̆
ਆਵਾਸ	äː ʋ äː s
ਆਸਟ੍ਰੇਲੀਆ	äː s ʈ ɾ eː l iː äː
ਆਸ਼ਨਾ	äː ʃ n äː
ਆੜੂ	äː ɽ u
ਇ	ɪ
ਇਕਤਾਲ਼ੀ	ɪ kᵊ t̪ äː ɭ iː
ਇਕਵੰਜਾ	ɪ kᵊ ʋ ə n d ʒ äː
ਇਕੱਤੀ	ɪ k ə t̪ t̪ i
ਇਜਾਜ਼ਤ	ɪ d͡ʒ äː z ə t̪
ਇਦ੍ਰੀਸ	ɪ d̪ ɾ iː s
ਇਬ੍ਰਾਹੀਮ	ɪ b ɾ äː ɦ iː m
ਇਰਾਦਾ	ɪ ɾ äː d̪ äː
ਇਲਜ਼ਾਮ	ɪ l z äː m
ਇਲਿਯਾਸ	ɪ l ɪ j äː s
ਇਸਤਰੀ	ɪ s t̪ ɾ iː
ਇਸਤਰੀ	ɪ s ə t̪ ɾ iː
ਇਸਮਾਈਲ	ɪ s ə m äː iː l
ਇਸਹਾਕ਼	ɪ s ə ɦ äː q
ਇਹ	eː ˥
ਇਹਦਾ	eː ˦ d̪ ɑː
ਇੱਕ	ɪ kː ə̆
ਇੱਕੀ	ɪ k k iː
ਇੱਜੜ	ɪ d͡ʒː ə ɽ ə̆
ਇੱਥੇ	ɪ t̪ t̪ʰ eː
ਇੱਥੋਂ	ɪ t̪ʰː õ
ਈ	iː
ਈਦ	iː d̪
ਈਮਾਨ	i m aː n
ਈਸਾ	iː s s aː
ਈੜੀ	iː ɽ iː
ਉ	ʊ
ਉਆਂ	w ä̃ː
ਉਆਂ	ʊ ä̃ː
ਉਖਾੜ	ʊ kʰ äː ɽ
ਉਖਾੜਦਾ	ʊ kʰ äː ɽ d̪ äː
ਉਖਾੜਨਾ	ʊ kʰ äː ɽ n äː
ਉਖਾੜਿਆ	ʊ kʰ äː ɽ ɪ äː
ਉਘੇੜਨਾ	ʊ ɡ eː ˨ ɽᵊ n äː
ਉਡਾਣ	ʊ ɖ ä ɳ
ਉਣਤਾਲ਼ੀ	ʊ ɳᵊ t̪ äː ɭ iː
ਉਣਾਹਠ	ʊ ɳ äː ɦ ə ʈʰ
ਉਣੰਜਾ	ʊ ɳ ə n d ʒ äː
ਉਣੱਤੀ	ʊ ɳ ə t̪ t̪ iː
ਉਤਲਾ	ʊ t̪ᵊ l äː
ਉਦਾਸ	ʊ d̪ äː s ə̆
ਉਪਸਮੂਹ	ʊ p ə s m uː ˥
ਉਮਡਣਾ	ʊ m ə ɖ ɳ äː
ਉਲਟਾ	ʊ l ʈ äː
ਉਸਤਤ	ʊ s t̪ ə t̪
ਉਸਤਰਾ	ʊ s t̪ ə ɾ ɑː
ਉਸਤਾਦ	ʊ s t̪ ɑː d̪
ਉਸਰਈਆ	ʊ s ɾ ə iː äː
ਉਸਰਈਆ	ʊ s ɾ ə jː äː
ਉਹਦਾ	oː ˥ d̪ äː
ਉੱਘੜਨਾ	ʊ ɡ ə ˨ ɽᵊ n äː
ਉੱਡਣਾ	ʊ ɖː ə ɳ aː
ਉੱਡਣਾ	ʊ ɖː ɳ aː
ਉੱਤਰਖੰਡ	ʊ t̪ t̪ ə ɾ ə kʰ ə ɳ ɖ ə
ਉੱਤੇ	ʊ t̪ t̪ eː
ਉੱਥੇ	o t̪ t̪ʰ eː
ਉੱਥੇ	oː t̪ t̪ʰ eː
ਉੱਨੀ	ʊ n n iː
ਉੱਲੂ	ʊ lː u
ਉੱਸਰਨਾ	ʊ s s ə ɾ n äː
ਊ	uː
ਊਠ	uː ʈʰᵊ
ਊਠਣੀ	uː ʈ ʈʰ ə̆ ɳ iː
ਊੜਾ	uː ɽ äː
ਏ	eː
ਏ	eː ˥˩
ਏ	ɛː ˥˩
ਐ	ɛː
ਐ	ɛː ˥˩
ਐੜਾ	ɛː ɽ äː
ਓ	oː
ਓਅੰਕਾਰ	oː ə̃ ŋ k äː ɾᵊ
ਓਦਣ	oː d̪ ə ɳ
ਓਦਾਂ	oː d̪̚ d̪ ä̃ː
ਓੜੀਸਾ	oː ɽ iː s aː
ਔ	ɔː
ਔਖਾ	ɔː kʰ äː
ਕ	k ə
ਕਜੋੜ	k ə d͡ʒ oː ɽ ə̆
ਕਠੋਰ	k ə ʈʰ oː ɾ ə̆
ਕਤਲ	k ə t̪ ə l
ਕਤਲਾਮ	k ə t̪ l äː m
ਕਨੂੰਨ	k ə n ũː n
ਕਮਰਾ	k ə m ɾ äː
ਕਰ	k ə ɾ
ਕਰਕੇ	k ə ɾ k eː
ਕਰਤਾਰ	k ə ɾ t̪ äː ɾ
ਕਰਦਾ	k ə ɾ d̪ äː
ਕਰਦਿਆਂ	k ə ɾ d̪ ɪ ä̃ː
ਕਰਦੀ	k ə ɾ d̪ iː
ਕਰਦੇ	k ə ɾ d̪ eː
ਕਰਨ	k ə ɾ ə n
ਕਰਨਗੇ	k ə ɾ ə̃ ŋ ɡ eː
ਕਰਨਗੇ	k ə ɾ ə̃ ɡ eː
ਕਰਨਾ	k ə ɾ n äː
ਕਰਨਾਟਕ	k ə ɾ n äː ʈ ə k
ਕਰਾਂਗਾ	k ə ɾ ä̃ː ŋ ɡ äː
ਕਰਾਂਗਾ	k ə ɾ ä̃ː ɡ äː
ਕਰਾਂਗੇ	k ə ɾ ä̃ː ŋ ɡ eː
ਕਰਾਂਗੇ	k ə ɾ ä̃ː ɡ eː
ਕਰਾਉਣਾ	k ə ɾ äː ʊ ɳ äː
ਕਰੇਗਾ	k ə ɾ eː ɡ äː
ਕਰੋਗੇ	k ə ɾ oː ɡ eː
ਕਰੰਟ	k ə̆ ɾ ə̃ ɳ ʈᵊ
ਕਲਮ	k ə l ə m
ਕਲਮਘੜਾ	k ɐ l ə m ə k ə̀ ɽ aː
ਕਲਾ	k ə l aː
ਕਲਿਆਣ	k ə l ɪ äː ɳ
ਕਲੇਸ਼	k ə l eː ʃ
ਕਸ਼ਟ	k ə ʃ ə ʈ
ਕਸ਼ਟ	k ə ʃ ʈ
ਕਸ਼ਤੀ	k ə ʃ t̪ iː
ਕਹਾਣੀ	k äː ˨ ɳ iː
ਕਹਾਣੀ	k ə ɦ äː ɳ iː
ਕਹਿਣਾ	k ə ɦ ɪ ɳ äː
ਕਹਿਣਾ	k ɛː ˥ ɳ äː
ਕਹੀ	k ɛː ˥
ਕ਼	q
ਕ਼ਿਸਮ	q ɪ s ə m
ਕ਼ਿਸਮਤ	q ɪ s m ə t̪
ਕ਼ੁਰਬਾਨ	k ʊ ɾ b ä n
ਕਾਂ	k ä̃ː
ਕਾਂਡੀ	k ɑ̃ n ɖ iː
ਕਾਂਡੀ	k ɑ̃ ɖ iː
ਕਾਇਰ	k ɛː ˥ ɾ ə̆
ਕਾਗ਼ਜ਼	k äː ɣ ə z
ਕਾਜ	k äː d͡ʒ ə̆
ਕਾਨੂੰਨ	k aː n uː n ə̆
ਕਾਨੂੰਨ	k aː n ũː n ə̆
ਕਾਪੀ	k äː p iː
ਕਾਫ਼ੀ	k äː f iː
ਕਾਲ਼ਾ	k aː ɭ aː
ਕਾਹਦਾ	k äː ˦ d̪ äː
ਕਾਹਵਾ	k ä ɦ ʋ äː
ਕਾਹਵਾ	k äː ɦ ʋ äː
ਕਾਹਵਾ	k äː ˩˥ ʋ äː
ਕਾਹਵਾ	q äː ˩˥ ʋ äː
ਕਿਉਂ	k j õː
ਕਿਉਂ	k ɪ õː
ਕਿਤਨਾ	k ɪ t̪ ə̆ n aː
ਕਿਤਾਬ	k ɪ t̪ äː b
ਕਿਤੇ	k ɪ t̪ eː
ਕਿਰਨ	k ɪ ɾ ə n
ਕਿਰਸ	k ɪ ɾ ə s ə̆
ਕਿਵੇਂ	k ɪ m ẽː
ਕਿਵੇਂ	k ɪ ʋ ẽː
ਕਿਸਮ	k ɪ s ə m
ਕਿਸਮਤ	k ɪ s m ə t̪
ਕਿਹੜਾ	k eː ˩˥ ɽ aː
ਕਿੰਨਾ	k ɪ n n aː
ਕਿੱਥੇ	k ɪ t̪ t̪ʰ eː
ਕਿੱਥੋਂ	k ɪ t̪ t̪ʰ õː
ਕਿੱਦਾਂ	k ɪ d̪ d̪ ä̃ː
ਕੀਤਾ	k i t̪ː äː
ਕੀਤਿਆਂ	k iː t̪ ɪ ä̃ː
ਕੀਤੀ	k iː t̪ iː
ਕੀਤੇ	k iː t̪ eː
ਕੁ	k ʊ̽
ਕੁਛ	k ʊ t͡ʃʰ
ਕੁਝ	k ʊ ˩˥ d͡ʒ
ਕੁਮਾਰ	k ʊ m äː ɾ ə̆
ਕੁਲਚਾ	k ʊ l t͡ʃ äː
ਕੁਹੀਰ	k ʊ ɦ iː ɾᵊ
ਕੁੜੀ	k ʊ ɽ iː
ਕੁੰਗੂ	k ʊ ŋ ɡ uː
ਕੁੰਜੀ	k ʊ ɲ d͡ʒ iː
ਕੁੱਟਣਾ	k ʊ ʈː ə̆ ɳ aː
ਕੁੱਤਾ	k ʊ t̪ː äː
ਕੂਹਣੀ	k uː ˥ ɳ iː
ਕੂੜ	k uː ɽᵊ
ਕੇਂਦਰ	k ẽː n d ə ɾ
ਕੇਰਲਾ	k eː ɾ ə l aː
ਕੇਲਾ	k eː lː aː
ਕੇਸੂ	k eː sː uː
ਕੋਡੀਨ	k oː ɖ iː n
ਕੋਲ਼	k oː ɭ ɪ̆
ਕੋਹਰਾ	k oː ˥ ɾ äː
ਕੌਣ	k ɔː ɳ ə̆
ਕੌਣ	k ə u ɳ ə̆
ਕ੍ਰਿਸਮਸ	k ɾ ɪ s m ə sᵊ
ਕ੍ਰਿਸਮਸ	kᵊ ɾ ɪ s m ə sᵊ
ਕੜਛੀ	k ə ɽ t͡ʃʰ iː
ਕੜਾਹ	k ə ɽ äː ˩˥
ਕੰਘਾ	k ə ŋ ˥ ɡ äː
ਕੰਡ	k ə ɳ ɖ
ਕੰਧ	k ə́ n d̪ ɪ̆
ਕੰਨ	k ə nː
ਕੰਨਾ	k ə nː äː
ਕੰਮ	k ə mː ə̆
ਕੱਕਾ	k ə kː äː
ਕੱਢਣਾ	k ə ɖ ˨˦ ɖ ə̆ ɳ äː
ਕੱਪੜਾ	k ə pː ə̆ ɽ aː
ਕੱਲ੍ਹ	k ə lː ˥
ਕੱਲ੍ਹ	k ə lː ˥ ə̆ ˧
ਕੱਸਣਾ	k ə sːᵊ ɳ ɑː
ਖ	kʰ ə
ਖਜੂਰ	kʰ ə d͡ʒ uː ɾᵊ
ਖਜੂਰ	x ə d͡ʒ uː ɾᵊ
ਖਤਾ	kʰ ə t̪ äː
ਖਸਖਸ	kʰ ə s kʰ ə s
ਖਸਖਾਸ	kʰ ə s kʰ äː s
ਖ਼	x ə
ਖ਼ਤਰਾ	x ə t̪ ə ɾ äː
ਖ਼ਤਰਾ	x ə t̪ᵊ ɾ äː
ਖ਼ਤਾ	x ə t̪ äː
ਖ਼ਬਰਦਾਰ	kʰ ə b ə ɾ d̪ äː ɾ
ਖ਼ਬਰਦਾਰ	x ə b ə ɾ d̪ äː ɾ
ਖ਼ਾਲਿਸਤਾਨ	x aː l ɪ s ə t̪ aː n ə
ਖ਼ਾਸ	kʰ äː s
ਖ਼ਾਸ	x äː s
ਖ਼ਿਆਲ	x ɪ äː l
ਖ਼ੂਨ	x uː n
ਖਾ	kʰ äː
ਖਾਂਦਾ	kʰ äː n d̪ äː
ਖਾਦ	kʰ aː d̪ ə̆
ਖਾਸਾਂ	kʰ äː s ä̃ː
ਖਾਸੂੰ	kʰ äː s ũː
ਖਿਆਲ	kʰ ɪ äː l
ਖਿਆਲਾਤ	kʰ ɪ äː l äː t̪
ਖਿਆਲੀ	kʰ ɪ äː l iː
ਖਿਡੌਣਾ	kʰ ɪ ɖ ɔː ɳ äː
ਖਿਡੌਣਾ	kʰ ɪ ɖ ə u ɳ äː
ਖਿੜਕੀ	kʰ ɪ ɽᵊ k iː
ਖਿੱਚਣਾ	kʰ ɪ t͡ʃː ə̆ ɳ äː
ਖਿੱਤੀ	kʰ ɪ t̪ː iː
ਖੁਦਕੁਸ਼ੀ	kʰ ʊ d̪ k ʊ ʃ iː
ਖੁਰਪਾ	kʰ ʊ ɾᵊ p äː
ਖੁਸਰਾ	kʰ ʊ s ɾ äː
ਖੂੰਡ	kʰ uː ɳ ɖ
ਖੂੰਡੀ	kʰ uː ɳ ɖ iː
ਖੇਡਣਾ	kʰ eː ɖ ə̆ ɳ aː
ਖੋਤਾ	kʰ oː t̪ː äː
ਖੋਲ	kʰ oː l
ਖੋਹਣਾ	kʰ óː ˦ ɳ äː
ਖੰਘ	kʰ ə ŋ ˦ ɡ ə̆
ਖੰਡ	kʰ ə ˥ ɳ ɖ ə̆
ਖੱਖਾ	kʰ ə kːʰ aː
ਖੱਚਰ	kʰ ə t t͡ʃ ə ɾᵊ
ਖੱਤਰੀ	kʰ ə t̪ t̪ ɾ iː
ਖੱਤਰੀ	kʰ ə t̪ ɾ iː
ਖੱਸਣਾ	kʰ ə sː ə̆ ɳ äː
ਗ	ɡ ə
ਗਗਨ	ɡ ə ɡ ə n
ਗਗਨ	ɡ ə ɡ ə n ə̆
ਗਠਾ	ɡ ə ʈʰː äː
ਗਣਿਤ	ɡ ə ɳ ɪ t̪ ə̆
ਗਨਰ	ɡ ə n ə ɾ
ਗਨੀਮਤ	ɡ ə n iː m ə t̪
ਗਰਮ	ɡ ə ɾᵊ m ə̆
ਗਰਾਂ	ɡᵊ ɾ ä̃ː
ਗਰਿਫ਼ਤਾਰ	ɡ ɾ ɪ f t̪ ä ɾ ə̆
ਗਰੇਬਾਨ	ɡ ə ɾ eː b ɑː n
ਗਰੜ	ɡ ə ɾ ə ɽ
ਗ਼	ɣ ə
ਗ਼ਜ਼ਾ	ɣ ə z äː
ਗ਼ਨੀਮਤ	ɡ ə n iː m ə t̪
ਗ਼ਨੀਮਤ	ɣ ə n iː m ə t̪
ਗਾਂ	ɡ ä̃ː
ਗਾਜਰ	ɡ ɑː d͡ʒ ə ɾ
ਗਾਜ਼ਾ	ɡ äː z äː
ਗਾਲ੍ਹੜ	ɡ äː l ɦ ə ɽ
ਗਿਆਰਾਂ	ɡ ɪ aː ɾ ãː
ਗਿਰਜਾ	ɡ ɪ ɾ d͡ʒ äː
ਗਿੱਦੜ	ɡ ɪ d̪ d̪ ə ɽ
ਗੁਜਰਾਤ	ɡ u d͡ʒ ə ɾ aː t̪ ə
ਗੁਣ	ɡ ʊ ɳ
ਗੁਣਜੀਤ	ɡ ʊ ɳ d͡ʒ iː t̪
ਗੁਦਾ	ɡ ʊ d̪ äː
ਗੁਰਦੁਆਰਾ	ɡ ʊ ɾ d̪ ʊ äː ɾ äː
ਗੁਰਪੁਰਬ	ɡ ʊ ɾ p ʊ ɾ ə b
ਗੁਰੂ	ɡ ʊ ɾ uː
ਗੁਲਸ਼ਨ	ɡ ʊ l ʃ ə n
ਗੁਲਾਲ	ɡ ʊ l äː l
ਗੁਲਿਸਤਾਨ	ɡ ʊ l s ɪ t̪ ɑː n
ਗੁਲਿਸਤਾਨ	ɡ ʊ l ɪ s t̪ ɑː n
ਗੁਸਾਈਂ	ɡ ʊ s äː ĩː
ਗੁੰਝਲ਼ਦਾਰ	ɡ ʊ ɳ d͡ʒ ə ɭ ə̆ d aː ɾ ə̆
ਗੁੱਟ	ɡ ʊ ʈ ʈ
ਗੈਂਡਾ	ɡ ɛː ɳ ɖ aː
ਗੋਂਗਲੂ	ɡ oː ŋ ɡ l uː
ਗੋਡਾ	ɡ oː ɖ ɑː
ਗੋਰਾ	ɡ oː ɾ äː
ਗੋਵਾ	ɡ oː ʋ aː
ਗ੍ਰੰਥ	ɡ ɾ ə n t̪ʰᵊ
ਗ੍ਰੰਥੀ	ɡ ɾ ə n t̪ʰ iː
ਗੰਢ	ɡ ə ɳ ɖ ˥ ə̆
ਗੰਢਣਾ	ɡ ə ˥ ɳ ɖ ɳ äː
ਗੰਢਾ	ɡ ə ˩˥ ɳ ɖ aː
ਗੰਦਾ	ɡ ə n d̪ aː
ਗੱਗਾ	ɡ ə ɡː äː
ਗੱਡੀ	ɡ ə ɖ ɖ iː
ਗੱਦੀ	ɡ ə d̪ː iː
ਗੱਭਣ	ɡ ə bː ə ɳ ə̆
ਘ	k ə̀
ਘ	k ə̀ ɡ ɡ äː
ਘ	k ◌̀
ਘ	ɡʱ
ਘ	ɡʱ ə ɡ ɡʱ äː
ਘ	◌́ ɡ
ਘਟਾਉਣਾ	k ə ʈ a ʊ ˨ ɳ äː
ਘਣਤਵ	k ə ɳ ˩ t̪ ə ʋ ˥
ਘਰਾਨਾ	k ə ˩ ɾ äː n äː
ਘਾਤ	k äː t̪ ˩ ə̆
ਘਾਤ	k äː t̪ ˩ ə̆ ˧
ਘਾਹ	k äː ˩
ਘਿਉ	k j oː ˥˩
ਘਿਉ	k ɪ ˥˩ oː
ਘਿਉ	ɡ j oː ˦˨
ਘਿਉ	ɡʱ j oː
ਘਿਦਾ	ɡ ɪ ˥˩ d äː
ਘਿਨਣਾ	ɡ ɪ ˦˨ n ə̆ ɳ aː
ਘੁੰਗਰੂ	k ʊ ˥˩ ŋ ɡ ə ɾ uː
ਘੁੰਡ	k ʊ̃ ˨ ɳ ɖ ə̆
ਘੇ	ɡ̊ eː ˥˩
ਘੋੜਾ	k oː ˥˩ ɽ äː
ਘੋੜੀ	k oː ˨ ɽ iː
ਘੜੀ	k ə ˩ ɽ iː
ਘੰਟਾ	k ə ˨ ɳ ʈ äː
ਘੱਘਾ	k ə̀ ɡ ɡ äː
ਘੱਘਾ	ɡʱ ə ɡ ɡʱ äː
ਘੱਲਣਾ	k ə l ˩ l ə ɳ äː
ਘੱਲੂਘਾਰਾ	k ə l ˨ l uː k äː ˨ ɾ äː
ਙ	ŋ ə
ਙੰਙਾ	ŋ ə ŋː äː
ਚ	t͡ʃ ə
ਚਚੇਰ	t͡ʃ a t͡ʃ eː ɾ ə̆
ਚਚੇਰਾ	t͡ʃ ə t͡ʃ eː ɾ äː
ਚਣਾਖ	t͡ʃ ə ɳ äː kʰ
ਚਪੇੜ	t͡ʃ ə p eː ɽ ə̆
ਚਵਲ	t͡ʃ ə ʋ ə lᵊ
ਚਾਕ਼ੂ	t͡ʃ äː q uː
ਚਾਕੂ	t͡ʃ äː k uː
ਚਾਰ	t͡ʃ aː ɾ ə̆
ਚਾਲਬਾਜੀ	t͡ʃ äː l b äː d͡ʒ iː
ਚਾਲ਼ੀ	t ʃ äː ɭ iː
ਚਾਹ	t͡ʃ äː ˥
ਚਾਹੀਦਾ	t͡ʃ äː ɦ iː d̪ äː
ਚਿਕੜੀ	t͡ʃ ɪ k ə ɽ iː
ਚਿਕੜੀ	t͡ʃ ɪ k ɽ iː
ਚਿੜੀ	t͡ʃ ɪ ɽ iː
ਚਿੰਦਾ	t͡ʃ ɪ n d̪ äː
ਚਿੱਟਾ	t͡ʃ ɪ ʈ̚ ʈ äː
ਚਿੱਤਰਾ	t͡ʃ ɪ t̪ː ə ɾ äː
ਚੀ	t͡ʃ iː
ਚੁਤਾਲ਼ੀ	t ʃ ʊ t̪ äː ɭ iː
ਚੁਰੰਜਾ	t ʃ ʊ ɾ ə n d ʒ äː
ਚੁੰਨੀ	t͡ʃ ʊ n n iː
ਚੁੱਪ	t͡ʃ ʊ pː ə̆
ਚੂਹਾ	t͡ʃ uː ˩˥ äː
ਚੂਹਾ	t͡ʃ uː ˩˥ ɦ äː
ਚੂੜੀ	t͡ʃ uː ɽ iː
ਚੂੰਢੀ	t͡ʃ ũː ˦ ɳ ɖ iː
ਚੇਤਾਵਨੀ	t͡ʃ eː t̪ ä ʋ n iː
ਚੈੱਸ	t͡ʃ ɛː s sᵊ
ਚੋਰ	t͡ʃ oː ɾᵊ
ਚੋਲ਼ਾ	t͡ʃ oː ɭ äː
ਚੋਲਾ	t͡ʃ oː l äː
ਚੌਤੀ	t ʃ ɔː t̪ iː
ਚੌਥਾ	t͡ʃ ɔː t̪ʰː äː
ਚੌਦਾਂ	t ʃ ɔː d̪ ä̃ː
ਚੌਵੀ	t ʃ ɔː ʋ iː
ਚੌੜਾ	t͡ʃ ɔː ɽ äː
ਚੜ੍ਹਦਾ	t͡ʃ ə ɽ ˦ d̪ äː
ਚੰਡੀਗੜ੍ਹ	t͡ʃ ə ɳ ɖ iː ɡ ɽ ˥
ਚੰਦ	t͡ʃ ə n d̪
ਚੰਨ	t͡ʃ ə nːᵊ
ਚੱਚਾ	t͡ʃ ə t͡ʃː aː
ਚੱਟਣਾ	t͡ʃ ə ʈː ɳ ɑː
ਛ	t͡ʃʰ ə
ਛਕਣਾ	t͡ʃʰ ə k ɳ äː
ਛਕੜਾ	t͡ʃʰ ə k ə ɽ äː
ਛਕੜਾ	t͡ʃʰ ə k ɽ äː
ਛਤਾਲ਼ੀ	t ʃʰ ə t̪ äː ɭ iː
ਛਪੰਜਾ	t ʃʰ ə p ə n d ʒ äː
ਛੁਰਾ	t͡ʃʰ ʊ ɾ äː
ਛੁੱਟੀ	t͡ʃʰ ʊ ʈ ʈ iː
ਛੇ	t͡ʃʰ eː
ਛੇਤੀ	t͡ʃʰ eː t̪ t̪ iː
ਛੇਵਾਂ	t͡ʃʰ eː ʋ ä̃ː
ਛੱਛਾ	t͡ʃʰ ə t͡ʃːʰ aː
ਛੱਤ	t͡ʃʰ ə t̪ː ə̆
ਛੱਤੀ	t ʃʰ ə t̪ t̪ iː
ਛੱਤੀਸਗੜ੍ਹ	t͡ʃʰ ə t̪ t̪ iː s ɡ ə ɽ ˥
ਛੱਬੀ	t ʃʰ ə b b iː
ਛੱਲ	t͡ʃʰ ə lː
ਜ	d͡ʒ ə
ਜਗ੍ਹਾ	d͡ʒ ə ˦ ɡ äː
ਜਥਾ	d ʒ ə t̪ʰ aː
ਜਥੇਦਾਰ	d ʒ ə t̪ʰ eː d̪ aː ɾᵊ
ਜਪਾਨ	d͡ʒ ə p äː n
ਜਰਮਨ	d͡ʒ ə ɾ ə̆ m ə n ə̆
ਜਵਾਈ	d͡ʒ ə ʋ äː iː
ਜਵਾਬ	d ʒ ə ʋ aː b
ਜ਼	z ə
ਜ਼ਕਰਿੱਯਾ	z ə k ɾ ɪ j j äː
ਜ਼ਨਾਨੀ	d͡ʒ ə̆ n aː n n iː
ਜ਼ਨਾਨੀ	z ə̆ n aː n n iː
ਜ਼ਮੀਨ	d͡ʒ ə m iː n ə̆
ਜ਼ਮੀਨ	z ə m iː n ə̆
ਜ਼ਲਜ਼ਲਾ	z ə l z ə l äː
ਜ਼ਹਿਰ	z ɛː ˦ ɾ ə̆
ਜ਼ਿਆਦਾ	d͡ʒ ɪ äː d̪ äː ~ z ɪ äː d̪ äː
ਜ਼ਿਮੀਂ	d͡ʒ ɪ m ĩː
ਜ਼ਿਮੀਂ	z ɪ m ĩː
