'ch	χ
Alon	a l ɔ n
Alpaidd	a l p a i̯ ð
Alpaidd	a l p ɛ ð
Alpau	a l p a i̯
Alpau	a l p ɛ
Alun	a l ɪ n
Aluna	a l ɪ n a
Alwen	a l w ɛ n
Alwena	a l w ɛ n a
Alwina	a l w ɪ n a
Alwyn	a l ʊ i̯ n
Alys	a l ɪ s
Aman	a m a n
Amanwy	a m a n ʊ i̯
America	a m ɛ r ɪ k a
Amerig	a m eː r ɪ ɡ
Amerig	a m ɛ r ɪ ɡ
Amerig	ə r a m eː r ɪ ɡ
Amerig	ə r a m ɛ r ɪ ɡ
Amig	a m ɪ ɡ
Amlawdd	a m l a u̯ ð
Amlodd	a m l oː ð
Amlyn	a m l ɪ n
Amos	a m ɔ s
Amranwen	a m r a n w ɛ n
Amwythig	a m ʊ i̯ θ ɪ ɡ
Anarawd	a n a r a u̯ d
Andras	a n d r a s
Andreas	a n d r ɛ a s
Andro	a n d r oː
Androw	a n d r o u̯
Aneira	a n e i̯ r a
Aneirin	a n e i̯ r ɪ n
Aneirwen	a n e i̯ r w ɛ n
Anes	a n ɛ s
Anest	a n ɛ s t
Aneurin	a n e i̯ r ɪ n
Angell	a n ɡ ɛ ɬ
Angharad	a ŋ h aː r a d
Angola	a ŋ ɡ oː l a
Angola	a ŋ ɡ ɔ l a
Anhun	a n h ɪ n
Ania	a n j a
Anian	a n j a n
Anita	a n iː t a
Anlawdd	a n l a u̯ ð
Ann	a n
Anna	a n a
Annalyn	a n a l ɪ n
Annell	a n ɛ ɬ
Annes	a n ɛ s
Annest	a n ɛ s t
Anni	a n iː
Annun	a n ɪ n
Annwyl	a n ʊ i̯ l
Anona	a n ɔ n a
Antigwa	a n t ɪ ɡ w a
Antur	a n t ɪ r
Anwen	a n w ɛ n
Anwn	a n ʊ n
Anwyl	a n ʊ i̯ l
Anwylyn	a n ʊ i̯ l ɪ n
Arad	aː r a d
Aran	aː r a n
Aranli	a r a n l i
Arglwydd	a r ɡ l ʊ i̯ ð
Arglwyddes	a r ɡ l ʊ i̯ ð ɛ s
Arglwyddesau	a r ɡ l ʊ i̯ ð ɛ s a i̯
Arglwyddesau	a r ɡ l ʊ i̯ ð ɛ s ɛ
Ariannin	a r j a n ɪ n
Ariannin	ə r a r j a n ɪ n
Arianrhod	a r j a n r̥ ɔ d
Armenia	a r m ɛ n j a
Arthwys	a r θ ʊ i̯ s
Arwel	a r w ɛ l
Aserbaijan	a z ɛ r b a i̯ d͡ʒ a n
Athen	a θ ɛ n
Awen	a u̯ ɛ n
Awst	a u̯ s d
Awstralia	a u̯ s d r a l j a
Awstria	a u̯ s d r j a
Bahamas	b a h aː m a z
Bangor	b a ŋ ɡ ɔ r
Baragwâi	b a r a ɡ w aː i̯
Barbados	b a r b eː d ɔ s
Barbiwda	b a r b ɪ u̯ d a
Baris	b aː r ɪ s
Barri	b a r i
Barti	b a r t i
Bedr	b ɛ d r
Beibl	b e i̯ b l
Beibl	b e i̯ b l̩
Beibl	b e i̯ b ɪ l
Beiblau	b e i̯ b l a i̯
Beiblau	b e i̯ b l ɛ
Belarws	b ɛ l a r ʊ s
Belffast	b ɛ l f a s d
Benin	b ɛ n ɪ n
Beriw	b ɛ r ɪ u̯
Berlin	b ɛ r l ɪ n
Bermo	b ɛ r m ɔ
Berwig	b ɛ r w ɪ ɡ
Bhwtan	b ʊ t aː n
Birmingham	b ə r m ɪ ŋ h a m
Bolifia	b ɔ l ɪ v j a
Bordo	b ɔ r d oː
Bortiwgal	b ɔ r t j ʊ ɡ a l
Bortiwgal	b ɔ r t ɪ u̯ ɡ a l
Bortiwgaleg	b ɔ r t ɪ u̯ ɡ aː l ɛ ɡ
Botswana	b ɔ t s w aː n a
Brag	b r aː ɡ
Brasil	b r a z ɪ l
Brecsit	b r ɛ k s ɪ t
Brexit	b r ɛ k s ɪ t
Bronwen	b r ɔ n w ɛ n
Brwsel	b r ʊ s ɛ l
Brydain	b r ə d a i̯ n
Brydain	b r ə d ɛ n
Brynbuga	b r ɪ n b iː ɡ a
Brynbuga	b r ɪ n b ɪ ɡ a
Bryste	b r ɪ s t ɛ
Brython	b r ə θ ɔ n
Brythoneg	b r ə θ oː n ɛ ɡ
Brythoneg	b r ə θ ɔ n ɛ ɡ
Bwlgaria	b ʊ l ɡ a r j a
Bwllheli	b ʊ ɬ h eː l i
Bwllheli	b ʊ ɬ h ɛ l i
Bwrwndi	b ʊ r ʊ n d i
CBAC	k b a k
CThEF	kᵊ θ ɛ v
CThEF	ɛ k θ ɛ v
CThEM	kᵊ θ ɛ m
CThEM	ɛ k θ ɛ m
Cadfael	k a d v a i̯ l
Caer	k a i̯ r
Caerdydd	k a i̯ r d iː ð
Caerdydd	k ə r d iː ð
Caeredin	k a i̯ r eː d ɪ n
Caeredin	k a i̯ r ɛ d ɪ n
Caerfaddon	k a i̯ r v a ð ɔ n
Caerfaddon	k a i̯ r v aː ð ɔ n
Caerffili	k a i̯ r f ɪ l i
Caerfyrddin	k a i̯ r v ə r ð ɪ n
Caerfyrddin	k v ə r ð ɪ n
Caerfyrddin	k ə r v ə r ð ɪ n
Caergaint	k a i̯ r ɡ a i̯ n t
Caergrawnt	k a i̯ r ɡ r a u̯ n t
Caergwrle	k a ɪ̯ r ɡ ʊ r l ɛ
Caergybi	k a i̯ r ɡ ə b i
Caerhirfryn	k a i̯ r h ɪ r v r ɪ n
Caerliwelydd	k a i̯ r l ɪ u̯ eː l ɪ ð
Caerliwelydd	k a i̯ r l ɪ u̯ ɛ l ɪ ð
Caerloyw	k a i̯ r l ɔ i̯ u
Caerlŷr	k a i̯ r l iː r
Caernarfon	k a i r n a r v ɔ n
Caersallog	k a i̯ r s a ɬ ɔ ɡ
Caerwrangon	k a i̯ r w r a ŋ ɔ n
Caerwynt	k a i̯ r w ɪ n t
Caerwysg	k a i̯ r w ɪ s ɡ
Caerwysg	k a i̯ r ʊ i̯ s ɡ
Caint	k a i̯ n t
Cambodia	k a m b ɔ d j a
Cambodiad	k a m b ɔ d j a d
Cambodiaid	k a m b ɔ d j a i̯ d
Cambodiaid	k a m b ɔ d j ɛ d
Cambodiaidd	k a m b ɔ d j a i̯ ð
Cambodiaidd	k a m b ɔ d j ɛ ð
Camerŵn	k a m ɛ r uː n
Canada	k aː n a d a
Canadaidd	k a n aː d a i̯ ð
Canadaidd	k a n aː d ɛ ð
Canadiad	k a n a d j a d
Canadiaid	k a n a d j a i̯ d
Canadiaid	k a n a d j ɛ d
Caradog	k a r aː d ɔ ɡ
Carew	k a r ɛ u̯
Carrog	k a r ɔ ɡ
Carys	k aː r ɪ s
Casnewydd	k a s n ɛ u̯ ɪ ð
Casnewydd	k aː s n ɛ u̯ ɪ ð
Catholig	k a θ oː l ɪ ɡ
Catholig	k a θ ɔ l ɪ ɡ
Catholigiaeth	k a θ ɔ l ɪ ɡ j a i̯ θ
Catholigiaeth	k a θ ɔ l ɪ ɡ j ɛ θ
Catrin	k a t r ɪ n
Celyn	k eː l ɪ n
Celyn	k ɛ l ɪ n
Ceredigion	k ɛ r ɛ d ɪ ɡ j ɔ n
Ceri	k eː r i
Ceri	k ɛ r i
Cernyw	k ɛ r n ɪ u̯
Cernyweg	k ɛ r n ə u̯ ɛ ɡ
Cerys	k eː r ɪ s
Cerys	k ɛ r ɪ s
Cesar	k ɛ s a r
Chaeredin	χ a i̯ r eː d ɪ n
Chaeredin	χ a i̯ r ɛ d ɪ n
Chaerfyrddin	χ e i̯ r f ə r ð ɪ n
Chaint	χ a i̯ n t
Chambodia	χ a m b ɔ d j a
Chambodiad	χ a m b ɔ d j a d
Chambodiaid	χ a m b ɔ d j a i̯ d
Chambodiaid	χ a m b ɔ d j ɛ d
Chambodiaidd	χ a m b ɔ d j a i̯ ð
Chambodiaidd	χ a m b ɔ d j ɛ ð
Chamerŵn	χ a m ɛ r uː n
Chanada	χ aː n a d a
Chanadaidd	χ a n aː d a i̯ ð
Chanadaidd	χ a n aː d ɛ ð
Chanadiad	χ a n a d j a d
Chanadiaid	χ a n a d j a i̯ d
Chanadiaid	χ a n a d j ɛ d
Chiwba	χ ɪ u̯ b a
Cholombia	χ ɔ l ɔ m b j a
Chorea	χ ɔ r eː a
Christ	χ r ɪ s t
Chroatia	χ r ɔ a t j a
Chroatia	χ r ɔ a ʃ a
Chwefror	ʍ ɛ v r ɔ r
Chwefror	χ w ɛ v r ɔ r
Chymro	χ ə m r ɔ
Chymru	χ ə m r i
Chymry	χ ə m r i
Cilarne	k ɪ l a r n ɛ
Ciribati	k ɪ r ɪ b a t i
Ciwba	k ɪ u̯ b a
Clydach	k l ə d a x
Colombia	k ɔ l ɔ m b j a
Conwy	k ɔ n ʊ i̯
Corea	k ɔ r eː a
Creta	k r ɛ t a
Crist	k r ɪ s t
Cristion	k r ɪ s d j ɔ n
Cristionogion	k r ɪ s d j ɔ n ɔ ɡ j ɔ n
Cristnogaeth	k r ɪ s d n oː ɡ a i̯ θ
Cristnogaeth	k r ɪ s d n oː ɡ ɛ θ
Cristnogaeth	k r ɪ s d n ɔ ɡ a i̯ θ
Cristnogaeth	k r ɪ s d n ɔ ɡ ɛ θ
Cristnoges	k r ɪ s t n oː ɡ ɛ s
Cristnoges	k r ɪ s t n ɔ ɡ ɛ s
Cristnogion	k r ɪ s d n ɔ ɡ j ɔ n
Cristnogol	k r ɪ s d n oː ɡ ɔ l
Cristnogol	k r ɪ s d n ɔ ɡ ɔ l
Croatia	k r ɔ a t j a
Croatia	k r ɔ a ʃ a
Crynwr	k r ə n ʊ r
Crynwyr	k r ə n w ɪ r
Cwmbrân	k ʊ m b r aː n
Cwmgwrach	k ʊ m ɡ w r aː χ
Cymraeg	k ə m r a i̯ ɡ
Cymraeg	k ə m r aː ɡ
Cymraeg	k ʊ m r aː ɡ
Cymraes	k ə m r a i̯ s
Cymraesau	k ə m r e i̯ s a i̯
Cymraesau	k ə m r e i̯ s ɛ
Cymreig	k ə m r e i̯ ɡ
Cymreigio	k ə m r e i̯ ɡ j ɔ
Cymro	k ə m r ɔ
Cymru	k ə m r i
Cymry	k ə m r i
Dachwedd	d a χ w ɛ ð
Dafydd	d aː v ɪ ð
Dasmania	d a z m a n j a
Dawe	d a u̯ ɛ
Ddafydd	ð a v ɪ ð
Ddafydd	ð aː v ɪ ð
Ddenmarc	ð ɛ n m a r k
Ddulyn	ð iː l ɪ n
Ddulyn	ð ɪ l ɪ n
Delwyn	d ɛ l w ɪ n
Denmarc	d ɛ n m a r k
Dewi	d ɛ u̯ i
Dolwyddelan	d ɔ l w ɪ ð eː l a n
Dolwyddelan	d ɔ l w ɪ ð ɛ l a n
Dudno	d ɪ d n ɔ
Dulyn	d iː l ɪ n
Dulyn	d ɪ l ɪ n
Duw	d ɪ u̯
Dwrci	d ʊ r k i
Dyfi	d ə v i
Dyfnwal	d ə v n w a l
Dyfrdwy	d ə v r d ʊ i̯
Dyfrig	d ə v r ɪ ɡ
Dylan	d ə l a n
E	eː
Ebrill	ɛ b r ɪ ɬ
Ecwador	ɛ k w a d ɔ r
Efrog	ɛ v r ɔ ɡ
Efyrnwy	ɛ v ə r n ʊ i̯
Eidal	e i̯ d a l
Eidal	ə r e i̯ d a l
Eirwen	e i̯ r w ɛ n
Eirwyn	e i̯ r w ɪ n
Eiry	e i̯ r i
Elain	eː l a i̯ n
Elain	ɛ l a i̯ n
Eldrydd	ɛ l d r ə ð
Eleri	ɛ l eː r i
Eleri	ɛ l ɛ r i
Elgan	ɛ l ɡ a n
Emrys	ɛ m r ɪ s
Emyr	ɛ m ɪ r
Enid	ɛ n ɪ d
Eryri	ɛ r ə r i
Eurwen	e i̯ r w ɛ n
Eurwyn	e i̯ r w ɪ n
Euryn	e i̯ r ɪ n
Ewrop	ɛ u̯ r ɔ p
Ewropeaidd	ɛ u̯ r ɔ p eː a i̯ ð
Ewropeaidd	ɛ u̯ r ɔ p eː ɛ ð
Facebook	f eː s b ʊ k
Fadagasgar	v a d a ɡ a s ɡ a r
Fair	v a i̯ r
Fawrth	v a u̯ r θ
Fecsico	v ɛ k s ɪ k ɔ
Fedi	v eː d i
Fedi	v ɛ d i
Fegan	v eː ɡ a n
Fegan	v ɛ ɡ a n
Fehefin	v ɛ h eː v ɪ n
Fehefin	v ɛ h ɛ v ɪ n
Felarws	v ɛ l a r ʊ s
Felffast	v ɛ l f a s d
Feneswela	v ɛ n ɛ s w eː l a
Feneswela	v ɛ n ɛ z w eː l a
Ffiji	f iː d͡ʒ i
Ffindir	f ɪ n d ɪ r
Ffindir	ə f ɪ n d ɪ r
Ffrainc	f r a i̯ ŋ k
Ffrancwr	f r a ŋ k ʊ r
Ffrancwyr	f r a ŋ k w ɪ r
Ffrengig	f r ɛ ŋ ɪ ɡ
Fhwtan	v ʊ t aː n
Fienna	v ɪ ɛ n a
Fietnam	v j ɛ t n a m
Fietnameg	v j ɛ t n a m ɛ ɡ
Foldofa	v ɔ l d oː v a
Foldofa	v ɔ l d ɔ v a
Folifia	v ɔ l ɪ v j a
Foroco	v ɔ r ɔ k ɔ
Fwlgaria	v ʊ l ɡ a r j a
Gaeredin	ɡ a i̯ r eː d ɪ n
Gaeredin	ɡ a i̯ r ɛ d ɪ n
Gaerfyrddin	ɡ e i̯ r f ə r ð ɪ n
Gaint	ɡ a i̯ n t
Gambodia	ɡ a m b ɔ d j a
Gambodiad	ɡ a m b ɔ d j a d
Gambodiaid	ɡ a m b ɔ d j a i̯ d
Gambodiaid	ɡ a m b ɔ d j ɛ d
Gambodiaidd	ɡ a m b ɔ d j a i̯ ð
Gambodiaidd	ɡ a m b ɔ d j ɛ ð
Gamerŵn	ɡ a m ɛ r uː n
Ganada	ɡ aː n a d a
Ganadaidd	ɡ a n aː d a i̯ ð
Ganadaidd	ɡ a n aː d ɛ ð
Ganadiad	ɡ a n a d j a d
Ganadiaid	ɡ a n a d j a i̯ d
Ganadiaid	ɡ a n a d j ɛ d
Gatholig	ɡ a θ oː l ɪ ɡ
Gatholig	ɡ a θ ɔ l ɪ ɡ
Giwba	ɡ ɪ u̯ b a
Gog	ɡ ɔ ɡ
Gogs	ɡ ɔ ɡ z
Golombia	ɡ ɔ l ɔ m b j a
Gorea	ɡ ɔ r eː a
Gorffennaf	ɡ ɔ r f ɛ n a v
Grist	ɡ r ɪ s t
Groatia	ɡ r ɔ a t j a
Groatia	ɡ r ɔ a ʃ a
Groeg	ɡ r ɔ i̯ ɡ
Gruffudd	ɡ r ɪ f ɪ ð
Gwener	ɡ w eː n ɛ r
Gwener	ɡ w ɛ n ɛ r
Gwenhwyfar	ɡ w ɛ n h ʊ i̯ v a r
Gwenllian	ɡ w ɛ n ɬ iː a n
Gweplyfr	ɡ w ɛ p l ɪ v r
Gwersyllt	ɡ w ɛ r s ɪ ɬ d
Gwilym	ɡ w ɪ l ɪ m
Gwy	ɡ ʊ i̯
Gwyddel	ɡ w ɪ ð ɛ l
Gwyddel	ɡ ʊ i̯ ð ɛ l
Gwyddeleg	ɡ w ɪ ð eː l ɛ ɡ
Gwyddeleg	ɡ w ɪ ð ɛ l ɛ ɡ
Gwyddeleg	ɡ ʊ i̯ ð eː l ɛ ɡ
Gwyddeleg	ɡ ʊ i̯ ð ɛ l ɛ ɡ
Gwyddelig	ɡ w ɪ ð eː l ɪ ɡ
Gwyddelig	ɡ w ɪ ð ɛ l ɪ ɡ
Gwyddelig	ɡ ʊ i̯ ð eː l ɪ ɡ
Gwyddelig	ɡ ʊ i̯ ð ɛ l ɪ ɡ
Gwyddelod	ɡ w ɪ ð eː l ɔ d
Gwyddelod	ɡ w ɪ ð ɛ l ɔ d
Gwyddelod	ɡ ʊ i̯ ð eː l ɔ d
Gwyddelod	ɡ ʊ i̯ ð ɛ l ɔ d
Gwyddyl	ɡ w ɪ ð ɪ l
Gwyddyl	ɡ ʊ i̯ ð ɪ l
Gwydion	ɡ w ɪ d j ɔ n
Gwydion	ɡ ʊ i̯ d j ɔ n
Gwyndyd	ɡ ʊ i̯ n d ɪ d
Gwynedd	ɡ w i̯ n ɛ ð
Gwyneira	ɡ w ɪ n e i̯ r a
Gwyneth	ɡ w ɪ n ɛ θ
Gymro	ɡ ə m r ɔ
Gymru	ɡ ə m r i
Gymry	ɡ ə m r i
Gâl	ɡ aː l
Gŵyr	ɡ ʊ i̯ r
H	a i̯ t ʃ
H	h a i̯ t ʃ
H	h ə
Haberaeron	h a b ɛ r e i̯ r ɔ n
Haberdâr	h a b ɛ r d aː r
Haeddel	h e i̯ ð ɛ l
Hafren	h a v r ɛ n
Halbania	h a l b a n j a
Hamerica	h a m ɛ r ɪ k a
Hangharad	h a ŋ h a r a d
Hangharad	h a ŋ h aː r a d
Harglwydd	h a r ɡ l ʊ i̯ ð
Harri	h a r ɪ
Haserbaijan	h a z ɛ r b a i̯ d͡ʒ a n
Hawstralia	h a u̯ s d r a l j a
Henffordd	h ɛ n f ɔ r ð
Hiddewiaeth	h ɪ ð e u̯ j a i̯ θ
Hiddewiaeth	h ɪ ð e u̯ j ɛ θ
Holocost	h ɔ l ɔ k ɔ s d
Homan	h ɔ m a n
Hondwras	h ɔ n d uː r a s
Hondwras	h ɔ n d ʊ r a s
Hwngareg	h ʊ ŋ ɡ aː r ɛ ɡ
Hwngari	h ʊ ŋ ɡ a r i
Hydref	h ə d r ɛ
Hydref	h ə d r ɛ v
Hywel	h ə u̯ ɛ l
Ianto	j a n t ɔ
Iau	j a i̯
Iau	j ɔ i̯
Iddew	iː ð ɛ u̯
Iddew	ɪ ð ɛ u̯
Iddewes	ɪ ð ɛ u̯ ɛ s
Iddewesau	ɪ ð ɛ u̯ ɛ s a i̯
Iddewesau	ɪ ð ɛ u̯ ɛ s ɛ
Iddewiaeth	ɪ ð e u̯ j a i̯ θ
Iddewiaeth	ɪ ð e u̯ j ɛ θ
Iddewig	ɪ ð ɛ u̯ ɪ ɡ
Iddewon	ɪ ð ɛ u̯ ɔ n
Iesu	j ɛ s i
Ieuan	j e i̯ a n
Ifan	iː v a n
Ifan	ɪ v a n
India	ɪ n d j a
Ioan	j oː a n
Ioan	j ɔ a n
Iolo	j ɔ l ɔ
Ionawr	j oː n a u̯ r
Ionawr	j ɔ n a u̯ r
Irac	ɪ r a k
Iran	ɪ r a n
Iseldiraidd	ɪ s ɛ l d iː r a i̯ ð
Iseldiraidd	ɪ s ɛ l d iː r ɛ ð
Iseldiraidd	ɪ s ɛ l d ɪ r a i̯ ð
Iseldiraidd	ɪ s ɛ l d ɪ r ɛ ð
Iseldiroedd	ə r ɪ s ɛ l d ɪ r ɔ i̯ ð
Iseldiroedd	ɪ s ɛ l d ɪ r ɔ i̯ ð
Israel	ɪ z r a i̯ l
Iwan	ɪ u̯ a n
Iwerddon	ɪ u̯ ɛ r ð ɔ n
Iwerddoneg	ɪ u̯ ɛ r ð oː n ɛ ɡ
Iwerddoneg	ɪ u̯ ɛ r ð ɔ n ɛ ɡ
Iâl	j aː l
Iôn	j oː n
Iôr	j oː r
J	d ʒ eː
Jac	d͡ʒ a k
Kantiad	k a n t j a d
Kantiaeth	k a n t j a i̯ θ
Kantiaeth	k a n t j ɛ θ
Labovaidd	l a b ɔ v a i̯ ð
Ladin	l a d ɪ n
Ladin	l aː d ɪ n
Latfia	l a t v j a
Lerpwl	l ɛ r p ʊ l
Libanus	l ɪ b a n ɪ s
Lisbon	l ɪ z b ə n
Lithwania	l ɪ θ w a n j a
Lladin	ɬ a d ɪ n
Lladin	ɬ aː d ɪ n
Llandecwyn	ɬ a n d ɛ k w ɪ n
Llandudno	ɬ a n d ɪ d n ɔ
Llanelli	ɬ a n ɛ ɬ i
Llanfairpwllgwyngyll	ɬ a n v a i̯ r p ʊ ɬ ɡ w ɪ ŋ ɡ ɪ ɬ
Llansamlet	ɬ a n s a m l ɛ t
Lloegr	ɬ ɔ i̯ ɡ r
Lloegr	ɬ ɔ i̯ ɡ ɛ r
Llun	ɬ iː n
Llundain	ɬ ɪ n d a i̯ n
Llundain	ɬ ɪ n d ɛ n
Llwchwr	ɬ uː χ ʊ r
Llwchwr	ɬ ʊ χ ʊ r
Llychlyn	ɬ ə χ l ɪ n
Llychlynnaidd	ɬ ə χ l ə n a i̯ ð
Llychlynnwr	ɬ ə χ l ə n ʊ r
Llychlynwyr	ɬ ə χ l ə n w ɪ r
Llydaw	ɬ ə d a u̯
Llywelyn	ɬ ə u̯ eː l ɪ n
Llywelyn	ɬ ə u̯ ɛ l ɪ n
Loegr	l ɔ i̯ ɡ r
Loegr	l ɔ i̯ ɡ ɛ r
Lowri	l o u̯ r i
Lundain	l ɪ n d a i̯ n
Lundain	l ɪ n d ɛ n
Lwcsembwrg	l ʊ k s ɛ m b ʊ r ɡ
Lychlyn	l ə χ l ɪ n
Lychlynnwr	l ə χ l ə n ʊ r
Lydaw	l ə d a u̯
Mab	m aː b
Machynlleth	m a χ ə n ɬ ɛ θ
Madagasgar	m a d a ɡ a s ɡ a r
Madrid	m a d r ɪ d
Mai	m a i̯
Mair	m a i̯ r
Mam	m a m
Mari	m a r i
Mari	m aː r i
Mawrth	m a u̯ r θ
Mawrth	m o u̯ r θ
Mecsico	m ɛ k s ɪ k ɔ
Meddyf	m eː ð ɪ v
Meddyf	m ɛ ð ɪ v
Medi	m eː d i
Medi	m ɛ d i
Megan	m eː ɡ a n
Megan	m ɛ ɡ a n
Mehefin	m ɛ h eː v ɪ n
Mehefin	m ɛ h ɛ v ɪ n
Melarws	m ɛ l a r ʊ s
Melffast	m ɛ l f a s d
Mercher	m ɛ r χ ɛ r
Mharagwâi	m̥ a r a ɡ w aː i̯
Mharis	m̥ aː r ɪ s
Mheriw	m̥ ɛ r ɪ u̯
Mhortiwgal	m̥ ɔ r t j ʊ ɡ a l
Mhortiwgal	m̥ ɔ r t ɪ u̯ ɡ a l
Mhortiwgaleg	m̥ ɔ r t ɪ u̯ ɡ aː l ɛ ɡ
Mhrag	m̥ r aː ɡ
Mhrydain	m̥ r ə d a i̯ n
Mhrydain	m̥ r ə d ɛ n
Mhwllheli	m̥ ʊ ɬ h eː l i
Mhwllheli	m̥ ʊ ɬ h ɛ l i
Mhwtan	m ʊ t aː n
Moldofa	m ɔ l d oː v a
Moldofa	m ɔ l d ɔ v a
Molifia	m ɔ l ɪ v j a
Morgan	m ɔ r ɡ a n
Morgannwg	m ɔ r ɡ a n ʊ ɡ
Moroco	m ɔ r ɔ k ɔ
Mosambic	m ɔ z a m b iː k
Moscfa	m ɔ s ɡ v a
Mosgo	m ɔ s ɡ ɔ
Mwlgaria	m ʊ l ɡ a r j a
Myfanwy	m ə v a n ʊ i̯
Myfanwy	m ə v aː n ʊ i̯
Mynwy	m ə n ʊ i̯
Mynyw	m ə n ɪ u̯
Nadolig	d oː l ɪ ɡ
Nadolig	d ɔ l ɪ ɡ
Nadolig	n a d oː l ɪ ɡ
Nadolig	n a d ɔ l ɪ ɡ
Naf	n aː v
Nedd	n eː ð
Neirin	n e i̯ r ɪ n
Nenmarc	n ɛ n m a r k
Nest	n ɛ s t
Nghaeredin	ŋ̊ a i̯ r eː d ɪ n
Nghaeredin	ŋ̊ a i̯ r ɛ d ɪ n
Nghaerfyrddin	ŋ̊ e i̯ r f ə r ð ɪ n
Nghaint	ŋ̊ a i̯ n t
Nghambodia	ŋ̊ a m b ɔ d j a
Nghambodiad	ŋ̊ a m b ɔ d j a d
Nghambodiaid	ŋ̊ a m b ɔ d j a i̯ d
Nghambodiaid	ŋ̊ a m b ɔ d j ɛ d
Nghamerŵn	ŋ̊ a m ɛ r uː n
Nghanada	ŋ̊ aː n a d a
Nghanadiad	ŋ̊ a n a d j a d
Nghanadiaid	ŋ̊ a n a d j a i̯ d
Nghanadiaid	ŋ̊ a n a d j ɛ d
Nghiwba	ŋ̊ ɪ u̯ b a
Ngholombia	ŋ̊ ɔ l ɔ m b j a
Nghorea	ŋ̊ ɔ r eː a
Nghrist	ŋ̊ r ɪ s t
Nghroatia	ŋ̊ r ɔ a t j a
Nghroatia	ŋ̊ r ɔ a ʃ a
Nghymro	ŋ̊ ə m r ɔ
Nghymru	ŋ̊ ə m r i
Nghymry	ŋ̊ ə m r i
Ngorffennaf	ŋ ɔ r f ɛ n a v
Ngroeg	ŋ r ɔ i̯ ɡ
Ngwyddel	ŋ ʊ i̯ ð ɛ l
Ngwyddeleg	ŋ ʊ i̯ ð ɛ l ɛ ɡ
Ngâl	ŋ aː l
Ngŵyr	ŋ ʊ i̯ r
Nhachwedd	n̥ a χ w ɛ ð
Nhasmania	n̥ a z m a n j a
Nhwrci	n̥ ʊ r k i
Nicaragwa	n ɪ k a r a ɡ w a
Norwy	n oː r ʊ i̯
Norwy	n ɔ r ʊ i̯
Nulyn	n iː l ɪ n
Nulyn	n ɪ l ɪ n
