අ	a
මඩකලපුව	m a ɖ a k a l a p u ʋ a
මඩිනවා	m aᶯ ɖ i n a ʋ aː
මඩුල්ල	m a ɖ i l l a
මත්ත	m a t t a
මධ්‍යම	m a d j a m a
මන	m a n a
මර	m a r a
මලය	m ə l ə j ə
මහත	m a h a t a
මහනවා	m ə h ə n ə ʋ aː
මහනුවර	m a h a n u ʋ a r a
මහප්පා	m a h a p p ɑː
මහා	m ə h aː
මාං	m aː m
මැටි	m æ ʈ i
මැස්සා	m æ s s aː
මිටිය	m i ʈ i j a
මිතුරු	m i t u r u
මිදුල	m i d u l a
මිශ්‍ර	m i s r a
මීටර්	m iː ʈ a r
මුගුර	m u ɡ u r a
මුරුංගා	m u r u ŋ ɡ aː
මෙක්සිකෝව	m e k s i k oː w a
ඹ	ᵐb a
යට	j a ʈ a
යම	j a m a
යහන	j a h a n a
යාපනය	j aː p a n a j a
යුරෝපය	j u r oː p ə j ə
යෙළ	j e ɭ a
ර	r a
රට	r ə ʈ ə
රත්නපුර	r a t n a p u r a
රළු	r a ɭ u
රාජධානිය	r aː d͡ʒ a d aː n i j a
රාජපක්ෂ	r aː d͡ʒ ə p ə k ʃ ə
රැලි	r æ l i
රැස	r æ s ə
රැහැ	r æ h æ
රිදී	r i d iː
රිදෙනවා	r i d e n a ʋ aː
රියඟ	r i j əᵑ ɡ ə
රියන්	r i j ə n
රුපියල	r u p i j a l a
රුවල්	r u ʋ ə l
ල	l a
ලක්ෂය	l a k s ə j ə
ලනවා	l ə n ə ʋ aː
ලබනවා	l a b a n a ʋ aː
ලියනවා	l i j ə n ə ʋ aː
ලේ	l eː
ව	ʋ a
වට	ʋ a ʈ ə
වණ්ෂ	v a n s a
වදනවා	ʋ a d a n a ʋ aː
වයඹ	ʋ a j aᵐ b a
වර	ʋ a r a
වර්ග	ʋ a r ɡ a
වරෙණ්ය	ʋ a ɾ e n j a
වළ	ʋ a ɭ a
විදුලිය	v i d u l i j a
විනාඩිය	ʋ i n aː ɖ i j ə
වියලි	ʋ i j ə l i
වී	ʋ iː
වීසිකරනවා	ʋ iː s i k ə r ə n ə ʋ aː
වෙනවා	ʋ e n a ʋ aː
ශ	s a
ශ්වාස	s v aː s a
ශ්‍රී	s r iː
ශාක	ʃ aː k ə
ශුක්‍රාණුව	ʃ u k r aː n u ʋ ə
ශුද්ධ	s u d d a
ෂ	s a
සදනවා	s a d a n a ʋ aː
සපත්තු	s ə p ə t̪ t̪ u
සපත්තුව	s ə p ə t̪ t̪ u ʋ ə
සබරගමුව	s a b a r a ɡ a m u ʋ a
සලනවා	s a l a n a ʋ aː
සහ	s ə h ə
ස්වාමියා	s ʋ aː m i j aː
සාහිත්‍යය	s aː h i t j a j a
සැදැහැ	s æ d̪ æ h æ
සිංහල	s i m h ə l ə
සිඳිනවා	s i ⁿ̪ d̪ i n ə ʋ aː
සීයා	s iː j aː
සුබ	s u b ə
සුරුට්ටුව	s̪ u ɾ u ʈ ʈ u ʋ ə
සුලුප්පුව	s u l u p p u ʋ a
සෙය	s e j ə
සෙරෙප්පුව	s e r e p p u ʋ ə
සොබන	s o b ə n ə
හකුරු	h a k u ɾ u
හපනවා	h a p a n a ʋ aː
හම්බන්තොට	h ə m b ə n t̪ o ʈ ə
හා	h aː
හානවා	h aː n a ʋ aː
හිටිනවා	h i ʈ i n a ʋ aː
හිම	h i m ə
හුළු	h u ɭ u
හෙණ	h e n a
හෙළනවා	h e ɭ a n a ʋ aː
හොඳ	m i n i h aː
හොඳයි	h o n̪ d̪ a j
හොවිනවා	h o ʋ i n a ʋ aː
ළය	l ə j ə
