Achab	aː k a b
Jafeth	d ʒ aː f ɛ t
James	d ʒ aː m z
James	d ʒ aː m ə
James	d ʒ aː m ə s
James	d ʒ ɛː m ə s
Jew	d ʒ i u̯
Jewery	d ʒ i u̯ ə r iː ə
Jewesse	d ʒ i u̯ ɛ s ə
Jewly	d ʒ i u̯ l iː
Jhesu	d ʒ eː z i u̯
Jhesu	d ʒ eː z u
Jhesus	d ʒ eː z u s
Jhesus	d ʒ eː z uː s
John	d͡ʒ ɔː h a n
John	d͡ʒ ɔː h a n ɛ s
John	d͡ʒ ɔː n
Jude	d ʒ i u̯ d eː
Judew	j uː d ɛ u̯
Judewissh	j uː d ɛ u̯ i ʃ
Juno	d ʒ i u̯ n ɔː
Latyn	l a t i n
Latyn	l a t iː n
Latyn	l aː t i n
Latyn	l aː t iː n
London	l u n d ə n
Lucifer	l i u̯ s i f ə r
Lyde	l eː d ə
Lyde	l iː d ə
Lyde	l yː d ə
Macomet	m a k ɔ m ɛ t
Macomet	m a k ə m ɛ t
Mahown	m a h uː n d
Marie	m a r iː ə
Mars	m a r s
Mercurie	m a r k i u̯ r iː ə
Mercurie	m ɛ r k i u̯ r iː ə
Messyas	m ɛ s iː a
Messyas	m ɛ s iː a s
Messyas	m ɛ s iː ə
Michel	m i t ʃ aː ɛː l
Michel	m i t ʃ ɛ l
Michel	m i t ʃ ɛː l
Michel	m i x ə l
Michel	m iː k aː ɛː l
Michel	m iː k ɛ l
Michel	m iː k ɛː l
Michel	m iː x ə l
Michelmasse	m i x ə l m a s ə
Michelmasse	m iː k ɛ l m a s ə
Michelmasse	m iː k ɛ l m ɛ s ə
Michelmasse	m iː x ə l m a s ə
Monday	m oː n ə d æ i̯
Monday	m u n ə d æ i̯
Muse	m i u̯ z ə
Neptunus	n ɛ p t i u̯ n u s
Newgate	n i u̯ ə ɡ aː t
Nicholas	n i k ɔ l a s
Nicholas	n i k ɔ l a u̯ s
Normand	n ɔ r m a n d
Normand	n ɔ r m a n t
Normand	n ɔ r m a u̯ n t
Normandie	n ɔ r m a n d iː ə
Northfolk	n ɔ r θ f ɔ l k
Northhumbre	n ɔ r θ h u m b r ə
Northhumbre	n ɔ r θ h u m b ə r
Northumberlond	n ɔ r θ h u m b ə r l ɔː n d
Nowel	n ɔ u̯ ɛ l
Ostrich	ɔ s t r iː k ə
Ostrich	ɔ s t r iː t ʃ ə
Pan	p a n
Pan	p aː n
Parys	p a r i s
Parys	p a r iː s
Pask	p a s k i s
Pask	p a s k ə
Pask	p aː s k ə
Pentecoste	p ɛ n t ə k ɔ s t ə
Pentecoste	p ɛ n t ɛ k ɔ s t ə
Peter	p eː t ə r
Phebe	f eː b eː
Phebus	f ɛː b u s
Poul	p uː l
Rome	r oː m ə
Rome	r ɔː m ə
Rone	r ɔː n
Rychemund	r i t ʃ ə m u n d
Sampson	s a m p s u n
Sampson	s a m p s ɔ n
Saterday	s a t ə r d æ i̯
Sathan	s a t a n
Sathan	s a t ɔ n
Sathan	s a t ə n
Sathan	s aː t a n
Sclave	s k l aː v ə
Spayne	s p æ i̯ n ə
Spynx	s p i n k s
Stonhenge	s t ɑː n h ɛ n d͡ʒ ə
Stonhenge	s t ɔ n h ɛ n d͡ʒ ə
Stonhenge	s t ɔː n h ɛ n d͡ʒ ə
Suffolk	s u θ f ɔ l k
Sunnenday	s u n d æ i
Sunnenday	s u n ə n d æ i
Temese	t a m z ə
Temese	t a m ə z ə
Temese	t ɛ m z ə
Temese	t ɛ m ə z ə
Termagaunt	t ɛ r m a ɡ a u̯ n t
Termagaunt	t ɛ r v a ɡ a n t
Termagaunt	t ɛ r v a ɡ a u̯ n t
Tewesday	t i u̯ ə z d æ i̯
Thursday	θ u r i z d æ i̯
Venus	v ɛː n u s
Venyse	v ɛ n i s ə
Venyse	v ɛ n iː s ə
Venyse	v ɛ n ɛː s j a
Vesper	v ɛ s p ə r
Vesta	v ɛ s t a
Wales	w aː l ɛ s
Walsch	w a l i ʃ
Walsch	w ɛ l i ʃ
Warwyk	w a r w iː k
Wednesday	w ɛ d n ə z d æ i̯
Wynchester	w i n t͡ʃ ɛ s t ə r
York	j ɔ r k
Yorkshire	j ɔ r k ʃ iː r
Yorkshire	j ɔ r k ʃ ə r
abak	a b a k
abashen	a b a ʃ ə n
abashen	a b ɛ i̯ ʃ ə n
abashen	ə b a ʃ ə n
abaten	a b aː t ə n
abay	a b ɛ i̯
abay	ə b ɛ i̯
abbathie	a b a s iː ə
abbathie	a b a t iː ə
abbey	a b iː ə
abbey	a b ɛ i̯ ə
abece	a b s eː
abece	a b ɛ s eː
abece	a p s eː
abece	aː b ɛː s eː
abece	aː b ɛː s ɛː
abenche	a b ɛ n t͡ʃ ə
abhomynable	a b ɔ m i n aː b l ə
abhomynable	a b ɔ m i n aː b ə l
abilite	a b i l i t eː
able	aː b ə l
abominacioun	a b ɔ m i n aː s i uː n
abominacioun	a b ɔ m i n aː s j u n
abord	a b oː r d
aboute	a b uː t ə
aboven	a b u v ə
aboven	a b u v ə n
aboven	a b uː v ə n
abreggen	a b r i d͡ʒ ə n
abreggen	a b r ɛ d͡ʒ ə n
abrest	a b r ɛ s t
abrest	a b r ɛː s t
abrogen	a b r ɔː d͡ʒ ə n
absence	a b s ɛ n s ə
absolucioun	a b s ɔ l i u̯ s i u n
absolucioun	a b s ɔ l i u̯ s i uː n
absolucioun	a b s ɔ l i u̯ s j u n
absteynen	a b s t æ i̯ n ə n
abstraccyone	a b s t r a k s j u n
abstract	a b s t r a k t ə
abstractif	a b s t r a k t i v
abstractif	a b s t r a k t iː f
abstractly	a b s t r a k t l i t͡ʃ ə
abstractly	a b s t r a k t l iː
abusen	a b i u̯ z ə n
abyden	a b iː d ə n
abyen	a b iː ə n
ac	a k
accepten	a k s ɛ p t ə n
accidently	a k s i d ɛ n t l i t͡ʃ ə
accidently	a k s i d ɛ n t l iː
accidie	a k s i d iː ə
accion	a k s j u n
accion	a k s j uː n
accordaunce	a k ɔː r d a u̯ n s ə
accounten	a k uː n t ə n
achaufen	a t͡ʃ a u̯ f ə n
achaufen	a t͡ʃ aː f ə n
ache	a t͡ʃ ə
ache	aː k ə
ache	aː t͡ʃ ə
ache	ɛ t͡ʃ ə
ache	ɛː t͡ʃ ə
acheken	a t͡ʃ eː k ə n
acheken	a t͡ʃ ɔː k ə n
acheken	a t͡ʃ ɛː k ə n
achete	a t͡ʃ ɛː t ə
achete	t͡ʃ ɛː t ə
acheten	a t͡ʃ ɛː t ə n
acheten	t͡ʃ ɛː t ə n
acordaunt	a k ɔː r d a u̯ n t
acordingli	a k ɔː r d i n ɡ l iː
acorn	a k ɔ r n
acorn	aː k ɔ r n
acorn	aː k ə r
acounte	a k uː n t ə
acqueren	a k w eː r ə n
acquerne	aː k w ɛ r n ə
acquerne	ɔː k w ɛ r n ə
acresen	a k r ɛ s ə n
acresen	a k r ɛː s ə n
acrewen	a k r i u̯ ə n
acros	a k r ɔ s
acte	a k t ə
acten	a k t ə n
actour	a k t u r
actour	a k t uː r
actual	a k t i u̯ a l
actual	a k t i u̯ aː l
actual	a k t i u̯ ɛ l
actual	a k t i u̯ ɛː l
actualy	a k t i u̯ a l iː
actualy	a k t i u̯ aː l iː
actualy	a k t i u̯ ɛ l iː
actyf	a k t i f
actyf	a k t i v ə
actyf	a k t iː f
actyf	a k t iː v ə
actyvely	a k t i f l iː
actyvely	a k t i v ə l iː
acustumaunce	a k u s t u m a u̯ n s ə
adamant	a d ə m a n t
adamant	a d ə m a u̯ n t
adamantine	a d ə m a u̯ n t iː n ə
adamas	a d ə m a s
adamas	a d ə m aː s
adel	a d ə l
adighten	a d i x t ə n
adighten	a d iː x t ə n
adle	a d ə l
adle	aː d ə l
adle	ɔː d ə l
administren	a d m i n i s t r ə n
adoun	a d uː n
adreden	a d r eː d ə n
adreden	a d r ɛː d ə n
adressen	a d r ɛ s ə n
adversitee	a d v ɛ r s i t eː
advertisen	a d v ɛ r t iː z ə n
advocatrice	a d v ɔ k a t r i s ə
advocatrice	a d v ɔ k a t r iː s ə
afeld	a f eː l d
afer	a f ɛ r
afered	a f ɛː r ɛ d
affermen	a f ɛ r m ə n
affermour	a f ɛ r m u r
affermour	a f ɛ r m ə r
affermynge	a f ɛ r m i n ɡ ə
affodill	a f ɔ d i l
affodill	a f ə d i l
afore	a f ɔː r ə
aforthen	a f oː r ð ə n
aforthen	a f ɔ r ð ə n
afraynen	a f r æ i̯ n ə n
afrounten	a f r u n t ə n
afrounten	a f r uː n t ə n
agame	a ɡ aː m ə
agasten	a ɡ a s t ə n
agasten	a ɡ ɛ s t ə n
agayn	a j eː n
agayn	a j æ i̯ n
agayn	a ɡ æ i̯ n
age	aː d͡ʒ ə
agen	aː d͡ʒ ə n
agheful	a u̯ ə f u l
agheful	a ɣ ə f u l
aghlich	a u̯ ə l i t͡ʃ
aghlich	a u̯ ə l iː
aghlich	a ɣ ə l i t͡ʃ
agon	a ɡ ɔː n
agre	a ɡ r eː
agreable	a ɡ r eː aː b ə l
agreablely	a ɡ r eː aː b ə l iː
agreablely	ə ɡ r eː aː b ə l iː
agreen	a ɡ r eː ə n
agrement	a ɡ r eː m ɛ n t
agrement	a ɡ r ə m ɛ n t
aide	æ i̯ d ə
aiden	æ i̯ d ə n
aire	æ i̯ r
aken	aː k ə n
aken	ɔː k ə n
aken	ɛː k ə n
akennednesse	a k ɛ n ɛ d n ɛ s ə
aker	a k ə r
aker	aː k ə r
aketon	a k ɛ t u n
aketon	a k ɛ t uː n
aknowen	a k n ɔ u̯ ə n
alabastre	a l ə b a s t r ə
alabastre	a l ə b a s t ə r
alabastre	a l ə b l a s t ə r
aldre	a l d r ə
aldre	a l d ə r
ale	aː l ə
aleden	a l ɛː d ə n
alegiaunce	a l eː d ʒ a u̯ n s ə
alegiaunce	a l iː d ʒ a u̯ n s ə
alehous	aː l ə h uː s
aley	a l æ i̯
alien	aː l i a n t
alien	aː l i a u̯ n t
alien	aː l i ə n
alien	aː l i ɛ n
alien	aː l i ɛː n
alienacioun	a l i ə n aː s i uː n
alienacioun	a l i ə n aː s j u n
alienacioun	a l i ə n aː s j uː n
alienat	aː l i ə n aː t
alienat	aː l i ɛ n aː t
alienat	aː l i ɛː n aː t
alienen	aː l i ə n ə n
alienen	aː l i ɛ n ə n
alienen	aː l i ɛː n ə n
alienyng	aː l i ə n i n ɡ
alienyng	aː l i ɛ n i n ɡ
alienyng	aː l i ɛː n i n ɡ
aline	a l iː n ə
all	a l
alliaunce	a l iː a u̯ n s ə
allie	a l iː ə
allien	a l iː ə n
allone	a l ɔː n
almaunden	a l m a u̯ n d ə n
almerie	a l m ə r iː ə
almerie	a m ə r iː ə
almerie	a u̯ m ə r iː ə
almesse	a l m ɛ s ə
almond	a l m a n d
almond	a l m a u̯ n d
almond	a l m ɔ n d
almond	a l m ɔ u̯ n d
almost	a l m ɔː s t
almyghty	a l m i x t iː
alonnesse	a l ɔː n ɛ s ə
alowe	a l ɔ u̯
alowe	a l ɔ u̯ x
alredy	a l r ɛː d iː
altercacioun	a l t ə r k aː s i uː n
altercacioun	a l t ə r k aː s j u n
althing	a l θ i n ɡ
alwey	a l w æ i̯
alym	a l i m
alym	a l i u̯ m
alym	a l iː m
alym	a l u m
alym	a l ə m
alyve	a l iː v ə
alyve	ɔ l iː v ə
am	a m
am	ɛ m
amad	a m a d
amad	a m ɛ d
amased	a m aː z ə d
ambicioun	a m b i s i uː n
ambicioun	a m b i s j u n
ambicious	a m b i s i uː s
ambicious	a m b i s j u s
amblen	a m b l ə n
amblen	a u̯ m b l ə n
amblere	a m b l ə r ə
amblere	a u̯ m b l ə r ə
ambre	a m b ə r
ame	aː m ə
amen	aː m ɛ n
amen	aː m ɛː n
ameven	a m eː v ə n
amiral	a m i r a l
amiral	a m i r aː l
among	a m ɔ n ɡ
amorette	a m u r ɛ t ə
amorous	a m u r u s
amorous	a m u r uː s
amorous	a m ə r u s
amorous	a m ə r uː s
amorously	a m u r u s l iː
amorously	a m u r uː s l iː
amorously	a m ə r u s l iː
amorously	a m ə r uː s l iː
amounten	a m uː n t ə n
amour	a m u r
amour	a m uː r
ample	a m p ə l
ample	ɛ m p ə l
amplifiyen	a m p l i f iː ə n
ampte	a m p t ə
ampte	a m ə t ə
ampte	a n t ə
ampte	ɛ m p t ə
ampte	ɛ m ə t ə
amyable	aː m i aː b ə l
an	a n
ancle	a n k l eː
ancle	a n k ə l
and	a n
and	a n d
and	ɛ n
anfald	aː n f aː l d
anfald	ɔː n f ɔː l d
ange	a n ɡ ə
ange	aː n ɡ ə
angelik	a n d ʒ ɛ l iː k
angelik	a u̯ n d ʒ ɛ l iː k
anger	a n ɡ ə r
angerly	a n ɡ ə r l iː
angerly	a n ɡ ə r l iː t ʃ ə
angren	a n ɡ ə r ə n
angrily	a n ɡ r iː l iː
angrily	a n ɡ r iː l iː t ʃ ə
angry	a n ɡ r iː
angrynes	a n ɡ r iː n ɛ s
angwischen	a n ɡ u i̯ ʃ ə n
angwischen	a n ɡ w i s ə n
angwischen	a n ɡ w i ʃ ə n
angwischous	a n ɡ u i̯ ʃ u s
angwischous	a n ɡ u i̯ ʃ uː s
angwischous	a n ɡ w i s u s
angwischous	a n ɡ w i s uː s
angwischous	a n ɡ w i ʃ u s
angwischous	a n ɡ w i ʃ uː s
angwissh	a n ɡ u i̯ ʃ ə
angwissh	a n ɡ w i s ə
angwissh	a n ɡ w i ʃ ə
ani	a n iː
ani	ɑː n iː
ani	ɔ n iː
ani	ɛ n iː
ani	ɛː n iː
anientishen	a n eː n t i ʃ ə n
animal	a n i m a l
animal	a n i m aː l
animate	a n i m aː t
anoy	a n i u̯
anoy	a n iː
anoy	a n u i̯
anoyaunce	a n u i̯ a u̯ n s ə
anoyen	a n i u̯ ə n
anoyen	a n iː ə n
anoyen	a n u i̯ ə n
anoyous	a n u i̯ u s
anoyous	a n u i̯ uː s
answere	a n d s w aː r ə
answere	a n d s w æː r ə
answere	a n d s w ɛː r ə
answeren	a n d s w aː r ə n
answeren	a n d s w æː r ə n
answeren	a n d s w ɛː r ə n
answerynge	a n d s w aː r i n ɡ ə
answerynge	a n d s w æː r i n ɡ ə
answerynge	a n d s w ɛː r i n ɡ ə
antelope	a n t ə l ɔ p
antelope	a n t ə l ɔː p
anteme	a n t i m ə
anteme	a n t ɛ f ə n ə
anteme	a n t ɛ m p n ə
anteme	a n t ɛ m ə
anteme	a n t ɛ v ə n ə
anteme	a n t ɛː m ə
antiquyte	a n t i k w i t eː
anvelt	a n f ɛ l t ə
anvelt	a n v ɛ l t ə
anys	a n i s
anys	a n iː s
ape	aː p ə
apocalips	a p ɔ k a l i p s i s
apocalips	a p ɔ k a l i p s ə
apocalips	ə p ɔ k a l i p s ə
appel	a p ə l
appel	ɛ p ə l
appeltre	a p ə l t r eː
appeltre	a p ə l t r i u̯
appenden	a p ɛ n d ə n
apposicioun	a p ɔː z i s j u n
apposicioun	a p ɔː z i s j uː n
aproven	a p r uː v ə n
aqueyntaunce	a k w æ i̯ n t a u̯ n s ə
aqueynten	a k w æ i̯ n t ə n
arable	a r aː b ə l
aray	a r æ i̯
arayne	a r aː n ə
arayne	a r i n ə
arayne	a r æ i̯ n ə
arayne	i r æ i̯ n ə
ardaunt	a r d a u̯ n t
ardaunt	a r d ɛ n t
ardauntly	a r d a u̯ n t l iː
ardauntly	a r d ɛ n t l iː
ardour	a r d u r
ardour	a r d uː r
aredden	a r ɛ d ə n
aren	a r ə n
aren	aː r ə n
argh	a r x
argh	a r ɔ u̯
argh	a r ɛ u̯
arghly	a r w ə l iː
arghly	a r x l iː
arghly	a r ɛ u̯ l i t͡ʃ ə
arghnesse	a r w ə n ɛ s ə
arghnesse	a r x n ɛ s ə
arisen	a r iː z ə n
armee	a r m eː
armure	a r m i u̯ r ə
armure	a r m u r ə
armure	a r m uː r ə
armure	a r m ə r ə
armure	a r m ɛ u̯ r ə
armurer	a r m i u̯ r ɛ r
armurer	a r m u r ə r
armurer	a r m ə r ə r
armurie	a r m i u̯ r iː ə
armurie	a r m u r iː ə
armurie	a r m ə r iː ə
aroume	a r uː m ə
arounde	a r uː n d
arow	a r w ə
arow	a r ɔ u̯
arow	a r ɛ u̯
arow	aː r w ə
arow	aː r ɔ u̯
ars	a r s
ars	ɛ r s
arsoun	a r s u n
arsoun	a r s uː n
art	a r t
art	aː r t
artificer	a r t i f ə s ɛː r
arveð	a r v ə ð ə
arveðlich	a r v ə ð l iː t ʃ
arveðliche	a r v ə ð l iː t ʃ ə
arȝen	a r x j ə n
arȝen	a r x ə n
arȝen	a r ə w ə n
as	a s
as	aː s
aserchen	a s ɛ r t͡ʃ ə n
aserchen	a s ɛː r t͡ʃ ə n
ashore	a ʃ ɔː r ə
aske	a s k ə
asker	a k s ə r ə
asker	a s k ə r ə
askynge	a k s i n ɡ
askynge	a s k i n ɡ
aslepe	a s l ɛː p
aspe	a s p ə
aspe	ɛ s p ə
aspide	a s p i d ə
assaile	a s æ i̯ l ə
assailen	a s æ i̯ l ə n
assailen	s æ i̯ l ə n
assailour	a s æ i̯ l uː r
assailour	a s æ i̯ l ə r
assailynge	a s æ i̯ l i n ɡ ə
assailynge	s æ i̯ l i n ɡ ə
assay	a s æ i̯
assay	s æ i̯
assayen	a s æ i̯ ə n
assayen	s æ i̯ ə n
assaynge	a s æ i̯ i n ɡ ə
assayour	a s æ i̯ uː r
assayour	a s æ i̯ ə r
asseth	a s eː θ
asseth	s eː θ
assethen	a s eː θ ə n
asshe	a k s ə
asshe	a s k ə
asshe	a ʃ
asshe	a ʃ ə
asshe	ɛ ʃ
asshe	ɛ ʃ ə
assheler	a ʃ ə l ə r
asshen	a k s ə n
asshen	a ʃ ə n
asshen	ɛ ʃ ə n
asshy	a s k iː
asshy	a ʃ iː
assise	a s iː z ə
astonen	a s t u n ə n
astranglen	a s t r a n ɡ l ə n
asure	a z i u̯ r
asure	aː z i u̯ r
aswagen	a s w aː d͡ʒ ə n
asweved	a s w ɛː v ɛ d
atamen	a t aː m ə n
atazir	a t a z iː r
atberen	a t b æː r ə n
atberen	a t b ɛː r ə n
atbreken	a t b r æː k ə n
atbreken	a t b r ɛː k ə n
atbresten	a t b r ɛ s t ə n
atbresten	a t b ɛ r s t ə n
athem	a ð ə m
auctorite	a u̯ k t ɔ r i t eː
auctorite	a u̯ t ɔ r i t eː
auctour	a u̯ k t uː r
auctour	a u̯ t oː r
auctour	a u̯ t uː r
auctour	a u̯ t ə r
augrym	a l ɡ ɔ r i z m ə
augrym	a l ɡ ɔ r i z ə m
augrym	a l ɡ ɔ r iː m ə
augrym	a u̯ ɡ r i m ə
augrym	a u̯ ɡ r iː m ə
aumbre	a m b r ə
aumbre	a u̯ m b r ə
aundire	a u̯ n d eː r ə
aundire	a u̯ n d iː r ə
aundire	a u̯ n d iː r ə n
aundire	a u̯ n d ə r n
aungel	a u̯ n d͡ʒ ə l
aungel	a u̯ n d͡ʒ ɛ l
aungel	aː n d͡ʒ ə l
aungel	ɛː n d͡ʒ ə l
aunte	a n t ə
aunte	a u̯ n t ə
auntelere	a n t ə l ə r
auntelere	a u̯ n t ə l eː r
auntelere	a u̯ n t ə l ə r
auripigment	a u̯ r i p i ɡ m ɛ n t
autumpne	a u̯ t u m p n ə
autumpne	a u̯ t u m ə
avalen	a v aː l ə n
avauncen	a v a u̯ n s ə n
avexen	a v ɛ k s ə n
avisen	a d v iː z ə n
avisioun	a d v i z i uː n
avisioun	a d v i z j u n
avoy	a v u i̯
avoy	ə v u i̯
avys	a v iː s
awbe	a l b ə
awbe	a u̯ b ə
awe	a u̯ ə
awe	a ɣ̞ ə
awen	a u̯ ə n
awen	a ɣ ə n
awerpen	a w a r p ə n
awerpen	a w ɛ r p ə n
awey	a w æ i̯
awfyn	a l f i n
awfyn	a u̯ f i n
awinnen	a w i n ə n
awles	a u̯ ə l ɛ s
awles	a ɣ ə l ɛ s
awne	a u̯ ə n ə
ax	a k s
axe	a k s
axel	a k s ə l
axel	ɛ k s ə l
axen	a k s ə n
axen	a s k ə n
axen	a ʃ ə n
axil	a k s ə l
axiltre	a k s ə l t r eː
axiltre	a k s ə l t r øː
axiltre	ɛ k s ə l t r eː
axiltre	ɛ k s ə l t r øː
ay	ɛ i̯
aydaunt	æ i̯ d a n t
aydaunt	æ i̯ d a u̯ n t
ayenes	a j eː n ɛ s
ayry	ɛ i̯ r iː
babe	b a b ə
babe	b aː b ə
baby	b a b iː
baby	b aː b iː
bace	b a r s
bace	b a s
bace	b aː s
bacheler	b a t͡ʃ ə l eː r
bacoun	b aː k u n
bacoun	b aː k uː n
bacoun	b aː k ə n
badde	b a d ə
bagage	b a ɡ a d͡ʒ ə
bagge	b a ɡ ə
bagpipe	b a ɡ ə p iː p ə
bak	b a k
bakbon	b a k b ɔː n
baken	b aː k ə n
bakestere	b a k ə s t r ə
bakestere	b a k ə s t ə r ə
bakhous	b a k h uː s
bakhous	b aː k ə h uː s
bakke	b a k ə
bakynge	b aː k i n ɡ ə
bal	b a l
balaunce	b a l a n s ə
balaunce	b a l a n t s ə
balaunce	b a l a u̯ n s ə
balaunce	b a l a u̯ n t s ə
balaunce	b a l aː n s ə
bale	b aː l
bale	b aː l ə
baleful	b a l f u l
baleful	b aː l f u l
balfulli	b a l f u l iː
balfulli	b aː l f u l iː
bali	b aː l iː
bali	b ɛː l iː
balken	b a l k ə n
ballok	b a l ɔ k
ballok	b a l ə k
balsamum	b a l s a m u m
balsamum	b a l s a m u s
band	b aː n d
band	b ɔː n d
bane	b aː n ə
bapteme	b a p t eː m ə
bapteme	b a p t i m ə
bapteme	b a p t ɛː m ə
baptisen	b a p t iː z ə n
baptiste	b a p t i s t ə
baptisterie	b a p t i s t ə r iː ə
baptisynge	b a p t iː z i n ɡ ə
bare	b aː r
barel	b a r ɛ l
bareyne	b a r i n ə
bareyne	b a r æ i̯ n ə
bareynnesse	b a r i n n ɛ s ə
bareynnesse	b a r æ i̯ n n ɛ s ə
bareynte	b a r i n t eː
bareynte	b a r æ i̯ n t eː
bargayne	b a r ɡ æ i̯ n ə
bargayne	b a r ɡ ə n ə
bargaynen	b a r ɡ æ i̯ n ə n
bargaynen	b a r ɡ ɛ n ə n
bargaynynge	b a r ɡ æ i̯ n i n ɡ ə
bargaynynge	b a r ɡ ə n i n ɡ ə
barge	b a r d͡ʒ ə
barge	b aː r d͡ʒ ə
bark	b a r k
barke	b a r k ə
barker	b a r k ə r ə
barkyn	b a r k ə n
barly	b a r l iː
barm	b a r m
barm	b ɛ r m
barn	b a r n
barn	b aː r n
barn	b ɛ r n
barneschen	b a r n i ʃ ə n
barnhede	b a r n h ɛː d
barnhede	b aː r n h ɛː d
barnles	b a r n l ɛː s
barnles	b aː r n l ɛː s
barntem	b a r n t ɛː m
barntem	b aː r n t ɛː m
baronie	b a r u n iː ə
baroun	b a r oː n
baroun	b a r u n
baroun	b a r uː n
barow	b a r i u̯
barow	b a r ɔ u̯
barow	b a r ə x
barre	b a r ə
barwe	b a r i u̯ ə
barwe	b a r w ə
barwe	b a r ɔ u̯ ə
bas	b a s
bas	b aː s
base	b aː s ə
basilicke	b a s i l i k ə
basilicke	b a s i l i s k ə
basilicke	b a s i l iː k ə
basilicok	b a s i l i k ɔ k
basket	b a s k ə t
basket	b a s k ɛ t
bast	b a s t
bast	b aː s t
bastard	b a s t a r d
bastard	b a s t aː r d
bastard	b a s t ə r d
bastardie	b a s t a r d iː ə
bastardie	b a s t a r d r iː ə
baston	b a s t u n
baston	b a s t uː n
basyn	b aː s i n
basyn	b aː s iː n
basynet	b a s i n ɛ t
basynet	b a s n ɛ t
bat	b a t
bat	b ɔ t
batailloure	b a t i l uː r
batailloure	b a t i l ə r
batayle	b a t æ i̯ l ə
batayle	b a t ə l ə
batayle	b a t ɛ l ə
bataylen	b a t æ i̯ l ə n
bataylen	b a t ə l ə n
bataylous	b a t i l uː s
bataylynge	b a t æ i̯ l i n ɡ ə
bataylynge	b a t ə l i n ɡ ə
baten	b a t ə n
baten	b aː t ə n
bateren	b a t ə r ə n
bath	b a θ
bathen	b aː ð ə n
bathynge	b aː ð i n ɡ ə
bature	b a t i u̯ r ə
bature	b a t u r ə
baulen	b a u̯ l ə n
baundon	b a n d u n
baundon	b a n d uː n
baundon	b a u̯ n d u n
baundon	b a u̯ n d uː n
baviere	b a v eː r ə
baviere	b a v ə r ə
baviere	b aː v ə r ə
bawme	b a u̯ m ə
bawme	b aː m ə
bawmen	b a u̯ m ə n
bayte	b æ i̯ t ə
bayten	b æ i̯ t ə n
baytynge	b æ i̯ t i n ɡ
beau	b ɛ u̯
beaute	b ɛ u̯ t eː
