ab	ɑ b
araşdırmaq	ɑ r ɑ ʃ t ɯ r m ɑ χ
ard	ɑ r d
artist	ɑ r t i s t
artmaq	ɑ r t m ɑ χ
artıq	ɑ r t ɯ χ
arxaik	ɑ r χ ɑ i k
arxasında	ɑ r χ ɑ s ɯ n d ɑ
arxiv	ɑ r χ i v
arğac	ɑ r ɣ ɑ d͡z
arğac	ɑ r ɣ ɑ d͡ʒ
arıq	ɑ r ɯ ɣ
arıqlamaq	ɑ r ɯ ɣ ɫ ɑ m ɑ χ
arıquşu	ɑ r ɯ ɡ u ʃ u
asanlıq	ɑ s ɑ n ɫ ɯ χ
asanlıq	ɑ s ɑ nː ɯ χ
asqırmaq	ɑ s k ɯ r m ɑ χ
asqırmaq	ɑ s ɡ ɯ r m ɑ χ
astana	ɑ s t ɑ n a
asılı	ɑ s ɯ ɫ ɯ
asılılıq	ɑ s ɯ ɫ ɯ ɫ ɯ χ
ata	ɑ t ɑ
atelye	ɑ t e l j e
atlanmaq	ɑ t l ɑ n m ɑ χ
atlanmaq	ɑ tː ɑ mː ɑ χ
atmaq	ɑ t m ɑ χ
atqı	ɑ t ɡ ɯ
atım	ɑ t ɯ m
auditoriya	ɑ u d i t o r i j ɑ
avam	ɑ v ɑ m
avarçı	ɑ v ɑ r t͡s ɯ
avarçı	ɑ v ɑ r t͡ʃ ɯ
avarçəkən	ɑ v ɑ r t͡s æ t͡ʃ æ n
avarçəkən	ɑ v ɑ r t͡ʃ æ k æ n
avqust	ɑ v ɡ u s t
avro	ɑ v r o
avtomatik	a f t o m a t i k
avtoqraf	ɑ f t o ɡ r a f
avtoş	ɑ f t o ʃ
axmaq	ɑ χ m ɑ χ
axsamaq	ɑ χ s ɑ m ɑ χ
axtarmaq	ɑ χ t ɑ r m ɑ χ
axtarış	ɑ χ t ɑ r ɯ ʃ
axır	ɑ χ ɯ r
axşam	a χ ʃ a m
ayaq	ɑ j ɑ χ
ayaqqabı	ɑ j ɑ kː ɑ b ɯ
ayaqqabı	ɑ j ɑ χ k ɑ b ɯ
ayaqyalın	ɑ j ɑ ɣ j ɑ ɫ ɯ n
ayaqyolu	ɑ j ɑ ɣ j o l u
ayaz	ɑ j ɑ z
aydın	ɑ j d ɯ n
aydınlıq	ɑ j d ɯ n ɫ ɯ χ
ayin	ɑː j i n
aylanmaq	ɑ j ɫ ɑ mː ɑ χ
aylanmaq	ɑ j ɫ ɑ n m ɑ χ
aylıq	ɑ j ɫ ɯ χ
ayran	ɑ j r ɑ n
ayılmaq	ɑ j ɯ ɫ m ɑ χ
ayıq	ɑ j ɯ χ
ayıqlıq	ɑ j ɯ ɣ ɫ ɯ χ
ayırmaq	ɑ j ɯ r m ɑ χ
az	ɑ z
azad	ɑ z ɑ d
azadlıq	ɑ z ɑ d ɫ ɯ χ
azalmaq	ɑ z ɑ ɫ m ɑ χ
azlıq	ɑ z d ɯ χ
azlıq	ɑ z ɫ ɯ χ
azmaq	ɑ z m ɑ χ
azyaşlı	ɑ z j ɑ ʃ ɫ ɯ
azərbaycan	ɑː z æ r b ɑ j d͡z ɑ n
azərbaycan	ɑː z æ ɾ b ɑ j d͡ʒ ɑ n
açar	ɑ t͡s ɑ r
açar	ɑ t͡ʃ ɑ r
açmaq	ɑ t͡s m ɑ χ
açmaq	ɑ t͡ʃ m ɑ χ
açmaq	ɑ ʃ m ɑ χ
açılmaq	ɑ t͡s ɯ ɫ m ɑ χ
açılmaq	ɑ t͡ʃ ɯ ɫ m ɑ χ
açılış	ɑ t͡s ɯ l ɯ ʃ
açılış	ɑ t͡ʃ ɯ l ɯ ʃ
açıq	ɑ t͡s ɯ χ
açıq	ɑ t͡ʃ ɯ χ
açıqca	ɑ t͡s ɯ ɣ d͡z ɑ
açıqca	ɑ t͡ʃ ɯ ɣ d͡ʒ ɑ
açıqça	ɑ t͡ʃ ɯ ɣ d͡ʒ ɑ
açıqça	ɑ t͡ʃ ɯ χ t͡ʃ ɑ
ağac	ɑ ɣ ɑ d͡z
ağac	ɑ ɣ ɑ d͡ʒ
ağac	ɑ ɣ ɑ ʃ
ağacdələn	ɑ ɣ ɑ d ʒ d æ l æ n
ağlabatmaz	ɑ ɣ ɫ ɑ b a ɯ t m ɑ z
ağlamaq	ɑ ɣ ɫ ɑ m ɑ χ
ağlamaq	ɑː ɫ ɑ m ɑ χ
ağlasığmaz	ɑ ɣ ɫ a s ɯ ɣ m ɑ z
ağqoval	ɑ ɣ ɡ o v ɑ ɫ
ağrı	ɑ ɣ r ɯ
ağrımaq	ɑ ɣ r ɯ m ɑ χ
ağrısız	ɑ ɣ r ɯ s ɯ z
ağı	ɑ ɣ ɯ
ağıllı	ɑ ɣ ɯ ɫː ɯ
ağır	ɑ ɣ ɯ r
ağız	ɑ ɣ ɯ z
aş	ɑ ʃ
aşağı	ɑ ʃ ɑ ɣ ɯ
aşpaz	ɑ ʃ p ɑ z
aşı	ɑ ʃ ɯ
aşılamaq	ɑ ʃ ɯ ɫ ɑ m ɑ χ
baba	b ɑ b ɑ
bacanaq	b ɑ d͡z ɑ n ɑ χ
bacanaq	b ɑ d͡ʒ ɑ n ɑ χ
bacanaq	b ɑ ʒ ɑ n ɑ χ
bacarmaq	b ɑ d͡z ɑ r m ɑ χ
bacarmaq	b ɑ d͡ʒ ɑ r m ɑ χ
bacı	b ɑ d͡z ɯ
bacı	b ɑ d͡ʒ ɯ
bacı	b ɑ ʒ ɯ
badımcan	b ɑ d ɯ m d͡z ɑ n
badımcan	b ɑ d ɯ m d͡ʒ ɑ n
baha	b ɑ h ɑ
bahadır	b ɑ h ɑ d ɯ r
bahalı	b ɑ h ɑ ɫ ɯ
bahar	b ɑ h ɑ r
bal	b ɑ ɫ
bala	b ɑ ɫ ɑ
balaban	b ɑ ɫ ɑ b ɑ n
balaca	b ɑ ɫ ɑ d͡z ɑ
balaca	b ɑ ɫ ɑ d͡ʒ ɑ
balalayka	b ɑ ɫ ɑ ɫ ɑ j k ɑ
baldız	b ɑ ɫ d ɯ z
baltalamaq	b ɑ l t ɑ l ɑ m ɑ χ
balı	b ɑː ɫ ɯ
balıqçı	b ɑ l ɯ χ t͡s ɯ
balıqçı	b ɑ l ɯ χ t͡ʃ ɯ
balış	b ɑ ɫ ɯ ʃ
balışüzü	b ɑ ɫ ɯ ʃ y z y
bandaj	b ɑ n d ɑ ʒ
bani	b ɑː n i
barmaq	b ɑ r m ɑ ɣ
barmaqlamaq	b ɑ r m ɑ ɣ l ɑ m ɑ χ
barı	b ɑ r ɯ
barışmaq	b ɑ r ɯ ʃ m ɑ χ
basdırmaq	b ɑ s d ɯ r m ɑ χ
basmaq	b ɑ s m ɑ χ
basılmaz	b ɑ s ɯ ɫ m ɑ z
bataq	b ɑ t ɑ χ
baxmaq	b ɑ χ m ɑ χ
baxmayaraq	b ɑ χ m ɑ j ɑ r ɑ χ
baxmayaraq	b ɑ χ m ɯ j ɑ r ɑ χ
baxtalamaq	b ɑ χ d ɑ ɫ ɑ m ɑ ɣ
bayaq	b ɑ j ɑ χ
bayraq	b ɑ j r ɑ χ
bazarlıq	b ɑ z ɑ r ɫ ɯ χ
bazarlıq	b ɑ z ɑ rː ɯ χ
bazlıq	b ɑ z d ɯ χ
bazlıq	b ɑ z ɫ ɯ χ
bağ	b ɑ ɣ
bağana	b ɑ ɣ ɑ n ɑ
bağban	b ɑː b ɑ n
bağlamaq	b ɑ ɣ ɫ ɑ m ɑ χ
bağlı	b ɑ ɣ l ɯ
bağır	b ɑ ɣ ɯ r
bağırmaq	b ɑ ɣ ɯ r m ɑ χ
bağırsaq	b ɑ ɣ ɯ r s ɑ χ
bağışlamaq	b ɑ ɣ ɯ ʃ t ɑ m ɑ χ
bağışlamaq	b ɑ ɣ ɯ ʃ ɫ ɑ m ɑ χ
baş	b ɑ ʃ
başdaşı	b ɑ ʃ d ɑ ʃ ɯ
başlamaq	b ɑ ʃ t ɑ m ɑ χ
başlamaq	b ɑ ʃ ɫ ɑ m ɑ χ
başlanğıc	b ɑ ʃ t ɑ n ɣ ɯ d͡z
başlanğıc	b ɑ ʃ t ɑ n ɣ ɯ d͡ʒ
başlanğıc	b ɑ ʃ ɫ ɑ n ɣ ɯ d͡z
başlanğıc	b ɑ ʃ ɫ ɑ n ɣ ɯ d͡ʒ
başqa	b ɑ ʃ k ɑ
başqa	b ɑ ʃ ɡ ɑ
başçı	b ɑ ʃ t͡s ɯ
başçı	b ɑ ʃ t͡ʃ ɯ
beh	b e j
belibağlı	b e l i b ɑ ɣ ɫ ɯ
belə	b e l æ
benzin	b e n z i n
beyin	b e i n
beyin	b e j i n
beynəlxalq	b e j n æ l χ ɑ l ɡ
beynəlxalq	b e j n æ l χ ɑ l χ
beynəlxalq	b e j n ɑ ɫ χ ɑ l ɡ
beynəlxalq	b e j n ɑ ɫ χ ɑ l χ
bezmək	b e z m æ j
bezmək	b e z m æ k
beşbarmaq	b e ʃ b ɑ r m ɑ χ
beşinci	b e ʃ i n d͡ʒ i
bibi	b i b i
bibər	b i b æ ɾ
bilgi	b i l ɡ i
bilik	b i l i j
bilik	b i l i k
bilik	b i l i ç
bilmək	b i l m e j
bilmək	b i l m æ j
bilmək	b i l m æ k
bilmək	b i l m ɑ χ
bioloji	b i o l o ʒ ɯ
biqeyrət	b i ɡ e j r æ t
bir	b i r
biraz	b i r ɑ z
birgə	b i r ɡ æ
birinci	b i r i m d͡z i
birinci	b i r i n d͡z i
birinci	b i r i n d͡ʒ i
birlikdə	b i r l i k d æ
birlikdə	b i r l i k t æ
birləşdirmək	b i r l æ ʃ d i r m æ j
birləşdirmək	b i rː æ ʃ d i r m æ j
birləşmək	b i r l æ ʃ m æ j
birləşmək	b i rː æ ʃ m æ j
bit	b i t
bitirmək	b i t i r m æ j
bitirmək	b i t i r m æ k
bitirmək	b i t i r m æ t͡ʃ
bitişik	b i t i ʃ i k
bitmək	b i t m e j
bitmək	b i t m æ j
bitmək	b i t m æ k
bitmək	b i t m ɑ χ
biyabanlıq	b i j ɑ b ɑ n ɫ ɯ χ
biyabanlıq	b i j ɑ b ɑ nː ɯ χ
biyabanlıq	b i j ɑ v ɑ nː ɯ χ
biçin	b i t͡ʃ i n
bişirmək	b i ʃ i r m æ k
bişirmək	p i ʃ i r m e j
bişirmək	p i ʃ i r m æ k
bişirmək	p i ʃ i r m ɑ χ
bişmək	b i ʃ m æ k
bişmək	p i ʃ m e j
bişmək	p i ʃ m æ k
bişmək	p i ʃ m ɑ χ
bişərəf	b i ʃ æ r æ f
bolluq	b o ɫː u χ
boran	b o r r ɑ n
borc	b o r d͡z
borc	b o r d͡ʒ
boru	b o r u
boyamaq	b o j ɑ m ɑ χ
boyaqotu	b o j ɑ ɣ o t u
boyun	b o j u n
boyunduruq	b o j u n d u r u χ
bozbaş	b o z b ɑ ʃ
boğaz	b o ɣ ɑ z
boğmaq	b o ɣ m ɑ χ
boğulmaq	b o ɣ u ɫ m ɑ χ
boş	b o ʃ
boşalmaq	b o ʃ ɑ ɫ m ɑ χ
boşanmaq	b o ʃ ɑ mː ɑ χ
boşqab	b o ʃ ɡ ɑ b
bucaq	b u d͡z ɑ χ
bucaq	b u d͡ʒ ɑ χ
budaq	b u d ɑ χ
bugün	b u ɡ y n
bugün	b y j y n
bugün	b y ɡ y n
bulanlıq	b u ɫ ɑ n ɫ ɯ χ
bulanlıq	b u ɫ ɑ nː ɯ χ
bulanıq	b u l ɑ n ɯ χ
bulmaq	b u ɫ m ɑ χ
burada	b u r ɑ d ɑ
buradan	b u r d ɑ n
buradan	b u r ɑ d ɑ n
buraxmaq	b u r ɑ χ m ɑ χ
burda	b u ɾ d ɑ
burmaq	b u r m ɑ χ
burun	b u r u n
burğac	b u r ɣ ɑ d͡z
burğac	b u r ɣ ɑ d͡ʒ
buynuz	b u j n u z
buyurmaq	b u j u r m ɑ χ
buzov	b u z o v
böhran	b œ h r ɑ n
böyük	b œ j y j
böyük	b œ j y k
böyük	b œ j y t͡ʃ
böyük	b œ j y ç
böyümək	b œ j y m æ j
böyümək	b œ j y m æ k
böyürtkən	b œ j y ɾ t k æ n
böyütmək	b œ j y t m æ k
bükmək	b y h m ɑ χ
bükmək	b y k m æ j
bükmək	b y k m æ k
bükmək	b y t͡ʃ m æ t͡ʃ
bükmək	b y ç m ɑ χ
bülbül	b y l b y l
bıçaq	b ɯ t͡ʃ ɑ χ
bıçaq	p ɯ t͡s ɑ χ
bıçaq	p ɯ t͡ʃ ɑ χ
bədbin	b æ d b i n
bədən	b æ d æ n
bəla	b æ ɫ ɑ
bəlağət	b æ ɫ ɑː ɣ æ t
bəlağətli	b æ ɫ ɑː ɣ æ t l i
bəlağətli	b æ ɫ ɑː ɣ æ tː i
bəlkə	b æ l k æ
bəlkə	b æ l k æ m
bəlkə	b æ r k æ
bənna	b æ nː ɑ
bənzər	b æ n z æ r
bənövşə	b æ n œ v ʃ æ
bənövşəyi	b æ n œ v ʃ æ j i
bənək	b æ n æ j
bənək	b æ n æ ç
bərabər	b æ r ɑ b æ r
bərbər	b æ r b æ ɾ
bərk	b æ r k
bərkdən	b æ r k d æ n
bərkdən	b æ r k t æ n
bərpa	b æ r p ɑ
bəsləmək	b æ s l æ m æ k
bəsləmək	b æ s t æ m æ j
bəsləmək	b æ s t æ m æ k
bəz	b æ z
bəzi	b æ z i
bəzən	b æː z æ n
calamaq	d͡z ɑ ɫ ɑ m ɑ χ
calamaq	d͡ʒ ɑ ɫ ɑ m ɑ χ
camaat	d͡z ɑ m ɑ h ɑ t
camaat	d͡z ɑ m ɑ ɑ t
camaat	d͡ʒ ɑ m ɑ h ɑ t
camaat	d͡ʒ ɑ m ɑ ɑ t
can	d͡z ɑ n
can	d͡ʒ ɑ n
casus	d͡z ɑː s u s
casus	d͡ʒ ɑː s u s
cavab	d͡z ɑ v ɑ b
cavab	d͡ʒ ɑ v ɑ b
cavablandırmaq	d͡z ɑ v ɑ b ɫ ɑ n d ɯ r m ɑ χ
cavablandırmaq	d͡ʒ ɑ v ɑ b ɫ ɑ n d ɯ r m ɑ χ
cavan	d͡z ɑ v ɑ n
cavan	d͡ʒ ɑ v ɑ n
cavanlıq	d͡z ɑ v ɑ n ɫ ɯ χ
cavanlıq	d͡ʒ ɑ v ɑ n ɫ ɯ χ
cib	d͡z i b
cib	d͡ʒ i b
cinsi	d͡z i n s i
cinsi	d͡ʒ i n s i
cücə	d͡z y d͡z æ
cücə	d͡ʒ y d͡ʒ æ
cümhuriyyət	d͡z y m h uː r i j æ t
cümhuriyyət	d͡ʒ y m h uː r i j æ t
cümlə	d͡z y m l æ
cümlə	d͡ʒ y m l æ
cüt	d͡z y t
cüt	d͡ʒ y t
cütlük	d͡z y t l y k
cütlük	d͡ʒ y t l y k
cütçü	d͡z y t t͡s y
cütçü	d͡ʒ y t t͡ʃ y
cütçülük	d͡z y t t͡s y l y k
cütçülük	d͡ʒ y t t͡ʃ y l y k
cırmaq	d͡z ɯ r m ɑ χ
cırmaq	d͡ʒ ɯ r m ɑ χ
cırıq	d͡z ɯ r ɯ χ
cırıq	d͡ʒ ɯ r ɯ χ
cığal	d͡ʒ ɯ ɣ ɑ ɫ
cəbhəçi	d͡z æ p h æ t͡s i
cəbhəçi	d͡ʒ æ p h æ t͡ʃ i
cəm	d͡z æ m
cəm	d͡ʒ æ m
cəmiyyət	d͡z æ m i j æ t
cəmiyyət	d͡ʒ æ m i j æ t
cərimə	d͡z æ r i m æ
cərimə	d͡ʒ æ r i m æ
cəza	d͡z æ z ɑ
cəza	d͡ʒ æ z ɑ
cəzalandırmaq	d͡z æ z ɑ ɫ ɑ n d ɯ r m ɑ χ
cəzalandırmaq	d͡ʒ æ z ɑ ɫ ɑ n d ɯ r m ɑ χ
cəzalandırıcı	d͡z æ z ɑ ɫ ɑ n d ɯ r ɯ d͡z ɯ
cəzalandırıcı	d͡ʒ æ z ɑ ɫ ɑ n d ɯ r ɯ d͡ʒ ɯ
cəzalanmaq	d͡z æ z ɑ ɫ ɑ n m ɑ χ
cəzalanmaq	d͡ʒ æ z ɑ ɫ ɑ n m ɑ χ
dad	d ɑ d
dad	d ɑː d
dadı	d ɑ d ɯ
daha	d ɑ h ɑ
dal	d ɑ ɫ
dala	d ɑ ɫ
dalaq	d ɑ ɫ ɑ χ
dalbadal	d ɑ ɫ b ɑ d ɑ ɫ
daldırmaq	d ɑ ɫ d ɯ r m ɑ χ
dalmaq	d ɑ ɫ m ɑ χ
dalğa	d ɑ ɫ ɣ ɑ
damar	d ɑ m ɑ r
damcı	d ɑ m d͡z ɯ
damcı	d ɑ m d͡ʒ ɯ
damla	d ɑ m ɫ ɑ
dan	d ɑ n
danimarkalı	d ɑ n i m ɑ r k ɑ l ɯ
danmaq	d ɑ mː ɑ χ
danmaq	d ɑ n m ɑ χ
danna	d ɑ nː ɑ
danışdırmaq	d ɑ n ɯ ʃ d ɯ r
danışmaq	d a n ɯ ʃ m ɑ χ
danışıq	d ɑ n ɯ ʃ ɯ χ
dar	d ɑ r
daramaq	d ɑ r ɑ m ɑ χ
daraq	d ɑ r ɑ χ
dartmaq	d ɑ r t m ɑ χ
darvaza	d ɑ r v ɑ z ɑ
darılmaq	d ɑ r ɯ ɫ m ɑ χ
dava	d ɑ v ɑ
davamçı	d ɑ v ɑ m t͡s ɯ
davamçı	d ɑ v ɑ m t͡ʃ ɯ
davar	d ɑ v ɑ r
daxil	d ɑː χ i l
day	d ɑ j
dayamaq	d a j ɑ m ɑ χ
dayanacaq	d ɑ j ɑ n ɑ d͡ʒ ɑ χ
dayandırmaq	d ɑ j ɑ n d ɯ r m ɑ χ
dayanmaq	d a j ɑ mː ɑ χ
dayanmaq	d a j ɑ n m ɑ χ
dayça	d ɑ j t͡s ɑ
dayça	d ɑ j t͡ʃ ɑ
dayı	d ɑ j ɯ
daz	d ɑ z
dağılmaq	d ɑ ɣ ɯ ɫ m ɑ χ
dağılmaq	d ɑː ɫ m ɑ χ
dağıntı	d ɑ ɣ ɯ n t ɯ
daş	d ɑ ʃ
daşımaq	d ɑ ʃ ɯ m ɑ χ
deaktivləşdirmək	d e ɑ k t i v l æ ʃ t i r m æ k
demək	d e m æ k
devirmək	d e v i r m æ j
devirmək	d e v i r m æ k
deyəsən	d e j æ s æ n
deyəsən	d i j æ s æ n
deşik	d e ʃ i j
deşik	d e ʃ i ç
dik	d i t͡ʃ
dikmək	d i k m æ j
dikmək	d i t͡ʃ m æ ç
diktor	d i k t o r
dil	d i l
dilim	d i l i m
dilimi	d i l i m i
dilmanc	d i l m ɑ n d͡z
dilmanc	d i l m ɑ n d͡ʒ
dilçi	d i l t͡s i
dilçi	d i l t͡ʃ i
dilçilik	d i l t͡s i l i j
dilçilik	d i l t͡s i l i k
dilçilik	d i l t͡ʃ i l i j
dilçilik	d i l t͡ʃ i l i k
dilənmək	d i l æ mː æ j
dilənmək	d i l æ mː æ k
dilənmək	d i l æ n m æ j
dilənmək	d i l æ n m æ k
dincəlmək	d i n d͡z æ l m æ j
dincəlmək	d i n d͡z æ l m æ k
dincəlmək	d i n d͡ʒ æ l m æ j
dincəlmək	d i n d͡ʒ æ l m æ k
dindirmə	d i n d i r m æ
dinləmək	d i n l æ m e j
dinləmək	d i n l æ m æ j
dinləmək	d i n l æ m æ k
dinləmək	d i n l æ m ɑ χ
dirçəliş	d i r t͡s æ l i ʃ
dirçəliş	d i r t͡ʃ æ l i ʃ
diş	d i ʃ
dişləmək	d i ʃ t æ m æ j
dişləmək	d i ʃ t æ m æ k
dişləmək	d i ʃ t æ m ɑ χ
dnt	d e e n t e
dolamac	d o ɫ ɑ m ɑ d͡z
doldurmaq	d o ɫ d u r m ɑ χ
dolma	d o ɫ m ɑ
dolmaq	d o ɫ m ɑ χ
dolu	d o ɫ u
dolğun	d o ɫ ɣ u n
dondurma	d o n d u r m ɑ
dondurmaq	d o n d u r m ɑ χ
dongra	d o ŋ r ɑ
donmaq	d o mː ɑ χ
donmaq	d o n m ɑ χ
donuz	d o n u z
doqquz	d o kː u z
doqquzuncu	d o ɡ ɡ u z u n d͡ʒ u
dost	d o s t
dostluq	d o s t ɫ u χ
doxsanıncı	d o x s ɑ n ɯ n d͡ʒ ɯ
doğmaq	d o ɣ m ɑ χ
doğramaq	d o ɣ r ɑ m ɑ χ
doğrudan	d o ɣ r u d ɑ n
doğrudan	d o ɣ u r d ɑ n
doğulmaq	d o ɣ u ɫ m ɑ χ
dua	d u ɑ
duman	d u m ɑ n
durmaq	d u r m ɑ χ
durna	d u r n ɑ
duymaq	d u j m ɑ χ
duyğu	d u j ɣ u
dönmək	d œ mː æ j
dönmək	d œ mː æ k
dönmək	d œ n m æ j
dönmək	d œ n m æ k
dönər	d œ n æ r
dönərxana	d œ n æ r χ ɑ n ɑ
dövlət	d e v l æ t
dövlət	d œ v l æ t
dövr	d œ v r
döymək	d œ j m æ j
döymək	d œ j m æ k
döymək	d œ j m ɑ χ
döymək	d œ ɡ m e j
döymək	d œ ɡ m æ k
döyüş	d œ j y ʃ
dözmək	d œ z m æ j
dözmək	d œ z m æ k
dözülməz	d œ z y l m æ z
dözümlü	d œ z y m l y
dözümlülük	d œ z y m l y l y j
dözümlülük	d œ z y m l y l y k
dözümsüz	d œ z y m s y z
dözümsüzlük	d œ z y m s y z l y j
dözümsüzlük	d œ z y m s y z l y k
döşək	d œ ʃ æ j
döşək	d œ ʃ æ k
döşəkağı	d œ ʃ æ j ɑ ɣ ɯ
dükan	d y k a n
dükan	d y t͡ʃ a n
dükan	t y k a n
dükan	t y t͡ʃ a n
dülgər	d y l ɡ æ r
dünyəvi	d y n j æː v i
dünən	d y n æ n
düyü	d y j y
düyə	d y j ɑ
düzbucaqlı	d y z b u d͡z ɑ ɣ ɫ ɯ
düzbucaqlı	d y z b u d͡ʒ ɑ ɣ ɫ ɯ
düzgün	d y z ɡ y n
düzəlmək	d y z æ l m e j
düzəlmək	d y z æ l m æ j
düzəlmək	d y z æ l m æ k
düzəlmək	d y z æ l m ɑ χ
düzəltmək	d y z æ l t m e j
düzəltmək	d y z æ l t m æ j
düzəltmək	d y z æ l t m æ k
düzəltmək	d y z æ t m ɑ χ
düş	d y ʃ
düş	t y ʃ
düşmək	d y ʃ m æ k
düşmək	t y ʃ m æ k
düşünmək	d y ʃ y mː æ j
düşünmək	d y ʃ y mː ɑ χ
dırmıq	d ɯ r m ɯ χ
dırnaq	d ɯ r n ɑ χ
dığa	d ɯ ɣ ɑ
dışarı	d ɯ ʃ ɑ r ɯ
dədə	d æ d æ
dəftər	d æ f t æ r
dəfə	d æ f æ
dəli	d æ l i
dəlixana	d æ l i χ ɑ n ɑ
dəmiryol	d æ m i r j o ɫ
dəmirçi	d æ m i r t͡s i
dəmirçi	d æ m i r t͡ʃ i
dənə	d æ n æ
dəqiq	d æ ɡ i ɡ
dəqiqə	d æ ɡ i ɡ æ
dəqiqə	d æ ɡ iː ɡ æ
dəqiqə	d æː ɡ æ
dəqiqə	d ɑ ɣ ɑ
dərhal	d æ r h ɑ ɫ
dəri	d æ r i
dərin	d æ r i n
dərinlik	d æ r i n l i j
dərman	d æ r m ɑ n
dərs	d æ r s
dərzi	d æ r z i
dəstək	d æ s t æ j
dəstək	d æ s t æ ç
dəstəkləmək	d æ s t æ j l æ m æ k
dəstəkləmək	d æ s t æ k l æ m æ k
dəstəmaz	d æ s t æ m ɑ z
dəyirman	d æ j i r m ɑ n
dəyişdirmək	d æ j i ʃ d i r m æ j
dəyişdirmək	d æ j i ʃ d i r m æ k
dəyişdirmək	d æ j i ʃ t i r m æ j
dəyişdirmək	d æ j i ʃ t i r m æ k
dəyişkən	u n u t k ɑ n
dəyişmək	d æ j i ʃ m æ j
dəyişmək	d æ j i ʃ m æ k
dəymək	d æ j m æ j
dəymək	d æ j m æ k
dəymək	d æ j m ɑ χ
dəyməz	d æ j m æ z
dəyə	d æ j æ
dəyər	d æ j æ r
edam	eː d a m
ehtiyatla	e h t i j ɑ t ɫ ɑ
elita	e l i t ɑ
elitar	e l i t ɑ r
elxan	e l χ ɑ n
elə	e l æ
eləmək	e l æ m æ k
endirmə	e n d i r m æ
endirmək	e n d i r m æ j
endirmək	e n d i r m æ k
enmək	e mː æ k
enmək	e n m æ j
enmək	e n m æ k
epidemiologiya	e p i d e m i o ɫ o ɡ i j ɑ
epidemioloji	e p i d e m i o l o ʒ ɯ
epidemiya	e p i d e m i j ɑ
etdirmək	e t d i r m æ j
etdirmək	e t d i r m æ k
etdirmək	e tː i r m æ j
etdirmək	e tː i r m æ k
