A	a
årtisses	ɔː ʀ t i s
årtisyince	ɔː ʀ t i s j ɛ̃ s
Artur	a ʀ t y ʀ
årvey	ɔː ʀ v ɛ j
aschoûter	a s k uː t e
aschoûtrece	a s k uː t ʀ ɛ s
aschoûtreces	a s k uː t ʀ ɛ s
ascoyî	a s k ɔ j iː
ashir	a ʃ iː ʀ
assåjhner	a s ɔː ʒ n e
Assesse	a s ɛ s
assocyî	a s ɔ s j iː
Åssôrt	ɔː s õ ʀ
astamper	a s t ã p e
asteure	a s t øː ʀ
Astire	a s t i ʀ
Astride	a s t ʀ i t
atchter	a t͡ʃ t e
atincion	a t ɛ̃ s j ɔ̃
atouwer	a t u w e
Aurèlîye	oː ʀ ɛ l iː j
aveur	a v øː ʀ
Åvlè	ɔː v l ɛ
avoenne	a v w ɛ̃ n
avou	a v u
avri	a v ʀ i
Awan	a w ã
awè	a w ɛ
åwe	ɔː w
aweye	a w ɛ j
awijhî	a w iː ʒ iː
awousse	a w u s
ayir	a j iː ʀ
Azerbaydjan	a z ɛ ʀ b ɛ d͡ʒ ã
Azeye	a z ɛ j
Bâbe	b aː p
Babete	b a b ɛ t
både	b ɔː t
bådet	b ɔː d ɛ
Badjomé	b a d͡ʒ ɔ m e
Bådwin	b ɔː d w ɛ̃
Baidjo	b ɛ d͡ʒ o
Bailou	b ɛ l u
båjhî	b ɔː ʒ iː
baloujhe	b a l uː ç
baloujhe	b a l uː ʃ
barakî	b a ʀ a k iː
barakî	b a ʀ a k j ɛ
Barbåde	b a ʀ b ɔː t
Bârbe	b aː ʀ p
Båre	b ɔː ʀ
Baronveye	b a ʀ ɔ̃ v ɛ j
Bassindje	b a s ɛ̃ t͡ʃ
Bastén	b a s t ẽ
basti	b a s t i
Bastogne	b a s t ɔ ɲ
baston	b a s t ɔ̃
Bastyin	b a s t j ɛ̃
bate	b a t
batea	b a t j a
batijhî	b a t i ʒ iː
Batisse	b a t i s
båyî	b ɔː j iː
båyner	b ɔː j n e
Bê	b ɛː
bea	b j a
bea	b ɛː
Bebert	b ɛ b ɛ ʀ
Bedje	b ɛ t͡ʃ
Bêdjo	b ɛ d͡ʒ o
Bêdjot	b ɛ d͡ʒ ɔ
bedot	b ɛ d ɔ
begyî	b ɛ ɡ j iː
Beldjike	b ɛ l d͡ʒ i k
Beleul	b ɛ l ø l
Béleul	b e l ø l
Belfroed	b ɛ l f ʀ w ɛ
Belgråde	b ɛ l ɡ ʀ ɔː t
bén	b ẽ
Benoet	b ɛ n w ɛ
bénrade	b ẽ ʀ a t
berbis	b ɛ ʀ b i
Bernissåt	b ɛ ʀ n i s ɔː
Bert	b ɛ ʀ
Bêrt	b ɛ ʀ
Bertine	b ɛ ʀ t i n
Bêrtine	b ɛ ʀ t i n
berwete	b ɛ ʀ w ɛ t
berweter	b ɛ ʀ w ɛ t e
betchete	b ɛ t͡ʃ ɛ t
Bêtri	b ɛː t ʀ i
Beurdene	b ø ʀ d ɛ n
Beyatrice	b ɛ j a t ʀ i s
Biarin	b j a ʀ ɛ̃
bibioteke	b i b j ɔ t ɛ k
Bierlô	b j ɛ ʀ l oː
Biernåd	b j ɛ ʀ n ɔː
Biernådete	b j ɛ ʀ n ɔː d ɛ t
Biernî	b j ɛ ʀ n iː
Biertogne	b j ɛ ʀ t ɔ ɲ
biesse	b j ɛ s
Bietlete	b j ɛ l ɛ t
Bietmé	b j ɛ m e
Bietrand	b j ɛ t ʀ ã
Bietris	b j ɛ t ʀ i
Bietrumé	b j ɛ t ʀ y m e
bijhe	b iː ç
bijhe	b iː ʃ
bijhrece	b iː ʒ ʀ ɛ s
Bili	b i l i
Binamé	b i n a m e
Bince	b ɛ̃ s
Biômont	b j oː m ɔ̃
Biou	b j u
bire	b iː ʀ
Bîtresse	b i t ʀ ɛ s
Bixhrou	b i ʃ ʀ uː
biyter	b iː j t e
Bjén	b ʒ ẽ
bladje	b l a t͡ʃ
blame	b l a m
blanc	b l ã
blanke	b l ã k
Blegné	b l ɛ ɲ e
Blémont	b l e m ɔ̃
bleuwi	b l øː w i
Bnoet	b n w ɛ
Bodî	b ɔ d iː
bodje	b ɔ t͡ʃ
boere	b w ɛː ʀ
boere	b øː ʀ
boke	b ɔ k
Boledjî	b ɔ l ɛ d͡ʒ iː
Bolindje	b ɔ l ɛ̃ t͡ʃ
bon	b ɔ̃
bondjoû	b ɔ̃ d͡ʒ uː
Bonene	b ɔ n ɛ n
bontins	b ɔ̃ t ɛ̃
boscheter	b ɔ s k ɛ t e
botanike	b ɔ t a n i k
botaye	b ɔ t a j
Boudje	b u t͡ʃ
Boumål	b u m ɔː l
Bounveye	b u n v ɛ j
boûre	b uː ʀ
bouwêye	b u w ɛː j
bouxhî	b u ʃ iː
bouxhon	b u ʃ ɔ̃
Bouxhonveye	b u ʃ ɔ̃ v ɛ j
Bouyon	b u j ɔ̃
Bovesse	b ɔ v ɛ s
Bôvetchén	b õ v ɛ t͡ʃ ẽ
Bovî	b ɔ v iː
Bovreye	b ɔ v ʀ ɛ j
boyeas	b ɔ j a
Braezi	b ʀ ɛ z i
Bragård	b ʀ a ɡ ɔː ʀ
Braive	b ʀ ɛ f
branscater	b ʀ ã s k a t e
bresse	b ʀ ɛ s
Bressene	b ʀ ɛ s ɛ n
bresseu	b ʀ ɛ s øː
Bressou	b ʀ ɛ s u
Bricmont	b ʀ i k m ɔ̃
Briêle	b ʀ i ɛː l
brike	b ʀ i k
Brixhe	b ʀ i ʃ
Briyon	b ʀ i j ɔ̃
brouheur	b ʀ u h øː ʀ
broûler	b ʀ uː l e
brouyård	b ʀ uː j ɔː ʀ
broyî	b ʀ ɔ j iː
Brudjlete	b ʀ y d͡ʒ l ɛ t
Bruniau	b ʀ y n j o
Brussele	b ʀ y s ɛ l
Bucaresse	b y k a ʀ ɛ s
Budapesse	b y d a p ɛ s
Bulgåreye	b y l ɡ ɔː ʀ ɛ j
Burnet	b y ʀ n ɛ
Burnot	b y ʀ n ɔ
Burton	b y ʀ t ɔ̃
Bûtba	b yː b a
Bwer	b w ɛ ʀ
Bweron	b w ɛ ʀ ɔ̃
bwès	b w ɛ
bwestyî	b w ɛ s t j iː
cabu	k a b y
Cadiye	k a d i j
Cadîye	k a d iː j
Cairon	k ɛ ʀ ɔ̃
Californeye	k a l i f ɔ ʀ n ɛ j
caligrafeye	k a l i ɡ ʀ a f ɛ j
calindrî	k a l ɛ̃ d ʀ iː
Câlisse	k aː l i s
Cålisse	k ɔː l i s
Calone	k a l ɔ n
camaerådreçmint	k a m ɛ ʀ ɔː d ʀ ɛ s m ɛ̃
Cambodje	k ã b ɔ t͡ʃ
Camile	k a m i l
canada	k a n a d a
candjaedje	k ã d͡ʒ ɛ t͡ʃ
candjåve	k ã d͡ʒ ɔː f
candjî	k ã d͡ʒ iː
candjmint	k ã d͡ʒ m ɛ̃
caracole	k a ʀ a k ɔ l
carbone	k a ʀ b ɔ n
Cargnon	k a ʀ ɲ ɔ̃
carote	k a ʀ ɔ t
cartoxhe	k a ʀ t ɔ ç
Castea	k a s t j a
catchî	k a t͡ʃ iː
categoreye	k a t ɛ ɡ ɔ ʀ ɛ j
categoreyes	k a t ɛ ɡ ɔ ʀ ɛ j
catoize	k a t w a s
Catrene	k a t ʀ ɛ n
cåve	k ɔː f
cåve	k oː f
cawe	k a w
cawete	k a w ɛ t
cayô	k a j oː
cåzaedje	k ɔː z ɛ t͡ʃ
cåzer	k ɔː z e
cbén	k b ẽ
cécoreye	s e k ɔ ʀ ɛ j
Cédonîye	s e d ɔ n iː j
ceke	s ɛ k
Celinå	s e l i n ɔː
Celinå	s e l i n aː
Célinâ	s e l i n aː
Celine	s e l i n
Céliniye	s e l i n i j
Célinîye	s e l i n iː j
céncwante	s ẽ k w ã t
cénk	s ẽ k
cénk	ʃ ɔ̃ k
cénkinme	s ẽ k ɛ̃ m
ceréjhe	s ɛ ʀ eː ç
Cerfontinne	s ɛ ʀ f ɔ̃ t ɛ̃ n
cérudjin	s e ʀ y d͡ʒ ɛ̃
cervea	s ɛ ʀ v ɛː
cervea	s ɛ ʀ v j a
Cezarene	s e z a ʀ ɛ n
Cezarine	s e z a ʀ i n
chal	ʃ a l
Châlèrwè	ʃ ɑː l ɛ ʀ w ɛ
Châlèrwè	ʃ aː l ɛ ʀ w ɛ
Châlèrwè	ʃ a l ɛ ʀ w ɛ
Châlèrwè	ʃ aː l ɛ ʀ w ɔ
Châlèrwè	ʃ ɔː l ɛ ʀ w ɔ
chedda	ʃ ɛ d d a
Chieve	ʃ j ɛ f
chife	ʃ i f
Chimai	ʃ i m ɛ
Chine	ʃ i n
Chîpe	ʃ iː p
chlaker	ʃ l a k e
chtroumfer	ʃ t ʀ u m f e
ci	s i
cial	s j a l
Cicile	s i s i l
cinde	s ɛ̃ t
cindrén	s ɛ̃ d ʀ ẽ
Cînè	s iː n ɛ
cinse	s ɛ̃ s
cinsî	s ɛ̃ s iː
cinsresse	s ɛ̃ s ʀ ɛ s
cint	s ɛ̃ t
cint	s ɛ̃
cintrå	s ɛ̃ t ʀ ɔː
cir	s iː ʀ
Citêye	s i t ɛ j
Ciye	s i j
Claire	k l ɛ ʀ
Clârisse	k l aː ʀ i s
Clårisse	k l ɔː ʀ i s
classe	k l a s
Clavir	k l a v i ʀ
clawson	k l a w s ɔ̃
clé	k l e
Clemint	k l ɛ m ɛ̃
clignete	k l i n ɛ t
Clode	k l ɔ t
Clôde	k l õ t
Clotile	k l ɔ t i l
cminå	k m i n ɔː
cnoxhe	k n ɔ ʃ
cobén	k ɔ b ẽ
côde	k ɔː t
codjowa	k ɔ d͡ʒ ɔ w a
codjower	k ɔ d͡ʒ ɔ w e
Cognêye	k ɔ ɲ ɛː j
coide	k w a t
Coignoûle	k w ɛ ɲ uː l
Coignoûle	k w a ɲ uː l
Coignoûle	k ɔ ɲ uː l
coine	k w a n
coir	k w aː ʀ
Coirnîmont	k w a ʀ n iː m ɔ̃
Colas	k ɔ l a
Colfontinne	k ɔ l f ɔ̃ t i n
Colrute	k ɔ l ʀ y t
Côme	k o m
cominå	k ɔ m i n ɔː
comint	k ɔ m ɛ̃
comis	k ɔ m i
Conåd	k ɔ n ɔː
condjî	k ɔ̃ d͡ʒ iː
condjîs	k ɔ̃ d͡ʒ iː
Coneu	k ɔ n øː
conoxhe	k ɔ n ɔ ʃ
Conråde	k ɔ̃ ʀ ɔː t
consyî	k ɔ̃ s j iː
Consyince	k ɔ̃ s j ɛ̃ s
contåve	k ɔ̃ t ɔː f
conter	k ɔ̃ t e
contrêye	k ɔ̃ t ʀ ɛː j
convoyî	k ɔ̃ v ɔ j iː
côp	k õ
côpant	k oː p ã
copene	k ɔ p ɛ n
Copenhågue	k ɔ p ɛ n h ɔː k
côper	k õ p e
copete	k ɔ p ɛ t
copiutrece	k ɔ p j u t ʀ ɛ s
copixhe	k ɔ p i ç
coplemint	k ɔ p l ɛ m ɛ̃
copyî	k ɔ p j iː
coraedje	k ɔ ʀ ɛ t͡ʃ
Coraliye	k ɔ ʀ a l iː j
Coralîye	k ɔ ʀ a l iː j
Corêye	k ɔ ʀ ɛ j
côrî	k õ ʀ i
Côrire	k õ ʀ i ʀ
Corneliye	k o ʀ n e l i j
Côrnélîye	k oː ʀ n e l iː j
cossoune	k ɔ s u n
coûcasse	k uː k a s
Cougnåd	k u ɲ ɔː
Cougnî	k u ɲ iː
coujhene	k uː ʒ ɛ n
coûkî	k uː k iː
çoula	s u l a
couler	k u l e
Counasse	k u n a s
Counet	k u n ɛ
Counote	k u n ɔ t
cour	k uː ʀ
coûr	k uː ʀ
Courcele	k u ʀ s ɛ l
court	k uː ʀ
courte	k uː ʀ t
courtes	k uː ʀ t
courts	k uː ʀ
coûtchî	k uː t͡ʃ iː
coutea	k u t j a
coutea	k u t ɛː
Coutisse	k u t i s
Couvén	k u v ẽ
coxhe	k ɔ ç
coxhe	k ɔ χ
crawate	k ʀ a w a t
cråxhe	k ʀ ɔː ç
cråxhî	k ʀ ɔː ʃ iː
Crehin	k ʀ ɛ h ɛ̃
Crespin	k ʀ ɛ s p ɛ̃
creyance	k ʀ ɛ j ã s
crinme	k ʀ ɛ̃ m
Cristine	k ʀ i s t i n
Cristofe	k ʀ i s t ɔ f
crizantinme	k ʀ i z ã t ɛ̃ m
croejhete	k ʀ w ɛ ʒ ɛ t
croejhler	k ʀ w ɛ ʒ l e
crole	k ʀ ɔ l
crolé	k ʀ ɔ l e
cronzoxh	k ʀ ɔ̃ z ɔ ç
crosse	k ʀ ɔ s
Crowaceye	k ʀ ɔ w a s ɛ j
Crowåceye	k ʀ ɔ w ɔ s ɛ j
Crucifi	k ʀ y s i f i
Crupet	k ʀ y p ɛ
Crusnêye	k ʀ y s n ɛ j
cû	k yː
cwaizyî	k w ɛː z j iː
cwand	k w ã
cwarante	k w a ʀ ã t
cwåré	k w ɔː ʀ e
cwareme	k w a ʀ ɛ m
Cwareme	k w a ʀ ɛ m
cwate	k w a t
cwatrinme	k w a t ʀ ɛ̃ m
cwè	k w ɛ
cwénze	k w ẽ s
cwénze	k ɛ̃ s
cwénze	k ɛ̃ ʃ
cweri	k w ɛ ʀ i
daegn	d ɛ ɲ
daegnotele	d ɛ ɲ ɔ t ɛ l
Daenmåtche	d ɛ n m ɔː t͡ʃ
daenwès	d ɛ n w ɛ
Dålem	d ɔː l ɛ m
dandjreus	d ã d͡ʒ ʀ øː
Dånièle	d ɔː n j ɛ l
Danube	d a n y p
Dåsseu	d ɔː s øː
Dåssoû	d ɔː s uː
dater	d a t e
Dåvdisse	d ɔː v d i s
Dåve	d ɔː f
decimbe	d ɛ s ɛ̃ p
Dedoyåre	d ɛ d o j ɔː ʀ
Defrexheu	d ɛ f ʀ ɛ ʃ øː
Delbressene	d ɛ l b ʀ ɛ s ɛ n
Delfine	d ɛ l f i n
Delhåye	d ɛ l h ɔː j
Delina	d e l i n aː
Delmåtche	d ɛ l m ɔː t͡ʃ
Delmele	d ɛ l m ɛ l
Delpraireye	d ɛ l p ʀ ɛ ʀ ɛ j
Delså	d ɛ l s ɔː
Delsitantche	d ɛ l s i t ã t͡ʃ
Delvå	d ɛ l v ɔː
Demolén	d ɛ m ɔ l ẽ
Depré	d ɛ p ʀ e
Depreyea	d ɛ p ʀ ɛ j a
Derbu	d ɛ ʀ b y
Derik	d ɛ ʀ i k
Destrêye	d ɛ s t ʀ ɛ j
deujhinme	d øː ʒ ɛ̃ m
deus	d øː
Deyon	d ɛ j ɔ̃
Deziré	d e z iː ʀ e
di	d i
diale	d j a l
diâle	d j aː l
dicåce	d i k ɔː s
dicåçtaedje	d i k ɔː s t ɛ t͡ʃ
dicåçter	d i k ɔː s t e
dicweli	d i k w ɛ l i
Didine	d i d i n
dihèrdjî	d i h ɛ ʀ d͡ʒ iː
dijh	d i ʃ
dijhêye	d i ʒ ɛː j
dijhinme	d i ʒ ɛ̃ m
dimagnî	d i m a ɲ iː
dimegne	d i m ɛ ɲ
Dindji	d ɛ̃ d͡ʒ i
diner	d i n e
Dinêye	d i n ɛː j
Dinguî	d ɛ̃ ɡ iː
Dinixh	d i n i ç
dinrêye	d ɛ̃ ʀ ɛː j
dins	d ɛ̃
dint	d ɛ̃
dire	d iː ʀ
discandjî	d i s k ã d͡ʒ iː
dischås	d i s k ɔː
dischinde	d i ʃ ɛ̃ t
dischinde	d ɛ s h ɛ̃ t
dischinde	d i s k ɛ̃ t
discovraedje	d i s k ɔ v ʀ ɛ t͡ʃ
discovri	d i s k ɔ v ʀ i
discrexhe	d i s k ʀ ɛ ʃ
discrire	d i s k ʀ iː ʀ
disfacer	d i s f a s e
diski	d i s k i
dislaxhaedje	d i s l a ʃ ɛ t͡ʃ
dislaxhî	d i s l a ʃ iː
dismindjî	d i m ɛ̃ d͡ʒ iː
dispierter	d i s p j ɛ ʀ t e
dissåjhner	d i s ɔː ʒ n e
dissu	d i s y
dissu	t s y
distcherdjî	d i s t͡ʃ ɛ ʀ d͡ʒ iː
disvaler	d i s v a l e
diswijhî	d i s w iː ʒ iː
diszoumer	d i z u m e
divancete	d i v ã s ɛ t
divant	d i v ã
diveur	d i v øː ʀ
divoirçaedje	d i v w a ʀ s ɛ t͡ʃ
diyagnostiker	d i j a ɡ n ɔ s t i k e
Djåclene	d͡ʒ ɔː k l ɛ n
Djåçlete	d͡ʒ ɔː s l ɛ t
Djåcob	d͡ʒ ɔː k ɔ p
Djacobî	d͡ʒ a k ɔ b iː
djaene	d͡ʒ ɛ n
djaenea	d͡ʒ ɛ n j a
djaeni	d͡ʒ ɛ n i
djaeye	d͡ʒ a j
djaeye	d͡ʒ ɛ j
Djåke	d͡ʒ ɔː k
djaler	d͡ʒ a l e
Djalhé	d͡ʒ a l h e
djamåy	d͡ʒ a m ɔː j
Djamayike	d͡ʒ a m a j i k
djambe	d͡ʒ ã p
Djambe	d͡ʒ ã p
Djan	d͡ʒ ã
Djandjo	d͡ʒ ã d͡ʒ o
Djanete	d͡ʒ a n ɛ t
Djangnoûle	d͡ʒ ã ɲ uː l
Djangou	d͡ʒ ã ɡ u
djanvî	d͡ʒ ã v iː
Djapon	d͡ʒ a p ɔ̃
djaponès	d͡ʒ a p ɔ n ɛ
djårdén	d͡ʒ ɔː ʀ d ẽ
djårdinea	d͡ʒ ɔː ʀ d i n j a
djårdinea	d͡ʒ ɔː ʀ d i n ɛː
djårdinî	d͡ʒ ɔː ʀ d i n iː
Djåspård	d͡ʒ ɔː s p ɔː ʀ
Djavingue	d͡ʒ a v ɛ̃ k
djåzer	d͡ʒ ɔː z e
djåzer	d͡ʒ aː z e
djåzer	d͡ʒ oː z e
Djedene	d͡ʒ ɛ d ɛ n
Djèf	d͡ʒ ɛ f
Djelike	d͡ʒ ɛ l i k
Djene	d͡ʒ ɛ n
Djeniye	d͡ʒ ɛ n iː j
Djenvire	d͡ʒ ɛ n v iː ʀ
Djer	d͡ʒ ɛ ʀ
Djeråd	d͡ʒ ɛ ʀ oː
Djerbussêye	d͡ʒ ɛ ʀ b y s ɛː j
Djerlaxhe	d͡ʒ ɛ ʀ l a ç
djermale	d͡ʒ ɛ ʀ m a l
Djermwin	d͡ʒ ɛ ʀ m w ɛ̃
Djermwinne	d͡ʒ ɛ ʀ m w ɛ̃ n
Djerpene	d͡ʒ ɛ ʀ p ɛ n
Djetrou	d͡ʒ ɛ t ʀ u
djeu	d͡ʒ øː
Djeve	d͡ʒ ɛ f
djeyografe	d͡ʒ ɛ j ɔ ɡ ʀ a f
djeyografeye	d͡ʒ ɛ j ɔ ɡ ʀ a f ɛ j
djeyolodjeye	d͡ʒ ɛ j ɔ l ɔ d͡ʒ ɛ j
Djeyordjeye	d͡ʒ ɛ j ɔ ʀ d͡ʒ ɛ j
Djhan	d͡ʒ h ã
Djhan	t͡ʃ ã
dji	d͡ʒ i
Djiblou	d͡ʒ i b l uː
Djihan	d͡ʒ i h ã
Djihene	d͡ʒ i h ɛ n
Djîlåd	d͡ʒ iː l ɔː
Djîlâr	d͡ʒ iː l aː ʀ
Djîle	d͡ʒ iː l
Djilet	d͡ʒ i l ɛ
Djimele	d͡ʒ i m ɛ l
Djinape	d͡ʒ i n a p
Djingou	d͡ʒ ɛ̃ ɡ u
djiniesse	d͡ʒ i n j ɛ s
Djinne	d͡ʒ ɛ̃ n
djino	d͡ʒ i n ɔ
djinre	d͡ʒ ɛ̃ ʀ
Djivet	d͡ʒ i v ɛ
djivêye	d͡ʒ iː v ɛː j
Djiyåd	d͡ʒ iː j ɔː
djniesse	ɲ ɲ ɛ s
djno	ɲ ɲ ɔ
Djo	d͡ʒ o
Djodogne	d͡ʒ ɔ d ɔ ɲ
Djone	d͡ʒ o n
djonkea	d͡ʒ ɔ̃ k j a
djonne	d͡ʒ ɔ̃ n
djonnlaedje	d͡ʒ ɔ̃ n l ɛ t͡ʃ
Djôr	d͡ʒ oː ʀ
Djordaneye	d͡ʒ ɔ ʀ d a n ɛ j
Djôrdjî	d͡ʒ o ʀ d͡ʒ iː
Djosran	d͡ʒ ɔ s ʀ ã
djote	d͡ʒ ɔ t
djoû	d͡ʒ uː
Djoupeye	d͡ʒ u p ɛ j
Djouprele	d͡ʒ u p ʀ ɛ l
djouwer	d͡ʒ u w e
djouwi	d͡ʒ u w i
Djowassin	d͡ʒ ɔ w a s ɛ̃
Djowel	d͡ʒ ɔ w ɛ l
Djozé	d͡ʒ ɔ z e
Djôzef	d͡ʒ õ z ɛ f
Djôzefene	d͡ʒ õ z ɛ f ɛ n
Djozêye	d͡ʒ ɔ z e j
djudi	d͡ʒ y d i
djudjî	d͡ʒ y d͡ʒ iː
Djule	d͡ʒ y l
Djulén	d͡ʒ y l ẽ
Djulene	d͡ʒ y l ɛ n
djulete	d͡ʒ y l ɛ t
Djuliène	d͡ʒ y l j ɛ n
Djulosse	d͡ʒ y l ɔ s
djun	d͡ʒ œ̃
Djuråd	d͡ʒ y ʀ ɔː
Djurådin	d͡ʒ y ʀ ɔː d ɛ̃
Djurbize	d͡ʒ y ʀ b i s
djusse	d͡ʒ y s
Djustin	d͡ʒ y s t ɛ̃
Djwer	d͡ʒ w ɛ ʀ
dj’	d͡ʒ
dj’	t͡ʃ
dmagnî	d m a ɲ iː
dner	n n e
Dni	d n i
Dnixh	d n i ç
Docsiye	d ɔ k s iː j
Dofrexhoe	d ɔ f ʀ ɛ ʃ øː
doirmi	d w a ʀ m i
doirmi	d w ɛ ʀ m i
Dokir	d ɔ k i ʀ
Dominike	d ɔ m i n i k
Doncél	d ɔ̃ s e l
Doné	d ɔ n e
Donea	d ɔ n j a
Donisse	d ɔ n i s
Doniye	d ɔ n iː j
Donîye	d ɔ n iː j
Dorcîmont	d ɔ ʀ s iː m ɔ̃
Dorotêye	d ɔ ʀ ɔ t ɛ j
dos	d ɔ
Doû	d uː
Douni	d u n i
Doûpe	d uː p
doûs	d uː
Douwård	d u w ɔː ʀ
Dovevî	d ɔ v ɛ v iː
doze	d ɔ s
Dozîmont	d ɔ z iː m ɔ̃
drapea	d ʀ a p j a
Dré	d ʀ e
dringuele	d ʀ ɛ̃ ɡ ɛ l
Driyin	d ʀ i j ɛ̃
Driyinne	d ʀ i j ɛ̃ n
droci	d ʀ ɔ s i
droet	d ʀ w ɛ
droet	d ʀ øː
droete	d ʀ w ɛ t
droete	d ʀ øː t
Drwexhe	d ʀ w ɛ ç
dsåjhner	t s ɔː ʒ n e
Dweche	d w ɛ ʃ
Dwero	d w ɛ ʀ o
Dwizink	d w i z ɛ̃ k
e̊	ə
E̊	ə
ê	eː
Ê	eː
