ꜣ	ɑ
ꜣmm	ʀ a m a m
ꜣmm	ʔ ə m a m
ꜣmm	ʔ ə m a m
ꜣmm	ɑ m ɛ m
ꜣmmw	ɑ m ɛ m uː
ꜣmmt	ɑ m ɛ m ɛ t
ꜣms	ɑ m ɛ s
ꜣr	ɑ r
ꜣryt	ɑ r iː t
ꜣrwksjndrs	ɑ r uː k s i n ɛ d r ɛ s
ꜣrwkt	ɑ r uː k ɛ t
ꜣrwtꜣḫšꜣšꜣs	ɑ r uː t ɑ x ʃ ɑ ʃ ɑ s
ꜣrr	ɑ r ɛ r
ꜣhw	ɑ h uː
ꜣhmt	ɑ h m ɛ t
ꜣhd	ɑ h ɛ d
ꜣḥ	ɑ h
ꜣḥt	ʀ aː ħ a t
ꜣḥt	ʀ aː ħ a ʔ
ꜣḥt	j aː ħ a
ꜣḥt	j oː ħ ə
ꜣḥt	ʀ aː ħ a t
ꜣḥt	ʀ aː ħ a ʔ
ꜣḥt	j aː ħ a
ꜣḥt	j oː ħ ə
ꜣḥt	ɑ h ɛ t
ꜣḫ	ʀ iː χ u w
ꜣḫ	ʀ iː χ u w
ꜣḫ	ʔ iː χ ə
ꜣḫ	ʔ iː χ
ꜣḫ	ʀ iː χ u w
ꜣḫ	ʀ iː χ u w
ꜣḫ	ʔ iː χ ə
ꜣḫ	ʔ iː χ
ꜣḫ	ʀ aː χ
ꜣḫ	ʀ aː χ
ꜣḫ	ʔ aː χ
ꜣḫ	ʔ oː χ
ꜣḫ	ʀ aː χ
ꜣḫ	ʀ aː χ
ꜣḫ	ʔ aː χ
ꜣḫ	ʔ oː χ
ꜣḫ	ɑ x
ꜣḫꜣḫ	ɑ x ɑ x
ꜣḫyt	ɑ x iː t
ꜣḫw	ʀ aː χ a w
ꜣḫw	ʀ aː χ a w
ꜣḫw	ʔ aː χ ə
ꜣḫw	ʔ oː χ
ꜣḫw	ʀ aː χ a w
ꜣḫw	ʀ aː χ a w
ꜣḫw	ʔ aː χ ə
ꜣḫw	ʔ oː χ
ꜣḫw	ɑ x uː
ꜣḫw	ɑ x uː
ꜣḫf	ɑ x ɛ f
ꜣḫfḫf	ɑ x ɛ f x ɛ f
ꜣḫt	ɑ x ɛ t
ꜣḫtj	ɑ x t i
ꜣḫtj	ɑ x t i
ꜣẖꜥ	ɑ ç ɑː
ꜣẖꜥt	ɑ ç ɑː t
ꜣz	ɑ z
ꜣzb	ɑ z ɛ b
ꜣzḫ	ʀ aː z a χ
ꜣzḫ	ʀ aː s a χ
ꜣzḫ	ʔ aː s ə χ
ꜣzḫ	ʔ oː s ə χ
ꜣzḫ	ʀ aː z a χ
ꜣzḫ	ʀ aː s a χ
ꜣzḫ	ʔ aː s ə χ
ꜣzḫ	ʔ oː s ə χ
ꜣzḫ	ɑ z ɛ x
ꜣs	ɑ s
ꜣsbyw	ɑ s b iː uː
ꜣsḫ	ɑ s ɛ x
ꜣst	ʀ uː s a t
ꜣst	ʀ uː s a ʔ
ꜣst	ʔ uː s a
ꜣst	ʔ eː s ə
ꜣst	ʀ uː s a t
ꜣst	ʀ uː s a ʔ
ꜣst	ʔ uː s a
ꜣst	ʔ eː s ə
ꜣst	ɑ s ɛ t
ꜣš	ɑ ʃ
ꜣšr	ɑ ʃ ɛ r
ꜣšrt	ɑ ʃ r ɛ t
ꜣq	ɑ k
ꜣqyt	ʀ a qʼ aː w V t
ꜣqyt	ʀ a qʼ aː j V ʔ
ꜣqyt	ʔ a qʼ aː ʔ ə
ꜣqyt	ʔ a qʼ oː ʔ
ꜣqyt	ʀ a qʼ aː w V t
ꜣqyt	ʀ a qʼ aː j V ʔ
ꜣqyt	ʔ a qʼ aː ʔ ə
ꜣqyt	ʔ a qʼ oː ʔ
ꜣqyt	ɑ k iː t
ꜣqw	ɑ k uː
ꜣqḥw	ɑ k ɛ h uː
ꜣk	ɑ k
ꜣkwt	ɑ k uː t
ꜣkr	ɑ k ɛ r
ꜣgbj	ɑ ɡ b i
ꜣt	ɑ t
ꜣtjwt	ɑ t i uː t
ꜣtyt	ɑ t iː t
ꜣtp	ɑ t ɛ p
ꜣtpwt	ɑ t p uː t
ꜣtf	ɑ t ɛ f
ꜣṯj	ɑ t͡ʃ i
ꜣṯyt	ɑ t͡ʃ iː t
ꜣṯwt	ɑ t͡ʃ uː t
ꜣṯp	ʀ aː c a p
ꜣṯp	ʀ aː t a p
ꜣṯp	ʔ aː t ə p
ꜣṯp	ʔ oː t ə p
ꜣṯp	ʀ aː c a p
ꜣṯp	ʀ aː t a p
ꜣṯp	ʔ aː t ə p
ꜣṯp	ʔ oː t ə p
ꜣṯp	ɑ t͡ʃ ɛ p
ꜣṯpw	ɑ t͡ʃ ɛ p uː
ꜣṯt	ɑ t͡ʃ ɛ t
ꜣd	ɑ d
ꜣdw	ʀ aː tʼ a w
ꜣdw	ʀ aː tʼ a w
ꜣdw	ʔ aː tʼ ə
ꜣdw	ʔ oː tʼ
ꜣdw	ʀ aː tʼ a w
ꜣdw	ʀ aː tʼ a w
ꜣdw	ʔ aː tʼ ə
ꜣdw	ʔ oː tʼ
ꜣdw	ɑ d uː
ꜣdt	ɑ d ɛ t
j	i
jꜣꜣ	i ɑ ʔ ɑ
jꜣꜣyt	i ɑ ʔ ɑ iː t
jꜣꜣt	i ɑ ʔ ɑ t
jꜣj	i ɑ i
jꜣjw	i ɑ i uː
jꜣyt	i ɑ iː t
jꜣꜥ	i ɑ ʔ ɑː
jꜣꜥš	i ɑ ʔ ɑː ʃ
jꜣw	j a ʀ a w
jꜣw	j a ʀ a w
jꜣw	ʔ ə a w
jꜣw	ʔ ə a w
jꜣw	j a ʀ a w
jꜣw	j a ʀ a w
jꜣw	ʔ ə a w
jꜣw	ʔ ə a w
jꜣw	i ɑ uː
jꜣwj	i ɑ uː i
jꜣwt	i ɑ uː t
jꜣwtj	i ɑ uː t i
jꜣb	i ɑ b
jꜣbj	i ɑ b i
jꜣbt	j a ʀ b a t
jꜣbt	j a ʀ b a ʔ
jꜣbt	j aː b a
jꜣbt	j oː β ə
jꜣbt	j a ʀ b a t
jꜣbt	j a ʀ b a ʔ
jꜣbt	j aː b a
jꜣbt	j oː β ə
jꜣbt	i ɑ b ɛ t
jꜣbt	i ɑ b ɛ t
jꜣbtj	j a ʀ i b t i j
jꜣbtj	j a ʀ i b t i j
jꜣbtj	ʔ ə j e b t ə
jꜣbtj	ʔ ə j e β t
jꜣbtj	j a ʀ i b t i j
jꜣbtj	j a ʀ i b t i j
jꜣbtj	ʔ ə j e b t ə
jꜣbtj	ʔ ə j e β t
jꜣbtj	i ɑ b t i
jꜣbtjw	i ɑ b t i uː
jꜣbtt	i ɑ b ɛ t ɛ t
jꜣft	i ɑ f ɛ t
jꜣm	i ɑ m
jꜣr	i ɑ r
jꜣrw	i ɑ r uː
jꜣrr	i ɑ r ɛ r
jꜣrrt	j a ʀ l a l j a t
jꜣrrt	j a ʀ l a l j a ʔ
jꜣrrt	ʔ a l a ʔ l a
jꜣrrt	ʔ a l a ʔ l ə
jꜣrrt	j a ʀ l a l j a t
jꜣrrt	j a ʀ l a l j a ʔ
jꜣrrt	ʔ a l a ʔ l a
jꜣrrt	ʔ a l a ʔ l ə
jꜣrrt	j a l a ʀ l a t
jꜣrrt	j a l a ʀ l a ʔ
jꜣrrt	ʔ a l a ʔ l a
jꜣrrt	ʔ a l a ʔ l ə
jꜣrrt	j a l a ʀ l a t
jꜣrrt	j a l a ʀ l a ʔ
jꜣrrt	ʔ a l a ʔ l a
jꜣrrt	ʔ a l a ʔ l ə
jꜣrrt	i ɑ r ɛ r ɛ t
jꜣḫw	j a ʀ χ V w
jꜣḫw	j a ʀ χ V w
jꜣḫw	j aː χ ə
jꜣḫw	j oː χ
jꜣḫw	j a ʀ χ V w
jꜣḫw	j a ʀ χ V w
jꜣḫw	j aː χ ə
jꜣḫw	j oː χ
jꜣḫw	i ɑ x uː
jꜣḫmjnš	i ɑ x m i n ɛ ʃ
jꜣs	i ɑ s
jꜣš	i ɑ ʃ
jꜣq	i ɑ k
jꜣqt	j u ʀ qʼ a t
jꜣqt	j u ʀ qʼ a ʔ
jꜣqt	ʔ uː qʼ a
jꜣqt	ʔ eː qʼ ə
jꜣqt	j u ʀ qʼ a t
jꜣqt	j u ʀ qʼ a ʔ
jꜣqt	ʔ uː qʼ a
jꜣqt	ʔ eː qʼ ə
jꜣqt	i ɑ k ɛ t
jꜣk	i ɑ k
jꜣkw	i ɑ k uː
jꜣkb	i ɑ k ɛ b
jꜣkby	i ɑ k b iː
jꜣkbyt	i ɑ k b iː t
jꜣt	i ɑ t
jꜣtjw	i ɑ t i uː
jꜣtjw	i ɑ t i uː
jꜣtt	i ɑ t ɛ t
jꜣṯ	i ɑ t͡ʃ
jꜣṯw	i ɑ t͡ʃ uː
jꜣd	i ɑ d
jꜣdw	i ɑ d uː
jꜣdt	i ɑ d ɛ t
jj	j iː j i t
jj	j iː j i ʔ
jj	ʔ iː ʔ ə
jj	ʔ iː ʔ
jj	j iː j i t
jj	j iː j i ʔ
jj	ʔ iː ʔ ə
jj	ʔ iː ʔ
jj	i ʔ i
jjwj	i ʔ i uː i
jj.tj	i ʔ i ʔ t i
jyt	i ʔ iː t
jꜥ	i ɑː
jꜥꜣ	i ɑː ʔ ɑ
jꜥj	j aː ʕ a t
jꜥj	j aː ʕ a ʔ
jꜥj	j aː ʕ a
jꜥj	j oː ʕ ə
jꜥj	j aː ʕ a t
jꜥj	j aː ʕ a ʔ
jꜥj	j aː ʕ a
jꜥj	j oː ʕ ə
jꜥj	i ɑː i
jꜥꜥw	i ɑː ʔ ɑː uː
jꜥw	i ɑː uː
jꜥb	i ɑː b
jꜥf	i ɑː f
jꜥn	j u ʕ n V r
jꜥn	j u ʕ n V j
jꜥn	ʕ u ʕ n ə
jꜥn	ʕ ø ʕ n
jꜥn	j u ʕ n V r
jꜥn	j u ʕ n V j
jꜥn	ʕ u ʕ n ə
jꜥn	j
jꜥn	ʔ
jꜥn	ʕ
jꜥn	ʕ ø ʕ n
jꜥn	i ɑː n
jꜥnw	i ɑː n uː
jꜥnt	i ɑː n ɛ t
jꜥr	i ɑː r
jꜥryt	i ɑː r iː t
jꜥrt	i ɑː r ɛ t
jꜥḥ	j a ʕ ħ u w
jꜥḥ	j a ʕ ħ u w
jꜥḥ	j a ʕ ħ ə
jꜥḥ	j a ʕ ħ
jꜥḥ	j a ʕ ħ u w
jꜥḥ	j a ʕ ħ u w
jꜥḥ	j a ʕ ħ ə
jꜥḥ	j a ʕ ħ
jꜥḥ	i ɑː h
jw	i uː
jwꜣ	i uː ɑ
jwꜣyt	i uː ɑ iː t
jwꜣt	i uː ɑ t
jwj	j iː w i t
jwj	j iː j i ʔ
jwj	ʔ iː ʔ ə
jwj	ʔ iː ʔ
jwj	j iː w i t
jwj	j iː j i ʔ
jwj	ʔ iː ʔ ə
jwj	ʔ iː ʔ
jwj	i uː i
jwj	i uː i
jwjw	i uː i uː
jwjt	i uː i t
jwyt	i uː iː t
jwꜥ	i uː ɑː
jwꜥyt	i uː ɑː iː t
jwꜥw	j a w ʕ V w
jwꜥw	j a w ʕ V w
jwꜥw	ʔ a w ʕ ə
jwꜥw	ʔ a w ʕ
jwꜥw	j a w ʕ V w
jwꜥw	j a w ʕ V w
jwꜥw	ʔ a w ʕ ə
jwꜥw	ʔ a w ʕ
jwꜥw	i uː ɑː uː
jwꜥt	i uː ɑː t
jwwj	i uː ʔ uː i
jwbt	i uː b ɛ t
jwf	j u w f V w
jwf	j u w f V w
jwf	ʔ u ʔ f ə
jwf	ʔ ø ʔ f
jwf	j u w f V w
jwf	j u w f V w
jwf	ʔ u ʔ f ə
jwf	ʔ ø ʔ f
jwf	j a w f aː w a w
jwf	j a w f aː w a w
jwf	ʔ a f aː j ə
jwf	ʔ a f oː j
jwf	j a w f aː w a w
jwf	j a w f aː w a w
jwf	ʔ a f aː j ə
jwf	ʔ a f oː j
jwf	i uː f
jwms	i uː m ɛ s
jwn	j a w i n
jwn	j a w i n
jwn	ʔ a w e n
jwn	ʔ a w e n
jwn	j a w i n
jwn	j a w i n
jwn	ʔ a w i n
jwn	ʔ a w e n
jwn	ʔ a w e n
jwn	i uː n
jwn	i uː n
jwn	i uː n
jwnꜣ	i uː n ɑ
jwnj	i uː n i
jwnyt	i uː n iː t
jwnw	j aː n a w
jwnw	j aː n a w
jwnw	ʔ aː n ə
jwnw	ʔ oː n
jwnw	j aː n a w
jwnw	j aː n a w
jwnw	ʔ aː n ə
jwnw	ʔ oː n
jwnw	i uː n uː
jwnn	i uː n ɛ n
jwnt	i uː n ɛ t
jwntj	i uː n ɛ t i
jwr	j aː w a ɾ
jwr	j aː j a ʔ
jwr	ʔ aː ʔ ə
jwr	ʔ oː ʔ
jwr	j aː w a ɾ
jwr	j aː j a ʔ
jwr	ʔ aː ʔ ə
jwr	ʔ oː ʔ
jwr	i uː r
jwrꜣḥy	i uː r ɑ h iː
jwryt	i uː r iː t
jwh	i uː h
jwḥ	i uː h
jwḥw	i uː h uː
jwsw	i uː s uː
jwšš	i uː ʃ ɛ ʃ
jwgrt	i uː ɡ r ɛ t
jwt	i uː t
jwtj	i uː t i
jwtjw	i uː t i uː
jwtj.f	i uː t i ʔ ɛ f
jwtn	i uː t ɛ n
jwtt	i uː t ɛ t
jwd	i uː d
jwdnb	i uː d n ɛ b
jwdt	i uː d ɛ t
jb	j i b
jb	j i b
jb	ʔ e b
jb	ʔ e p
jb	j i b
jb	j i b
jb	ʔ e b
jb	ʔ e p
jb	i b
jb	i b
jb	i b
jb	i b
jb	i b
jbꜣ	i b ɑ
jbꜣw	i b ɑ uː
jbꜣr	i b ɑ r
jbj	j iː b i t
jbj	j iː b i ʔ
jbj	ʔ iː b a
jbj	ʔ iː β ə
jbj	j iː b i t
jbj	j iː b i ʔ
jbj	ʔ iː b a
jbj	ʔ iː β ə
jbj	i b i
jbj	i b i
jbw	i b uː
jbwj	i b uː i
jbn	i b ɛ n
jbnw	i b ɛ n uː
jbr	i b ɛ r
jbhyt	i b h iː t
jbht	i b h ɛ t
jbhtj	i b h ɛ t i
jbḥ	i b ɛ h
jbḥ	i b ɛ h
jbḥw	i b h uː
jbs	i b ɛ s
jbsꜣ	i b s ɑ
jbšꜣ	i b ʃ ɑ
jbt	j iː b a t
jbt	j iː b a ʔ
jbt	ʔ iː b a
jbt	ʔ iː β ə
jbt	j iː b a t
jbt	j iː b a ʔ
jbt	ʔ iː b a
jbt	ʔ iː β ə
jbt	i b ɛ t
jbṯt	i b t͡ʃ ɛ t
jp	j aː p
jp	j aː p
jp	ʔ aː p
jp	ʔ oː p
jp	j aː p
jp	j aː p
jp	ʔ aː p
jp	ʔ oː p
jp	i p
jpꜣ	i p ɑ
jpꜣt	i p ɑ t
jpw	i p uː
jpwj	i p uː i
jpf	i p ɛ f
jpn	i p ɛ n
jpḥ	i p ɛ h
jpq	i p ɛ k
jpt	j a p j V t
jpt	j a p j V ʔ
jpt	ʔ a j p a
jpt	ʔ a j p ə
jpt	j a p j V t
jpt	j a p j V ʔ
jpt	ʔ a j p a
jpt	ʔ a j p ə
jpt	i p ɛ t
jpt	j uː p V t
jpt	j uː p V ʔ
jpt	ʔ uː p a
jpt	ʔ eː p ə
jpt	j uː p V t
jpt	j uː p V ʔ
jpt	ʔ uː p a
jpt	ʔ eː p ə
jpt	i p ɛ t
jpt	i p ɛ t
jpt	i p ɛ t
jpt	ʔ a p a t
jpt	ʔ a p a t
jpt	i p ɛ t
jptw	i p t uː
jptwj	i p t uː i
jptwt	i p t uː t
jptwtj	i p t uː t i
jptf	i p t ɛ f
jptn	i p t ɛ n
jptnj	i p ɛ t n i
jptntj	i p ɛ t n ɛ t i
jpdw	i p d uː
jf	i f
jft	i f ɛ t
jfd	j aː f a tʼ
jfd	j aː f a tʼ
jfd	ʔ aː f ə tʼ
jfd	ʔ oː f ə tʼ
jfd	j aː f a tʼ
jfd	j aː f a tʼ
jfd	ʔ aː f ə tʼ
jfd	ʔ oː f ə tʼ
jfd	i f ɛ d
jfd	i f ɛ d
jfdj	i f ɛ d i
jfdw	j a f tʼ a w
jfdw	j a f tʼ a w
jfdw	ʔ ə f tʼ a w
jfdw	ʔ ə f tʼ a w
jfdw	j a f tʼ a w
jfdw	j a f tʼ a w
jfdw	ʔ ə f tʼ a w
jfdw	ʔ ə f tʼ a w
jfdw	i f ɛ d uː
jfdnw	i f ɛ d n uː
jfdt	i f d ɛ t
jm	i m
jmꜣ	i m ɑ
jmꜣw	i m ɑ uː
jmꜣḫ	i m ɑ x
jmꜣḫyt	i m ɑ x iː t
jmꜣḫw	i m ɑ x uː
jmꜣḫwt	i m ɑ x uː t
jmꜣḫt	i m ɑ x ɛ t
jmꜣt	i m ɑ t
jmj	j a m i j
jmj	j a m i j
jmj	ʔ ə m e ʔ
jmj	ʔ ə m e ʔ
jmj	j a m i j
jmj	j a m i j
jmj	ʔ ə m e ʔ
jmj	ʔ ə m e ʔ
jmj	i m i
jmj	j iː m i t
jmj	j iː m i ʔ
jmj	ʔ iː m a
jmj	ʔ iː m ə
jmj	j iː m i t
jmj	j iː m i ʔ
jmj	ʔ iː m a
jmj	ʔ iː m ə
jmj	i m i
jmj	i m i
jmjtw	i m i t uː
jmy	i m iː
jmyt	i m iː t
jmw	i m uː
jmwr	i m uː r
jmwtj	i m uː t i
jmn	j a m aː n u w
jmn	j a m aː n u w
jmn	ʔ a m aː n ə
jmn	ʔ a m oː n
jmn	j a m aː n u w
jmn	j a m aː n u w
jmn	ʔ a m aː n ə
jmn	ʔ a m oː n
jmn	i m ɛ n
jmn	j a m iː n i j
jmn	j a m iː n i j
jmn	ʔ a m iː n ə
jmn	ʔ a m iː n
jmn	j a m iː n i j
jmn	j a m iː n i j
jmn	ʔ a m iː n ə
jmn	ʔ a m iː n
jmn	i m ɛ n
jmn	i m ɛ n
jmnḥ	i m n ɛ h
jmnt	j a m n a t
jmnt	j a m n a ʔ
jmnt	ʔ a m n a
jmnt	ʔ a m n ə
jmnt	j a m n a t
jmnt	j a m n a ʔ
jmnt	ʔ a m n a
jmnt	ʔ a m n ə
jmnt	i m ɛ n ɛ t
jmnt	j a m a n w V t
jmnt	j a m a n w V ʔ
jmnt	ʔ a m a w n a
jmnt	ʔ a m a w n ə
jmnt	j a m a n w V t
jmnt	j a m a n w V ʔ
jmnt	ʔ a m a w n a
jmnt	ʔ a m a w n ə
jmnt	i m ɛ n ɛ t
jmntj	j a m i n t i j
jmntj	j a m i n t i j
jmntj	ʔ ə m e n t ə
jmntj	ʔ ə m e n t
jmntj	j a m i n t i j
jmntj	j a m i n t i j
jmntj	ʔ ə m e n t ə
jmntj	ʔ ə m e n t
jmntj	i m ɛ n t i
jmntt	j a m i n t i t
jmntt	j a m i n t i ʔ
jmntt	ʔ a m e n t a
jmntt	ʔ a m e n t ə
jmntt	j a m i n t i t
jmntt	j a m i n t i ʔ
jmntt	ʔ a m e n t a
jmntt	ʔ a m e n t ə
jmntt	i m ɛ n ɛ t ɛ t
jmr	i m ɛ r
jmḥ	i m ɛ h
jmḥt	i m h ɛ t
jmst	i m s ɛ t
jmstj	i m s ɛ t i
jmt	i m ɛ t
jmtj	i m t i
jmḏr	i m d͡ʒ ɛ r
jn	i n
jn	i n
jnj	j iː n i t
jnj	j iː n i ʔ
jnj	ʔ iː n a
jnj	ʔ iː n ə
jnj	j iː n i t
jnj	j iː n i ʔ
jnj	ʔ iː n a
jnj	ʔ iː n ə
jnj	i n i
jnj	i n i
jnjwbꜣ	i n i uː b ɑ
jnꜥ	i n ɑː
jnw	i n uː
jnb	i n ɛ b
jnbt	i n b ɛ t
jnpw	j a n aː p a w
jnpw	j a n aː p a w
jnpw	ʔ a n aː p ə
jnpw	ʔ a n oː p
jnpw	j a n aː p a w
jnpw	j a n aː p a w
jnpw	ʔ a n aː p ə
jnpw	ʔ a n oː p
jnpw	i n ɛ p uː
jnpwt	i n p uː ɛ t
jnm	j a n a m
jnm	j a n a m
jnm	ʔ a n a m
jnm	ʔ a n a m
jnm	j a n a m
jnm	j a n a m
jnm	ʔ a n a m
jnm	ʔ a n a m
jnm	i n ɛ m
jnn	j a n a n
jnn	ʔ a n a n
jnn	ʔ a n a n
jnn	j a n a n
jnn	ʔ a n a n
jnn	ʔ a n a n
jnn	i n ɛ n
jnr	j aː n a ɾ
jnr	j aː n a ʔ
jnr	j aː n a
jnr	ʔ oː n ə
jnr	j aː n a ɾ
jnr	j aː n a ʔ
jnr	j aː n a
jnr	ʔ oː n ə
jnr	i n ɛ r
jnḥ	i n ɛ h
jnḥw	i n ɛ h uː
jnswj	i n s uː i
jnst	i n s ɛ t
jnst	i n s ɛ t
jnq	i n ɛ k
jnk	j a n a k
jnk	j a n a k
jnk	ʔ a n a k
jnk	ʔ a n a k
jnk	j a n a k
jnk	j a n a k
jnk	ʔ a n a k
jnk	ʔ a n a k
jnk	i n ɛ k
jnk	i n ɛ k
jnt	i n ɛ t
jntjrwywꜣšꜣ	i n t i r uː iː uː ɑ ʃ ɑ
jnd	i n ɛ d
jr	i r
jrj	j iː ɾ i t
jrj	j iː ɾ i ʔ
jrj	ʔ iː ɾ a
jrj	ʔ iː ɾ ə
jrj	j iː ɾ i t
jrj	j iː ɾ i ʔ
jrj	ʔ iː ɾ a
jrj	ʔ iː ɾ ə
jrj	i r i
jry	i r iː
jrw	i r uː
jrw	i r uː
jrwrꜣ	i r uː r ɑ
jrwt	i r uː t
jrp	j uː ɾ a p
jrp	j uː ɾ a p
jrp	ʔ uː ɾ ə p
jrp	ʔ eː ɾ ə p
jrp	j uː ɾ a p
jrp	j uː ɾ a p
jrp	ʔ uː ɾ ə p
jrp	ʔ eː ɾ ə p
jrp	i r ɛ p
jrm	i r ɛ m
jrsjrnꜣt	i r s i r ɛ n ɑ t
jrkt	i r k ɛ t
jrt	j iː ɾ a t
