ئارد	ʔ aː ɾ d
تووڕە	t uː r a
تووک	t uː k
تڕومبێل	t ə ɾ ʊ m b iː l
تۆ	t oː
تۆقاندن	t o̞ː q aː n d ə n
تۆقین	t o̞ː q iː n
تۆو	t oː u̯
تۆواو	t o̞ː w aː u̯
تۆپز	t oː p z
تیر	t iː ɾ
تیغ	t iː ɣ
تیمساح	t iː m s aː ħ
تینوو	t iː n uː
تیژ	t iː ʒ
تێر	t e̞ː ɾ
تێژ	t e̞ː ʒ
تەتە	t a t a
تەخت	t a x t
تەرازوو	t a ɾ aː z uː
تەرزە	t a ɾ z a
تەماتە	t a m aː t a
تەندروست	t æ n d r u s t
تەندروستی	t æ n d r u s t iː
تەنک	t a n ə k
تەواو	t a w aː w
تەور	t a w ə ɾ
تەورات	t a u̯ ɾ aː t
تەڵە	t a ɫ a
تەڵەمشک	t a ɫ a m ə ʃ k
جاترە	d͡ʒ aː t ə ɾ a
جامعە	d͡ʒ aː m ə ʕ a
جامعە	d͡ʒ aː m ʕ a
جاڵجاڵۆکە	d͡ʒ aː ɫ d͡ʒ aː ɫ o̞ː k a
جوان	d͡ʒ ə w aː n
جوو	d͡ʒ uː
جووت	d͡ʒ uː t
جووتیار	d͡ʒ uː t j aː ɾ
جوون	d͡ʒ uː n
جگەر	d͡ʒ ə ɡ a ɾ
جۆ	d͡ʒ o̞ː
جین	d͡ʒ iː n
جیهان	d͡ʒ iː h ɑː n
جێژنە	d ʒ eː ʒ n æ
جەبر	d͡ʒ a b ə ɾ
جەرگ	d͡ʒ a ɾ ɡ
جەژن	d͡ʒ a ʒ n
حەلەب	ħ a l a b
حەوت	ħ a w t
حەڤدە	ħ a v d a
خاس	χ ɑː s
خانوو	x aː n uː
خانی	x ɑː n iː
خاولی	x aː u̯ l iː
خاوێن	x aː w e̞ː n
خاڵ	x aː ɫ
خاڵخاڵۆکە	x aː ɫ x aː ɫ o̞ː k a
خشڵ	x ə ʃ ə ɫ
خشۆک	x ʃ o̞ː k
خوا	x w aː
خورما	x ʊ ɾ m aː
خوری	x ʊ ɾ iː
خووگ	x uː ɡ
خوێن	x w e̞ː n
خوێندن	x w e̞ː n d ə n
خوێنمژ	x w e̞ː n m ə ʒ
خۆ	x oː
خۆر	x ɔː ɾ
خۆراک	x ɔː ɾ ɑː k
خۆراکی	x o r a n k iː
خۆزگە	x oː z ɡ æ
خۆڕەو	x ɔː r ə w
خۆڵەمێشی	x o̞ː ɫ a m e̞ː ʃ iː
خێرا	x eː r aː
خەرک	x a ɾ k
خەزوور	x a z uː ɾ
خەسوو	x a s uː
خەمۆکی	x a m o̞ː c iː
خەنجەر	x a n d͡ʒ a ɾ
خەو	x a u̯
خەوتن	x a u̯ t ə n
خەون	x a u̯ n
خەڵووز	x a ɫ uː z
داخراو	d aː x r aː w
داخستن	d aː x ɪ s t ɪ n
دادوەر	d aː d w æ r
دارتاش	d aː ɾ t aː ʃ
دارستان	d aː ɾ ə s t aː n
دارەسمە	d aː ɾ a s ə m a
داس	d aː s
دان	d aː n
داپیر	d aː p iː ɾ
داک	d aː k
دایک	d aː i̯ k
ددان	d d aː n
ددانێشە	d ə d a n e̞ː ʃ a
در	d ə ɾ
دراو	d ə ɾ aː w
درز	d ə ɾ z
دروون	d ɾ uː n
درۆ	d ə ɾ o̞ː
درێژ	d ɾ e̞ː ʒ
درێژی	d ə ɾ e̞ː ʒ iː
درەنگ	d ə ɾ a ŋ ɡ
درەوش	d r æ w ʃ
دز	d ə z
دزی	d ə z iː
دزین	d ə z iː n
دوانزە	d w aː n z a
دوانزە	d ə w aː n z a
دوو	d uː
دوور	d uː ɾ
دووری	d uː ɾ iː
دووشەممە	d u ʃ æ m m æ
دووشەممە	d uː ʃ æ m m æ
دووپشک	d uː p ə ʃ k
دووگرد	d uː ɡ ɪ r d
دوڕ	d ʊ r
دڕک	d ə r k
دژمن	d ə ʒ ə m ə n
دڵ	d ə ɫ
دۆزەخ	d o̞ː z a x
دۆشین	d o̞ː ʃ iː n
دۆشەک	d o̞ː ʃ a k
دۆلفین	d o̞ː l f iː n
دۆژە	d o̞ː ʒ a
دۆڵ	d o̞ː ɫ
دیتن	d iː t ə n
دین	d iː n
دینی	d iː n iː
دیوار	d iː w aː ɾ
دێر	d e̞ː ɾ
دێو	d eː u̯
دە	d a
دەروێش	d a ɾ w e̞ː ʃ
دەرکە	d æ r k æ
دەرگا	d a r ɡ aː
دەریا	d a ɾ j aː
دەشت	d a ʃ t
دەف	d a f
دەم	d a m
دەموچاو	d æ m u t͡ʃ aː w
دەنووک	d a n uː k
دەوین	d a w iː n
زاخ	z aː x
زار	z aː ɾ
زان	z aː n
زانست	z aː n s ə t
زانستگە	z aː n ə s t ɡ a
زانین	z aː n iː n
زاوا	z aː w aː
زاوە	z aː w a
زاڵ	z aː ɫ
زایەند	z aː j ɛ n d
زبڵ	z ɪ b ɫ
زر	z ə ɾ
زرێ	z ə ɾ e̞ː
زرێچە	z ə ɾ e̞ː t͡ʃ a
زستان	z ə s t aː n
زل	z ɪ l
زلدەریا	z ɪ l d æ r j aː
زمان	z m aː n
زه‌نجه‌فیل	z a n d͡ʒ a f iː l
زوو	z uː
زوور	z uː ɾ
زۆمبی	z o̞ː m b iː
زۆڵ	z ɔː ɫ
زیرەک	z iː ɾ a k
زین	z iː n
زیندوو	z iː n d uː
زیندی	z iː n d iː
زیو	z iː u̯
زیوگەر	z iː u̯ ɡ a ɾ
زێروو	z e̞ː ɾ uː
زێڕ	z e̞ː r
زێڕنگەر	z e̞ː r ə ŋ ɡ a ɾ
زێڕین	z e̞ː r iː n
زەرد	z a ɾ d
زەریا	z a ɾ j aː
زەریاچە	z a ɾ j aː t͡ʃ a
زەنگ	z a ŋ ɡ
زەوی	z a w iː
زەڕافە	z a r aː f a
زەیتوون	z ɛ i̯ t uː n
سارد	s aː ɾ d
ساوار	s aː w aː ɾ
ساڵ	s aː ɫ
سبەی	s b ɛ i̯
ستوون	s t uː n
ستوونی	s t uː n iː
سلام	s æ l aː m
سلێمانی	s ɪ l eː m ɑː n iː
سم	s ə m
سماتە	s ə m aː t a
سمۆرە	s ə m ɔː ɾ a
سمێڵ	s ə m e̞ː ɫ
سمەک	s ə m a k
سوار	s w ɑː ɾ
سووتان	s uː t aː n
سووتاو	s uː t aː w
سوور	s uː ɾ
سوورێژە	s uː ɾ e̞ː ʒ a
سوورەقوڵنگ	s uː ɾ a q ʊ ɫ ə n ɡ
سوون	s uː n
سووک	s uː k
سوێر	s ø e̯ ɾ
سپا	s ə p aː
سپڵ	s ə p ə ɫ
سپی	s p iː
سپیدار	s p iː d aː ɾ
سپە	s ə p a
سپەر	s ə p a ɾ
سڕ	s ə r
سکێشە	s ə k e̞ː ʃ a
سڵاو	s ə ɫ aː w
سڵاوکردن	s ɫ aː u̯ k ə ɾ d ə n
سۆراغ	s oː r aː ɣ
سیانزە	s j aː n z a
سیانزە	s ə j aː n z a
سینگ	s iː ŋ ɡ
سێ	s eː
سێگۆشە	s e̞ː ɡ o̞ː ʃ a
سەبر	s a b ə ɾ
سەت	s a t
سەد	s a d
سەدپێ	s a d p e̞ː
سەدە	s a d a
سەر	s a ɾ
سەرتاش	s a ɾ t aː ʃ
سەرما	s æ r m aː
سەرمێکوتە	s a ɾ m e̞ː k ʊ t a
سەرۆک	s a ɾ o̞ː k
سەرین	s æ r iː n
سەرێشە	s a ɾ e̞ː ʃ a
سەرەداو	s æ r æ d aː w
سەلام	s æ l aː m
سەندن	s a n d ə n
سەوز	s a u̯ z
سەگ	s a ɡ
سەھۆڵ	s a h o̞ː ɫ
شادی	ʃ aː d iː
شار	ʃ aː ɾ
شاردن	ʃ aː ɾ d ə n
شان	ʃ aː n
شانزە	ʃ aː n z a
شانە	ʃ aː n a
شاوە	ʃ aː w a
شفتی	ʃ ɪ f t iː
شوان	ʃ ɪ w aː n
شوقە	ʃ u q a
شوو	ʃ uː
شووتی	ʃ uː t iː
شووشە	ʃ uː ʃ a
شیر	ʃ iː ɾ
شین	ʃ iː n
شێت	ʃ e̞ː t
شێر	ʃ e̞ː ɾ
شێو	ʃ eː u̯
شەش	ʃ a ʃ
شەممە	ʃ a m m a
شەو	ʃ a u̯
شەوە	ʃ a w a
شەپۆل	ʃ a p o̞ː l
شەڕ	ʃ a r
شەکر	ʃ a k ə ɾ
شەکرۆکە	ʃ æ k r oː k æ
شەکرە	ʃ a k ɾ a
شەیتان	ʃ a j t ɑː n
شەیتانۆکە	ʃ ɛ i̯ t aː n o̞ː k a
عارد	ʕ aː r d
عومان	ʕ ʊ m aː n
عێراق	ʕ e̞ː ɾ aː q
عەشق	ʔ a ʃ q
عەشق	ʕ a ʃ q
عەیب	ʕ ɛ i̯ b
ـتر	t ɪ ɾ
فافۆن	f aː f o̞ː n
فراوین	f ə ɾ aː w iː n
فرمێسک	f ə ɾ m e̞ː s k
فریشتە	f ə ɾ iː ʃ t a
فستق	f ɪ s t ɑ q
فڕۆکە	f r o̞ː k a
فڕۆکەخانە	f r o̞ː k a x aː n a
فۆتۆن	f o̞ː t o̞ː n
فۆتینۆ	f o̞ː t iː n o̞ː
فیزیک	f iː z iː k
فیل	f iː l
فیلەوان	f iː l a w aː n
فێنک	f e̞ː ŋ ə k
قاز	q aː z
قازەوان	q aː z a w aː n
قانوون	q aː n uː n
قاوە	q aː w a
قاوەیی	q aː w a j iː
قرچۆک	q ɪ r t͡ʃ oː k
قسڵ	q ə s ɫ
قشت	q ɪ ʃ t
قل	q ɪ l
قوو	q uː
قووڵ	q uː ɫ
قوڕقوشم	q ʊ r q ʊ ʃ ə m
قوژبن	q ʊ ʒ b ɪ n
قوڵنگ	q ʊ ɫ ə n ɡ
قژ	q ə ʒ
قیبلە	q iː b l a
قەتران	q a t ɾ aː n
قەتەر	q a t a ɾ
قەپات	q æ p aː t
قەڵخان	q a ɫ x aː n
لاڵ	l aː ɫ
لستن	l ə s t ə n
لوبنان	l ʊ b n aː n
لووت	l uː t
لووس	l uː s
لووشین	l uː ʃ iː n
لێو	l eː u̯
لەبن	l a b ə n
لەش	l a ʃ
لەنجەباز	ɫ æ n ʒ æ b ɑː z
مار	m aː ɾ
مارماسی	m aː ɾ m aː s iː
مارمیلۆق	m aː r m iː l oː q
مارمێلکە	m aː ɾ m e̞ː l k a
مازوو	m aː z uː
ماستاو	m aː s t aː u̯
ماسوولکە	m aː s uː l k a
ماسی	m aː s iː
ماسیگر	m aː s iː ɡ ə ɾ
مام	m aː m
مامر	m aː m ə ɾ
مامز	m aː m z
مامووت	m aː m uː t
مان	m aː n
ماندوو	m aː n d uː
مانگ	m aː ŋ ɡ
مانگا	m aː ŋ ɡ aː
مانگیلە	m aː ŋ ɟ iː l a
ماک	m aː k
ماکەر	m aː k a ɾ
ماڵ	m aː ɫ
مایین	m aː j iː n
مراوی	m ə ɾ aː w iː
مردن	m ə ɾ d ə n
مردوو	m ɪ r d uː
مردی	m ɪ r d iː
مریشک	m ə ɾ iː ʃ k
مزگەوت	m ə z ɡ a u̯ t
مس	m ə s
مسگەر	m ə s ɡ a ɾ
مشار	m ə ʃ aː ɾ
مشک	m ə ʃ k
مل	m ə l
ملوانکە	m ə l w aː ŋ k a
من	m ɪ n
مناڵ	m n aː ɫ
مووروو	m uː ɾ uː
موگناتیس	m ʊ ɡ n aː t iː s
مژ	m ə ʒ
مژین	m ʒ iː n
مۆخ	m o̞ː x
مۆر	m ɔː ɾ
مۆم	m o̞ː m
میز	m iː z
میزتن	m iː z t ə n
میزڵدان	m iː z ə ɫ d aː n
میواو	m iː w aː w
میوە	m iː w æ
مێخ	m e̞ː x
مێرد	m e̞ː ɾ d
مێروو	m e̞ː ɾ uː
مێرووستان	m eː r uː s t aː n
مێروولە	m e̞ː ɾ uː l a
مێرگ	m e̞ː ɾ ɡ
مێش	m e̞ː ʃ
مێشوولە	m e̞ː ʃ uː l a
مێشک	m e̞ː ʃ k
مێشھەنگوین	m e̞ː ʃ h a ŋ ɡ ə w iː n
مێوان	m e̞ː w aː n
مێوژ	m eː w ə ʒ
مێژوو	m e̞ː ʒ uː
مەرجان	m a ɾ d͡ʒ aː n
مەریخ	m a ɾ iː x
مەست	m a s t
مەل	m a l
مەمک	m a m ə k
مەڕمەڕ	m a r m a r
مەکر	m a k ə ɾ
مەڵاشوو	m a ɫ aː ʃ uː
ناردن	n aː ɾ d ə n
نازدار	n aː z d aː ɾ
نازین	n aː z iː n
ناشتن	n aː ʃ t ə n
نان	n aː n
ناو	n aː u̯
ناوک	n aː w ə k
ناڵ	n aː ɫ
ناھی	n aː h iː
نشین	n ɪ ʃ iː n
نوقڵ	n uː q ɫ
نووستن	n uː s t ə n
نووسین	n uː s iː n
نووسەر	n uː s a ɾ
نوێژ	n ə w eː ʒ
نۆ	n oː
نۆزدە	n oː z d a
نۆک	n o̞ː k
نیسک	n iː s k
نینۆکبڕ	n iː n o̞ː k b ə r
نیو	n iː u̯
نیوەشەو	n iː w a ʃ a u̯
نیوەڕۆ	n iː w a r o̞ː
نێرگز	n e̞ː ɾ ɡ ə z
نێپتوون	n e̞ː p t uː n
نێچیر	n e̞ː t͡ʃ iː ɾ
نێژ	n e̞ː ʒ
نەبیس	n a b iː s
نەبین	n a b iː n
نەبەز	n a b a z
نەتەوە	n a t a w a
نەتەوەیی	n a t a w a j iː
نەخۆش	n a x o̞ː ʃ
نەخۆشخانە	n a x o̞ː ʃ x aː n a
نەرم	n a ɾ m
نەزان	n a z aː n
نەمر	n a m ə ɾ
نەچە	n a t͡ʃ a
نەینۆک	n æ j n oː k
هیشک	h iː ʃ k
هەرگیز	h æ r ɡ iː z
هەناری	h æ n ɑː r iː
هەولێر	h æ w l eː r
هەڕوو	h æ r uː
هەیتە	h æ j t æ
واڵایی	w aː ɫ aː j iː
وتن	w ɪ t ɪ n
ورچ	w ə ɾ t͡ʃ
ورە	w ə ɾ a
وشتر	w ə ʃ t ə ɾ
وشترمر	w ə ʃ t ə ɾ m ə ɾ
وشک	w ə ʃ k
وێران	w e̞ː ɾ aː n
وەرگێڕ	w æ ɾ ɡ eː ɾ
وەرگێڕان	w a ɾ ɟ e̞ː r aː n
وەسف	w a s f
وەڕین	w a r iː n
پاراستن	p aː ɾ aː s t ə n
پارتی	p aː ɾ t iː
پارێزگای	p aː ɾ e̞ː z ɡ aː i̯
پان	p aː n
پانزە	p aː n z a
پانی	p aː n iː
پاک	p aː k
پاڵاوتن	p aː ɫ aː u̯ t ə n
پاڵەوان	p aː ɫ a w aː n
پایز	p aː j ə z
پاییز	p aː j iː z
پرتەقاڵی	p ə ɾ t a q aː ɫ iː
پرد	p ə ɾ d
پرسین	p ə ɾ s iː n
پرچ	p ə ɾ t͡ʃ
پزیشک	p ə z iː ʃ k
پشتێشە	p ə ʃ t e̞ː ʃ a
پشکووتن	p ə ʃ k uː t ə n
پوور	p uː ɾ
پوورە	p uː ɾ a
پووز	p uː z
پووک	p uː k
پژمین	p ə ʒ m iː n
پژمە	p ə ʒ m a
پڵنگ	p ə ɫ ə ŋ ɡ
پۆشین	p o̞ː ʃ iː n
پۆڵا	p o̞ː ɫ aː
پیارە	p j aː r æ
پیاڵە	p j aː ɫ æ
پیت	p iː t
پیر	p iː ɾ
پیری	p iː ɾ iː
پیس	p iː s
پێست	p e̞ː s t
پێغەمبەر	p e̞ː ɣ a m b a ɾ
پێغەمەر	p e̞ː ɣ a m a ɾ
پێنج	p eː n d͡ʒ
پێنووس	p e̞ː n uː s
پێوان	p e̞ː w aː n
پێڵاو	p e̞ː ɫ aː u̯
پێڵوو	p e̞ː ɫ uː
پەتاتە	p a t aː t a
پەراسوو	p a ɾ aː s uː
پەرژین	p a ɾ ʒ iː n
پەز	p a z
پەلکەزێڕینە	p æ l k æ z ɛː ɾ iː n æ
پەمبە	p æ m b æ
پەنجەرە	p a n d͡ʒ a ɾ a
پەنیر	p a n iː ɾ
پەپوولە	p a p uː l a
پەڕ	p a r
پەژیوان	p a ʒ iː w aː n
پەی	p ɛ i̯
پەیژە	p ɛ i̯ ʒ a
چا	t͡ʃ ɑː
چارەنووس	t͡ʃ aː ɾ a n uː s
چاو	t͡ʃ aː u̯
چاوشین	t͡ʃ aː u̯ ʃ iː n
چاوێشە	t͡ʃ aː w e̞ː ʃ a
چاک	t͡ʃ aː k
چاکی	t͡ʃ aː c iː
چایە	t͡ʃ aː j æ
چرا	t͡ʃ ə ɾ aː
چرم	t͡ʃ ə ɾ m
چرۆ	t͡ʃ ɾ o̞ː
چنگاڵ	t͡ʃ ə ŋ ɡ aː ɫ
چوار	t͡ʃ w aː r
چوار	t͡ʃ ə w aː r
چواردە	t͡ʃ w aː r d a
چواردە	t͡ʃ ə w aː r d a
چوون	t͡ʃ uː n
چڕوچاو	t͡ʃ ɪ r o t͡ʃ aː w
چڵم	t͡ʃ ɪ ɫ m
چڵک	t͡ʃ ɪ ɫ k
چڵکاو	t͡ʃ ɪ ɫ k aː w
چۆل	t͡ʃ o̞ː l
چۆن	t͡ʃ oː n
چۆنی	t͡ʃ oː n i
چۆڵ	t͡ʃ o̞ː ɫ
چیا	t͡ʃ ə j aː
چیرۆک	t͡ʃ iː ɾ o̞ː k
چیرۆکبێژ	t͡ʃ iː ɾ o̞ː k b e̞ː ʒ
چێشت	t͡ʃ eː ʃ t
چێشتن	t͡ʃ e̞ː ʃ t ə n
چێو	t͡ʃ eː u̯
چێڵ	t͡ʃ e̞ː ɫ
چەرخ	t͡ʃ a ɾ x
چەرموو	t͡ʃ a ɾ m uː
چەناگە	t͡ʃ a n aː ɡ a
چەور	t͡ʃ a u̯ ɾ
چەوەندەر	t͡ʃ a w a n d a ɾ
چەپڵە	t͡ʃ a p ɫ a
چەک	t͡ʃ a k
چەکوش	t͡ʃ æ k uː ʃ
ڕ	r
ڕا	r aː
ڕاستبێژ	r aː s t b e̞ː ʒ
ڕان	r aː n
ڕاژە	r aː ʒ a
ڕاکوون	r aː k uː n
ڕدێن	r ə d e̞ː n
ڕزق	ɾ ɪ z ɡ
ڕشک	r ə ʃ k
ڕم	r ə m
ڕواندز	r ɑː w æ n d͡z
ڕووبار	r uː b aː ɾ
ڕووسیا	r uː s j aː
ڕوەک	r w a k
ڕۆ	r o̞ː
ڕۆبۆت	r o̞ː b o̞ː t
ڕۆخ	r o̞ː x
ڕۆن	r o̞ː n
ڕۆژ	r o̞ː ʒ
ڕۆژانە	r o̞ː ʒ aː n a
ڕۆژاوا	r o̞ː ʒ aː w aː
ڕۆژنامە	r o̞ː ʒ n aː m a
ڕۆژوو	r o̞ː ʒ uː
ڕۆژژمێر	r o̞ː ʒ ʒ ə m e̞ː ɾ
ڕۆژھەڵات	r o̞ː ʒ h a ɫ aː t
ڕۆژی	r o̞ː ʒ iː
ڕێز	r r ê z
ڕێو	r eː u̯
ڕێواس	r e̞ː w aː s
ڕێوی	r e̞ː w iː
ڕەزم	r a z m
ڕەزمگە	r a z ə m ɡ a
ڕەش	r a ʃ
ڕەقە	r a q a
ڕەنگ	r a ŋ ɡ
ڕەو	ɾ æ w
ڕەژوو	r a ʒ uː
ڕەگ	r a ɡ
ڕەگەز	r a ɡ a z
ژار	ʒ aː ɾ
ژان	ʒ aː n
ژاپۆن	ʒ aː p o̞ː n
ژاڵە	ʒ aː ɫ a
ژریژ	ʒ ə ɾ iː ʒ
ژماردن	ʒ m aː ɾ d ə n
ژمارە	ʒ m aː ɾ a
ژن	ʒ ə n
ژوان	ʒ w aː n
ژووشک	ʒ uː ʃ ə k
ژیان	ʒ j aː n
ژیر	ʒ iː ɾ
ژینناسی	ʒ iː n n aː s iː
ژێ	ʒ e̞ː
ژەم	ʒ a m
ژەندن	ʒ a n d ə n
ژەنگ	ʒ a ŋ ɡ
ژەنگن	ʒ a ŋ ɡ ə n
ژەنیار	ʒ æ n j ɑː r
ژەک	ʒ a k
ژەھر	ʒ a h ɾ
ڤایرۆس	v aː i̯ ɾ o̞ː s
کاتژمێر	k aː t ʒ ə m e̞ː ɾ
کارامە	k aː ɾ aː m a
کارمامز	k ɑː r m ɑː m z
کاروان	k aː ɾ w aː n
کارۆ	k aː ɾ o̞ː
کانکەن	k aː ŋ k a n
کانی	k aː n iː
کاپۆڵ	k aː p o̞ː ɫ
کاژ	k aː ʒ
کاڵ	k ɑː ɫ
کایە	k aː j a
کتێب	k ə t e̞ː b
کرم	k ə r m
کرم	k ə r ə m
کلیل	k l iː l
کن	k ɪ n
کوارگ	k w aː ɾ ɡ
کوتان	k uː t aː n
کوتاو	k uː t aː w
کوتەک	k uː t æ k
کورت	k ʊ ɾ t
کورتی	k ʊ ɾ t iː
