'fo'	f o
jaja	d͡ʒ ɑ d͡ʒ ʌ
jaja	ɟ ɑ ɟ ɑ
jamba	d͡ʒ ɑ m b ə
jamba	ɟ ɑ m b ʌ
jambi	j ɑ m b i
jambi	t͡ʃ ɑ m b i
jambi	ɟ ɑ m b i
je	d͡ʒ ɛː
jedidi	d͡ʒ ɛ d i d i
jego	d͡ʒ ɛ ɡ oː
jenai	d͡ʒ ɛ n ɑ i
jetati	d͡ʒ ɛː t ɑ t i
jiboli	d͡ʒ i b o l i
jiboli	ɟ i b o l i
jiga	d͡ʒ ɪ ɡ ə
jiga	t͡ʃ ɪ ɡ ə
jiga	ɟ ɪ ɡ ʌ
jine	d͡ʒ ɑ i n
jook	d͡ʒ u k
jook	d͡ʒ u ɡ
jook	ɟ u k
joso	d͡ʒ o s o
joso	d͡ʒ o s ʊ m ə
joso	ɟ o s o
joso	ɟ o s o m ʌ
juju	d͡ʒ u d͡ʒ u
juju	ɟ u ɟ u
juke	d͡ʒ uː k
juke	d͡ʒ uː ɡ
kafa	k ɑ f ɑ
kafa	k ɑ f ə
kafa	ɡ ɑ f ɑ
kakatulu	k ɑ k ɑ t u l u
kala	k ɑ l ɑ
kala	k ɑ l ə
kalunga	k ʌ l u ŋ ə
kambaboli	k ɑ m b ɑ b o l i
kambaboli	k ɑ m b ɑ b u l i
kan	k ɑ n
kan	k ɑ̃
kandi	k ɑ n d i
kange	k ɑ ŋ ɡ e
kange	k ɑ ŋ ɡ ə
laan	l ɑː n
lib	l ɪ b
lub	l ə b
lub	l ʌ b
me	m iː
menga	m e ŋ ɡ a
min'	m a ɪ n
mot	m ɑː f
mot	m ɑː t
nai	n ɑ i
nakid	n ɛ k i d
nakid	n ɛ k i ʔ
nekkity	n ɛ k d i
nekkity	n ɛ k t i
njung	n j ʌ ŋ
nort	n ɑː f
nort	n ɑː t
nuh	n ɒ
nuh	n ə
nywes	n j uː s
nywes	n j uː z
oba	o b ɒ
oba	o b ə
oda	o d ə
oda	ʌ d ə
oll	oː l
oll	oː ɫ
onda	o n d ɒ
onda	o n d ə
onneet	o n n i t
own	oː n
pafeck	p ɑː f ɛ k
payback	p eː b æ k
poson	p ʌ s ʌ n
puss'n	p ə s n
ren	r e n
ron	ɹ o n
sabby	s æ b i
sapo	s ɑ p o
scraight	s k r e i t
screet	s k ɹ iː t
scretch	s k ɹ ɛː t ʃ
scruck	s k ɹ ɒ k
scruck	s k ɹ ə k
seaz'n	s iː z n
sebn	s eː ~ ɪ m
seckint	s ɛ k ɪ n t
sef	s e f
shat	ʃ æ t
sho	ʃ o
sout	s a ʊ f
sout	s a ʊ t
spensiz	s p ɛ n s ɪ v
stan	s t ɛː n
stan	t ɛː n
stanop	s t ɛː n ɒ p
stanop	s t ɛː n ə p
stanop	t ɛː n ɒ p
stanop	t ɛː n ə p
stonish	s t ɑː n ɪ ʃ
stroy	s k ɹ ɔ i
stroy	s t ɹ ɔ i
suh	s ɒ
suh	s ə
sun'up	s ə n o p
sun'up	s ə n ə p
sway	s w e i
sway	s w eː
sway	s w ɛː
taday	t ʌ d i
tall	t ɑː o
tall	t ɑː ɫ
teah	t e ɹ
teah	t ɛ ə
teah	t ɛː
tetch	t ɛ t ʃ
toment	t oː m ɪ n
tority	t aː r ɪ t i
tority	t o r ɪ t i
traight	s k r e i t
tredja	t ʃ ɹ ɛ d͡ʒ ɒ
tredja	t ʃ ɹ ɛ d͡ʒ ə
tu'n	t ə n
tud	t ə d
tustanagga	t ʌ s t ə n ɑː ɡ ə
um	ə m
um	ʌ m
ut	ʌ t t ʃ
ut	ʌː t
walyable	w æ l j ə b oː
walyable	w æ l j ə b ʌ ɫ
warry	w ɑː r ɪ
we	w iː
weekaday	w i k d i
wile	w a ɪ l
wile	w a ɪ ɫ
wiles	w a ɪ l z
wiles	w aː ʌ l
wiles	w aː ʌ l z
wol	w ʌ l
worce	w o r s
worce	w oː s
yaad	j ɑː d
yuh	j ɒ
yuh	j ə
